ENSGALP00000024336	ENSGALP00000006178
ENSGALP00000005649	ENSGALP00000021516
ENSGALP00000021516	ENSGALP00000005649
ENSGALP00000000478	ENSGALP00000026030
ENSGALP00000026030	ENSGALP00000000478
ENSGALP00000033974	ENSGALP00000042361
ENSGALP00000042361	ENSGALP00000033974
ENSGALP00000030056	ENSGALP00000012678
ENSGALP00000012678	ENSGALP00000030056
ENSGALP00000006494	ENSGALP00000009387
ENSGALP00000009387	ENSGALP00000006494
ENSGALP00000007102	ENSGALP00000017154
ENSGALP00000017154	ENSGALP00000007102
ENSGALP00000019779	ENSGALP00000038747
ENSGALP00000038747	ENSGALP00000019779
ENSGALP00000019969	ENSGALP00000019650
ENSGALP00000019650	ENSGALP00000019969
ENSGALP00000027022	ENSGALP00000014376
ENSGALP00000014376	ENSGALP00000027022
ENSGALP00000022268	ENSGALP00000006474
ENSGALP00000006474	ENSGALP00000022268
ENSGALP00000020777	ENSGALP00000002331
ENSGALP00000002331	ENSGALP00000020777
ENSGALP00000020777	ENSGALP00000020364
ENSGALP00000020364	ENSGALP00000020777
ENSGALP00000002331	ENSGALP00000020364
ENSGALP00000020364	ENSGALP00000002331
ENSGALP00000003964	ENSGALP00000019178
ENSGALP00000019178	ENSGALP00000003964
ENSGALP00000019726	ENSGALP00000011711
ENSGALP00000011711	ENSGALP00000019726
ENSGALP00000019726	ENSGALP00000002699
ENSGALP00000002699	ENSGALP00000019726
ENSGALP00000011711	ENSGALP00000002699
ENSGALP00000002699	ENSGALP00000011711
ENSGALP00000002030	ENSGALP00000038901
ENSGALP00000038901	ENSGALP00000002030
ENSGALP00000022580	ENSGALP00000010140
ENSGALP00000010140	ENSGALP00000022580
ENSGALP00000024723	ENSGALP00000010929
ENSGALP00000010929	ENSGALP00000024723
ENSGALP00000024142	ENSGALP00000013709
ENSGALP00000013709	ENSGALP00000024142
ENSGALP00000024142	ENSGALP00000041636
ENSGALP00000041636	ENSGALP00000024142
ENSGALP00000013709	ENSGALP00000041636
ENSGALP00000041636	ENSGALP00000013709
ENSGALP00000016926	ENSGALP00000015071
ENSGALP00000015071	ENSGALP00000016926
ENSGALP00000016926	ENSGALP00000016706
ENSGALP00000016706	ENSGALP00000016926
ENSGALP00000015071	ENSGALP00000016706
ENSGALP00000016706	ENSGALP00000015071
ENSGALP00000041185	ENSGALP00000040722
ENSGALP00000040722	ENSGALP00000041185
ENSGALP00000007317	ENSGALP00000019231
ENSGALP00000019231	ENSGALP00000007317
ENSGALP00000007317	ENSGALP00000020344
ENSGALP00000020344	ENSGALP00000007317
ENSGALP00000019231	ENSGALP00000020344
ENSGALP00000020344	ENSGALP00000019231
ENSGALP00000020022	ENSGALP00000006671
ENSGALP00000006671	ENSGALP00000020022
ENSGALP00000043246	ENSGALP00000006365
ENSGALP00000006365	ENSGALP00000043246
ENSGALP00000017201	ENSGALP00000023169
ENSGALP00000023169	ENSGALP00000017201
ENSGALP00000035839	ENSGALP00000040812
ENSGALP00000040812	ENSGALP00000035839
ENSGALP00000039140	ENSGALP00000020169
ENSGALP00000020169	ENSGALP00000039140
ENSGALP00000024878	ENSGALP00000024377
ENSGALP00000024377	ENSGALP00000024878
ENSGALP00000002465	ENSGALP00000006378
ENSGALP00000006378	ENSGALP00000002465
ENSGALP00000026933	ENSGALP00000024760
ENSGALP00000024760	ENSGALP00000026933
ENSGALP00000026933	ENSGALP00000023916
ENSGALP00000023916	ENSGALP00000026933
ENSGALP00000024760	ENSGALP00000023916
ENSGALP00000023916	ENSGALP00000024760
ENSGALP00000015350	ENSGALP00000001588
ENSGALP00000001588	ENSGALP00000015350
ENSGALP00000042038	ENSGALP00000041380
ENSGALP00000041380	ENSGALP00000042038
ENSGALP00000042038	ENSGALP00000041129
ENSGALP00000041129	ENSGALP00000042038
ENSGALP00000041380	ENSGALP00000041129
ENSGALP00000041129	ENSGALP00000041380
ENSGALP00000015559	ENSGALP00000000540
ENSGALP00000000540	ENSGALP00000015559
ENSGALP00000013782	ENSGALP00000016146
ENSGALP00000016146	ENSGALP00000013782
ENSGALP00000013782	ENSGALP00000017392
ENSGALP00000017392	ENSGALP00000013782
ENSGALP00000016146	ENSGALP00000017392
ENSGALP00000017392	ENSGALP00000016146
ENSGALP00000002144	ENSGALP00000002109
ENSGALP00000002109	ENSGALP00000002144
ENSGALP00000028353	ENSGALP00000026245
ENSGALP00000026245	ENSGALP00000028353
ENSGALP00000006798	ENSGALP00000020315
ENSGALP00000020315	ENSGALP00000006798
ENSGALP00000006798	ENSGALP00000004473
ENSGALP00000004473	ENSGALP00000006798
ENSGALP00000020315	ENSGALP00000004473
ENSGALP00000004473	ENSGALP00000020315
ENSGALP00000008061	ENSGALP00000009323
ENSGALP00000009323	ENSGALP00000008061
ENSGALP00000027189	ENSGALP00000027658
ENSGALP00000027658	ENSGALP00000027189
ENSGALP00000011836	ENSGALP00000001485
ENSGALP00000001485	ENSGALP00000011836
ENSGALP00000043116	ENSGALP00000024006
ENSGALP00000024006	ENSGALP00000043116
ENSGALP00000010704	ENSGALP00000006352
ENSGALP00000006352	ENSGALP00000010704
ENSGALP00000007937	ENSGALP00000027143
ENSGALP00000027143	ENSGALP00000007937
ENSGALP00000007937	ENSGALP00000013147
ENSGALP00000013147	ENSGALP00000007937
ENSGALP00000027143	ENSGALP00000013147
ENSGALP00000013147	ENSGALP00000027143
ENSGALP00000001896	ENSGALP00000036014
ENSGALP00000036014	ENSGALP00000001896
ENSGALP00000036811	ENSGALP00000041000
ENSGALP00000041000	ENSGALP00000036811
ENSGALP00000031284	ENSGALP00000019417
ENSGALP00000019417	ENSGALP00000031284
ENSGALP00000015303	ENSGALP00000007553
ENSGALP00000007553	ENSGALP00000015303
ENSGALP00000015303	ENSGALP00000007415
ENSGALP00000007415	ENSGALP00000015303
ENSGALP00000007553	ENSGALP00000007415
ENSGALP00000007415	ENSGALP00000007553
ENSGALP00000000694	ENSGALP00000036465
ENSGALP00000036465	ENSGALP00000000694
ENSGALP00000041070	ENSGALP00000008938
ENSGALP00000008938	ENSGALP00000041070
ENSGALP00000024815	ENSGALP00000010707
ENSGALP00000010707	ENSGALP00000024815
ENSGALP00000021267	ENSGALP00000000494
ENSGALP00000000494	ENSGALP00000021267
ENSGALP00000021267	ENSGALP00000010010
ENSGALP00000010010	ENSGALP00000021267
ENSGALP00000000494	ENSGALP00000010010
ENSGALP00000010010	ENSGALP00000000494
ENSGALP00000001221	ENSGALP00000015985
ENSGALP00000015985	ENSGALP00000001221
ENSGALP00000010101	ENSGALP00000015568
ENSGALP00000015568	ENSGALP00000010101
ENSGALP00000010101	ENSGALP00000041851
ENSGALP00000041851	ENSGALP00000010101
ENSGALP00000015568	ENSGALP00000041851
ENSGALP00000041851	ENSGALP00000015568
ENSGALP00000006252	ENSGALP00000001055
ENSGALP00000001055	ENSGALP00000006252
ENSGALP00000006252	ENSGALP00000024333
ENSGALP00000024333	ENSGALP00000006252
ENSGALP00000001055	ENSGALP00000024333
ENSGALP00000024333	ENSGALP00000001055
ENSGALP00000022126	ENSGALP00000002794
ENSGALP00000002794	ENSGALP00000022126
ENSGALP00000022126	ENSGALP00000012980
ENSGALP00000012980	ENSGALP00000022126
ENSGALP00000002794	ENSGALP00000012980
ENSGALP00000012980	ENSGALP00000002794
ENSGALP00000033069	ENSGALP00000002091
ENSGALP00000002091	ENSGALP00000033069
ENSGALP00000024989	ENSGALP00000017056
ENSGALP00000017056	ENSGALP00000024989
ENSGALP00000024989	ENSGALP00000012264
ENSGALP00000012264	ENSGALP00000024989
ENSGALP00000017056	ENSGALP00000012264
ENSGALP00000012264	ENSGALP00000017056
ENSGALP00000013675	ENSGALP00000025503
ENSGALP00000025503	ENSGALP00000013675
ENSGALP00000013675	ENSGALP00000025502
ENSGALP00000025502	ENSGALP00000013675
ENSGALP00000025503	ENSGALP00000025502
ENSGALP00000025502	ENSGALP00000025503
ENSGALP00000003731	ENSGALP00000000545
ENSGALP00000000545	ENSGALP00000003731
ENSGALP00000016102	ENSGALP00000013722
ENSGALP00000013722	ENSGALP00000016102
ENSGALP00000007617	ENSGALP00000038601
ENSGALP00000038601	ENSGALP00000007617
ENSGALP00000027276	ENSGALP00000012035
ENSGALP00000012035	ENSGALP00000027276
ENSGALP00000002020	ENSGALP00000038139
ENSGALP00000038139	ENSGALP00000002020
ENSGALP00000002020	ENSGALP00000002670
ENSGALP00000002670	ENSGALP00000002020
ENSGALP00000038139	ENSGALP00000002670
ENSGALP00000002670	ENSGALP00000038139
ENSGALP00000026395	ENSGALP00000041715
ENSGALP00000041715	ENSGALP00000026395
ENSGALP00000019805	ENSGALP00000004015
ENSGALP00000004015	ENSGALP00000019805
ENSGALP00000003277	ENSGALP00000024504
ENSGALP00000024504	ENSGALP00000003277
ENSGALP00000003277	ENSGALP00000020417
ENSGALP00000020417	ENSGALP00000003277
ENSGALP00000024504	ENSGALP00000020417
ENSGALP00000020417	ENSGALP00000024504
ENSGALP00000027763	ENSGALP00000010467
ENSGALP00000010467	ENSGALP00000027763
ENSGALP00000027763	ENSGALP00000012899
ENSGALP00000012899	ENSGALP00000027763
ENSGALP00000010467	ENSGALP00000012899
ENSGALP00000012899	ENSGALP00000010467
ENSGALP00000027569	ENSGALP00000010128
ENSGALP00000010128	ENSGALP00000027569
ENSGALP00000024954	ENSGALP00000009213
ENSGALP00000009213	ENSGALP00000024954
ENSGALP00000024954	ENSGALP00000001412
ENSGALP00000001412	ENSGALP00000024954
ENSGALP00000009213	ENSGALP00000001412
ENSGALP00000001412	ENSGALP00000009213
ENSGALP00000011399	ENSGALP00000023225
ENSGALP00000023225	ENSGALP00000011399
ENSGALP00000011399	ENSGALP00000004917
ENSGALP00000004917	ENSGALP00000011399
ENSGALP00000023225	ENSGALP00000004917
ENSGALP00000004917	ENSGALP00000023225
ENSGALP00000014328	ENSGALP00000020282
ENSGALP00000020282	ENSGALP00000014328
ENSGALP00000027438	ENSGALP00000008268
ENSGALP00000008268	ENSGALP00000027438
ENSGALP00000014383	ENSGALP00000014935
ENSGALP00000014935	ENSGALP00000014383
ENSGALP00000002348	ENSGALP00000014067
ENSGALP00000014067	ENSGALP00000002348
ENSGALP00000018159	ENSGALP00000015358
ENSGALP00000015358	ENSGALP00000018159
ENSGALP00000018159	ENSGALP00000016156
ENSGALP00000016156	ENSGALP00000018159
ENSGALP00000015358	ENSGALP00000016156
ENSGALP00000016156	ENSGALP00000015358
ENSGALP00000013598	ENSGALP00000013601
ENSGALP00000013601	ENSGALP00000013598
ENSGALP00000005982	ENSGALP00000005199
ENSGALP00000005199	ENSGALP00000005982
ENSGALP00000025245	ENSGALP00000039758
ENSGALP00000039758	ENSGALP00000025245
ENSGALP00000025245	ENSGALP00000020138
ENSGALP00000020138	ENSGALP00000025245
ENSGALP00000039758	ENSGALP00000020138
ENSGALP00000020138	ENSGALP00000039758
ENSGALP00000039345	ENSGALP00000013914
ENSGALP00000013914	ENSGALP00000039345
ENSGALP00000039345	ENSGALP00000030175
ENSGALP00000030175	ENSGALP00000039345
ENSGALP00000013914	ENSGALP00000030175
ENSGALP00000030175	ENSGALP00000013914
ENSGALP00000042161	ENSGALP00000039891
ENSGALP00000039891	ENSGALP00000042161
ENSGALP00000041744	ENSGALP00000019095
ENSGALP00000019095	ENSGALP00000041744
ENSGALP00000041744	ENSGALP00000008440
ENSGALP00000008440	ENSGALP00000041744
ENSGALP00000019095	ENSGALP00000008440
ENSGALP00000008440	ENSGALP00000019095
ENSGALP00000035739	ENSGALP00000008879
ENSGALP00000008879	ENSGALP00000035739
ENSGALP00000035739	ENSGALP00000008878
ENSGALP00000008878	ENSGALP00000035739
ENSGALP00000008879	ENSGALP00000008878
ENSGALP00000008878	ENSGALP00000008879
ENSGALP00000020807	ENSGALP00000026281
ENSGALP00000026281	ENSGALP00000020807
ENSGALP00000034451	ENSGALP00000005887
ENSGALP00000005887	ENSGALP00000034451
ENSGALP00000013813	ENSGALP00000011451
ENSGALP00000011451	ENSGALP00000013813
ENSGALP00000022193	ENSGALP00000007200
ENSGALP00000007200	ENSGALP00000022193
ENSGALP00000022193	ENSGALP00000012655
ENSGALP00000012655	ENSGALP00000022193
ENSGALP00000007200	ENSGALP00000012655
ENSGALP00000012655	ENSGALP00000007200
ENSGALP00000026342	ENSGALP00000002206
ENSGALP00000002206	ENSGALP00000026342
ENSGALP00000026342	ENSGALP00000040717
ENSGALP00000040717	ENSGALP00000026342
ENSGALP00000026342	ENSGALP00000024834
ENSGALP00000024834	ENSGALP00000026342
ENSGALP00000002206	ENSGALP00000040717
ENSGALP00000040717	ENSGALP00000002206
ENSGALP00000002206	ENSGALP00000024834
ENSGALP00000024834	ENSGALP00000002206
ENSGALP00000040717	ENSGALP00000024834
ENSGALP00000024834	ENSGALP00000040717
ENSGALP00000022544	ENSGALP00000007799
ENSGALP00000007799	ENSGALP00000022544
ENSGALP00000022544	ENSGALP00000001472
ENSGALP00000001472	ENSGALP00000022544
ENSGALP00000007799	ENSGALP00000001472
ENSGALP00000001472	ENSGALP00000007799
ENSGALP00000002825	ENSGALP00000007323
ENSGALP00000007323	ENSGALP00000002825
ENSGALP00000021396	ENSGALP00000002349
ENSGALP00000002349	ENSGALP00000021396
ENSGALP00000021396	ENSGALP00000015277
ENSGALP00000015277	ENSGALP00000021396
ENSGALP00000002349	ENSGALP00000015277
ENSGALP00000015277	ENSGALP00000002349
ENSGALP00000003357	ENSGALP00000022545
ENSGALP00000022545	ENSGALP00000003357
ENSGALP00000003357	ENSGALP00000026433
ENSGALP00000026433	ENSGALP00000003357
ENSGALP00000022545	ENSGALP00000026433
ENSGALP00000026433	ENSGALP00000022545
ENSGALP00000018767	ENSGALP00000026611
ENSGALP00000026611	ENSGALP00000018767
ENSGALP00000041323	ENSGALP00000017341
ENSGALP00000017341	ENSGALP00000041323
ENSGALP00000022058	ENSGALP00000027791
ENSGALP00000027791	ENSGALP00000022058
ENSGALP00000022058	ENSGALP00000014739
ENSGALP00000014739	ENSGALP00000022058
ENSGALP00000027791	ENSGALP00000014739
ENSGALP00000014739	ENSGALP00000027791
ENSGALP00000007358	ENSGALP00000035504
ENSGALP00000035504	ENSGALP00000007358
ENSGALP00000010935	ENSGALP00000024726
ENSGALP00000024726	ENSGALP00000010935
ENSGALP00000001381	ENSGALP00000027769
ENSGALP00000027769	ENSGALP00000001381
ENSGALP00000001381	ENSGALP00000000002
ENSGALP00000000002	ENSGALP00000001381
ENSGALP00000027769	ENSGALP00000000002
ENSGALP00000000002	ENSGALP00000027769
ENSGALP00000017326	ENSGALP00000014069
ENSGALP00000014069	ENSGALP00000017326
ENSGALP00000006468	ENSGALP00000020656
ENSGALP00000020656	ENSGALP00000006468
ENSGALP00000006468	ENSGALP00000017216
ENSGALP00000017216	ENSGALP00000006468
ENSGALP00000020656	ENSGALP00000017216
ENSGALP00000017216	ENSGALP00000020656
ENSGALP00000004993	ENSGALP00000042047
ENSGALP00000042047	ENSGALP00000004993
ENSGALP00000004993	ENSGALP00000018472
ENSGALP00000018472	ENSGALP00000004993
ENSGALP00000042047	ENSGALP00000018472
ENSGALP00000018472	ENSGALP00000042047
ENSGALP00000035061	ENSGALP00000042643
ENSGALP00000042643	ENSGALP00000035061
ENSGALP00000018493	ENSGALP00000010292
ENSGALP00000010292	ENSGALP00000018493
ENSGALP00000042723	ENSGALP00000037124
ENSGALP00000037124	ENSGALP00000042723
ENSGALP00000042723	ENSGALP00000042644
ENSGALP00000042644	ENSGALP00000042723
ENSGALP00000042723	ENSGALP00000042933
ENSGALP00000042933	ENSGALP00000042723
ENSGALP00000037124	ENSGALP00000042644
ENSGALP00000042644	ENSGALP00000037124
ENSGALP00000037124	ENSGALP00000042933
ENSGALP00000042933	ENSGALP00000037124
ENSGALP00000042644	ENSGALP00000042933
ENSGALP00000042933	ENSGALP00000042644
ENSGALP00000000272	ENSGALP00000019045
ENSGALP00000019045	ENSGALP00000000272
ENSGALP00000018391	ENSGALP00000004459
ENSGALP00000004459	ENSGALP00000018391
ENSGALP00000019540	ENSGALP00000041810
ENSGALP00000041810	ENSGALP00000019540
ENSGALP00000019540	ENSGALP00000039554
ENSGALP00000039554	ENSGALP00000019540
ENSGALP00000041810	ENSGALP00000039554
ENSGALP00000039554	ENSGALP00000041810
ENSGALP00000018692	ENSGALP00000028721
ENSGALP00000028721	ENSGALP00000018692
ENSGALP00000042443	ENSGALP00000020972
ENSGALP00000020972	ENSGALP00000042443
ENSGALP00000011997	ENSGALP00000001890
ENSGALP00000001890	ENSGALP00000011997
ENSGALP00000011997	ENSGALP00000023218
ENSGALP00000023218	ENSGALP00000011997
ENSGALP00000001890	ENSGALP00000023218
ENSGALP00000023218	ENSGALP00000001890
ENSGALP00000041330	ENSGALP00000017852
ENSGALP00000017852	ENSGALP00000041330
ENSGALP00000041330	ENSGALP00000043238
ENSGALP00000043238	ENSGALP00000041330
ENSGALP00000017852	ENSGALP00000043238
ENSGALP00000043238	ENSGALP00000017852
ENSGALP00000032046	ENSGALP00000021949
ENSGALP00000021949	ENSGALP00000032046
ENSGALP00000002418	ENSGALP00000009493
ENSGALP00000009493	ENSGALP00000002418
ENSGALP00000005409	ENSGALP00000041455
ENSGALP00000041455	ENSGALP00000005409
ENSGALP00000025753	ENSGALP00000006796
ENSGALP00000006796	ENSGALP00000025753
ENSGALP00000025753	ENSGALP00000026914
ENSGALP00000026914	ENSGALP00000025753
ENSGALP00000006796	ENSGALP00000026914
ENSGALP00000026914	ENSGALP00000006796
ENSGALP00000002536	ENSGALP00000022913
ENSGALP00000022913	ENSGALP00000002536
ENSGALP00000002536	ENSGALP00000026980
ENSGALP00000026980	ENSGALP00000002536
ENSGALP00000022913	ENSGALP00000026980
ENSGALP00000026980	ENSGALP00000022913
ENSGALP00000036460	ENSGALP00000029836
ENSGALP00000029836	ENSGALP00000036460
ENSGALP00000000796	ENSGALP00000008844
ENSGALP00000008844	ENSGALP00000000796
ENSGALP00000008248	ENSGALP00000024352
ENSGALP00000024352	ENSGALP00000008248
ENSGALP00000031301	ENSGALP00000016730
ENSGALP00000016730	ENSGALP00000031301
ENSGALP00000006852	ENSGALP00000041228
ENSGALP00000041228	ENSGALP00000006852
ENSGALP00000032624	ENSGALP00000016263
ENSGALP00000016263	ENSGALP00000032624
ENSGALP00000019237	ENSGALP00000034599
ENSGALP00000034599	ENSGALP00000019237
ENSGALP00000019237	ENSGALP00000021478
ENSGALP00000021478	ENSGALP00000019237
ENSGALP00000034599	ENSGALP00000021478
ENSGALP00000021478	ENSGALP00000034599
ENSGALP00000023177	ENSGALP00000004850
ENSGALP00000004850	ENSGALP00000023177
ENSGALP00000039752	ENSGALP00000043280
ENSGALP00000043280	ENSGALP00000039752
ENSGALP00000039752	ENSGALP00000008402
ENSGALP00000008402	ENSGALP00000039752
ENSGALP00000043280	ENSGALP00000008402
ENSGALP00000008402	ENSGALP00000043280
ENSGALP00000021121	ENSGALP00000042551
ENSGALP00000042551	ENSGALP00000021121
ENSGALP00000021121	ENSGALP00000036623
ENSGALP00000036623	ENSGALP00000021121
ENSGALP00000042551	ENSGALP00000036623
ENSGALP00000036623	ENSGALP00000042551
ENSGALP00000011778	ENSGALP00000025812
ENSGALP00000025812	ENSGALP00000011778
ENSGALP00000024830	ENSGALP00000040476
ENSGALP00000040476	ENSGALP00000024830
ENSGALP00000024830	ENSGALP00000003709
ENSGALP00000003709	ENSGALP00000024830
ENSGALP00000040476	ENSGALP00000003709
ENSGALP00000003709	ENSGALP00000040476
ENSGALP00000020160	ENSGALP00000004601
ENSGALP00000004601	ENSGALP00000020160
ENSGALP00000002514	ENSGALP00000037711
ENSGALP00000037711	ENSGALP00000002514
ENSGALP00000017604	ENSGALP00000036411
ENSGALP00000036411	ENSGALP00000017604
ENSGALP00000016071	ENSGALP00000035420
ENSGALP00000035420	ENSGALP00000016071
ENSGALP00000016071	ENSGALP00000015086
ENSGALP00000015086	ENSGALP00000016071
ENSGALP00000035420	ENSGALP00000015086
ENSGALP00000015086	ENSGALP00000035420
ENSGALP00000026759	ENSGALP00000002819
ENSGALP00000002819	ENSGALP00000026759
ENSGALP00000026759	ENSGALP00000017336
ENSGALP00000017336	ENSGALP00000026759
ENSGALP00000002819	ENSGALP00000017336
ENSGALP00000017336	ENSGALP00000002819
ENSGALP00000009548	ENSGALP00000011212
ENSGALP00000011212	ENSGALP00000009548
ENSGALP00000009548	ENSGALP00000026288
ENSGALP00000026288	ENSGALP00000009548
ENSGALP00000011212	ENSGALP00000026288
ENSGALP00000026288	ENSGALP00000011212
ENSGALP00000019655	ENSGALP00000028008
ENSGALP00000028008	ENSGALP00000019655
ENSGALP00000019655	ENSGALP00000042962
ENSGALP00000042962	ENSGALP00000019655
ENSGALP00000028008	ENSGALP00000042962
ENSGALP00000042962	ENSGALP00000028008
ENSGALP00000017976	ENSGALP00000016230
ENSGALP00000016230	ENSGALP00000017976
ENSGALP00000013937	ENSGALP00000004554
ENSGALP00000004554	ENSGALP00000013937
ENSGALP00000015840	ENSGALP00000016963
ENSGALP00000016963	ENSGALP00000015840
ENSGALP00000029511	ENSGALP00000006522
ENSGALP00000006522	ENSGALP00000029511
ENSGALP00000029511	ENSGALP00000008871
ENSGALP00000008871	ENSGALP00000029511
ENSGALP00000006522	ENSGALP00000008871
ENSGALP00000008871	ENSGALP00000006522
ENSGALP00000043024	ENSGALP00000019452
ENSGALP00000019452	ENSGALP00000043024
ENSGALP00000012963	ENSGALP00000022081
ENSGALP00000022081	ENSGALP00000012963
ENSGALP00000012963	ENSGALP00000001840
ENSGALP00000001840	ENSGALP00000012963
ENSGALP00000022081	ENSGALP00000001840
ENSGALP00000001840	ENSGALP00000022081
ENSGALP00000032574	ENSGALP00000003444
ENSGALP00000003444	ENSGALP00000032574
ENSGALP00000010661	ENSGALP00000024470
ENSGALP00000024470	ENSGALP00000010661
ENSGALP00000010661	ENSGALP00000036004
ENSGALP00000036004	ENSGALP00000010661
ENSGALP00000024470	ENSGALP00000036004
ENSGALP00000036004	ENSGALP00000024470
ENSGALP00000022924	ENSGALP00000008717
ENSGALP00000008717	ENSGALP00000022924
ENSGALP00000022924	ENSGALP00000022928
ENSGALP00000022928	ENSGALP00000022924
ENSGALP00000008717	ENSGALP00000022928
ENSGALP00000022928	ENSGALP00000008717
ENSGALP00000042301	ENSGALP00000018435
ENSGALP00000018435	ENSGALP00000042301
ENSGALP00000009525	ENSGALP00000015937
ENSGALP00000015937	ENSGALP00000009525
ENSGALP00000009525	ENSGALP00000027746
ENSGALP00000027746	ENSGALP00000009525
ENSGALP00000015937	ENSGALP00000027746
ENSGALP00000027746	ENSGALP00000015937
ENSGALP00000031163	ENSGALP00000013785
ENSGALP00000013785	ENSGALP00000031163
ENSGALP00000004722	ENSGALP00000043464
ENSGALP00000043464	ENSGALP00000004722
ENSGALP00000011467	ENSGALP00000019982
ENSGALP00000019982	ENSGALP00000011467
ENSGALP00000008299	ENSGALP00000018206
ENSGALP00000018206	ENSGALP00000008299
ENSGALP00000005241	ENSGALP00000004475
ENSGALP00000004475	ENSGALP00000005241
ENSGALP00000005241	ENSGALP00000038678
ENSGALP00000038678	ENSGALP00000005241
ENSGALP00000004475	ENSGALP00000038678
ENSGALP00000038678	ENSGALP00000004475
ENSGALP00000041632	ENSGALP00000021693
ENSGALP00000021693	ENSGALP00000041632
ENSGALP00000041632	ENSGALP00000007638
ENSGALP00000007638	ENSGALP00000041632
ENSGALP00000021693	ENSGALP00000007638
ENSGALP00000007638	ENSGALP00000021693
ENSGALP00000042709	ENSGALP00000017133
ENSGALP00000017133	ENSGALP00000042709
ENSGALP00000001024	ENSGALP00000036655
ENSGALP00000036655	ENSGALP00000001024
ENSGALP00000002437	ENSGALP00000015930
ENSGALP00000015930	ENSGALP00000002437
ENSGALP00000002437	ENSGALP00000006357
ENSGALP00000006357	ENSGALP00000002437
ENSGALP00000015930	ENSGALP00000006357
ENSGALP00000006357	ENSGALP00000015930
ENSGALP00000043006	ENSGALP00000030247
ENSGALP00000030247	ENSGALP00000043006
ENSGALP00000015342	ENSGALP00000005141
ENSGALP00000005141	ENSGALP00000015342
ENSGALP00000015342	ENSGALP00000018771
ENSGALP00000018771	ENSGALP00000015342
ENSGALP00000005141	ENSGALP00000018771
ENSGALP00000018771	ENSGALP00000005141
ENSGALP00000011278	ENSGALP00000019199
ENSGALP00000019199	ENSGALP00000011278
ENSGALP00000024554	ENSGALP00000015655
ENSGALP00000015655	ENSGALP00000024554
ENSGALP00000012620	ENSGALP00000042554
ENSGALP00000042554	ENSGALP00000012620
ENSGALP00000012620	ENSGALP00000024129
ENSGALP00000024129	ENSGALP00000012620
ENSGALP00000042554	ENSGALP00000024129
ENSGALP00000024129	ENSGALP00000042554
ENSGALP00000004163	ENSGALP00000014240
ENSGALP00000014240	ENSGALP00000004163
ENSGALP00000041989	ENSGALP00000038228
ENSGALP00000038228	ENSGALP00000041989
ENSGALP00000042461	ENSGALP00000003712
ENSGALP00000003712	ENSGALP00000042461
ENSGALP00000042461	ENSGALP00000040874
ENSGALP00000040874	ENSGALP00000042461
ENSGALP00000015904	ENSGALP00000016895
ENSGALP00000016895	ENSGALP00000015904
ENSGALP00000015904	ENSGALP00000042103
ENSGALP00000042103	ENSGALP00000015904
ENSGALP00000016895	ENSGALP00000042103
ENSGALP00000042103	ENSGALP00000016895
ENSGALP00000018368	ENSGALP00000043060
ENSGALP00000043060	ENSGALP00000018368
ENSGALP00000018368	ENSGALP00000005614
ENSGALP00000005614	ENSGALP00000018368
ENSGALP00000043060	ENSGALP00000005614
ENSGALP00000005614	ENSGALP00000043060
ENSGALP00000017179	ENSGALP00000017578
ENSGALP00000017578	ENSGALP00000017179
ENSGALP00000017179	ENSGALP00000017577
ENSGALP00000017577	ENSGALP00000017179
ENSGALP00000017578	ENSGALP00000017577
ENSGALP00000017577	ENSGALP00000017578
ENSGALP00000009048	ENSGALP00000018196
ENSGALP00000018196	ENSGALP00000009048
ENSGALP00000015374	ENSGALP00000038130
ENSGALP00000038130	ENSGALP00000015374
ENSGALP00000038618	ENSGALP00000024843
ENSGALP00000024843	ENSGALP00000038618
ENSGALP00000038618	ENSGALP00000026563
ENSGALP00000026563	ENSGALP00000038618
ENSGALP00000024843	ENSGALP00000026563
ENSGALP00000026563	ENSGALP00000024843
ENSGALP00000042862	ENSGALP00000017702
ENSGALP00000017702	ENSGALP00000042862
ENSGALP00000027103	ENSGALP00000024809
ENSGALP00000024809	ENSGALP00000027103
ENSGALP00000000894	ENSGALP00000026394
ENSGALP00000026394	ENSGALP00000000894
ENSGALP00000023039	ENSGALP00000037005
ENSGALP00000037005	ENSGALP00000023039
ENSGALP00000018564	ENSGALP00000029937
ENSGALP00000029937	ENSGALP00000018564
ENSGALP00000043380	ENSGALP00000025363
ENSGALP00000025363	ENSGALP00000043380
ENSGALP00000043380	ENSGALP00000026776
ENSGALP00000026776	ENSGALP00000043380
ENSGALP00000025363	ENSGALP00000026776
ENSGALP00000026776	ENSGALP00000025363
ENSGALP00000042772	ENSGALP00000041476
ENSGALP00000041476	ENSGALP00000042772
ENSGALP00000040567	ENSGALP00000006047
ENSGALP00000006047	ENSGALP00000040567
ENSGALP00000040567	ENSGALP00000041215
ENSGALP00000041215	ENSGALP00000040567
ENSGALP00000006047	ENSGALP00000041215
ENSGALP00000041215	ENSGALP00000006047
ENSGALP00000040769	ENSGALP00000013176
ENSGALP00000013176	ENSGALP00000040769
ENSGALP00000021249	ENSGALP00000042346
ENSGALP00000042346	ENSGALP00000021249
ENSGALP00000021249	ENSGALP00000022893
ENSGALP00000022893	ENSGALP00000021249
ENSGALP00000042346	ENSGALP00000022893
ENSGALP00000022893	ENSGALP00000042346
ENSGALP00000025609	ENSGALP00000005234
