SINCAM012787	SINCAM922661
SINCAM010412	SINCAM002602
SINCAM013854	SINCAM920715
SINCAM004778	SINCAM000305
SINCAM001382	SINCAM922299
SINCAM015525	SINCAM922995
SINCAM000993	SINCAM015735
SINCAM002756	SINCAM001936
SINCAM004703	SINCAM010943
SINCAM007148	SINCAM013058
SINCAM005287	SINCAM008025
SINCAM015603	SINCAM014438
SINCAM001507	SINCAM001923
SINCAM007011	SINCAM014285
SINCAM007244	SINCAM000161
SINCAM922253	SINCAM005481
SINCAM014961	SINCAM015134
SINCAM000081	SINCAM013534
SINCAM014881	SINCAM015278
SINCAM921561	SINCAM002076
SINCAM002347	SINCAM900268
SINCAM000293	SINCAM000609
SINCAM009752	SINCAM009750
SINCAM012032	SINCAM002523
SINCAM012045	SINCAM920832
SINCAM002984	SINCAM011790
SINCAM006967	SINCAM002643
SINCAM009258	SINCAM010861
SINCAM900158	SINCAM001347
SINCAM002917	SINCAM002289
SINCAM922600	SINCAM006596
SINCAM006620	SINCAM002640
SINCAM009253	SINCAM922554
SINCAM920740	SINCAM006395
SINCAM015567	SINCAM012950
SINCAM007868	SINCAM007869
SINCAM011133	SINCAM922194
SINCAM006999	SINCAM010033
SINCAM005774	SINCAM011596
SINCAM922219	SINCAM014855
SINCAM921977	SINCAM015933
SINCAM015709	SINCAM015989
SINCAM008411	SINCAM003841
SINCAM016173	SINCAM016171
SINCAM007096	SINCAM000032
SINCAM014034	SINCAM002178
SINCAM008764	SINCAM015229
SINCAM006253	SINCAM009707
SINCAM014075	SINCAM009953
SINCAM007991	SINCAM922850
SINCAM014091	SINCAM007119
SINCAM010050	SINCAM015322
SINCAM004161	SINCAM003533
SINCAM015086	SINCAM006927
SINCAM011586	SINCAM012250
SINCAM011363	SINCAM009705
SINCAM010634	SINCAM002388
SINCAM006705	SINCAM017075
SINCAM922201	SINCAM011332
SINCAM009028	SINCAM008851
SINCAM010065	SINCAM921870
SINCAM922417	SINCAM009247
SINCAM922656	SINCAM006455
SINCAM011167	SINCAM012395
SINCAM015331	SINCAM016921
SINCAM007248	SINCAM000689
SINCAM002315	SINCAM001546
SINCAM013067	SINCAM012917
SINCAM015095	SINCAM008402
SINCAM015134	SINCAM017700
SINCAM011579	SINCAM005594
SINCAM013186	SINCAM001225
SINCAM922109	SINCAM011785
SINCAM016222	SINCAM920936
SINCAM014568	SINCAM015839
SINCAM014568	SINCAM008442
SINCAM014570	SINCAM015483
SINCAM004429	SINCAM004428
SINCAM000225	SINCAM004646
SINCAM014570	SINCAM015582
SINCAM000076	SINCAM017680
SINCAM007466	SINCAM008623
SINCAM012810	SINCAM014690
SINCAM920867	SINCAM005266
SINCAM018039	SINCAM005609
SINCAM013635	SINCAM013633
SINCAM015560	SINCAM015661
SINCAM009036	SINCAM003016
SINCAM012764	SINCAM000865
SINCAM922173	SINCAM014762
SINCAM921572	SINCAM921920
SINCAM016922	SINCAM001793
SINCAM015000	SINCAM000608
SINCAM006932	SINCAM009939
SINCAM014034	SINCAM006620
SINCAM900284	SINCAM922619
SINCAM922812	SINCAM922358
SINCAM002634	SINCAM012003
SINCAM011688	SINCAM005838
SINCAM015988	SINCAM015663
SINCAM007869	SINCAM007868
SINCAM003203	SINCAM002425
SINCAM002964	SINCAM012033
SINCAM013221	SINCAM003404
SINCAM002502	SINCAM003141
SINCAM923145	SINCAM003131
SINCAM012517	SINCAM011412
SINCAM004736	SINCAM009149
SINCAM922055	SINCAM002426
SINCAM001644	SINCAM008413
SINCAM014350	SINCAM000392
SINCAM015516	SINCAM923056
SINCAM008569	SINCAM921110
SINCAM015851	SINCAM015569
SINCAM000697	SINCAM007223
SINCAM000512	SINCAM010934
SINCAM011058	SINCAM012704
SINCAM016540	SINCAM016921
SINCAM006160	SINCAM009797
SINCAM015302	SINCAM010050
SINCAM000507	SINCAM004490
SINCAM010885	SINCAM009162
SINCAM008613	SINCAM922254
SINCAM007042	SINCAM011211
SINCAM922527	SINCAM005651
SINCAM002817	SINCAM010465
SINCAM921422	SINCAM011547
SINCAM922985	SINCAM900037
SINCAM000993	SINCAM002688
SINCAM017746	SINCAM004028
SINCAM004757	SINCAM009409
SINCAM007360	SINCAM009301
SINCAM006716	SINCAM001963
SINCAM004978	SINCAM922474
SINCAM011033	SINCAM013336
SINCAM004357	SINCAM004356
SINCAM014570	SINCAM017902
SINCAM007754	SINCAM000081
SINCAM008289	SINCAM003602
SINCAM001336	SINCAM016061
SINCAM900270	SINCAM015568
SINCAM009824	SINCAM005987
SINCAM013388	SINCAM002095
SINCAM002695	SINCAM922063
SINCAM009132	SINCAM009550
SINCAM013911	SINCAM004050
SINCAM017141	SINCAM008101
SINCAM013976	SINCAM013999
SINCAM002619	SINCAM010420
SINCAM002769	SINCAM001319
SINCAM015323	SINCAM923165
SINCAM007409	SINCAM000713
SINCAM008778	SINCAM004847
SINCAM006480	SINCAM014041
SINCAM016797	SINCAM921948
SINCAM922414	SINCAM009037
SINCAM014185	SINCAM001679
SINCAM922991	SINCAM922721
SINCAM002214	SINCAM922344
SINCAM922736	SINCAM004527
SINCAM004524	SINCAM900243
SINCAM002540	SINCAM007147
SINCAM923094	SINCAM017386
SINCAM017226	SINCAM015294
SINCAM005311	SINCAM007895
SINCAM012303	SINCAM005956
SINCAM008358	SINCAM015107
SINCAM009132	SINCAM009203
SINCAM010247	SINCAM010803
SINCAM004549	SINCAM921695
SINCAM015322	SINCAM010050
SINCAM014803	SINCAM004550
SINCAM010435	SINCAM001888
SINCAM014054	SINCAM012991
SINCAM015596	SINCAM014570
SINCAM920921	SINCAM006028
SINCAM011134	SINCAM010551
SINCAM922912	SINCAM010095
SINCAM014570	SINCAM017944
SINCAM014348	SINCAM006941
SINCAM922887	SINCAM011054
SINCAM009278	SINCAM003225
SINCAM011983	SINCAM922057
SINCAM012261	SINCAM005610
SINCAM013961	SINCAM004085
SINCAM017423	SINCAM018102
SINCAM013050	SINCAM001037
SINCAM004114	SINCAM004113
SINCAM921076	SINCAM002447
SINCAM011833	SINCAM003087
SINCAM006210	SINCAM012198
SINCAM013547	SINCAM014164
SINCAM010744	SINCAM004540
SINCAM012305	SINCAM923116
SINCAM016081	SINCAM015843
SINCAM921914	SINCAM012923
SINCAM922395	SINCAM003062
SINCAM015786	SINCAM015712
SINCAM015020	SINCAM016005
SINCAM009549	SINCAM004243
SINCAM008431	SINCAM008464
SINCAM006654	SINCAM005310
SINCAM900265	SINCAM920446
SINCAM002073	SINCAM006401
SINCAM011342	SINCAM001691
SINCAM921262	SINCAM007408
SINCAM004074	SINCAM009277
SINCAM012140	SINCAM922119
SINCAM921453	SINCAM001795
SINCAM009130	SINCAM009126
SINCAM015806	SINCAM008101
SINCAM921636	SINCAM921215
SINCAM009247	SINCAM921394
SINCAM012138	SINCAM009590
SINCAM011537	SINCAM005603
SINCAM001913	SINCAM922076
SINCAM010839	SINCAM004410
SINCAM007119	SINCAM013704
SINCAM009965	SINCAM011012
SINCAM007684	SINCAM008628
SINCAM004243	SINCAM009124
SINCAM016600	SINCAM015513
SINCAM015691	SINCAM015519
SINCAM001876	SINCAM001818
SINCAM004508	SINCAM921333
SINCAM013494	SINCAM006630
SINCAM002535	SINCAM003083
SINCAM006216	SINCAM015521
SINCAM900100	SINCAM012768
SINCAM923040	SINCAM015250
SINCAM011688	SINCAM012254
SINCAM006822	SINCAM014304
SINCAM000789	SINCAM010121
SINCAM007395	SINCAM017692
SINCAM012261	SINCAM014851
SINCAM002658	SINCAM004630
SINCAM004316	SINCAM015593
SINCAM000342	SINCAM922882
SINCAM010998	SINCAM010838
SINCAM922278	SINCAM011473
SINCAM015021	SINCAM015388
SINCAM922100	SINCAM011016
SINCAM011213	SINCAM012402
SINCAM014469	SINCAM000837
SINCAM002962	SINCAM002524
SINCAM005381	SINCAM008914
SINCAM015496	SINCAM923058
SINCAM013551	SINCAM001619
SINCAM007244	SINCAM007735
SINCAM012082	SINCAM005834
SINCAM015908	SINCAM009087
SINCAM002264	SINCAM015500
SINCAM922248	SINCAM005609
SINCAM922004	SINCAM921078
SINCAM006888	SINCAM920467
SINCAM012966	SINCAM012979
SINCAM923058	SINCAM015495
SINCAM003164	SINCAM010392
SINCAM009628	SINCAM015221
SINCAM013212	SINCAM013216
SINCAM001245	SINCAM013121
SINCAM011262	SINCAM012695
SINCAM015393	SINCAM922995
SINCAM900185	SINCAM012845
SINCAM920964	SINCAM922258
SINCAM009627	SINCAM921018
SINCAM017462	SINCAM014570
SINCAM015693	SINCAM017925
SINCAM921403	SINCAM922322
SINCAM012256	SINCAM012042
SINCAM922399	SINCAM004976
SINCAM003236	SINCAM004252
SINCAM006653	SINCAM014236
SINCAM900252	SINCAM006771
SINCAM010178	SINCAM920535
SINCAM012950	SINCAM015567
SINCAM921138	SINCAM921405
SINCAM015148	SINCAM008378
SINCAM011558	SINCAM014526
SINCAM006949	SINCAM920906
SINCAM009011	SINCAM921063
SINCAM006933	SINCAM922332
SINCAM006275	SINCAM001509
SINCAM010939	SINCAM000313
SINCAM004975	SINCAM010838
SINCAM008953	SINCAM002539
SINCAM002495	SINCAM011862
SINCAM006792	SINCAM922756
SINCAM010118	SINCAM920521
SINCAM006273	SINCAM015410
SINCAM009358	SINCAM015957
SINCAM014982	SINCAM008188
SINCAM012852	SINCAM001264
SINCAM003179	SINCAM004802
SINCAM000485	SINCAM920463
SINCAM005607	SINCAM012291
SINCAM004470	SINCAM010230
SINCAM005695	SINCAM012138
SINCAM017653	SINCAM000440
SINCAM920623	SINCAM013019
SINCAM012552	SINCAM922037
SINCAM003638	SINCAM008200
SINCAM012999	SINCAM013185
SINCAM003043	SINCAM010368
SINCAM003558	SINCAM004797
SINCAM009148	SINCAM004731
SINCAM002745	SINCAM002460
SINCAM012981	SINCAM013381
SINCAM010000	SINCAM000604
SINCAM003311	SINCAM003241
SINCAM000215	SINCAM009959
SINCAM007740	SINCAM003198
SINCAM011012	SINCAM009965
SINCAM006487	SINCAM921570
SINCAM001149	SINCAM900056
SINCAM007280	SINCAM015567
SINCAM012925	SINCAM014517
SINCAM921389	SINCAM013613
SINCAM000634	SINCAM000633
SINCAM004368	SINCAM000511
SINCAM008261	SINCAM013220
SINCAM921935	SINCAM921936
SINCAM004176	SINCAM009681
SINCAM016315	SINCAM001678
SINCAM921404	SINCAM004976
SINCAM001348	SINCAM922126
SINCAM014785	SINCAM014661
SINCAM005838	SINCAM011688
SINCAM006546	SINCAM006545
SINCAM004714	SINCAM000396
SINCAM009103	SINCAM002949
SINCAM005710	SINCAM922506
SINCAM001548	SINCAM003305
SINCAM015359	SINCAM016104
SINCAM013943	SINCAM001436
SINCAM006527	SINCAM001669
SINCAM010718	SINCAM004385
SINCAM013561	SINCAM001502
SINCAM014596	SINCAM005379
SINCAM009051	SINCAM001837
SINCAM000234	SINCAM004874
SINCAM006411	SINCAM014980
SINCAM920599	SINCAM013100
SINCAM009236	SINCAM009238
SINCAM000689	SINCAM007248
SINCAM001163	SINCAM900087
SINCAM001621	SINCAM006384
SINCAM923178	SINCAM922954
SINCAM922980	SINCAM015688
SINCAM014698	SINCAM015586
SINCAM002499	SINCAM011860
SINCAM001897	SINCAM014072
SINCAM016077	SINCAM008444
SINCAM921019	SINCAM009468
SINCAM004267	SINCAM013067
SINCAM006044	SINCAM009825
SINCAM009897	SINCAM009774
SINCAM015295	SINCAM004873
SINCAM000489	SINCAM004477
SINCAM921564	SINCAM001895
SINCAM920498	SINCAM004491
SINCAM017809	SINCAM010079
SINCAM002815	SINCAM011907
SINCAM011601	SINCAM015237
SINCAM000828	SINCAM007154
SINCAM005245	SINCAM007820
SINCAM013921	SINCAM003300
SINCAM016506	SINCAM922997
SINCAM015654	SINCAM015989
SINCAM008984	SINCAM003154
SINCAM012521	SINCAM005969
SINCAM011554	SINCAM005735
SINCAM013843	SINCAM009480
SINCAM005219	SINCAM014493
SINCAM006474	SINCAM001774
SINCAM014623	SINCAM014695
SINCAM010189	SINCAM010887
SINCAM920645	SINCAM013044
SINCAM011950	SINCAM011942
SINCAM000880	SINCAM015780
SINCAM004044	SINCAM013947
SINCAM015504	SINCAM015907
SINCAM006912	SINCAM000604
SINCAM006309	SINCAM001717
SINCAM011204	SINCAM012395
SINCAM003830	SINCAM008107
SINCAM010211	SINCAM000578
SINCAM011027	SINCAM004461
SINCAM004318	SINCAM009206
SINCAM014568	SINCAM014960
SINCAM922639	SINCAM002234
SINCAM012286	SINCAM014266
SINCAM922114	SINCAM001654
SINCAM003154	SINCAM008984
SINCAM003202	SINCAM016160
SINCAM920841	SINCAM009594
SINCAM006808	SINCAM014176
SINCAM006590	SINCAM006569
SINCAM000670	SINCAM010101
SINCAM001673	SINCAM013371
SINCAM015544	SINCAM009749
SINCAM923038	SINCAM012363
SINCAM014801	SINCAM000342
SINCAM012686	SINCAM009590
SINCAM920901	SINCAM014744
SINCAM921666	SINCAM015121
SINCAM015903	SINCAM015354
SINCAM004470	SINCAM010239
SINCAM003087	SINCAM002534
SINCAM001979	SINCAM006703
SINCAM004744	SINCAM009107
SINCAM010760	SINCAM920477
SINCAM005893	SINCAM013498
SINCAM013549	SINCAM006759
SINCAM010827	SINCAM004094
SINCAM013135	SINCAM003077
SINCAM012813	SINCAM000999
SINCAM005995	SINCAM922015
SINCAM014587	SINCAM014630
SINCAM007340	SINCAM900152
SINCAM920779	SINCAM002695
SINCAM011540	SINCAM920984
SINCAM923143	SINCAM015249
SINCAM013535	SINCAM006812
SINCAM014122	SINCAM014120
SINCAM921824	SINCAM000858
SINCAM013478	SINCAM921587
SINCAM013533	SINCAM014616
SINCAM002140	SINCAM006350
SINCAM016665	SINCAM923088
SINCAM009456	SINCAM921302
SINCAM004975	SINCAM922776
SINCAM011951	SINCAM011950
SINCAM014516	SINCAM005076
SINCAM003096	SINCAM003203
SINCAM014181	SINCAM006574
SINCAM013578	SINCAM009464
SINCAM011405	SINCAM015899
SINCAM015237	SINCAM007401
SINCAM014385	SINCAM010134
SINCAM015322	SINCAM007402
SINCAM000497	SINCAM005463
SINCAM012619	SINCAM922782
SINCAM010528	SINCAM002555
SINCAM920545	SINCAM000841
SINCAM002592	SINCAM003165
SINCAM009123	SINCAM009126
SINCAM003333	SINCAM921360
SINCAM005879	SINCAM009632
SINCAM000896	SINCAM012807
SINCAM002926	SINCAM002729
SINCAM008702	SINCAM011340
SINCAM015244	SINCAM015647
SINCAM013060	SINCAM923031
SINCAM013427	SINCAM001931
SINCAM007735	SINCAM007244
SINCAM000121	SINCAM005336
SINCAM012189	SINCAM009794
SINCAM012036	SINCAM010525
SINCAM015568	SINCAM900270
SINCAM922245	SINCAM008932
SINCAM001673	SINCAM922763
SINCAM012316	SINCAM009370
SINCAM008605	SINCAM008418
SINCAM000289	SINCAM010803
SINCAM003131	SINCAM923145
SINCAM922820	SINCAM920436
SINCAM010281	SINCAM920560
SINCAM014320	SINCAM007206
SINCAM014463	SINCAM012816
SINCAM006433	SINCAM001710
SINCAM009120	SINCAM013833
SINCAM013422	SINCAM014166
SINCAM004186	SINCAM004179
SINCAM922292	SINCAM921292
SINCAM010864	SINCAM004376
SINCAM015150	SINCAM003849
SINCAM014619	SINCAM016076
SINCAM006413	SINCAM014109
SINCAM002945	SINCAM006690
SINCAM003970	SINCAM921634
SINCAM006687	SINCAM922552
SINCAM005412	SINCAM016118
SINCAM007119	SINCAM009537
SINCAM005059	SINCAM012910
SINCAM014184	SINCAM001680
SINCAM015273	SINCAM001456
SINCAM003361	SINCAM008942
SINCAM921346	SINCAM004139
SINCAM008031	SINCAM005284
SINCAM006628	SINCAM920754
SINCAM015787	SINCAM009358
SINCAM015519	SINCAM015957
SINCAM014570	SINCAM015969
SINCAM007432	SINCAM000261
SINCAM017075	SINCAM013313
SINCAM008385	SINCAM003397
SINCAM011941	SINCAM922091
SINCAM014463	SINCAM001000
SINCAM012602	SINCAM014727
SINCAM922245	SINCAM015563
SINCAM009750	SINCAM009752
SINCAM009698	SINCAM921248
SINCAM017021	SINCAM014570
SINCAM006384	SINCAM018012
SINCAM002504	SINCAM008990
SINCAM015354	SINCAM017724
SINCAM922765	SINCAM002247
SINCAM003561	SINCAM003563
SINCAM014190	SINCAM001688
SINCAM004585	SINCAM922584
SINCAM016495	SINCAM921021
SINCAM010234	SINCAM010249
SINCAM922449	SINCAM014616
SINCAM015863	SINCAM014944
SINCAM009241	SINCAM920821
SINCAM012835	SINCAM000929
SINCAM012201	SINCAM006071
SINCAM015861	SINCAM923177
SINCAM014906	SINCAM922201
SINCAM001568	SINCAM006510
SINCAM000240	SINCAM008294
SINCAM921067	SINCAM011057
SINCAM010623	SINCAM010624
SINCAM010060	SINCAM003860
SINCAM010008	SINCAM000829
SINCAM015720	SINCAM017817
SINCAM922291	SINCAM921111
SINCAM003417	SINCAM922882
SINCAM014904	SINCAM922201
SINCAM015521	SINCAM006216
SINCAM920893	SINCAM008799
SINCAM920746	SINCAM006501
SINCAM011693	SINCAM005675
SINCAM923050	SINCAM008462
SINCAM920502	SINCAM922432
SINCAM006475	SINCAM001773
SINCAM016567	SINCAM002634
SINCAM004281	SINCAM001453
SINCAM922995	SINCAM016932
SINCAM923068	SINCAM015858
SINCAM921944	SINCAM014868
SINCAM921021	SINCAM016495
SINCAM013434	SINCAM921082
SINCAM006779	SINCAM014226
SINCAM001999	SINCAM005922
SINCAM014338	SINCAM002758
SINCAM000292	SINCAM010801
SINCAM921328	SINCAM015054
SINCAM920950	SINCAM014849
SINCAM922996	SINCAM015250
SINCAM923049	SINCAM014936
SINCAM921688	SINCAM003643
SINCAM001019	SINCAM001017
SINCAM920448	SINCAM017193
SINCAM922676	SINCAM001411
SINCAM007906	SINCAM005150
SINCAM006766	SINCAM002130
SINCAM008465	SINCAM014568
SINCAM003415	SINCAM015350
SINCAM921520	SINCAM005219
SINCAM000090	SINCAM000095
SINCAM013617	SINCAM000512
SINCAM012383	SINCAM004193
SINCAM014107	SINCAM001727
SINCAM002630	SINCAM012001
SINCAM000619	SINCAM010195
SINCAM007800	SINCAM017973
SINCAM008162	SINCAM008163
SINCAM014559	SINCAM005310
SINCAM922263	SINCAM012324
SINCAM005582	SINCAM011615
SINCAM921292	SINCAM922584
SINCAM010140	SINCAM000272
SINCAM007475	SINCAM008697
SINCAM016268	SINCAM004331
SINCAM009358	SINCAM015506
SINCAM921725	SINCAM921726
SINCAM921403	SINCAM004197
SINCAM014651	SINCAM014695
SINCAM014993	SINCAM015144
SINCAM012327	SINCAM011618
SINCAM900265	SINCAM015607
SINCAM921766	SINCAM921121
SINCAM013354	SINCAM922639
SINCAM011135	SINCAM012539
SINCAM015728	SINCAM001324
SINCAM923177	SINCAM015524
SINCAM001634	SINCAM003180
SINCAM016656	SINCAM008531
SINCAM006978	SINCAM000036
SINCAM006519	SINCAM013472
SINCAM012661	SINCAM011184
SINCAM922143	SINCAM008997
SINCAM010823	SINCAM921130
SINCAM004546	SINCAM004732
SINCAM009358	SINCAM015016
SINCAM005708	SINCAM922155
SINCAM011590	SINCAM003044
SINCAM006345	SINCAM013432
SINCAM922933	SINCAM016665
SINCAM000623	SINCAM921306
SINCAM017692	SINCAM007408
SINCAM008532	SINCAM016656
SINCAM005741	SINCAM014468
SINCAM016133	SINCAM017386
SINCAM002454	SINCAM002732
SINCAM003715	SINCAM013023
SINCAM001474	SINCAM006222
SINCAM015393	SINCAM923056
SINCAM015615	SINCAM007502
SINCAM006620	SINCAM003015
SINCAM011517	SINCAM001823
SINCAM921491	SINCAM921729
SINCAM001071	SINCAM006305
SINCAM003208	SINCAM008903
SINCAM016476	SINCAM012830
SINCAM009896	SINCAM006099
SINCAM011493	SINCAM012809
SINCAM015397	SINCAM014676
SINCAM012878	SINCAM013253
SINCAM015586	SINCAM014698
SINCAM015266	SINCAM001820
SINCAM016531	SINCAM015519
SINCAM016149	SINCAM003847
SINCAM011709	SINCAM006242
SINCAM001765	SINCAM006777
SINCAM013313	SINCAM001976
SINCAM000965	SINCAM008686
SINCAM012806	SINCAM003149
SINCAM009547	SINCAM004243
SINCAM014424	SINCAM922988
SINCAM014964	SINCAM017175
SINCAM012593	SINCAM014734
SINCAM007813	SINCAM001695
SINCAM922373	SINCAM001435
SINCAM014519	SINCAM005301
SINCAM010361	SINCAM002008
SINCAM013314	SINCAM014080
SINCAM009277	SINCAM004074
SINCAM005174	SINCAM007769
SINCAM004510	SINCAM010213
SINCAM015151	SINCAM003946
SINCAM009884	SINCAM006136
SINCAM921130	SINCAM921798
SINCAM000837	SINCAM005029
SINCAM014934	SINCAM003296
SINCAM015583	SINCAM014566
SINCAM017349	SINCAM922166
SINCAM001313	SINCAM014869
SINCAM012911	SINCAM920844
SINCAM016078	SINCAM920744
SINCAM007276	SINCAM000603
SINCAM004688	SINCAM003184
SINCAM012033	SINCAM002964
SINCAM004842	SINCAM013264
SINCAM015707	SINCAM002263
SINCAM000967	SINCAM013207
SINCAM008863	SINCAM002971
SINCAM015530	SINCAM007407
SINCAM010286	SINCAM009047
SINCAM013550	SINCAM002795
SINCAM900237	SINCAM015716
SINCAM009443	SINCAM920649
SINCAM002585	SINCAM009003
SINCAM001044	SINCAM923030
SINCAM007255	SINCAM014282
SINCAM922541	SINCAM015347
SINCAM001776	SINCAM001694
SINCAM008371	SINCAM015149
SINCAM008188	SINCAM922980
SINCAM004062	SINCAM011044
SINCAM011972	SINCAM922080
SINCAM000393	SINCAM922332
SINCAM002331	SINCAM014483
SINCAM006133	SINCAM009733
SINCAM005976	SINCAM011625
SINCAM012777	SINCAM005416
SINCAM004143	SINCAM921762
SINCAM004470	SINCAM000288
SINCAM011167	SINCAM012396
SINCAM014922	SINCAM004617
SINCAM015569	SINCAM014619
SINCAM010422	SINCAM010545
SINCAM002296	SINCAM011816
SINCAM004062	SINCAM012593
SINCAM004650	SINCAM010282
SINCAM013548	SINCAM922471
SINCAM009674	SINCAM920973
SINCAM016512	SINCAM010435
SINCAM009750	SINCAM922795
SINCAM005599	SINCAM011586
SINCAM002347	SINCAM010543
SINCAM013239	SINCAM014682
SINCAM011378	SINCAM012393
SINCAM013185	SINCAM012999
SINCAM009191	SINCAM009190
SINCAM006023	SINCAM015933
SINCAM010957	SINCAM921378
SINCAM005872	SINCAM011478
SINCAM004040	SINCAM008975
SINCAM015386	SINCAM009358
SINCAM013107	SINCAM012797
SINCAM013942	SINCAM013899
SINCAM010230	SINCAM010256
SINCAM008690	SINCAM009095
SINCAM003746	SINCAM015356
SINCAM015135	SINCAM015129
SINCAM000751	SINCAM921375
SINCAM006777	SINCAM001766
SINCAM004171	SINCAM003422
SINCAM010402	SINCAM920832
SINCAM013013	SINCAM001286
SINCAM002444	SINCAM012176
SINCAM004598	SINCAM013892
SINCAM012011	SINCAM002315
SINCAM013617	SINCAM010341
SINCAM004155	SINCAM003656
SINCAM922602	SINCAM008917
SINCAM011211	SINCAM008187
SINCAM007152	SINCAM922820
SINCAM005219	SINCAM921519
SINCAM922139	SINCAM921034
SINCAM009358	SINCAM015423
SINCAM005278	SINCAM000899
SINCAM005907	SINCAM009612
SINCAM007630	SINCAM003840
SINCAM011056	SINCAM000700
SINCAM012263	SINCAM921020
SINCAM016126	SINCAM010276
SINCAM923145	SINCAM923171
SINCAM009438	SINCAM004921
SINCAM011448	SINCAM011446
SINCAM000143	SINCAM921863
SINCAM011746	SINCAM011370
SINCAM015995	SINCAM015401
SINCAM003336	SINCAM004610
SINCAM005061	SINCAM005772
SINCAM003241	SINCAM003311
SINCAM013374	SINCAM014169
SINCAM015525	SINCAM015307
SINCAM014958	SINCAM014939
SINCAM002961	SINCAM001456
SINCAM011793	SINCAM002467
SINCAM922876	SINCAM007361
SINCAM009353	SINCAM009352
SINCAM006086	SINCAM922604
SINCAM015568	SINCAM014253
SINCAM012081	SINCAM005833
SINCAM015187	SINCAM014568
SINCAM004750	SINCAM009459
SINCAM004192	SINCAM007406
SINCAM007489	SINCAM921446
SINCAM014590	SINCAM014594
SINCAM013859	SINCAM004167
SINCAM013086	SINCAM003807
SINCAM000076	SINCAM009991
SINCAM011195	SINCAM922175
SINCAM012929	SINCAM001175
SINCAM005389	SINCAM000891
SINCAM008916	SINCAM002994
SINCAM005948	SINCAM008779
SINCAM007569	SINCAM003803
SINCAM006486	SINCAM002055
SINCAM922991	SINCAM015859
SINCAM012152	SINCAM005738
SINCAM016089	SINCAM018080
SINCAM000288	SINCAM010235
SINCAM000774	SINCAM010114
SINCAM010711	SINCAM010712
SINCAM006573	SINCAM006577
SINCAM009150	SINCAM009518
SINCAM014591	SINCAM014630
SINCAM012113	SINCAM009654
SINCAM002660	SINCAM015785
SINCAM012704	SINCAM011058
SINCAM010181	SINCAM007265
SINCAM000159	SINCAM000003
SINCAM922358	SINCAM922812
SINCAM004447	SINCAM014588
SINCAM000309	SINCAM922310
SINCAM012820	SINCAM014970
SINCAM017851	SINCAM922710
SINCAM004028	SINCAM015519
SINCAM900059	SINCAM012714
SINCAM009208	SINCAM015062
SINCAM921570	SINCAM005924
SINCAM900139	SINCAM012753
SINCAM017784	SINCAM016090
SINCAM005609	SINCAM005608
SINCAM004801	SINCAM010490
SINCAM921007	SINCAM920463
SINCAM003153	SINCAM007657
SINCAM012181	SINCAM006043
SINCAM017596	SINCAM002977
SINCAM001704	SINCAM000854
SINCAM009141	SINCAM921293
SINCAM011054	SINCAM922887
SINCAM008955	SINCAM013120
SINCAM003822	SINCAM008501
SINCAM006780	SINCAM013469
SINCAM001913	SINCAM001812
SINCAM000031	SINCAM010038
SINCAM922639	SINCAM006263
SINCAM016174	SINCAM016171
SINCAM921078	SINCAM002510
SINCAM000124	SINCAM005388
SINCAM014424	SINCAM922872
SINCAM007263	SINCAM922803
SINCAM002689	SINCAM012062
SINCAM010122	SINCAM921807
SINCAM000159	SINCAM920481
SINCAM004647	SINCAM011012
SINCAM001348	SINCAM900158
SINCAM013732	SINCAM000575
SINCAM007129	SINCAM014745
SINCAM005315	SINCAM921367
SINCAM002772	SINCAM014173
SINCAM016831	SINCAM006217
SINCAM006512	SINCAM012429
SINCAM002174	SINCAM013496
SINCAM000790	SINCAM016430
SINCAM007119	SINCAM014266
SINCAM016102	SINCAM016921
SINCAM012248	SINCAM920958
SINCAM009458	SINCAM016052
SINCAM010249	SINCAM010234
SINCAM014568	SINCAM015826
SINCAM008143	SINCAM015004
SINCAM006448	SINCAM001758
SINCAM001206	SINCAM012932
SINCAM009858	SINCAM014220
SINCAM922847	SINCAM015843
SINCAM004517	SINCAM009016
SINCAM922264	SINCAM007726
SINCAM013805	SINCAM009293
SINCAM009749	SINCAM009897
SINCAM015693	SINCAM921385
SINCAM008840	SINCAM016680
SINCAM014236	SINCAM002896
SINCAM006545	SINCAM001694
SINCAM013493	SINCAM014165
SINCAM000957	SINCAM013130
SINCAM002573	SINCAM003291
SINCAM922151	SINCAM001775
SINCAM000247	SINCAM009783
SINCAM006569	SINCAM006595
SINCAM013260	SINCAM001397
SINCAM013288	SINCAM001727
SINCAM007048	SINCAM000007
SINCAM010231	SINCAM000288
SINCAM011303	SINCAM015702
SINCAM012277	SINCAM009788
SINCAM006937	SINCAM002467
SINCAM015278	SINCAM014881
SINCAM017653	SINCAM016250
SINCAM007245	SINCAM008247
SINCAM016171	SINCAM016173
SINCAM011066	SINCAM014696
SINCAM012917	SINCAM015998
SINCAM922015	SINCAM922262
SINCAM922762	SINCAM001650
SINCAM008348	SINCAM011855
SINCAM005964	SINCAM005965
SINCAM000358	SINCAM007140
SINCAM012097	SINCAM011665
SINCAM009676	SINCAM004260
SINCAM015965	SINCAM009695
SINCAM009939	SINCAM000392
SINCAM015395	SINCAM015394
SINCAM008668	SINCAM011508
SINCAM015390	SINCAM016505
SINCAM014744	SINCAM010774
SINCAM012991	SINCAM921559
SINCAM002555	SINCAM922384
