ENSLOCP00000011371	ENSLOCP00000009128
ENSLOCP00000011798	ENSLOCP00000012112
ENSLOCP00000000295	ENSLOCP00000008739
ENSLOCP00000008739	ENSLOCP00000000295
ENSLOCP00000000295	ENSLOCP00000011798
ENSLOCP00000011798	ENSLOCP00000000295
ENSLOCP00000008739	ENSLOCP00000011798
ENSLOCP00000011798	ENSLOCP00000008739
ENSLOCP00000006580	ENSLOCP00000018624
ENSLOCP00000018624	ENSLOCP00000006580
ENSLOCP00000006580	ENSLOCP00000012190
ENSLOCP00000012190	ENSLOCP00000006580
ENSLOCP00000018624	ENSLOCP00000012190
ENSLOCP00000012190	ENSLOCP00000018624
ENSLOCP00000009137	ENSLOCP00000014129
ENSLOCP00000014129	ENSLOCP00000009137
ENSLOCP00000009137	ENSLOCP00000014931
ENSLOCP00000014931	ENSLOCP00000009137
ENSLOCP00000014129	ENSLOCP00000014931
ENSLOCP00000014931	ENSLOCP00000014129
ENSLOCP00000015917	ENSLOCP00000000012
ENSLOCP00000000012	ENSLOCP00000015917
ENSLOCP00000015917	ENSLOCP00000010552
ENSLOCP00000010552	ENSLOCP00000015917
ENSLOCP00000015917	ENSLOCP00000014081
ENSLOCP00000014081	ENSLOCP00000015917
ENSLOCP00000000012	ENSLOCP00000010552
ENSLOCP00000010552	ENSLOCP00000000012
ENSLOCP00000000012	ENSLOCP00000014081
ENSLOCP00000014081	ENSLOCP00000000012
ENSLOCP00000010552	ENSLOCP00000014081
ENSLOCP00000014081	ENSLOCP00000010552
ENSLOCP00000008337	ENSLOCP00000021429
ENSLOCP00000021429	ENSLOCP00000008337
ENSLOCP00000008337	ENSLOCP00000021090
ENSLOCP00000021090	ENSLOCP00000008337
ENSLOCP00000008337	ENSLOCP00000022026
ENSLOCP00000022026	ENSLOCP00000008337
ENSLOCP00000021429	ENSLOCP00000021090
ENSLOCP00000021090	ENSLOCP00000021429
ENSLOCP00000021429	ENSLOCP00000022026
ENSLOCP00000022026	ENSLOCP00000021429
ENSLOCP00000021090	ENSLOCP00000022026
ENSLOCP00000022026	ENSLOCP00000021090
ENSLOCP00000012280	ENSLOCP00000018659
ENSLOCP00000018659	ENSLOCP00000012280
ENSLOCP00000012280	ENSLOCP00000005298
ENSLOCP00000005298	ENSLOCP00000012280
ENSLOCP00000018659	ENSLOCP00000005298
ENSLOCP00000005298	ENSLOCP00000018659
ENSLOCP00000015496	ENSLOCP00000013893
ENSLOCP00000013893	ENSLOCP00000015496
ENSLOCP00000015496	ENSLOCP00000014241
ENSLOCP00000014241	ENSLOCP00000015496
ENSLOCP00000015496	ENSLOCP00000018978
ENSLOCP00000018978	ENSLOCP00000015496
ENSLOCP00000013893	ENSLOCP00000014241
ENSLOCP00000014241	ENSLOCP00000013893
ENSLOCP00000013893	ENSLOCP00000018978
ENSLOCP00000018978	ENSLOCP00000013893
ENSLOCP00000014241	ENSLOCP00000018978
ENSLOCP00000018978	ENSLOCP00000014241
ENSLOCP00000012580	ENSLOCP00000002029
ENSLOCP00000002029	ENSLOCP00000012580
ENSLOCP00000006953	ENSLOCP00000012884
ENSLOCP00000012884	ENSLOCP00000006953
ENSLOCP00000003565	ENSLOCP00000003318
ENSLOCP00000003318	ENSLOCP00000003565
ENSLOCP00000003565	ENSLOCP00000021144
ENSLOCP00000021144	ENSLOCP00000003565
ENSLOCP00000003318	ENSLOCP00000021144
ENSLOCP00000021144	ENSLOCP00000003318
ENSLOCP00000021837	ENSLOCP00000021839
ENSLOCP00000021839	ENSLOCP00000021837
ENSLOCP00000007387	ENSLOCP00000019936
ENSLOCP00000019936	ENSLOCP00000007387
ENSLOCP00000018686	ENSLOCP00000014145
ENSLOCP00000014145	ENSLOCP00000018686
ENSLOCP00000009712	ENSLOCP00000012600
ENSLOCP00000012600	ENSLOCP00000009712
ENSLOCP00000012292	ENSLOCP00000016783
ENSLOCP00000016783	ENSLOCP00000012292
ENSLOCP00000007008	ENSLOCP00000007919
ENSLOCP00000007919	ENSLOCP00000007008
ENSLOCP00000001323	ENSLOCP00000001229
ENSLOCP00000001229	ENSLOCP00000001323
ENSLOCP00000001323	ENSLOCP00000019996
ENSLOCP00000019996	ENSLOCP00000001323
ENSLOCP00000001229	ENSLOCP00000019996
ENSLOCP00000019996	ENSLOCP00000001229
ENSLOCP00000003106	ENSLOCP00000016771
ENSLOCP00000016771	ENSLOCP00000003106
ENSLOCP00000009686	ENSLOCP00000001440
ENSLOCP00000001440	ENSLOCP00000009686
ENSLOCP00000015017	ENSLOCP00000014924
ENSLOCP00000014924	ENSLOCP00000015017
ENSLOCP00000015017	ENSLOCP00000015533
ENSLOCP00000015533	ENSLOCP00000015017
ENSLOCP00000014924	ENSLOCP00000015533
ENSLOCP00000015533	ENSLOCP00000014924
ENSLOCP00000014651	ENSLOCP00000008744
ENSLOCP00000008744	ENSLOCP00000014651
ENSLOCP00000004775	ENSLOCP00000004912
ENSLOCP00000004912	ENSLOCP00000004775
ENSLOCP00000004775	ENSLOCP00000019570
ENSLOCP00000019570	ENSLOCP00000004775
ENSLOCP00000004912	ENSLOCP00000019570
ENSLOCP00000019570	ENSLOCP00000004912
ENSLOCP00000007048	ENSLOCP00000006513
ENSLOCP00000006513	ENSLOCP00000007048
ENSLOCP00000012804	ENSLOCP00000004513
ENSLOCP00000004513	ENSLOCP00000012804
ENSLOCP00000014622	ENSLOCP00000018521
ENSLOCP00000018521	ENSLOCP00000014622
ENSLOCP00000014622	ENSLOCP00000016935
ENSLOCP00000016935	ENSLOCP00000014622
ENSLOCP00000018521	ENSLOCP00000016935
ENSLOCP00000016935	ENSLOCP00000018521
ENSLOCP00000003354	ENSLOCP00000002006
ENSLOCP00000002006	ENSLOCP00000003354
ENSLOCP00000013208	ENSLOCP00000008798
ENSLOCP00000008798	ENSLOCP00000013208
ENSLOCP00000013208	ENSLOCP00000011960
ENSLOCP00000011960	ENSLOCP00000013208
ENSLOCP00000008798	ENSLOCP00000011960
ENSLOCP00000011960	ENSLOCP00000008798
ENSLOCP00000007383	ENSLOCP00000015516
ENSLOCP00000015516	ENSLOCP00000007383
ENSLOCP00000007383	ENSLOCP00000015556
ENSLOCP00000015556	ENSLOCP00000007383
ENSLOCP00000015516	ENSLOCP00000015556
ENSLOCP00000015556	ENSLOCP00000015516
ENSLOCP00000005158	ENSLOCP00000008254
ENSLOCP00000008254	ENSLOCP00000005158
ENSLOCP00000005158	ENSLOCP00000000642
ENSLOCP00000000642	ENSLOCP00000005158
ENSLOCP00000008254	ENSLOCP00000000642
ENSLOCP00000000642	ENSLOCP00000008254
ENSLOCP00000012380	ENSLOCP00000001200
ENSLOCP00000001200	ENSLOCP00000012380
ENSLOCP00000007170	ENSLOCP00000015944
ENSLOCP00000015944	ENSLOCP00000007170
ENSLOCP00000008999	ENSLOCP00000009691
ENSLOCP00000009691	ENSLOCP00000008999
ENSLOCP00000008999	ENSLOCP00000018038
ENSLOCP00000018038	ENSLOCP00000008999
ENSLOCP00000008999	ENSLOCP00000021343
ENSLOCP00000021343	ENSLOCP00000008999
ENSLOCP00000008999	ENSLOCP00000018534
ENSLOCP00000018534	ENSLOCP00000008999
ENSLOCP00000009691	ENSLOCP00000018038
ENSLOCP00000018038	ENSLOCP00000009691
ENSLOCP00000009691	ENSLOCP00000021343
ENSLOCP00000021343	ENSLOCP00000009691
ENSLOCP00000009691	ENSLOCP00000018534
ENSLOCP00000018534	ENSLOCP00000009691
ENSLOCP00000018038	ENSLOCP00000021343
ENSLOCP00000021343	ENSLOCP00000018038
ENSLOCP00000018038	ENSLOCP00000018534
ENSLOCP00000018534	ENSLOCP00000018038
ENSLOCP00000021343	ENSLOCP00000018534
ENSLOCP00000018534	ENSLOCP00000021343
ENSLOCP00000010911	ENSLOCP00000020687
ENSLOCP00000020687	ENSLOCP00000010911
ENSLOCP00000005614	ENSLOCP00000014978
ENSLOCP00000014978	ENSLOCP00000005614
ENSLOCP00000005614	ENSLOCP00000014986
ENSLOCP00000014986	ENSLOCP00000005614
ENSLOCP00000005614	ENSLOCP00000005829
ENSLOCP00000005829	ENSLOCP00000005614
ENSLOCP00000014978	ENSLOCP00000014986
ENSLOCP00000014986	ENSLOCP00000014978
ENSLOCP00000014978	ENSLOCP00000005829
ENSLOCP00000005829	ENSLOCP00000014978
ENSLOCP00000014986	ENSLOCP00000005829
ENSLOCP00000005829	ENSLOCP00000014986
ENSLOCP00000005394	ENSLOCP00000009649
ENSLOCP00000009649	ENSLOCP00000005394
ENSLOCP00000005394	ENSLOCP00000008787
ENSLOCP00000008787	ENSLOCP00000005394
ENSLOCP00000009649	ENSLOCP00000008787
ENSLOCP00000008787	ENSLOCP00000009649
ENSLOCP00000019877	ENSLOCP00000000498
ENSLOCP00000000498	ENSLOCP00000019877
ENSLOCP00000011149	ENSLOCP00000020871
ENSLOCP00000020871	ENSLOCP00000011149
ENSLOCP00000002017	ENSLOCP00000017200
ENSLOCP00000017200	ENSLOCP00000002017
ENSLOCP00000012161	ENSLOCP00000018328
ENSLOCP00000018328	ENSLOCP00000012161
ENSLOCP00000012161	ENSLOCP00000015840
ENSLOCP00000015840	ENSLOCP00000012161
ENSLOCP00000018328	ENSLOCP00000015840
ENSLOCP00000015840	ENSLOCP00000018328
ENSLOCP00000009861	ENSLOCP00000001858
ENSLOCP00000001858	ENSLOCP00000009861
ENSLOCP00000009861	ENSLOCP00000000060
ENSLOCP00000000060	ENSLOCP00000009861
ENSLOCP00000001858	ENSLOCP00000000060
ENSLOCP00000000060	ENSLOCP00000001858
ENSLOCP00000009595	ENSLOCP00000018814
ENSLOCP00000018814	ENSLOCP00000009595
ENSLOCP00000009595	ENSLOCP00000002053
ENSLOCP00000002053	ENSLOCP00000009595
ENSLOCP00000009595	ENSLOCP00000015472
ENSLOCP00000015472	ENSLOCP00000009595
ENSLOCP00000018814	ENSLOCP00000002053
ENSLOCP00000002053	ENSLOCP00000018814
ENSLOCP00000018814	ENSLOCP00000015472
ENSLOCP00000015472	ENSLOCP00000018814
ENSLOCP00000002053	ENSLOCP00000015472
ENSLOCP00000015472	ENSLOCP00000002053
ENSLOCP00000015241	ENSLOCP00000018848
ENSLOCP00000018848	ENSLOCP00000015241
ENSLOCP00000015507	ENSLOCP00000009280
ENSLOCP00000009280	ENSLOCP00000015507
ENSLOCP00000015507	ENSLOCP00000013534
ENSLOCP00000013534	ENSLOCP00000015507
ENSLOCP00000009280	ENSLOCP00000013534
ENSLOCP00000013534	ENSLOCP00000009280
ENSLOCP00000018148	ENSLOCP00000013277
ENSLOCP00000013277	ENSLOCP00000018148
ENSLOCP00000018148	ENSLOCP00000001226
ENSLOCP00000001226	ENSLOCP00000018148
ENSLOCP00000013277	ENSLOCP00000001226
ENSLOCP00000001226	ENSLOCP00000013277
ENSLOCP00000016021	ENSLOCP00000018302
ENSLOCP00000018302	ENSLOCP00000016021
ENSLOCP00000016021	ENSLOCP00000011462
ENSLOCP00000011462	ENSLOCP00000016021
ENSLOCP00000016021	ENSLOCP00000012499
ENSLOCP00000012499	ENSLOCP00000016021
ENSLOCP00000018302	ENSLOCP00000011462
ENSLOCP00000011462	ENSLOCP00000018302
ENSLOCP00000018302	ENSLOCP00000012499
ENSLOCP00000012499	ENSLOCP00000018302
ENSLOCP00000011462	ENSLOCP00000012499
ENSLOCP00000012499	ENSLOCP00000011462
ENSLOCP00000001496	ENSLOCP00000020600
ENSLOCP00000020600	ENSLOCP00000001496
ENSLOCP00000001496	ENSLOCP00000013635
ENSLOCP00000013635	ENSLOCP00000001496
ENSLOCP00000020600	ENSLOCP00000013635
ENSLOCP00000013635	ENSLOCP00000020600
ENSLOCP00000006646	ENSLOCP00000008048
ENSLOCP00000008048	ENSLOCP00000006646
ENSLOCP00000006646	ENSLOCP00000006680
ENSLOCP00000006680	ENSLOCP00000006646
ENSLOCP00000008048	ENSLOCP00000006680
ENSLOCP00000006680	ENSLOCP00000008048
ENSLOCP00000004797	ENSLOCP00000010757
ENSLOCP00000010757	ENSLOCP00000004797
ENSLOCP00000004797	ENSLOCP00000009442
ENSLOCP00000009442	ENSLOCP00000004797
ENSLOCP00000004797	ENSLOCP00000016407
ENSLOCP00000016407	ENSLOCP00000004797
ENSLOCP00000010757	ENSLOCP00000009442
ENSLOCP00000009442	ENSLOCP00000010757
ENSLOCP00000010757	ENSLOCP00000016407
ENSLOCP00000016407	ENSLOCP00000010757
ENSLOCP00000009442	ENSLOCP00000016407
ENSLOCP00000016407	ENSLOCP00000009442
ENSLOCP00000008315	ENSLOCP00000009355
ENSLOCP00000009355	ENSLOCP00000008315
ENSLOCP00000008315	ENSLOCP00000005141
ENSLOCP00000005141	ENSLOCP00000008315
ENSLOCP00000009355	ENSLOCP00000005141
ENSLOCP00000005141	ENSLOCP00000009355
ENSLOCP00000001294	ENSLOCP00000004307
ENSLOCP00000004307	ENSLOCP00000001294
ENSLOCP00000005364	ENSLOCP00000018421
ENSLOCP00000018421	ENSLOCP00000005364
ENSLOCP00000005364	ENSLOCP00000012394
ENSLOCP00000012394	ENSLOCP00000005364
ENSLOCP00000018421	ENSLOCP00000012394
ENSLOCP00000012394	ENSLOCP00000018421
ENSLOCP00000009385	ENSLOCP00000003957
ENSLOCP00000003957	ENSLOCP00000009385
ENSLOCP00000009385	ENSLOCP00000008503
ENSLOCP00000008503	ENSLOCP00000009385
ENSLOCP00000003957	ENSLOCP00000008503
ENSLOCP00000008503	ENSLOCP00000003957
ENSLOCP00000014610	ENSLOCP00000016620
ENSLOCP00000016620	ENSLOCP00000014610
ENSLOCP00000021285	ENSLOCP00000006312
ENSLOCP00000006312	ENSLOCP00000021285
ENSLOCP00000021285	ENSLOCP00000007097
ENSLOCP00000007097	ENSLOCP00000021285
ENSLOCP00000006312	ENSLOCP00000007097
ENSLOCP00000007097	ENSLOCP00000006312
ENSLOCP00000005246	ENSLOCP00000006314
ENSLOCP00000006314	ENSLOCP00000005246
ENSLOCP00000018542	ENSLOCP00000004312
ENSLOCP00000004312	ENSLOCP00000018542
ENSLOCP00000019794	ENSLOCP00000015390
ENSLOCP00000015390	ENSLOCP00000019794
ENSLOCP00000019794	ENSLOCP00000014209
ENSLOCP00000014209	ENSLOCP00000019794
ENSLOCP00000015390	ENSLOCP00000014209
ENSLOCP00000014209	ENSLOCP00000015390
ENSLOCP00000014074	ENSLOCP00000018579
ENSLOCP00000018579	ENSLOCP00000014074
ENSLOCP00000011939	ENSLOCP00000006985
ENSLOCP00000006985	ENSLOCP00000011939
ENSLOCP00000009227	ENSLOCP00000003693
ENSLOCP00000003693	ENSLOCP00000009227
ENSLOCP00000020249	ENSLOCP00000014151
ENSLOCP00000014151	ENSLOCP00000020249
ENSLOCP00000014690	ENSLOCP00000009564
ENSLOCP00000009564	ENSLOCP00000014690
ENSLOCP00000020092	ENSLOCP00000010906
ENSLOCP00000010906	ENSLOCP00000020092
ENSLOCP00000015127	ENSLOCP00000019257
ENSLOCP00000019257	ENSLOCP00000015127
ENSLOCP00000001272	ENSLOCP00000019424
ENSLOCP00000019424	ENSLOCP00000001272
ENSLOCP00000018657	ENSLOCP00000006052
ENSLOCP00000006052	ENSLOCP00000018657
ENSLOCP00000018657	ENSLOCP00000015684
ENSLOCP00000015684	ENSLOCP00000018657
ENSLOCP00000018657	ENSLOCP00000014045
ENSLOCP00000014045	ENSLOCP00000018657
ENSLOCP00000006052	ENSLOCP00000015684
ENSLOCP00000015684	ENSLOCP00000006052
ENSLOCP00000006052	ENSLOCP00000014045
ENSLOCP00000014045	ENSLOCP00000006052
ENSLOCP00000015684	ENSLOCP00000014045
ENSLOCP00000014045	ENSLOCP00000015684
ENSLOCP00000011994	ENSLOCP00000021998
ENSLOCP00000021998	ENSLOCP00000011994
ENSLOCP00000011994	ENSLOCP00000002555
ENSLOCP00000002555	ENSLOCP00000011994
ENSLOCP00000011994	ENSLOCP00000001033
ENSLOCP00000001033	ENSLOCP00000011994
ENSLOCP00000021998	ENSLOCP00000002555
ENSLOCP00000002555	ENSLOCP00000021998
ENSLOCP00000021998	ENSLOCP00000001033
ENSLOCP00000001033	ENSLOCP00000021998
ENSLOCP00000002555	ENSLOCP00000001033
ENSLOCP00000001033	ENSLOCP00000002555
ENSLOCP00000019471	ENSLOCP00000013480
ENSLOCP00000013480	ENSLOCP00000019471
ENSLOCP00000019471	ENSLOCP00000003232
ENSLOCP00000003232	ENSLOCP00000019471
ENSLOCP00000013480	ENSLOCP00000003232
ENSLOCP00000003232	ENSLOCP00000013480
ENSLOCP00000006752	ENSLOCP00000014493
ENSLOCP00000014493	ENSLOCP00000006752
ENSLOCP00000006752	ENSLOCP00000006776
ENSLOCP00000006776	ENSLOCP00000006752
ENSLOCP00000014493	ENSLOCP00000006776
ENSLOCP00000006776	ENSLOCP00000014493
ENSLOCP00000011554	ENSLOCP00000019301
ENSLOCP00000019301	ENSLOCP00000011554
ENSLOCP00000001555	ENSLOCP00000013024
ENSLOCP00000013024	ENSLOCP00000001555
ENSLOCP00000004686	ENSLOCP00000002982
ENSLOCP00000002982	ENSLOCP00000004686
ENSLOCP00000002142	ENSLOCP00000015518
ENSLOCP00000015518	ENSLOCP00000002142
ENSLOCP00000007528	ENSLOCP00000004486
ENSLOCP00000004486	ENSLOCP00000007528
ENSLOCP00000004216	ENSLOCP00000016697
ENSLOCP00000016697	ENSLOCP00000004216
ENSLOCP00000004216	ENSLOCP00000007277
ENSLOCP00000007277	ENSLOCP00000004216
ENSLOCP00000016697	ENSLOCP00000007277
ENSLOCP00000007277	ENSLOCP00000016697
ENSLOCP00000004874	ENSLOCP00000006504
ENSLOCP00000006504	ENSLOCP00000004874
ENSLOCP00000004874	ENSLOCP00000020779
ENSLOCP00000020779	ENSLOCP00000004874
ENSLOCP00000004874	ENSLOCP00000011779
ENSLOCP00000011779	ENSLOCP00000004874
ENSLOCP00000006504	ENSLOCP00000020779
ENSLOCP00000020779	ENSLOCP00000006504
ENSLOCP00000006504	ENSLOCP00000011779
ENSLOCP00000011779	ENSLOCP00000006504
ENSLOCP00000020779	ENSLOCP00000011779
ENSLOCP00000011779	ENSLOCP00000020779
ENSLOCP00000014801	ENSLOCP00000011392
ENSLOCP00000011392	ENSLOCP00000014801
ENSLOCP00000014801	ENSLOCP00000005780
ENSLOCP00000005780	ENSLOCP00000014801
ENSLOCP00000014801	ENSLOCP00000013444
ENSLOCP00000013444	ENSLOCP00000014801
ENSLOCP00000011392	ENSLOCP00000005780
ENSLOCP00000005780	ENSLOCP00000011392
ENSLOCP00000011392	ENSLOCP00000013444
ENSLOCP00000013444	ENSLOCP00000011392
ENSLOCP00000005780	ENSLOCP00000013444
ENSLOCP00000013444	ENSLOCP00000005780
ENSLOCP00000009818	ENSLOCP00000017533
ENSLOCP00000017533	ENSLOCP00000009818
ENSLOCP00000004780	ENSLOCP00000006935
ENSLOCP00000006935	ENSLOCP00000004780
ENSLOCP00000013856	ENSLOCP00000002410
ENSLOCP00000002410	ENSLOCP00000013856
ENSLOCP00000013856	ENSLOCP00000020353
ENSLOCP00000020353	ENSLOCP00000013856
ENSLOCP00000002410	ENSLOCP00000020353
ENSLOCP00000020353	ENSLOCP00000002410
ENSLOCP00000001422	ENSLOCP00000002766
ENSLOCP00000002766	ENSLOCP00000001422
ENSLOCP00000001422	ENSLOCP00000008981
ENSLOCP00000008981	ENSLOCP00000001422
ENSLOCP00000002766	ENSLOCP00000008981
ENSLOCP00000008981	ENSLOCP00000002766
ENSLOCP00000021105	ENSLOCP00000011756
ENSLOCP00000011756	ENSLOCP00000021105
ENSLOCP00000021105	ENSLOCP00000015837
ENSLOCP00000015837	ENSLOCP00000021105
ENSLOCP00000011756	ENSLOCP00000015837
ENSLOCP00000015837	ENSLOCP00000011756
ENSLOCP00000003133	ENSLOCP00000021077
ENSLOCP00000021077	ENSLOCP00000003133
ENSLOCP00000003133	ENSLOCP00000006720
ENSLOCP00000006720	ENSLOCP00000003133
ENSLOCP00000021077	ENSLOCP00000006720
ENSLOCP00000006720	ENSLOCP00000021077
ENSLOCP00000013580	ENSLOCP00000019771
ENSLOCP00000019771	ENSLOCP00000013580
ENSLOCP00000018411	ENSLOCP00000011855
ENSLOCP00000011855	ENSLOCP00000018411
ENSLOCP00000018411	ENSLOCP00000011356
ENSLOCP00000011356	ENSLOCP00000018411
ENSLOCP00000011855	ENSLOCP00000011356
ENSLOCP00000011356	ENSLOCP00000011855
ENSLOCP00000008556	ENSLOCP00000010714
ENSLOCP00000010714	ENSLOCP00000008556
ENSLOCP00000008556	ENSLOCP00000018581
ENSLOCP00000018581	ENSLOCP00000008556
ENSLOCP00000010714	ENSLOCP00000018581
ENSLOCP00000018581	ENSLOCP00000010714
ENSLOCP00000018060	ENSLOCP00000014636
ENSLOCP00000014636	ENSLOCP00000018060
ENSLOCP00000018060	ENSLOCP00000008964
ENSLOCP00000008964	ENSLOCP00000018060
ENSLOCP00000014636	ENSLOCP00000008964
ENSLOCP00000008964	ENSLOCP00000014636
ENSLOCP00000013592	ENSLOCP00000004617
ENSLOCP00000004617	ENSLOCP00000013592
ENSLOCP00000020918	ENSLOCP00000005197
ENSLOCP00000005197	ENSLOCP00000020918
ENSLOCP00000020918	ENSLOCP00000012887
ENSLOCP00000012887	ENSLOCP00000020918
ENSLOCP00000005197	ENSLOCP00000012887
ENSLOCP00000012887	ENSLOCP00000005197
ENSLOCP00000006147	ENSLOCP00000020514
ENSLOCP00000020514	ENSLOCP00000006147
ENSLOCP00000006147	ENSLOCP00000009204
ENSLOCP00000009204	ENSLOCP00000006147
ENSLOCP00000006147	ENSLOCP00000018363
ENSLOCP00000018363	ENSLOCP00000006147
ENSLOCP00000020514	ENSLOCP00000009204
ENSLOCP00000009204	ENSLOCP00000020514
ENSLOCP00000020514	ENSLOCP00000018363
ENSLOCP00000018363	ENSLOCP00000020514
ENSLOCP00000009204	ENSLOCP00000018363
ENSLOCP00000018363	ENSLOCP00000009204
ENSLOCP00000014420	ENSLOCP00000017138
ENSLOCP00000017138	ENSLOCP00000014420
ENSLOCP00000014420	ENSLOCP00000010866
ENSLOCP00000010866	ENSLOCP00000014420
ENSLOCP00000017138	ENSLOCP00000010866
ENSLOCP00000010866	ENSLOCP00000017138
ENSLOCP00000013813	ENSLOCP00000008268
ENSLOCP00000008268	ENSLOCP00000013813
ENSLOCP00000013780	ENSLOCP00000011952
ENSLOCP00000011952	ENSLOCP00000013780
ENSLOCP00000005755	ENSLOCP00000005728
ENSLOCP00000005728	ENSLOCP00000005755
ENSLOCP00000005755	ENSLOCP00000004103
ENSLOCP00000004103	ENSLOCP00000005755
ENSLOCP00000005755	ENSLOCP00000010685
ENSLOCP00000010685	ENSLOCP00000005755
ENSLOCP00000005755	ENSLOCP00000010660
ENSLOCP00000010660	ENSLOCP00000005755
ENSLOCP00000005728	ENSLOCP00000004103
ENSLOCP00000004103	ENSLOCP00000005728
ENSLOCP00000005728	ENSLOCP00000010685
ENSLOCP00000010685	ENSLOCP00000005728
ENSLOCP00000005728	ENSLOCP00000010660
ENSLOCP00000010660	ENSLOCP00000005728
ENSLOCP00000004103	ENSLOCP00000010685
ENSLOCP00000010685	ENSLOCP00000004103
ENSLOCP00000004103	ENSLOCP00000010660
ENSLOCP00000010660	ENSLOCP00000004103
ENSLOCP00000010685	ENSLOCP00000010660
ENSLOCP00000010660	ENSLOCP00000010685
ENSLOCP00000016785	ENSLOCP00000012901
ENSLOCP00000012901	ENSLOCP00000016785
ENSLOCP00000016785	ENSLOCP00000009607
ENSLOCP00000009607	ENSLOCP00000016785
ENSLOCP00000012901	ENSLOCP00000009607
ENSLOCP00000009607	ENSLOCP00000012901
ENSLOCP00000015046	ENSLOCP00000014247
ENSLOCP00000014247	ENSLOCP00000015046
ENSLOCP00000006063	ENSLOCP00000004934
ENSLOCP00000004934	ENSLOCP00000006063
ENSLOCP00000010961	ENSLOCP00000006952
ENSLOCP00000006952	ENSLOCP00000010961
ENSLOCP00000010961	ENSLOCP00000017973
ENSLOCP00000017973	ENSLOCP00000010961
ENSLOCP00000006952	ENSLOCP00000017973
ENSLOCP00000017973	ENSLOCP00000006952
ENSLOCP00000009824	ENSLOCP00000002054
ENSLOCP00000002054	ENSLOCP00000009824
ENSLOCP00000011680	ENSLOCP00000013557
ENSLOCP00000013557	ENSLOCP00000011680
ENSLOCP00000011680	ENSLOCP00000015946
ENSLOCP00000015946	ENSLOCP00000011680
ENSLOCP00000013557	ENSLOCP00000015946
ENSLOCP00000015946	ENSLOCP00000013557
ENSLOCP00000006774	ENSLOCP00000003895
ENSLOCP00000003895	ENSLOCP00000006774
ENSLOCP00000006774	ENSLOCP00000002415
ENSLOCP00000002415	ENSLOCP00000006774
ENSLOCP00000003895	ENSLOCP00000002415
ENSLOCP00000002415	ENSLOCP00000003895
ENSLOCP00000018234	ENSLOCP00000001654
ENSLOCP00000001654	ENSLOCP00000018234
ENSLOCP00000018234	ENSLOCP00000015732
ENSLOCP00000015732	ENSLOCP00000018234
ENSLOCP00000018234	ENSLOCP00000018931
ENSLOCP00000018931	ENSLOCP00000018234
ENSLOCP00000001654	ENSLOCP00000015732
ENSLOCP00000015732	ENSLOCP00000001654
ENSLOCP00000001654	ENSLOCP00000018931
ENSLOCP00000018931	ENSLOCP00000001654
ENSLOCP00000015732	ENSLOCP00000018931
ENSLOCP00000018931	ENSLOCP00000015732
ENSLOCP00000013157	ENSLOCP00000000744
ENSLOCP00000000744	ENSLOCP00000013157
ENSLOCP00000013157	ENSLOCP00000005891
ENSLOCP00000005891	ENSLOCP00000013157
ENSLOCP00000000744	ENSLOCP00000005891
ENSLOCP00000005891	ENSLOCP00000000744
ENSLOCP00000008192	ENSLOCP00000014152
ENSLOCP00000014152	ENSLOCP00000008192
ENSLOCP00000022344	ENSLOCP00000022273
ENSLOCP00000022273	ENSLOCP00000022344
ENSLOCP00000008444	ENSLOCP00000009493
ENSLOCP00000009493	ENSLOCP00000008444
ENSLOCP00000008444	ENSLOCP00000002091
ENSLOCP00000002091	ENSLOCP00000008444
ENSLOCP00000009493	ENSLOCP00000002091
ENSLOCP00000002091	ENSLOCP00000009493
ENSLOCP00000008515	ENSLOCP00000008538
ENSLOCP00000008538	ENSLOCP00000008515
ENSLOCP00000008158	ENSLOCP00000006282
ENSLOCP00000006282	ENSLOCP00000008158
ENSLOCP00000016647	ENSLOCP00000014265
ENSLOCP00000014265	ENSLOCP00000016647
ENSLOCP00000016647	ENSLOCP00000011694
ENSLOCP00000011694	ENSLOCP00000016647
ENSLOCP00000014265	ENSLOCP00000011694
ENSLOCP00000011694	ENSLOCP00000014265
ENSLOCP00000001088	ENSLOCP00000007972
ENSLOCP00000007972	ENSLOCP00000001088
ENSLOCP00000001088	ENSLOCP00000018707
ENSLOCP00000018707	ENSLOCP00000001088
ENSLOCP00000007972	ENSLOCP00000018707
ENSLOCP00000018707	ENSLOCP00000007972
ENSLOCP00000018582	ENSLOCP00000012659
ENSLOCP00000012659	ENSLOCP00000018582
ENSLOCP00000002490	ENSLOCP00000020010
ENSLOCP00000020010	ENSLOCP00000002490
ENSLOCP00000010775	ENSLOCP00000015827
ENSLOCP00000015827	ENSLOCP00000010775
ENSLOCP00000010775	ENSLOCP00000015853
ENSLOCP00000015853	ENSLOCP00000010775
ENSLOCP00000015827	ENSLOCP00000015853
ENSLOCP00000015853	ENSLOCP00000015827
ENSLOCP00000015109	ENSLOCP00000008065
ENSLOCP00000008065	ENSLOCP00000015109
ENSLOCP00000017193	ENSLOCP00000017737
ENSLOCP00000017737	ENSLOCP00000017193
ENSLOCP00000017193	ENSLOCP00000020327
ENSLOCP00000020327	ENSLOCP00000017193
ENSLOCP00000017737	ENSLOCP00000020327
ENSLOCP00000020327	ENSLOCP00000017737
ENSLOCP00000019204	ENSLOCP00000013046
