ENSTGUP00000010909	ENSTGUP00000008898
ENSTGUP00000010188	ENSTGUP00000010140
ENSTGUP00000010140	ENSTGUP00000010188
ENSTGUP00000010188	ENSTGUP00000016885
ENSTGUP00000016885	ENSTGUP00000010188
ENSTGUP00000010140	ENSTGUP00000016885
ENSTGUP00000016885	ENSTGUP00000010140
ENSTGUP00000003181	ENSTGUP00000012655
ENSTGUP00000012655	ENSTGUP00000003181
ENSTGUP00000003181	ENSTGUP00000008894
ENSTGUP00000008894	ENSTGUP00000003181
ENSTGUP00000012655	ENSTGUP00000008894
ENSTGUP00000008894	ENSTGUP00000012655
ENSTGUP00000009774	ENSTGUP00000010257
ENSTGUP00000010257	ENSTGUP00000009774
ENSTGUP00000006417	ENSTGUP00000004347
ENSTGUP00000004347	ENSTGUP00000006417
ENSTGUP00000002472	ENSTGUP00000013395
ENSTGUP00000013395	ENSTGUP00000002472
ENSTGUP00000015929	ENSTGUP00000004979
ENSTGUP00000004979	ENSTGUP00000015929
ENSTGUP00000014388	ENSTGUP00000016706
ENSTGUP00000016706	ENSTGUP00000014388
ENSTGUP00000014388	ENSTGUP00000001737
ENSTGUP00000001737	ENSTGUP00000014388
ENSTGUP00000014388	ENSTGUP00000008951
ENSTGUP00000008951	ENSTGUP00000014388
ENSTGUP00000016706	ENSTGUP00000001737
ENSTGUP00000001737	ENSTGUP00000016706
ENSTGUP00000016706	ENSTGUP00000008951
ENSTGUP00000008951	ENSTGUP00000016706
ENSTGUP00000001737	ENSTGUP00000008951
ENSTGUP00000008951	ENSTGUP00000001737
ENSTGUP00000013296	ENSTGUP00000008410
ENSTGUP00000008410	ENSTGUP00000013296
ENSTGUP00000005437	ENSTGUP00000006286
ENSTGUP00000006286	ENSTGUP00000005437
ENSTGUP00000005822	ENSTGUP00000011462
ENSTGUP00000011462	ENSTGUP00000005822
ENSTGUP00000005822	ENSTGUP00000011461
ENSTGUP00000011461	ENSTGUP00000005822
ENSTGUP00000011462	ENSTGUP00000011461
ENSTGUP00000011461	ENSTGUP00000011462
ENSTGUP00000014626	ENSTGUP00000002872
ENSTGUP00000002872	ENSTGUP00000014626
ENSTGUP00000014626	ENSTGUP00000006921
ENSTGUP00000006921	ENSTGUP00000014626
ENSTGUP00000014626	ENSTGUP00000016545
ENSTGUP00000016545	ENSTGUP00000014626
ENSTGUP00000002872	ENSTGUP00000006921
ENSTGUP00000006921	ENSTGUP00000002872
ENSTGUP00000002872	ENSTGUP00000016545
ENSTGUP00000016545	ENSTGUP00000002872
ENSTGUP00000013882	ENSTGUP00000013429
ENSTGUP00000013429	ENSTGUP00000013882
ENSTGUP00000013882	ENSTGUP00000007670
ENSTGUP00000007670	ENSTGUP00000013882
ENSTGUP00000013429	ENSTGUP00000007670
ENSTGUP00000007670	ENSTGUP00000013429
ENSTGUP00000003003	ENSTGUP00000012456
ENSTGUP00000012456	ENSTGUP00000003003
ENSTGUP00000016014	ENSTGUP00000012456
ENSTGUP00000012456	ENSTGUP00000016014
ENSTGUP00000014190	ENSTGUP00000012456
ENSTGUP00000012456	ENSTGUP00000014190
ENSTGUP00000005556	ENSTGUP00000011894
ENSTGUP00000011894	ENSTGUP00000005556
ENSTGUP00000000202	ENSTGUP00000003799
ENSTGUP00000003799	ENSTGUP00000000202
ENSTGUP00000000202	ENSTGUP00000008108
ENSTGUP00000008108	ENSTGUP00000000202
ENSTGUP00000003799	ENSTGUP00000008108
ENSTGUP00000008108	ENSTGUP00000003799
ENSTGUP00000004720	ENSTGUP00000011146
ENSTGUP00000011146	ENSTGUP00000004720
ENSTGUP00000005395	ENSTGUP00000010724
ENSTGUP00000010724	ENSTGUP00000005395
ENSTGUP00000001219	ENSTGUP00000014641
ENSTGUP00000014641	ENSTGUP00000001219
ENSTGUP00000001219	ENSTGUP00000014101
ENSTGUP00000014101	ENSTGUP00000001219
ENSTGUP00000014641	ENSTGUP00000014101
ENSTGUP00000014101	ENSTGUP00000014641
ENSTGUP00000000881	ENSTGUP00000001945
ENSTGUP00000001945	ENSTGUP00000000881
ENSTGUP00000000881	ENSTGUP00000007234
ENSTGUP00000007234	ENSTGUP00000000881
ENSTGUP00000001945	ENSTGUP00000007234
ENSTGUP00000007234	ENSTGUP00000001945
ENSTGUP00000011352	ENSTGUP00000011066
ENSTGUP00000011066	ENSTGUP00000011352
ENSTGUP00000010433	ENSTGUP00000005996
ENSTGUP00000005996	ENSTGUP00000010433
ENSTGUP00000012270	ENSTGUP00000001048
ENSTGUP00000001048	ENSTGUP00000012270
ENSTGUP00000008438	ENSTGUP00000011962
ENSTGUP00000011962	ENSTGUP00000008438
ENSTGUP00000008958	ENSTGUP00000010906
ENSTGUP00000010906	ENSTGUP00000008958
ENSTGUP00000008958	ENSTGUP00000006174
ENSTGUP00000006174	ENSTGUP00000008958
ENSTGUP00000010906	ENSTGUP00000006174
ENSTGUP00000006174	ENSTGUP00000010906
ENSTGUP00000000689	ENSTGUP00000007558
ENSTGUP00000007558	ENSTGUP00000000689
ENSTGUP00000000689	ENSTGUP00000011764
ENSTGUP00000011764	ENSTGUP00000000689
ENSTGUP00000007558	ENSTGUP00000011764
ENSTGUP00000011764	ENSTGUP00000007558
ENSTGUP00000013082	ENSTGUP00000006982
ENSTGUP00000006982	ENSTGUP00000013082
ENSTGUP00000000762	ENSTGUP00000005848
ENSTGUP00000005848	ENSTGUP00000000762
ENSTGUP00000005960	ENSTGUP00000014908
ENSTGUP00000014908	ENSTGUP00000005960
ENSTGUP00000004692	ENSTGUP00000006083
ENSTGUP00000006083	ENSTGUP00000004692
ENSTGUP00000006837	ENSTGUP00000009078
ENSTGUP00000009078	ENSTGUP00000006837
ENSTGUP00000003685	ENSTGUP00000003808
ENSTGUP00000003808	ENSTGUP00000003685
ENSTGUP00000012127	ENSTGUP00000016220
ENSTGUP00000016220	ENSTGUP00000012127
ENSTGUP00000012127	ENSTGUP00000001763
ENSTGUP00000001763	ENSTGUP00000012127
ENSTGUP00000016220	ENSTGUP00000001763
ENSTGUP00000001763	ENSTGUP00000016220
ENSTGUP00000007607	ENSTGUP00000000736
ENSTGUP00000000736	ENSTGUP00000007607
ENSTGUP00000011594	ENSTGUP00000006118
ENSTGUP00000006118	ENSTGUP00000011594
ENSTGUP00000011594	ENSTGUP00000012363
ENSTGUP00000012363	ENSTGUP00000011594
ENSTGUP00000016410	ENSTGUP00000006118
ENSTGUP00000006118	ENSTGUP00000016410
ENSTGUP00000016410	ENSTGUP00000012363
ENSTGUP00000012363	ENSTGUP00000016410
ENSTGUP00000006118	ENSTGUP00000012363
ENSTGUP00000012363	ENSTGUP00000006118
ENSTGUP00000013604	ENSTGUP00000007808
ENSTGUP00000007808	ENSTGUP00000013604
ENSTGUP00000015218	ENSTGUP00000005371
ENSTGUP00000005371	ENSTGUP00000015218
ENSTGUP00000015218	ENSTGUP00000004674
ENSTGUP00000004674	ENSTGUP00000015218
ENSTGUP00000005371	ENSTGUP00000004674
ENSTGUP00000004674	ENSTGUP00000005371
ENSTGUP00000005758	ENSTGUP00000005900
ENSTGUP00000005900	ENSTGUP00000005758
ENSTGUP00000005758	ENSTGUP00000005650
ENSTGUP00000005650	ENSTGUP00000005758
ENSTGUP00000005900	ENSTGUP00000005650
ENSTGUP00000005650	ENSTGUP00000005900
ENSTGUP00000003373	ENSTGUP00000007689
ENSTGUP00000007689	ENSTGUP00000003373
ENSTGUP00000014017	ENSTGUP00000000389
ENSTGUP00000000389	ENSTGUP00000014017
ENSTGUP00000005844	ENSTGUP00000015168
ENSTGUP00000015168	ENSTGUP00000005844
ENSTGUP00000012647	ENSTGUP00000004309
ENSTGUP00000004309	ENSTGUP00000012647
ENSTGUP00000012647	ENSTGUP00000008377
ENSTGUP00000008377	ENSTGUP00000012647
ENSTGUP00000004309	ENSTGUP00000008377
ENSTGUP00000008377	ENSTGUP00000004309
ENSTGUP00000010754	ENSTGUP00000008475
ENSTGUP00000008475	ENSTGUP00000010754
ENSTGUP00000012753	ENSTGUP00000009567
ENSTGUP00000009567	ENSTGUP00000012753
ENSTGUP00000005236	ENSTGUP00000013542
ENSTGUP00000013542	ENSTGUP00000005236
ENSTGUP00000013912	ENSTGUP00000013811
ENSTGUP00000013811	ENSTGUP00000013912
ENSTGUP00000016174	ENSTGUP00000013811
ENSTGUP00000013811	ENSTGUP00000016174
ENSTGUP00000004335	ENSTGUP00000006106
ENSTGUP00000006106	ENSTGUP00000004335
ENSTGUP00000010970	ENSTGUP00000014001
ENSTGUP00000014001	ENSTGUP00000010970
ENSTGUP00000010970	ENSTGUP00000002294
ENSTGUP00000002294	ENSTGUP00000010970
ENSTGUP00000014001	ENSTGUP00000002294
ENSTGUP00000002294	ENSTGUP00000014001
ENSTGUP00000008445	ENSTGUP00000017490
ENSTGUP00000017490	ENSTGUP00000008445
ENSTGUP00000008445	ENSTGUP00000003210
ENSTGUP00000003210	ENSTGUP00000008445
ENSTGUP00000010422	ENSTGUP00000001733
ENSTGUP00000001733	ENSTGUP00000010422
ENSTGUP00000004082	ENSTGUP00000004058
ENSTGUP00000004058	ENSTGUP00000004082
ENSTGUP00000008375	ENSTGUP00000010941
ENSTGUP00000010941	ENSTGUP00000008375
ENSTGUP00000008375	ENSTGUP00000003778
ENSTGUP00000003778	ENSTGUP00000008375
ENSTGUP00000010941	ENSTGUP00000003778
ENSTGUP00000003778	ENSTGUP00000010941
ENSTGUP00000003731	ENSTGUP00000006057
ENSTGUP00000006057	ENSTGUP00000003731
ENSTGUP00000009686	ENSTGUP00000002829
ENSTGUP00000002829	ENSTGUP00000009686
ENSTGUP00000003827	ENSTGUP00000002518
ENSTGUP00000002518	ENSTGUP00000003827
ENSTGUP00000008383	ENSTGUP00000008946
ENSTGUP00000008946	ENSTGUP00000008383
ENSTGUP00000008383	ENSTGUP00000004400
ENSTGUP00000004400	ENSTGUP00000008383
ENSTGUP00000008946	ENSTGUP00000004400
ENSTGUP00000004400	ENSTGUP00000008946
ENSTGUP00000003732	ENSTGUP00000016567
ENSTGUP00000016567	ENSTGUP00000003732
ENSTGUP00000000573	ENSTGUP00000013958
ENSTGUP00000013958	ENSTGUP00000000573
ENSTGUP00000004648	ENSTGUP00000005312
ENSTGUP00000005312	ENSTGUP00000004648
ENSTGUP00000003910	ENSTGUP00000013385
ENSTGUP00000013385	ENSTGUP00000003910
ENSTGUP00000002733	ENSTGUP00000007509
ENSTGUP00000007509	ENSTGUP00000002733
ENSTGUP00000002733	ENSTGUP00000002381
ENSTGUP00000002381	ENSTGUP00000002733
ENSTGUP00000007509	ENSTGUP00000002381
ENSTGUP00000002381	ENSTGUP00000007509
ENSTGUP00000001061	ENSTGUP00000012559
ENSTGUP00000012559	ENSTGUP00000001061
ENSTGUP00000001061	ENSTGUP00000013899
ENSTGUP00000013899	ENSTGUP00000001061
ENSTGUP00000012559	ENSTGUP00000013899
ENSTGUP00000013899	ENSTGUP00000012559
ENSTGUP00000016237	ENSTGUP00000007898
ENSTGUP00000007898	ENSTGUP00000016237
ENSTGUP00000003319	ENSTGUP00000003735
ENSTGUP00000003735	ENSTGUP00000003319
ENSTGUP00000004787	ENSTGUP00000001139
ENSTGUP00000001139	ENSTGUP00000004787
ENSTGUP00000004787	ENSTGUP00000006707
ENSTGUP00000006707	ENSTGUP00000004787
ENSTGUP00000001139	ENSTGUP00000006707
ENSTGUP00000006707	ENSTGUP00000001139
ENSTGUP00000016132	ENSTGUP00000001242
ENSTGUP00000001242	ENSTGUP00000016132
ENSTGUP00000016132	ENSTGUP00000014554
ENSTGUP00000014554	ENSTGUP00000016132
ENSTGUP00000016132	ENSTGUP00000006190
ENSTGUP00000006190	ENSTGUP00000016132
ENSTGUP00000016132	ENSTGUP00000004646
ENSTGUP00000004646	ENSTGUP00000016132
ENSTGUP00000001242	ENSTGUP00000006190
ENSTGUP00000006190	ENSTGUP00000001242
ENSTGUP00000001242	ENSTGUP00000004646
ENSTGUP00000004646	ENSTGUP00000001242
ENSTGUP00000014554	ENSTGUP00000006190
ENSTGUP00000006190	ENSTGUP00000014554
ENSTGUP00000014554	ENSTGUP00000004646
ENSTGUP00000004646	ENSTGUP00000014554
ENSTGUP00000006190	ENSTGUP00000004646
ENSTGUP00000004646	ENSTGUP00000006190
ENSTGUP00000005798	ENSTGUP00000000146
ENSTGUP00000000146	ENSTGUP00000005798
ENSTGUP00000005798	ENSTGUP00000001101
ENSTGUP00000001101	ENSTGUP00000005798
ENSTGUP00000000146	ENSTGUP00000001101
ENSTGUP00000001101	ENSTGUP00000000146
ENSTGUP00000007595	ENSTGUP00000001540
ENSTGUP00000001540	ENSTGUP00000007595
ENSTGUP00000010357	ENSTGUP00000000044
ENSTGUP00000000044	ENSTGUP00000010357
ENSTGUP00000004120	ENSTGUP00000013366
ENSTGUP00000013366	ENSTGUP00000004120
ENSTGUP00000004120	ENSTGUP00000012902
ENSTGUP00000012902	ENSTGUP00000004120
ENSTGUP00000013366	ENSTGUP00000012902
ENSTGUP00000012902	ENSTGUP00000013366
ENSTGUP00000004988	ENSTGUP00000000910
ENSTGUP00000000910	ENSTGUP00000004988
ENSTGUP00000012964	ENSTGUP00000002098
ENSTGUP00000002098	ENSTGUP00000012964
ENSTGUP00000012964	ENSTGUP00000000161
ENSTGUP00000000161	ENSTGUP00000012964
ENSTGUP00000002098	ENSTGUP00000000161
ENSTGUP00000000161	ENSTGUP00000002098
ENSTGUP00000000624	ENSTGUP00000002419
ENSTGUP00000002419	ENSTGUP00000000624
ENSTGUP00000000624	ENSTGUP00000004212
ENSTGUP00000004212	ENSTGUP00000000624
ENSTGUP00000002419	ENSTGUP00000004212
ENSTGUP00000004212	ENSTGUP00000002419
ENSTGUP00000012186	ENSTGUP00000006154
ENSTGUP00000006154	ENSTGUP00000012186
ENSTGUP00000004916	ENSTGUP00000000984
ENSTGUP00000000984	ENSTGUP00000004916
ENSTGUP00000005927	ENSTGUP00000006987
ENSTGUP00000006987	ENSTGUP00000005927
ENSTGUP00000013201	ENSTGUP00000006883
ENSTGUP00000006883	ENSTGUP00000013201
ENSTGUP00000013201	ENSTGUP00000006276
ENSTGUP00000006276	ENSTGUP00000013201
ENSTGUP00000006883	ENSTGUP00000006276
ENSTGUP00000006276	ENSTGUP00000006883
ENSTGUP00000011938	ENSTGUP00000017850
ENSTGUP00000017850	ENSTGUP00000011938
ENSTGUP00000011591	ENSTGUP00000007793
ENSTGUP00000007793	ENSTGUP00000011591
ENSTGUP00000011591	ENSTGUP00000017625
ENSTGUP00000017625	ENSTGUP00000011591
ENSTGUP00000007793	ENSTGUP00000017625
ENSTGUP00000017625	ENSTGUP00000007793
ENSTGUP00000009404	ENSTGUP00000004844
ENSTGUP00000004844	ENSTGUP00000009404
ENSTGUP00000006643	ENSTGUP00000013490
ENSTGUP00000013490	ENSTGUP00000006643
ENSTGUP00000010912	ENSTGUP00000004890
ENSTGUP00000004890	ENSTGUP00000010912
ENSTGUP00000013095	ENSTGUP00000002801
ENSTGUP00000002801	ENSTGUP00000013095
ENSTGUP00000015017	ENSTGUP00000005073
ENSTGUP00000005073	ENSTGUP00000015017
ENSTGUP00000015017	ENSTGUP00000017570
ENSTGUP00000017570	ENSTGUP00000015017
ENSTGUP00000005073	ENSTGUP00000017570
ENSTGUP00000017570	ENSTGUP00000005073
ENSTGUP00000006331	ENSTGUP00000003175
ENSTGUP00000003175	ENSTGUP00000006331
ENSTGUP00000013944	ENSTGUP00000011026
ENSTGUP00000011026	ENSTGUP00000013944
ENSTGUP00000007532	ENSTGUP00000002248
ENSTGUP00000002248	ENSTGUP00000007532
ENSTGUP00000007532	ENSTGUP00000012710
ENSTGUP00000012710	ENSTGUP00000007532
ENSTGUP00000002248	ENSTGUP00000012710
ENSTGUP00000012710	ENSTGUP00000002248
ENSTGUP00000011135	ENSTGUP00000002777
ENSTGUP00000002777	ENSTGUP00000011135
ENSTGUP00000017506	ENSTGUP00000004464
ENSTGUP00000004464	ENSTGUP00000017506
ENSTGUP00000018050	ENSTGUP00000005598
ENSTGUP00000005598	ENSTGUP00000018050
ENSTGUP00000018050	ENSTGUP00000017890
ENSTGUP00000017890	ENSTGUP00000018050
ENSTGUP00000005598	ENSTGUP00000017890
ENSTGUP00000017890	ENSTGUP00000005598
ENSTGUP00000005911	ENSTGUP00000013257
ENSTGUP00000013257	ENSTGUP00000005911
ENSTGUP00000001042	ENSTGUP00000002177
ENSTGUP00000002177	ENSTGUP00000001042
ENSTGUP00000010375	ENSTGUP00000000937
ENSTGUP00000000937	ENSTGUP00000010375
ENSTGUP00000009384	ENSTGUP00000009284
ENSTGUP00000009284	ENSTGUP00000009384
ENSTGUP00000009384	ENSTGUP00000008805
ENSTGUP00000008805	ENSTGUP00000009384
ENSTGUP00000009284	ENSTGUP00000008805
ENSTGUP00000008805	ENSTGUP00000009284
ENSTGUP00000013329	ENSTGUP00000011460
ENSTGUP00000011460	ENSTGUP00000013329
ENSTGUP00000011163	ENSTGUP00000011607
ENSTGUP00000011607	ENSTGUP00000011163
ENSTGUP00000011163	ENSTGUP00000001110
ENSTGUP00000001110	ENSTGUP00000011163
ENSTGUP00000011607	ENSTGUP00000001110
ENSTGUP00000001110	ENSTGUP00000011607
ENSTGUP00000004571	ENSTGUP00000006667
ENSTGUP00000006667	ENSTGUP00000004571
ENSTGUP00000001660	ENSTGUP00000011175
ENSTGUP00000011175	ENSTGUP00000001660
ENSTGUP00000001660	ENSTGUP00000007767
ENSTGUP00000007767	ENSTGUP00000001660
ENSTGUP00000011175	ENSTGUP00000007767
ENSTGUP00000007767	ENSTGUP00000011175
ENSTGUP00000007185	ENSTGUP00000013253
ENSTGUP00000013253	ENSTGUP00000007185
ENSTGUP00000007185	ENSTGUP00000004693
ENSTGUP00000004693	ENSTGUP00000007185
ENSTGUP00000013253	ENSTGUP00000004693
ENSTGUP00000004693	ENSTGUP00000013253
ENSTGUP00000006630	ENSTGUP00000005165
ENSTGUP00000005165	ENSTGUP00000006630
ENSTGUP00000013207	ENSTGUP00000004068
ENSTGUP00000004068	ENSTGUP00000013207
ENSTGUP00000003868	ENSTGUP00000017600
ENSTGUP00000017600	ENSTGUP00000003868
ENSTGUP00000003868	ENSTGUP00000003897
ENSTGUP00000003897	ENSTGUP00000003868
ENSTGUP00000017600	ENSTGUP00000003897
ENSTGUP00000003897	ENSTGUP00000017600
ENSTGUP00000002802	ENSTGUP00000007590
ENSTGUP00000007590	ENSTGUP00000002802
ENSTGUP00000002802	ENSTGUP00000005902
ENSTGUP00000005902	ENSTGUP00000002802
ENSTGUP00000007590	ENSTGUP00000005902
ENSTGUP00000005902	ENSTGUP00000007590
ENSTGUP00000005861	ENSTGUP00000000707
ENSTGUP00000000707	ENSTGUP00000005861
ENSTGUP00000001746	ENSTGUP00000014629
ENSTGUP00000014629	ENSTGUP00000001746
ENSTGUP00000008505	ENSTGUP00000001843
ENSTGUP00000001843	ENSTGUP00000008505
ENSTGUP00000001940	ENSTGUP00000000885
ENSTGUP00000000885	ENSTGUP00000001940
ENSTGUP00000001940	ENSTGUP00000007226
ENSTGUP00000007226	ENSTGUP00000001940
ENSTGUP00000000885	ENSTGUP00000007226
ENSTGUP00000007226	ENSTGUP00000000885
ENSTGUP00000005218	ENSTGUP00000007613
ENSTGUP00000007613	ENSTGUP00000005218
ENSTGUP00000008396	ENSTGUP00000011968
ENSTGUP00000011968	ENSTGUP00000008396
ENSTGUP00000010160	ENSTGUP00000000240
ENSTGUP00000000240	ENSTGUP00000010160
ENSTGUP00000010160	ENSTGUP00000009798
ENSTGUP00000009798	ENSTGUP00000010160
ENSTGUP00000000240	ENSTGUP00000009798
ENSTGUP00000009798	ENSTGUP00000000240
ENSTGUP00000007483	ENSTGUP00000000465
ENSTGUP00000000465	ENSTGUP00000007483
ENSTGUP00000010304	ENSTGUP00000016558
ENSTGUP00000016558	ENSTGUP00000010304
ENSTGUP00000001179	ENSTGUP00000013635
ENSTGUP00000013635	ENSTGUP00000001179
ENSTGUP00000005829	ENSTGUP00000005215
ENSTGUP00000005215	ENSTGUP00000005829
ENSTGUP00000001470	ENSTGUP00000008536
ENSTGUP00000008536	ENSTGUP00000001470
ENSTGUP00000001470	ENSTGUP00000010665
ENSTGUP00000010665	ENSTGUP00000001470
ENSTGUP00000008536	ENSTGUP00000010665
ENSTGUP00000010665	ENSTGUP00000008536
ENSTGUP00000012587	ENSTGUP00000013778
ENSTGUP00000013778	ENSTGUP00000012587
ENSTGUP00000008095	ENSTGUP00000010926
ENSTGUP00000010926	ENSTGUP00000008095
ENSTGUP00000003086	ENSTGUP00000012550
ENSTGUP00000012550	ENSTGUP00000003086
ENSTGUP00000008364	ENSTGUP00000003030
ENSTGUP00000003030	ENSTGUP00000008364
ENSTGUP00000009726	ENSTGUP00000007752
ENSTGUP00000007752	ENSTGUP00000009726
ENSTGUP00000009726	ENSTGUP00000004682
ENSTGUP00000004682	ENSTGUP00000009726
ENSTGUP00000007752	ENSTGUP00000004682
ENSTGUP00000004682	ENSTGUP00000007752
ENSTGUP00000002033	ENSTGUP00000008469
ENSTGUP00000008469	ENSTGUP00000002033
ENSTGUP00000002033	ENSTGUP00000006683
ENSTGUP00000006683	ENSTGUP00000002033
ENSTGUP00000008469	ENSTGUP00000006683
ENSTGUP00000006683	ENSTGUP00000008469
ENSTGUP00000011625	ENSTGUP00000013317
ENSTGUP00000013317	ENSTGUP00000011625
ENSTGUP00000011625	ENSTGUP00000013315
ENSTGUP00000013315	ENSTGUP00000011625
ENSTGUP00000013317	ENSTGUP00000013315
ENSTGUP00000013315	ENSTGUP00000013317
ENSTGUP00000000184	ENSTGUP00000005070
ENSTGUP00000005070	ENSTGUP00000000184
ENSTGUP00000000184	ENSTGUP00000016730
ENSTGUP00000016730	ENSTGUP00000000184
ENSTGUP00000005070	ENSTGUP00000016730
ENSTGUP00000016730	ENSTGUP00000005070
ENSTGUP00000000290	ENSTGUP00000001673
ENSTGUP00000001673	ENSTGUP00000000290
ENSTGUP00000000290	ENSTGUP00000006261
ENSTGUP00000006261	ENSTGUP00000000290
ENSTGUP00000001673	ENSTGUP00000006261
ENSTGUP00000006261	ENSTGUP00000001673
ENSTGUP00000010705	ENSTGUP00000013502
ENSTGUP00000013502	ENSTGUP00000010705
ENSTGUP00000008707	ENSTGUP00000001542
ENSTGUP00000001542	ENSTGUP00000008707
ENSTGUP00000008707	ENSTGUP00000006743
ENSTGUP00000006743	ENSTGUP00000008707
ENSTGUP00000001542	ENSTGUP00000006743
ENSTGUP00000006743	ENSTGUP00000001542
ENSTGUP00000011061	ENSTGUP00000002542
ENSTGUP00000002542	ENSTGUP00000011061
ENSTGUP00000011061	ENSTGUP00000007443
ENSTGUP00000007443	ENSTGUP00000011061
ENSTGUP00000002542	ENSTGUP00000007443
ENSTGUP00000007443	ENSTGUP00000002542
ENSTGUP00000004134	ENSTGUP00000004560
ENSTGUP00000004560	ENSTGUP00000004134
ENSTGUP00000010404	ENSTGUP00000012276
ENSTGUP00000012276	ENSTGUP00000010404
ENSTGUP00000005035	ENSTGUP00000017505
ENSTGUP00000017505	ENSTGUP00000005035
ENSTGUP00000012101	ENSTGUP00000009335
ENSTGUP00000009335	ENSTGUP00000012101
ENSTGUP00000012595	ENSTGUP00000005595
ENSTGUP00000005595	ENSTGUP00000012595
ENSTGUP00000002473	ENSTGUP00000004809
ENSTGUP00000004809	ENSTGUP00000002473
ENSTGUP00000008924	ENSTGUP00000009158
ENSTGUP00000009158	ENSTGUP00000008924
ENSTGUP00000008924	ENSTGUP00000005205
ENSTGUP00000005205	ENSTGUP00000008924
ENSTGUP00000009158	ENSTGUP00000005205
ENSTGUP00000005205	ENSTGUP00000009158
ENSTGUP00000006670	ENSTGUP00000011114
ENSTGUP00000011114	ENSTGUP00000006670
ENSTGUP00000006670	ENSTGUP00000014898
ENSTGUP00000014898	ENSTGUP00000006670
ENSTGUP00000011114	ENSTGUP00000014898
ENSTGUP00000014898	ENSTGUP00000011114
ENSTGUP00000012346	ENSTGUP00000016363
ENSTGUP00000016363	ENSTGUP00000012346
ENSTGUP00000012346	ENSTGUP00000012338
ENSTGUP00000012338	ENSTGUP00000012346
ENSTGUP00000016363	ENSTGUP00000012338
ENSTGUP00000012338	ENSTGUP00000016363
ENSTGUP00000002318	ENSTGUP00000003640
ENSTGUP00000003640	ENSTGUP00000002318
ENSTGUP00000002318	ENSTGUP00000006185
ENSTGUP00000006185	ENSTGUP00000002318
ENSTGUP00000003640	ENSTGUP00000006185
ENSTGUP00000006185	ENSTGUP00000003640
ENSTGUP00000001076	ENSTGUP00000002350
ENSTGUP00000002350	ENSTGUP00000001076
ENSTGUP00000003611	ENSTGUP00000004203
ENSTGUP00000004203	ENSTGUP00000003611
ENSTGUP00000003812	ENSTGUP00000010106
ENSTGUP00000010106	ENSTGUP00000003812
ENSTGUP00000005509	ENSTGUP00000005802
ENSTGUP00000005802	ENSTGUP00000005509
ENSTGUP00000005509	ENSTGUP00000005514
ENSTGUP00000005514	ENSTGUP00000005509
ENSTGUP00000005802	ENSTGUP00000005514
ENSTGUP00000005514	ENSTGUP00000005802
ENSTGUP00000000866	ENSTGUP00000011967
ENSTGUP00000011967	ENSTGUP00000000866
ENSTGUP00000017812	ENSTGUP00000006529
ENSTGUP00000006529	ENSTGUP00000017812
ENSTGUP00000017812	ENSTGUP00000006289
ENSTGUP00000006289	ENSTGUP00000017812
ENSTGUP00000006529	ENSTGUP00000006289
ENSTGUP00000006289	ENSTGUP00000006529
ENSTGUP00000011905	ENSTGUP00000011852
ENSTGUP00000011852	ENSTGUP00000011905
ENSTGUP00000011506	ENSTGUP00000013249
ENSTGUP00000013249	ENSTGUP00000011506
ENSTGUP00000011440	ENSTGUP00000001396
ENSTGUP00000001396	ENSTGUP00000011440
ENSTGUP00000006262	ENSTGUP00000010163
ENSTGUP00000010163	ENSTGUP00000006262
ENSTGUP00000002324	ENSTGUP00000011214
ENSTGUP00000011214	ENSTGUP00000002324
ENSTGUP00000011908	ENSTGUP00000011715
ENSTGUP00000011715	ENSTGUP00000011908
ENSTGUP00000011908	ENSTGUP00000009982
ENSTGUP00000009982	ENSTGUP00000011908
ENSTGUP00000011715	ENSTGUP00000009982
ENSTGUP00000009982	ENSTGUP00000011715
ENSTGUP00000008417	ENSTGUP00000005558
ENSTGUP00000005558	ENSTGUP00000008417
ENSTGUP00000009162	ENSTGUP00000002649
ENSTGUP00000002649	ENSTGUP00000009162
ENSTGUP00000009162	ENSTGUP00000002654
ENSTGUP00000002654	ENSTGUP00000009162
ENSTGUP00000002649	ENSTGUP00000002654
ENSTGUP00000002654	ENSTGUP00000002649
ENSTGUP00000007704	ENSTGUP00000002923
ENSTGUP00000002923	ENSTGUP00000007704
ENSTGUP00000007161	ENSTGUP00000013577
ENSTGUP00000013577	ENSTGUP00000007161
ENSTGUP00000009636	ENSTGUP00000016677
ENSTGUP00000016677	ENSTGUP00000009636
ENSTGUP00000009565	ENSTGUP00000011294
ENSTGUP00000011294	ENSTGUP00000009565
ENSTGUP00000000358	ENSTGUP00000000360
ENSTGUP00000000360	ENSTGUP00000000358
ENSTGUP00000016950	ENSTGUP00000005806
ENSTGUP00000005806	ENSTGUP00000016950
ENSTGUP00000002853	ENSTGUP00000007341
ENSTGUP00000007341	ENSTGUP00000002853
ENSTGUP00000011697	ENSTGUP00000010747
ENSTGUP00000010747	ENSTGUP00000011697
ENSTGUP00000007849	ENSTGUP00000003895
ENSTGUP00000003895	ENSTGUP00000007849
ENSTGUP00000012190	ENSTGUP00000007029
ENSTGUP00000007029	ENSTGUP00000012190
ENSTGUP00000012190	ENSTGUP00000003877
ENSTGUP00000003877	ENSTGUP00000012190
ENSTGUP00000007029	ENSTGUP00000003877
ENSTGUP00000003877	ENSTGUP00000007029
