ENSMGAP00000010739	ENSMGAP00000004925
ENSMGAP00000011374	ENSMGAP00000001027
ENSMGAP00000001027	ENSMGAP00000011374
ENSMGAP00000011374	ENSMGAP00000015578
ENSMGAP00000015578	ENSMGAP00000011374
ENSMGAP00000001027	ENSMGAP00000015578
ENSMGAP00000015578	ENSMGAP00000001027
ENSMGAP00000004634	ENSMGAP00000006728
ENSMGAP00000006728	ENSMGAP00000004634
ENSMGAP00000018915	ENSMGAP00000006728
ENSMGAP00000006728	ENSMGAP00000018915
ENSMGAP00000010582	ENSMGAP00000019023
ENSMGAP00000019023	ENSMGAP00000010582
ENSMGAP00000009603	ENSMGAP00000007328
ENSMGAP00000007328	ENSMGAP00000009603
ENSMGAP00000002394	ENSMGAP00000019190
ENSMGAP00000019190	ENSMGAP00000002394
ENSMGAP00000003138	ENSMGAP00000009459
ENSMGAP00000009459	ENSMGAP00000003138
ENSMGAP00000009794	ENSMGAP00000015740
ENSMGAP00000015740	ENSMGAP00000009794
ENSMGAP00000009794	ENSMGAP00000007757
ENSMGAP00000007757	ENSMGAP00000009794
ENSMGAP00000015740	ENSMGAP00000007757
ENSMGAP00000007757	ENSMGAP00000015740
ENSMGAP00000014053	ENSMGAP00000015288
ENSMGAP00000015288	ENSMGAP00000014053
ENSMGAP00000014053	ENSMGAP00000014062
ENSMGAP00000014062	ENSMGAP00000014053
ENSMGAP00000015288	ENSMGAP00000014062
ENSMGAP00000014062	ENSMGAP00000015288
ENSMGAP00000004237	ENSMGAP00000001837
ENSMGAP00000001837	ENSMGAP00000004237
ENSMGAP00000007408	ENSMGAP00000001576
ENSMGAP00000001576	ENSMGAP00000007408
ENSMGAP00000014471	ENSMGAP00000017662
ENSMGAP00000017662	ENSMGAP00000014471
ENSMGAP00000002939	ENSMGAP00000014005
ENSMGAP00000014005	ENSMGAP00000002939
ENSMGAP00000002939	ENSMGAP00000008156
ENSMGAP00000008156	ENSMGAP00000002939
ENSMGAP00000002939	ENSMGAP00000013042
ENSMGAP00000013042	ENSMGAP00000002939
ENSMGAP00000014005	ENSMGAP00000008156
ENSMGAP00000008156	ENSMGAP00000014005
ENSMGAP00000014005	ENSMGAP00000013042
ENSMGAP00000013042	ENSMGAP00000014005
ENSMGAP00000008156	ENSMGAP00000013042
ENSMGAP00000013042	ENSMGAP00000008156
ENSMGAP00000005429	ENSMGAP00000012662
ENSMGAP00000012662	ENSMGAP00000005429
ENSMGAP00000013858	ENSMGAP00000003252
ENSMGAP00000003252	ENSMGAP00000013858
ENSMGAP00000004837	ENSMGAP00000019038
ENSMGAP00000019038	ENSMGAP00000004837
ENSMGAP00000004837	ENSMGAP00000013465
ENSMGAP00000013465	ENSMGAP00000004837
ENSMGAP00000019038	ENSMGAP00000013465
ENSMGAP00000013465	ENSMGAP00000019038
ENSMGAP00000010825	ENSMGAP00000002555
ENSMGAP00000002555	ENSMGAP00000010825
ENSMGAP00000010825	ENSMGAP00000019015
ENSMGAP00000019015	ENSMGAP00000010825
ENSMGAP00000002555	ENSMGAP00000019015
ENSMGAP00000019015	ENSMGAP00000002555
ENSMGAP00000008614	ENSMGAP00000008612
ENSMGAP00000008612	ENSMGAP00000008614
ENSMGAP00000013408	ENSMGAP00000009862
ENSMGAP00000009862	ENSMGAP00000013408
ENSMGAP00000013408	ENSMGAP00000012442
ENSMGAP00000012442	ENSMGAP00000013408
ENSMGAP00000009862	ENSMGAP00000012442
ENSMGAP00000012442	ENSMGAP00000009862
ENSMGAP00000003096	ENSMGAP00000007662
ENSMGAP00000007662	ENSMGAP00000003096
ENSMGAP00000013818	ENSMGAP00000010057
ENSMGAP00000010057	ENSMGAP00000013818
ENSMGAP00000013818	ENSMGAP00000012270
ENSMGAP00000012270	ENSMGAP00000013818
ENSMGAP00000010057	ENSMGAP00000012270
ENSMGAP00000012270	ENSMGAP00000010057
ENSMGAP00000008901	ENSMGAP00000009067
ENSMGAP00000009067	ENSMGAP00000008901
ENSMGAP00000012634	ENSMGAP00000017507
ENSMGAP00000017507	ENSMGAP00000012634
ENSMGAP00000014673	ENSMGAP00000004360
ENSMGAP00000004360	ENSMGAP00000014673
ENSMGAP00000014673	ENSMGAP00000013682
ENSMGAP00000013682	ENSMGAP00000014673
ENSMGAP00000018809	ENSMGAP00000004360
ENSMGAP00000004360	ENSMGAP00000018809
ENSMGAP00000018809	ENSMGAP00000013682
ENSMGAP00000013682	ENSMGAP00000018809
ENSMGAP00000004360	ENSMGAP00000013682
ENSMGAP00000013682	ENSMGAP00000004360
ENSMGAP00000013502	ENSMGAP00000011574
ENSMGAP00000011574	ENSMGAP00000013502
ENSMGAP00000010063	ENSMGAP00000008930
ENSMGAP00000008930	ENSMGAP00000010063
ENSMGAP00000005737	ENSMGAP00000006786
ENSMGAP00000006786	ENSMGAP00000005737
ENSMGAP00000007251	ENSMGAP00000002729
ENSMGAP00000002729	ENSMGAP00000007251
ENSMGAP00000007251	ENSMGAP00000014498
ENSMGAP00000014498	ENSMGAP00000007251
ENSMGAP00000007251	ENSMGAP00000002852
ENSMGAP00000002852	ENSMGAP00000007251
ENSMGAP00000002729	ENSMGAP00000014498
ENSMGAP00000014498	ENSMGAP00000002729
ENSMGAP00000002729	ENSMGAP00000002852
ENSMGAP00000002852	ENSMGAP00000002729
ENSMGAP00000014498	ENSMGAP00000002852
ENSMGAP00000002852	ENSMGAP00000014498
ENSMGAP00000011462	ENSMGAP00000003699
ENSMGAP00000003699	ENSMGAP00000011462
ENSMGAP00000011462	ENSMGAP00000008648
ENSMGAP00000008648	ENSMGAP00000011462
ENSMGAP00000003699	ENSMGAP00000008648
ENSMGAP00000008648	ENSMGAP00000003699
ENSMGAP00000011202	ENSMGAP00000003102
ENSMGAP00000003102	ENSMGAP00000011202
ENSMGAP00000011202	ENSMGAP00000017717
ENSMGAP00000017717	ENSMGAP00000011202
ENSMGAP00000003102	ENSMGAP00000017717
ENSMGAP00000017717	ENSMGAP00000003102
ENSMGAP00000010078	ENSMGAP00000017965
ENSMGAP00000017965	ENSMGAP00000010078
ENSMGAP00000010078	ENSMGAP00000007198
ENSMGAP00000007198	ENSMGAP00000010078
ENSMGAP00000010078	ENSMGAP00000012206
ENSMGAP00000012206	ENSMGAP00000010078
ENSMGAP00000017965	ENSMGAP00000007198
ENSMGAP00000007198	ENSMGAP00000017965
ENSMGAP00000017965	ENSMGAP00000012206
ENSMGAP00000012206	ENSMGAP00000017965
ENSMGAP00000007198	ENSMGAP00000012206
ENSMGAP00000012206	ENSMGAP00000007198
ENSMGAP00000009040	ENSMGAP00000013128
ENSMGAP00000013128	ENSMGAP00000009040
ENSMGAP00000010241	ENSMGAP00000006431
ENSMGAP00000006431	ENSMGAP00000010241
ENSMGAP00000014030	ENSMGAP00000012167
ENSMGAP00000012167	ENSMGAP00000014030
ENSMGAP00000005338	ENSMGAP00000008281
ENSMGAP00000008281	ENSMGAP00000005338
ENSMGAP00000005338	ENSMGAP00000009584
ENSMGAP00000009584	ENSMGAP00000005338
ENSMGAP00000008281	ENSMGAP00000009584
ENSMGAP00000009584	ENSMGAP00000008281
ENSMGAP00000007234	ENSMGAP00000013073
ENSMGAP00000013073	ENSMGAP00000007234
ENSMGAP00000011471	ENSMGAP00000001058
ENSMGAP00000001058	ENSMGAP00000011471
ENSMGAP00000008538	ENSMGAP00000001333
ENSMGAP00000001333	ENSMGAP00000008538
ENSMGAP00000014853	ENSMGAP00000017217
ENSMGAP00000017217	ENSMGAP00000014853
ENSMGAP00000014853	ENSMGAP00000012730
ENSMGAP00000012730	ENSMGAP00000014853
ENSMGAP00000014853	ENSMGAP00000017223
ENSMGAP00000017223	ENSMGAP00000014853
ENSMGAP00000017217	ENSMGAP00000012730
ENSMGAP00000012730	ENSMGAP00000017217
ENSMGAP00000017217	ENSMGAP00000017223
ENSMGAP00000017223	ENSMGAP00000017217
ENSMGAP00000012730	ENSMGAP00000017223
ENSMGAP00000017223	ENSMGAP00000012730
ENSMGAP00000005368	ENSMGAP00000011054
ENSMGAP00000011054	ENSMGAP00000005368
ENSMGAP00000005368	ENSMGAP00000000994
ENSMGAP00000000994	ENSMGAP00000005368
ENSMGAP00000011054	ENSMGAP00000000994
ENSMGAP00000000994	ENSMGAP00000011054
ENSMGAP00000014034	ENSMGAP00000012181
ENSMGAP00000012181	ENSMGAP00000014034
ENSMGAP00000014034	ENSMGAP00000006854
ENSMGAP00000006854	ENSMGAP00000014034
ENSMGAP00000012181	ENSMGAP00000006854
ENSMGAP00000006854	ENSMGAP00000012181
ENSMGAP00000018057	ENSMGAP00000010074
ENSMGAP00000010074	ENSMGAP00000018057
ENSMGAP00000018057	ENSMGAP00000008394
ENSMGAP00000008394	ENSMGAP00000018057
ENSMGAP00000010074	ENSMGAP00000008394
ENSMGAP00000008394	ENSMGAP00000010074
ENSMGAP00000011929	ENSMGAP00000009941
ENSMGAP00000009941	ENSMGAP00000011929
ENSMGAP00000014249	ENSMGAP00000001205
ENSMGAP00000001205	ENSMGAP00000014249
ENSMGAP00000014249	ENSMGAP00000007019
ENSMGAP00000007019	ENSMGAP00000014249
ENSMGAP00000001205	ENSMGAP00000007019
ENSMGAP00000007019	ENSMGAP00000001205
ENSMGAP00000016128	ENSMGAP00000000239
ENSMGAP00000000239	ENSMGAP00000016128
ENSMGAP00000016128	ENSMGAP00000011507
ENSMGAP00000011507	ENSMGAP00000016128
ENSMGAP00000000239	ENSMGAP00000011507
ENSMGAP00000011507	ENSMGAP00000000239
ENSMGAP00000006747	ENSMGAP00000000104
ENSMGAP00000000104	ENSMGAP00000006747
ENSMGAP00000006747	ENSMGAP00000008164
ENSMGAP00000008164	ENSMGAP00000006747
ENSMGAP00000000104	ENSMGAP00000008164
ENSMGAP00000008164	ENSMGAP00000000104
ENSMGAP00000005237	ENSMGAP00000007989
ENSMGAP00000007989	ENSMGAP00000005237
ENSMGAP00000005237	ENSMGAP00000002438
ENSMGAP00000002438	ENSMGAP00000005237
ENSMGAP00000005237	ENSMGAP00000002433
ENSMGAP00000002433	ENSMGAP00000005237
ENSMGAP00000007989	ENSMGAP00000002438
ENSMGAP00000002438	ENSMGAP00000007989
ENSMGAP00000007989	ENSMGAP00000002433
ENSMGAP00000002433	ENSMGAP00000007989
ENSMGAP00000002438	ENSMGAP00000002433
ENSMGAP00000002433	ENSMGAP00000002438
ENSMGAP00000007700	ENSMGAP00000019223
ENSMGAP00000019223	ENSMGAP00000007700
ENSMGAP00000007700	ENSMGAP00000013242
ENSMGAP00000013242	ENSMGAP00000007700
ENSMGAP00000019223	ENSMGAP00000013242
ENSMGAP00000013242	ENSMGAP00000019223
ENSMGAP00000004393	ENSMGAP00000003639
ENSMGAP00000003639	ENSMGAP00000004393
ENSMGAP00000005055	ENSMGAP00000012137
ENSMGAP00000012137	ENSMGAP00000005055
ENSMGAP00000010180	ENSMGAP00000013213
ENSMGAP00000013213	ENSMGAP00000010180
ENSMGAP00000010180	ENSMGAP00000016584
ENSMGAP00000016584	ENSMGAP00000010180
ENSMGAP00000013213	ENSMGAP00000016584
ENSMGAP00000016584	ENSMGAP00000013213
ENSMGAP00000005604	ENSMGAP00000018704
ENSMGAP00000018704	ENSMGAP00000005604
ENSMGAP00000005604	ENSMGAP00000019093
ENSMGAP00000019093	ENSMGAP00000005604
ENSMGAP00000018704	ENSMGAP00000019093
ENSMGAP00000019093	ENSMGAP00000018704
ENSMGAP00000000739	ENSMGAP00000010625
ENSMGAP00000010625	ENSMGAP00000000739
ENSMGAP00000006742	ENSMGAP00000017986
ENSMGAP00000017986	ENSMGAP00000006742
ENSMGAP00000003205	ENSMGAP00000005779
ENSMGAP00000005779	ENSMGAP00000003205
ENSMGAP00000015257	ENSMGAP00000004751
ENSMGAP00000004751	ENSMGAP00000015257
ENSMGAP00000018188	ENSMGAP00000000140
ENSMGAP00000000140	ENSMGAP00000018188
ENSMGAP00000018188	ENSMGAP00000006172
ENSMGAP00000006172	ENSMGAP00000018188
ENSMGAP00000018188	ENSMGAP00000011644
ENSMGAP00000011644	ENSMGAP00000018188
ENSMGAP00000000140	ENSMGAP00000006172
ENSMGAP00000006172	ENSMGAP00000000140
ENSMGAP00000000140	ENSMGAP00000011644
ENSMGAP00000011644	ENSMGAP00000000140
ENSMGAP00000006172	ENSMGAP00000011644
ENSMGAP00000011644	ENSMGAP00000006172
ENSMGAP00000017982	ENSMGAP00000006732
ENSMGAP00000006732	ENSMGAP00000017982
ENSMGAP00000013253	ENSMGAP00000016807
ENSMGAP00000016807	ENSMGAP00000013253
ENSMGAP00000009066	ENSMGAP00000006876
ENSMGAP00000006876	ENSMGAP00000009066
ENSMGAP00000009066	ENSMGAP00000002071
ENSMGAP00000002071	ENSMGAP00000009066
ENSMGAP00000006876	ENSMGAP00000002071
ENSMGAP00000002071	ENSMGAP00000006876
ENSMGAP00000003775	ENSMGAP00000002737
ENSMGAP00000002737	ENSMGAP00000003775
ENSMGAP00000003775	ENSMGAP00000008642
ENSMGAP00000008642	ENSMGAP00000003775
ENSMGAP00000002737	ENSMGAP00000008642
ENSMGAP00000008642	ENSMGAP00000002737
ENSMGAP00000015526	ENSMGAP00000015121
ENSMGAP00000015121	ENSMGAP00000015526
ENSMGAP00000009081	ENSMGAP00000009167
ENSMGAP00000009167	ENSMGAP00000009081
ENSMGAP00000005388	ENSMGAP00000003024
ENSMGAP00000003024	ENSMGAP00000005388
ENSMGAP00000005388	ENSMGAP00000004091
ENSMGAP00000004091	ENSMGAP00000005388
ENSMGAP00000003024	ENSMGAP00000004091
ENSMGAP00000004091	ENSMGAP00000003024
ENSMGAP00000006178	ENSMGAP00000015351
ENSMGAP00000015351	ENSMGAP00000006178
ENSMGAP00000008085	ENSMGAP00000000032
ENSMGAP00000000032	ENSMGAP00000008085
ENSMGAP00000008085	ENSMGAP00000007508
ENSMGAP00000007508	ENSMGAP00000008085
ENSMGAP00000000032	ENSMGAP00000007508
ENSMGAP00000007508	ENSMGAP00000000032
ENSMGAP00000005864	ENSMGAP00000019178
ENSMGAP00000019178	ENSMGAP00000005864
ENSMGAP00000005864	ENSMGAP00000001470
ENSMGAP00000001470	ENSMGAP00000005864
ENSMGAP00000019178	ENSMGAP00000001470
ENSMGAP00000001470	ENSMGAP00000019178
ENSMGAP00000003698	ENSMGAP00000012991
ENSMGAP00000012991	ENSMGAP00000003698
ENSMGAP00000003698	ENSMGAP00000006487
ENSMGAP00000006487	ENSMGAP00000003698
ENSMGAP00000012991	ENSMGAP00000006487
ENSMGAP00000006487	ENSMGAP00000012991
ENSMGAP00000007812	ENSMGAP00000006088
ENSMGAP00000006088	ENSMGAP00000007812
ENSMGAP00000002054	ENSMGAP00000002014
ENSMGAP00000002014	ENSMGAP00000002054
ENSMGAP00000011231	ENSMGAP00000009796
ENSMGAP00000009796	ENSMGAP00000011231
ENSMGAP00000003889	ENSMGAP00000012100
ENSMGAP00000012100	ENSMGAP00000003889
ENSMGAP00000003889	ENSMGAP00000007532
ENSMGAP00000007532	ENSMGAP00000003889
ENSMGAP00000012100	ENSMGAP00000007532
ENSMGAP00000007532	ENSMGAP00000012100
ENSMGAP00000005822	ENSMGAP00000001008
ENSMGAP00000001008	ENSMGAP00000005822
ENSMGAP00000002017	ENSMGAP00000000804
ENSMGAP00000000804	ENSMGAP00000002017
ENSMGAP00000018663	ENSMGAP00000018956
ENSMGAP00000018956	ENSMGAP00000018663
ENSMGAP00000018663	ENSMGAP00000009570
ENSMGAP00000009570	ENSMGAP00000018663
ENSMGAP00000018956	ENSMGAP00000009570
ENSMGAP00000009570	ENSMGAP00000018956
ENSMGAP00000017700	ENSMGAP00000014526
ENSMGAP00000014526	ENSMGAP00000017700
ENSMGAP00000017700	ENSMGAP00000002364
ENSMGAP00000002364	ENSMGAP00000017700
ENSMGAP00000014526	ENSMGAP00000002364
ENSMGAP00000002364	ENSMGAP00000014526
ENSMGAP00000000387	ENSMGAP00000012958
ENSMGAP00000012958	ENSMGAP00000000387
ENSMGAP00000000387	ENSMGAP00000001649
ENSMGAP00000001649	ENSMGAP00000000387
ENSMGAP00000012958	ENSMGAP00000001649
ENSMGAP00000001649	ENSMGAP00000012958
ENSMGAP00000006276	ENSMGAP00000001111
ENSMGAP00000001111	ENSMGAP00000006276
ENSMGAP00000006276	ENSMGAP00000013186
ENSMGAP00000013186	ENSMGAP00000006276
ENSMGAP00000001111	ENSMGAP00000013186
ENSMGAP00000013186	ENSMGAP00000001111
ENSMGAP00000016301	ENSMGAP00000016980
ENSMGAP00000016980	ENSMGAP00000016301
ENSMGAP00000016301	ENSMGAP00000016615
ENSMGAP00000016615	ENSMGAP00000016301
ENSMGAP00000016980	ENSMGAP00000016615
ENSMGAP00000016615	ENSMGAP00000016980
ENSMGAP00000005875	ENSMGAP00000013589
ENSMGAP00000013589	ENSMGAP00000005875
ENSMGAP00000005875	ENSMGAP00000000755
ENSMGAP00000000755	ENSMGAP00000005875
ENSMGAP00000013589	ENSMGAP00000000755
ENSMGAP00000000755	ENSMGAP00000013589
ENSMGAP00000011783	ENSMGAP00000006685
ENSMGAP00000006685	ENSMGAP00000011783
ENSMGAP00000011783	ENSMGAP00000006819
ENSMGAP00000006819	ENSMGAP00000011783
ENSMGAP00000006685	ENSMGAP00000006819
ENSMGAP00000006819	ENSMGAP00000006685
ENSMGAP00000011022	ENSMGAP00000018958
ENSMGAP00000018958	ENSMGAP00000011022
ENSMGAP00000011022	ENSMGAP00000018590
ENSMGAP00000018590	ENSMGAP00000011022
ENSMGAP00000011022	ENSMGAP00000004955
ENSMGAP00000004955	ENSMGAP00000011022
ENSMGAP00000011022	ENSMGAP00000018611
ENSMGAP00000018611	ENSMGAP00000011022
ENSMGAP00000018958	ENSMGAP00000004955
ENSMGAP00000004955	ENSMGAP00000018958
ENSMGAP00000018958	ENSMGAP00000018611
ENSMGAP00000018611	ENSMGAP00000018958
ENSMGAP00000018590	ENSMGAP00000004955
ENSMGAP00000004955	ENSMGAP00000018590
ENSMGAP00000018590	ENSMGAP00000018611
ENSMGAP00000018611	ENSMGAP00000018590
ENSMGAP00000001218	ENSMGAP00000015140
ENSMGAP00000015140	ENSMGAP00000001218
ENSMGAP00000001218	ENSMGAP00000014643
ENSMGAP00000014643	ENSMGAP00000001218
ENSMGAP00000015140	ENSMGAP00000014643
ENSMGAP00000014643	ENSMGAP00000015140
ENSMGAP00000013825	ENSMGAP00000005129
ENSMGAP00000005129	ENSMGAP00000013825
ENSMGAP00000015107	ENSMGAP00000001658
ENSMGAP00000001658	ENSMGAP00000015107
ENSMGAP00000015107	ENSMGAP00000008771
ENSMGAP00000008771	ENSMGAP00000015107
ENSMGAP00000001658	ENSMGAP00000008771
ENSMGAP00000008771	ENSMGAP00000001658
ENSMGAP00000015574	ENSMGAP00000009870
ENSMGAP00000009870	ENSMGAP00000015574
ENSMGAP00000015574	ENSMGAP00000007086
ENSMGAP00000007086	ENSMGAP00000015574
ENSMGAP00000009870	ENSMGAP00000007086
ENSMGAP00000007086	ENSMGAP00000009870
ENSMGAP00000018182	ENSMGAP00000006999
ENSMGAP00000006999	ENSMGAP00000018182
ENSMGAP00000002903	ENSMGAP00000009699
ENSMGAP00000009699	ENSMGAP00000002903
ENSMGAP00000011162	ENSMGAP00000010254
ENSMGAP00000010254	ENSMGAP00000011162
ENSMGAP00000011162	ENSMGAP00000019437
ENSMGAP00000019437	ENSMGAP00000011162
ENSMGAP00000010254	ENSMGAP00000019437
ENSMGAP00000019437	ENSMGAP00000010254
ENSMGAP00000004312	ENSMGAP00000011971
ENSMGAP00000011971	ENSMGAP00000004312
ENSMGAP00000004312	ENSMGAP00000014971
ENSMGAP00000014971	ENSMGAP00000004312
ENSMGAP00000011971	ENSMGAP00000014971
ENSMGAP00000014971	ENSMGAP00000011971
ENSMGAP00000007592	ENSMGAP00000011468
ENSMGAP00000011468	ENSMGAP00000007592
ENSMGAP00000014504	ENSMGAP00000006021
ENSMGAP00000006021	ENSMGAP00000014504
ENSMGAP00000002799	ENSMGAP00000013655
ENSMGAP00000013655	ENSMGAP00000002799
ENSMGAP00000002799	ENSMGAP00000007739
ENSMGAP00000007739	ENSMGAP00000002799
ENSMGAP00000013655	ENSMGAP00000007739
ENSMGAP00000007739	ENSMGAP00000013655
ENSMGAP00000016007	ENSMGAP00000008567
ENSMGAP00000008567	ENSMGAP00000016007
ENSMGAP00000005614	ENSMGAP00000002450
ENSMGAP00000002450	ENSMGAP00000005614
ENSMGAP00000007284	ENSMGAP00000004624
ENSMGAP00000004624	ENSMGAP00000007284
ENSMGAP00000007284	ENSMGAP00000010114
ENSMGAP00000010114	ENSMGAP00000007284
ENSMGAP00000004624	ENSMGAP00000010114
ENSMGAP00000010114	ENSMGAP00000004624
ENSMGAP00000008591	ENSMGAP00000011069
ENSMGAP00000011069	ENSMGAP00000008591
ENSMGAP00000008591	ENSMGAP00000005811
ENSMGAP00000005811	ENSMGAP00000008591
ENSMGAP00000011069	ENSMGAP00000005811
ENSMGAP00000005811	ENSMGAP00000011069
ENSMGAP00000015597	ENSMGAP00000010252
ENSMGAP00000010252	ENSMGAP00000015597
ENSMGAP00000004407	ENSMGAP00000007875
ENSMGAP00000007875	ENSMGAP00000004407
ENSMGAP00000000282	ENSMGAP00000000200
ENSMGAP00000000200	ENSMGAP00000000282
ENSMGAP00000000282	ENSMGAP00000014075
ENSMGAP00000014075	ENSMGAP00000000282
ENSMGAP00000000200	ENSMGAP00000014075
ENSMGAP00000014075	ENSMGAP00000000200
ENSMGAP00000011975	ENSMGAP00000014889
ENSMGAP00000014889	ENSMGAP00000011975
ENSMGAP00000009769	ENSMGAP00000010997
ENSMGAP00000010997	ENSMGAP00000009769
ENSMGAP00000009769	ENSMGAP00000007973
ENSMGAP00000007973	ENSMGAP00000009769
ENSMGAP00000010997	ENSMGAP00000007973
ENSMGAP00000007973	ENSMGAP00000010997
ENSMGAP00000017322	ENSMGAP00000006305
ENSMGAP00000006305	ENSMGAP00000017322
ENSMGAP00000013314	ENSMGAP00000011609
ENSMGAP00000011609	ENSMGAP00000013314
ENSMGAP00000013945	ENSMGAP00000005853
ENSMGAP00000005853	ENSMGAP00000013945
ENSMGAP00000016033	ENSMGAP00000012156
ENSMGAP00000012156	ENSMGAP00000016033
ENSMGAP00000015583	ENSMGAP00000009359
ENSMGAP00000009359	ENSMGAP00000015583
ENSMGAP00000018826	ENSMGAP00000003720
ENSMGAP00000003720	ENSMGAP00000018826
ENSMGAP00000009466	ENSMGAP00000001829
ENSMGAP00000001829	ENSMGAP00000009466
ENSMGAP00000015488	ENSMGAP00000004036
ENSMGAP00000004036	ENSMGAP00000015488
ENSMGAP00000015488	ENSMGAP00000008778
ENSMGAP00000008778	ENSMGAP00000015488
ENSMGAP00000015488	ENSMGAP00000015173
ENSMGAP00000015173	ENSMGAP00000015488
ENSMGAP00000004036	ENSMGAP00000008778
ENSMGAP00000008778	ENSMGAP00000004036
ENSMGAP00000004036	ENSMGAP00000015173
ENSMGAP00000015173	ENSMGAP00000004036
ENSMGAP00000008778	ENSMGAP00000015173
ENSMGAP00000015173	ENSMGAP00000008778
ENSMGAP00000011165	ENSMGAP00000002754
ENSMGAP00000002754	ENSMGAP00000011165
ENSMGAP00000004483	ENSMGAP00000011939
ENSMGAP00000011939	ENSMGAP00000004483
ENSMGAP00000004030	ENSMGAP00000016047
ENSMGAP00000016047	ENSMGAP00000004030
ENSMGAP00000004030	ENSMGAP00000004032
ENSMGAP00000004032	ENSMGAP00000004030
ENSMGAP00000016047	ENSMGAP00000004032
ENSMGAP00000004032	ENSMGAP00000016047
ENSMGAP00000003240	ENSMGAP00000011903
ENSMGAP00000011903	ENSMGAP00000003240
ENSMGAP00000011566	ENSMGAP00000003039
ENSMGAP00000003039	ENSMGAP00000011566
ENSMGAP00000011566	ENSMGAP00000018193
ENSMGAP00000018193	ENSMGAP00000011566
ENSMGAP00000003039	ENSMGAP00000018193
ENSMGAP00000018193	ENSMGAP00000003039
ENSMGAP00000018530	ENSMGAP00000009932
ENSMGAP00000009932	ENSMGAP00000018530
ENSMGAP00000018530	ENSMGAP00000003118
ENSMGAP00000003118	ENSMGAP00000018530
ENSMGAP00000009932	ENSMGAP00000003118
ENSMGAP00000003118	ENSMGAP00000009932
ENSMGAP00000017033	ENSMGAP00000007277
ENSMGAP00000007277	ENSMGAP00000017033
ENSMGAP00000017033	ENSMGAP00000003164
ENSMGAP00000003164	ENSMGAP00000017033
ENSMGAP00000007277	ENSMGAP00000003164
ENSMGAP00000003164	ENSMGAP00000007277
ENSMGAP00000009267	ENSMGAP00000014360
ENSMGAP00000014360	ENSMGAP00000009267
ENSMGAP00000009267	ENSMGAP00000009285
ENSMGAP00000009285	ENSMGAP00000009267
ENSMGAP00000014360	ENSMGAP00000009285
ENSMGAP00000009285	ENSMGAP00000014360
ENSMGAP00000017325	ENSMGAP00000017049
ENSMGAP00000017049	ENSMGAP00000017325
ENSMGAP00000017325	ENSMGAP00000017064
ENSMGAP00000017064	ENSMGAP00000017325
ENSMGAP00000017049	ENSMGAP00000017064
ENSMGAP00000017064	ENSMGAP00000017049
ENSMGAP00000003721	ENSMGAP00000014980
ENSMGAP00000014980	ENSMGAP00000003721
ENSMGAP00000008096	ENSMGAP00000019648
ENSMGAP00000019648	ENSMGAP00000008096
ENSMGAP00000000880	ENSMGAP00000005114
ENSMGAP00000005114	ENSMGAP00000000880
ENSMGAP00000000880	ENSMGAP00000015495
ENSMGAP00000015495	ENSMGAP00000000880
ENSMGAP00000005114	ENSMGAP00000015495
ENSMGAP00000015495	ENSMGAP00000005114
ENSMGAP00000005993	ENSMGAP00000002863
ENSMGAP00000002863	ENSMGAP00000005993
ENSMGAP00000012309	ENSMGAP00000001279
ENSMGAP00000001279	ENSMGAP00000012309
ENSMGAP00000012309	ENSMGAP00000012811
ENSMGAP00000012811	ENSMGAP00000012309
ENSMGAP00000012309	ENSMGAP00000018391
ENSMGAP00000018391	ENSMGAP00000012309
ENSMGAP00000001279	ENSMGAP00000012811
ENSMGAP00000012811	ENSMGAP00000001279
ENSMGAP00000001279	ENSMGAP00000018391
ENSMGAP00000018391	ENSMGAP00000001279
ENSMGAP00000012811	ENSMGAP00000018391
ENSMGAP00000018391	ENSMGAP00000012811
ENSMGAP00000011146	ENSMGAP00000007150
ENSMGAP00000007150	ENSMGAP00000011146
ENSMGAP00000014781	ENSMGAP00000006634
ENSMGAP00000006634	ENSMGAP00000014781
ENSMGAP00000014781	ENSMGAP00000011306
ENSMGAP00000011306	ENSMGAP00000014781
ENSMGAP00000006634	ENSMGAP00000011306
ENSMGAP00000011306	ENSMGAP00000006634
ENSMGAP00000006228	ENSMGAP00000008782
ENSMGAP00000008782	ENSMGAP00000006228
ENSMGAP00000002764	ENSMGAP00000019156
ENSMGAP00000019156	ENSMGAP00000002764
ENSMGAP00000004693	ENSMGAP00000007501
ENSMGAP00000007501	ENSMGAP00000004693
ENSMGAP00000004693	ENSMGAP00000010327
ENSMGAP00000010327	ENSMGAP00000004693
ENSMGAP00000007501	ENSMGAP00000010327
ENSMGAP00000010327	ENSMGAP00000007501
ENSMGAP00000011955	ENSMGAP00000001645
ENSMGAP00000001645	ENSMGAP00000011955
ENSMGAP00000012608	ENSMGAP00000009244
ENSMGAP00000009244	ENSMGAP00000012608
ENSMGAP00000005580	ENSMGAP00000017324
ENSMGAP00000017324	ENSMGAP00000005580
ENSMGAP00000011333	ENSMGAP00000009109
ENSMGAP00000009109	ENSMGAP00000011333
ENSMGAP00000001676	ENSMGAP00000005133
ENSMGAP00000005133	ENSMGAP00000001676
ENSMGAP00000001676	ENSMGAP00000008770
ENSMGAP00000008770	ENSMGAP00000001676
ENSMGAP00000001676	ENSMGAP00000012548
ENSMGAP00000012548	ENSMGAP00000001676
