ENSP00000354794	ENSP00000455426
ENSP00000369100	ENSP00000364145
ENSP00000364145	ENSP00000356047
ENSP00000356047	ENSP00000364145
ENSP00000232375	ENSP00000369100
ENSP00000369100	ENSP00000232375
ENSP00000232375	ENSP00000356047
ENSP00000356047	ENSP00000232375
ENSP00000369100	ENSP00000356047
ENSP00000356047	ENSP00000369100
ENSP00000209875	ENSP00000377060
ENSP00000377060	ENSP00000209875
ENSP00000323847	ENSP00000282026
ENSP00000282026	ENSP00000323847
ENSP00000375057	ENSP00000322628
ENSP00000322628	ENSP00000375057
ENSP00000381140	ENSP00000314036
ENSP00000314036	ENSP00000381140
ENSP00000221566	ENSP00000370395
ENSP00000370395	ENSP00000221566
ENSP00000005340	ENSP00000316054
ENSP00000316054	ENSP00000005340
ENSP00000378328	ENSP00000427130
ENSP00000427130	ENSP00000378328
ENSP00000378328	ENSP00000261739
ENSP00000261739	ENSP00000378328
ENSP00000427130	ENSP00000261739
ENSP00000261739	ENSP00000427130
ENSP00000408005	ENSP00000262613
ENSP00000262613	ENSP00000408005
ENSP00000342143	ENSP00000347742
ENSP00000347742	ENSP00000342143
ENSP00000377004	ENSP00000280098
ENSP00000280098	ENSP00000377004
ENSP00000228251	ENSP00000007699
ENSP00000007699	ENSP00000228251
ENSP00000392859	ENSP00000259727
ENSP00000259727	ENSP00000392859
ENSP00000296464	ENSP00000302961
ENSP00000302961	ENSP00000296464
ENSP00000296464	ENSP00000318687
ENSP00000318687	ENSP00000296464
ENSP00000302961	ENSP00000318687
ENSP00000318687	ENSP00000302961
ENSP00000370299	ENSP00000296043
ENSP00000296043	ENSP00000370299
ENSP00000370299	ENSP00000365188
ENSP00000365188	ENSP00000370299
ENSP00000296043	ENSP00000365188
ENSP00000365188	ENSP00000296043
ENSP00000302851	ENSP00000368637
ENSP00000368637	ENSP00000302851
ENSP00000298472	ENSP00000387549
ENSP00000387549	ENSP00000298472
ENSP00000343899	ENSP00000283309
ENSP00000283309	ENSP00000343899
ENSP00000363317	ENSP00000394794
ENSP00000394794	ENSP00000363317
ENSP00000346389	ENSP00000271555
ENSP00000271555	ENSP00000346389
ENSP00000346389	ENSP00000340874
ENSP00000340874	ENSP00000346389
ENSP00000271555	ENSP00000340874
ENSP00000340874	ENSP00000271555
ENSP00000444972	ENSP00000282111
ENSP00000282111	ENSP00000444972
ENSP00000444972	ENSP00000265165
ENSP00000265165	ENSP00000444972
ENSP00000444972	ENSP00000340347
ENSP00000340347	ENSP00000444972
ENSP00000282111	ENSP00000265165
ENSP00000265165	ENSP00000282111
ENSP00000282111	ENSP00000340347
ENSP00000340347	ENSP00000282111
ENSP00000265165	ENSP00000340347
ENSP00000340347	ENSP00000265165
ENSP00000441640	ENSP00000347716
ENSP00000347716	ENSP00000441640
ENSP00000441640	ENSP00000436901
ENSP00000436901	ENSP00000441640
ENSP00000347716	ENSP00000436901
ENSP00000436901	ENSP00000347716
ENSP00000350024	ENSP00000377424
ENSP00000377424	ENSP00000350024
ENSP00000345295	ENSP00000327846
ENSP00000327846	ENSP00000345295
ENSP00000345295	ENSP00000265807
ENSP00000265807	ENSP00000345295
ENSP00000345295	ENSP00000376123
ENSP00000376123	ENSP00000345295
ENSP00000327846	ENSP00000265807
ENSP00000265807	ENSP00000327846
ENSP00000327846	ENSP00000376123
ENSP00000376123	ENSP00000327846
ENSP00000265807	ENSP00000376123
ENSP00000376123	ENSP00000265807
ENSP00000350078	ENSP00000279873
ENSP00000279873	ENSP00000350078
ENSP00000347602	ENSP00000264183
ENSP00000264183	ENSP00000347602
ENSP00000325074	ENSP00000336591
ENSP00000336591	ENSP00000325074
ENSP00000325074	ENSP00000335083
ENSP00000335083	ENSP00000325074
ENSP00000325074	ENSP00000399970
ENSP00000399970	ENSP00000325074
ENSP00000336591	ENSP00000335083
ENSP00000335083	ENSP00000336591
ENSP00000336591	ENSP00000399970
ENSP00000399970	ENSP00000336591
ENSP00000335083	ENSP00000399970
ENSP00000399970	ENSP00000335083
ENSP00000329967	ENSP00000356087
ENSP00000356087	ENSP00000329967
ENSP00000430684	ENSP00000359424
ENSP00000359424	ENSP00000430684
ENSP00000224356	ENSP00000001146
ENSP00000001146	ENSP00000224356
ENSP00000224356	ENSP00000285949
ENSP00000285949	ENSP00000224356
ENSP00000001146	ENSP00000285949
ENSP00000285949	ENSP00000001146
ENSP00000354671	ENSP00000251472
ENSP00000251472	ENSP00000354671
ENSP00000354671	ENSP00000262811
ENSP00000262811	ENSP00000354671
ENSP00000354671	ENSP00000385727
ENSP00000385727	ENSP00000354671
ENSP00000251472	ENSP00000262811
ENSP00000262811	ENSP00000251472
ENSP00000251472	ENSP00000385727
ENSP00000385727	ENSP00000251472
ENSP00000262811	ENSP00000385727
ENSP00000385727	ENSP00000262811
ENSP00000339992	ENSP00000429633
ENSP00000429633	ENSP00000339992
ENSP00000398861	ENSP00000323780
ENSP00000323780	ENSP00000398861
ENSP00000398861	ENSP00000331103
ENSP00000331103	ENSP00000398861
ENSP00000323780	ENSP00000331103
ENSP00000331103	ENSP00000323780
ENSP00000444628	ENSP00000396615
ENSP00000396615	ENSP00000444628
ENSP00000295759	ENSP00000306920
ENSP00000306920	ENSP00000295759
ENSP00000297991	ENSP00000318355
ENSP00000318355	ENSP00000297991
ENSP00000297991	ENSP00000297988
ENSP00000297988	ENSP00000297991
ENSP00000297991	ENSP00000219919
ENSP00000219919	ENSP00000297991
ENSP00000318355	ENSP00000297988
ENSP00000297988	ENSP00000318355
ENSP00000318355	ENSP00000219919
ENSP00000219919	ENSP00000318355
ENSP00000297988	ENSP00000219919
ENSP00000219919	ENSP00000297988
ENSP00000284770	ENSP00000253754
ENSP00000253754	ENSP00000284770
ENSP00000294517	ENSP00000234111
ENSP00000234111	ENSP00000294517
ENSP00000294517	ENSP00000337180
ENSP00000337180	ENSP00000294517
ENSP00000234111	ENSP00000337180
ENSP00000337180	ENSP00000234111
ENSP00000260970	ENSP00000232978
ENSP00000232978	ENSP00000260970
ENSP00000315743	ENSP00000344635
ENSP00000344635	ENSP00000315743
ENSP00000315743	ENSP00000237654
ENSP00000237654	ENSP00000315743
ENSP00000315743	ENSP00000368005
ENSP00000368005	ENSP00000315743
ENSP00000344635	ENSP00000237654
ENSP00000237654	ENSP00000344635
ENSP00000344635	ENSP00000368005
ENSP00000368005	ENSP00000344635
ENSP00000237654	ENSP00000368005
ENSP00000368005	ENSP00000237654
ENSP00000218104	ENSP00000310688
ENSP00000310688	ENSP00000218104
ENSP00000230323	ENSP00000314129
ENSP00000314129	ENSP00000230323
ENSP00000230323	ENSP00000295600
ENSP00000295600	ENSP00000230323
ENSP00000230323	ENSP00000265440
ENSP00000265440	ENSP00000230323
ENSP00000314129	ENSP00000295600
ENSP00000295600	ENSP00000314129
ENSP00000314129	ENSP00000265440
ENSP00000265440	ENSP00000314129
ENSP00000295600	ENSP00000265440
ENSP00000265440	ENSP00000295600
ENSP00000454919	ENSP00000368237
ENSP00000368237	ENSP00000454919
ENSP00000454919	ENSP00000351155
ENSP00000351155	ENSP00000454919
ENSP00000454919	ENSP00000381844
ENSP00000381844	ENSP00000454919
ENSP00000368237	ENSP00000351155
ENSP00000351155	ENSP00000368237
ENSP00000368237	ENSP00000381844
ENSP00000381844	ENSP00000368237
ENSP00000351155	ENSP00000381844
ENSP00000381844	ENSP00000351155
ENSP00000387710	ENSP00000358060
ENSP00000358060	ENSP00000387710
ENSP00000387710	ENSP00000338093
ENSP00000338093	ENSP00000387710
ENSP00000358060	ENSP00000338093
ENSP00000338093	ENSP00000358060
ENSP00000373153	ENSP00000355308
ENSP00000355308	ENSP00000373153
ENSP00000419503	ENSP00000261875
ENSP00000261875	ENSP00000419503
ENSP00000395650	ENSP00000360195
ENSP00000360195	ENSP00000395650
ENSP00000395650	ENSP00000328923
ENSP00000328923	ENSP00000395650
ENSP00000360195	ENSP00000328923
ENSP00000328923	ENSP00000360195
ENSP00000309087	ENSP00000222032
ENSP00000222032	ENSP00000309087
ENSP00000309087	ENSP00000399700
ENSP00000399700	ENSP00000309087
ENSP00000222032	ENSP00000399700
ENSP00000399700	ENSP00000222032
ENSP00000399709	ENSP00000448310
ENSP00000448310	ENSP00000399709
ENSP00000399709	ENSP00000361281
ENSP00000361281	ENSP00000399709
ENSP00000399709	ENSP00000332413
ENSP00000332413	ENSP00000399709
ENSP00000448310	ENSP00000361281
ENSP00000361281	ENSP00000448310
ENSP00000448310	ENSP00000332413
ENSP00000332413	ENSP00000448310
ENSP00000361281	ENSP00000332413
ENSP00000332413	ENSP00000361281
ENSP00000370710	ENSP00000361473
ENSP00000361473	ENSP00000370710
ENSP00000370710	ENSP00000159111
ENSP00000159111	ENSP00000370710
ENSP00000361473	ENSP00000159111
ENSP00000159111	ENSP00000361473
ENSP00000362369	ENSP00000352336
ENSP00000352336	ENSP00000362369
ENSP00000326491	ENSP00000289119
ENSP00000289119	ENSP00000326491
ENSP00000358131	ENSP00000305926
ENSP00000305926	ENSP00000358131
ENSP00000295640	ENSP00000270357
ENSP00000270357	ENSP00000295640
ENSP00000295640	ENSP00000364464
ENSP00000364464	ENSP00000295640
ENSP00000270357	ENSP00000364464
ENSP00000364464	ENSP00000270357
ENSP00000358894	ENSP00000349147
ENSP00000349147	ENSP00000358894
ENSP00000358894	ENSP00000305449
ENSP00000305449	ENSP00000358894
ENSP00000349147	ENSP00000305449
ENSP00000305449	ENSP00000349147
ENSP00000357453	ENSP00000363452
ENSP00000363452	ENSP00000357453
ENSP00000357453	ENSP00000348959
ENSP00000348959	ENSP00000357453
ENSP00000363452	ENSP00000348959
ENSP00000348959	ENSP00000363452
ENSP00000244050	ENSP00000380034
ENSP00000380034	ENSP00000244050
ENSP00000244050	ENSP00000327968
ENSP00000327968	ENSP00000244050
ENSP00000380034	ENSP00000327968
ENSP00000327968	ENSP00000380034
ENSP00000331692	ENSP00000246104
ENSP00000246104	ENSP00000331692
ENSP00000260526	ENSP00000203556
ENSP00000203556	ENSP00000260526
ENSP00000260526	ENSP00000439601
ENSP00000439601	ENSP00000260526
ENSP00000203556	ENSP00000439601
ENSP00000439601	ENSP00000203556
ENSP00000363392	ENSP00000230085
ENSP00000230085	ENSP00000363392
ENSP00000343709	ENSP00000377059
ENSP00000377059	ENSP00000343709
ENSP00000409581	ENSP00000403701
ENSP00000403701	ENSP00000409581
ENSP00000409581	ENSP00000311538
ENSP00000311538	ENSP00000409581
ENSP00000409581	ENSP00000386444
ENSP00000386444	ENSP00000409581
ENSP00000403701	ENSP00000311538
ENSP00000311538	ENSP00000403701
ENSP00000403701	ENSP00000386444
ENSP00000386444	ENSP00000403701
ENSP00000311538	ENSP00000386444
ENSP00000386444	ENSP00000311538
ENSP00000362978	ENSP00000342626
ENSP00000342626	ENSP00000362978
ENSP00000362978	ENSP00000333640
ENSP00000333640	ENSP00000362978
ENSP00000362978	ENSP00000356870
ENSP00000356870	ENSP00000362978
ENSP00000342626	ENSP00000333640
ENSP00000333640	ENSP00000342626
ENSP00000342626	ENSP00000356870
ENSP00000356870	ENSP00000342626
ENSP00000333640	ENSP00000356870
ENSP00000356870	ENSP00000333640
ENSP00000411514	ENSP00000386845
ENSP00000386845	ENSP00000411514
ENSP00000411514	ENSP00000338927
ENSP00000338927	ENSP00000411514
ENSP00000411514	ENSP00000281523
ENSP00000281523	ENSP00000411514
ENSP00000386845	ENSP00000338927
ENSP00000338927	ENSP00000386845
ENSP00000386845	ENSP00000281523
ENSP00000281523	ENSP00000386845
ENSP00000338927	ENSP00000281523
ENSP00000281523	ENSP00000338927
ENSP00000360231	ENSP00000380781
ENSP00000380781	ENSP00000360231
ENSP00000360231	ENSP00000396843
ENSP00000396843	ENSP00000360231
ENSP00000360231	ENSP00000370340
ENSP00000370340	ENSP00000360231
ENSP00000380781	ENSP00000396843
ENSP00000396843	ENSP00000380781
ENSP00000380781	ENSP00000370340
ENSP00000370340	ENSP00000380781
ENSP00000396843	ENSP00000370340
ENSP00000370340	ENSP00000396843
ENSP00000332513	ENSP00000362308
ENSP00000362308	ENSP00000332513
ENSP00000332513	ENSP00000358853
ENSP00000358853	ENSP00000332513
ENSP00000362308	ENSP00000358853
ENSP00000358853	ENSP00000362308
ENSP00000266517	ENSP00000356170
ENSP00000356170	ENSP00000266517
ENSP00000362151	ENSP00000386200
ENSP00000386200	ENSP00000362151
ENSP00000362151	ENSP00000420736
ENSP00000420736	ENSP00000362151
ENSP00000386200	ENSP00000420736
ENSP00000420736	ENSP00000386200
ENSP00000347883	ENSP00000263265
ENSP00000263265	ENSP00000347883
ENSP00000360069	ENSP00000368698
ENSP00000368698	ENSP00000360069
ENSP00000360069	ENSP00000361664
ENSP00000361664	ENSP00000360069
ENSP00000360069	ENSP00000356575
ENSP00000356575	ENSP00000360069
ENSP00000368698	ENSP00000361664
ENSP00000361664	ENSP00000368698
ENSP00000368698	ENSP00000356575
ENSP00000356575	ENSP00000368698
ENSP00000361664	ENSP00000356575
ENSP00000356575	ENSP00000361664
ENSP00000432869	ENSP00000347088
ENSP00000347088	ENSP00000432869
ENSP00000289166	ENSP00000318298
ENSP00000318298	ENSP00000289166
ENSP00000289166	ENSP00000443410
ENSP00000443410	ENSP00000289166
ENSP00000289166	ENSP00000358458
ENSP00000358458	ENSP00000289166
ENSP00000318298	ENSP00000443410
ENSP00000443410	ENSP00000318298
ENSP00000318298	ENSP00000358458
ENSP00000358458	ENSP00000318298
ENSP00000443410	ENSP00000358458
ENSP00000358458	ENSP00000443410
ENSP00000242248	ENSP00000360216
ENSP00000360216	ENSP00000242248
ENSP00000476519	ENSP00000427120
ENSP00000427120	ENSP00000476519
ENSP00000476519	ENSP00000271915
ENSP00000271915	ENSP00000476519
ENSP00000476519	ENSP00000262888
ENSP00000262888	ENSP00000476519
ENSP00000427120	ENSP00000271915
ENSP00000271915	ENSP00000427120
ENSP00000427120	ENSP00000262888
ENSP00000262888	ENSP00000427120
ENSP00000271915	ENSP00000262888
ENSP00000262888	ENSP00000271915
ENSP00000366240	ENSP00000250974
ENSP00000250974	ENSP00000366240
ENSP00000366240	ENSP00000258884
ENSP00000258884	ENSP00000366240
ENSP00000250974	ENSP00000258884
ENSP00000258884	ENSP00000250974
ENSP00000201647	ENSP00000435585
ENSP00000435585	ENSP00000201647
ENSP00000310170	ENSP00000264716
ENSP00000264716	ENSP00000310170
ENSP00000289473	ENSP00000380450
ENSP00000380450	ENSP00000289473
ENSP00000348215	ENSP00000309714
ENSP00000309714	ENSP00000348215
ENSP00000259467	ENSP00000375855
ENSP00000375855	ENSP00000259467
ENSP00000356382	ENSP00000356386
ENSP00000356386	ENSP00000356382
ENSP00000364190	ENSP00000405890
ENSP00000405890	ENSP00000364190
ENSP00000364190	ENSP00000251203
ENSP00000251203	ENSP00000364190
ENSP00000364190	ENSP00000362588
ENSP00000362588	ENSP00000364190
ENSP00000405890	ENSP00000251203
ENSP00000251203	ENSP00000405890
ENSP00000405890	ENSP00000362588
ENSP00000362588	ENSP00000405890
ENSP00000251203	ENSP00000362588
ENSP00000362588	ENSP00000251203
ENSP00000318086	ENSP00000368964
ENSP00000368964	ENSP00000318086
ENSP00000318086	ENSP00000414712
ENSP00000414712	ENSP00000318086
ENSP00000318086	ENSP00000362244
ENSP00000362244	ENSP00000318086
ENSP00000368964	ENSP00000414712
ENSP00000414712	ENSP00000368964
ENSP00000368964	ENSP00000362244
ENSP00000362244	ENSP00000368964
ENSP00000414712	ENSP00000362244
ENSP00000362244	ENSP00000414712
ENSP00000369213	ENSP00000251642
ENSP00000251642	ENSP00000369213
ENSP00000369213	ENSP00000263642
ENSP00000263642	ENSP00000369213
ENSP00000251642	ENSP00000263642
ENSP00000263642	ENSP00000251642
ENSP00000353142	ENSP00000192314
ENSP00000192314	ENSP00000353142
ENSP00000353142	ENSP00000385735
ENSP00000385735	ENSP00000353142
ENSP00000192314	ENSP00000385735
ENSP00000385735	ENSP00000192314
ENSP00000270824	ENSP00000233712
ENSP00000233712	ENSP00000270824
ENSP00000320084	ENSP00000358470
ENSP00000358470	ENSP00000320084
ENSP00000369579	ENSP00000471417
ENSP00000471417	ENSP00000369579
ENSP00000368976	ENSP00000301332
ENSP00000301332	ENSP00000368976
ENSP00000361635	ENSP00000428845
ENSP00000428845	ENSP00000361635
ENSP00000358824	ENSP00000316193
ENSP00000316193	ENSP00000358824
ENSP00000356694	ENSP00000469049
ENSP00000469049	ENSP00000356694
ENSP00000356694	ENSP00000363157
ENSP00000363157	ENSP00000356694
ENSP00000469049	ENSP00000363157
ENSP00000363157	ENSP00000469049
ENSP00000376822	ENSP00000287908
ENSP00000287908	ENSP00000376822
ENSP00000376822	ENSP00000369419
ENSP00000369419	ENSP00000376822
ENSP00000287908	ENSP00000369419
ENSP00000369419	ENSP00000287908
ENSP00000270593	ENSP00000323036
ENSP00000323036	ENSP00000270593
ENSP00000270593	ENSP00000256997
ENSP00000256997	ENSP00000270593
ENSP00000323036	ENSP00000256997
ENSP00000256997	ENSP00000323036
ENSP00000256951	ENSP00000352540
ENSP00000352540	ENSP00000256951
ENSP00000256951	ENSP00000379269
ENSP00000379269	ENSP00000256951
ENSP00000256951	ENSP00000270221
ENSP00000270221	ENSP00000256951
ENSP00000352540	ENSP00000379269
ENSP00000379269	ENSP00000352540
ENSP00000352540	ENSP00000270221
ENSP00000270221	ENSP00000352540
ENSP00000379269	ENSP00000270221
ENSP00000270221	ENSP00000379269
ENSP00000401145	ENSP00000439672
ENSP00000439672	ENSP00000401145
ENSP00000301738	ENSP00000312814
ENSP00000312814	ENSP00000301738
ENSP00000301738	ENSP00000384391
ENSP00000384391	ENSP00000301738
ENSP00000312814	ENSP00000384391
ENSP00000384391	ENSP00000312814
ENSP00000448073	ENSP00000386458
ENSP00000386458	ENSP00000448073
ENSP00000313377	ENSP00000239231
ENSP00000239231	ENSP00000313377
ENSP00000313377	ENSP00000302108
ENSP00000302108	ENSP00000313377
ENSP00000239231	ENSP00000302108
ENSP00000302108	ENSP00000239231
ENSP00000332123	ENSP00000274605
ENSP00000274605	ENSP00000332123
ENSP00000332123	ENSP00000370981
ENSP00000370981	ENSP00000332123
ENSP00000332123	ENSP00000359240
ENSP00000359240	ENSP00000332123
ENSP00000274605	ENSP00000370981
ENSP00000370981	ENSP00000274605
ENSP00000274605	ENSP00000359240
ENSP00000359240	ENSP00000274605
ENSP00000370981	ENSP00000359240
ENSP00000359240	ENSP00000370981
ENSP00000352601	ENSP00000253193
ENSP00000253193	ENSP00000352601
ENSP00000352601	ENSP00000276654
ENSP00000276654	ENSP00000352601
ENSP00000352601	ENSP00000318607
ENSP00000318607	ENSP00000352601
ENSP00000253193	ENSP00000276654
ENSP00000276654	ENSP00000253193
ENSP00000253193	ENSP00000318607
ENSP00000318607	ENSP00000253193
ENSP00000276654	ENSP00000318607
ENSP00000318607	ENSP00000276654
ENSP00000262653	ENSP00000268679
ENSP00000268679	ENSP00000262653
ENSP00000262653	ENSP00000402257
ENSP00000402257	ENSP00000262653
ENSP00000268679	ENSP00000402257
ENSP00000402257	ENSP00000268679
ENSP00000434516	ENSP00000430031
ENSP00000430031	ENSP00000434516
ENSP00000350718	ENSP00000261226
ENSP00000261226	ENSP00000350718
ENSP00000350718	ENSP00000376930
ENSP00000376930	ENSP00000350718
ENSP00000261226	ENSP00000376930
ENSP00000376930	ENSP00000261226
ENSP00000384999	ENSP00000411688
ENSP00000411688	ENSP00000384999
ENSP00000303366	ENSP00000366280
ENSP00000366280	ENSP00000303366
ENSP00000251047	ENSP00000310431
ENSP00000310431	ENSP00000251047
ENSP00000311318	ENSP00000322159
ENSP00000322159	ENSP00000311318
ENSP00000361306	ENSP00000384259
ENSP00000384259	ENSP00000361306
ENSP00000417138	ENSP00000380594
ENSP00000380594	ENSP00000417138
ENSP00000264669	ENSP00000297532
ENSP00000297532	ENSP00000264669
ENSP00000228641	ENSP00000241651
ENSP00000241651	ENSP00000228641
ENSP00000228641	ENSP00000228644
ENSP00000228644	ENSP00000228641
ENSP00000228641	ENSP00000250003
ENSP00000250003	ENSP00000228641
ENSP00000241651	ENSP00000228644
ENSP00000228644	ENSP00000241651
ENSP00000241651	ENSP00000250003
ENSP00000250003	ENSP00000241651
ENSP00000228644	ENSP00000250003
ENSP00000250003	ENSP00000228644
ENSP00000352926	ENSP00000472109
ENSP00000472109	ENSP00000352926
ENSP00000352926	ENSP00000354588
ENSP00000354588	ENSP00000352926
ENSP00000472109	ENSP00000354588
ENSP00000354588	ENSP00000472109
ENSP00000268919	ENSP00000385000
ENSP00000385000	ENSP00000268919
ENSP00000268919	ENSP00000361298
ENSP00000361298	ENSP00000268919
ENSP00000268919	ENSP00000368464
ENSP00000368464	ENSP00000268919
ENSP00000385000	ENSP00000361298
ENSP00000361298	ENSP00000385000
ENSP00000385000	ENSP00000368464
ENSP00000368464	ENSP00000385000
ENSP00000361298	ENSP00000368464
ENSP00000368464	ENSP00000361298
ENSP00000343515	ENSP00000428426
ENSP00000428426	ENSP00000343515
ENSP00000343515	ENSP00000406293
ENSP00000406293	ENSP00000343515
ENSP00000343515	ENSP00000313886
ENSP00000313886	ENSP00000343515
ENSP00000428426	ENSP00000406293
ENSP00000406293	ENSP00000428426
ENSP00000428426	ENSP00000313886
ENSP00000313886	ENSP00000428426
ENSP00000406293	ENSP00000313886
ENSP00000313886	ENSP00000406293
ENSP00000415243	ENSP00000367797
ENSP00000367797	ENSP00000415243
ENSP00000343200	ENSP00000414750
ENSP00000414750	ENSP00000343200
ENSP00000416255	ENSP00000473510
ENSP00000473510	ENSP00000416255
ENSP00000315931	ENSP00000358814
ENSP00000358814	ENSP00000315931
ENSP00000391669	ENSP00000216733
ENSP00000216733	ENSP00000391669
ENSP00000391669	ENSP00000368759
ENSP00000368759	ENSP00000391669
ENSP00000391669	ENSP00000360387
ENSP00000360387	ENSP00000391669
ENSP00000216733	ENSP00000368759
ENSP00000368759	ENSP00000216733
ENSP00000216733	ENSP00000360387
ENSP00000360387	ENSP00000216733
ENSP00000368759	ENSP00000360387
ENSP00000360387	ENSP00000368759
ENSP00000265598	ENSP00000250092
ENSP00000250092	ENSP00000265598
ENSP00000265598	ENSP00000333298
ENSP00000333298	ENSP00000265598
ENSP00000265598	ENSP00000408411
ENSP00000408411	ENSP00000265598
ENSP00000250092	ENSP00000333298
ENSP00000333298	ENSP00000250092
ENSP00000250092	ENSP00000408411
ENSP00000408411	ENSP00000250092
ENSP00000333298	ENSP00000408411
ENSP00000408411	ENSP00000333298
ENSP00000357065	ENSP00000376899
ENSP00000376899	ENSP00000357065
ENSP00000357065	ENSP00000358495
ENSP00000358495	ENSP00000357065
ENSP00000357065	ENSP00000256652
ENSP00000256652	ENSP00000357065
ENSP00000376899	ENSP00000358495
ENSP00000358495	ENSP00000376899
ENSP00000376899	ENSP00000256652
ENSP00000256652	ENSP00000376899
ENSP00000358495	ENSP00000256652
ENSP00000256652	ENSP00000358495
ENSP00000350869	ENSP00000297737
ENSP00000297737	ENSP00000350869
ENSP00000406144	ENSP00000422496
ENSP00000422496	ENSP00000406144
ENSP00000265729	ENSP00000394842
ENSP00000394842	ENSP00000265729
ENSP00000218089	ENSP00000372689
ENSP00000372689	ENSP00000218089
ENSP00000218089	ENSP00000400359
ENSP00000400359	ENSP00000218089
ENSP00000372689	ENSP00000400359
ENSP00000400359	ENSP00000372689
ENSP00000216416	ENSP00000272133
ENSP00000272133	ENSP00000216416
ENSP00000216416	ENSP00000310003
ENSP00000310003	ENSP00000216416
ENSP00000272133	ENSP00000310003
ENSP00000310003	ENSP00000272133
ENSP00000348944	ENSP00000349131
ENSP00000349131	ENSP00000348944
ENSP00000348944	ENSP00000217260
ENSP00000217260	ENSP00000348944
ENSP00000348944	ENSP00000276659
ENSP00000276659	ENSP00000348944
ENSP00000349131	ENSP00000217260
ENSP00000217260	ENSP00000349131
ENSP00000349131	ENSP00000276659
ENSP00000276659	ENSP00000349131
ENSP00000217260	ENSP00000276659
ENSP00000276659	ENSP00000217260
ENSP00000344937	ENSP00000389630
ENSP00000389630	ENSP00000344937
ENSP00000467107	ENSP00000216487
ENSP00000216487	ENSP00000467107
ENSP00000467107	ENSP00000255006
ENSP00000255006	ENSP00000467107
ENSP00000467107	ENSP00000310406
ENSP00000310406	ENSP00000467107
ENSP00000216487	ENSP00000255006
ENSP00000255006	ENSP00000216487
ENSP00000216487	ENSP00000310406
ENSP00000310406	ENSP00000216487
ENSP00000255006	ENSP00000310406
ENSP00000310406	ENSP00000255006
ENSP00000383333	ENSP00000347821
ENSP00000347821	ENSP00000383333
ENSP00000287814	ENSP00000262768
ENSP00000262768	ENSP00000287814
ENSP00000287814	ENSP00000266085
ENSP00000266085	ENSP00000287814
ENSP00000287814	ENSP00000218388
ENSP00000218388	ENSP00000287814
ENSP00000262768	ENSP00000266085
ENSP00000266085	ENSP00000262768
ENSP00000262768	ENSP00000218388
ENSP00000218388	ENSP00000262768
ENSP00000266085	ENSP00000218388
ENSP00000218388	ENSP00000266085
ENSP00000314556	ENSP00000347802
ENSP00000347802	ENSP00000314556
ENSP00000314556	ENSP00000471252
ENSP00000471252	ENSP00000314556
ENSP00000314556	ENSP00000427123
ENSP00000427123	ENSP00000314556
ENSP00000347802	ENSP00000471252
ENSP00000471252	ENSP00000347802
ENSP00000347802	ENSP00000427123
ENSP00000427123	ENSP00000347802
ENSP00000471252	ENSP00000427123
ENSP00000427123	ENSP00000471252
ENSP00000265339	ENSP00000360613
ENSP00000360613	ENSP00000265339
ENSP00000282908	ENSP00000381030
ENSP00000381030	ENSP00000282908
ENSP00000282908	ENSP00000298630
ENSP00000298630	ENSP00000282908
ENSP00000381030	ENSP00000298630
ENSP00000298630	ENSP00000381030
ENSP00000349541	ENSP00000418668
ENSP00000418668	ENSP00000349541
ENSP00000290921	ENSP00000311825
ENSP00000311825	ENSP00000290921
ENSP00000436679	ENSP00000378504
ENSP00000378504	ENSP00000436679
ENSP00000416146	ENSP00000353025
ENSP00000353025	ENSP00000416146
ENSP00000416146	ENSP00000351632
ENSP00000351632	ENSP00000416146
ENSP00000353025	ENSP00000351632
ENSP00000351632	ENSP00000353025
ENSP00000396234	ENSP00000241051
ENSP00000241051	ENSP00000396234
ENSP00000344909	ENSP00000428976
ENSP00000428976	ENSP00000344909
ENSP00000278193	ENSP00000447488
ENSP00000447488	ENSP00000278193
ENSP00000278193	ENSP00000221459
ENSP00000221459	ENSP00000278193
ENSP00000447488	ENSP00000221459
ENSP00000221459	ENSP00000447488
ENSP00000361554	ENSP00000369375
ENSP00000369375	ENSP00000361554
ENSP00000378669	ENSP00000226253
ENSP00000226253	ENSP00000378669
ENSP00000378669	ENSP00000363988
ENSP00000363988	ENSP00000378669
ENSP00000226253	ENSP00000363988
ENSP00000363988	ENSP00000226253
ENSP00000329668	ENSP00000264554
ENSP00000264554	ENSP00000329668
ENSP00000329668	ENSP00000364995
ENSP00000364995	ENSP00000329668
ENSP00000329668	ENSP00000401303
ENSP00000401303	ENSP00000329668
ENSP00000264554	ENSP00000364995
ENSP00000364995	ENSP00000264554
ENSP00000264554	ENSP00000401303
ENSP00000401303	ENSP00000264554
ENSP00000364995	ENSP00000401303
ENSP00000401303	ENSP00000364995
ENSP00000346577	ENSP00000362271
ENSP00000362271	ENSP00000346577
ENSP00000378356	ENSP00000260753
ENSP00000260753	ENSP00000378356
ENSP00000331152	ENSP00000264444
ENSP00000264444	ENSP00000331152
ENSP00000331152	ENSP00000337889
ENSP00000337889	ENSP00000331152
ENSP00000331152	ENSP00000401867
ENSP00000401867	ENSP00000331152
ENSP00000264444	ENSP00000337889
ENSP00000337889	ENSP00000264444
ENSP00000264444	ENSP00000401867
ENSP00000401867	ENSP00000264444
ENSP00000337889	ENSP00000401867
