SINCAM006024	ENSACAP00000000005
SINCAM012756	ENSACAP00000003770
SINCAM010415	ENSACAP00000003771
SINCAM015248	ENSACAP00000003773
SINCAM004009	ENSACAP00000003775
SINCAM006348	ENSACAP00000003776
SINCAM011884	ENSACAP00000003779
SINCAM015316	ENSACAP00000003780
SINCAM005790	ENSACAP00000003781
SINCAM000222	ENSACAP00000003782
SINCAM010266	ENSACAP00000003783
SINCAM921550	ENSACAP00000003787
SINCAM011972	ENSACAP00000003788
SINCAM005792	ENSACAP00000003789
SINCAM009194	ENSACAP00000003791
SINCAM922843	ENSACAP00000003792
SINCAM011971	ENSACAP00000003793
SINCAM003235	ENSACAP00000003794
SINCAM011326	ENSACAP00000003795
SINCAM017971	ENSACAP00000003796
SINCAM900278	ENSACAP00000003797
SINCAM001868	ENSACAP00000003800
SINCAM009161	ENSACAP00000003801
SINCAM011708	ENSACAP00000003804
SINCAM012255	ENSACAP00000003806
SINCAM014910	ENSACAP00000003808
SINCAM001869	ENSACAP00000003810
SINCAM003248	ENSACAP00000003811
SINCAM000221	ENSACAP00000003812
SINCAM011968	ENSACAP00000003814
SINCAM003504	ENSACAP00000003816
SINCAM922798	ENSACAP00000003817
SINCAM005403	ENSACAP00000003819
SINCAM000715	ENSACAP00000003822
SINCAM004870	ENSACAP00000003823
SINCAM006364	ENSACAP00000003825
SINCAM011967	ENSACAP00000003826
SINCAM002583	ENSACAP00000003827
SINCAM922867	ENSACAP00000003830
SINCAM005794	ENSACAP00000003831
SINCAM011981	ENSACAP00000003834
SINCAM000220	ENSACAP00000003835
SINCAM002461	ENSACAP00000003836
SINCAM900094	ENSACAP00000003837
SINCAM921205	ENSACAP00000003838
SINCAM003245	ENSACAP00000003839
SINCAM003237	ENSACAP00000003840
SINCAM005404	ENSACAP00000003841
SINCAM016152	ENSACAP00000003844
SINCAM003244	ENSACAP00000003846
SINCAM000741	ENSACAP00000003847
SINCAM012925	ENSACAP00000003850
SINCAM009024	ENSACAP00000003851
SINCAM009399	ENSACAP00000003852
SINCAM000876	ENSACAP00000003853
SINCAM008113	ENSACAP00000003858
SINCAM014913	ENSACAP00000003859
SINCAM921743	ENSACAP00000003860
SINCAM011325	ENSACAP00000003861
SINCAM008992	ENSACAP00000003862
SINCAM013130	ENSACAP00000003865
SINCAM015536	ENSACAP00000003866
SINCAM001085	ENSACAP00000003867
SINCAM001086	ENSACAP00000003869
SINCAM003605	ENSACAP00000003870
SINCAM005405	ENSACAP00000003873
SINCAM003820	ENSACAP00000003876
SINCAM003819	ENSACAP00000003881
SINCAM003243	ENSACAP00000003882
SINCAM006813	ENSACAP00000003884
SINCAM010265	ENSACAP00000003886
SINCAM000218	ENSACAP00000003887
SINCAM016887	ENSACAP00000003888
SINCAM000216	ENSACAP00000003889
SINCAM008538	ENSACAP00000003891
SINCAM922398	ENSACAP00000003892
SINCAM921234	ENSACAP00000003900
SINCAM003818	ENSACAP00000003901
SINCAM004672	ENSACAP00000003905
SINCAM000916	ENSACAP00000003908
SINCAM013763	ENSACAP00000003909
SINCAM002708	ENSACAP00000003910
SINCAM003934	ENSACAP00000003912
SINCAM012254	ENSACAP00000003915
SINCAM015013	ENSACAP00000003921
SINCAM010886	ENSACAP00000003925
SINCAM001909	ENSACAP00000003926
SINCAM007844	ENSACAP00000003927
SINCAM006351	ENSACAP00000003929
SINCAM011117	ENSACAP00000003930
SINCAM008067	ENSACAP00000003931
SINCAM010298	ENSACAP00000003932
SINCAM008011	ENSACAP00000003934
SINCAM008066	ENSACAP00000003935
SINCAM002462	ENSACAP00000003936
SINCAM001908	ENSACAP00000003937
SINCAM922894	ENSACAP00000003938
SINCAM014973	ENSACAP00000003939
SINCAM011485	ENSACAP00000003940
SINCAM013274	ENSACAP00000003941
SINCAM017715	ENSACAP00000003943
SINCAM008115	ENSACAP00000003944
SINCAM011071	ENSACAP00000003945
SINCAM014302	ENSACAP00000003946
SINCAM011709	ENSACAP00000003948
SINCAM012149	ENSACAP00000003949
SINCAM001318	ENSACAP00000003950
SINCAM013193	ENSACAP00000003954
SINCAM007372	ENSACAP00000003955
SINCAM008016	ENSACAP00000003956
SINCAM001849	ENSACAP00000003959
SINCAM006353	ENSACAP00000003960
SINCAM003239	ENSACAP00000003961
SINCAM017486	ENSACAP00000003962
SINCAM014899	ENSACAP00000003963
SINCAM003817	ENSACAP00000003965
SINCAM004848	ENSACAP00000003967
SINCAM002463	ENSACAP00000003969
SINCAM009956	ENSACAP00000003970
SINCAM010318	ENSACAP00000003972
SINCAM009159	ENSACAP00000003974
SINCAM013523	ENSACAP00000003976
SINCAM007458	ENSACAP00000003977
SINCAM002465	ENSACAP00000003980
SINCAM011323	ENSACAP00000003981
SINCAM016702	ENSACAP00000003982
SINCAM920782	ENSACAP00000003983
SINCAM011484	ENSACAP00000003988
SINCAM006540	ENSACAP00000003992
SINCAM001907	ENSACAP00000003993
SINCAM000911	ENSACAP00000003995
SINCAM000910	ENSACAP00000003997
SINCAM006075	ENSACAP00000003999
SINCAM000909	ENSACAP00000004000
SINCAM012469	ENSACAP00000004001
SINCAM011482	ENSACAP00000004003
SINCAM007460	ENSACAP00000004004
SINCAM011299	ENSACAP00000004006
SINCAM009192	ENSACAP00000004007
SINCAM002468	ENSACAP00000004008
SINCAM002511	ENSACAP00000004011
SINCAM922515	ENSACAP00000004012
SINCAM008117	ENSACAP00000004013
SINCAM016111	ENSACAP00000004014
SINCAM010299	ENSACAP00000004020
SINCAM003970	ENSACAP00000004025
SINCAM013800	ENSACAP00000004030
SINCAM001906	ENSACAP00000004032
SINCAM920469	ENSACAP00000004033
SINCAM011481	ENSACAP00000004035
SINCAM001087	ENSACAP00000004036
SINCAM921928	ENSACAP00000004037
SINCAM006815	ENSACAP00000004038
SINCAM015157	ENSACAP00000004039
SINCAM001089	ENSACAP00000004040
SINCAM014537	ENSACAP00000004041
SINCAM000640	ENSACAP00000004042
SINCAM002469	ENSACAP00000004043
SINCAM008753	ENSACAP00000004044
SINCAM920583	ENSACAP00000004046
SINCAM015144	ENSACAP00000004048
SINCAM922856	ENSACAP00000004049
SINCAM013128	ENSACAP00000004050
SINCAM000740	ENSACAP00000004052
SINCAM011371	ENSACAP00000004055
SINCAM004875	ENSACAP00000004056
SINCAM921894	ENSACAP00000004057
SINCAM012275	ENSACAP00000004058
SINCAM010167	ENSACAP00000004059
SINCAM922896	ENSACAP00000004060
SINCAM009284	ENSACAP00000004063
SINCAM005796	ENSACAP00000004064
SINCAM012242	ENSACAP00000004067
SINCAM008120	ENSACAP00000004068
SINCAM920696	ENSACAP00000004070
SINCAM922608	ENSACAP00000004071
SINCAM013569	ENSACAP00000004072
SINCAM006644	ENSACAP00000004073
SINCAM012243	ENSACAP00000004074
SINCAM009158	ENSACAP00000004075
SINCAM008119	ENSACAP00000004076
SINCAM004276	ENSACAP00000004077
SINCAM008010	ENSACAP00000004078
SINCAM006179	ENSACAP00000004081
SINCAM921929	ENSACAP00000004082
SINCAM006073	ENSACAP00000004083
SINCAM018092	ENSACAP00000004084
SINCAM009189	ENSACAP00000004086
SINCAM003551	ENSACAP00000004087
SINCAM003971	ENSACAP00000004089
SINCAM920900	ENSACAP00000004092
SINCAM005266	ENSACAP00000004096
SINCAM004020	ENSACAP00000004098
SINCAM014903	ENSACAP00000004101
SINCAM006816	ENSACAP00000004102
SINCAM007357	ENSACAP00000004107
SINCAM922607	ENSACAP00000004108
SINCAM002243	ENSACAP00000004109
SINCAM003973	ENSACAP00000004111
SINCAM002889	ENSACAP00000004113
SINCAM013127	ENSACAP00000004115
SINCAM011350	ENSACAP00000004116
SINCAM008226	ENSACAP00000004117
SINCAM007463	ENSACAP00000004118
SINCAM921211	ENSACAP00000004120
SINCAM005380	ENSACAP00000004124
SINCAM013109	ENSACAP00000004125
SINCAM006355	ENSACAP00000004127
SINCAM004876	ENSACAP00000004130
SINCAM921212	ENSACAP00000004131
SINCAM015159	ENSACAP00000004134
SINCAM004869	ENSACAP00000004136
SINCAM006180	ENSACAP00000004137
SINCAM000783	ENSACAP00000004138
SINCAM003317	ENSACAP00000004142
SINCAM016153	ENSACAP00000004144
SINCAM013178	ENSACAP00000004146
SINCAM005371	ENSACAP00000004148
SINCAM013108	ENSACAP00000004150
SINCAM004849	ENSACAP00000004151
SINCAM921125	ENSACAP00000004152
SINCAM000868	ENSACAP00000004153
SINCAM014986	ENSACAP00000004155
SINCAM921895	ENSACAP00000004157
SINCAM009963	ENSACAP00000004158
SINCAM000780	ENSACAP00000004159
SINCAM002470	ENSACAP00000004160
SINCAM007924	ENSACAP00000004161
SINCAM006181	ENSACAP00000004162
SINCAM015161	ENSACAP00000004163
SINCAM009962	ENSACAP00000004164
SINCAM921800	ENSACAP00000004166
SINCAM006072	ENSACAP00000004167
SINCAM000779	ENSACAP00000004168
SINCAM009184	ENSACAP00000004170
SINCAM011750	ENSACAP00000004171
SINCAM004878	ENSACAP00000004172
SINCAM015549	ENSACAP00000004173
SINCAM009569	ENSACAP00000004175
SINCAM002244	ENSACAP00000004177
SINCAM004881	ENSACAP00000004178
SINCAM009504	ENSACAP00000004180
SINCAM016154	ENSACAP00000004181
SINCAM009503	ENSACAP00000004186
SINCAM922801	ENSACAP00000004187
SINCAM006990	ENSACAP00000004188
SINCAM001661	ENSACAP00000004190
SINCAM005733	ENSACAP00000004192
SINCAM000951	ENSACAP00000004194
SINCAM001652	ENSACAP00000004195
SINCAM009186	ENSACAP00000004196
SINCAM007980	ENSACAP00000004199
SINCAM008059	ENSACAP00000004201
SINCAM005819	ENSACAP00000004205
SINCAM005379	ENSACAP00000004207
SINCAM001319	ENSACAP00000004209
SINCAM920657	ENSACAP00000004210
SINCAM002471	ENSACAP00000004211
SINCAM010837	ENSACAP00000004212
SINCAM005818	ENSACAP00000004216
SINCAM007044	ENSACAP00000004219
SINCAM005817	ENSACAP00000004220
SINCAM921831	ENSACAP00000004221
SINCAM922211	ENSACAP00000004222
SINCAM014934	ENSACAP00000004223
SINCAM009546	ENSACAP00000004224
SINCAM921864	ENSACAP00000004226
SINCAM002848	ENSACAP00000004230
SINCAM007124	ENSACAP00000004232
SINCAM005049	ENSACAP00000004233
SINCAM005816	ENSACAP00000004234
SINCAM004882	ENSACAP00000004237
SINCAM001006	ENSACAP00000004238
SINCAM005734	ENSACAP00000004239
SINCAM920760	ENSACAP00000004241
SINCAM016171	ENSACAP00000004245
SINCAM009961	ENSACAP00000004246
SINCAM013355	ENSACAP00000004248
SINCAM000906	ENSACAP00000004249
SINCAM017978	ENSACAP00000004250
SINCAM002472	ENSACAP00000004251
SINCAM014707	ENSACAP00000004254
SINCAM007125	ENSACAP00000004256
SINCAM001898	ENSACAP00000004257
SINCAM007045	ENSACAP00000004258
SINCAM921066	ENSACAP00000004259
SINCAM002240	ENSACAP00000004260
SINCAM001904	ENSACAP00000004261
SINCAM001897	ENSACAP00000004262
SINCAM017524	ENSACAP00000004263
SINCAM923041	ENSACAP00000004264
SINCAM015164	ENSACAP00000004265
SINCAM920432	ENSACAP00000004266
SINCAM001903	ENSACAP00000004267
SINCAM006539	ENSACAP00000004269
SINCAM012246	ENSACAP00000004272
SINCAM007047	ENSACAP00000004281
SINCAM014708	ENSACAP00000004283
SINCAM003473	ENSACAP00000004286
SINCAM014807	ENSACAP00000004289
SINCAM001896	ENSACAP00000004293
SINCAM922612	ENSACAP00000004297
SINCAM922855	ENSACAP00000004298
SINCAM004507	ENSACAP00000004303
SINCAM005815	ENSACAP00000004305
SINCAM007464	ENSACAP00000004310
SINCAM921900	ENSACAP00000004311
SINCAM009500	ENSACAP00000004313
SINCAM004883	ENSACAP00000004316
SINCAM921389	ENSACAP00000004318
SINCAM004884	ENSACAP00000004319
SINCAM010705	ENSACAP00000004320
SINCAM006537	ENSACAP00000004321
SINCAM000627	ENSACAP00000004322
SINCAM009568	ENSACAP00000004324
SINCAM005813	ENSACAP00000004325
SINCAM002241	ENSACAP00000004326
SINCAM005737	ENSACAP00000004328
SINCAM922327	ENSACAP00000004329
SINCAM001130	ENSACAP00000004330
SINCAM921152	ENSACAP00000004331
SINCAM011065	ENSACAP00000004333
SINCAM014812	ENSACAP00000004334
SINCAM013111	ENSACAP00000004336
SINCAM000340	ENSACAP00000004337
SINCAM922697	ENSACAP00000004341
SINCAM002242	ENSACAP00000004342
SINCAM900006	ENSACAP00000004343
SINCAM921474	ENSACAP00000004346
SINCAM921799	ENSACAP00000004347
SINCAM000861	ENSACAP00000004352
SINCAM007994	ENSACAP00000004353
SINCAM003957	ENSACAP00000004354
SINCAM015165	ENSACAP00000004355
SINCAM005378	ENSACAP00000004356
SINCAM011938	ENSACAP00000004359
SINCAM010839	ENSACAP00000004360
SINCAM921979	ENSACAP00000004363
SINCAM004867	ENSACAP00000004366
SINCAM003094	ENSACAP00000004369
SINCAM013142	ENSACAP00000004371
SINCAM922027	ENSACAP00000004374
SINCAM921143	ENSACAP00000004375
SINCAM009567	ENSACAP00000004376
SINCAM013125	ENSACAP00000004378
SINCAM900001	ENSACAP00000004380
SINCAM003461	ENSACAP00000004382
SINCAM011405	ENSACAP00000004383
SINCAM001895	ENSACAP00000004387
SINCAM008126	ENSACAP00000004388
SINCAM005377	ENSACAP00000004389
SINCAM920861	ENSACAP00000004390
SINCAM008738	ENSACAP00000004391
SINCAM013112	ENSACAP00000004393
SINCAM000739	ENSACAP00000004395
SINCAM007048	ENSACAP00000004396
SINCAM007995	ENSACAP00000004397
SINCAM006522	ENSACAP00000004399
SINCAM011480	ENSACAP00000004400
SINCAM013702	ENSACAP00000004402
SINCAM004865	ENSACAP00000004404
SINCAM000058	ENSACAP00000004405
SINCAM011462	ENSACAP00000004406
SINCAM012823	ENSACAP00000004407
SINCAM005004	ENSACAP00000004410
SINCAM921978	ENSACAP00000004411
SINCAM006475	ENSACAP00000004412
SINCAM922662	ENSACAP00000004414
SINCAM900014	ENSACAP00000004415
SINCAM003421	ENSACAP00000004416
SINCAM921564	ENSACAP00000004417
SINCAM004354	ENSACAP00000004419
SINCAM000905	ENSACAP00000004421
SINCAM006991	ENSACAP00000004422
SINCAM007505	ENSACAP00000004423
SINCAM001129	ENSACAP00000004428
SINCAM011479	ENSACAP00000004429
SINCAM001902	ENSACAP00000004430
SINCAM922664	ENSACAP00000004431
SINCAM012245	ENSACAP00000004432
SINCAM000059	ENSACAP00000004433
SINCAM004599	ENSACAP00000004434
SINCAM013450	ENSACAP00000004435
SINCAM007481	ENSACAP00000004437
SINCAM018072	ENSACAP00000004438
SINCAM001004	ENSACAP00000004439
SINCAM009499	ENSACAP00000004440
SINCAM921364	ENSACAP00000004441
SINCAM008867	ENSACAP00000004442
SINCAM006043	ENSACAP00000004445
SINCAM001322	ENSACAP00000004446
SINCAM008866	ENSACAP00000004447
SINCAM008862	ENSACAP00000004452
SINCAM006044	ENSACAP00000004454
SINCAM000738	ENSACAP00000004455
SINCAM011464	ENSACAP00000004456
SINCAM004864	ENSACAP00000004459
SINCAM008883	ENSACAP00000004461
SINCAM014835	ENSACAP00000004463
SINCAM017809	ENSACAP00000004464
SINCAM001900	ENSACAP00000004466
SINCAM921746	ENSACAP00000004467
SINCAM006818	ENSACAP00000004468
SINCAM006521	ENSACAP00000004469
SINCAM013586	ENSACAP00000004470
SINCAM005739	ENSACAP00000004473
SINCAM006299	ENSACAP00000004475
SINCAM920979	ENSACAP00000004477
SINCAM011035	ENSACAP00000004479
SINCAM014831	ENSACAP00000004482
SINCAM014445	ENSACAP00000004484
SINCAM014444	ENSACAP00000004486
SINCAM004987	ENSACAP00000004487
SINCAM015166	ENSACAP00000004489
SINCAM009497	ENSACAP00000004490
SINCAM009496	ENSACAP00000004492
SINCAM012346	ENSACAP00000004494
SINCAM001459	ENSACAP00000004495
SINCAM921200	ENSACAP00000004498
SINCAM004598	ENSACAP00000004499
SINCAM005740	ENSACAP00000004501
SINCAM012355	ENSACAP00000004503
SINCAM000904	ENSACAP00000004504
SINCAM013453	ENSACAP00000004505
SINCAM921901	ENSACAP00000004506
SINCAM004113	ENSACAP00000004507
SINCAM922261	ENSACAP00000004508
SINCAM009577	ENSACAP00000004510
SINCAM003424	ENSACAP00000004516
SINCAM009566	ENSACAP00000004517
SINCAM005375	ENSACAP00000004519
SINCAM921575	ENSACAP00000004521
SINCAM016477	ENSACAP00000004523
SINCAM004597	ENSACAP00000004525
SINCAM011675	ENSACAP00000004530
SINCAM006360	ENSACAP00000004531
SINCAM014830	ENSACAP00000004532
SINCAM900016	ENSACAP00000004535
SINCAM005374	ENSACAP00000004536
SINCAM013113	ENSACAP00000004538
SINCAM005810	ENSACAP00000004540
SINCAM013471	ENSACAP00000004541
SINCAM922793	ENSACAP00000004542
SINCAM006300	ENSACAP00000004543
SINCAM921201	ENSACAP00000004544
SINCAM013935	ENSACAP00000004545
SINCAM004021	ENSACAP00000004546
SINCAM016691	ENSACAP00000004548
SINCAM007489	ENSACAP00000004549
SINCAM922328	ENSACAP00000004552
SINCAM921058	ENSACAP00000004553
SINCAM008830	ENSACAP00000004554
SINCAM921446	ENSACAP00000004555
SINCAM008884	ENSACAP00000004556
SINCAM004023	ENSACAP00000004559
SINCAM005741	ENSACAP00000004560
SINCAM004032	ENSACAP00000004561
SINCAM922294	ENSACAP00000004562
SINCAM922687	ENSACAP00000004564
SINCAM009263	ENSACAP00000004565
SINCAM009565	ENSACAP00000004567
SINCAM012350	ENSACAP00000004570
SINCAM012668	ENSACAP00000004571
SINCAM921343	ENSACAP00000004572
SINCAM921342	ENSACAP00000004574
SINCAM014384	ENSACAP00000004576
SINCAM011560	ENSACAP00000004578
SINCAM014452	ENSACAP00000004581
SINCAM014443	ENSACAP00000004582
SINCAM013115	ENSACAP00000004583
SINCAM006597	ENSACAP00000004585
SINCAM921020	ENSACAP00000004586
SINCAM007997	ENSACAP00000004592
SINCAM007999	ENSACAP00000004594
SINCAM012065	ENSACAP00000004595
SINCAM013123	ENSACAP00000004596
SINCAM008000	ENSACAP00000004597
SINCAM921571	ENSACAP00000004598
SINCAM011564	ENSACAP00000004600
SINCAM009015	ENSACAP00000004604
SINCAM014442	ENSACAP00000004607
SINCAM013745	ENSACAP00000004608
SINCAM007087	ENSACAP00000004610
SINCAM015959	ENSACAP00000004612
SINCAM922247	ENSACAP00000004614
SINCAM013116	ENSACAP00000004615
SINCAM006488	ENSACAP00000004616
SINCAM001676	ENSACAP00000004620
SINCAM012066	ENSACAP00000004621
SINCAM009907	ENSACAP00000004623
SINCAM013121	ENSACAP00000004624
SINCAM013180	ENSACAP00000004626
SINCAM922978	ENSACAP00000004627
SINCAM012343	ENSACAP00000004628
SINCAM006182	ENSACAP00000004629
SINCAM009361	ENSACAP00000004632
SINCAM921242	ENSACAP00000004633
SINCAM014441	ENSACAP00000004634
SINCAM013472	ENSACAP00000004635
SINCAM011295	ENSACAP00000004636
SINCAM006501	ENSACAP00000004637
SINCAM014826	ENSACAP00000004638
SINCAM014158	ENSACAP00000004639
SINCAM921545	ENSACAP00000004642
SINCAM003425	ENSACAP00000004644
SINCAM003222	ENSACAP00000004645
SINCAM014825	ENSACAP00000004647
SINCAM011667	ENSACAP00000004648
SINCAM003252	ENSACAP00000004649
SINCAM007088	ENSACAP00000004650
SINCAM005908	ENSACAP00000004652
SINCAM008875	ENSACAP00000004654
SINCAM009264	ENSACAP00000004655
SINCAM007483	ENSACAP00000004656
SINCAM007311	ENSACAP00000004657
SINCAM003249	ENSACAP00000004658
SINCAM003719	ENSACAP00000004661
SINCAM013119	ENSACAP00000004662
SINCAM921430	ENSACAP00000004664
SINCAM013181	ENSACAP00000004665
SINCAM922646	ENSACAP00000004668
SINCAM013476	ENSACAP00000004670
SINCAM900018	ENSACAP00000004671
SINCAM005398	ENSACAP00000004674
SINCAM013182	ENSACAP00000004675
SINCAM009362	ENSACAP00000004676
SINCAM013700	ENSACAP00000004677
SINCAM003538	ENSACAP00000004679
SINCAM007217	ENSACAP00000004680
SINCAM012257	ENSACAP00000004681
SINCAM003426	ENSACAP00000004682
SINCAM008876	ENSACAP00000004683
SINCAM014823	ENSACAP00000004684
SINCAM006329	ENSACAP00000004685
SINCAM921763	ENSACAP00000004687
SINCAM011741	ENSACAP00000004688
SINCAM014434	ENSACAP00000004690
SINCAM011742	ENSACAP00000004692
SINCAM008795	ENSACAP00000004693
SINCAM003428	ENSACAP00000004694
SINCAM922531	ENSACAP00000004696
SINCAM009363	ENSACAP00000004697
SINCAM013409	ENSACAP00000004698
SINCAM003537	ENSACAP00000004701
SINCAM005397	ENSACAP00000004702
SINCAM921951	ENSACAP00000004703
SINCAM007089	ENSACAP00000004704
SINCAM006545	ENSACAP00000004705
SINCAM013524	ENSACAP00000004707
SINCAM006546	ENSACAP00000004709
SINCAM922661	ENSACAP00000004715
SINCAM003718	ENSACAP00000004716
SINCAM008731	ENSACAP00000004717
SINCAM006328	ENSACAP00000004718
SINCAM004941	ENSACAP00000004719
SINCAM005881	ENSACAP00000004720
SINCAM008943	ENSACAP00000004722
SINCAM921562	ENSACAP00000004723
SINCAM005744	ENSACAP00000004725
SINCAM011571	ENSACAP00000004728
SINCAM922555	ENSACAP00000004729
SINCAM900153	ENSACAP00000004730
SINCAM013898	ENSACAP00000004731
SINCAM014438	ENSACAP00000004732
SINCAM011389	ENSACAP00000004734
SINCAM008861	ENSACAP00000004736
SINCAM009281	ENSACAP00000004737
SINCAM010195	ENSACAP00000004739
SINCAM920898	ENSACAP00000004742
SINCAM002783	ENSACAP00000004743
SINCAM003049	ENSACAP00000004745
SINCAM012980	ENSACAP00000004746
SINCAM900012	ENSACAP00000004747
SINCAM013899	ENSACAP00000004748
SINCAM018064	ENSACAP00000004749
SINCAM006470	ENSACAP00000004750
SINCAM010843	ENSACAP00000004757
SINCAM900017	ENSACAP00000004760
SINCAM005140	ENSACAP00000004761
SINCAM921554	ENSACAP00000004762
SINCAM007480	ENSACAP00000004764
SINCAM008359	ENSACAP00000004765
SINCAM008569	ENSACAP00000004766
SINCAM004861	ENSACAP00000004767
SINCAM005139	ENSACAP00000004770
SINCAM014421	ENSACAP00000004774
SINCAM921144	ENSACAP00000004775
SINCAM010841	ENSACAP00000004779
SINCAM002862	ENSACAP00000004781
SINCAM922660	ENSACAP00000004782
SINCAM016760	ENSACAP00000004783
SINCAM002861	ENSACAP00000004786
SINCAM002860	ENSACAP00000004787
SINCAM004472	ENSACAP00000004788
SINCAM006966	ENSACAP00000004790
SINCAM004858	ENSACAP00000004791
SINCAM014796	ENSACAP00000004792
SINCAM009385	ENSACAP00000004793
SINCAM922380	ENSACAP00000004794
SINCAM007479	ENSACAP00000004795
SINCAM010845	ENSACAP00000004796
SINCAM010117	ENSACAP00000004797
SINCAM922728	ENSACAP00000004798
SINCAM922723	ENSACAP00000004799
SINCAM921818	ENSACAP00000004800
SINCAM002719	ENSACAP00000004801
SINCAM010194	ENSACAP00000004802
SINCAM009437	ENSACAP00000004804
SINCAM922263	ENSACAP00000004805
SINCAM012271	ENSACAP00000004806
SINCAM007976	ENSACAP00000004807
SINCAM013889	ENSACAP00000004808
SINCAM014822	ENSACAP00000004809
SINCAM006183	ENSACAP00000004810
SINCAM003430	ENSACAP00000004811
SINCAM008358	ENSACAP00000004812
SINCAM005392	ENSACAP00000004813
SINCAM000834	ENSACAP00000004814
SINCAM006467	ENSACAP00000004815
SINCAM921514	ENSACAP00000004816
SINCAM009762	ENSACAP00000004817
SINCAM013916	ENSACAP00000004818
SINCAM018015	ENSACAP00000004819
SINCAM002943	ENSACAP00000004820
SINCAM007320	ENSACAP00000004823
SINCAM003717	ENSACAP00000004825
SINCAM009493	ENSACAP00000004827
SINCAM900083	ENSACAP00000004828
SINCAM003716	ENSACAP00000004829
SINCAM013455	ENSACAP00000004830
SINCAM013405	ENSACAP00000004831
SINCAM004475	ENSACAP00000004832
SINCAM014874	ENSACAP00000004833
SINCAM920852	ENSACAP00000004834
SINCAM007478	ENSACAP00000004835
SINCAM013457	ENSACAP00000004836
SINCAM011363	ENSACAP00000004837
SINCAM005138	ENSACAP00000004838
SINCAM921319	ENSACAP00000004839
SINCAM009438	ENSACAP00000004840
SINCAM014745	ENSACAP00000004841
SINCAM012273	ENSACAP00000004842
SINCAM008357	ENSACAP00000004843
SINCAM921556	ENSACAP00000004844
SINCAM009492	ENSACAP00000004845
SINCAM009439	ENSACAP00000004846
SINCAM009268	ENSACAP00000004848
SINCAM013934	ENSACAP00000004850
SINCAM921322	ENSACAP00000004851
SINCAM003536	ENSACAP00000004853
SINCAM007314	ENSACAP00000004854
SINCAM008771	ENSACAP00000004855
SINCAM005181	ENSACAP00000004857
SINCAM013404	ENSACAP00000004858
SINCAM006340	ENSACAP00000004859
SINCAM012296	ENSACAP00000004861
SINCAM007755	ENSACAP00000004862
SINCAM921744	ENSACAP00000004864
SINCAM007788	ENSACAP00000004865
SINCAM009562	ENSACAP00000004867
SINCAM921429	ENSACAP00000004868
SINCAM922296	ENSACAP00000004870
SINCAM008355	ENSACAP00000004872
SINCAM005265	ENSACAP00000004874
SINCAM009561	ENSACAP00000004875
SINCAM002677	ENSACAP00000004876
SINCAM006339	ENSACAP00000004880
SINCAM921181	ENSACAP00000004881
SINCAM922516	ENSACAP00000004882
SINCAM012452	ENSACAP00000004884
SINCAM003535	ENSACAP00000004885
SINCAM014051	ENSACAP00000004886
SINCAM005215	ENSACAP00000004887
SINCAM016480	ENSACAP00000004890
SINCAM010193	ENSACAP00000004891
SINCAM922517	ENSACAP00000004892
SINCAM921980	ENSACAP00000004893
SINCAM922544	ENSACAP00000004896
SINCAM014821	ENSACAP00000004899
SINCAM002859	ENSACAP00000004900
SINCAM013085	ENSACAP00000004902
SINCAM009698	ENSACAP00000004903
SINCAM921922	ENSACAP00000004905
SINCAM004031	ENSACAP00000004907
SINCAM012406	ENSACAP00000004908
SINCAM004857	ENSACAP00000004913
SINCAM000902	ENSACAP00000004916
SINCAM006338	ENSACAP00000004917
SINCAM003534	ENSACAP00000004922
SINCAM008930	ENSACAP00000004923
SINCAM013279	ENSACAP00000004924
SINCAM013671	ENSACAP00000004925
SINCAM011746	ENSACAP00000004927
SINCAM015171	ENSACAP00000004929
SINCAM011871	ENSACAP00000004930
SINCAM005235	ENSACAP00000004931
SINCAM007475	ENSACAP00000004932
SINCAM006454	ENSACAP00000004933
SINCAM921383	ENSACAP00000004935
SINCAM921558	ENSACAP00000004937
SINCAM004029	ENSACAP00000004938
SINCAM006185	ENSACAP00000004940
SINCAM003532	ENSACAP00000004941
SINCAM921382	ENSACAP00000004942
SINCAM922644	ENSACAP00000004944
SINCAM921381	ENSACAP00000004945
SINCAM921239	ENSACAP00000004948
SINCAM921923	ENSACAP00000004951
SINCAM004477	ENSACAP00000004953
SINCAM922324	ENSACAP00000004954
SINCAM014113	ENSACAP00000004955
SINCAM922540	ENSACAP00000004959
SINCAM004855	ENSACAP00000004960
SINCAM011870	ENSACAP00000004962
SINCAM002931	ENSACAP00000004963
SINCAM013281	ENSACAP00000004964
SINCAM000202	ENSACAP00000004965
SINCAM921777	ENSACAP00000004966
SINCAM002945	ENSACAP00000004967
SINCAM922245	ENSACAP00000004971
SINCAM002947	ENSACAP00000004973
SINCAM922244	ENSACAP00000004974
SINCAM005211	ENSACAP00000004975
SINCAM007474	ENSACAP00000004976
SINCAM920896	ENSACAP00000004977
SINCAM004026	ENSACAP00000004979
SINCAM921924	ENSACAP00000004980
SINCAM000276	ENSACAP00000004981
SINCAM000203	ENSACAP00000004982
SINCAM008352	ENSACAP00000004983
SINCAM010192	ENSACAP00000004986
SINCAM012407	ENSACAP00000004989
SINCAM009270	ENSACAP00000004990
SINCAM013393	ENSACAP00000004991
SINCAM921778	ENSACAP00000004993
SINCAM013392	ENSACAP00000004995
