PMZ_0046432-RA	ENSGALP00000000003
PMZ_0005698-RA	ENSGALP00000005265
PMZ_0031425-RA	ENSGALP00000005266
PMZ_0031786-RA	ENSGALP00000005269
PMZ_0040067-RA	ENSGALP00000005271
PMZ_0047495-RA	ENSGALP00000005274
PMZ_0042758-RA	ENSGALP00000005275
PMZ_0041613-RA	ENSGALP00000005275
PMZ_0046227-RA	ENSGALP00000005284
PMZ_0041703-RA	ENSGALP00000005287
PMZ_0031597-RA	ENSGALP00000005287
PMZ_0009640-RA	ENSGALP00000005295
PMZ_0005238-RA	ENSGALP00000005295
PMZ_0042291-RA	ENSGALP00000005296
PMZ_0000998-RA	ENSGALP00000005298
PMZ_0045767-RA	ENSGALP00000005299
PMZ_0048315-RA	ENSGALP00000005299
PMZ_0030522-RA	ENSGALP00000005301
PMZ_0017048-RA	ENSGALP00000005302
PMZ_0046465-RA	ENSGALP00000005302
PMZ_0033964-RA	ENSGALP00000005304
PMZ_0031592-RA	ENSGALP00000005308
PMZ_0031235-RA	ENSGALP00000005308
PMZ_0040120-RA	ENSGALP00000005311
PMZ_0047272-RA	ENSGALP00000005311
PMZ_0026709-RA	ENSGALP00000005314
PMZ_0017865-RA	ENSGALP00000005320
PMZ_0045108-RA	ENSGALP00000005322
PMZ_0043825-RA	ENSGALP00000005323
PMZ_0047156-RA	ENSGALP00000005323
PMZ_0042136-RA	ENSGALP00000005325
PMZ_0045205-RA	ENSGALP00000005325
PMZ_0003749-RA	ENSGALP00000005334
PMZ_0030971-RA	ENSGALP00000005334
PMZ_0039019-RA	ENSGALP00000005336
PMZ_0045376-RA	ENSGALP00000005336
PMZ_0031304-RA	ENSGALP00000005340
PMZ_0045923-RA	ENSGALP00000005340
PMZ_0028677-RA	ENSGALP00000005342
PMZ_0045032-RA	ENSGALP00000005342
PMZ_0040370-RA	ENSGALP00000005343
PMZ_0042343-RA	ENSGALP00000005345
PMZ_0032748-RA	ENSGALP00000005345
PMZ_0042373-RA	ENSGALP00000005347
PMZ_0018992-RA	ENSGALP00000005353
PMZ_0045937-RA	ENSGALP00000005353
PMZ_0031031-RA	ENSGALP00000005357
PMZ_0039115-RA	ENSGALP00000005357
PMZ_0011169-RA	ENSGALP00000005362
PMZ_0028826-RA	ENSGALP00000005362
PMZ_0046123-RA	ENSGALP00000005363
PMZ_0002624-RA	ENSGALP00000005363
PMZ_0031177-RA	ENSGALP00000005366
PMZ_0040158-RA	ENSGALP00000005367
PMZ_0010837-RA	ENSGALP00000005368
PMZ_0045777-RA	ENSGALP00000005368
PMZ_0028312-RA	ENSGALP00000005371
PMZ_0032769-RA	ENSGALP00000005375
PMZ_0040007-RA	ENSGALP00000005376
PMZ_0040768-RA	ENSGALP00000005377
PMZ_0042298-RA	ENSGALP00000005378
PMZ_0042297-RA	ENSGALP00000005378
PMZ_0019245-RA	ENSGALP00000005380
PMZ_0018991-RA	ENSGALP00000005383
PMZ_0023824-RA	ENSGALP00000005384
PMZ_0022936-RA	ENSGALP00000005384
PMZ_0006627-RA	ENSGALP00000005391
PMZ_0020313-RA	ENSGALP00000005392
PMZ_0026701-RA	ENSGALP00000005396
PMZ_0041057-RA	ENSGALP00000005397
PMZ_0041194-RA	ENSGALP00000005398
PMZ_0027971-RA	ENSGALP00000005404
PMZ_0040373-RA	ENSGALP00000005410
PMZ_0043883-RA	ENSGALP00000005414
PMZ_0032380-RA	ENSGALP00000005415
PMZ_0037631-RA	ENSGALP00000005415
PMZ_0031629-RA	ENSGALP00000005417
PMZ_0031628-RA	ENSGALP00000005417
PMZ_0045139-RA	ENSGALP00000005423
PMZ_0040371-RA	ENSGALP00000005423
PMZ_0004671-RA	ENSGALP00000005425
PMZ_0045500-RA	ENSGALP00000005425
PMZ_0042733-RA	ENSGALP00000005427
PMZ_0043464-RA	ENSGALP00000005437
PMZ_0026545-RA	ENSGALP00000005438
PMZ_0022546-RA	ENSGALP00000005453
PMZ_0004063-RA	ENSGALP00000005458
PMZ_0019132-RA	ENSGALP00000005461
PMZ_0043564-RA	ENSGALP00000005469
PMZ_0045238-RA	ENSGALP00000005473
PMZ_0043526-RA	ENSGALP00000005478
PMZ_0042169-RA	ENSGALP00000005478
PMZ_0044426-RA	ENSGALP00000005482
PMZ_0000999-RA	ENSGALP00000005486
PMZ_0034342-RA	ENSGALP00000005487
PMZ_0029264-RA	ENSGALP00000005487
PMZ_0043979-RA	ENSGALP00000005490
PMZ_0043329-RA	ENSGALP00000005493
PMZ_0033560-RA	ENSGALP00000005493
PMZ_0046330-RA	ENSGALP00000005496
PMZ_0041204-RA	ENSGALP00000005497
PMZ_0033889-RA	ENSGALP00000005497
PMZ_0030950-RA	ENSGALP00000005505
PMZ_0047203-RA	ENSGALP00000005505
PMZ_0043915-RA	ENSGALP00000005525
PMZ_0031016-RA	ENSGALP00000005527
PMZ_0046151-RA	ENSGALP00000005531
PMZ_0018366-RA	ENSGALP00000005534
PMZ_0047819-RA	ENSGALP00000005534
PMZ_0041472-RA	ENSGALP00000005535
PMZ_0047474-RA	ENSGALP00000005536
PMZ_0012621-RA	ENSGALP00000005536
PMZ_0042361-RA	ENSGALP00000005542
PMZ_0013550-RA	ENSGALP00000005545
PMZ_0047185-RA	ENSGALP00000005545
PMZ_0048974-RA	ENSGALP00000005548
PMZ_0040270-RA	ENSGALP00000005548
PMZ_0046174-RA	ENSGALP00000005550
PMZ_0029962-RA	ENSGALP00000005551
PMZ_0044026-RA	ENSGALP00000005551
PMZ_0035197-RA	ENSGALP00000005554
PMZ_0037112-RA	ENSGALP00000005556
PMZ_0046478-RA	ENSGALP00000005556
PMZ_0012639-RA	ENSGALP00000005562
PMZ_0046063-RA	ENSGALP00000005562
PMZ_0008517-RA	ENSGALP00000005565
PMZ_0048883-RA	ENSGALP00000005565
PMZ_0010529-RA	ENSGALP00000005566
PMZ_0041530-RA	ENSGALP00000005577
PMZ_0035063-RA	ENSGALP00000005578
PMZ_0014081-RA	ENSGALP00000005578
PMZ_0033974-RA	ENSGALP00000005587
PMZ_0044069-RA	ENSGALP00000005587
PMZ_0016642-RA	ENSGALP00000005592
PMZ_0040838-RA	ENSGALP00000005592
PMZ_0006021-RA	ENSGALP00000005593
PMZ_0033977-RA	ENSGALP00000005593
PMZ_0043027-RA	ENSGALP00000005599
PMZ_0043870-RA	ENSGALP00000005605
PMZ_0016575-RA	ENSGALP00000005607
PMZ_0027009-RA	ENSGALP00000005610
PMZ_0011314-RA	ENSGALP00000005610
PMZ_0044414-RA	ENSGALP00000005614
PMZ_0035752-RA	ENSGALP00000005614
PMZ_0042484-RA	ENSGALP00000005619
PMZ_0018441-RA	ENSGALP00000005619
PMZ_0044329-RA	ENSGALP00000005620
PMZ_0047236-RA	ENSGALP00000005620
PMZ_0047344-RA	ENSGALP00000005624
PMZ_0012688-RA	ENSGALP00000005627
PMZ_0044535-RA	ENSGALP00000005627
PMZ_0012619-RA	ENSGALP00000005631
PMZ_0030795-RA	ENSGALP00000005631
PMZ_0045418-RA	ENSGALP00000005633
PMZ_0011296-RA	ENSGALP00000005637
PMZ_0031277-RA	ENSGALP00000005637
PMZ_0041157-RA	ENSGALP00000005640
PMZ_0032955-RA	ENSGALP00000005640
PMZ_0022626-RA	ENSGALP00000005641
PMZ_0004674-RA	ENSGALP00000005641
PMZ_0043552-RA	ENSGALP00000005643
PMZ_0045527-RA	ENSGALP00000005645
PMZ_0028947-RA	ENSGALP00000005645
PMZ_0029471-RA	ENSGALP00000005649
PMZ_0036897-RA	ENSGALP00000005649
PMZ_0041836-RA	ENSGALP00000005653
PMZ_0030316-RA	ENSGALP00000005653
PMZ_0034164-RA	ENSGALP00000005655
PMZ_0006305-RA	ENSGALP00000005655
PMZ_0045883-RA	ENSGALP00000005656
PMZ_0036422-RA	ENSGALP00000005658
PMZ_0040157-RA	ENSGALP00000005662
PMZ_0042687-RA	ENSGALP00000005662
PMZ_0048473-RA	ENSGALP00000005668
PMZ_0022246-RA	ENSGALP00000005677
PMZ_0040662-RA	ENSGALP00000005677
PMZ_0014325-RA	ENSGALP00000005678
PMZ_0014656-RA	ENSGALP00000005678
PMZ_0040801-RA	ENSGALP00000005680
PMZ_0000650-RA	ENSGALP00000005686
PMZ_0045218-RA	ENSGALP00000005686
PMZ_0001478-RA	ENSGALP00000005695
PMZ_0005932-RA	ENSGALP00000005698
PMZ_0017856-RA	ENSGALP00000005698
PMZ_0043441-RA	ENSGALP00000005705
PMZ_0002938-RA	ENSGALP00000005711
PMZ_0047843-RA	ENSGALP00000005720
PMZ_0045865-RA	ENSGALP00000005724
PMZ_0044511-RA	ENSGALP00000005724
PMZ_0010504-RA	ENSGALP00000005725
PMZ_0010768-RA	ENSGALP00000005731
PMZ_0036776-RA	ENSGALP00000005731
PMZ_0028626-RA	ENSGALP00000005743
PMZ_0010281-RA	ENSGALP00000005744
PMZ_0033945-RA	ENSGALP00000005745
PMZ_0044653-RA	ENSGALP00000005745
PMZ_0038111-RA	ENSGALP00000005747
PMZ_0035556-RA	ENSGALP00000005755
PMZ_0048929-RA	ENSGALP00000005756
PMZ_0015264-RA	ENSGALP00000005769
PMZ_0017406-RA	ENSGALP00000005769
PMZ_0044530-RA	ENSGALP00000005777
PMZ_0044529-RA	ENSGALP00000005777
PMZ_0039298-RA	ENSGALP00000005780
PMZ_0046311-RA	ENSGALP00000005783
PMZ_0009530-RA	ENSGALP00000005786
PMZ_0033953-RA	ENSGALP00000005789
PMZ_0046397-RA	ENSGALP00000005791
PMZ_0046398-RA	ENSGALP00000005791
PMZ_0046363-RA	ENSGALP00000005794
PMZ_0043280-RA	ENSGALP00000005803
PMZ_0042719-RA	ENSGALP00000005803
PMZ_0042393-RA	ENSGALP00000005807
PMZ_0045843-RA	ENSGALP00000005807
PMZ_0042117-RA	ENSGALP00000005812
PMZ_0042696-RA	ENSGALP00000005814
PMZ_0034069-RA	ENSGALP00000005814
PMZ_0034134-RA	ENSGALP00000005817
PMZ_0044748-RA	ENSGALP00000005817
PMZ_0044698-RA	ENSGALP00000005819
PMZ_0046253-RA	ENSGALP00000005824
PMZ_0031015-RA	ENSGALP00000005824
PMZ_0040183-RA	ENSGALP00000005827
PMZ_0028825-RA	ENSGALP00000005827
PMZ_0010014-RA	ENSGALP00000005830
PMZ_0040362-RA	ENSGALP00000005832
PMZ_0034113-RA	ENSGALP00000005836
PMZ_0041448-RA	ENSGALP00000005837
PMZ_0006649-RA	ENSGALP00000005839
PMZ_0026965-RA	ENSGALP00000005847
PMZ_0007341-RA	ENSGALP00000005847
PMZ_0006902-RA	ENSGALP00000005850
PMZ_0047625-RA	ENSGALP00000005850
PMZ_0046345-RA	ENSGALP00000005852
PMZ_0047419-RA	ENSGALP00000005852
PMZ_0043281-RA	ENSGALP00000005854
PMZ_0034910-RA	ENSGALP00000005856
PMZ_0045680-RA	ENSGALP00000005856
PMZ_0046062-RA	ENSGALP00000005858
PMZ_0047234-RA	ENSGALP00000005861
PMZ_0007951-RA	ENSGALP00000005865
PMZ_0031591-RA	ENSGALP00000005865
PMZ_0018467-RA	ENSGALP00000005881
PMZ_0044737-RA	ENSGALP00000005881
PMZ_0044817-RA	ENSGALP00000005883
PMZ_0044816-RA	ENSGALP00000005883
PMZ_0001964-RA	ENSGALP00000005885
PMZ_0032306-RA	ENSGALP00000005892
PMZ_0044047-RA	ENSGALP00000005892
PMZ_0048028-RA	ENSGALP00000005896
PMZ_0048027-RA	ENSGALP00000005896
PMZ_0033540-RA	ENSGALP00000005900
PMZ_0043949-RA	ENSGALP00000005900
PMZ_0030993-RA	ENSGALP00000005904
PMZ_0033539-RA	ENSGALP00000005904
PMZ_0046308-RA	ENSGALP00000005905
PMZ_0044673-RA	ENSGALP00000005909
PMZ_0010961-RA	ENSGALP00000005914
PMZ_0030811-RA	ENSGALP00000005919
PMZ_0035139-RA	ENSGALP00000005923
PMZ_0005919-RA	ENSGALP00000005923
PMZ_0013496-RA	ENSGALP00000005928
PMZ_0033221-RA	ENSGALP00000005929
PMZ_0020087-RA	ENSGALP00000005929
PMZ_0000155-RA	ENSGALP00000005939
PMZ_0020394-RA	ENSGALP00000005939
PMZ_0027054-RA	ENSGALP00000005948
PMZ_0033010-RA	ENSGALP00000005954
PMZ_0001847-RA	ENSGALP00000005956
PMZ_0007836-RA	ENSGALP00000005962
PMZ_0040372-RA	ENSGALP00000005963
PMZ_0030456-RA	ENSGALP00000005963
PMZ_0037404-RA	ENSGALP00000005964
PMZ_0038389-RA	ENSGALP00000005964
PMZ_0048340-RA	ENSGALP00000005965
PMZ_0044074-RA	ENSGALP00000005967
PMZ_0043766-RA	ENSGALP00000005967
PMZ_0015888-RA	ENSGALP00000005971
PMZ_0041465-RA	ENSGALP00000005971
PMZ_0045687-RA	ENSGALP00000005972
PMZ_0045007-RA	ENSGALP00000005972
PMZ_0033349-RA	ENSGALP00000005982
PMZ_0008708-RA	ENSGALP00000005982
PMZ_0012706-RA	ENSGALP00000005983
PMZ_0043902-RA	ENSGALP00000005984
PMZ_0040184-RA	ENSGALP00000005991
PMZ_0029584-RA	ENSGALP00000005991
PMZ_0039102-RA	ENSGALP00000005994
PMZ_0043765-RA	ENSGALP00000005996
PMZ_0036956-RA	ENSGALP00000006001
PMZ_0041596-RA	ENSGALP00000006003
PMZ_0042382-RA	ENSGALP00000006003
PMZ_0030721-RA	ENSGALP00000006006
PMZ_0023150-RA	ENSGALP00000006006
PMZ_0045895-RA	ENSGALP00000006007
PMZ_0032442-RA	ENSGALP00000006013
PMZ_0037703-RA	ENSGALP00000006016
PMZ_0048734-RA	ENSGALP00000006016
PMZ_0043652-RA	ENSGALP00000006018
PMZ_0011960-RA	ENSGALP00000006018
PMZ_0045085-RA	ENSGALP00000006023
PMZ_0044781-RA	ENSGALP00000006026
PMZ_0016428-RA	ENSGALP00000006027
PMZ_0046785-RA	ENSGALP00000006027
PMZ_0045321-RA	ENSGALP00000006035
PMZ_0031308-RA	ENSGALP00000006036
PMZ_0048296-RA	ENSGALP00000006036
PMZ_0041031-RA	ENSGALP00000006039
PMZ_0011611-RA	ENSGALP00000006041
PMZ_0041984-RA	ENSGALP00000006041
PMZ_0019455-RA	ENSGALP00000006043
PMZ_0045829-RA	ENSGALP00000006043
PMZ_0033186-RA	ENSGALP00000006046
PMZ_0002016-RA	ENSGALP00000006047
PMZ_0032676-RA	ENSGALP00000006047
PMZ_0022992-RA	ENSGALP00000006050
PMZ_0033808-RA	ENSGALP00000006056
PMZ_0047077-RA	ENSGALP00000006056
PMZ_0044756-RA	ENSGALP00000006060
PMZ_0044755-RA	ENSGALP00000006060
PMZ_0043597-RA	ENSGALP00000006065
PMZ_0031082-RA	ENSGALP00000006065
PMZ_0047255-RA	ENSGALP00000006084
PMZ_0038773-RA	ENSGALP00000006085
PMZ_0040646-RA	ENSGALP00000006085
PMZ_0021529-RA	ENSGALP00000006090
PMZ_0035705-RA	ENSGALP00000006090
PMZ_0034554-RA	ENSGALP00000006093
PMZ_0002962-RA	ENSGALP00000006093
PMZ_0010980-RA	ENSGALP00000006098
PMZ_0018013-RA	ENSGALP00000006100
PMZ_0038003-RA	ENSGALP00000006100
PMZ_0045830-RA	ENSGALP00000006102
PMZ_0047740-RA	ENSGALP00000006104
PMZ_0001913-RA	ENSGALP00000006110
PMZ_0030994-RA	ENSGALP00000006113
PMZ_0029679-RA	ENSGALP00000006113
PMZ_0043773-RA	ENSGALP00000006115
PMZ_0047653-RA	ENSGALP00000006116
PMZ_0032494-RA	ENSGALP00000006117
PMZ_0008776-RA	ENSGALP00000006125
PMZ_0046953-RA	ENSGALP00000006125
PMZ_0016006-RA	ENSGALP00000006145
PMZ_0023524-RA	ENSGALP00000006145
PMZ_0042961-RA	ENSGALP00000006149
PMZ_0047465-RA	ENSGALP00000006154
PMZ_0032065-RA	ENSGALP00000006158
PMZ_0031673-RA	ENSGALP00000006158
PMZ_0048853-RA	ENSGALP00000006160
PMZ_0007432-RA	ENSGALP00000006162
PMZ_0029761-RA	ENSGALP00000006172
PMZ_0028018-RA	ENSGALP00000006180
PMZ_0043810-RA	ENSGALP00000006181
PMZ_0030642-RA	ENSGALP00000006182
PMZ_0011833-RA	ENSGALP00000006184
PMZ_0036851-RA	ENSGALP00000006190
PMZ_0041688-RA	ENSGALP00000006190
PMZ_0021437-RA	ENSGALP00000006196
PMZ_0032086-RA	ENSGALP00000006197
PMZ_0047120-RA	ENSGALP00000006197
PMZ_0036555-RA	ENSGALP00000006201
PMZ_0035307-RA	ENSGALP00000006201
PMZ_0036389-RA	ENSGALP00000006213
PMZ_0048505-RA	ENSGALP00000006213
PMZ_0018180-RA	ENSGALP00000006218
PMZ_0026948-RA	ENSGALP00000006220
PMZ_0000976-RA	ENSGALP00000006220
PMZ_0006441-RA	ENSGALP00000006222
PMZ_0019302-RA	ENSGALP00000006222
PMZ_0001422-RA	ENSGALP00000006226
PMZ_0033864-RA	ENSGALP00000006226
PMZ_0045197-RA	ENSGALP00000006228
PMZ_0040117-RA	ENSGALP00000006234
PMZ_0037210-RA	ENSGALP00000006240
PMZ_0026905-RA	ENSGALP00000006240
PMZ_0043419-RA	ENSGALP00000006242
PMZ_0031623-RA	ENSGALP00000006242
PMZ_0041588-RA	ENSGALP00000006245
PMZ_0037104-RA	ENSGALP00000006245
PMZ_0032728-RA	ENSGALP00000006251
PMZ_0028855-RA	ENSGALP00000006255
PMZ_0040817-RA	ENSGALP00000006255
PMZ_0036991-RA	ENSGALP00000006256
PMZ_0036821-RA	ENSGALP00000006257
PMZ_0028686-RA	ENSGALP00000006257
PMZ_0044217-RA	ENSGALP00000006258
PMZ_0005020-RA	ENSGALP00000006259
PMZ_0032186-RA	ENSGALP00000006259
PMZ_0029142-RA	ENSGALP00000006262
PMZ_0033556-RA	ENSGALP00000006262
PMZ_0045100-RA	ENSGALP00000006265
PMZ_0001423-RA	ENSGALP00000006273
PMZ_0036583-RA	ENSGALP00000006278
PMZ_0037260-RA	ENSGALP00000006278
PMZ_0019684-RA	ENSGALP00000006280
PMZ_0030046-RA	ENSGALP00000006280
PMZ_0046145-RA	ENSGALP00000006289
PMZ_0027919-RA	ENSGALP00000006296
PMZ_0035305-RA	ENSGALP00000006296
PMZ_0044333-RA	ENSGALP00000006300
PMZ_0009925-RA	ENSGALP00000006300
PMZ_0001656-RA	ENSGALP00000006307
PMZ_0037048-RA	ENSGALP00000006307
PMZ_0040283-RA	ENSGALP00000006308
PMZ_0043717-RA	ENSGALP00000006308
PMZ_0048867-RA	ENSGALP00000006311
PMZ_0036836-RA	ENSGALP00000006311
PMZ_0045825-RA	ENSGALP00000006317
PMZ_0027285-RA	ENSGALP00000006321
PMZ_0014890-RA	ENSGALP00000006321
PMZ_0002632-RA	ENSGALP00000006326
PMZ_0034695-RA	ENSGALP00000006326
PMZ_0014904-RA	ENSGALP00000006330
PMZ_0034883-RA	ENSGALP00000006330
PMZ_0014798-RA	ENSGALP00000006331
PMZ_0042992-RA	ENSGALP00000006338
PMZ_0047988-RA	ENSGALP00000006340
PMZ_0004239-RA	ENSGALP00000006348
PMZ_0011380-RA	ENSGALP00000006352
PMZ_0043669-RA	ENSGALP00000006352
PMZ_0040589-RA	ENSGALP00000006353
PMZ_0046414-RA	ENSGALP00000006364
PMZ_0029097-RA	ENSGALP00000006364
PMZ_0042933-RA	ENSGALP00000006366
PMZ_0030865-RA	ENSGALP00000006372
PMZ_0034735-RA	ENSGALP00000006378
PMZ_0032278-RA	ENSGALP00000006378
PMZ_0038248-RA	ENSGALP00000006386
PMZ_0005765-RA	ENSGALP00000006387
PMZ_0009292-RA	ENSGALP00000006391
PMZ_0042755-RA	ENSGALP00000006392
PMZ_0035233-RA	ENSGALP00000006392
PMZ_0043301-RA	ENSGALP00000006394
PMZ_0018230-RA	ENSGALP00000006394
PMZ_0007982-RA	ENSGALP00000006396
PMZ_0030663-RA	ENSGALP00000006396
PMZ_0036375-RA	ENSGALP00000006398
PMZ_0037447-RA	ENSGALP00000006403
PMZ_0047109-RA	ENSGALP00000006403
PMZ_0019370-RA	ENSGALP00000006407
PMZ_0040124-RA	ENSGALP00000006409
PMZ_0044706-RA	ENSGALP00000006411
PMZ_0043119-RA	ENSGALP00000006412
PMZ_0043120-RA	ENSGALP00000006412
PMZ_0035105-RA	ENSGALP00000006416
PMZ_0043383-RA	ENSGALP00000006419
PMZ_0030714-RA	ENSGALP00000006421
PMZ_0046542-RA	ENSGALP00000006430
PMZ_0047279-RA	ENSGALP00000006431
PMZ_0029265-RA	ENSGALP00000006433
PMZ_0032572-RA	ENSGALP00000006433
PMZ_0037402-RA	ENSGALP00000006434
PMZ_0046159-RA	ENSGALP00000006439
PMZ_0012801-RA	ENSGALP00000006445
PMZ_0040100-RA	ENSGALP00000006446
PMZ_0040099-RA	ENSGALP00000006446
PMZ_0027082-RA	ENSGALP00000006447
PMZ_0042402-RA	ENSGALP00000006447
PMZ_0032702-RA	ENSGALP00000006451
PMZ_0007569-RA	ENSGALP00000006451
PMZ_0003937-RA	ENSGALP00000006455
PMZ_0044286-RA	ENSGALP00000006457
PMZ_0047493-RA	ENSGALP00000006457
PMZ_0043401-RA	ENSGALP00000006458
PMZ_0012376-RA	ENSGALP00000006461
PMZ_0026162-RA	ENSGALP00000006464
PMZ_0042277-RA	ENSGALP00000006464
PMZ_0021943-RA	ENSGALP00000006468
PMZ_0033282-RA	ENSGALP00000006468
PMZ_0031619-RA	ENSGALP00000006470
PMZ_0044663-RA	ENSGALP00000006477
PMZ_0010009-RA	ENSGALP00000006481
PMZ_0038219-RA	ENSGALP00000006481
PMZ_0045378-RA	ENSGALP00000006483
PMZ_0034452-RA	ENSGALP00000006490
PMZ_0006435-RA	ENSGALP00000006491
PMZ_0045967-RA	ENSGALP00000006491
PMZ_0019126-RA	ENSGALP00000006494
PMZ_0021917-RA	ENSGALP00000006494
PMZ_0010851-RA	ENSGALP00000006497
PMZ_0040488-RA	ENSGALP00000006509
PMZ_0045968-RA	ENSGALP00000006509
PMZ_0037478-RA	ENSGALP00000006510
PMZ_0030025-RA	ENSGALP00000006511
PMZ_0042868-RA	ENSGALP00000006514
PMZ_0007175-RA	ENSGALP00000006514
PMZ_0031589-RA	ENSGALP00000006517
PMZ_0004372-RA	ENSGALP00000006519
PMZ_0046315-RA	ENSGALP00000006519
PMZ_0037376-RA	ENSGALP00000006521
PMZ_0011208-RA	ENSGALP00000006523
PMZ_0042075-RA	ENSGALP00000006527
PMZ_0032849-RA	ENSGALP00000006529
PMZ_0043806-RA	ENSGALP00000006532
PMZ_0031265-RA	ENSGALP00000006535
PMZ_0033405-RA	ENSGALP00000006547
PMZ_0036558-RA	ENSGALP00000006553
PMZ_0041121-RA	ENSGALP00000006553
PMZ_0011653-RA	ENSGALP00000006561
PMZ_0027807-RA	ENSGALP00000006561
PMZ_0002520-RA	ENSGALP00000006565
PMZ_0032241-RA	ENSGALP00000006571
PMZ_0046622-RA	ENSGALP00000006571
PMZ_0008725-RA	ENSGALP00000006573
PMZ_0014342-RA	ENSGALP00000006573
PMZ_0011957-RA	ENSGALP00000006574
PMZ_0046247-RA	ENSGALP00000006574
PMZ_0018179-RA	ENSGALP00000006575
PMZ_0043676-RA	ENSGALP00000006581
PMZ_0006585-RA	ENSGALP00000006589
PMZ_0046909-RA	ENSGALP00000006589
PMZ_0033242-RA	ENSGALP00000006590
PMZ_0035479-RA	ENSGALP00000006591
PMZ_0046550-RA	ENSGALP00000006591
PMZ_0047385-RA	ENSGALP00000006594
PMZ_0017500-RA	ENSGALP00000006597
PMZ_0046932-RA	ENSGALP00000006597
PMZ_0020576-RA	ENSGALP00000006600
PMZ_0034436-RA	ENSGALP00000006600
PMZ_0019908-RA	ENSGALP00000006604
PMZ_0008007-RA	ENSGALP00000006605
PMZ_0038987-RA	ENSGALP00000006605
PMZ_0032515-RA	ENSGALP00000006606
PMZ_0040172-RA	ENSGALP00000006606
PMZ_0045930-RA	ENSGALP00000006610
PMZ_0031968-RA	ENSGALP00000006610
PMZ_0041236-RA	ENSGALP00000006620
PMZ_0028785-RA	ENSGALP00000006621
PMZ_0012403-RA	ENSGALP00000006623
PMZ_0001509-RA	ENSGALP00000006624
PMZ_0040174-RA	ENSGALP00000006635
PMZ_0031578-RA	ENSGALP00000006635
PMZ_0047827-RA	ENSGALP00000006636
PMZ_0038947-RA	ENSGALP00000006636
PMZ_0031690-RA	ENSGALP00000006639
PMZ_0047993-RA	ENSGALP00000006639
PMZ_0045592-RA	ENSGALP00000006643
PMZ_0037456-RA	ENSGALP00000006645
PMZ_0035543-RA	ENSGALP00000006645
PMZ_0027834-RA	ENSGALP00000006648
PMZ_0047606-RA	ENSGALP00000006652
PMZ_0034791-RA	ENSGALP00000006654
PMZ_0031097-RA	ENSGALP00000006656
PMZ_0047776-RA	ENSGALP00000006656
PMZ_0016312-RA	ENSGALP00000006662
PMZ_0011019-RA	ENSGALP00000006662
PMZ_0006233-RA	ENSGALP00000006673
PMZ_0027868-RA	ENSGALP00000006673
PMZ_0028171-RA	ENSGALP00000006674
PMZ_0021980-RA	ENSGALP00000006677
PMZ_0047142-RA	ENSGALP00000006680
PMZ_0020728-RA	ENSGALP00000006680
PMZ_0046537-RA	ENSGALP00000006683
PMZ_0033501-RA	ENSGALP00000006684
PMZ_0039022-RA	ENSGALP00000006684
PMZ_0047557-RA	ENSGALP00000006688
PMZ_0038938-RA	ENSGALP00000006688
PMZ_0041138-RA	ENSGALP00000006690
PMZ_0006692-RA	ENSGALP00000006692
PMZ_0037041-RA	ENSGALP00000006693
PMZ_0038655-RA	ENSGALP00000006710
PMZ_0029597-RA	ENSGALP00000006711
PMZ_0042770-RA	ENSGALP00000006714
PMZ_0042771-RA	ENSGALP00000006714
PMZ_0046260-RA	ENSGALP00000006719
PMZ_0022591-RA	ENSGALP00000006720
PMZ_0017808-RA	ENSGALP00000006724
PMZ_0042595-RA	ENSGALP00000006727
PMZ_0019219-RA	ENSGALP00000006727
PMZ_0027233-RA	ENSGALP00000006728
PMZ_0037585-RA	ENSGALP00000006728
PMZ_0029623-RA	ENSGALP00000006730
PMZ_0031862-RA	ENSGALP00000006732
PMZ_0040923-RA	ENSGALP00000006733
PMZ_0046199-RA	ENSGALP00000006734
PMZ_0021017-RA	ENSGALP00000006734
PMZ_0047260-RA	ENSGALP00000006735
PMZ_0041087-RA	ENSGALP00000006738
PMZ_0021497-RA	ENSGALP00000006738
PMZ_0017583-RA	ENSGALP00000006742
PMZ_0042756-RA	ENSGALP00000006742
PMZ_0041333-RA	ENSGALP00000006748
PMZ_0030618-RA	ENSGALP00000006751
PMZ_0045175-RA	ENSGALP00000006752
PMZ_0031573-RA	ENSGALP00000006752
PMZ_0047515-RA	ENSGALP00000006754
PMZ_0029040-RA	ENSGALP00000006759
PMZ_0043397-RA	ENSGALP00000006760
PMZ_0047623-RA	ENSGALP00000006762
PMZ_0047637-RA	ENSGALP00000006762
PMZ_0040511-RA	ENSGALP00000006765
PMZ_0040512-RA	ENSGALP00000006765
PMZ_0042754-RA	ENSGALP00000006767
PMZ_0045747-RA	ENSGALP00000006768
PMZ_0035113-RA	ENSGALP00000006772
PMZ_0041906-RA	ENSGALP00000006773
PMZ_0016146-RA	ENSGALP00000006778
PMZ_0040206-RA	ENSGALP00000006778
PMZ_0033361-RA	ENSGALP00000006783
PMZ_0046279-RA	ENSGALP00000006783
PMZ_0004583-RA	ENSGALP00000006787
PMZ_0038348-RA	ENSGALP00000006787
PMZ_0030128-RA	ENSGALP00000006789
PMZ_0045062-RA	ENSGALP00000006793
PMZ_0036784-RA	ENSGALP00000006798
PMZ_0031157-RA	ENSGALP00000006798
PMZ_0002236-RA	ENSGALP00000006799
PMZ_0031139-RA	ENSGALP00000006813
