fgenesh2_pg.scaffold_351000043	ENSMODP00000015069
estExt_fgenesh2_pm.C_1960012	ENSMODP00000011175
estExt_fgenesh2_pm.C_1960017	ENSMODP00000014235
estExt_fgenesh2_pm.C_1970003	ENSMODP00000008782
estExt_fgenesh2_pm.C_1980001	ENSMODP00000026349
estExt_fgenesh2_pm.C_1980001	ENSMODP00000009948
estExt_fgenesh2_pm.C_1980009	ENSMODP00000022479
estExt_fgenesh2_pm.C_1980010	ENSMODP00000022921
estExt_fgenesh2_pm.C_1980010	ENSMODP00000013725
estExt_fgenesh2_pm.C_2010007	ENSMODP00000008926
estExt_fgenesh2_pm.C_2020005	ENSMODP00000034441
estExt_fgenesh2_pm.C_2030002	ENSMODP00000021102
estExt_fgenesh2_pm.C_2030003	ENSMODP00000013185
estExt_fgenesh2_pm.C_2030003	ENSMODP00000009172
estExt_fgenesh2_pm.C_2030003	ENSMODP00000041349
estExt_fgenesh2_pm.C_2030008	ENSMODP00000010105
estExt_fgenesh2_pm.C_2030010	ENSMODP00000017556
estExt_fgenesh2_pm.C_2030011	ENSMODP00000007690
estExt_fgenesh2_pm.C_2050013	ENSMODP00000025897
estExt_fgenesh2_pm.C_2050017	ENSMODP00000039391
estExt_fgenesh2_pm.C_2060009	ENSMODP00000019981
estExt_fgenesh2_pm.C_2070003	ENSMODP00000032837
estExt_fgenesh2_pm.C_2120001	ENSMODP00000014423
estExt_fgenesh2_pm.C_2120001	ENSMODP00000001131
estExt_fgenesh2_pm.C_2120001	ENSMODP00000018657
estExt_fgenesh2_pm.C_2120002	ENSMODP00000025471
estExt_fgenesh2_pm.C_2120011	ENSMODP00000035575
estExt_fgenesh2_pm.C_2120011	ENSMODP00000020871
estExt_fgenesh2_pm.C_2140005	ENSMODP00000001284
estExt_fgenesh2_pm.C_2160008	ENSMODP00000008706
estExt_fgenesh2_pm.C_2160010	ENSMODP00000010038
estExt_fgenesh2_pm.C_2170007	ENSMODP00000013290
estExt_fgenesh2_pm.C_2170010	ENSMODP00000022780
estExt_fgenesh2_pm.C_2170011	ENSMODP00000018793
estExt_fgenesh2_pm.C_2190011	ENSMODP00000011863
estExt_fgenesh2_pm.C_2200004	ENSMODP00000021634
estExt_fgenesh2_pm.C_2200004	ENSMODP00000032834
estExt_fgenesh2_pm.C_2230002	ENSMODP00000011228
estExt_fgenesh2_pm.C_2240001	ENSMODP00000003389
estExt_fgenesh2_pm.C_2250001	ENSMODP00000009381
estExt_fgenesh2_pm.C_2250001	ENSMODP00000034365
estExt_fgenesh2_pm.C_2280003	ENSMODP00000026559
estExt_fgenesh2_pm.C_2280003	ENSMODP00000026561
estExt_fgenesh2_pm.C_2280003	ENSMODP00000008522
estExt_fgenesh2_pm.C_2280003	ENSMODP00000026556
estExt_fgenesh2_pm.C_2290002	ENSMODP00000024360
estExt_fgenesh2_pm.C_2300010	ENSMODP00000025551
estExt_fgenesh2_pm.C_2300010	ENSMODP00000011610
estExt_fgenesh2_pm.C_2310004	ENSMODP00000003392
estExt_fgenesh2_pm.C_2310007	ENSMODP00000016453
estExt_fgenesh2_pm.C_2310011	ENSMODP00000009552
estExt_fgenesh2_pm.C_2310011	ENSMODP00000014186
estExt_fgenesh2_pm.C_2320004	ENSMODP00000012802
estExt_fgenesh2_pm.C_2320006	ENSMODP00000009005
estExt_fgenesh2_pm.C_2330006	ENSMODP00000017543
estExt_fgenesh2_pm.C_2330008	ENSMODP00000009737
estExt_fgenesh2_pm.C_2330008	ENSMODP00000000295
estExt_fgenesh2_pm.C_2330008	ENSMODP00000012111
estExt_fgenesh2_pm.C_2350003	ENSMODP00000020574
estExt_fgenesh2_pm.C_2360005	ENSMODP00000015379
estExt_fgenesh2_pm.C_2380010	ENSMODP00000024492
estExt_fgenesh2_pm.C_2380011	ENSMODP00000026182
estExt_fgenesh2_pm.C_2400001	ENSMODP00000000406
estExt_fgenesh2_pm.C_2400003	ENSMODP00000040563
estExt_fgenesh2_pm.C_2440003	ENSMODP00000038180
estExt_fgenesh2_pm.C_2460001	ENSMODP00000014669
estExt_fgenesh2_pm.C_2460005	ENSMODP00000003358
estExt_fgenesh2_pm.C_2520004	ENSMODP00000010545
estExt_fgenesh2_pm.C_2520004	ENSMODP00000010539
estExt_fgenesh2_pm.C_2520004	ENSMODP00000026904
estExt_fgenesh2_pm.C_2570011	ENSMODP00000018478
estExt_fgenesh2_pm.C_2590007	ENSMODP00000011118
estExt_fgenesh2_pm.C_2590007	ENSMODP00000001670
estExt_fgenesh2_pm.C_2620003	ENSMODP00000010123
estExt_fgenesh2_pm.C_2640006	ENSMODP00000011318
estExt_fgenesh2_pm.C_2640006	ENSMODP00000008837
estExt_fgenesh2_pm.C_2650002	ENSMODP00000023727
estExt_fgenesh2_pm.C_2670001	ENSMODP00000017005
estExt_fgenesh2_pm.C_2700001	ENSMODP00000034494
estExt_fgenesh2_pm.C_2700001	ENSMODP00000000546
estExt_fgenesh2_pm.C_2700001	ENSMODP00000019655
estExt_fgenesh2_pm.C_2720003	ENSMODP00000017902
estExt_fgenesh2_pm.C_2730005	ENSMODP00000024289
estExt_fgenesh2_pm.C_2730006	ENSMODP00000010166
estExt_fgenesh2_pm.C_2730009	ENSMODP00000024347
estExt_fgenesh2_pm.C_2730010	ENSMODP00000025360
estExt_fgenesh2_pm.C_2730013	ENSMODP00000024122
estExt_fgenesh2_pm.C_2750004	ENSMODP00000007321
estExt_fgenesh2_pm.C_2750004	ENSMODP00000013297
estExt_fgenesh2_pm.C_2750004	ENSMODP00000010130
estExt_fgenesh2_pm.C_2780002	ENSMODP00000040327
estExt_fgenesh2_pm.C_2790004	ENSMODP00000007439
estExt_fgenesh2_pm.C_2810004	ENSMODP00000000440
estExt_fgenesh2_pm.C_2820004	ENSMODP00000015367
estExt_fgenesh2_pm.C_2830003	ENSMODP00000012709
estExt_fgenesh2_pm.C_2850002	ENSMODP00000030624
estExt_fgenesh2_pm.C_2850013	ENSMODP00000022125
estExt_fgenesh2_pm.C_2860002	ENSMODP00000002440
estExt_fgenesh2_pm.C_2860002	ENSMODP00000015341
estExt_fgenesh2_pm.C_2860004	ENSMODP00000020385
estExt_fgenesh2_pm.C_2860004	ENSMODP00000010833
estExt_fgenesh2_pm.C_2910001	ENSMODP00000007066
estExt_fgenesh2_pm.C_2910001	ENSMODP00000019207
estExt_fgenesh2_pm.C_2970004	ENSMODP00000015282
estExt_fgenesh2_pm.C_2970004	ENSMODP00000021792
estExt_fgenesh2_pm.C_2980005	ENSMODP00000024536
estExt_fgenesh2_pm.C_3040001	ENSMODP00000005548
estExt_fgenesh2_pm.C_3070002	ENSMODP00000000137
estExt_fgenesh2_pm.C_3130007	ENSMODP00000011785
estExt_fgenesh2_pm.C_3160009	ENSMODP00000010936
estExt_fgenesh2_pm.C_3170006	ENSMODP00000026797
estExt_fgenesh2_pm.C_3200001	ENSMODP00000025132
estExt_fgenesh2_pm.C_3220002	ENSMODP00000015802
estExt_fgenesh2_pm.C_3230005	ENSMODP00000002946
estExt_fgenesh2_pm.C_3250002	ENSMODP00000024104
estExt_fgenesh2_pm.C_3250008	ENSMODP00000003993
estExt_fgenesh2_pm.C_3300001	ENSMODP00000011509
estExt_fgenesh2_pm.C_3340002	ENSMODP00000007771
estExt_fgenesh2_pm.C_3410004	ENSMODP00000003155
estExt_fgenesh2_pm.C_3460003	ENSMODP00000014584
estExt_fgenesh2_pm.C_3470009	ENSMODP00000004954
estExt_fgenesh2_pm.C_3470009	ENSMODP00000006650
estExt_fgenesh2_pm.C_3480002	ENSMODP00000035012
estExt_fgenesh2_pm.C_3490013	ENSMODP00000027077
estExt_fgenesh2_pm.C_3560005	ENSMODP00000005881
estExt_fgenesh2_pm.C_3580003	ENSMODP00000009510
estExt_fgenesh2_pm.C_3660002	ENSMODP00000002898
estExt_fgenesh2_pm.C_3660002	ENSMODP00000002955
estExt_fgenesh2_pm.C_3760003	ENSMODP00000009785
estExt_fgenesh2_pm.C_3760003	ENSMODP00000022337
estExt_fgenesh2_pm.C_3760010	ENSMODP00000026081
estExt_fgenesh2_pm.C_3760012	ENSMODP00000002792
estExt_fgenesh2_pm.C_3790010	ENSMODP00000035400
estExt_fgenesh2_pm.C_3840003	ENSMODP00000030288
estExt_fgenesh2_pm.C_3890005	ENSMODP00000028723
estExt_fgenesh2_pm.C_3920001	ENSMODP00000032202
estExt_fgenesh2_pm.C_3920005	ENSMODP00000009648
estExt_fgenesh2_pm.C_3920005	ENSMODP00000025344
estExt_fgenesh2_pm.C_3930001	ENSMODP00000018469
estExt_fgenesh2_pm.C_3930001	ENSMODP00000020609
estExt_fgenesh2_pm.C_3930001	ENSMODP00000004563
estExt_fgenesh2_pm.C_3930001	ENSMODP00000001828
estExt_fgenesh2_pm.C_3930001	ENSMODP00000015963
estExt_fgenesh2_pm.C_3960006	ENSMODP00000026585
estExt_fgenesh2_pm.C_3970001	ENSMODP00000011834
estExt_fgenesh2_pm.C_3980003	ENSMODP00000001050
estExt_fgenesh2_pm.C_3980006	ENSMODP00000013059
estExt_fgenesh2_pm.C_4090002	ENSMODP00000011242
estExt_fgenesh2_pm.C_4100006	ENSMODP00000002199
estExt_fgenesh2_pm.C_4110005	ENSMODP00000023717
estExt_fgenesh2_pm.C_4230001	ENSMODP00000016893
estExt_fgenesh2_pm.C_4250007	ENSMODP00000003774
estExt_fgenesh2_pm.C_4250009	ENSMODP00000014488
estExt_fgenesh2_pm.C_4290002	ENSMODP00000037863
estExt_fgenesh2_pm.C_4380004	ENSMODP00000017680
estExt_fgenesh2_pm.C_4380004	ENSMODP00000019392
estExt_fgenesh2_pm.C_4460001	ENSMODP00000000810
estExt_fgenesh2_pm.C_4470003	ENSMODP00000024145
estExt_fgenesh2_pm.C_4470004	ENSMODP00000023927
estExt_fgenesh2_pm.C_4520005	ENSMODP00000021699
estExt_fgenesh2_pm.C_4520006	ENSMODP00000003204
estExt_fgenesh2_pm.C_4560004	ENSMODP00000014627
estExt_fgenesh2_pm.C_4610006	ENSMODP00000014989
estExt_fgenesh2_pm.C_4610007	ENSMODP00000012644
estExt_fgenesh2_pm.C_4750001	ENSMODP00000004988
estExt_fgenesh2_pm.C_4780002	ENSMODP00000008068
estExt_fgenesh2_pm.C_4780002	ENSMODP00000016848
estExt_fgenesh2_pm.C_4840005	ENSMODP00000031196
estExt_fgenesh2_pm.C_4840005	ENSMODP00000010691
estExt_fgenesh2_pm.C_5340001	ENSMODP00000032211
estExt_fgenesh2_pm.C_5340003	ENSMODP00000004074
estExt_fgenesh2_pm.C_5460005	ENSMODP00000002533
estExt_fgenesh2_pm.C_5460005	ENSMODP00000001242
estExt_fgenesh2_pm.C_5590003	ENSMODP00000020546
estExt_fgenesh2_pm.C_5690003	ENSMODP00000023000
estExt_fgenesh2_pm.C_5690005	ENSMODP00000000485
estExt_fgenesh2_pm.C_5720003	ENSMODP00000020957
estExt_fgenesh2_pm.C_5760005	ENSMODP00000012403
estExt_fgenesh2_pm.C_5970004	ENSMODP00000020716
estExt_fgenesh2_pm.C_6550003	ENSMODP00000038133
estExt_fgenesh2_pm.C_6570002	ENSMODP00000008060
estExt_fgenesh2_pm.C_6620001	ENSMODP00000023069
estExt_fgenesh2_pm.C_6620001	ENSMODP00000032392
estExt_fgenesh2_pm.C_6620001	ENSMODP00000002709
estExt_fgenesh2_pm.C_6810002	ENSMODP00000010119
estExt_fgenesh2_pm.C_6830004	ENSMODP00000006373
estExt_fgenesh2_pm.C_6900001	ENSMODP00000013955
estExt_fgenesh2_pm.C_7050004	ENSMODP00000010618
estExt_fgenesh2_pm.C_7060005	ENSMODP00000007811
estExt_fgenesh2_pm.C_7060005	ENSMODP00000006878
estExt_fgenesh2_pm.C_7120003	ENSMODP00000012755
estExt_fgenesh2_pm.C_7240001	ENSMODP00000001657
estExt_fgenesh2_pm.C_7310002	ENSMODP00000011179
estExt_fgenesh2_pm.C_7310002	ENSMODP00000032420
estExt_fgenesh2_pm.C_7330001	ENSMODP00000011458
estExt_fgenesh2_pm.C_7390001	ENSMODP00000013871
estExt_fgenesh2_pm.C_7550001	ENSMODP00000002541
estExt_fgenesh2_pm.C_7790002	ENSMODP00000019745
estExt_fgenesh2_pm.C_8260001	ENSMODP00000005866
estExt_fgenesh2_pm.C_9450002	ENSMODP00000036609
estExt_fgenesh2_pm.C_9450002	ENSMODP00000007983
estExt_fgenesh2_pm.C_10030002	ENSMODP00000026783
estExt_fgenesh2_pm.C_10130001	ENSMODP00000005264
estExt_fgenesh2_pm.C_10550002	ENSMODP00000005499
estExt_fgenesh2_pm.C_12800001	ENSMODP00000007355
estExt_fgenesh2_pm.C_20550002	ENSMODP00000004700
estExt_fgenesh2_kg.C_80003	ENSMODP00000015749
estExt_fgenesh2_kg.C_90001	ENSMODP00000002391
estExt_fgenesh2_kg.C_190001	ENSMODP00000012734
estExt_fgenesh2_kg.C_300001	ENSMODP00000016683
estExt_fgenesh2_kg.C_1360002	ENSMODP00000015878
estExt_fgenesh2_kg.C_1460001	ENSMODP00000038070
estExt_fgenesh2_kg.C_1840001	ENSMODP00000015676
estExt_fgenesh2_kg.C_1840001	ENSMODP00000018828
estExt_fgenesh2_kg.C_2440002	ENSMODP00000039191
estExt_fgenesh2_kg.C_2600002	ENSMODP00000011931
estExt_fgenesh2_kg.C_2610001	ENSMODP00000010214
estExt_fgenesh2_kg.C_3300001	ENSMODP00000017840
estExt_fgenesh2_kg.C_3300001	ENSMODP00000022086
estExt_fgenesh2_kg.C_3300001	ENSMODP00000021554
estExt_fgenesh2_kg.C_3300001	ENSMODP00000019729
estExt_fgenesh2_kg.C_3310001	ENSMODP00000030466
estExt_fgenesh2_kg.C_3310001	ENSMODP00000028804
estExt_fgenesh2_kg.C_3770001	ENSMODP00000026321
estExt_fgenesh2_kg.C_3770001	ENSMODP00000017431
estExt_fgenesh2_kg.C_4020003	ENSMODP00000000605
estExt_fgenesh2_kg.C_4020003	ENSMODP00000015472
estExt_fgenesh2_kg.C_4020003	ENSMODP00000011998
estExt_fgenesh2_kg.C_7600001	ENSMODP00000007078
estExt_fgenesh2_kg.C_7600001	ENSMODP00000015316
estExt_fgenesh2_kg.C_7600001	ENSMODP00000018070
estExt_fgenesh2_kg.C_7600001	ENSMODP00000024053
estExt_fgenesh2_pg.C_10090	ENSMODP00000003772
estExt_fgenesh2_pg.C_10119	ENSMODP00000006693
estExt_fgenesh2_pg.C_10119	ENSMODP00000013352
estExt_fgenesh2_pg.C_10120	ENSMODP00000006866
estExt_fgenesh2_pg.C_10167	ENSMODP00000026857
estExt_fgenesh2_pg.C_10167	ENSMODP00000020173
estExt_fgenesh2_pg.C_10197	ENSMODP00000000904
estExt_fgenesh2_pg.C_10260	ENSMODP00000008415
estExt_fgenesh2_pg.C_10285	ENSMODP00000022123
estExt_fgenesh2_pg.C_10285	ENSMODP00000021326
estExt_fgenesh2_pg.C_10285	ENSMODP00000024585
estExt_fgenesh2_pg.C_10285	ENSMODP00000022127
estExt_fgenesh2_pg.C_10286	ENSMODP00000014974
estExt_fgenesh2_pg.C_10322	ENSMODP00000020065
estExt_fgenesh2_pg.C_10341	ENSMODP00000014035
estExt_fgenesh2_pg.C_10341	ENSMODP00000028678
estExt_fgenesh2_pg.C_10356	ENSMODP00000012221
estExt_fgenesh2_pg.C_10359	ENSMODP00000021543
estExt_fgenesh2_pg.C_20001	ENSMODP00000020462
estExt_fgenesh2_pg.C_20002	ENSMODP00000020460
estExt_fgenesh2_pg.C_20003	ENSMODP00000026133
estExt_fgenesh2_pg.C_20008	ENSMODP00000029543
estExt_fgenesh2_pg.C_20011	ENSMODP00000001152
estExt_fgenesh2_pg.C_20014	ENSMODP00000013634
estExt_fgenesh2_pg.C_20014	ENSMODP00000001027
estExt_fgenesh2_pg.C_20027	ENSMODP00000006935
estExt_fgenesh2_pg.C_20029	ENSMODP00000001642
estExt_fgenesh2_pg.C_20034	ENSMODP00000033415
estExt_fgenesh2_pg.C_20037	ENSMODP00000025793
estExt_fgenesh2_pg.C_20044	ENSMODP00000012118
estExt_fgenesh2_pg.C_20044	ENSMODP00000009038
estExt_fgenesh2_pg.C_20047	ENSMODP00000023804
estExt_fgenesh2_pg.C_20058	ENSMODP00000023576
estExt_fgenesh2_pg.C_20067	ENSMODP00000020180
estExt_fgenesh2_pg.C_20073	ENSMODP00000020181
estExt_fgenesh2_pg.C_20083	ENSMODP00000013016
estExt_fgenesh2_pg.C_20085	ENSMODP00000001945
estExt_fgenesh2_pg.C_20096	ENSMODP00000029799
estExt_fgenesh2_pg.C_20103	ENSMODP00000018457
estExt_fgenesh2_pg.C_20105	ENSMODP00000000517
estExt_fgenesh2_pg.C_20106	ENSMODP00000037859
estExt_fgenesh2_pg.C_20112	ENSMODP00000014267
estExt_fgenesh2_pg.C_20116	ENSMODP00000015406
estExt_fgenesh2_pg.C_20119	ENSMODP00000012742
estExt_fgenesh2_pg.C_20143	ENSMODP00000010305
estExt_fgenesh2_pg.C_20168	ENSMODP00000000827
estExt_fgenesh2_pg.C_20180	ENSMODP00000011308
estExt_fgenesh2_pg.C_20191	ENSMODP00000004741
estExt_fgenesh2_pg.C_20191	ENSMODP00000033414
estExt_fgenesh2_pg.C_20191	ENSMODP00000023790
estExt_fgenesh2_pg.C_20192	ENSMODP00000026496
estExt_fgenesh2_pg.C_20193	ENSMODP00000002450
estExt_fgenesh2_pg.C_20194	ENSMODP00000023786
estExt_fgenesh2_pg.C_20206	ENSMODP00000023789
estExt_fgenesh2_pg.C_20227	ENSMODP00000012133
estExt_fgenesh2_pg.C_20245	ENSMODP00000040590
estExt_fgenesh2_pg.C_20254	ENSMODP00000039437
estExt_fgenesh2_pg.C_20266	ENSMODP00000021354
estExt_fgenesh2_pg.C_20313	ENSMODP00000005689
estExt_fgenesh2_pg.C_20313	ENSMODP00000036026
estExt_fgenesh2_pg.C_20313	ENSMODP00000036025
estExt_fgenesh2_pg.C_20314	ENSMODP00000019423
estExt_fgenesh2_pg.C_20317	ENSMODP00000000235
estExt_fgenesh2_pg.C_20336	ENSMODP00000013107
estExt_fgenesh2_pg.C_20344	ENSMODP00000001318
estExt_fgenesh2_pg.C_20344	ENSMODP00000025733
estExt_fgenesh2_pg.C_20344	ENSMODP00000001737
estExt_fgenesh2_pg.C_20344	ENSMODP00000039814
estExt_fgenesh2_pg.C_20351	ENSMODP00000005970
estExt_fgenesh2_pg.C_20385	ENSMODP00000004662
estExt_fgenesh2_pg.C_20386	ENSMODP00000020735
estExt_fgenesh2_pg.C_20386	ENSMODP00000037870
estExt_fgenesh2_pg.C_30041	ENSMODP00000014814
estExt_fgenesh2_pg.C_30089	ENSMODP00000040920
estExt_fgenesh2_pg.C_30103	ENSMODP00000032004
estExt_fgenesh2_pg.C_30108	ENSMODP00000017209
estExt_fgenesh2_pg.C_30108	ENSMODP00000000001
estExt_fgenesh2_pg.C_30116	ENSMODP00000033394
estExt_fgenesh2_pg.C_30125	ENSMODP00000025275
estExt_fgenesh2_pg.C_30139	ENSMODP00000011376
estExt_fgenesh2_pg.C_30182	ENSMODP00000024786
estExt_fgenesh2_pg.C_30182	ENSMODP00000003953
estExt_fgenesh2_pg.C_40056	ENSMODP00000011154
estExt_fgenesh2_pg.C_40065	ENSMODP00000004881
estExt_fgenesh2_pg.C_40065	ENSMODP00000026397
estExt_fgenesh2_pg.C_40065	ENSMODP00000017038
estExt_fgenesh2_pg.C_40066	ENSMODP00000018025
estExt_fgenesh2_pg.C_40072	ENSMODP00000023010
estExt_fgenesh2_pg.C_40113	ENSMODP00000001248
estExt_fgenesh2_pg.C_40172	ENSMODP00000032003
estExt_fgenesh2_pg.C_40173	ENSMODP00000023985
estExt_fgenesh2_pg.C_40192	ENSMODP00000013619
estExt_fgenesh2_pg.C_40199	ENSMODP00000020379
estExt_fgenesh2_pg.C_40220	ENSMODP00000011714
estExt_fgenesh2_pg.C_40240	ENSMODP00000013666
estExt_fgenesh2_pg.C_40253	ENSMODP00000018675
estExt_fgenesh2_pg.C_40256	ENSMODP00000039030
estExt_fgenesh2_pg.C_40258	ENSMODP00000033248
estExt_fgenesh2_pg.C_40281	ENSMODP00000011409
estExt_fgenesh2_pg.C_40281	ENSMODP00000035442
estExt_fgenesh2_pg.C_40284	ENSMODP00000012191
estExt_fgenesh2_pg.C_40290	ENSMODP00000009497
estExt_fgenesh2_pg.C_40299	ENSMODP00000020665
estExt_fgenesh2_pg.C_40309	ENSMODP00000004101
estExt_fgenesh2_pg.C_40324	ENSMODP00000016168
estExt_fgenesh2_pg.C_40324	ENSMODP00000039112
estExt_fgenesh2_pg.C_50011	ENSMODP00000001835
estExt_fgenesh2_pg.C_50023	ENSMODP00000020855
estExt_fgenesh2_pg.C_50035	ENSMODP00000026132
estExt_fgenesh2_pg.C_50035	ENSMODP00000020149
estExt_fgenesh2_pg.C_50043	ENSMODP00000022290
estExt_fgenesh2_pg.C_50075	ENSMODP00000011548
estExt_fgenesh2_pg.C_50082	ENSMODP00000016179
estExt_fgenesh2_pg.C_50130	ENSMODP00000000143
estExt_fgenesh2_pg.C_50130	ENSMODP00000011816
estExt_fgenesh2_pg.C_50141	ENSMODP00000001983
estExt_fgenesh2_pg.C_50187	ENSMODP00000009642
estExt_fgenesh2_pg.C_50261	ENSMODP00000032104
estExt_fgenesh2_pg.C_50293	ENSMODP00000016569
estExt_fgenesh2_pg.C_50294	ENSMODP00000001628
estExt_fgenesh2_pg.C_50318	ENSMODP00000005861
estExt_fgenesh2_pg.C_50323	ENSMODP00000013893
estExt_fgenesh2_pg.C_50344	ENSMODP00000010990
estExt_fgenesh2_pg.C_50344	ENSMODP00000031220
estExt_fgenesh2_pg.C_50344	ENSMODP00000031219
estExt_fgenesh2_pg.C_50344	ENSMODP00000032087
estExt_fgenesh2_pg.C_50344	ENSMODP00000034984
estExt_fgenesh2_pg.C_50396	ENSMODP00000010002
estExt_fgenesh2_pg.C_50413	ENSMODP00000010783
estExt_fgenesh2_pg.C_60015	ENSMODP00000025889
estExt_fgenesh2_pg.C_60021	ENSMODP00000029121
estExt_fgenesh2_pg.C_60061	ENSMODP00000010992
estExt_fgenesh2_pg.C_60073	ENSMODP00000025447
estExt_fgenesh2_pg.C_60076	ENSMODP00000006901
estExt_fgenesh2_pg.C_60084	ENSMODP00000002288
estExt_fgenesh2_pg.C_60112	ENSMODP00000014011
estExt_fgenesh2_pg.C_60113	ENSMODP00000035275
estExt_fgenesh2_pg.C_60122	ENSMODP00000011745
estExt_fgenesh2_pg.C_60149	ENSMODP00000003098
estExt_fgenesh2_pg.C_60149	ENSMODP00000018968
estExt_fgenesh2_pg.C_60165	ENSMODP00000008682
estExt_fgenesh2_pg.C_60168	ENSMODP00000039344
estExt_fgenesh2_pg.C_60184	ENSMODP00000028135
estExt_fgenesh2_pg.C_60220	ENSMODP00000001499
estExt_fgenesh2_pg.C_60246	ENSMODP00000002826
estExt_fgenesh2_pg.C_60246	ENSMODP00000021647
estExt_fgenesh2_pg.C_60246	ENSMODP00000041023
estExt_fgenesh2_pg.C_70133	ENSMODP00000018682
estExt_fgenesh2_pg.C_70177	ENSMODP00000037665
estExt_fgenesh2_pg.C_70201	ENSMODP00000038532
estExt_fgenesh2_pg.C_70230	ENSMODP00000006180
estExt_fgenesh2_pg.C_70281	ENSMODP00000034869
estExt_fgenesh2_pg.C_70288	ENSMODP00000016399
estExt_fgenesh2_pg.C_80031	ENSMODP00000014294
estExt_fgenesh2_pg.C_80041	ENSMODP00000011930
estExt_fgenesh2_pg.C_80044	ENSMODP00000015028
estExt_fgenesh2_pg.C_80050	ENSMODP00000012509
estExt_fgenesh2_pg.C_80055	ENSMODP00000016401
estExt_fgenesh2_pg.C_80059	ENSMODP00000009502
estExt_fgenesh2_pg.C_80118	ENSMODP00000003123
estExt_fgenesh2_pg.C_80162	ENSMODP00000009177
estExt_fgenesh2_pg.C_80189	ENSMODP00000014376
estExt_fgenesh2_pg.C_80189	ENSMODP00000019052
estExt_fgenesh2_pg.C_80191	ENSMODP00000021583
estExt_fgenesh2_pg.C_80204	ENSMODP00000032446
estExt_fgenesh2_pg.C_80218	ENSMODP00000005422
estExt_fgenesh2_pg.C_80223	ENSMODP00000016644
estExt_fgenesh2_pg.C_80223	ENSMODP00000011347
estExt_fgenesh2_pg.C_80253	ENSMODP00000003129
estExt_fgenesh2_pg.C_80253	ENSMODP00000016447
estExt_fgenesh2_pg.C_80283	ENSMODP00000023712
estExt_fgenesh2_pg.C_80293	ENSMODP00000011041
estExt_fgenesh2_pg.C_80310	ENSMODP00000040112
estExt_fgenesh2_pg.C_80312	ENSMODP00000011316
estExt_fgenesh2_pg.C_90008	ENSMODP00000018683
estExt_fgenesh2_pg.C_90049	ENSMODP00000004986
estExt_fgenesh2_pg.C_90058	ENSMODP00000020143
estExt_fgenesh2_pg.C_90118	ENSMODP00000041266
estExt_fgenesh2_pg.C_90121	ENSMODP00000000927
estExt_fgenesh2_pg.C_90156	ENSMODP00000011859
estExt_fgenesh2_pg.C_90188	ENSMODP00000005665
estExt_fgenesh2_pg.C_90188	ENSMODP00000025864
estExt_fgenesh2_pg.C_90208	ENSMODP00000011635
estExt_fgenesh2_pg.C_90213	ENSMODP00000003475
estExt_fgenesh2_pg.C_90213	ENSMODP00000008078
estExt_fgenesh2_pg.C_90217	ENSMODP00000008145
estExt_fgenesh2_pg.C_90220	ENSMODP00000001523
estExt_fgenesh2_pg.C_90221	ENSMODP00000010111
estExt_fgenesh2_pg.C_90260	ENSMODP00000023652
estExt_fgenesh2_pg.C_90272	ENSMODP00000020754
estExt_fgenesh2_pg.C_100018	ENSMODP00000028151
estExt_fgenesh2_pg.C_100032	ENSMODP00000037724
estExt_fgenesh2_pg.C_100032	ENSMODP00000003152
estExt_fgenesh2_pg.C_100046	ENSMODP00000007575
estExt_fgenesh2_pg.C_100080	ENSMODP00000018227
estExt_fgenesh2_pg.C_100121	ENSMODP00000034637
estExt_fgenesh2_pg.C_100138	ENSMODP00000010991
estExt_fgenesh2_pg.C_100168	ENSMODP00000040802
estExt_fgenesh2_pg.C_100169	ENSMODP00000015530
estExt_fgenesh2_pg.C_100176	ENSMODP00000018162
estExt_fgenesh2_pg.C_100176	ENSMODP00000026568
estExt_fgenesh2_pg.C_100177	ENSMODP00000018172
estExt_fgenesh2_pg.C_100208	ENSMODP00000007572
estExt_fgenesh2_pg.C_100209	ENSMODP00000024487
estExt_fgenesh2_pg.C_100214	ENSMODP00000013618
estExt_fgenesh2_pg.C_100229	ENSMODP00000024804
estExt_fgenesh2_pg.C_100251	ENSMODP00000000007
estExt_fgenesh2_pg.C_100251	ENSMODP00000012401
estExt_fgenesh2_pg.C_100267	ENSMODP00000015454
estExt_fgenesh2_pg.C_100273	ENSMODP00000039325
estExt_fgenesh2_pg.C_100275	ENSMODP00000023053
estExt_fgenesh2_pg.C_100276	ENSMODP00000040591
estExt_fgenesh2_pg.C_110064	ENSMODP00000003345
estExt_fgenesh2_pg.C_110084	ENSMODP00000002973
estExt_fgenesh2_pg.C_110107	ENSMODP00000023863
estExt_fgenesh2_pg.C_110154	ENSMODP00000024562
estExt_fgenesh2_pg.C_110185	ENSMODP00000021443
estExt_fgenesh2_pg.C_110221	ENSMODP00000009019
estExt_fgenesh2_pg.C_110221	ENSMODP00000008190
estExt_fgenesh2_pg.C_110221	ENSMODP00000017733
estExt_fgenesh2_pg.C_110235	ENSMODP00000001169
estExt_fgenesh2_pg.C_110259	ENSMODP00000009690
estExt_fgenesh2_pg.C_110260	ENSMODP00000001591
estExt_fgenesh2_pg.C_110276	ENSMODP00000021919
estExt_fgenesh2_pg.C_120008	ENSMODP00000040859
estExt_fgenesh2_pg.C_120008	ENSMODP00000016810
estExt_fgenesh2_pg.C_120019	ENSMODP00000039482
