ENSP00000001008	SINCAM006004
ENSP00000262426	SINCAM010383
ENSP00000262428	SINCAM010391
ENSP00000262429	SINCAM010393
ENSP00000262430	SINCAM010397
ENSP00000262432	SINCAM922655
ENSP00000262435	SINCAM012477
ENSP00000262441	SINCAM012392
ENSP00000262442	SINCAM012375
ENSP00000262445	SINCAM012379
ENSP00000262450	SINCAM013679
ENSP00000262455	SINCAM002128
ENSP00000262457	SINCAM002127
ENSP00000262460	SINCAM003639
ENSP00000262461	SINCAM900214
ENSP00000262462	SINCAM900210
ENSP00000262477	SINCAM008568
ENSP00000262483	SINCAM008713
ENSP00000262487	SINCAM008477
ENSP00000262494	SINCAM010615
ENSP00000262498	SINCAM001550
ENSP00000262506	SINCAM010641
ENSP00000262510	SINCAM922096
ENSP00000262518	SINCAM016911
ENSP00000262525	SINCAM007701
ENSP00000262545	SINCAM003767
ENSP00000262547	SINCAM003593
ENSP00000262551	SINCAM009594
ENSP00000262554	SINCAM900202
ENSP00000262570	SINCAM006159
ENSP00000262577	SINCAM001581
ENSP00000262585	SINCAM002642
ENSP00000262593	SINCAM011957
ENSP00000262608	SINCAM920996
ENSP00000262613	SINCAM012431
ENSP00000262622	SINCAM010331
ENSP00000262640	SINCAM010765
ENSP00000262643	SINCAM010493
ENSP00000262644	SINCAM002547
ENSP00000262646	SINCAM002554
ENSP00000262648	SINCAM004911
ENSP00000262650	SINCAM011816
ENSP00000262659	SINCAM011835
ENSP00000262713	SINCAM010340
ENSP00000262717	SINCAM001940
ENSP00000262719	SINCAM001943
ENSP00000262726	SINCAM006025
ENSP00000262738	SINCAM006070
ENSP00000262741	SINCAM005459
ENSP00000262746	SINCAM920922
ENSP00000262753	SINCAM922289
ENSP00000262764	SINCAM012524
ENSP00000262765	SINCAM012706
ENSP00000262768	SINCAM012531
ENSP00000262776	SINCAM000086
ENSP00000262794	SINCAM006083
ENSP00000262803	SINCAM012997
ENSP00000262809	SINCAM012979
ENSP00000262811	SINCAM013003
ENSP00000262812	SINCAM922464
ENSP00000262839	SINCAM010981
ENSP00000262843	SINCAM010722
ENSP00000262848	SINCAM004986
ENSP00000262865	SINCAM011909
ENSP00000262866	SINCAM922392
ENSP00000262873	SINCAM011779
ENSP00000262878	SINCAM011814
ENSP00000262879	SINCAM922383
ENSP00000262887	SINCAM015549
ENSP00000262903	SINCAM003239
ENSP00000262904	SINCAM001839
ENSP00000262915	SINCAM005420
ENSP00000262916	SINCAM009084
ENSP00000262919	SINCAM000739
ENSP00000262932	SINCAM015061
ENSP00000262940	SINCAM008830
ENSP00000262942	SINCAM922036
ENSP00000262947	SINCAM012756
ENSP00000262948	SINCAM012797
ENSP00000262960	SINCAM012788
ENSP00000262962	SINCAM012775
ENSP00000262966	SINCAM012769
ENSP00000262971	SINCAM012795
ENSP00000262982	SINCAM012005
ENSP00000262990	SINCAM000310
ENSP00000262995	SINCAM000313
ENSP00000263026	SINCAM011253
ENSP00000263035	SINCAM921043
ENSP00000263038	SINCAM006198
ENSP00000263056	SINCAM001616
ENSP00000263062	SINCAM001624
ENSP00000263063	SINCAM001617
ENSP00000263071	SINCAM008782
ENSP00000263073	SINCAM008805
ENSP00000263080	SINCAM008637
ENSP00000263083	SINCAM008609
ENSP00000263087	SINCAM008822
ENSP00000263088	SINCAM922942
ENSP00000263092	SINCAM008634
ENSP00000263094	SINCAM012741
ENSP00000263116	SINCAM007370
ENSP00000263121	SINCAM921416
ENSP00000263125	SINCAM006186
ENSP00000263160	SINCAM922250
ENSP00000263168	SINCAM009863
ENSP00000263177	SINCAM005402
ENSP00000263181	SINCAM014850
ENSP00000263182	SINCAM011667
ENSP00000263187	SINCAM005323
ENSP00000263196	SINCAM007341
ENSP00000263202	SINCAM007390
ENSP00000263205	SINCAM007727
ENSP00000263207	SINCAM007714
ENSP00000263208	SINCAM007384
ENSP00000263209	SINCAM007717
ENSP00000263228	SINCAM920637
ENSP00000263233	SINCAM012087
ENSP00000263238	SINCAM006421
ENSP00000263239	SINCAM006425
ENSP00000263245	SINCAM921006
ENSP00000263246	SINCAM005930
ENSP00000263253	SINCAM014818
ENSP00000263256	SINCAM014831
ENSP00000263268	SINCAM922642
ENSP00000263270	SINCAM900272
ENSP00000263277	SINCAM015152
ENSP00000263285	SINCAM009456
ENSP00000263317	SINCAM004673
ENSP00000263321	SINCAM004674
ENSP00000263331	SINCAM003402
ENSP00000263341	SINCAM014396
ENSP00000263346	SINCAM010466
ENSP00000263360	SINCAM004684
ENSP00000263368	SINCAM000398
ENSP00000263370	SINCAM015686
ENSP00000263377	SINCAM014451
ENSP00000263381	SINCAM014459
ENSP00000263383	SINCAM922704
ENSP00000263384	SINCAM012811
ENSP00000263388	SINCAM014483
ENSP00000263390	SINCAM012822
ENSP00000263409	SINCAM001467
ENSP00000263413	SINCAM015071
ENSP00000263461	SINCAM007256
ENSP00000263468	SINCAM004320
ENSP00000263512	SINCAM010428
ENSP00000263519	SINCAM014848
ENSP00000263549	SINCAM006487
ENSP00000263563	SINCAM006948
ENSP00000263574	SINCAM013870
ENSP00000263578	SINCAM922705
ENSP00000263579	SINCAM922707
ENSP00000263593	SINCAM013867
ENSP00000263610	SINCAM007976
ENSP00000263620	SINCAM012736
ENSP00000263635	SINCAM006812
ENSP00000263640	SINCAM001697
ENSP00000263642	SINCAM921617
ENSP00000263645	SINCAM011537
ENSP00000263655	SINCAM003763
ENSP00000263657	SINCAM003761
ENSP00000263663	SINCAM002990
ENSP00000263666	SINCAM009656
ENSP00000263672	SINCAM004009
ENSP00000263674	SINCAM004916
ENSP00000263681	SINCAM004007
ENSP00000263686	SINCAM920857
ENSP00000263688	SINCAM005238
ENSP00000263694	SINCAM009001
ENSP00000263697	SINCAM921760
ENSP00000263702	SINCAM008987
ENSP00000263708	SINCAM006350
ENSP00000263710	SINCAM006359
ENSP00000263713	SINCAM006351
ENSP00000263726	SINCAM005180
ENSP00000263733	SINCAM005157
ENSP00000263734	SINCAM003970
ENSP00000263736	SINCAM003969
ENSP00000263753	SINCAM002192
ENSP00000263754	SINCAM002191
ENSP00000263773	SINCAM017411
ENSP00000263774	SINCAM922242
ENSP00000263776	SINCAM011648
ENSP00000263780	SINCAM004145
ENSP00000263795	SINCAM922596
ENSP00000263798	SINCAM008408
ENSP00000263800	SINCAM008403
ENSP00000263805	SINCAM008461
ENSP00000263816	SINCAM006784
ENSP00000263817	SINCAM006786
ENSP00000263847	SINCAM007421
ENSP00000263849	SINCAM002595
ENSP00000263857	SINCAM000704
ENSP00000263864	SINCAM014402
ENSP00000263881	SINCAM003617
ENSP00000263897	SINCAM012915
ENSP00000263904	SINCAM921546
ENSP00000263915	SINCAM006800
ENSP00000263918	SINCAM003511
ENSP00000263921	SINCAM000549
ENSP00000263923	SINCAM000554
ENSP00000263925	SINCAM000548
ENSP00000263934	SINCAM013846
ENSP00000263946	SINCAM012248
ENSP00000263955	SINCAM006625
ENSP00000263956	SINCAM006623
ENSP00000263960	SINCAM006550
ENSP00000263966	SINCAM009568
ENSP00000263967	SINCAM009562
ENSP00000263974	SINCAM921758
ENSP00000263980	SINCAM009053
ENSP00000263985	SINCAM000238
ENSP00000263991	SINCAM003800
ENSP00000263997	SINCAM010629
ENSP00000264005	SINCAM010598
ENSP00000264010	SINCAM922081
ENSP00000264012	SINCAM922057
ENSP00000264018	SINCAM014012
ENSP00000264020	SINCAM922742
ENSP00000264025	SINCAM014019
ENSP00000264027	SINCAM013938
ENSP00000264028	SINCAM922732
ENSP00000264031	SINCAM014016
ENSP00000264033	SINCAM014007
ENSP00000264036	SINCAM922741
ENSP00000264039	SINCAM009384
ENSP00000264042	SINCAM009396
ENSP00000264047	SINCAM004751
ENSP00000264051	SINCAM009467
ENSP00000264057	SINCAM921941
ENSP00000264059	SINCAM009464
ENSP00000264065	SINCAM006675
ENSP00000264072	SINCAM922873
ENSP00000264079	SINCAM014420
ENSP00000264080	SINCAM922921
ENSP00000264108	SINCAM922769
ENSP00000264110	SINCAM006715
ENSP00000264122	SINCAM004190
ENSP00000264151	SINCAM006646
ENSP00000264156	SINCAM006405
ENSP00000264157	SINCAM006413
ENSP00000264159	SINCAM006410
ENSP00000264160	SINCAM006409
ENSP00000264161	SINCAM006404
ENSP00000264162	SINCAM006406
ENSP00000264167	SINCAM006698
ENSP00000264170	SINCAM006389
ENSP00000264183	SINCAM003446
ENSP00000264187	SINCAM003440
ENSP00000264192	SINCAM006772
ENSP00000264193	SINCAM004070
ENSP00000264198	SINCAM013785
ENSP00000264218	SINCAM920505
ENSP00000264220	SINCAM000563
ENSP00000264228	SINCAM000555
ENSP00000264230	SINCAM000104
ENSP00000264231	SINCAM004252
ENSP00000264233	SINCAM921276
ENSP00000264234	SINCAM921343
ENSP00000264245	SINCAM004597
ENSP00000264249	SINCAM004717
ENSP00000264254	SINCAM016472
ENSP00000264255	SINCAM004711
ENSP00000264257	SINCAM004730
ENSP00000264260	SINCAM004736
ENSP00000264276	SINCAM006517
ENSP00000264279	SINCAM006469
ENSP00000264313	SINCAM000531
ENSP00000264316	SINCAM920501
ENSP00000264318	SINCAM000518
ENSP00000264335	SINCAM008793
ENSP00000264344	SINCAM000025
ENSP00000264346	SINCAM000023
ENSP00000264357	SINCAM010950
ENSP00000264360	SINCAM000288
ENSP00000264363	SINCAM000146
ENSP00000264377	SINCAM006531
ENSP00000264380	SINCAM006599
ENSP00000264381	SINCAM009524
ENSP00000264389	SINCAM000415
ENSP00000264400	SINCAM000385
ENSP00000264414	SINCAM009504
ENSP00000264424	SINCAM922929
ENSP00000264428	SINCAM000193
ENSP00000264431	SINCAM000200
ENSP00000264433	SINCAM000199
ENSP00000264434	SINCAM922802
ENSP00000264436	SINCAM014312
ENSP00000264444	SINCAM014358
ENSP00000264448	SINCAM000788
ENSP00000264451	SINCAM000510
ENSP00000264454	SINCAM001524
ENSP00000264498	SINCAM000017
ENSP00000264499	SINCAM000010
ENSP00000264501	SINCAM920427
ENSP00000264515	SINCAM922496
ENSP00000264538	SINCAM002195
ENSP00000264554	SINCAM012987
ENSP00000264595	SINCAM000621
ENSP00000264596	SINCAM000622
ENSP00000264605	SINCAM921564
ENSP00000264606	SINCAM006482
ENSP00000264607	SINCAM001929
ENSP00000264613	SINCAM009210
ENSP00000264638	SINCAM013431
ENSP00000264639	SINCAM013373
ENSP00000264645	SINCAM013376
ENSP00000264649	SINCAM013495
ENSP00000264657	SINCAM013493
ENSP00000264658	SINCAM013370
ENSP00000264659	SINCAM013337
ENSP00000264663	SINCAM920624
ENSP00000264664	SINCAM920623
ENSP00000264668	SINCAM002119
ENSP00000264669	SINCAM002118
ENSP00000264670	SINCAM002002
ENSP00000264674	SINCAM009293
ENSP00000264689	SINCAM000594
ENSP00000264703	SINCAM003099
ENSP00000264705	SINCAM921093
ENSP00000264709	SINCAM003059
ENSP00000264710	SINCAM003064
ENSP00000264716	SINCAM003929
ENSP00000264717	SINCAM003098
ENSP00000264734	SINCAM013605
ENSP00000264735	SINCAM009197
ENSP00000264741	SINCAM001665
ENSP00000264758	SINCAM000662
ENSP00000264771	SINCAM000386
ENSP00000264775	SINCAM001295
ENSP00000264779	SINCAM001285
ENSP00000264784	SINCAM000261
ENSP00000264808	SINCAM920446
ENSP00000264819	SINCAM013013
ENSP00000264828	SINCAM007758
ENSP00000264852	SINCAM004527
ENSP00000264864	SINCAM000466
ENSP00000264867	SINCAM000459
ENSP00000264870	SINCAM001887
ENSP00000264883	SINCAM000403
ENSP00000264893	SINCAM010185
ENSP00000264895	SINCAM920482
ENSP00000264896	SINCAM000404
ENSP00000264903	SINCAM000373
ENSP00000264908	SINCAM920483
ENSP00000264914	SINCAM920609
ENSP00000264917	SINCAM001234
ENSP00000264926	SINCAM009868
ENSP00000264930	SINCAM001790
ENSP00000264932	SINCAM001693
ENSP00000264933	SINCAM001788
ENSP00000264935	SINCAM001801
ENSP00000264938	SINCAM001802
ENSP00000264951	SINCAM921922
ENSP00000264952	SINCAM009271
ENSP00000264954	SINCAM000178
ENSP00000264968	SINCAM004936
ENSP00000264972	SINCAM012853
ENSP00000264977	SINCAM009450
ENSP00000264982	SINCAM006441
ENSP00000264990	SINCAM001894
ENSP00000264992	SINCAM001921
ENSP00000264993	SINCAM002240
ENSP00000264995	SINCAM001916
ENSP00000265000	SINCAM000642
ENSP00000265007	SINCAM010150
ENSP00000265022	SINCAM014182
ENSP00000265026	SINCAM923014
ENSP00000265029	SINCAM921936
ENSP00000265036	SINCAM001280
ENSP00000265038	SINCAM920618
ENSP00000265044	SINCAM009542
ENSP00000265052	SINCAM009803
ENSP00000265056	SINCAM009799
ENSP00000265062	SINCAM922153
ENSP00000265069	SINCAM012752
ENSP00000265070	SINCAM900260
ENSP00000265071	SINCAM001936
ENSP00000265073	SINCAM920638
ENSP00000265074	SINCAM001343
ENSP00000265077	SINCAM001175
ENSP00000265080	SINCAM001182
ENSP00000265081	SINCAM001183
ENSP00000265085	SINCAM010077
ENSP00000265087	SINCAM000436
ENSP00000265094	SINCAM010171
ENSP00000265097	SINCAM010020
ENSP00000265104	SINCAM002197
ENSP00000265107	SINCAM017394
ENSP00000265113	SINCAM001479
ENSP00000265131	SINCAM007765
ENSP00000265132	SINCAM921497
ENSP00000265136	SINCAM920745
ENSP00000265138	SINCAM001159
ENSP00000265140	SINCAM001151
ENSP00000265148	SINCAM000106
ENSP00000265162	SINCAM000367
ENSP00000265164	SINCAM000256
ENSP00000265165	SINCAM000076
ENSP00000265171	SINCAM000369
ENSP00000265174	SINCAM000332
ENSP00000265175	SINCAM921853
ENSP00000265191	SINCAM014599
ENSP00000265239	SINCAM009328
ENSP00000265245	SINCAM921918
ENSP00000265260	SINCAM004175
ENSP00000265271	SINCAM010214
ENSP00000265272	SINCAM010139
ENSP00000265276	SINCAM006872
ENSP00000265295	SINCAM009718
ENSP00000265299	SINCAM001527
ENSP00000265310	SINCAM012412
ENSP00000265316	SINCAM006281
ENSP00000265322	SINCAM006287
ENSP00000265333	SINCAM009994
ENSP00000265335	SINCAM911044
ENSP00000265339	SINCAM009988
ENSP00000265340	SINCAM009975
ENSP00000265343	SINCAM010189
ENSP00000265350	SINCAM012147
ENSP00000265351	SINCAM003944
ENSP00000265354	SINCAM003718
ENSP00000265361	SINCAM006100
ENSP00000265362	SINCAM009774
ENSP00000265371	SINCAM001627
ENSP00000265372	SINCAM001632
ENSP00000265379	SINCAM001775
ENSP00000265381	SINCAM000963
ENSP00000265382	SINCAM000969
ENSP00000265388	SINCAM006229
ENSP00000265395	SINCAM001969
ENSP00000265404	SINCAM000864
ENSP00000265431	SINCAM002380
ENSP00000265433	SINCAM002382
ENSP00000265437	SINCAM012081
ENSP00000265440	SINCAM005829
ENSP00000265441	SINCAM005834
ENSP00000265459	SINCAM008485
ENSP00000265465	SINCAM017380
ENSP00000265471	SINCAM014973
ENSP00000265498	SINCAM920475
ENSP00000265560	SINCAM009765
ENSP00000265562	SINCAM001489
ENSP00000265563	SINCAM922150
ENSP00000265564	SINCAM001907
ENSP00000265565	SINCAM001488
ENSP00000265572	SINCAM002527
ENSP00000265593	SINCAM009175
ENSP00000265594	SINCAM009166
ENSP00000265598	SINCAM921913
ENSP00000265605	SINCAM003288
ENSP00000265634	SINCAM011226
ENSP00000265641	SINCAM014847
ENSP00000265643	SINCAM014742
ENSP00000265651	SINCAM015976
ENSP00000265689	SINCAM011641
ENSP00000265709	SINCAM002640
ENSP00000265715	SINCAM920934
ENSP00000265717	SINCAM005511
ENSP00000265720	SINCAM920932
ENSP00000265724	SINCAM001703
ENSP00000265727	SINCAM001707
ENSP00000265728	SINCAM001706
ENSP00000265729	SINCAM002218
ENSP00000265732	SINCAM002024
ENSP00000265734	SINCAM922643
ENSP00000265741	SINCAM002216
ENSP00000265742	SINCAM002208
ENSP00000265748	SINCAM000335
ENSP00000265753	SINCAM008584
ENSP00000265807	SINCAM000116
ENSP00000265825	SINCAM006224
ENSP00000265838	SINCAM004783
ENSP00000265840	SINCAM004778
ENSP00000265846	SINCAM014802
ENSP00000265849	SINCAM011236
ENSP00000265857	SINCAM011216
ENSP00000265872	SINCAM006908
ENSP00000265881	SINCAM013900
ENSP00000265896	SINCAM002307
ENSP00000265909	SINCAM922726
ENSP00000265922	SINCAM007770
ENSP00000265944	SINCAM920660
ENSP00000265960	SINCAM008005
ENSP00000265963	SINCAM011544
ENSP00000265967	SINCAM011543
ENSP00000265969	SINCAM011540
ENSP00000265970	SINCAM922230
ENSP00000265978	SINCAM015469
ENSP00000265981	SINCAM011523
ENSP00000265986	SINCAM007171
ENSP00000265990	SINCAM007174
ENSP00000265997	SINCAM007173
ENSP00000266025	SINCAM009887
ENSP00000266037	SINCAM922171
ENSP00000266041	SINCAM009581
ENSP00000266066	SINCAM009783
ENSP00000266068	SINCAM922413
ENSP00000266069	SINCAM922427
ENSP00000266070	SINCAM011759
ENSP00000266079	SINCAM012014
ENSP00000266085	SINCAM005914
ENSP00000266086	SINCAM007362
ENSP00000266087	SINCAM005916
ENSP00000266088	SINCAM007363
ENSP00000266126	SINCAM015214
ENSP00000266214	SINCAM007327
ENSP00000266254	SINCAM012279
ENSP00000266263	SINCAM921432
ENSP00000266269	SINCAM007353
ENSP00000266304	SINCAM014823
ENSP00000266376	SINCAM921001
ENSP00000266383	SINCAM005937
ENSP00000266397	SINCAM014775
ENSP00000266483	SINCAM006067
ENSP00000266505	SINCAM005585
ENSP00000266517	SINCAM005559
ENSP00000266529	SINCAM005860
ENSP00000266534	SINCAM005731
ENSP00000266544	SINCAM920951
ENSP00000266556	SINCAM010653
ENSP00000266581	SINCAM920975
ENSP00000266604	SINCAM005784
ENSP00000266643	SINCAM014039
ENSP00000266659	SINCAM005679
ENSP00000266671	SINCAM920966
ENSP00000266673	SINCAM920982
ENSP00000266674	SINCAM005749
ENSP00000266682	SINCAM005761
ENSP00000266688	SINCAM005772
ENSP00000266712	SINCAM005686
ENSP00000266718	SINCAM005692
ENSP00000266719	SINCAM005691
ENSP00000266732	SINCAM920938
ENSP00000266736	SINCAM920941
ENSP00000266744	SINCAM005665
ENSP00000266771	SINCAM007572
ENSP00000266970	SINCAM921585
ENSP00000266987	SINCAM014128
ENSP00000266991	SINCAM014141
ENSP00000267012	SINCAM014190
ENSP00000267017	SINCAM922760
ENSP00000267064	SINCAM014179
ENSP00000267082	SINCAM014154
ENSP00000267101	SINCAM900264
ENSP00000267102	SINCAM014142
ENSP00000267103	SINCAM014159
ENSP00000267116	SINCAM014034
ENSP00000267163	SINCAM004297
ENSP00000267197	SINCAM007551
ENSP00000267199	SINCAM007556
ENSP00000267202	SINCAM007566
ENSP00000267205	SINCAM007550
ENSP00000267229	SINCAM004512
ENSP00000267257	SINCAM007411
ENSP00000267260	SINCAM008753
ENSP00000267273	SINCAM004305
ENSP00000267287	SINCAM004593
ENSP00000267328	SINCAM004425
ENSP00000267339	SINCAM004417
ENSP00000267377	SINCAM921657
ENSP00000267415	SINCAM010318
ENSP00000267426	SINCAM001805
ENSP00000267430	SINCAM008120
ENSP00000267436	SINCAM921642
ENSP00000267460	SINCAM008342
ENSP00000267484	SINCAM008104
ENSP00000267485	SINCAM008335
ENSP00000267569	SINCAM015218
ENSP00000267584	SINCAM921692
ENSP00000267594	SINCAM008071
ENSP00000267615	SINCAM008076
ENSP00000267622	SINCAM008052
ENSP00000267807	SINCAM900069
ENSP00000267812	SINCAM013181
ENSP00000267814	SINCAM013216
ENSP00000267838	SINCAM922667
ENSP00000267842	SINCAM013126
ENSP00000267843	SINCAM900048
ENSP00000267845	SINCAM016171
ENSP00000267853	SINCAM922676
ENSP00000267859	SINCAM900139
ENSP00000267890	SINCAM921670
ENSP00000267935	SINCAM013249
ENSP00000267970	SINCAM013149
ENSP00000267973	SINCAM900165
ENSP00000267984	SINCAM900112
ENSP00000268035	SINCAM013157
ENSP00000268042	SINCAM900088
ENSP00000268043	SINCAM005424
ENSP00000268053	SINCAM922697
ENSP00000268057	SINCAM922614
ENSP00000268058	SINCAM007334
ENSP00000268070	SINCAM922686
ENSP00000268099	SINCAM922701
ENSP00000268122	SINCAM013056
ENSP00000268124	SINCAM013055
ENSP00000268125	SINCAM922588
ENSP00000268129	SINCAM013058
ENSP00000268130	SINCAM013062
ENSP00000268138	SINCAM922587
ENSP00000268154	SINCAM900095
ENSP00000268171	SINCAM013180
ENSP00000268182	SINCAM013186
ENSP00000268184	SINCAM013185
ENSP00000268206	SINCAM900105
ENSP00000268220	SINCAM013262
ENSP00000268261	SINCAM011367
ENSP00000268296	SINCAM002769
ENSP00000268379	SINCAM922011
ENSP00000268383	SINCAM011251
ENSP00000268389	SINCAM011249
ENSP00000268459	SINCAM010523
ENSP00000268482	SINCAM010414
ENSP00000268489	SINCAM010412
ENSP00000268533	SINCAM922043
ENSP00000268603	SINCAM010359
ENSP00000268607	SINCAM011827
ENSP00000268613	SINCAM010399
ENSP00000268616	SINCAM010477
ENSP00000268624	SINCAM017183
ENSP00000268638	SINCAM010382
ENSP00000268668	SINCAM011416
ENSP00000268676	SINCAM010449
ENSP00000268695	SINCAM010313
ENSP00000268699	SINCAM922059
ENSP00000268704	SINCAM010454
ENSP00000268711	SINCAM922027
ENSP00000268712	SINCAM008818
ENSP00000268717	SINCAM011065
ENSP00000268719	SINCAM011203
ENSP00000268766	SINCAM008662
ENSP00000268797	SINCAM010566
ENSP00000268802	SINCAM010433
ENSP00000268835	SINCAM011058
ENSP00000268854	SINCAM017916
ENSP00000268864	SINCAM008746
ENSP00000268876	SINCAM000970
ENSP00000268933	SINCAM922173
ENSP00000268989	SINCAM008632
ENSP00000269033	SINCAM008678
ENSP00000269051	SINCAM006950
ENSP00000269053	SINCAM004038
ENSP00000269095	SINCAM016479
ENSP00000269097	SINCAM013452
ENSP00000269122	SINCAM008597
ENSP00000269141	SINCAM002695
ENSP00000269143	SINCAM010447
ENSP00000269187	SINCAM920754
ENSP00000269195	SINCAM002134
ENSP00000269197	SINCAM002436
ENSP00000269202	SINCAM002809
ENSP00000269209	SINCAM002440
ENSP00000269214	SINCAM920788
ENSP00000269216	SINCAM002506
ENSP00000269221	SINCAM002672
ENSP00000269228	SINCAM002673
ENSP00000269321	SINCAM012485
ENSP00000269346	SINCAM012575
ENSP00000269349	SINCAM003636
ENSP00000269373	SINCAM012366
ENSP00000269383	SINCAM012414
ENSP00000269391	SINCAM012703
ENSP00000269394	SINCAM012666
ENSP00000269397	SINCAM012564
ENSP00000269445	SINCAM001431
ENSP00000269466	SINCAM001420
ENSP00000269499	SINCAM920716
ENSP00000269503	SINCAM002421
ENSP00000269554	SINCAM922626
ENSP00000269571	SINCAM013440
ENSP00000269582	SINCAM013438
ENSP00000269593	SINCAM013447
ENSP00000269601	SINCAM002276
ENSP00000269701	SINCAM014457
ENSP00000269703	SINCAM014447
ENSP00000269720	SINCAM922866
ENSP00000269740	SINCAM012908
ENSP00000269844	SINCAM004077
ENSP00000269848	SINCAM006544
ENSP00000269878	SINCAM012841
ENSP00000269886	SINCAM012768
ENSP00000269919	SINCAM012951
ENSP00000269967	SINCAM015104
ENSP00000269980	SINCAM015122
ENSP00000270112	SINCAM004071
ENSP00000270115	SINCAM011521
ENSP00000270142	SINCAM004535
ENSP00000270162	SINCAM004107
ENSP00000270176	SINCAM017807
ENSP00000270225	SINCAM922894
ENSP00000270257	SINCAM016153
ENSP00000270349	SINCAM002014
ENSP00000270502	SINCAM014499
ENSP00000270538	SINCAM922441
ENSP00000270560	SINCAM015262
ENSP00000270570	SINCAM008616
ENSP00000270583	SINCAM010474
ENSP00000270586	SINCAM923020
ENSP00000270625	SINCAM014786
ENSP00000270631	SINCAM014740
ENSP00000270708	SINCAM013809
ENSP00000270722	SINCAM013805
ENSP00000270747	SINCAM013729
ENSP00000270776	SINCAM013847
ENSP00000270792	SINCAM009020
ENSP00000270824	SINCAM900233
ENSP00000270861	SINCAM000130
ENSP00000271064	SINCAM922944
ENSP00000271139	SINCAM920907
ENSP00000271227	SINCAM005394
ENSP00000271234	SINCAM005384
ENSP00000271277	SINCAM012105
ENSP00000271308	SINCAM012164
ENSP00000271324	SINCAM922542
ENSP00000271331	SINCAM922492
ENSP00000271332	SINCAM012201
ENSP00000271348	SINCAM921315
ENSP00000271375	SINCAM004157
ENSP00000271417	SINCAM921271
ENSP00000271452	SINCAM005262
ENSP00000271588	SINCAM005219
ENSP00000271636	SINCAM015090
ENSP00000271651	SINCAM008950
ENSP00000271688	SINCAM900127
ENSP00000271732	SINCAM017794
ENSP00000271751	SINCAM003862
ENSP00000271764	SINCAM012166
ENSP00000271843	SINCAM001072
ENSP00000271915	SINCAM001100
ENSP00000271971	SINCAM003574
ENSP00000272067	SINCAM002956
ENSP00000272091	SINCAM003695
ENSP00000272133	SINCAM003740
ENSP00000272134	SINCAM003904
ENSP00000272139	SINCAM900240
ENSP00000272164	SINCAM001480
ENSP00000272190	SINCAM012123
ENSP00000272203	SINCAM012122
ENSP00000272217	SINCAM012243
ENSP00000272227	SINCAM008889
ENSP00000272233	SINCAM921084
ENSP00000272252	SINCAM003623
ENSP00000272286	SINCAM003960
ENSP00000272317	SINCAM009466
ENSP00000272321	SINCAM003798
ENSP00000272322	SINCAM003795
ENSP00000272342	SINCAM003757
ENSP00000272369	SINCAM003756
ENSP00000272371	SINCAM003052
ENSP00000272418	SINCAM003384
ENSP00000272424	SINCAM921028
ENSP00000272427	SINCAM920536
ENSP00000272433	SINCAM000773
ENSP00000272438	SINCAM000780
ENSP00000272444	SINCAM922841
ENSP00000272452	SINCAM005122
ENSP00000272519	SINCAM006353
ENSP00000272520	SINCAM006432
ENSP00000272542	SINCAM014383
ENSP00000272638	SINCAM006408
ENSP00000272641	SINCAM006395
ENSP00000272643	SINCAM006402
ENSP00000272645	SINCAM009413
ENSP00000272647	SINCAM009407
ENSP00000272732	SINCAM006719
ENSP00000272748	SINCAM006713
ENSP00000272771	SINCAM006629
ENSP00000272847	SINCAM006600
ENSP00000272902	SINCAM009646
ENSP00000272907	SINCAM009290
ENSP00000272928	SINCAM921566
ENSP00000272930	SINCAM006456
ENSP00000272937	SINCAM921964
ENSP00000272995	SINCAM921917
ENSP00000273037	SINCAM009607
ENSP00000273047	SINCAM002188
ENSP00000273064	SINCAM006279
ENSP00000273067	SINCAM006301
ENSP00000273130	SINCAM002201
ENSP00000273179	SINCAM001496
ENSP00000273183	SINCAM001673
ENSP00000273221	SINCAM009619
ENSP00000273258	SINCAM009670
ENSP00000273261	SINCAM009677
ENSP00000273308	SINCAM014031
ENSP00000273317	SINCAM001911
ENSP00000273352	SINCAM004169
ENSP00000273359	SINCAM004456
ENSP00000273371	SINCAM004215
ENSP00000273375	SINCAM004246
ENSP00000273390	SINCAM004221
ENSP00000273398	SINCAM004439
ENSP00000273450	SINCAM009814
ENSP00000273480	SINCAM921925
ENSP00000273550	SINCAM011560
ENSP00000273588	SINCAM922161
ENSP00000273590	SINCAM009762
ENSP00000273596	SINCAM009886
ENSP00000273598	SINCAM922160
ENSP00000273666	SINCAM004248
ENSP00000273668	SINCAM006328
ENSP00000273783	SINCAM009153
ENSP00000273814	SINCAM000810
ENSP00000273853	SINCAM000083
ENSP00000273854	SINCAM000082
ENSP00000273857	SINCAM000524
ENSP00000273859	SINCAM000522
ENSP00000273861	SINCAM000533
ENSP00000273905	SINCAM920486
ENSP00000273920	SINCAM000423
ENSP00000273962	SINCAM000352
ENSP00000273963	SINCAM000397
ENSP00000273968	SINCAM011747
ENSP00000273980	SINCAM015080
ENSP00000273986	SINCAM000798
ENSP00000274000	SINCAM000365
ENSP00000274008	SINCAM000019
ENSP00000274024	SINCAM000154
ENSP00000274026	SINCAM000009
ENSP00000274031	SINCAM000301
ENSP00000274054	SINCAM000202
ENSP00000274063	SINCAM000247
