SINCAM011582	ENSLOCP00000000004
SINCAM014167	ENSLOCP00000005252
SINCAM008845	ENSLOCP00000005253
SINCAM012843	ENSLOCP00000005255
SINCAM010458	ENSLOCP00000005259
SINCAM005412	ENSLOCP00000005261
SINCAM009481	ENSLOCP00000005262
SINCAM007010	ENSLOCP00000005263
SINCAM002780	ENSLOCP00000005265
SINCAM007911	ENSLOCP00000005266
SINCAM008633	ENSLOCP00000005269
SINCAM006509	ENSLOCP00000005270
SINCAM921266	ENSLOCP00000005271
SINCAM920627	ENSLOCP00000005274
SINCAM011120	ENSLOCP00000005275
SINCAM922256	ENSLOCP00000005276
SINCAM005147	ENSLOCP00000005278
SINCAM008969	ENSLOCP00000005280
SINCAM007024	ENSLOCP00000005283
SINCAM921512	ENSLOCP00000005284
SINCAM014205	ENSLOCP00000005285
SINCAM009483	ENSLOCP00000005286
SINCAM012724	ENSLOCP00000005288
SINCAM007679	ENSLOCP00000005289
SINCAM013952	ENSLOCP00000005290
SINCAM921267	ENSLOCP00000005292
SINCAM008634	ENSLOCP00000005293
SINCAM013807	ENSLOCP00000005295
SINCAM008970	ENSLOCP00000005296
SINCAM006632	ENSLOCP00000005297
SINCAM006041	ENSLOCP00000005298
SINCAM920626	ENSLOCP00000005299
SINCAM921984	ENSLOCP00000005300
SINCAM013527	ENSLOCP00000005302
SINCAM921513	ENSLOCP00000005303
SINCAM007023	ENSLOCP00000005304
SINCAM010431	ENSLOCP00000005308
SINCAM922441	ENSLOCP00000005309
SINCAM921268	ENSLOCP00000005310
SINCAM008635	ENSLOCP00000005311
SINCAM922258	ENSLOCP00000005312
SINCAM016022	ENSLOCP00000005315
SINCAM921965	ENSLOCP00000005318
SINCAM015466	ENSLOCP00000005322
SINCAM922754	ENSLOCP00000005323
SINCAM002145	ENSLOCP00000005326
SINCAM004456	ENSLOCP00000005329
SINCAM900017	ENSLOCP00000005330
SINCAM921964	ENSLOCP00000005332
SINCAM010430	ENSLOCP00000005334
SINCAM013950	ENSLOCP00000005335
SINCAM011444	ENSLOCP00000005337
SINCAM008636	ENSLOCP00000005339
SINCAM007678	ENSLOCP00000005340
SINCAM014229	ENSLOCP00000005342
SINCAM007021	ENSLOCP00000005343
SINCAM006612	ENSLOCP00000005344
SINCAM011718	ENSLOCP00000005345
SINCAM922443	ENSLOCP00000005346
SINCAM007752	ENSLOCP00000005347
SINCAM015467	ENSLOCP00000005349
SINCAM007807	ENSLOCP00000005351
SINCAM009477	ENSLOCP00000005353
SINCAM004821	ENSLOCP00000005355
SINCAM007020	ENSLOCP00000005356
SINCAM012003	ENSLOCP00000005359
SINCAM008642	ENSLOCP00000005360
SINCAM006611	ENSLOCP00000005361
SINCAM007681	ENSLOCP00000005362
SINCAM008971	ENSLOCP00000005363
SINCAM011719	ENSLOCP00000005364
SINCAM013953	ENSLOCP00000005365
SINCAM012034	ENSLOCP00000005367
SINCAM001472	ENSLOCP00000005369
SINCAM011443	ENSLOCP00000005371
SINCAM007939	ENSLOCP00000005372
SINCAM001329	ENSLOCP00000005374
SINCAM009476	ENSLOCP00000005375
SINCAM008859	ENSLOCP00000005376
SINCAM007682	ENSLOCP00000005378
SINCAM006609	ENSLOCP00000005379
SINCAM011720	ENSLOCP00000005383
SINCAM004221	ENSLOCP00000005385
SINCAM012035	ENSLOCP00000005391
SINCAM007019	ENSLOCP00000005393
SINCAM921505	ENSLOCP00000005394
SINCAM009475	ENSLOCP00000005395
SINCAM008719	ENSLOCP00000005396
SINCAM013645	ENSLOCP00000005399
SINCAM006131	ENSLOCP00000005400
SINCAM004046	ENSLOCP00000005402
SINCAM921510	ENSLOCP00000005403
SINCAM007018	ENSLOCP00000005406
SINCAM011442	ENSLOCP00000005407
SINCAM012746	ENSLOCP00000005408
SINCAM001377	ENSLOCP00000005410
SINCAM011721	ENSLOCP00000005411
SINCAM010429	ENSLOCP00000005413
SINCAM002635	ENSLOCP00000005415
SINCAM008972	ENSLOCP00000005416
SINCAM001328	ENSLOCP00000005418
SINCAM014003	ENSLOCP00000005419
SINCAM920844	ENSLOCP00000005421
SINCAM008720	ENSLOCP00000005422
SINCAM922037	ENSLOCP00000005423
SINCAM014267	ENSLOCP00000005426
SINCAM011722	ENSLOCP00000005427
SINCAM002576	ENSLOCP00000005428
SINCAM014182	ENSLOCP00000005429
SINCAM007890	ENSLOCP00000005430
SINCAM004510	ENSLOCP00000005431
SINCAM009359	ENSLOCP00000005432
SINCAM004047	ENSLOCP00000005433
SINCAM010454	ENSLOCP00000005434
SINCAM922036	ENSLOCP00000005437
SINCAM015403	ENSLOCP00000005438
SINCAM014036	ENSLOCP00000005440
SINCAM007015	ENSLOCP00000005443
SINCAM012046	ENSLOCP00000005446
SINCAM007664	ENSLOCP00000005447
SINCAM920842	ENSLOCP00000005448
SINCAM008650	ENSLOCP00000005449
SINCAM012744	ENSLOCP00000005451
SINCAM921760	ENSLOCP00000005452
SINCAM001327	ENSLOCP00000005456
SINCAM002577	ENSLOCP00000005457
SINCAM011724	ENSLOCP00000005462
SINCAM005383	ENSLOCP00000005465
SINCAM008649	ENSLOCP00000005466
SINCAM013947	ENSLOCP00000005467
SINCAM001831	ENSLOCP00000005471
SINCAM004079	ENSLOCP00000005472
SINCAM007891	ENSLOCP00000005474
SINCAM010452	ENSLOCP00000005475
SINCAM001360	ENSLOCP00000005476
SINCAM008646	ENSLOCP00000005482
SINCAM011725	ENSLOCP00000005483
SINCAM003370	ENSLOCP00000005484
SINCAM001830	ENSLOCP00000005486
SINCAM920819	ENSLOCP00000005487
SINCAM007893	ENSLOCP00000005489
SINCAM920895	ENSLOCP00000005490
SINCAM013032	ENSLOCP00000005491
SINCAM012045	ENSLOCP00000005492
SINCAM004078	ENSLOCP00000005495
SINCAM007014	ENSLOCP00000005498
SINCAM010451	ENSLOCP00000005500
SINCAM920820	ENSLOCP00000005501
SINCAM008721	ENSLOCP00000005502
SINCAM013946	ENSLOCP00000005503
SINCAM922436	ENSLOCP00000005504
SINCAM920649	ENSLOCP00000005506
SINCAM004513	ENSLOCP00000005508
SINCAM013031	ENSLOCP00000005510
SINCAM001829	ENSLOCP00000005511
SINCAM003544	ENSLOCP00000005512
SINCAM011436	ENSLOCP00000005513
SINCAM012037	ENSLOCP00000005514
SINCAM007013	ENSLOCP00000005515
SINCAM007662	ENSLOCP00000005518
SINCAM004077	ENSLOCP00000005520
SINCAM002637	ENSLOCP00000005522
SINCAM008709	ENSLOCP00000005524
SINCAM007892	ENSLOCP00000005525
SINCAM004514	ENSLOCP00000005526
SINCAM013644	ENSLOCP00000005527
SINCAM014034	ENSLOCP00000005528
SINCAM006606	ENSLOCP00000005529
SINCAM008966	ENSLOCP00000005530
SINCAM013030	ENSLOCP00000005532
SINCAM011726	ENSLOCP00000005534
SINCAM013945	ENSLOCP00000005535
SINCAM004076	ENSLOCP00000005536
SINCAM012043	ENSLOCP00000005537
SINCAM011438	ENSLOCP00000005540
SINCAM007660	ENSLOCP00000005542
SINCAM921322	ENSLOCP00000005543
SINCAM008668	ENSLOCP00000005544
SINCAM920699	ENSLOCP00000005545
SINCAM001465	ENSLOCP00000005546
SINCAM920893	ENSLOCP00000005548
SINCAM011727	ENSLOCP00000005550
SINCAM006550	ENSLOCP00000005551
SINCAM011439	ENSLOCP00000005553
SINCAM921591	ENSLOCP00000005554
SINCAM002638	ENSLOCP00000005555
SINCAM921754	ENSLOCP00000005556
SINCAM013944	ENSLOCP00000005558
SINCAM008667	ENSLOCP00000005561
SINCAM922435	ENSLOCP00000005562
SINCAM007659	ENSLOCP00000005563
SINCAM009153	ENSLOCP00000005565
SINCAM013594	ENSLOCP00000005566
SINCAM001863	ENSLOCP00000005568
SINCAM005381	ENSLOCP00000005569
SINCAM921590	ENSLOCP00000005570
SINCAM922038	ENSLOCP00000005571
SINCAM013029	ENSLOCP00000005572
SINCAM011728	ENSLOCP00000005574
SINCAM004074	ENSLOCP00000005575
SINCAM014033	ENSLOCP00000005579
SINCAM005380	ENSLOCP00000005580
SINCAM013643	ENSLOCP00000005581
SINCAM921709	ENSLOCP00000005582
SINCAM004475	ENSLOCP00000005587
SINCAM920698	ENSLOCP00000005588
SINCAM011729	ENSLOCP00000005590
SINCAM011435	ENSLOCP00000005591
SINCAM008955	ENSLOCP00000005592
SINCAM012049	ENSLOCP00000005593
SINCAM004073	ENSLOCP00000005596
SINCAM014031	ENSLOCP00000005597
SINCAM008618	ENSLOCP00000005599
SINCAM007658	ENSLOCP00000005601
SINCAM005379	ENSLOCP00000005603
SINCAM002575	ENSLOCP00000005606
SINCAM011731	ENSLOCP00000005608
SINCAM921241	ENSLOCP00000005609
SINCAM921506	ENSLOCP00000005613
SINCAM011977	ENSLOCP00000005614
SINCAM015183	ENSLOCP00000005616
SINCAM009331	ENSLOCP00000005617
SINCAM002592	ENSLOCP00000005619
SINCAM921466	ENSLOCP00000005620
SINCAM921589	ENSLOCP00000005622
SINCAM011434	ENSLOCP00000005624
SINCAM002574	ENSLOCP00000005628
SINCAM008956	ENSLOCP00000005629
SINCAM015439	ENSLOCP00000005633
SINCAM013911	ENSLOCP00000005634
SINCAM016179	ENSLOCP00000005635
SINCAM922409	ENSLOCP00000005637
SINCAM008619	ENSLOCP00000005638
SINCAM006602	ENSLOCP00000005641
SINCAM011732	ENSLOCP00000005642
SINCAM013672	ENSLOCP00000005643
SINCAM005377	ENSLOCP00000005645
SINCAM011433	ENSLOCP00000005646
SINCAM012928	ENSLOCP00000005647
SINCAM921242	ENSLOCP00000005648
SINCAM007769	ENSLOCP00000005649
SINCAM007736	ENSLOCP00000005651
SINCAM001376	ENSLOCP00000005652
SINCAM008957	ENSLOCP00000005654
SINCAM007026	ENSLOCP00000005655
SINCAM922410	ENSLOCP00000005656
SINCAM001675	ENSLOCP00000005657
SINCAM014171	ENSLOCP00000005658
SINCAM011432	ENSLOCP00000005661
SINCAM013917	ENSLOCP00000005662
SINCAM009185	ENSLOCP00000005664
SINCAM922039	ENSLOCP00000005665
SINCAM921364	ENSLOCP00000005666
SINCAM007737	ENSLOCP00000005667
SINCAM012929	ENSLOCP00000005668
SINCAM002573	ENSLOCP00000005669
SINCAM004472	ENSLOCP00000005670
SINCAM001375	ENSLOCP00000005671
SINCAM004055	ENSLOCP00000005672
SINCAM007027	ENSLOCP00000005673
SINCAM016180	ENSLOCP00000005674
SINCAM008621	ENSLOCP00000005679
SINCAM007766	ENSLOCP00000005680
SINCAM011979	ENSLOCP00000005682
SINCAM006603	ENSLOCP00000005685
SINCAM012931	ENSLOCP00000005689
SINCAM007940	ENSLOCP00000005690
SINCAM010313	ENSLOCP00000005693
SINCAM005375	ENSLOCP00000005694
SINCAM016483	ENSLOCP00000005696
SINCAM004998	ENSLOCP00000005697
SINCAM001674	ENSLOCP00000005698
SINCAM921786	ENSLOCP00000005699
SINCAM009184	ENSLOCP00000005700
SINCAM014899	ENSLOCP00000005702
SINCAM013938	ENSLOCP00000005703
SINCAM006604	ENSLOCP00000005706
SINCAM007028	ENSLOCP00000005707
SINCAM011431	ENSLOCP00000005708
SINCAM007699	ENSLOCP00000005709
SINCAM008622	ENSLOCP00000005710
SINCAM012932	ENSLOCP00000005712
SINCAM010436	ENSLOCP00000005714
SINCAM920806	ENSLOCP00000005715
SINCAM007739	ENSLOCP00000005718
SINCAM004999	ENSLOCP00000005720
SINCAM011694	ENSLOCP00000005721
SINCAM014190	ENSLOCP00000005724
SINCAM900257	ENSLOCP00000005725
SINCAM007379	ENSLOCP00000005726
SINCAM009183	ENSLOCP00000005728
SINCAM007740	ENSLOCP00000005731
SINCAM012936	ENSLOCP00000005732
SINCAM001673	ENSLOCP00000005733
SINCAM009054	ENSLOCP00000005734
SINCAM011863	ENSLOCP00000005735
SINCAM008623	ENSLOCP00000005736
SINCAM009383	ENSLOCP00000005737
SINCAM010437	ENSLOCP00000005741
SINCAM006481	ENSLOCP00000005742
SINCAM011428	ENSLOCP00000005744
SINCAM014188	ENSLOCP00000005745
SINCAM921468	ENSLOCP00000005747
SINCAM001672	ENSLOCP00000005749
SINCAM007654	ENSLOCP00000005751
SINCAM014800	ENSLOCP00000005759
SINCAM007030	ENSLOCP00000005760
SINCAM006479	ENSLOCP00000005761
SINCAM014187	ENSLOCP00000005762
SINCAM002570	ENSLOCP00000005763
SINCAM013822	ENSLOCP00000005764
SINCAM011693	ENSLOCP00000005766
SINCAM001372	ENSLOCP00000005767
SINCAM004995	ENSLOCP00000005768
SINCAM007953	ENSLOCP00000005769
SINCAM009182	ENSLOCP00000005770
SINCAM001671	ENSLOCP00000005771
SINCAM010439	ENSLOCP00000005772
SINCAM921714	ENSLOCP00000005773
SINCAM007337	ENSLOCP00000005774
SINCAM011857	ENSLOCP00000005775
SINCAM008951	ENSLOCP00000005779
SINCAM006478	ENSLOCP00000005780
SINCAM011426	ENSLOCP00000005782
SINCAM011691	ENSLOCP00000005783
SINCAM009181	ENSLOCP00000005784
SINCAM013866	ENSLOCP00000005785
SINCAM921486	ENSLOCP00000005786
SINCAM001371	ENSLOCP00000005787
SINCAM007353	ENSLOCP00000005788
SINCAM014186	ENSLOCP00000005790
SINCAM007338	ENSLOCP00000005794
SINCAM005373	ENSLOCP00000005795
SINCAM004994	ENSLOCP00000005796
SINCAM002568	ENSLOCP00000005799
SINCAM011690	ENSLOCP00000005801
SINCAM011425	ENSLOCP00000005803
SINCAM920441	ENSLOCP00000005804
SINCAM015464	ENSLOCP00000005805
SINCAM014058	ENSLOCP00000005807
SINCAM012014	ENSLOCP00000005808
SINCAM007829	ENSLOCP00000005809
SINCAM010854	ENSLOCP00000005812
SINCAM010442	ENSLOCP00000005813
SINCAM005372	ENSLOCP00000005814
SINCAM009177	ENSLOCP00000005817
SINCAM007339	ENSLOCP00000005818
SINCAM014998	ENSLOCP00000005820
SINCAM007048	ENSLOCP00000005823
SINCAM006477	ENSLOCP00000005824
SINCAM012939	ENSLOCP00000005826
SINCAM921914	ENSLOCP00000005827
SINCAM001670	ENSLOCP00000005828
SINCAM010441	ENSLOCP00000005829
SINCAM011423	ENSLOCP00000005832
SINCAM015463	ENSLOCP00000005833
SINCAM005371	ENSLOCP00000005834
SINCAM011688	ENSLOCP00000005835
SINCAM002567	ENSLOCP00000005838
SINCAM007047	ENSLOCP00000005839
SINCAM013902	ENSLOCP00000005840
SINCAM008688	ENSLOCP00000005842
SINCAM014230	ENSLOCP00000005843
SINCAM921566	ENSLOCP00000005844
SINCAM012940	ENSLOCP00000005846
SINCAM921331	ENSLOCP00000005850
SINCAM013676	ENSLOCP00000005851
SINCAM014798	ENSLOCP00000005853
SINCAM007346	ENSLOCP00000005856
SINCAM008689	ENSLOCP00000005857
SINCAM921915	ENSLOCP00000005858
SINCAM013632	ENSLOCP00000005860
SINCAM921269	ENSLOCP00000005861
SINCAM007045	ENSLOCP00000005862
SINCAM005370	ENSLOCP00000005863
SINCAM002566	ENSLOCP00000005864
SINCAM921565	ENSLOCP00000005869
SINCAM012016	ENSLOCP00000005874
SINCAM011687	ENSLOCP00000005875
SINCAM921249	ENSLOCP00000005877
SINCAM001669	ENSLOCP00000005879
SINCAM004502	ENSLOCP00000005880
SINCAM922773	ENSLOCP00000005881
SINCAM922777	ENSLOCP00000005883
SINCAM008692	ENSLOCP00000005884
SINCAM011142	ENSLOCP00000005885
SINCAM012944	ENSLOCP00000005886
SINCAM007044	ENSLOCP00000005887
SINCAM011686	ENSLOCP00000005888
SINCAM006475	ENSLOCP00000005889
SINCAM013677	ENSLOCP00000005890
SINCAM013903	ENSLOCP00000005891
SINCAM005369	ENSLOCP00000005892
SINCAM921479	ENSLOCP00000005893
SINCAM004093	ENSLOCP00000005894
SINCAM001369	ENSLOCP00000005895
SINCAM009186	ENSLOCP00000005897
SINCAM922056	ENSLOCP00000005902
SINCAM008693	ENSLOCP00000005903
SINCAM012017	ENSLOCP00000005904
SINCAM011422	ENSLOCP00000005905
SINCAM014166	ENSLOCP00000005907
SINCAM921564	ENSLOCP00000005909
SINCAM009035	ENSLOCP00000005911
SINCAM001368	ENSLOCP00000005912
SINCAM002565	ENSLOCP00000005913
SINCAM921918	ENSLOCP00000005914
SINCAM012943	ENSLOCP00000005915
SINCAM004092	ENSLOCP00000005919
SINCAM011684	ENSLOCP00000005920
SINCAM007043	ENSLOCP00000005922
SINCAM007345	ENSLOCP00000005923
SINCAM011128	ENSLOCP00000005924
SINCAM001668	ENSLOCP00000005925
SINCAM014204	ENSLOCP00000005926
SINCAM013678	ENSLOCP00000005929
SINCAM921787	ENSLOCP00000005931
SINCAM002564	ENSLOCP00000005932
SINCAM921919	ENSLOCP00000005933
SINCAM007789	ENSLOCP00000005937
SINCAM012945	ENSLOCP00000005938
SINCAM005368	ENSLOCP00000005939
SINCAM004090	ENSLOCP00000005940
SINCAM010347	ENSLOCP00000005941
SINCAM001367	ENSLOCP00000005942
SINCAM011196	ENSLOCP00000005943
SINCAM012020	ENSLOCP00000005944
SINCAM922767	ENSLOCP00000005945
SINCAM007341	ENSLOCP00000005946
SINCAM008698	ENSLOCP00000005947
SINCAM005367	ENSLOCP00000005951
SINCAM002563	ENSLOCP00000005952
SINCAM001366	ENSLOCP00000005953
SINCAM012946	ENSLOCP00000005954
SINCAM004089	ENSLOCP00000005955
SINCAM010348	ENSLOCP00000005956
SINCAM009025	ENSLOCP00000005958
SINCAM007049	ENSLOCP00000005959
SINCAM922253	ENSLOCP00000005960
SINCAM011198	ENSLOCP00000005964
SINCAM009189	ENSLOCP00000005966
SINCAM013904	ENSLOCP00000005967
SINCAM001365	ENSLOCP00000005968
SINCAM004088	ENSLOCP00000005969
SINCAM012021	ENSLOCP00000005972
SINCAM015377	ENSLOCP00000005976
SINCAM012948	ENSLOCP00000005978
SINCAM002562	ENSLOCP00000005979
SINCAM009191	ENSLOCP00000005980
SINCAM007340	ENSLOCP00000005981
SINCAM004501	ENSLOCP00000005982
SINCAM006527	ENSLOCP00000005986
SINCAM920637	ENSLOCP00000005987
SINCAM011199	ENSLOCP00000005990
SINCAM921825	ENSLOCP00000005992
SINCAM002148	ENSLOCP00000005993
SINCAM005366	ENSLOCP00000005994
SINCAM004087	ENSLOCP00000005996
SINCAM922252	ENSLOCP00000005998
SINCAM008010	ENSLOCP00000005999
SINCAM922760	ENSLOCP00000006001
SINCAM920803	ENSLOCP00000006002
SINCAM009193	ENSLOCP00000006003
SINCAM007729	ENSLOCP00000006004
SINCAM008696	ENSLOCP00000006005
SINCAM921328	ENSLOCP00000006006
SINCAM013679	ENSLOCP00000006007
SINCAM002147	ENSLOCP00000006008
SINCAM922427	ENSLOCP00000006009
SINCAM004098	ENSLOCP00000006011
SINCAM008011	ENSLOCP00000006014
SINCAM005365	ENSLOCP00000006016
SINCAM001363	ENSLOCP00000006017
SINCAM009027	ENSLOCP00000006019
SINCAM010350	ENSLOCP00000006021
SINCAM922766	ENSLOCP00000006022
SINCAM016473	ENSLOCP00000006023
SINCAM922428	ENSLOCP00000006024
SINCAM013907	ENSLOCP00000006025
SINCAM011200	ENSLOCP00000006026
SINCAM002146	ENSLOCP00000006027
SINCAM921771	ENSLOCP00000006030
SINCAM002560	ENSLOCP00000006032
SINCAM009195	ENSLOCP00000006033
SINCAM008012	ENSLOCP00000006035
SINCAM011696	ENSLOCP00000006037
SINCAM005362	ENSLOCP00000006039
SINCAM009030	ENSLOCP00000006041
SINCAM922430	ENSLOCP00000006044
SINCAM008695	ENSLOCP00000006045
SINCAM010351	ENSLOCP00000006048
SINCAM013908	ENSLOCP00000006049
SINCAM002558	ENSLOCP00000006050
SINCAM921827	ENSLOCP00000006052
SINCAM008013	ENSLOCP00000006054
SINCAM013806	ENSLOCP00000006055
SINCAM921155	ENSLOCP00000006057
SINCAM004100	ENSLOCP00000006058
SINCAM011697	ENSLOCP00000006059
SINCAM001370	ENSLOCP00000006060
SINCAM005360	ENSLOCP00000006063
SINCAM011201	ENSLOCP00000006064
SINCAM012449	ENSLOCP00000006065
SINCAM013024	ENSLOCP00000006067
SINCAM002144	ENSLOCP00000006069
SINCAM002557	ENSLOCP00000006072
SINCAM008756	ENSLOCP00000006073
SINCAM008014	ENSLOCP00000006074
SINCAM007543	ENSLOCP00000006075
SINCAM006947	ENSLOCP00000006076
SINCAM922032	ENSLOCP00000006077
SINCAM017524	ENSLOCP00000006078
SINCAM001364	ENSLOCP00000006079
SINCAM011698	ENSLOCP00000006080
SINCAM013796	ENSLOCP00000006081
SINCAM922431	ENSLOCP00000006082
SINCAM013868	ENSLOCP00000006083
SINCAM008953	ENSLOCP00000006084
SINCAM010353	ENSLOCP00000006086
SINCAM006627	ENSLOCP00000006087
SINCAM005359	ENSLOCP00000006089
SINCAM016101	ENSLOCP00000006090
SINCAM004101	ENSLOCP00000006091
SINCAM013026	ENSLOCP00000006093
SINCAM002555	ENSLOCP00000006095
SINCAM013795	ENSLOCP00000006097
SINCAM008757	ENSLOCP00000006098
SINCAM011699	ENSLOCP00000006101
SINCAM004617	ENSLOCP00000006102
SINCAM011418	ENSLOCP00000006107
SINCAM006948	ENSLOCP00000006108
SINCAM009120	ENSLOCP00000006109
SINCAM013027	ENSLOCP00000006110
SINCAM010354	ENSLOCP00000006111
SINCAM008016	ENSLOCP00000006112
SINCAM008759	ENSLOCP00000006114
SINCAM013875	ENSLOCP00000006115
SINCAM011700	ENSLOCP00000006116
SINCAM921347	ENSLOCP00000006118
SINCAM007544	ENSLOCP00000006119
SINCAM005358	ENSLOCP00000006120
SINCAM006628	ENSLOCP00000006121
SINCAM013797	ENSLOCP00000006122
SINCAM015655	ENSLOCP00000006124
SINCAM010355	ENSLOCP00000006126
SINCAM002142	ENSLOCP00000006129
SINCAM012024	ENSLOCP00000006131
SINCAM010667	ENSLOCP00000006132
SINCAM008017	ENSLOCP00000006135
SINCAM012970	ENSLOCP00000006137
SINCAM006629	ENSLOCP00000006139
SINCAM005613	ENSLOCP00000006140
SINCAM921348	ENSLOCP00000006141
SINCAM008762	ENSLOCP00000006142
SINCAM009433	ENSLOCP00000006144
SINCAM005357	ENSLOCP00000006145
SINCAM008958	ENSLOCP00000006147
SINCAM013798	ENSLOCP00000006149
SINCAM008019	ENSLOCP00000006150
SINCAM900286	ENSLOCP00000006151
SINCAM013883	ENSLOCP00000006152
SINCAM012026	ENSLOCP00000006153
SINCAM009118	ENSLOCP00000006154
SINCAM002554	ENSLOCP00000006156
SINCAM007545	ENSLOCP00000006157
SINCAM006630	ENSLOCP00000006159
SINCAM011702	ENSLOCP00000006161
SINCAM010356	ENSLOCP00000006166
SINCAM921828	ENSLOCP00000006167
SINCAM007546	ENSLOCP00000006169
SINCAM011703	ENSLOCP00000006170
SINCAM008763	ENSLOCP00000006171
SINCAM014236	ENSLOCP00000006172
SINCAM013882	ENSLOCP00000006173
SINCAM921770	ENSLOCP00000006174
SINCAM012028	ENSLOCP00000006175
SINCAM002140	ENSLOCP00000006176
SINCAM006631	ENSLOCP00000006178
SINCAM005356	ENSLOCP00000006182
SINCAM007547	ENSLOCP00000006185
SINCAM014235	ENSLOCP00000006186
SINCAM004498	ENSLOCP00000006188
SINCAM921531	ENSLOCP00000006189
SINCAM006995	ENSLOCP00000006191
SINCAM013881	ENSLOCP00000006192
SINCAM006558	ENSLOCP00000006193
SINCAM008722	ENSLOCP00000006194
SINCAM014750	ENSLOCP00000006195
SINCAM013799	ENSLOCP00000006198
SINCAM000717	ENSLOCP00000006199
SINCAM007548	ENSLOCP00000006201
SINCAM012030	ENSLOCP00000006205
SINCAM002553	ENSLOCP00000006207
SINCAM006559	ENSLOCP00000006209
SINCAM013020	ENSLOCP00000006211
SINCAM011705	ENSLOCP00000006213
SINCAM013823	ENSLOCP00000006216
SINCAM004191	ENSLOCP00000006220
SINCAM017525	ENSLOCP00000006223
SINCAM007550	ENSLOCP00000006224
SINCAM002552	ENSLOCP00000006228
SINCAM002139	ENSLOCP00000006229
SINCAM005290	ENSLOCP00000006232
SINCAM921772	ENSLOCP00000006233
SINCAM010357	ENSLOCP00000006234
SINCAM014238	ENSLOCP00000006235
SINCAM900285	ENSLOCP00000006236
SINCAM011706	ENSLOCP00000006237
SINCAM008725	ENSLOCP00000006240
SINCAM006625	ENSLOCP00000006243
SINCAM004190	ENSLOCP00000006245
SINCAM920601	ENSLOCP00000006247
SINCAM002425	ENSLOCP00000006249
SINCAM013016	ENSLOCP00000006250
SINCAM013818	ENSLOCP00000006253
SINCAM006996	ENSLOCP00000006254
SINCAM011210	ENSLOCP00000006255
SINCAM014234	ENSLOCP00000006257
SINCAM002137	ENSLOCP00000006260
SINCAM004497	ENSLOCP00000006262
SINCAM920600	ENSLOCP00000006263
SINCAM006624	ENSLOCP00000006266
SINCAM007551	ENSLOCP00000006267
SINCAM922432	ENSLOCP00000006269
SINCAM011708	ENSLOCP00000006273
SINCAM009117	ENSLOCP00000006274
SINCAM011209	ENSLOCP00000006275
SINCAM008030	ENSLOCP00000006276
SINCAM921773	ENSLOCP00000006277
SINCAM008626	ENSLOCP00000006279
SINCAM921326	ENSLOCP00000006282
SINCAM012032	ENSLOCP00000006283
SINCAM001184	ENSLOCP00000006284
SINCAM002136	ENSLOCP00000006286
SINCAM002551	ENSLOCP00000006287
SINCAM004189	ENSLOCP00000006291
SINCAM013017	ENSLOCP00000006293
SINCAM007075	ENSLOCP00000006296
SINCAM008627	ENSLOCP00000006297
SINCAM922758	ENSLOCP00000006298
SINCAM008854	ENSLOCP00000006299
SINCAM010359	ENSLOCP00000006301
SINCAM922356	ENSLOCP00000006303
SINCAM013811	ENSLOCP00000006304
SINCAM001183	ENSLOCP00000006306
SINCAM920891	ENSLOCP00000006307
SINCAM004470	ENSLOCP00000006309
SINCAM006623	ENSLOCP00000006310
SINCAM013019	ENSLOCP00000006311
SINCAM012033	ENSLOCP00000006312
SINCAM921259	ENSLOCP00000006315
SINCAM009391	ENSLOCP00000006317
SINCAM009000	ENSLOCP00000006318
SINCAM920802	ENSLOCP00000006319
SINCAM921436	ENSLOCP00000006320
SINCAM921854	ENSLOCP00000006321
SINCAM006622	ENSLOCP00000006322
SINCAM010167	ENSLOCP00000006323
SINCAM002134	ENSLOCP00000006324
SINCAM010360	ENSLOCP00000006325
SINCAM008031	ENSLOCP00000006329
SINCAM011709	ENSLOCP00000006332
SINCAM920801	ENSLOCP00000006333
SINCAM922717	ENSLOCP00000006335
SINCAM009390	ENSLOCP00000006336
SINCAM922000	ENSLOCP00000006337
SINCAM921437	ENSLOCP00000006339
SINCAM922757	ENSLOCP00000006342
SINCAM013810	ENSLOCP00000006343
SINCAM002135	ENSLOCP00000006344
SINCAM921855	ENSLOCP00000006345
SINCAM008632	ENSLOCP00000006346
SINCAM922434	ENSLOCP00000006347
SINCAM009001	ENSLOCP00000006348
SINCAM006621	ENSLOCP00000006349
SINCAM003303	ENSLOCP00000006352
SINCAM008032	ENSLOCP00000006354
SINCAM010361	ENSLOCP00000006355
SINCAM004685	ENSLOCP00000006356
SINCAM922399	ENSLOCP00000006360
SINCAM009002	ENSLOCP00000006361
SINCAM007078	ENSLOCP00000006363
SINCAM008728	ENSLOCP00000006364
SINCAM001182	ENSLOCP00000006368
SINCAM004467	ENSLOCP00000006370
SINCAM921581	ENSLOCP00000006372
SINCAM010509	ENSLOCP00000006376
SINCAM007076	ENSLOCP00000006378
SINCAM922715	ENSLOCP00000006379
SINCAM009003	ENSLOCP00000006380
SINCAM011711	ENSLOCP00000006381
SINCAM005353	ENSLOCP00000006382
SINCAM009406	ENSLOCP00000006383
SINCAM008034	ENSLOCP00000006385
SINCAM006560	ENSLOCP00000006386
SINCAM011830	ENSLOCP00000006388
SINCAM013809	ENSLOCP00000006389
SINCAM921999	ENSLOCP00000006390
SINCAM004686	ENSLOCP00000006391
SINCAM002133	ENSLOCP00000006392
