ENSGALP00000038461	fgenesh2_pg.scaffold_351000043
ENSGALP00000036494	estExt_fgenesh2_pg.C_480096
ENSGALP00000043020	estExt_fgenesh2_pg.C_480100
ENSGALP00000043153	estExt_fgenesh2_pg.C_480100
ENSGALP00000010227	estExt_fgenesh2_pg.C_480136
ENSGALP00000020245	estExt_fgenesh2_pg.C_490009
ENSGALP00000022289	estExt_fgenesh2_pg.C_490023
ENSGALP00000000615	estExt_fgenesh2_pg.C_490037
ENSGALP00000003205	estExt_fgenesh2_pg.C_490064
ENSGALP00000037398	estExt_fgenesh2_pg.C_490133
ENSGALP00000002197	estExt_fgenesh2_pg.C_490133
ENSGALP00000041109	estExt_fgenesh2_pg.C_490133
ENSGALP00000027954	estExt_fgenesh2_pg.C_500001
ENSGALP00000027401	estExt_fgenesh2_pg.C_500024
ENSGALP00000039657	estExt_fgenesh2_pg.C_500060
ENSGALP00000025691	estExt_fgenesh2_pg.C_500060
ENSGALP00000010639	estExt_fgenesh2_pg.C_500069
ENSGALP00000027387	estExt_fgenesh2_pg.C_500081
ENSGALP00000035973	estExt_fgenesh2_pg.C_510094
ENSGALP00000031320	estExt_fgenesh2_pg.C_520028
ENSGALP00000017006	estExt_fgenesh2_pg.C_520031
ENSGALP00000016967	estExt_fgenesh2_pg.C_520038
ENSGALP00000015045	estExt_fgenesh2_pg.C_520044
ENSGALP00000019663	estExt_fgenesh2_pg.C_530092
ENSGALP00000002322	estExt_fgenesh2_pg.C_530100
ENSGALP00000042810	estExt_fgenesh2_pg.C_550023
ENSGALP00000009642	estExt_fgenesh2_pg.C_550035
ENSGALP00000025051	estExt_fgenesh2_pg.C_550039
ENSGALP00000029818	estExt_fgenesh2_pg.C_550049
ENSGALP00000023941	estExt_fgenesh2_pg.C_550062
ENSGALP00000033996	estExt_fgenesh2_pg.C_550062
ENSGALP00000019528	estExt_fgenesh2_pg.C_550062
ENSGALP00000014941	estExt_fgenesh2_pg.C_560087
ENSGALP00000011869	estExt_fgenesh2_pg.C_560167
ENSGALP00000008424	estExt_fgenesh2_pg.C_570008
ENSGALP00000038058	estExt_fgenesh2_pg.C_570010
ENSGALP00000011352	estExt_fgenesh2_pg.C_570010
ENSGALP00000007480	estExt_fgenesh2_pg.C_570039
ENSGALP00000019870	estExt_fgenesh2_pg.C_570070
ENSGALP00000000679	estExt_fgenesh2_pg.C_570072
ENSGALP00000025597	estExt_fgenesh2_pg.C_570074
ENSGALP00000002362	estExt_fgenesh2_pg.C_570076
ENSGALP00000038307	estExt_fgenesh2_pg.C_570092
ENSGALP00000038350	estExt_fgenesh2_pg.C_570108
ENSGALP00000013007	estExt_fgenesh2_pg.C_570131
ENSGALP00000041200	estExt_fgenesh2_pg.C_570131
ENSGALP00000007521	estExt_fgenesh2_pg.C_570151
ENSGALP00000012388	estExt_fgenesh2_pg.C_580001
ENSGALP00000016141	estExt_fgenesh2_pg.C_580086
ENSGALP00000038843	estExt_fgenesh2_pg.C_580112
ENSGALP00000005437	estExt_fgenesh2_pg.C_580113
ENSGALP00000002256	estExt_fgenesh2_pg.C_580131
ENSGALP00000008837	estExt_fgenesh2_pg.C_590046
ENSGALP00000026087	estExt_fgenesh2_pg.C_600004
ENSGALP00000016240	estExt_fgenesh2_pg.C_600040
ENSGALP00000035460	estExt_fgenesh2_pg.C_610011
ENSGALP00000008851	estExt_fgenesh2_pg.C_610029
ENSGALP00000040189	estExt_fgenesh2_pg.C_610033
ENSGALP00000022463	estExt_fgenesh2_pg.C_610052
ENSGALP00000016087	estExt_fgenesh2_pg.C_610075
ENSGALP00000011851	estExt_fgenesh2_pg.C_610109
ENSGALP00000015293	estExt_fgenesh2_pg.C_610109
ENSGALP00000042747	estExt_fgenesh2_pg.C_610109
ENSGALP00000013575	estExt_fgenesh2_pg.C_610109
ENSGALP00000042163	estExt_fgenesh2_pg.C_610117
ENSGALP00000008732	estExt_fgenesh2_pg.C_610121
ENSGALP00000035713	estExt_fgenesh2_pg.C_610135
ENSGALP00000003500	estExt_fgenesh2_pg.C_610144
ENSGALP00000041801	estExt_fgenesh2_pg.C_610144
ENSGALP00000030056	estExt_fgenesh2_pg.C_610172
ENSGALP00000014140	estExt_fgenesh2_pg.C_620036
ENSGALP00000015983	estExt_fgenesh2_pg.C_620059
ENSGALP00000042570	estExt_fgenesh2_pg.C_620059
ENSGALP00000006439	estExt_fgenesh2_pg.C_620134
ENSGALP00000020720	estExt_fgenesh2_pg.C_620135
ENSGALP00000001528	estExt_fgenesh2_pg.C_620137
ENSGALP00000007737	estExt_fgenesh2_pg.C_620139
ENSGALP00000022195	estExt_fgenesh2_pg.C_630011
ENSGALP00000012744	estExt_fgenesh2_pg.C_630011
ENSGALP00000001777	estExt_fgenesh2_pg.C_630028
ENSGALP00000024066	estExt_fgenesh2_pg.C_630040
ENSGALP00000014198	estExt_fgenesh2_pg.C_630086
ENSGALP00000020327	estExt_fgenesh2_pg.C_630089
ENSGALP00000016904	estExt_fgenesh2_pg.C_630091
ENSGALP00000024875	estExt_fgenesh2_pg.C_630107
ENSGALP00000006039	estExt_fgenesh2_pg.C_630113
ENSGALP00000041108	estExt_fgenesh2_pg.C_630132
ENSGALP00000033751	estExt_fgenesh2_pg.C_630140
ENSGALP00000041335	estExt_fgenesh2_pg.C_640081
ENSGALP00000025566	estExt_fgenesh2_pg.C_650008
ENSGALP00000024213	estExt_fgenesh2_pg.C_650017
ENSGALP00000024598	estExt_fgenesh2_pg.C_650034
ENSGALP00000024250	estExt_fgenesh2_pg.C_650040
ENSGALP00000025577	estExt_fgenesh2_pg.C_650058
ENSGALP00000036118	estExt_fgenesh2_pg.C_650058
ENSGALP00000018851	estExt_fgenesh2_pg.C_650066
ENSGALP00000042994	estExt_fgenesh2_pg.C_650112
ENSGALP00000003319	estExt_fgenesh2_pg.C_650114
ENSGALP00000029836	estExt_fgenesh2_pg.C_650157
ENSGALP00000024448	estExt_fgenesh2_pg.C_660067
ENSGALP00000020750	estExt_fgenesh2_pg.C_660093
ENSGALP00000004375	estExt_fgenesh2_pg.C_660101
ENSGALP00000020944	estExt_fgenesh2_pg.C_660118
ENSGALP00000038943	estExt_fgenesh2_pg.C_660120
ENSGALP00000034727	estExt_fgenesh2_pg.C_660140
ENSGALP00000003690	estExt_fgenesh2_pg.C_680006
ENSGALP00000041912	estExt_fgenesh2_pg.C_680007
ENSGALP00000019383	estExt_fgenesh2_pg.C_680007
ENSGALP00000015712	estExt_fgenesh2_pg.C_680014
ENSGALP00000019501	estExt_fgenesh2_pg.C_680022
ENSGALP00000016735	estExt_fgenesh2_pg.C_680028
ENSGALP00000016732	estExt_fgenesh2_pg.C_680033
ENSGALP00000014726	estExt_fgenesh2_pg.C_680050
ENSGALP00000036925	estExt_fgenesh2_pg.C_680056
ENSGALP00000043178	estExt_fgenesh2_pg.C_680080
ENSGALP00000016384	estExt_fgenesh2_pg.C_680083
ENSGALP00000019907	estExt_fgenesh2_pg.C_680102
ENSGALP00000016119	estExt_fgenesh2_pg.C_680105
ENSGALP00000016155	estExt_fgenesh2_pg.C_680108
ENSGALP00000004103	estExt_fgenesh2_pg.C_680137
ENSGALP00000016551	estExt_fgenesh2_pg.C_680144
ENSGALP00000017181	estExt_fgenesh2_pg.C_680147
ENSGALP00000006573	estExt_fgenesh2_pg.C_680154
ENSGALP00000042172	estExt_fgenesh2_pg.C_680156
ENSGALP00000013962	estExt_fgenesh2_pg.C_680157
ENSGALP00000003869	estExt_fgenesh2_pg.C_690012
ENSGALP00000001866	estExt_fgenesh2_pg.C_690028
ENSGALP00000026375	estExt_fgenesh2_pg.C_690142
ENSGALP00000034917	estExt_fgenesh2_pg.C_700134
ENSGALP00000026367	estExt_fgenesh2_pg.C_700137
ENSGALP00000010391	estExt_fgenesh2_pg.C_700156
ENSGALP00000006856	estExt_fgenesh2_pg.C_700158
ENSGALP00000010697	estExt_fgenesh2_pg.C_710017
ENSGALP00000000639	estExt_fgenesh2_pg.C_710026
ENSGALP00000009801	estExt_fgenesh2_pg.C_710026
ENSGALP00000040471	estExt_fgenesh2_pg.C_710032
ENSGALP00000002864	estExt_fgenesh2_pg.C_710058
ENSGALP00000012818	estExt_fgenesh2_pg.C_710107
ENSGALP00000041454	estExt_fgenesh2_pg.C_710113
ENSGALP00000003621	estExt_fgenesh2_pg.C_710137
ENSGALP00000002021	estExt_fgenesh2_pg.C_710159
ENSGALP00000023783	estExt_fgenesh2_pg.C_710159
ENSGALP00000043449	estExt_fgenesh2_pg.C_720009
ENSGALP00000011775	estExt_fgenesh2_pg.C_720016
ENSGALP00000008736	estExt_fgenesh2_pg.C_720017
ENSGALP00000004000	estExt_fgenesh2_pg.C_720025
ENSGALP00000009275	estExt_fgenesh2_pg.C_720028
ENSGALP00000022525	estExt_fgenesh2_pg.C_720030
ENSGALP00000041879	estExt_fgenesh2_pg.C_720032
ENSGALP00000019005	estExt_fgenesh2_pg.C_730108
ENSGALP00000020449	estExt_fgenesh2_pg.C_740019
ENSGALP00000042246	estExt_fgenesh2_pg.C_740019
ENSGALP00000001765	estExt_fgenesh2_pg.C_740019
ENSGALP00000025821	estExt_fgenesh2_pg.C_740019
ENSGALP00000006963	estExt_fgenesh2_pg.C_740019
ENSGALP00000042902	estExt_fgenesh2_pg.C_740022
ENSGALP00000043311	estExt_fgenesh2_pg.C_740073
ENSGALP00000043143	estExt_fgenesh2_pg.C_740099
ENSGALP00000008566	estExt_fgenesh2_pg.C_740115
ENSGALP00000005668	estExt_fgenesh2_pg.C_740129
ENSGALP00000042910	estExt_fgenesh2_pg.C_740130
ENSGALP00000027532	estExt_fgenesh2_pg.C_740149
ENSGALP00000040736	estExt_fgenesh2_pg.C_740151
ENSGALP00000023875	estExt_fgenesh2_pg.C_740151
ENSGALP00000003128	estExt_fgenesh2_pg.C_740151
ENSGALP00000003540	estExt_fgenesh2_pg.C_740163
ENSGALP00000016047	estExt_fgenesh2_pg.C_740167
ENSGALP00000008480	estExt_fgenesh2_pg.C_740167
ENSGALP00000006318	estExt_fgenesh2_pg.C_740181
ENSGALP00000011826	estExt_fgenesh2_pg.C_750009
ENSGALP00000034265	estExt_fgenesh2_pg.C_750010
ENSGALP00000041453	estExt_fgenesh2_pg.C_750070
ENSGALP00000014766	estExt_fgenesh2_pg.C_750072
ENSGALP00000041438	estExt_fgenesh2_pg.C_750100
ENSGALP00000013083	estExt_fgenesh2_pg.C_750139
ENSGALP00000008773	estExt_fgenesh2_pg.C_750139
ENSGALP00000009992	estExt_fgenesh2_pg.C_760007
ENSGALP00000040823	estExt_fgenesh2_pg.C_760042
ENSGALP00000018912	estExt_fgenesh2_pg.C_760044
ENSGALP00000007758	estExt_fgenesh2_pg.C_760066
ENSGALP00000022309	estExt_fgenesh2_pg.C_760106
ENSGALP00000040747	estExt_fgenesh2_pg.C_760139
ENSGALP00000009858	estExt_fgenesh2_pg.C_760145
ENSGALP00000002634	estExt_fgenesh2_pg.C_770011
ENSGALP00000035659	estExt_fgenesh2_pg.C_770019
ENSGALP00000037374	estExt_fgenesh2_pg.C_770022
ENSGALP00000004385	estExt_fgenesh2_pg.C_770039
ENSGALP00000009076	estExt_fgenesh2_pg.C_770071
ENSGALP00000006734	estExt_fgenesh2_pg.C_770119
ENSGALP00000009089	estExt_fgenesh2_pg.C_770125
ENSGALP00000009255	estExt_fgenesh2_pg.C_780005
ENSGALP00000041503	estExt_fgenesh2_pg.C_780067
ENSGALP00000024306	estExt_fgenesh2_pg.C_780074
ENSGALP00000009860	estExt_fgenesh2_pg.C_780075
ENSGALP00000024297	estExt_fgenesh2_pg.C_780075
ENSGALP00000010798	estExt_fgenesh2_pg.C_780088
ENSGALP00000021588	estExt_fgenesh2_pg.C_780126
ENSGALP00000006768	estExt_fgenesh2_pg.C_780139
ENSGALP00000036406	estExt_fgenesh2_pg.C_780143
ENSGALP00000036429	estExt_fgenesh2_pg.C_780143
ENSGALP00000023951	estExt_fgenesh2_pg.C_780163
ENSGALP00000043294	estExt_fgenesh2_pg.C_780166
ENSGALP00000031085	estExt_fgenesh2_pg.C_790036
ENSGALP00000035891	estExt_fgenesh2_pg.C_790085
ENSGALP00000025573	estExt_fgenesh2_pg.C_790120
ENSGALP00000026418	estExt_fgenesh2_pg.C_790132
ENSGALP00000018548	estExt_fgenesh2_pg.C_810007
ENSGALP00000027097	estExt_fgenesh2_pg.C_810036
ENSGALP00000031668	estExt_fgenesh2_pg.C_810067
ENSGALP00000039889	estExt_fgenesh2_pg.C_820082
ENSGALP00000018228	estExt_fgenesh2_pg.C_830042
ENSGALP00000036882	estExt_fgenesh2_pg.C_830085
ENSGALP00000036165	estExt_fgenesh2_pg.C_840031
ENSGALP00000019893	estExt_fgenesh2_pg.C_840069
ENSGALP00000038876	estExt_fgenesh2_pg.C_840076
ENSGALP00000041233	estExt_fgenesh2_pg.C_840097
ENSGALP00000040807	estExt_fgenesh2_pg.C_850047
ENSGALP00000036335	estExt_fgenesh2_pg.C_860009
ENSGALP00000037814	estExt_fgenesh2_pg.C_860022
ENSGALP00000012019	estExt_fgenesh2_pg.C_860085
ENSGALP00000007510	estExt_fgenesh2_pg.C_860085
ENSGALP00000017703	estExt_fgenesh2_pg.C_860086
ENSGALP00000043356	estExt_fgenesh2_pg.C_860105
ENSGALP00000038957	estExt_fgenesh2_pg.C_860106
ENSGALP00000024759	estExt_fgenesh2_pg.C_870050
ENSGALP00000020735	estExt_fgenesh2_pg.C_870058
ENSGALP00000032417	estExt_fgenesh2_pg.C_870070
ENSGALP00000020777	estExt_fgenesh2_pg.C_870078
ENSGALP00000003767	estExt_fgenesh2_pg.C_890055
ENSGALP00000035789	estExt_fgenesh2_pg.C_890082
ENSGALP00000021301	estExt_fgenesh2_pg.C_890104
ENSGALP00000016630	estExt_fgenesh2_pg.C_890104
ENSGALP00000021280	estExt_fgenesh2_pg.C_890104
ENSGALP00000019366	estExt_fgenesh2_pg.C_900013
ENSGALP00000007057	estExt_fgenesh2_pg.C_900069
ENSGALP00000024648	estExt_fgenesh2_pg.C_900104
ENSGALP00000036193	estExt_fgenesh2_pg.C_900128
ENSGALP00000030349	estExt_fgenesh2_pg.C_900128
ENSGALP00000021521	estExt_fgenesh2_pg.C_900128
ENSGALP00000021522	estExt_fgenesh2_pg.C_900128
ENSGALP00000008717	estExt_fgenesh2_pg.C_910009
ENSGALP00000001460	estExt_fgenesh2_pg.C_920027
ENSGALP00000001091	estExt_fgenesh2_pg.C_930088
ENSGALP00000031666	estExt_fgenesh2_pg.C_930120
ENSGALP00000004614	estExt_fgenesh2_pg.C_930121
ENSGALP00000016152	estExt_fgenesh2_pg.C_930121
ENSGALP00000004355	estExt_fgenesh2_pg.C_930139
ENSGALP00000024537	estExt_fgenesh2_pg.C_930139
ENSGALP00000007666	estExt_fgenesh2_pg.C_940071
ENSGALP00000041690	estExt_fgenesh2_pg.C_940071
ENSGALP00000013303	estExt_fgenesh2_pg.C_940125
ENSGALP00000023699	estExt_fgenesh2_pg.C_960017
ENSGALP00000034254	estExt_fgenesh2_pg.C_960039
ENSGALP00000019314	estExt_fgenesh2_pg.C_960039
ENSGALP00000016241	estExt_fgenesh2_pg.C_960039
ENSGALP00000016720	estExt_fgenesh2_pg.C_960056
ENSGALP00000011001	estExt_fgenesh2_pg.C_960118
ENSGALP00000004467	estExt_fgenesh2_pg.C_960120
ENSGALP00000011983	estExt_fgenesh2_pg.C_970006
ENSGALP00000021892	estExt_fgenesh2_pg.C_970050
ENSGALP00000030640	estExt_fgenesh2_pg.C_970097
ENSGALP00000019126	estExt_fgenesh2_pg.C_970103
ENSGALP00000000795	estExt_fgenesh2_pg.C_970116
ENSGALP00000036879	estExt_fgenesh2_pg.C_980036
ENSGALP00000004383	estExt_fgenesh2_pg.C_980045
ENSGALP00000015743	estExt_fgenesh2_pg.C_990046
ENSGALP00000020513	estExt_fgenesh2_pg.C_1000011
ENSGALP00000041002	estExt_fgenesh2_pg.C_1000011
ENSGALP00000020730	estExt_fgenesh2_pg.C_1000077
ENSGALP00000009979	estExt_fgenesh2_pg.C_1000083
ENSGALP00000005591	estExt_fgenesh2_pg.C_1000107
ENSGALP00000009885	estExt_fgenesh2_pg.C_1010014
ENSGALP00000016417	estExt_fgenesh2_pg.C_1020058
ENSGALP00000027475	estExt_fgenesh2_pg.C_1020060
ENSGALP00000014389	estExt_fgenesh2_pg.C_1020065
ENSGALP00000022091	estExt_fgenesh2_pg.C_1030007
ENSGALP00000008118	estExt_fgenesh2_pg.C_1030024
ENSGALP00000003016	estExt_fgenesh2_pg.C_1030024
ENSGALP00000041981	estExt_fgenesh2_pg.C_1030039
ENSGALP00000014485	estExt_fgenesh2_pg.C_1030056
ENSGALP00000035122	estExt_fgenesh2_pg.C_1030063
ENSGALP00000007694	estExt_fgenesh2_pg.C_1030074
ENSGALP00000029784	estExt_fgenesh2_pg.C_1040026
ENSGALP00000023798	estExt_fgenesh2_pg.C_1050030
ENSGALP00000039814	estExt_fgenesh2_pg.C_1050030
ENSGALP00000022385	estExt_fgenesh2_pg.C_1050052
ENSGALP00000015495	estExt_fgenesh2_pg.C_1050107
ENSGALP00000000749	estExt_fgenesh2_pg.C_1050112
ENSGALP00000022724	estExt_fgenesh2_pg.C_1050118
ENSGALP00000022731	estExt_fgenesh2_pg.C_1050120
ENSGALP00000043003	estExt_fgenesh2_pg.C_1060024
ENSGALP00000032131	estExt_fgenesh2_pg.C_1060034
ENSGALP00000042918	estExt_fgenesh2_pg.C_1060034
ENSGALP00000041311	estExt_fgenesh2_pg.C_1060034
ENSGALP00000009263	estExt_fgenesh2_pg.C_1060085
ENSGALP00000018477	estExt_fgenesh2_pg.C_1060085
ENSGALP00000000282	estExt_fgenesh2_pg.C_1070082
ENSGALP00000043118	estExt_fgenesh2_pg.C_1070085
ENSGALP00000005314	estExt_fgenesh2_pg.C_1080001
ENSGALP00000003898	estExt_fgenesh2_pg.C_1080011
ENSGALP00000026115	estExt_fgenesh2_pg.C_1080073
ENSGALP00000008114	estExt_fgenesh2_pg.C_1080073
ENSGALP00000012759	estExt_fgenesh2_pg.C_1090080
ENSGALP00000027059	estExt_fgenesh2_pg.C_1090080
ENSGALP00000001353	estExt_fgenesh2_pg.C_1090080
ENSGALP00000011130	estExt_fgenesh2_pg.C_1100021
ENSGALP00000041048	estExt_fgenesh2_pg.C_1100025
ENSGALP00000005554	estExt_fgenesh2_pg.C_1100073
ENSGALP00000003297	estExt_fgenesh2_pg.C_1110071
ENSGALP00000004546	estExt_fgenesh2_pg.C_1120003
ENSGALP00000012309	estExt_fgenesh2_pg.C_1120010
ENSGALP00000019161	estExt_fgenesh2_pg.C_1120013
ENSGALP00000007481	estExt_fgenesh2_pg.C_1120024
ENSGALP00000007472	estExt_fgenesh2_pg.C_1120025
ENSGALP00000007498	estExt_fgenesh2_pg.C_1120028
ENSGALP00000007054	estExt_fgenesh2_pg.C_1120028
ENSGALP00000014571	estExt_fgenesh2_pg.C_1120040
ENSGALP00000005991	estExt_fgenesh2_pg.C_1120063
ENSGALP00000042164	estExt_fgenesh2_pg.C_1120063
ENSGALP00000036843	estExt_fgenesh2_pg.C_1120063
ENSGALP00000000599	estExt_fgenesh2_pg.C_1120063
ENSGALP00000040696	estExt_fgenesh2_pg.C_1120063
ENSGALP00000007558	estExt_fgenesh2_pg.C_1120067
ENSGALP00000012961	estExt_fgenesh2_pg.C_1120068
ENSGALP00000009899	estExt_fgenesh2_pg.C_1120068
ENSGALP00000022893	estExt_fgenesh2_pg.C_1120080
ENSGALP00000021249	estExt_fgenesh2_pg.C_1120080
ENSGALP00000042346	estExt_fgenesh2_pg.C_1120080
ENSGALP00000010380	estExt_fgenesh2_pg.C_1120084
ENSGALP00000035601	estExt_fgenesh2_pg.C_1120087
ENSGALP00000005329	estExt_fgenesh2_pg.C_1120089
ENSGALP00000006013	estExt_fgenesh2_pg.C_1120095
ENSGALP00000000702	estExt_fgenesh2_pg.C_1120098
ENSGALP00000012932	estExt_fgenesh2_pg.C_1120103
ENSGALP00000043372	estExt_fgenesh2_pg.C_1130049
ENSGALP00000024333	estExt_fgenesh2_pg.C_1130066
ENSGALP00000002436	estExt_fgenesh2_pg.C_1140070
ENSGALP00000039926	estExt_fgenesh2_pg.C_1140098
ENSGALP00000015982	estExt_fgenesh2_pg.C_1150048
ENSGALP00000009479	estExt_fgenesh2_pg.C_1150058
ENSGALP00000020571	estExt_fgenesh2_pg.C_1150080
ENSGALP00000004055	estExt_fgenesh2_pg.C_1150114
ENSGALP00000027459	estExt_fgenesh2_pg.C_1160030
ENSGALP00000042808	estExt_fgenesh2_pg.C_1160032
ENSGALP00000002819	estExt_fgenesh2_pg.C_1160039
ENSGALP00000006931	estExt_fgenesh2_pg.C_1160044
ENSGALP00000011170	estExt_fgenesh2_pg.C_1160045
ENSGALP00000015002	estExt_fgenesh2_pg.C_1160046
ENSGALP00000035895	estExt_fgenesh2_pg.C_1160047
ENSGALP00000006234	estExt_fgenesh2_pg.C_1160048
ENSGALP00000000215	estExt_fgenesh2_pg.C_1160051
ENSGALP00000004659	estExt_fgenesh2_pg.C_1160053
ENSGALP00000026941	estExt_fgenesh2_pg.C_1160054
ENSGALP00000006677	estExt_fgenesh2_pg.C_1160055
ENSGALP00000026719	estExt_fgenesh2_pg.C_1160056
ENSGALP00000014240	estExt_fgenesh2_pg.C_1160069
ENSGALP00000022938	estExt_fgenesh2_pg.C_1160084
ENSGALP00000042209	estExt_fgenesh2_pg.C_1160085
ENSGALP00000008628	estExt_fgenesh2_pg.C_1180024
ENSGALP00000009200	estExt_fgenesh2_pg.C_1180024
ENSGALP00000002756	estExt_fgenesh2_pg.C_1180086
ENSGALP00000017630	estExt_fgenesh2_pg.C_1190012
ENSGALP00000042042	estExt_fgenesh2_pg.C_1190015
ENSGALP00000001803	estExt_fgenesh2_pg.C_1190028
ENSGALP00000001786	estExt_fgenesh2_pg.C_1190029
ENSGALP00000042839	estExt_fgenesh2_pg.C_1190030
ENSGALP00000040224	estExt_fgenesh2_pg.C_1190033
ENSGALP00000012361	estExt_fgenesh2_pg.C_1190054
ENSGALP00000040954	estExt_fgenesh2_pg.C_1190055
ENSGALP00000032767	estExt_fgenesh2_pg.C_1190057
ENSGALP00000012713	estExt_fgenesh2_pg.C_1190074
ENSGALP00000010860	estExt_fgenesh2_pg.C_1190103
ENSGALP00000008508	estExt_fgenesh2_pg.C_1200005
ENSGALP00000007172	estExt_fgenesh2_pg.C_1200012
ENSGALP00000020005	estExt_fgenesh2_pg.C_1200013
ENSGALP00000043142	estExt_fgenesh2_pg.C_1200013
ENSGALP00000020647	estExt_fgenesh2_pg.C_1200019
ENSGALP00000038179	estExt_fgenesh2_pg.C_1200024
ENSGALP00000021657	estExt_fgenesh2_pg.C_1200025
ENSGALP00000013917	estExt_fgenesh2_pg.C_1200037
ENSGALP00000036909	estExt_fgenesh2_pg.C_1200038
ENSGALP00000016898	estExt_fgenesh2_pg.C_1200038
ENSGALP00000018320	estExt_fgenesh2_pg.C_1200038
ENSGALP00000016054	estExt_fgenesh2_pg.C_1200057
ENSGALP00000036644	estExt_fgenesh2_pg.C_1200063
ENSGALP00000013447	estExt_fgenesh2_pg.C_1200069
ENSGALP00000038183	estExt_fgenesh2_pg.C_1200082
ENSGALP00000015055	estExt_fgenesh2_pg.C_1200085
ENSGALP00000016307	estExt_fgenesh2_pg.C_1200086
ENSGALP00000043240	estExt_fgenesh2_pg.C_1200110
ENSGALP00000018184	estExt_fgenesh2_pg.C_1200129
ENSGALP00000040819	estExt_fgenesh2_pg.C_1210004
ENSGALP00000032302	estExt_fgenesh2_pg.C_1210009
ENSGALP00000018470	estExt_fgenesh2_pg.C_1210015
ENSGALP00000033089	estExt_fgenesh2_pg.C_1210029
ENSGALP00000004720	estExt_fgenesh2_pg.C_1210037
ENSGALP00000003950	estExt_fgenesh2_pg.C_1210078
ENSGALP00000042988	estExt_fgenesh2_pg.C_1220008
ENSGALP00000034390	estExt_fgenesh2_pg.C_1220012
ENSGALP00000026781	estExt_fgenesh2_pg.C_1220016
ENSGALP00000026672	estExt_fgenesh2_pg.C_1220037
ENSGALP00000026694	estExt_fgenesh2_pg.C_1220040
ENSGALP00000002238	estExt_fgenesh2_pg.C_1220052
ENSGALP00000003644	estExt_fgenesh2_pg.C_1220067
ENSGALP00000012897	estExt_fgenesh2_pg.C_1220076
ENSGALP00000024981	estExt_fgenesh2_pg.C_1220082
ENSGALP00000005531	estExt_fgenesh2_pg.C_1220082
ENSGALP00000009715	estExt_fgenesh2_pg.C_1220084
ENSGALP00000022592	estExt_fgenesh2_pg.C_1220091
ENSGALP00000026633	estExt_fgenesh2_pg.C_1230005
ENSGALP00000026014	estExt_fgenesh2_pg.C_1230016
ENSGALP00000026682	estExt_fgenesh2_pg.C_1230016
ENSGALP00000025845	estExt_fgenesh2_pg.C_1230018
ENSGALP00000037592	estExt_fgenesh2_pg.C_1230020
ENSGALP00000009531	estExt_fgenesh2_pg.C_1230027
ENSGALP00000026378	estExt_fgenesh2_pg.C_1230027
ENSGALP00000001451	estExt_fgenesh2_pg.C_1230031
ENSGALP00000022655	estExt_fgenesh2_pg.C_1230031
ENSGALP00000017671	estExt_fgenesh2_pg.C_1230035
ENSGALP00000010185	estExt_fgenesh2_pg.C_1230036
ENSGALP00000020739	estExt_fgenesh2_pg.C_1230045
ENSGALP00000026333	estExt_fgenesh2_pg.C_1230050
ENSGALP00000007487	estExt_fgenesh2_pg.C_1230059
ENSGALP00000036139	estExt_fgenesh2_pg.C_1230066
ENSGALP00000024711	estExt_fgenesh2_pg.C_1230075
ENSGALP00000030991	estExt_fgenesh2_pg.C_1230077
ENSGALP00000041549	estExt_fgenesh2_pg.C_1230082
ENSGALP00000023743	estExt_fgenesh2_pg.C_1230090
ENSGALP00000009835	estExt_fgenesh2_pg.C_1230094
ENSGALP00000000246	estExt_fgenesh2_pg.C_1230095
ENSGALP00000017451	estExt_fgenesh2_pg.C_1240006
ENSGALP00000027068	estExt_fgenesh2_pg.C_1240012
ENSGALP00000025431	estExt_fgenesh2_pg.C_1240021
ENSGALP00000009607	estExt_fgenesh2_pg.C_1240024
ENSGALP00000014831	estExt_fgenesh2_pg.C_1240024
ENSGALP00000026313	estExt_fgenesh2_pg.C_1240024
ENSGALP00000013429	estExt_fgenesh2_pg.C_1240038
ENSGALP00000033376	estExt_fgenesh2_pg.C_1240038
ENSGALP00000030720	estExt_fgenesh2_pg.C_1240062
ENSGALP00000033890	estExt_fgenesh2_pg.C_1240065
ENSGALP00000022226	estExt_fgenesh2_pg.C_1240071
ENSGALP00000001278	estExt_fgenesh2_pg.C_1240071
ENSGALP00000006304	estExt_fgenesh2_pg.C_1240071
ENSGALP00000004335	estExt_fgenesh2_pg.C_1240082
ENSGALP00000040974	estExt_fgenesh2_pg.C_1240082
ENSGALP00000002472	estExt_fgenesh2_pg.C_1250017
ENSGALP00000012899	estExt_fgenesh2_pg.C_1250021
ENSGALP00000026521	estExt_fgenesh2_pg.C_1250038
ENSGALP00000009272	estExt_fgenesh2_pg.C_1250042
ENSGALP00000026336	estExt_fgenesh2_pg.C_1250042
ENSGALP00000039206	estExt_fgenesh2_pg.C_1250043
ENSGALP00000041101	estExt_fgenesh2_pg.C_1250044
ENSGALP00000007350	estExt_fgenesh2_pg.C_1250045
ENSGALP00000025472	estExt_fgenesh2_pg.C_1250052
ENSGALP00000019317	estExt_fgenesh2_pg.C_1250054
ENSGALP00000012233	estExt_fgenesh2_pg.C_1250059
ENSGALP00000021314	estExt_fgenesh2_pg.C_1250060
ENSGALP00000027238	estExt_fgenesh2_pg.C_1250064
ENSGALP00000026660	estExt_fgenesh2_pg.C_1250066
ENSGALP00000043438	estExt_fgenesh2_pg.C_1250075
