ENSACAP00000000005	SINCAM006024
ENSACAP00000004729	SINCAM922555
ENSACAP00000004730	SINCAM900153
ENSACAP00000004731	SINCAM013898
ENSACAP00000004732	SINCAM014438
ENSACAP00000004734	SINCAM011389
ENSACAP00000004736	SINCAM008861
ENSACAP00000004737	SINCAM009281
ENSACAP00000004739	SINCAM010195
ENSACAP00000004742	SINCAM920898
ENSACAP00000004743	SINCAM002783
ENSACAP00000004745	SINCAM003049
ENSACAP00000004746	SINCAM012980
ENSACAP00000004747	SINCAM900012
ENSACAP00000004748	SINCAM013899
ENSACAP00000004749	SINCAM018064
ENSACAP00000004750	SINCAM006470
ENSACAP00000004757	SINCAM010843
ENSACAP00000004760	SINCAM900017
ENSACAP00000004761	SINCAM005140
ENSACAP00000004762	SINCAM921554
ENSACAP00000004764	SINCAM007480
ENSACAP00000004765	SINCAM008359
ENSACAP00000004766	SINCAM008569
ENSACAP00000004767	SINCAM004861
ENSACAP00000004770	SINCAM005139
ENSACAP00000004774	SINCAM014421
ENSACAP00000004775	SINCAM921144
ENSACAP00000004779	SINCAM010841
ENSACAP00000004781	SINCAM002862
ENSACAP00000004782	SINCAM922660
ENSACAP00000004783	SINCAM016760
ENSACAP00000004786	SINCAM002861
ENSACAP00000004787	SINCAM002860
ENSACAP00000004788	SINCAM004472
ENSACAP00000004790	SINCAM006966
ENSACAP00000004791	SINCAM004858
ENSACAP00000004792	SINCAM014796
ENSACAP00000004793	SINCAM009385
ENSACAP00000004794	SINCAM922380
ENSACAP00000004795	SINCAM007479
ENSACAP00000004796	SINCAM010845
ENSACAP00000004797	SINCAM010117
ENSACAP00000004798	SINCAM922728
ENSACAP00000004799	SINCAM922723
ENSACAP00000004800	SINCAM921818
ENSACAP00000004801	SINCAM002719
ENSACAP00000004802	SINCAM010194
ENSACAP00000004804	SINCAM009437
ENSACAP00000004805	SINCAM922263
ENSACAP00000004806	SINCAM012271
ENSACAP00000004807	SINCAM007976
ENSACAP00000004808	SINCAM013889
ENSACAP00000004809	SINCAM014822
ENSACAP00000004810	SINCAM006183
ENSACAP00000004811	SINCAM003430
ENSACAP00000004812	SINCAM008358
ENSACAP00000004813	SINCAM005392
ENSACAP00000004814	SINCAM000834
ENSACAP00000004815	SINCAM006467
ENSACAP00000004816	SINCAM921514
ENSACAP00000004817	SINCAM009762
ENSACAP00000004818	SINCAM013916
ENSACAP00000004819	SINCAM018015
ENSACAP00000004820	SINCAM002943
ENSACAP00000004823	SINCAM007320
ENSACAP00000004825	SINCAM003717
ENSACAP00000004827	SINCAM009493
ENSACAP00000004828	SINCAM900083
ENSACAP00000004829	SINCAM003716
ENSACAP00000004830	SINCAM013455
ENSACAP00000004831	SINCAM013405
ENSACAP00000004832	SINCAM004475
ENSACAP00000004833	SINCAM014874
ENSACAP00000004834	SINCAM920852
ENSACAP00000004835	SINCAM007478
ENSACAP00000004836	SINCAM013457
ENSACAP00000004837	SINCAM011363
ENSACAP00000004838	SINCAM005138
ENSACAP00000004839	SINCAM921319
ENSACAP00000004840	SINCAM009438
ENSACAP00000004841	SINCAM014745
ENSACAP00000004842	SINCAM012273
ENSACAP00000004843	SINCAM008357
ENSACAP00000004844	SINCAM921556
ENSACAP00000004845	SINCAM009492
ENSACAP00000004846	SINCAM009439
ENSACAP00000004848	SINCAM009268
ENSACAP00000004850	SINCAM013934
ENSACAP00000004851	SINCAM921322
ENSACAP00000004853	SINCAM003536
ENSACAP00000004854	SINCAM007314
ENSACAP00000004855	SINCAM008771
ENSACAP00000004857	SINCAM005181
ENSACAP00000004858	SINCAM013404
ENSACAP00000004859	SINCAM006340
ENSACAP00000004861	SINCAM012296
ENSACAP00000004862	SINCAM007755
ENSACAP00000004864	SINCAM921744
ENSACAP00000004865	SINCAM007788
ENSACAP00000004867	SINCAM009562
ENSACAP00000004868	SINCAM921429
ENSACAP00000004870	SINCAM922296
ENSACAP00000004872	SINCAM008355
ENSACAP00000004874	SINCAM005265
ENSACAP00000004875	SINCAM009561
ENSACAP00000004876	SINCAM002677
ENSACAP00000004880	SINCAM006339
ENSACAP00000004881	SINCAM921181
ENSACAP00000004882	SINCAM922516
ENSACAP00000004884	SINCAM012452
ENSACAP00000004885	SINCAM003535
ENSACAP00000004886	SINCAM014051
ENSACAP00000004887	SINCAM005215
ENSACAP00000004890	SINCAM016480
ENSACAP00000004891	SINCAM010193
ENSACAP00000004892	SINCAM922517
ENSACAP00000004893	SINCAM921980
ENSACAP00000004896	SINCAM922544
ENSACAP00000004899	SINCAM014821
ENSACAP00000004900	SINCAM002859
ENSACAP00000004902	SINCAM013085
ENSACAP00000004903	SINCAM009698
ENSACAP00000004905	SINCAM921922
ENSACAP00000004907	SINCAM004031
ENSACAP00000004908	SINCAM012406
ENSACAP00000004913	SINCAM004857
ENSACAP00000004916	SINCAM000902
ENSACAP00000004917	SINCAM006338
ENSACAP00000004922	SINCAM003534
ENSACAP00000004923	SINCAM008930
ENSACAP00000004924	SINCAM013279
ENSACAP00000004925	SINCAM013671
ENSACAP00000004927	SINCAM011746
ENSACAP00000004929	SINCAM015171
ENSACAP00000004930	SINCAM011871
ENSACAP00000004931	SINCAM005235
ENSACAP00000004932	SINCAM007475
ENSACAP00000004933	SINCAM006454
ENSACAP00000004935	SINCAM921383
ENSACAP00000004937	SINCAM921558
ENSACAP00000004938	SINCAM004029
ENSACAP00000004940	SINCAM006185
ENSACAP00000004941	SINCAM003532
ENSACAP00000004942	SINCAM921382
ENSACAP00000004944	SINCAM922644
ENSACAP00000004945	SINCAM921381
ENSACAP00000004948	SINCAM921239
ENSACAP00000004951	SINCAM921923
ENSACAP00000004953	SINCAM004477
ENSACAP00000004954	SINCAM922324
ENSACAP00000004955	SINCAM014113
ENSACAP00000004959	SINCAM922540
ENSACAP00000004960	SINCAM004855
ENSACAP00000004962	SINCAM011870
ENSACAP00000004963	SINCAM002931
ENSACAP00000004964	SINCAM013281
ENSACAP00000004965	SINCAM000202
ENSACAP00000004966	SINCAM921777
ENSACAP00000004967	SINCAM002945
ENSACAP00000004971	SINCAM922245
ENSACAP00000004973	SINCAM002947
ENSACAP00000004974	SINCAM922244
ENSACAP00000004975	SINCAM005211
ENSACAP00000004976	SINCAM007474
ENSACAP00000004977	SINCAM920896
ENSACAP00000004979	SINCAM004026
ENSACAP00000004980	SINCAM921924
ENSACAP00000004981	SINCAM000276
ENSACAP00000004982	SINCAM000203
ENSACAP00000004983	SINCAM008352
ENSACAP00000004986	SINCAM010192
ENSACAP00000004989	SINCAM012407
ENSACAP00000004990	SINCAM009270
ENSACAP00000004991	SINCAM013393
ENSACAP00000004993	SINCAM921778
ENSACAP00000004995	SINCAM013392
ENSACAP00000004996	SINCAM921182
ENSACAP00000004997	SINCAM921179
ENSACAP00000004998	SINCAM005209
ENSACAP00000004999	SINCAM007315
ENSACAP00000005000	SINCAM009271
ENSACAP00000005001	SINCAM001493
ENSACAP00000005002	SINCAM920459
ENSACAP00000005003	SINCAM921925
ENSACAP00000005005	SINCAM013391
ENSACAP00000005006	SINCAM920673
ENSACAP00000005007	SINCAM011477
ENSACAP00000005008	SINCAM008350
ENSACAP00000005010	SINCAM008348
ENSACAP00000005011	SINCAM016201
ENSACAP00000005012	SINCAM011869
ENSACAP00000005014	SINCAM003689
ENSACAP00000005015	SINCAM013825
ENSACAP00000005016	SINCAM006336
ENSACAP00000005017	SINCAM007473
ENSACAP00000005018	SINCAM008394
ENSACAP00000005019	SINCAM921747
ENSACAP00000005022	SINCAM008395
ENSACAP00000005026	SINCAM013167
ENSACAP00000005027	SINCAM000204
ENSACAP00000005028	SINCAM921672
ENSACAP00000005029	SINCAM007313
ENSACAP00000005030	SINCAM008935
ENSACAP00000005031	SINCAM921779
ENSACAP00000005032	SINCAM010797
ENSACAP00000005034	SINCAM922173
ENSACAP00000005035	SINCAM921671
ENSACAP00000005039	SINCAM012434
ENSACAP00000005040	SINCAM004853
ENSACAP00000005041	SINCAM000177
ENSACAP00000005042	SINCAM008381
ENSACAP00000005043	SINCAM921573
ENSACAP00000005044	SINCAM006513
ENSACAP00000005045	SINCAM003911
ENSACAP00000005046	SINCAM011478
ENSACAP00000005048	SINCAM009440
ENSACAP00000005050	SINCAM008934
ENSACAP00000005051	SINCAM012435
ENSACAP00000005052	SINCAM006318
ENSACAP00000005053	SINCAM011467
ENSACAP00000005054	SINCAM007978
ENSACAP00000005055	SINCAM002948
ENSACAP00000005057	SINCAM000277
ENSACAP00000005058	SINCAM007312
ENSACAP00000005059	SINCAM001538
ENSACAP00000005060	SINCAM006512
ENSACAP00000005063	SINCAM003895
ENSACAP00000005064	SINCAM921072
ENSACAP00000005065	SINCAM001485
ENSACAP00000005067	SINCAM005390
ENSACAP00000005068	SINCAM001501
ENSACAP00000005070	SINCAM006469
ENSACAP00000005071	SINCAM001484
ENSACAP00000005072	SINCAM000664
ENSACAP00000005073	SINCAM013164
ENSACAP00000005074	SINCAM014818
ENSACAP00000005082	SINCAM014817
ENSACAP00000005083	SINCAM001482
ENSACAP00000005084	SINCAM006020
ENSACAP00000005085	SINCAM921021
ENSACAP00000005086	SINCAM006316
ENSACAP00000005087	SINCAM009850
ENSACAP00000005088	SINCAM001500
ENSACAP00000005089	SINCAM921022
ENSACAP00000005090	SINCAM001717
ENSACAP00000005092	SINCAM003673
ENSACAP00000005093	SINCAM014376
ENSACAP00000005094	SINCAM001480
ENSACAP00000005095	SINCAM014816
ENSACAP00000005096	SINCAM921748
ENSACAP00000005097	SINCAM922478
ENSACAP00000005098	SINCAM009104
ENSACAP00000005100	SINCAM921448
ENSACAP00000005101	SINCAM009406
ENSACAP00000005102	SINCAM006885
ENSACAP00000005103	SINCAM012438
ENSACAP00000005105	SINCAM011362
ENSACAP00000005107	SINCAM003478
ENSACAP00000005109	SINCAM002821
ENSACAP00000005110	SINCAM922279
ENSACAP00000005111	SINCAM014838
ENSACAP00000005113	SINCAM003040
ENSACAP00000005114	SINCAM013698
ENSACAP00000005116	SINCAM921057
ENSACAP00000005118	SINCAM010711
ENSACAP00000005119	SINCAM012437
ENSACAP00000005120	SINCAM009407
ENSACAP00000005121	SINCAM013754
ENSACAP00000005122	SINCAM012439
ENSACAP00000005123	SINCAM001719
ENSACAP00000005124	SINCAM014871
ENSACAP00000005126	SINCAM012362
ENSACAP00000005127	SINCAM007825
ENSACAP00000005129	SINCAM009413
ENSACAP00000005130	SINCAM000662
ENSACAP00000005131	SINCAM011066
ENSACAP00000005132	SINCAM005389
ENSACAP00000005133	SINCAM012440
ENSACAP00000005134	SINCAM013359
ENSACAP00000005137	SINCAM003672
ENSACAP00000005138	SINCAM002873
ENSACAP00000005139	SINCAM003899
ENSACAP00000005141	SINCAM004788
ENSACAP00000005143	SINCAM003690
ENSACAP00000005144	SINCAM002949
ENSACAP00000005145	SINCAM004953
ENSACAP00000005147	SINCAM921749
ENSACAP00000005148	SINCAM003900
ENSACAP00000005151	SINCAM003671
ENSACAP00000005153	SINCAM010774
ENSACAP00000005154	SINCAM002951
ENSACAP00000005163	SINCAM001499
ENSACAP00000005168	SINCAM011290
ENSACAP00000005170	SINCAM015605
ENSACAP00000005171	SINCAM008380
ENSACAP00000005172	SINCAM002546
ENSACAP00000005176	SINCAM920800
ENSACAP00000005178	SINCAM007810
ENSACAP00000005180	SINCAM014815
ENSACAP00000005181	SINCAM014236
ENSACAP00000005183	SINCAM004787
ENSACAP00000005184	SINCAM009442
ENSACAP00000005186	SINCAM008944
ENSACAP00000005187	SINCAM012360
ENSACAP00000005190	SINCAM921751
ENSACAP00000005192	SINCAM002340
ENSACAP00000005193	SINCAM013283
ENSACAP00000005194	SINCAM008699
ENSACAP00000005197	SINCAM920770
ENSACAP00000005200	SINCAM003312
ENSACAP00000005202	SINCAM002342
ENSACAP00000005203	SINCAM003825
ENSACAP00000005206	SINCAM008946
ENSACAP00000005207	SINCAM922008
ENSACAP00000005208	SINCAM008397
ENSACAP00000005213	SINCAM003730
ENSACAP00000005217	SINCAM002953
ENSACAP00000005218	SINCAM921753
ENSACAP00000005219	SINCAM009412
ENSACAP00000005221	SINCAM001722
ENSACAP00000005222	SINCAM013052
ENSACAP00000005223	SINCAM921555
ENSACAP00000005225	SINCAM012841
ENSACAP00000005226	SINCAM900265
ENSACAP00000005227	SINCAM012443
ENSACAP00000005228	SINCAM005387
ENSACAP00000005229	SINCAM002790
ENSACAP00000005230	SINCAM922499
ENSACAP00000005232	SINCAM922498
ENSACAP00000005233	SINCAM008100
ENSACAP00000005236	SINCAM013053
ENSACAP00000005238	SINCAM003670
ENSACAP00000005241	SINCAM009278
ENSACAP00000005245	SINCAM002955
ENSACAP00000005246	SINCAM002754
ENSACAP00000005247	SINCAM002797
ENSACAP00000005249	SINCAM010177
ENSACAP00000005250	SINCAM922461
ENSACAP00000005251	SINCAM013636
ENSACAP00000005253	SINCAM008231
ENSACAP00000005256	SINCAM009277
ENSACAP00000005257	SINCAM006836
ENSACAP00000005258	SINCAM000660
ENSACAP00000005259	SINCAM900172
ENSACAP00000005260	SINCAM006717
ENSACAP00000005261	SINCAM006566
ENSACAP00000005262	SINCAM920801
ENSACAP00000005263	SINCAM007417
ENSACAP00000005265	SINCAM008658
ENSACAP00000005266	SINCAM010107
ENSACAP00000005267	SINCAM004085
ENSACAP00000005268	SINCAM006187
ENSACAP00000005269	SINCAM012889
ENSACAP00000005272	SINCAM009276
ENSACAP00000005274	SINCAM922815
ENSACAP00000005275	SINCAM002956
ENSACAP00000005276	SINCAM005214
ENSACAP00000005277	SINCAM005204
ENSACAP00000005278	SINCAM011821
ENSACAP00000005279	SINCAM002957
ENSACAP00000005280	SINCAM003902
ENSACAP00000005282	SINCAM003669
ENSACAP00000005284	SINCAM922141
ENSACAP00000005286	SINCAM014832
ENSACAP00000005290	SINCAM011417
ENSACAP00000005291	SINCAM009079
ENSACAP00000005292	SINCAM009410
ENSACAP00000005293	SINCAM016425
ENSACAP00000005296	SINCAM009275
ENSACAP00000005299	SINCAM002959
ENSACAP00000005300	SINCAM005674
ENSACAP00000005301	SINCAM001060
ENSACAP00000005302	SINCAM006884
ENSACAP00000005303	SINCAM004079
ENSACAP00000005304	SINCAM012633
ENSACAP00000005306	SINCAM921596
ENSACAP00000005307	SINCAM013920
ENSACAP00000005308	SINCAM004096
ENSACAP00000005309	SINCAM004095
ENSACAP00000005311	SINCAM008618
ENSACAP00000005312	SINCAM922387
ENSACAP00000005316	SINCAM005385
ENSACAP00000005317	SINCAM011760
ENSACAP00000005318	SINCAM006188
ENSACAP00000005319	SINCAM011051
ENSACAP00000005321	SINCAM014161
ENSACAP00000005323	SINCAM920802
ENSACAP00000005326	SINCAM014160
ENSACAP00000005327	SINCAM921585
ENSACAP00000005328	SINCAM003728
ENSACAP00000005329	SINCAM010382
ENSACAP00000005330	SINCAM921597
ENSACAP00000005331	SINCAM002345
ENSACAP00000005332	SINCAM003732
ENSACAP00000005333	SINCAM921709
ENSACAP00000005334	SINCAM012628
ENSACAP00000005335	SINCAM010381
ENSACAP00000005336	SINCAM000642
ENSACAP00000005337	SINCAM002346
ENSACAP00000005338	SINCAM002785
ENSACAP00000005339	SINCAM922356
ENSACAP00000005343	SINCAM001608
ENSACAP00000005344	SINCAM010631
ENSACAP00000005351	SINCAM010380
ENSACAP00000005352	SINCAM003903
ENSACAP00000005354	SINCAM000641
ENSACAP00000005355	SINCAM001725
ENSACAP00000005357	SINCAM000639
ENSACAP00000005358	SINCAM000569
ENSACAP00000005360	SINCAM922752
ENSACAP00000005362	SINCAM011759
ENSACAP00000005363	SINCAM014159
ENSACAP00000005364	SINCAM002092
ENSACAP00000005365	SINCAM011080
ENSACAP00000005366	SINCAM003733
ENSACAP00000005370	SINCAM003738
ENSACAP00000005372	SINCAM012622
ENSACAP00000005373	SINCAM922427
ENSACAP00000005375	SINCAM011776
ENSACAP00000005376	SINCAM921714
ENSACAP00000005377	SINCAM006719
ENSACAP00000005378	SINCAM000638
ENSACAP00000005382	SINCAM001726
ENSACAP00000005389	SINCAM002881
ENSACAP00000005392	SINCAM014925
ENSACAP00000005394	SINCAM005036
ENSACAP00000005395	SINCAM001498
ENSACAP00000005396	SINCAM010379
ENSACAP00000005397	SINCAM922385
ENSACAP00000005399	SINCAM008653
ENSACAP00000005400	SINCAM004397
ENSACAP00000005401	SINCAM008230
ENSACAP00000005402	SINCAM005384
ENSACAP00000005404	SINCAM003666
ENSACAP00000005405	SINCAM003739
ENSACAP00000005407	SINCAM006720
ENSACAP00000005410	SINCAM005383
ENSACAP00000005411	SINCAM921729
ENSACAP00000005412	SINCAM920738
ENSACAP00000005413	SINCAM010378
ENSACAP00000005414	SINCAM002878
ENSACAP00000005415	SINCAM011081
ENSACAP00000005416	SINCAM001059
ENSACAP00000005417	SINCAM922428
ENSACAP00000005418	SINCAM011082
ENSACAP00000005420	SINCAM014091
ENSACAP00000005421	SINCAM010106
ENSACAP00000005422	SINCAM000637
ENSACAP00000005425	SINCAM003102
ENSACAP00000005427	SINCAM000657
ENSACAP00000005428	SINCAM003806
ENSACAP00000005429	SINCAM008655
ENSACAP00000005430	SINCAM920895
ENSACAP00000005432	SINCAM922430
ENSACAP00000005433	SINCAM001058
ENSACAP00000005435	SINCAM005896
ENSACAP00000005436	SINCAM920492
ENSACAP00000005437	SINCAM920579
ENSACAP00000005438	SINCAM003232
ENSACAP00000005441	SINCAM000636
ENSACAP00000005443	SINCAM003683
ENSACAP00000005444	SINCAM007130
ENSACAP00000005445	SINCAM005400
ENSACAP00000005446	SINCAM001496
ENSACAP00000005451	SINCAM013778
ENSACAP00000005459	SINCAM010377
ENSACAP00000005463	SINCAM008413
ENSACAP00000005464	SINCAM014315
ENSACAP00000005467	SINCAM002782
ENSACAP00000005469	SINCAM922320
ENSACAP00000005472	SINCAM001926
ENSACAP00000005474	SINCAM921678
ENSACAP00000005476	SINCAM002877
ENSACAP00000005478	SINCAM920886
ENSACAP00000005480	SINCAM007877
ENSACAP00000005481	SINCAM002551
ENSACAP00000005482	SINCAM001727
ENSACAP00000005486	SINCAM013153
ENSACAP00000005487	SINCAM003882
ENSACAP00000005491	SINCAM002875
ENSACAP00000005495	SINCAM010103
ENSACAP00000005497	SINCAM920710
ENSACAP00000005498	SINCAM002876
ENSACAP00000005499	SINCAM920441
ENSACAP00000005500	SINCAM921153
ENSACAP00000005502	SINCAM002874
ENSACAP00000005503	SINCAM012949
ENSACAP00000005504	SINCAM922625
ENSACAP00000005505	SINCAM003300
ENSACAP00000005506	SINCAM003744
ENSACAP00000005507	SINCAM009921
ENSACAP00000005508	SINCAM000634
ENSACAP00000005511	SINCAM001056
ENSACAP00000005512	SINCAM003876
ENSACAP00000005514	SINCAM009650
ENSACAP00000005515	SINCAM009652
ENSACAP00000005516	SINCAM010999
ENSACAP00000005518	SINCAM002552
ENSACAP00000005519	SINCAM002659
ENSACAP00000005522	SINCAM009408
ENSACAP00000005523	SINCAM002522
ENSACAP00000005527	SINCAM005261
ENSACAP00000005533	SINCAM010104
ENSACAP00000005534	SINCAM011132
ENSACAP00000005537	SINCAM005009
ENSACAP00000005539	SINCAM011129
ENSACAP00000005540	SINCAM014922
ENSACAP00000005541	SINCAM920893
ENSACAP00000005542	SINCAM012013
ENSACAP00000005543	SINCAM000632
ENSACAP00000005544	SINCAM000672
ENSACAP00000005546	SINCAM005399
ENSACAP00000005547	SINCAM016160
ENSACAP00000005549	SINCAM002553
ENSACAP00000005550	SINCAM013390
ENSACAP00000005552	SINCAM005300
ENSACAP00000005553	SINCAM001495
ENSACAP00000005554	SINCAM003663
ENSACAP00000005555	SINCAM009274
ENSACAP00000005556	SINCAM009368
ENSACAP00000005558	SINCAM004142
ENSACAP00000005559	SINCAM000881
ENSACAP00000005560	SINCAM005260
ENSACAP00000005561	SINCAM003805
ENSACAP00000005563	SINCAM008410
ENSACAP00000005564	SINCAM921674
ENSACAP00000005565	SINCAM011334
ENSACAP00000005567	SINCAM012012
ENSACAP00000005569	SINCAM014182
ENSACAP00000005570	SINCAM002786
ENSACAP00000005571	SINCAM921175
ENSACAP00000005573	SINCAM920884
ENSACAP00000005574	SINCAM922386
ENSACAP00000005576	SINCAM014921
ENSACAP00000005579	SINCAM920544
ENSACAP00000005580	SINCAM008409
ENSACAP00000005582	SINCAM009920
ENSACAP00000005583	SINCAM009273
ENSACAP00000005584	SINCAM005299
ENSACAP00000005585	SINCAM003804
ENSACAP00000005586	SINCAM920457
ENSACAP00000005587	SINCAM005239
ENSACAP00000005588	SINCAM922310
ENSACAP00000005589	SINCAM000838
ENSACAP00000005590	SINCAM003803
ENSACAP00000005591	SINCAM011793
ENSACAP00000005592	SINCAM921194
ENSACAP00000005594	SINCAM010101
ENSACAP00000005596	SINCAM003877
ENSACAP00000005599	SINCAM010652
ENSACAP00000005603	SINCAM005252
ENSACAP00000005610	SINCAM009272
ENSACAP00000005611	SINCAM920883
ENSACAP00000005612	SINCAM002846
ENSACAP00000005613	SINCAM012182
ENSACAP00000005614	SINCAM014920
ENSACAP00000005615	SINCAM000654
ENSACAP00000005616	SINCAM009918
ENSACAP00000005617	SINCAM002554
ENSACAP00000005618	SINCAM008576
ENSACAP00000005619	SINCAM004192
ENSACAP00000005620	SINCAM003228
ENSACAP00000005621	SINCAM921109
ENSACAP00000005622	SINCAM921150
ENSACAP00000005623	SINCAM004986
ENSACAP00000005624	SINCAM000631
ENSACAP00000005626	SINCAM005297
ENSACAP00000005628	SINCAM921942
ENSACAP00000005631	SINCAM001054
ENSACAP00000005633	SINCAM010102
ENSACAP00000005634	SINCAM004984
ENSACAP00000005638	SINCAM005343
ENSACAP00000005639	SINCAM015562
ENSACAP00000005640	SINCAM002824
ENSACAP00000005641	SINCAM921108
ENSACAP00000005643	SINCAM004983
ENSACAP00000005644	SINCAM007192
ENSACAP00000005645	SINCAM921193
ENSACAP00000005646	SINCAM000323
ENSACAP00000005648	SINCAM003226
ENSACAP00000005650	SINCAM005381
ENSACAP00000005651	SINCAM012404
ENSACAP00000005652	SINCAM003735
ENSACAP00000005653	SINCAM008250
ENSACAP00000005654	SINCAM006805
ENSACAP00000005658	SINCAM000217
ENSACAP00000005659	SINCAM002964
ENSACAP00000005660	SINCAM000656
ENSACAP00000005662	SINCAM001527
ENSACAP00000005665	SINCAM013637
ENSACAP00000005666	SINCAM922870
ENSACAP00000005669	SINCAM004850
ENSACAP00000005670	SINCAM003225
ENSACAP00000005671	SINCAM003401
ENSACAP00000005672	SINCAM012010
ENSACAP00000005673	SINCAM003800
ENSACAP00000005675	SINCAM009752
ENSACAP00000005676	SINCAM012181
ENSACAP00000005677	SINCAM922510
ENSACAP00000005678	SINCAM009808
ENSACAP00000005680	SINCAM009917
ENSACAP00000005681	SINCAM900285
ENSACAP00000005682	SINCAM005325
ENSACAP00000005688	SINCAM009654
ENSACAP00000005689	SINCAM011768
ENSACAP00000005694	SINCAM009810
ENSACAP00000005695	SINCAM005262
ENSACAP00000005696	SINCAM007190
ENSACAP00000005699	SINCAM005341
ENSACAP00000005702	SINCAM013530
ENSACAP00000005703	SINCAM000544
ENSACAP00000005706	SINCAM921704
ENSACAP00000005707	SINCAM003798
ENSACAP00000005708	SINCAM003398
ENSACAP00000005709	SINCAM000629
ENSACAP00000005714	SINCAM017596
ENSACAP00000005715	SINCAM006163
ENSACAP00000005716	SINCAM006916
ENSACAP00000005718	SINCAM002965
ENSACAP00000005719	SINCAM006162
ENSACAP00000005724	SINCAM010897
ENSACAP00000005726	SINCAM017595
ENSACAP00000005727	SINCAM005011
ENSACAP00000005732	SINCAM009916
ENSACAP00000005733	SINCAM016402
ENSACAP00000005734	SINCAM003397
ENSACAP00000005735	SINCAM011673
ENSACAP00000005737	SINCAM000628
ENSACAP00000005738	SINCAM000543
ENSACAP00000005740	SINCAM005326
ENSACAP00000005742	SINCAM012900
ENSACAP00000005744	SINCAM012805
ENSACAP00000005745	SINCAM921879
ENSACAP00000005747	SINCAM004004
ENSACAP00000005750	SINCAM004002
ENSACAP00000005752	SINCAM000837
ENSACAP00000005755	SINCAM006637
ENSACAP00000005760	SINCAM005327
ENSACAP00000005762	SINCAM922548
ENSACAP00000005764	SINCAM014440
ENSACAP00000005773	SINCAM001992
ENSACAP00000005777	SINCAM012178
ENSACAP00000005778	SINCAM012625
ENSACAP00000005779	SINCAM004082
ENSACAP00000005781	SINCAM013799
ENSACAP00000005783	SINCAM002966
ENSACAP00000005787	SINCAM920425
ENSACAP00000005788	SINCAM005018
ENSACAP00000005789	SINCAM004980
ENSACAP00000005790	SINCAM900054
ENSACAP00000005791	SINCAM921941
ENSACAP00000005792	SINCAM000626
ENSACAP00000005793	SINCAM000624
ENSACAP00000005794	SINCAM015155
ENSACAP00000005795	SINCAM003797
ENSACAP00000005797	SINCAM005337
ENSACAP00000005799	SINCAM000542
ENSACAP00000005801	SINCAM921408
ENSACAP00000005802	SINCAM920720
ENSACAP00000005805	SINCAM000069
ENSACAP00000005806	SINCAM900257
ENSACAP00000005808	SINCAM002967
ENSACAP00000005810	SINCAM922350
ENSACAP00000005815	SINCAM008248
ENSACAP00000005816	SINCAM921407
ENSACAP00000005819	SINCAM005148
ENSACAP00000005820	SINCAM011900
ENSACAP00000005823	SINCAM921404
ENSACAP00000005826	SINCAM921715
ENSACAP00000005827	SINCAM005019
ENSACAP00000005829	SINCAM006878
ENSACAP00000005830	SINCAM014312
ENSACAP00000005831	SINCAM005020
ENSACAP00000005832	SINCAM010643
ENSACAP00000005833	SINCAM005296
ENSACAP00000005834	SINCAM010198
ENSACAP00000005836	SINCAM001375
ENSACAP00000005840	SINCAM009811
ENSACAP00000005841	SINCAM008247
ENSACAP00000005842	SINCAM009914
ENSACAP00000005844	SINCAM008656
ENSACAP00000005846	SINCAM000541
ENSACAP00000005847	SINCAM922508
ENSACAP00000005849	SINCAM010324
ENSACAP00000005850	SINCAM000317
ENSACAP00000005851	SINCAM005328
ENSACAP00000005853	SINCAM003350
ENSACAP00000005855	SINCAM017510
ENSACAP00000005856	SINCAM922153
ENSACAP00000005857	SINCAM006879
ENSACAP00000005858	SINCAM002555
ENSACAP00000005859	SINCAM003351
ENSACAP00000005860	SINCAM003696
ENSACAP00000005864	SINCAM900165
ENSACAP00000005865	SINCAM010036
ENSACAP00000005867	SINCAM012176
ENSACAP00000005868	SINCAM900053
ENSACAP00000005869	SINCAM921878
ENSACAP00000005870	SINCAM003633
ENSACAP00000005872	SINCAM007186
ENSACAP00000005875	SINCAM014358
ENSACAP00000005876	SINCAM003352
ENSACAP00000005877	SINCAM007184
ENSACAP00000005878	SINCAM000112
ENSACAP00000005880	SINCAM000621
ENSACAP00000005881	SINCAM017041
ENSACAP00000005882	SINCAM010325
ENSACAP00000005883	SINCAM920877
ENSACAP00000005884	SINCAM002557
ENSACAP00000005885	SINCAM006237
ENSACAP00000005886	SINCAM007126
ENSACAP00000005887	SINCAM003697
ENSACAP00000005888	SINCAM008246
ENSACAP00000005890	SINCAM004784
ENSACAP00000005893	SINCAM000540
ENSACAP00000005895	SINCAM922312
ENSACAP00000005896	SINCAM009791
ENSACAP00000005899	SINCAM922178
ENSACAP00000005900	SINCAM011195
ENSACAP00000005901	SINCAM011083
ENSACAP00000005902	SINCAM006111
ENSACAP00000005903	SINCAM014363
ENSACAP00000005904	SINCAM010719
ENSACAP00000005906	SINCAM011901
ENSACAP00000005907	SINCAM014149
ENSACAP00000005910	SINCAM921318
ENSACAP00000005911	SINCAM922272
ENSACAP00000005913	SINCAM006880
ENSACAP00000005916	SINCAM001376
ENSACAP00000005917	SINCAM001052
ENSACAP00000005920	SINCAM920639
ENSACAP00000005924	SINCAM003623
ENSACAP00000005925	SINCAM003354
ENSACAP00000005926	SINCAM005294
ENSACAP00000005929	SINCAM014340
