fgenesh2_pg.scaffold_351000043	ENSCAFP00000012213
estExt_fgenesh2_pg.C_1850039	ENSCAFP00000035221
estExt_fgenesh2_pg.C_1850050	ENSCAFP00000019799
estExt_fgenesh2_pg.C_1850052	ENSCAFP00000018456
estExt_fgenesh2_pg.C_1850065	ENSCAFP00000017180
estExt_fgenesh2_pg.C_1850066	ENSCAFP00000030614
estExt_fgenesh2_pg.C_1850067	ENSCAFP00000018533
estExt_fgenesh2_pg.C_1850069	ENSCAFP00000024551
estExt_fgenesh2_pg.C_1850076	ENSCAFP00000013552
estExt_fgenesh2_pg.C_1850078	ENSCAFP00000021911
estExt_fgenesh2_pg.C_1850087	ENSCAFP00000003370
estExt_fgenesh2_pg.C_1850093	ENSCAFP00000003274
estExt_fgenesh2_pg.C_1850093	ENSCAFP00000029279
estExt_fgenesh2_pg.C_1850097	ENSCAFP00000019326
estExt_fgenesh2_pg.C_1850102	ENSCAFP00000012314
estExt_fgenesh2_pg.C_1860019	ENSCAFP00000019079
estExt_fgenesh2_pg.C_1860024	ENSCAFP00000024747
estExt_fgenesh2_pg.C_1860025	ENSCAFP00000016069
estExt_fgenesh2_pg.C_1860025	ENSCAFP00000041407
estExt_fgenesh2_pg.C_1860035	ENSCAFP00000016040
estExt_fgenesh2_pg.C_1860038	ENSCAFP00000027524
estExt_fgenesh2_pg.C_1860042	ENSCAFP00000012489
estExt_fgenesh2_pg.C_1860053	ENSCAFP00000025225
estExt_fgenesh2_pg.C_1860058	ENSCAFP00000039029
estExt_fgenesh2_pg.C_1870003	ENSCAFP00000041394
estExt_fgenesh2_pg.C_1870006	ENSCAFP00000003989
estExt_fgenesh2_pg.C_1870020	ENSCAFP00000010768
estExt_fgenesh2_pg.C_1870029	ENSCAFP00000028357
estExt_fgenesh2_pg.C_1870056	ENSCAFP00000007365
estExt_fgenesh2_pg.C_1870057	ENSCAFP00000012026
estExt_fgenesh2_pg.C_1870065	ENSCAFP00000036797
estExt_fgenesh2_pg.C_1870103	ENSCAFP00000006063
estExt_fgenesh2_pg.C_1880023	ENSCAFP00000009212
estExt_fgenesh2_pg.C_1880057	ENSCAFP00000007230
estExt_fgenesh2_pg.C_1880062	ENSCAFP00000041582
estExt_fgenesh2_pg.C_1880063	ENSCAFP00000039251
estExt_fgenesh2_pg.C_1880078	ENSCAFP00000006124
estExt_fgenesh2_pg.C_1880086	ENSCAFP00000009343
estExt_fgenesh2_pg.C_1880090	ENSCAFP00000001595
estExt_fgenesh2_pg.C_1880091	ENSCAFP00000042581
estExt_fgenesh2_pg.C_1880091	ENSCAFP00000026776
estExt_fgenesh2_pg.C_1880092	ENSCAFP00000001603
estExt_fgenesh2_pg.C_1880092	ENSCAFP00000012425
estExt_fgenesh2_pg.C_1880092	ENSCAFP00000022791
estExt_fgenesh2_pg.C_1880098	ENSCAFP00000040584
estExt_fgenesh2_pg.C_1880098	ENSCAFP00000032720
estExt_fgenesh2_pg.C_1880098	ENSCAFP00000042804
estExt_fgenesh2_pg.C_1880105	ENSCAFP00000002915
estExt_fgenesh2_pg.C_1890007	ENSCAFP00000005495
estExt_fgenesh2_pg.C_1890008	ENSCAFP00000034277
estExt_fgenesh2_pg.C_1890018	ENSCAFP00000019371
estExt_fgenesh2_pg.C_1890020	ENSCAFP00000041868
estExt_fgenesh2_pg.C_1890020	ENSCAFP00000039329
estExt_fgenesh2_pg.C_1890023	ENSCAFP00000015064
estExt_fgenesh2_pg.C_1890023	ENSCAFP00000027715
estExt_fgenesh2_pg.C_1890047	ENSCAFP00000013769
estExt_fgenesh2_pg.C_1890047	ENSCAFP00000004018
estExt_fgenesh2_pg.C_1890048	ENSCAFP00000009625
estExt_fgenesh2_pg.C_1900019	ENSCAFP00000029837
estExt_fgenesh2_pg.C_1910003	ENSCAFP00000015170
estExt_fgenesh2_pg.C_1910003	ENSCAFP00000010285
estExt_fgenesh2_pg.C_1910011	ENSCAFP00000014669
estExt_fgenesh2_pg.C_1910028	ENSCAFP00000018035
estExt_fgenesh2_pg.C_1910035	ENSCAFP00000014990
estExt_fgenesh2_pg.C_1910048	ENSCAFP00000009357
estExt_fgenesh2_pg.C_1910052	ENSCAFP00000015664
estExt_fgenesh2_pg.C_1910053	ENSCAFP00000018719
estExt_fgenesh2_pg.C_1910055	ENSCAFP00000022452
estExt_fgenesh2_pg.C_1910059	ENSCAFP00000024091
estExt_fgenesh2_pg.C_1910064	ENSCAFP00000019472
estExt_fgenesh2_pg.C_1910072	ENSCAFP00000017928
estExt_fgenesh2_pg.C_1910073	ENSCAFP00000009726
estExt_fgenesh2_pg.C_1910078	ENSCAFP00000023715
estExt_fgenesh2_pg.C_1910082	ENSCAFP00000022339
estExt_fgenesh2_pg.C_1910083	ENSCAFP00000001360
estExt_fgenesh2_pg.C_1910085	ENSCAFP00000031364
estExt_fgenesh2_pg.C_1910088	ENSCAFP00000024756
estExt_fgenesh2_pg.C_1910094	ENSCAFP00000014929
estExt_fgenesh2_pg.C_1910098	ENSCAFP00000019498
estExt_fgenesh2_pg.C_1910105	ENSCAFP00000019682
estExt_fgenesh2_pg.C_1910105	ENSCAFP00000020336
estExt_fgenesh2_pg.C_1920005	ENSCAFP00000018662
estExt_fgenesh2_pg.C_1920055	ENSCAFP00000001313
estExt_fgenesh2_pg.C_1930002	ENSCAFP00000043185
estExt_fgenesh2_pg.C_1930017	ENSCAFP00000029601
estExt_fgenesh2_pg.C_1930025	ENSCAFP00000004803
estExt_fgenesh2_pg.C_1930026	ENSCAFP00000040407
estExt_fgenesh2_pg.C_1930033	ENSCAFP00000036600
estExt_fgenesh2_pg.C_1930051	ENSCAFP00000028304
estExt_fgenesh2_pg.C_1930052	ENSCAFP00000025971
estExt_fgenesh2_pg.C_1930064	ENSCAFP00000011467
estExt_fgenesh2_pg.C_1930067	ENSCAFP00000000236
estExt_fgenesh2_pg.C_1930067	ENSCAFP00000008018
estExt_fgenesh2_pg.C_1940012	ENSCAFP00000001216
estExt_fgenesh2_pg.C_1940028	ENSCAFP00000031637
estExt_fgenesh2_pg.C_1940028	ENSCAFP00000025981
estExt_fgenesh2_pg.C_1950030	ENSCAFP00000042853
estExt_fgenesh2_pg.C_1950045	ENSCAFP00000018897
estExt_fgenesh2_pg.C_1950093	ENSCAFP00000017558
estExt_fgenesh2_pg.C_1950095	ENSCAFP00000000082
estExt_fgenesh2_pg.C_1950104	ENSCAFP00000000202
estExt_fgenesh2_pg.C_1950104	ENSCAFP00000033854
estExt_fgenesh2_pg.C_1960013	ENSCAFP00000019618
estExt_fgenesh2_pg.C_1960032	ENSCAFP00000037890
estExt_fgenesh2_pg.C_1960035	ENSCAFP00000039351
estExt_fgenesh2_pg.C_1960046	ENSCAFP00000021563
estExt_fgenesh2_pg.C_1960046	ENSCAFP00000008804
estExt_fgenesh2_pg.C_1960064	ENSCAFP00000042061
estExt_fgenesh2_pg.C_1960064	ENSCAFP00000002250
estExt_fgenesh2_pg.C_1960069	ENSCAFP00000019782
estExt_fgenesh2_pg.C_1960075	ENSCAFP00000021364
estExt_fgenesh2_pg.C_1960076	ENSCAFP00000025972
estExt_fgenesh2_pg.C_1960086	ENSCAFP00000038070
estExt_fgenesh2_pg.C_1970013	ENSCAFP00000031500
estExt_fgenesh2_pg.C_1970013	ENSCAFP00000006450
estExt_fgenesh2_pg.C_1970016	ENSCAFP00000037626
estExt_fgenesh2_pg.C_1970051	ENSCAFP00000040686
estExt_fgenesh2_pg.C_1970065	ENSCAFP00000036541
estExt_fgenesh2_pg.C_1970065	ENSCAFP00000003775
estExt_fgenesh2_pg.C_1970068	ENSCAFP00000016960
estExt_fgenesh2_pg.C_1970077	ENSCAFP00000010873
estExt_fgenesh2_pg.C_1970081	ENSCAFP00000011006
estExt_fgenesh2_pg.C_1970081	ENSCAFP00000024823
estExt_fgenesh2_pg.C_1970091	ENSCAFP00000003336
estExt_fgenesh2_pg.C_1970092	ENSCAFP00000000037
estExt_fgenesh2_pg.C_1970092	ENSCAFP00000000036
estExt_fgenesh2_pg.C_1970094	ENSCAFP00000003457
estExt_fgenesh2_pg.C_1980003	ENSCAFP00000012796
estExt_fgenesh2_pg.C_1980004	ENSCAFP00000004664
estExt_fgenesh2_pg.C_1980004	ENSCAFP00000040108
estExt_fgenesh2_pg.C_1980018	ENSCAFP00000019314
estExt_fgenesh2_pg.C_1980021	ENSCAFP00000011003
estExt_fgenesh2_pg.C_1980024	ENSCAFP00000000354
estExt_fgenesh2_pg.C_1980027	ENSCAFP00000028936
estExt_fgenesh2_pg.C_1980031	ENSCAFP00000042285
estExt_fgenesh2_pg.C_1980046	ENSCAFP00000005772
estExt_fgenesh2_pg.C_1980050	ENSCAFP00000005750
estExt_fgenesh2_pg.C_1980054	ENSCAFP00000001321
estExt_fgenesh2_pg.C_1980057	ENSCAFP00000020966
estExt_fgenesh2_pg.C_1980057	ENSCAFP00000000946
estExt_fgenesh2_pg.C_1980057	ENSCAFP00000018384
estExt_fgenesh2_pg.C_1980057	ENSCAFP00000024502
estExt_fgenesh2_pg.C_1980057	ENSCAFP00000032952
estExt_fgenesh2_pg.C_1980067	ENSCAFP00000016036
estExt_fgenesh2_pg.C_1980078	ENSCAFP00000019787
estExt_fgenesh2_pg.C_1980081	ENSCAFP00000004694
estExt_fgenesh2_pg.C_1990018	ENSCAFP00000042913
estExt_fgenesh2_pg.C_2000006	ENSCAFP00000003654
estExt_fgenesh2_pg.C_2000016	ENSCAFP00000005389
estExt_fgenesh2_pg.C_2000025	ENSCAFP00000001284
estExt_fgenesh2_pg.C_2000025	ENSCAFP00000006062
estExt_fgenesh2_pg.C_2000029	ENSCAFP00000005111
estExt_fgenesh2_pg.C_2000044	ENSCAFP00000009838
estExt_fgenesh2_pg.C_2000057	ENSCAFP00000023555
estExt_fgenesh2_pg.C_2010016	ENSCAFP00000034902
estExt_fgenesh2_pg.C_2010016	ENSCAFP00000018618
estExt_fgenesh2_pg.C_2010020	ENSCAFP00000001263
estExt_fgenesh2_pg.C_2010030	ENSCAFP00000028217
estExt_fgenesh2_pg.C_2010034	ENSCAFP00000010985
estExt_fgenesh2_pg.C_2010038	ENSCAFP00000025151
estExt_fgenesh2_pg.C_2010038	ENSCAFP00000000799
estExt_fgenesh2_pg.C_2010040	ENSCAFP00000025171
estExt_fgenesh2_pg.C_2010046	ENSCAFP00000026932
estExt_fgenesh2_pg.C_2010047	ENSCAFP00000022832
estExt_fgenesh2_pg.C_2010062	ENSCAFP00000026490
estExt_fgenesh2_pg.C_2010063	ENSCAFP00000036396
estExt_fgenesh2_pg.C_2010075	ENSCAFP00000027073
estExt_fgenesh2_pg.C_2010076	ENSCAFP00000001172
estExt_fgenesh2_pg.C_2010077	ENSCAFP00000017718
estExt_fgenesh2_pg.C_2010077	ENSCAFP00000024820
estExt_fgenesh2_pg.C_2010081	ENSCAFP00000006909
estExt_fgenesh2_pg.C_2010086	ENSCAFP00000006718
estExt_fgenesh2_pg.C_2010087	ENSCAFP00000000237
estExt_fgenesh2_pg.C_2010087	ENSCAFP00000032037
estExt_fgenesh2_pg.C_2010087	ENSCAFP00000020283
estExt_fgenesh2_pg.C_2010088	ENSCAFP00000028838
estExt_fgenesh2_pg.C_2010088	ENSCAFP00000027924
estExt_fgenesh2_pg.C_2010090	ENSCAFP00000026456
estExt_fgenesh2_pg.C_2010091	ENSCAFP00000025626
estExt_fgenesh2_pg.C_2010091	ENSCAFP00000003214
estExt_fgenesh2_pg.C_2020003	ENSCAFP00000012510
estExt_fgenesh2_pg.C_2020040	ENSCAFP00000020698
estExt_fgenesh2_pg.C_2020041	ENSCAFP00000026307
estExt_fgenesh2_pg.C_2020042	ENSCAFP00000038035
estExt_fgenesh2_pg.C_2020042	ENSCAFP00000033076
estExt_fgenesh2_pg.C_2020062	ENSCAFP00000023486
estExt_fgenesh2_pg.C_2020069	ENSCAFP00000011374
estExt_fgenesh2_pg.C_2030005	ENSCAFP00000031904
estExt_fgenesh2_pg.C_2030014	ENSCAFP00000028799
estExt_fgenesh2_pg.C_2030022	ENSCAFP00000028406
estExt_fgenesh2_pg.C_2030031	ENSCAFP00000008551
estExt_fgenesh2_pg.C_2030042	ENSCAFP00000035877
estExt_fgenesh2_pg.C_2030050	ENSCAFP00000026149
estExt_fgenesh2_pg.C_2030051	ENSCAFP00000000374
estExt_fgenesh2_pg.C_2030057	ENSCAFP00000029232
estExt_fgenesh2_pg.C_2030070	ENSCAFP00000025636
estExt_fgenesh2_pg.C_2040005	ENSCAFP00000004929
estExt_fgenesh2_pg.C_2040012	ENSCAFP00000019815
estExt_fgenesh2_pg.C_2040015	ENSCAFP00000018463
estExt_fgenesh2_pg.C_2040021	ENSCAFP00000039331
estExt_fgenesh2_pg.C_2040028	ENSCAFP00000016882
estExt_fgenesh2_pg.C_2040031	ENSCAFP00000002201
estExt_fgenesh2_pg.C_2040036	ENSCAFP00000024271
estExt_fgenesh2_pg.C_2040037	ENSCAFP00000006457
estExt_fgenesh2_pg.C_2040051	ENSCAFP00000016488
estExt_fgenesh2_pg.C_2040058	ENSCAFP00000016763
estExt_fgenesh2_pg.C_2040065	ENSCAFP00000005953
estExt_fgenesh2_pg.C_2040079	ENSCAFP00000005887
estExt_fgenesh2_pg.C_2050014	ENSCAFP00000037731
estExt_fgenesh2_pg.C_2050021	ENSCAFP00000014848
estExt_fgenesh2_pg.C_2050021	ENSCAFP00000005148
estExt_fgenesh2_pg.C_2050041	ENSCAFP00000042653
estExt_fgenesh2_pg.C_2050041	ENSCAFP00000041719
estExt_fgenesh2_pg.C_2050048	ENSCAFP00000012813
estExt_fgenesh2_pg.C_2050053	ENSCAFP00000018773
estExt_fgenesh2_pg.C_2050054	ENSCAFP00000012208
estExt_fgenesh2_pg.C_2050054	ENSCAFP00000004364
estExt_fgenesh2_pg.C_2050055	ENSCAFP00000021832
estExt_fgenesh2_pg.C_2050057	ENSCAFP00000018693
estExt_fgenesh2_pg.C_2050057	ENSCAFP00000021507
estExt_fgenesh2_pg.C_2050061	ENSCAFP00000038000
estExt_fgenesh2_pg.C_2050062	ENSCAFP00000030300
estExt_fgenesh2_pg.C_2050065	ENSCAFP00000015990
estExt_fgenesh2_pg.C_2050074	ENSCAFP00000035829
estExt_fgenesh2_pg.C_2050078	ENSCAFP00000004299
estExt_fgenesh2_pg.C_2050078	ENSCAFP00000004306
estExt_fgenesh2_pg.C_2050082	ENSCAFP00000018425
estExt_fgenesh2_pg.C_2050093	ENSCAFP00000013110
estExt_fgenesh2_pg.C_2050094	ENSCAFP00000018881
estExt_fgenesh2_pg.C_2060027	ENSCAFP00000013753
estExt_fgenesh2_pg.C_2060060	ENSCAFP00000013279
estExt_fgenesh2_pg.C_2060063	ENSCAFP00000008476
estExt_fgenesh2_pg.C_2060067	ENSCAFP00000005335
estExt_fgenesh2_pg.C_2060069	ENSCAFP00000012284
estExt_fgenesh2_pg.C_2060072	ENSCAFP00000021616
estExt_fgenesh2_pg.C_2070009	ENSCAFP00000011267
estExt_fgenesh2_pg.C_2070010	ENSCAFP00000000088
estExt_fgenesh2_pg.C_2070010	ENSCAFP00000042289
estExt_fgenesh2_pg.C_2070011	ENSCAFP00000012197
estExt_fgenesh2_pg.C_2070022	ENSCAFP00000016538
estExt_fgenesh2_pg.C_2070022	ENSCAFP00000009991
estExt_fgenesh2_pg.C_2070022	ENSCAFP00000018235
estExt_fgenesh2_pg.C_2070038	ENSCAFP00000029199
estExt_fgenesh2_pg.C_2070046	ENSCAFP00000003867
estExt_fgenesh2_pg.C_2070046	ENSCAFP00000032652
estExt_fgenesh2_pg.C_2070046	ENSCAFP00000038531
estExt_fgenesh2_pg.C_2070049	ENSCAFP00000015063
estExt_fgenesh2_pg.C_2070049	ENSCAFP00000004871
estExt_fgenesh2_pg.C_2070053	ENSCAFP00000031915
estExt_fgenesh2_pg.C_2070060	ENSCAFP00000019707
estExt_fgenesh2_pg.C_2080002	ENSCAFP00000024328
estExt_fgenesh2_pg.C_2080006	ENSCAFP00000001898
estExt_fgenesh2_pg.C_2080006	ENSCAFP00000019533
estExt_fgenesh2_pg.C_2080006	ENSCAFP00000011929
estExt_fgenesh2_pg.C_2080008	ENSCAFP00000018198
estExt_fgenesh2_pg.C_2080012	ENSCAFP00000013804
estExt_fgenesh2_pg.C_2080015	ENSCAFP00000039051
estExt_fgenesh2_pg.C_2080020	ENSCAFP00000037328
estExt_fgenesh2_pg.C_2080028	ENSCAFP00000014458
estExt_fgenesh2_pg.C_2080074	ENSCAFP00000002023
estExt_fgenesh2_pg.C_2080081	ENSCAFP00000010002
estExt_fgenesh2_pg.C_2080081	ENSCAFP00000001737
estExt_fgenesh2_pg.C_2090059	ENSCAFP00000025723
estExt_fgenesh2_pg.C_2090069	ENSCAFP00000009629
estExt_fgenesh2_pg.C_2090070	ENSCAFP00000027877
estExt_fgenesh2_pg.C_2100001	ENSCAFP00000041595
estExt_fgenesh2_pg.C_2100007	ENSCAFP00000003663
estExt_fgenesh2_pg.C_2100012	ENSCAFP00000019070
estExt_fgenesh2_pg.C_2100013	ENSCAFP00000014919
estExt_fgenesh2_pg.C_2100015	ENSCAFP00000037711
estExt_fgenesh2_pg.C_2100026	ENSCAFP00000024921
estExt_fgenesh2_pg.C_2100030	ENSCAFP00000022147
estExt_fgenesh2_pg.C_2100031	ENSCAFP00000006249
estExt_fgenesh2_pg.C_2100033	ENSCAFP00000024082
estExt_fgenesh2_pg.C_2100034	ENSCAFP00000018279
estExt_fgenesh2_pg.C_2100034	ENSCAFP00000011283
estExt_fgenesh2_pg.C_2100037	ENSCAFP00000033564
estExt_fgenesh2_pg.C_2100039	ENSCAFP00000029179
estExt_fgenesh2_pg.C_2100039	ENSCAFP00000020500
estExt_fgenesh2_pg.C_2100039	ENSCAFP00000020770
estExt_fgenesh2_pg.C_2100048	ENSCAFP00000015226
estExt_fgenesh2_pg.C_2100048	ENSCAFP00000005576
estExt_fgenesh2_pg.C_2100048	ENSCAFP00000041454
estExt_fgenesh2_pg.C_2110039	ENSCAFP00000021630
estExt_fgenesh2_pg.C_2110041	ENSCAFP00000007162
estExt_fgenesh2_pg.C_2110058	ENSCAFP00000021665
estExt_fgenesh2_pg.C_2110075	ENSCAFP00000003059
estExt_fgenesh2_pg.C_2110075	ENSCAFP00000038733
estExt_fgenesh2_pg.C_2110075	ENSCAFP00000029107
estExt_fgenesh2_pg.C_2110079	ENSCAFP00000036958
estExt_fgenesh2_pg.C_2120007	ENSCAFP00000023053
estExt_fgenesh2_pg.C_2120014	ENSCAFP00000025632
estExt_fgenesh2_pg.C_2120024	ENSCAFP00000006358
estExt_fgenesh2_pg.C_2120024	ENSCAFP00000028282
estExt_fgenesh2_pg.C_2120024	ENSCAFP00000024002
estExt_fgenesh2_pg.C_2120025	ENSCAFP00000027474
estExt_fgenesh2_pg.C_2120025	ENSCAFP00000021671
estExt_fgenesh2_pg.C_2120029	ENSCAFP00000017749
estExt_fgenesh2_pg.C_2120032	ENSCAFP00000017690
estExt_fgenesh2_pg.C_2120033	ENSCAFP00000037303
estExt_fgenesh2_pg.C_2120034	ENSCAFP00000008583
estExt_fgenesh2_pg.C_2120037	ENSCAFP00000006697
estExt_fgenesh2_pg.C_2120048	ENSCAFP00000007942
estExt_fgenesh2_pg.C_2120049	ENSCAFP00000002121
estExt_fgenesh2_pg.C_2120053	ENSCAFP00000027366
estExt_fgenesh2_pg.C_2120060	ENSCAFP00000025984
estExt_fgenesh2_pg.C_2120060	ENSCAFP00000003011
estExt_fgenesh2_pg.C_2120062	ENSCAFP00000017319
estExt_fgenesh2_pg.C_2120063	ENSCAFP00000002695
estExt_fgenesh2_pg.C_2120066	ENSCAFP00000006870
estExt_fgenesh2_pg.C_2120066	ENSCAFP00000003034
estExt_fgenesh2_pg.C_2120083	ENSCAFP00000006568
estExt_fgenesh2_pg.C_2120083	ENSCAFP00000042729
estExt_fgenesh2_pg.C_2120085	ENSCAFP00000011028
estExt_fgenesh2_pg.C_2120088	ENSCAFP00000007008
estExt_fgenesh2_pg.C_2120089	ENSCAFP00000006048
estExt_fgenesh2_pg.C_2120092	ENSCAFP00000030345
estExt_fgenesh2_pg.C_2130039	ENSCAFP00000040552
estExt_fgenesh2_pg.C_2130045	ENSCAFP00000017597
estExt_fgenesh2_pg.C_2130057	ENSCAFP00000006647
estExt_fgenesh2_pg.C_2130059	ENSCAFP00000028384
estExt_fgenesh2_pg.C_2130059	ENSCAFP00000005826
estExt_fgenesh2_pg.C_2140003	ENSCAFP00000038978
estExt_fgenesh2_pg.C_2140004	ENSCAFP00000030997
estExt_fgenesh2_pg.C_2140007	ENSCAFP00000037943
estExt_fgenesh2_pg.C_2140008	ENSCAFP00000019551
estExt_fgenesh2_pg.C_2140008	ENSCAFP00000001316
estExt_fgenesh2_pg.C_2140009	ENSCAFP00000019475
estExt_fgenesh2_pg.C_2140012	ENSCAFP00000010099
estExt_fgenesh2_pg.C_2140014	ENSCAFP00000010128
estExt_fgenesh2_pg.C_2140014	ENSCAFP00000006166
estExt_fgenesh2_pg.C_2140024	ENSCAFP00000040494
estExt_fgenesh2_pg.C_2140058	ENSCAFP00000010472
estExt_fgenesh2_pg.C_2140077	ENSCAFP00000018880
estExt_fgenesh2_pg.C_2140080	ENSCAFP00000015422
estExt_fgenesh2_pg.C_2150001	ENSCAFP00000005665
estExt_fgenesh2_pg.C_2150045	ENSCAFP00000036425
estExt_fgenesh2_pg.C_2150054	ENSCAFP00000018681
estExt_fgenesh2_pg.C_2160008	ENSCAFP00000042787
estExt_fgenesh2_pg.C_2160013	ENSCAFP00000000305
estExt_fgenesh2_pg.C_2160013	ENSCAFP00000015678
estExt_fgenesh2_pg.C_2160027	ENSCAFP00000026298
estExt_fgenesh2_pg.C_2160036	ENSCAFP00000002867
estExt_fgenesh2_pg.C_2160039	ENSCAFP00000026647
estExt_fgenesh2_pg.C_2160040	ENSCAFP00000021761
estExt_fgenesh2_pg.C_2160043	ENSCAFP00000004763
estExt_fgenesh2_pg.C_2160044	ENSCAFP00000035117
estExt_fgenesh2_pg.C_2160046	ENSCAFP00000025815
estExt_fgenesh2_pg.C_2160053	ENSCAFP00000000831
estExt_fgenesh2_pg.C_2160054	ENSCAFP00000007832
estExt_fgenesh2_pg.C_2170003	ENSCAFP00000034622
estExt_fgenesh2_pg.C_2170005	ENSCAFP00000038472
estExt_fgenesh2_pg.C_2170009	ENSCAFP00000006738
estExt_fgenesh2_pg.C_2170012	ENSCAFP00000004592
estExt_fgenesh2_pg.C_2170030	ENSCAFP00000036213
estExt_fgenesh2_pg.C_2170037	ENSCAFP00000000104
estExt_fgenesh2_pg.C_2170043	ENSCAFP00000004119
estExt_fgenesh2_pg.C_2170052	ENSCAFP00000023536
estExt_fgenesh2_pg.C_2170054	ENSCAFP00000001571
estExt_fgenesh2_pg.C_2180036	ENSCAFP00000022707
estExt_fgenesh2_pg.C_2180047	ENSCAFP00000029150
estExt_fgenesh2_pg.C_2180049	ENSCAFP00000038678
estExt_fgenesh2_pg.C_2180062	ENSCAFP00000016449
estExt_fgenesh2_pg.C_2180066	ENSCAFP00000025651
estExt_fgenesh2_pg.C_2180066	ENSCAFP00000028607
estExt_fgenesh2_pg.C_2180066	ENSCAFP00000005866
estExt_fgenesh2_pg.C_2190003	ENSCAFP00000015542
estExt_fgenesh2_pg.C_2190010	ENSCAFP00000003000
estExt_fgenesh2_pg.C_2190027	ENSCAFP00000029665
estExt_fgenesh2_pg.C_2190033	ENSCAFP00000028093
estExt_fgenesh2_pg.C_2190034	ENSCAFP00000017422
estExt_fgenesh2_pg.C_2190045	ENSCAFP00000002925
estExt_fgenesh2_pg.C_2190046	ENSCAFP00000027312
estExt_fgenesh2_pg.C_2190047	ENSCAFP00000039045
estExt_fgenesh2_pg.C_2190047	ENSCAFP00000030291
estExt_fgenesh2_pg.C_2190050	ENSCAFP00000002924
estExt_fgenesh2_pg.C_2190062	ENSCAFP00000028007
estExt_fgenesh2_pg.C_2200017	ENSCAFP00000001585
estExt_fgenesh2_pg.C_2200018	ENSCAFP00000028367
estExt_fgenesh2_pg.C_2200020	ENSCAFP00000037431
estExt_fgenesh2_pg.C_2200022	ENSCAFP00000038548
estExt_fgenesh2_pg.C_2200026	ENSCAFP00000010268
estExt_fgenesh2_pg.C_2200027	ENSCAFP00000027454
estExt_fgenesh2_pg.C_2200030	ENSCAFP00000039547
estExt_fgenesh2_pg.C_2200035	ENSCAFP00000017872
estExt_fgenesh2_pg.C_2210002	ENSCAFP00000035002
estExt_fgenesh2_pg.C_2210019	ENSCAFP00000026656
estExt_fgenesh2_pg.C_2210023	ENSCAFP00000015180
estExt_fgenesh2_pg.C_2210023	ENSCAFP00000008598
estExt_fgenesh2_pg.C_2210036	ENSCAFP00000039721
estExt_fgenesh2_pg.C_2210037	ENSCAFP00000036017
estExt_fgenesh2_pg.C_2210039	ENSCAFP00000018282
estExt_fgenesh2_pg.C_2210045	ENSCAFP00000010742
estExt_fgenesh2_pg.C_2210046	ENSCAFP00000041872
estExt_fgenesh2_pg.C_2220008	ENSCAFP00000002608
estExt_fgenesh2_pg.C_2220025	ENSCAFP00000015357
estExt_fgenesh2_pg.C_2220044	ENSCAFP00000009642
estExt_fgenesh2_pg.C_2220061	ENSCAFP00000012236
estExt_fgenesh2_pg.C_2220085	ENSCAFP00000000641
estExt_fgenesh2_pg.C_2220088	ENSCAFP00000035586
estExt_fgenesh2_pg.C_2220089	ENSCAFP00000009790
estExt_fgenesh2_pg.C_2220089	ENSCAFP00000005365
estExt_fgenesh2_pg.C_2220089	ENSCAFP00000013691
estExt_fgenesh2_pg.C_2220092	ENSCAFP00000022962
estExt_fgenesh2_pg.C_2220098	ENSCAFP00000037823
estExt_fgenesh2_pg.C_2220099	ENSCAFP00000010199
estExt_fgenesh2_pg.C_2220102	ENSCAFP00000008526
estExt_fgenesh2_pg.C_2220102	ENSCAFP00000039952
estExt_fgenesh2_pg.C_2220102	ENSCAFP00000025316
estExt_fgenesh2_pg.C_2220102	ENSCAFP00000025745
estExt_fgenesh2_pg.C_2220105	ENSCAFP00000022601
estExt_fgenesh2_pg.C_2220108	ENSCAFP00000014122
estExt_fgenesh2_pg.C_2220108	ENSCAFP00000008978
estExt_fgenesh2_pg.C_2220109	ENSCAFP00000008230
estExt_fgenesh2_pg.C_2220111	ENSCAFP00000026614
estExt_fgenesh2_pg.C_2220116	ENSCAFP00000002517
estExt_fgenesh2_pg.C_2220117	ENSCAFP00000002623
estExt_fgenesh2_pg.C_2230025	ENSCAFP00000023730
estExt_fgenesh2_pg.C_2230026	ENSCAFP00000001415
estExt_fgenesh2_pg.C_2230026	ENSCAFP00000007771
estExt_fgenesh2_pg.C_2230026	ENSCAFP00000028276
estExt_fgenesh2_pg.C_2230050	ENSCAFP00000037206
estExt_fgenesh2_pg.C_2230065	ENSCAFP00000026455
estExt_fgenesh2_pg.C_2230065	ENSCAFP00000027979
estExt_fgenesh2_pg.C_2240006	ENSCAFP00000037196
estExt_fgenesh2_pg.C_2240011	ENSCAFP00000010357
estExt_fgenesh2_pg.C_2240011	ENSCAFP00000012634
estExt_fgenesh2_pg.C_2240011	ENSCAFP00000009599
estExt_fgenesh2_pg.C_2240024	ENSCAFP00000012544
estExt_fgenesh2_pg.C_2240036	ENSCAFP00000008648
estExt_fgenesh2_pg.C_2240037	ENSCAFP00000025204
estExt_fgenesh2_pg.C_2240039	ENSCAFP00000010867
estExt_fgenesh2_pg.C_2250001	ENSCAFP00000015956
estExt_fgenesh2_pg.C_2250002	ENSCAFP00000014506
estExt_fgenesh2_pg.C_2250025	ENSCAFP00000017101
estExt_fgenesh2_pg.C_2250029	ENSCAFP00000011782
estExt_fgenesh2_pg.C_2250034	ENSCAFP00000040435
