SINCAM006085	ENSGALP00000000002
SINCAM010150	ENSGALP00000005901
SINCAM001464	ENSGALP00000005904
SINCAM012903	ENSGALP00000005905
SINCAM013725	ENSGALP00000005909
SINCAM921485	ENSGALP00000005911
SINCAM001466	ENSGALP00000005914
SINCAM013741	ENSGALP00000005915
SINCAM015743	ENSGALP00000005918
SINCAM010527	ENSGALP00000005919
SINCAM010526	ENSGALP00000005923
SINCAM012982	ENSGALP00000005928
SINCAM007566	ENSGALP00000005929
SINCAM010152	ENSGALP00000005930
SINCAM001467	ENSGALP00000005933
SINCAM011682	ENSGALP00000005939
SINCAM012045	ENSGALP00000005944
SINCAM921866	ENSGALP00000005948
SINCAM007819	ENSGALP00000005954
SINCAM922642	ENSGALP00000005956
SINCAM900143	ENSGALP00000005957
SINCAM010293	ENSGALP00000005960
SINCAM900142	ENSGALP00000005962
SINCAM007304	ENSGALP00000005963
SINCAM007132	ENSGALP00000005964
SINCAM008773	ENSGALP00000005965
SINCAM010523	ENSGALP00000005967
SINCAM900141	ENSGALP00000005971
SINCAM012990	ENSGALP00000005972
SINCAM922570	ENSGALP00000005977
SINCAM001468	ENSGALP00000005978
SINCAM007820	ENSGALP00000005982
SINCAM922252	ENSGALP00000005983
SINCAM012823	ENSGALP00000005984
SINCAM011217	ENSGALP00000005991
SINCAM007821	ENSGALP00000005994
SINCAM010522	ENSGALP00000005996
SINCAM900139	ENSGALP00000006001
SINCAM007822	ENSGALP00000006003
SINCAM012839	ENSGALP00000006006
SINCAM922689	ENSGALP00000006007
SINCAM012821	ENSGALP00000006008
SINCAM011216	ENSGALP00000006013
SINCAM009765	ENSGALP00000006016
SINCAM002807	ENSGALP00000006018
SINCAM013199	ENSGALP00000006022
SINCAM001471	ENSGALP00000006023
SINCAM007130	ENSGALP00000006027
SINCAM921433	ENSGALP00000006030
SINCAM006456	ENSGALP00000006035
SINCAM013643	ENSGALP00000006036
SINCAM011864	ENSGALP00000006039
SINCAM009056	ENSGALP00000006041
SINCAM010292	ENSGALP00000006043
SINCAM921434	ENSGALP00000006046
SINCAM922450	ENSGALP00000006050
SINCAM921435	ENSGALP00000006056
SINCAM007823	ENSGALP00000006060
SINCAM009899	ENSGALP00000006065
SINCAM009900	ENSGALP00000006085
SINCAM010703	ENSGALP00000006087
SINCAM011865	ENSGALP00000006088
SINCAM015955	ENSGALP00000006089
SINCAM922860	ENSGALP00000006093
SINCAM922861	ENSGALP00000006097
SINCAM014508	ENSGALP00000006098
SINCAM012870	ENSGALP00000006100
SINCAM922396	ENSGALP00000006102
SINCAM013200	ENSGALP00000006104
SINCAM007825	ENSGALP00000006113
SINCAM010519	ENSGALP00000006115
SINCAM007539	ENSGALP00000006116
SINCAM011866	ENSGALP00000006117
SINCAM010291	ENSGALP00000006120
SINCAM010722	ENSGALP00000006123
SINCAM000024	ENSGALP00000006125
SINCAM006527	ENSGALP00000006137
SINCAM007826	ENSGALP00000006144
SINCAM921347	ENSGALP00000006145
SINCAM922378	ENSGALP00000006149
SINCAM922276	ENSGALP00000006157
SINCAM922380	ENSGALP00000006158
SINCAM005140	ENSGALP00000006160
SINCAM014598	ENSGALP00000006162
SINCAM013202	ENSGALP00000006169
SINCAM005139	ENSGALP00000006171
SINCAM010191	ENSGALP00000006172
SINCAM010515	ENSGALP00000006178
SINCAM005138	ENSGALP00000006180
SINCAM010513	ENSGALP00000006181
SINCAM922615	ENSGALP00000006184
SINCAM012464	ENSGALP00000006187
SINCAM007540	ENSGALP00000006190
SINCAM922616	ENSGALP00000006196
SINCAM010512	ENSGALP00000006197
SINCAM922253	ENSGALP00000006201
SINCAM011905	ENSGALP00000006210
SINCAM013644	ENSGALP00000006213
SINCAM921744	ENSGALP00000006218
SINCAM012815	ENSGALP00000006220
SINCAM012817	ENSGALP00000006222
SINCAM010511	ENSGALP00000006226
SINCAM016691	ENSGALP00000006228
SINCAM010266	ENSGALP00000006234
SINCAM006475	ENSGALP00000006240
SINCAM005181	ENSGALP00000006245
SINCAM011894	ENSGALP00000006251
SINCAM013205	ENSGALP00000006252
SINCAM011794	ENSGALP00000006255
SINCAM005179	ENSGALP00000006256
SINCAM013367	ENSGALP00000006257
SINCAM921834	ENSGALP00000006258
SINCAM008930	ENSGALP00000006259
SINCAM010265	ENSGALP00000006262
SINCAM012813	ENSGALP00000006265
SINCAM010510	ENSGALP00000006273
SINCAM011168	ENSGALP00000006278
SINCAM013206	ENSGALP00000006280
SINCAM011795	ENSGALP00000006289
SINCAM005137	ENSGALP00000006296
SINCAM012459	ENSGALP00000006298
SINCAM011684	ENSGALP00000006299
SINCAM005408	ENSGALP00000006300
SINCAM010791	ENSGALP00000006304
SINCAM011687	ENSGALP00000006307
SINCAM008699	ENSGALP00000006308
SINCAM013645	ENSGALP00000006311
SINCAM010298	ENSGALP00000006317
SINCAM008661	ENSGALP00000006318
SINCAM012458	ENSGALP00000006321
SINCAM010789	ENSGALP00000006324
SINCAM009758	ENSGALP00000006326
SINCAM008662	ENSGALP00000006330
SINCAM006477	ENSGALP00000006331
SINCAM008935	ENSGALP00000006338
SINCAM008665	ENSGALP00000006340
SINCAM921813	ENSGALP00000006348
SINCAM015467	ENSGALP00000006350
SINCAM003059	ENSGALP00000006352
SINCAM006478	ENSGALP00000006353
SINCAM008766	ENSGALP00000006355
SINCAM009759	ENSGALP00000006357
SINCAM000133	ENSGALP00000006364
SINCAM008934	ENSGALP00000006365
SINCAM010800	ENSGALP00000006366
SINCAM015466	ENSGALP00000006372
SINCAM007541	ENSGALP00000006378
SINCAM005168	ENSGALP00000006386
SINCAM009761	ENSGALP00000006387
SINCAM922271	ENSGALP00000006391
SINCAM013719	ENSGALP00000006392
SINCAM012457	ENSGALP00000006394
SINCAM011690	ENSGALP00000006396
SINCAM011796	ENSGALP00000006403
SINCAM008693	ENSGALP00000006407
SINCAM013208	ENSGALP00000006409
SINCAM005169	ENSGALP00000006411
SINCAM009963	ENSGALP00000006412
SINCAM008685	ENSGALP00000006416
SINCAM921833	ENSGALP00000006419
SINCAM013641	ENSGALP00000006421
SINCAM008670	ENSGALP00000006424
SINCAM011691	ENSGALP00000006426
SINCAM006481	ENSGALP00000006428
SINCAM013209	ENSGALP00000006430
SINCAM921748	ENSGALP00000006431
SINCAM012778	ENSGALP00000006433
SINCAM922073	ENSGALP00000006434
SINCAM922921	ENSGALP00000006439
SINCAM921749	ENSGALP00000006445
SINCAM011132	ENSGALP00000006446
SINCAM013210	ENSGALP00000006447
SINCAM012483	ENSGALP00000006451
SINCAM011129	ENSGALP00000006455
SINCAM006997	ENSGALP00000006457
SINCAM013570	ENSGALP00000006458
SINCAM009961	ENSGALP00000006461
SINCAM011145	ENSGALP00000006463
SINCAM922072	ENSGALP00000006464
SINCAM006998	ENSGALP00000006468
SINCAM011797	ENSGALP00000006470
SINCAM922545	ENSGALP00000006477
SINCAM008671	ENSGALP00000006481
SINCAM010297	ENSGALP00000006483
SINCAM011692	ENSGALP00000006488
SINCAM010828	ENSGALP00000006490
SINCAM013211	ENSGALP00000006491
SINCAM013585	ENSGALP00000006497
SINCAM012779	ENSGALP00000006501
SINCAM922688	ENSGALP00000006509
SINCAM011799	ENSGALP00000006511
SINCAM013587	ENSGALP00000006516
SINCAM001149	ENSGALP00000006517
SINCAM921987	ENSGALP00000006519
SINCAM011696	ENSGALP00000006521
SINCAM010831	ENSGALP00000006522
SINCAM006908	ENSGALP00000006523
SINCAM010832	ENSGALP00000006528
SINCAM008944	ENSGALP00000006529
SINCAM010506	ENSGALP00000006532
SINCAM006910	ENSGALP00000006542
SINCAM010833	ENSGALP00000006553
SINCAM010834	ENSGALP00000006560
SINCAM922293	ENSGALP00000006561
SINCAM012780	ENSGALP00000006565
SINCAM008946	ENSGALP00000006566
SINCAM011113	ENSGALP00000006571
SINCAM006464	ENSGALP00000006573
SINCAM921753	ENSGALP00000006574
SINCAM921482	ENSGALP00000006575
SINCAM921811	ENSGALP00000006581
SINCAM900057	ENSGALP00000006589
SINCAM007810	ENSGALP00000006590
SINCAM011697	ENSGALP00000006591
SINCAM008947	ENSGALP00000006594
SINCAM921812	ENSGALP00000006597
SINCAM010505	ENSGALP00000006600
SINCAM922360	ENSGALP00000006604
SINCAM016144	ENSGALP00000006605
SINCAM012556	ENSGALP00000006606
SINCAM920856	ENSGALP00000006610
SINCAM007812	ENSGALP00000006612
SINCAM010835	ENSGALP00000006618
SINCAM922419	ENSGALP00000006620
SINCAM900059	ENSGALP00000006621
SINCAM011513	ENSGALP00000006622
SINCAM920855	ENSGALP00000006623
SINCAM006913	ENSGALP00000006624
SINCAM010205	ENSGALP00000006626
SINCAM012561	ENSGALP00000006635
SINCAM012568	ENSGALP00000006638
SINCAM922361	ENSGALP00000006639
SINCAM008681	ENSGALP00000006641
SINCAM922294	ENSGALP00000006643
SINCAM011149	ENSGALP00000006645
SINCAM007544	ENSGALP00000006646
SINCAM017246	ENSGALP00000006648
SINCAM900060	ENSGALP00000006652
SINCAM012555	ENSGALP00000006654
SINCAM922328	ENSGALP00000006656
SINCAM006503	ENSGALP00000006662
SINCAM011151	ENSGALP00000006671
SINCAM012788	ENSGALP00000006673
SINCAM005629	ENSGALP00000006674
SINCAM011152	ENSGALP00000006677
SINCAM920854	ENSGALP00000006680
SINCAM006069	ENSGALP00000006683
SINCAM011155	ENSGALP00000006684
SINCAM005183	ENSGALP00000006688
SINCAM012554	ENSGALP00000006690
SINCAM005182	ENSGALP00000006692
SINCAM006916	ENSGALP00000006708
SINCAM011156	ENSGALP00000006711
SINCAM007545	ENSGALP00000006714
SINCAM005157	ENSGALP00000006719
SINCAM006496	ENSGALP00000006720
SINCAM922674	ENSGALP00000006724
SINCAM003417	ENSGALP00000006727
SINCAM011558	ENSGALP00000006728
SINCAM006484	ENSGALP00000006730
SINCAM011157	ENSGALP00000006732
SINCAM011510	ENSGALP00000006733
SINCAM007546	ENSGALP00000006734
SINCAM922842	ENSGALP00000006735
SINCAM922421	ENSGALP00000006738
SINCAM008682	ENSGALP00000006742
SINCAM007547	ENSGALP00000006744
SINCAM015377	ENSGALP00000006747
SINCAM008918	ENSGALP00000006748
SINCAM011488	ENSGALP00000006751
SINCAM009353	ENSGALP00000006752
SINCAM011159	ENSGALP00000006757
SINCAM013588	ENSGALP00000006759
SINCAM921814	ENSGALP00000006760
SINCAM921718	ENSGALP00000006762
SINCAM011489	ENSGALP00000006763
SINCAM922675	ENSGALP00000006765
SINCAM921719	ENSGALP00000006767
SINCAM012756	ENSGALP00000006768
SINCAM012758	ENSGALP00000006772
SINCAM008865	ENSGALP00000006773
SINCAM009068	ENSGALP00000006776
SINCAM922030	ENSGALP00000006778
SINCAM001929	ENSGALP00000006782
SINCAM005156	ENSGALP00000006783
SINCAM921567	ENSGALP00000006787
SINCAM922028	ENSGALP00000006789
SINCAM011407	ENSGALP00000006792
SINCAM011536	ENSGALP00000006793
SINCAM008914	ENSGALP00000006796
SINCAM011406	ENSGALP00000006798
SINCAM922422	ENSGALP00000006799
SINCAM007062	ENSGALP00000006805
SINCAM005155	ENSGALP00000006813
SINCAM013589	ENSGALP00000006816
SINCAM003547	ENSGALP00000006818
SINCAM922677	ENSGALP00000006826
SINCAM008666	ENSGALP00000006827
SINCAM009715	ENSGALP00000006832
SINCAM011495	ENSGALP00000006841
SINCAM011498	ENSGALP00000006848
SINCAM011994	ENSGALP00000006851
SINCAM922029	ENSGALP00000006852
SINCAM001232	ENSGALP00000006856
SINCAM010503	ENSGALP00000006860
SINCAM007084	ENSGALP00000006864
SINCAM010206	ENSGALP00000006868
SINCAM010656	ENSGALP00000006877
SINCAM005164	ENSGALP00000006880
SINCAM921857	ENSGALP00000006885
SINCAM008667	ENSGALP00000006887
SINCAM011499	ENSGALP00000006890
SINCAM011160	ENSGALP00000006891
SINCAM008668	ENSGALP00000006894
SINCAM921856	ENSGALP00000006895
SINCAM012570	ENSGALP00000006896
SINCAM010705	ENSGALP00000006898
SINCAM922322	ENSGALP00000006906
SINCAM006498	ENSGALP00000006909
SINCAM012039	ENSGALP00000006915
SINCAM005162	ENSGALP00000006916
SINCAM010502	ENSGALP00000006918
SINCAM008854	ENSGALP00000006919
SINCAM007082	ENSGALP00000006921
SINCAM922330	ENSGALP00000006922
SINCAM922679	ENSGALP00000006925
SINCAM011410	ENSGALP00000006927
SINCAM001235	ENSGALP00000006929
SINCAM010208	ENSGALP00000006931
SINCAM921436	ENSGALP00000006932
SINCAM001237	ENSGALP00000006933
SINCAM007081	ENSGALP00000006935
SINCAM010267	ENSGALP00000006939
SINCAM012557	ENSGALP00000006940
SINCAM900075	ENSGALP00000006943
SINCAM011500	ENSGALP00000006944
SINCAM008813	ENSGALP00000006947
SINCAM921437	ENSGALP00000006952
SINCAM009841	ENSGALP00000006954
SINCAM011125	ENSGALP00000006958
SINCAM011139	ENSGALP00000006960
SINCAM007080	ENSGALP00000006962
SINCAM012537	ENSGALP00000006963
SINCAM010501	ENSGALP00000006965
SINCAM012538	ENSGALP00000006967
SINCAM003808	ENSGALP00000006970
SINCAM007916	ENSGALP00000006972
SINCAM921438	ENSGALP00000006973
SINCAM922678	ENSGALP00000006977
SINCAM008814	ENSGALP00000006979
SINCAM006499	ENSGALP00000006980
SINCAM900076	ENSGALP00000006984
SINCAM017410	ENSGALP00000006992
SINCAM007554	ENSGALP00000006999
SINCAM011124	ENSGALP00000007002
SINCAM900077	ENSGALP00000007003
SINCAM008815	ENSGALP00000007007
SINCAM007555	ENSGALP00000007014
SINCAM007078	ENSGALP00000007017
SINCAM921439	ENSGALP00000007019
SINCAM012541	ENSGALP00000007021
SINCAM921855	ENSGALP00000007024
SINCAM002778	ENSGALP00000007026
SINCAM013708	ENSGALP00000007029
SINCAM005434	ENSGALP00000007031
SINCAM001239	ENSGALP00000007035
SINCAM013854	ENSGALP00000007037
SINCAM007074	ENSGALP00000007043
SINCAM001412	ENSGALP00000007047
SINCAM011120	ENSGALP00000007048
SINCAM001240	ENSGALP00000007049
SINCAM014800	ENSGALP00000007051
SINCAM007556	ENSGALP00000007052
SINCAM000831	ENSGALP00000007055
SINCAM010500	ENSGALP00000007057
SINCAM012040	ENSGALP00000007061
SINCAM011122	ENSGALP00000007068
SINCAM015455	ENSGALP00000007077
SINCAM003809	ENSGALP00000007080
SINCAM921985	ENSGALP00000007086
SINCAM009332	ENSGALP00000007090
SINCAM011123	ENSGALP00000007092
SINCAM006948	ENSGALP00000007093
SINCAM007918	ENSGALP00000007096
SINCAM007557	ENSGALP00000007101
SINCAM008419	ENSGALP00000007102
SINCAM012038	ENSGALP00000007104
SINCAM921984	ENSGALP00000007107
SINCAM005177	ENSGALP00000007109
SINCAM922069	ENSGALP00000007112
SINCAM922319	ENSGALP00000007113
SINCAM009775	ENSGALP00000007115
SINCAM008818	ENSGALP00000007118
SINCAM922068	ENSGALP00000007124
SINCAM011006	ENSGALP00000007125
SINCAM006947	ENSGALP00000007126
SINCAM007919	ENSGALP00000007131
SINCAM007558	ENSGALP00000007133
SINCAM005171	ENSGALP00000007134
SINCAM010494	ENSGALP00000007137
SINCAM920879	ENSGALP00000007138
SINCAM920610	ENSGALP00000007139
SINCAM008820	ENSGALP00000007144
SINCAM007560	ENSGALP00000007146
SINCAM010493	ENSGALP00000007147
SINCAM012574	ENSGALP00000007149
SINCAM017193	ENSGALP00000007152
SINCAM012055	ENSGALP00000007155
SINCAM005132	ENSGALP00000007158
SINCAM012572	ENSGALP00000007161
SINCAM008821	ENSGALP00000007162
SINCAM011444	ENSGALP00000007164
SINCAM012516	ENSGALP00000007165
SINCAM010492	ENSGALP00000007166
SINCAM920892	ENSGALP00000007174
SINCAM012551	ENSGALP00000007177
SINCAM007561	ENSGALP00000007179
SINCAM009902	ENSGALP00000007181
SINCAM001242	ENSGALP00000007182
SINCAM008770	ENSGALP00000007183
SINCAM921829	ENSGALP00000007185
SINCAM008417	ENSGALP00000007186
SINCAM922555	ENSGALP00000007187
SINCAM922190	ENSGALP00000007191
SINCAM900081	ENSGALP00000007197
SINCAM010488	ENSGALP00000007200
SINCAM011443	ENSGALP00000007203
SINCAM922896	ENSGALP00000007204
SINCAM922067	ENSGALP00000007205
SINCAM013650	ENSGALP00000007206
SINCAM007532	ENSGALP00000007217
SINCAM012052	ENSGALP00000007220
SINCAM004859	ENSGALP00000007222
SINCAM922670	ENSGALP00000007225
SINCAM007531	ENSGALP00000007232
SINCAM015696	ENSGALP00000007237
SINCAM011442	ENSGALP00000007240
SINCAM922065	ENSGALP00000007244
SINCAM011431	ENSGALP00000007247
SINCAM007529	ENSGALP00000007248
SINCAM900038	ENSGALP00000007252
SINCAM007965	ENSGALP00000007254
SINCAM920651	ENSGALP00000007258
SINCAM012050	ENSGALP00000007263
SINCAM007528	ENSGALP00000007265
SINCAM922897	ENSGALP00000007266
SINCAM007962	ENSGALP00000007267
SINCAM011026	ENSGALP00000007270
SINCAM005130	ENSGALP00000007275
SINCAM007527	ENSGALP00000007276
SINCAM010271	ENSGALP00000007278
SINCAM012590	ENSGALP00000007280
SINCAM011025	ENSGALP00000007282
SINCAM007069	ENSGALP00000007283
SINCAM920850	ENSGALP00000007286
SINCAM010273	ENSGALP00000007287
SINCAM011012	ENSGALP00000007289
SINCAM015460	ENSGALP00000007291
SINCAM920849	ENSGALP00000007292
SINCAM002630	ENSGALP00000007297
SINCAM010274	ENSGALP00000007299
SINCAM011011	ENSGALP00000007301
SINCAM005125	ENSGALP00000007304
SINCAM007525	ENSGALP00000007307
SINCAM000529	ENSGALP00000007308
SINCAM007524	ENSGALP00000007312
SINCAM007961	ENSGALP00000007314
SINCAM014527	ENSGALP00000007317
SINCAM007522	ENSGALP00000007323
SINCAM011432	ENSGALP00000007325
SINCAM015461	ENSGALP00000007330
SINCAM005215	ENSGALP00000007334
SINCAM015395	ENSGALP00000007338
SINCAM012002	ENSGALP00000007346
SINCAM007960	ENSGALP00000007347
SINCAM015463	ENSGALP00000007350
SINCAM007520	ENSGALP00000007355
SINCAM009750	ENSGALP00000007358
SINCAM005205	ENSGALP00000007360
SINCAM012808	ENSGALP00000007361
SINCAM011435	ENSGALP00000007362
SINCAM922063	ENSGALP00000007365
SINCAM015464	ENSGALP00000007370
SINCAM008771	ENSGALP00000007376
SINCAM009747	ENSGALP00000007379
SINCAM015465	ENSGALP00000007380
SINCAM922669	ENSGALP00000007381
SINCAM005204	ENSGALP00000007382
SINCAM008437	ENSGALP00000007384
SINCAM007519	ENSGALP00000007395
SINCAM007070	ENSGALP00000007402
SINCAM011439	ENSGALP00000007405
SINCAM013608	ENSGALP00000007409
SINCAM921526	ENSGALP00000007412
SINCAM008768	ENSGALP00000007413
SINCAM013609	ENSGALP00000007415
SINCAM012004	ENSGALP00000007416
SINCAM921525	ENSGALP00000007419
SINCAM011438	ENSGALP00000007421
SINCAM005203	ENSGALP00000007425
SINCAM008637	ENSGALP00000007427
SINCAM009589	ENSGALP00000007430
SINCAM010485	ENSGALP00000007432
SINCAM007071	ENSGALP00000007436
SINCAM922061	ENSGALP00000007438
SINCAM921711	ENSGALP00000007445
SINCAM009591	ENSGALP00000007450
SINCAM008406	ENSGALP00000007454
SINCAM922120	ENSGALP00000007455
SINCAM008612	ENSGALP00000007463
SINCAM922037	ENSGALP00000007466
SINCAM922118	ENSGALP00000007468
SINCAM900029	ENSGALP00000007469
SINCAM014798	ENSGALP00000007472
SINCAM005202	ENSGALP00000007475
SINCAM007834	ENSGALP00000007476
SINCAM007833	ENSGALP00000007477
SINCAM010484	ENSGALP00000007480
SINCAM011423	ENSGALP00000007481
SINCAM008416	ENSGALP00000007484
SINCAM012005	ENSGALP00000007487
SINCAM900252	ENSGALP00000007490
SINCAM922668	ENSGALP00000007492
SINCAM011425	ENSGALP00000007493
SINCAM011426	ENSGALP00000007498
SINCAM010930	ENSGALP00000007499
SINCAM010931	ENSGALP00000007501
SINCAM011138	ENSGALP00000007506
SINCAM922119	ENSGALP00000007507
SINCAM013356	ENSGALP00000007510
SINCAM921455	ENSGALP00000007511
SINCAM008613	ENSGALP00000007513
SINCAM005231	ENSGALP00000007518
SINCAM010326	ENSGALP00000007520
SINCAM010482	ENSGALP00000007521
SINCAM010797	ENSGALP00000007523
SINCAM014164	ENSGALP00000007526
SINCAM010796	ENSGALP00000007527
SINCAM012006	ENSGALP00000007531
SINCAM921489	ENSGALP00000007534
SINCAM013716	ENSGALP00000007541
SINCAM013712	ENSGALP00000007542
SINCAM010719	ENSGALP00000007547
SINCAM921454	ENSGALP00000007550
SINCAM011140	ENSGALP00000007554
SINCAM011127	ENSGALP00000007558
SINCAM009595	ENSGALP00000007559
SINCAM007974	ENSGALP00000007560
SINCAM001511	ENSGALP00000007565
SINCAM010481	ENSGALP00000007576
SINCAM011126	ENSGALP00000007580
SINCAM008614	ENSGALP00000007586
SINCAM900027	ENSGALP00000007589
SINCAM921488	ENSGALP00000007591
SINCAM921821	ENSGALP00000007593
SINCAM013715	ENSGALP00000007597
SINCAM011215	ENSGALP00000007603
SINCAM922666	ENSGALP00000007612
SINCAM007032	ENSGALP00000007614
SINCAM008616	ENSGALP00000007617
SINCAM921487	ENSGALP00000007619
SINCAM007645	ENSGALP00000007621
SINCAM005228	ENSGALP00000007624
SINCAM921486	ENSGALP00000007625
SINCAM900024	ENSGALP00000007631
SINCAM013600	ENSGALP00000007633
SINCAM008435	ENSGALP00000007635
SINCAM921707	ENSGALP00000007638
SINCAM007063	ENSGALP00000007639
SINCAM011212	ENSGALP00000007644
SINCAM013603	ENSGALP00000007647
SINCAM010743	ENSGALP00000007651
SINCAM007644	ENSGALP00000007653
SINCAM011940	ENSGALP00000007659
SINCAM900021	ENSGALP00000007662
SINCAM005227	ENSGALP00000007663
SINCAM007045	ENSGALP00000007666
SINCAM921708	ENSGALP00000007667
SINCAM005226	ENSGALP00000007671
SINCAM009597	ENSGALP00000007672
SINCAM010320	ENSGALP00000007674
SINCAM016782	ENSGALP00000007678
SINCAM007652	ENSGALP00000007680
SINCAM008651	ENSGALP00000007691
SINCAM007657	ENSGALP00000007692
SINCAM005225	ENSGALP00000007694
SINCAM010742	ENSGALP00000007696
SINCAM008433	ENSGALP00000007701
SINCAM009598	ENSGALP00000007703
SINCAM010740	ENSGALP00000007705
SINCAM010728	ENSGALP00000007706
SINCAM922548	ENSGALP00000007707
SINCAM011065	ENSGALP00000007709
SINCAM013552	ENSGALP00000007712
SINCAM007656	ENSGALP00000007715
SINCAM921979	ENSGALP00000007716
SINCAM922665	ENSGALP00000007721
SINCAM921002	ENSGALP00000007724
SINCAM007699	ENSGALP00000007729
SINCAM007044	ENSGALP00000007730
SINCAM922027	ENSGALP00000007732
SINCAM921479	ENSGALP00000007737
SINCAM010325	ENSGALP00000007738
SINCAM010696	ENSGALP00000007743
SINCAM005178	ENSGALP00000007744
SINCAM007737	ENSGALP00000007747
SINCAM011953	ENSGALP00000007750
SINCAM011405	ENSGALP00000007751
SINCAM006985	ENSGALP00000007757
SINCAM921466	ENSGALP00000007760
SINCAM010697	ENSGALP00000007762
SINCAM007043	ENSGALP00000007763
SINCAM011879	ENSGALP00000007767
SINCAM922547	ENSGALP00000007774
SINCAM009604	ENSGALP00000007775
SINCAM922398	ENSGALP00000007777
SINCAM007789	ENSGALP00000007779
SINCAM013573	ENSGALP00000007780
SINCAM008650	ENSGALP00000007788
SINCAM012403	ENSGALP00000007794
SINCAM013690	ENSGALP00000007795
SINCAM002567	ENSGALP00000007799
SINCAM007658	ENSGALP00000007800
SINCAM921029	ENSGALP00000007804
SINCAM003307	ENSGALP00000007808
SINCAM010330	ENSGALP00000007819
SINCAM008649	ENSGALP00000007820
SINCAM007660	ENSGALP00000007822
SINCAM011163	ENSGALP00000007825
SINCAM900017	ENSGALP00000007834
SINCAM010332	ENSGALP00000007835
SINCAM010732	ENSGALP00000007837
SINCAM011164	ENSGALP00000007847
SINCAM008733	ENSGALP00000007850
SINCAM007836	ENSGALP00000007858
SINCAM008764	ENSGALP00000007864
SINCAM011166	ENSGALP00000007866
SINCAM007835	ENSGALP00000007867
SINCAM007662	ENSGALP00000007869
SINCAM011203	ENSGALP00000007872
SINCAM000736	ENSGALP00000007879
SINCAM012060	ENSGALP00000007884
SINCAM017339	ENSGALP00000007890
SINCAM009607	ENSGALP00000007893
SINCAM013279	ENSGALP00000007901
SINCAM921931	ENSGALP00000007904
SINCAM007049	ENSGALP00000007915
SINCAM005828	ENSGALP00000007923
SINCAM010337	ENSGALP00000007924
SINCAM011202	ENSGALP00000007928
SINCAM013281	ENSGALP00000007930
SINCAM009608	ENSGALP00000007931
SINCAM010338	ENSGALP00000007934
SINCAM009287	ENSGALP00000007935
SINCAM003475	ENSGALP00000007936
SINCAM009288	ENSGALP00000007937
SINCAM013283	ENSGALP00000007941
SINCAM010699	ENSGALP00000007945
SINCAM007788	ENSGALP00000007948
SINCAM009290	ENSGALP00000007951
SINCAM002734	ENSGALP00000007952
SINCAM923033	ENSGALP00000007955
SINCAM007664	ENSGALP00000007956
SINCAM007787	ENSGALP00000007958
SINCAM011201	ENSGALP00000007959
SINCAM007030	ENSGALP00000007961
SINCAM009609	ENSGALP00000007962
SINCAM922267	ENSGALP00000007963
SINCAM011200	ENSGALP00000007966
SINCAM009610	ENSGALP00000007969
SINCAM007982	ENSGALP00000007980
SINCAM009612	ENSGALP00000007982
SINCAM007682	ENSGALP00000007984
SINCAM007026	ENSGALP00000007985
SINCAM007013	ENSGALP00000007997
SINCAM007014	ENSGALP00000007999
SINCAM010343	ENSGALP00000008003
SINCAM007015	ENSGALP00000008004
SINCAM900053	ENSGALP00000008011
SINCAM922122	ENSGALP00000008013
SINCAM921031	ENSGALP00000008014
SINCAM008709	ENSGALP00000008015
SINCAM001077	ENSGALP00000008018
SINCAM007016	ENSGALP00000008022
SINCAM922123	ENSGALP00000008023
SINCAM009615	ENSGALP00000008025
SINCAM009617	ENSGALP00000008029
SINCAM002781	ENSGALP00000008031
SINCAM011196	ENSGALP00000008036
SINCAM010739	ENSGALP00000008047
SINCAM009618	ENSGALP00000008056
SINCAM007017	ENSGALP00000008060
SINCAM007928	ENSGALP00000008061
SINCAM008604	ENSGALP00000008062
SINCAM010736	ENSGALP00000008063
SINCAM009619	ENSGALP00000008067
SINCAM007927	ENSGALP00000008078
SINCAM014093	ENSGALP00000008079
SINCAM002780	ENSGALP00000008082
SINCAM007926	ENSGALP00000008087
SINCAM010755	ENSGALP00000008089
SINCAM004728	ENSGALP00000008090
SINCAM007018	ENSGALP00000008095
SINCAM011516	ENSGALP00000008098
SINCAM008606	ENSGALP00000008101
SINCAM007679	ENSGALP00000008103
SINCAM011058	ENSGALP00000008105
SINCAM005199	ENSGALP00000008107
SINCAM007817	ENSGALP00000008108
SINCAM007019	ENSGALP00000008112
SINCAM010756	ENSGALP00000008114
SINCAM001488	ENSGALP00000008116
SINCAM005197	ENSGALP00000008117
SINCAM007816	ENSGALP00000008118
SINCAM004276	ENSGALP00000008123
SINCAM921717	ENSGALP00000008128
SINCAM007020	ENSGALP00000008131
SINCAM005196	ENSGALP00000008132
SINCAM011059	ENSGALP00000008136
SINCAM008607	ENSGALP00000008139
SINCAM011515	ENSGALP00000008142
SINCAM011060	ENSGALP00000008144
SINCAM007052	ENSGALP00000008145
SINCAM011514	ENSGALP00000008146
SINCAM009622	ENSGALP00000008151
SINCAM008601	ENSGALP00000008152
SINCAM007815	ENSGALP00000008158
SINCAM922989	ENSGALP00000008163
SINCAM011983	ENSGALP00000008166
SINCAM008600	ENSGALP00000008167
SINCAM005216	ENSGALP00000008171
SINCAM007053	ENSGALP00000008174
SINCAM009504	ENSGALP00000008177
SINCAM010346	ENSGALP00000008193
SINCAM005217	ENSGALP00000008204
SINCAM005222	ENSGALP00000008205
