ENSP00000001008	SINLEJ016677
ENSP00000284262	SINLEJ009380
ENSP00000284268	SINLEJ003378
ENSP00000284268	SINLEJ600251
ENSP00000284273	SINLEJ014586
ENSP00000284274	SINLEJ015307
ENSP00000284288	SINLEJ014840
ENSP00000284320	SINLEJ016129
ENSP00000284320	SINLEJ016130
ENSP00000284322	SINLEJ012640
ENSP00000284476	SINLEJ017340
ENSP00000284523	SINLEJ001396
ENSP00000284523	SINLEJ019310
ENSP00000284551	SINLEJ018940
ENSP00000284551	SINLEJ016507
ENSP00000284601	SINLEJ010118
ENSP00000284601	SINLEJ017614
ENSP00000284617	SINLEJ003123
ENSP00000284617	SINLEJ000907
ENSP00000284669	SINLEJ001515
ENSP00000284669	SINLEJ001514
ENSP00000284674	SINLEJ004424
ENSP00000284674	SINLEJ011925
ENSP00000284690	SINLEJ015145
ENSP00000284694	SINLEJ004299
ENSP00000284719	SINLEJ010462
ENSP00000284719	SINLEJ010461
ENSP00000284727	SINLEJ001598
ENSP00000284770	SINLEJ006546
ENSP00000284770	SINLEJ015445
ENSP00000284878	SINLEJ015522
ENSP00000284878	SINLEJ018382
ENSP00000284885	SINLEJ600121
ENSP00000284885	SINLEJ600350
ENSP00000284898	SINLEJ006722
ENSP00000284957	SINLEJ016377
ENSP00000284957	SINLEJ016378
ENSP00000284984	SINLEJ016038
ENSP00000284984	SINLEJ016036
ENSP00000284987	SINLEJ016037
ENSP00000284987	SINLEJ016132
ENSP00000284995	SINLEJ010273
ENSP00000284995	SINLEJ010274
ENSP00000285018	SINLEJ010249
ENSP00000285018	SINLEJ019296
ENSP00000285021	SINLEJ011469
ENSP00000285071	SINLEJ010984
ENSP00000285083	SINLEJ600170
ENSP00000285093	SINLEJ012844
ENSP00000285116	SINLEJ012932
ENSP00000285208	SINLEJ019452
ENSP00000285238	SINLEJ005324
ENSP00000285238	SINLEJ008987
ENSP00000285298	SINLEJ016374
ENSP00000285398	SINLEJ600246
ENSP00000285398	SINLEJ600245
ENSP00000285407	SINLEJ015261
ENSP00000285407	SINLEJ006899
ENSP00000285420	SINLEJ012979
ENSP00000285518	SINLEJ002687
ENSP00000285599	SINLEJ004351
ENSP00000285599	SINLEJ004350
ENSP00000285667	SINLEJ009260
ENSP00000285679	SINLEJ016137
ENSP00000285679	SINLEJ016138
ENSP00000285735	SINLEJ012288
ENSP00000285737	SINLEJ008813
ENSP00000285737	SINLEJ008814
ENSP00000285814	SINLEJ003363
ENSP00000285871	SINLEJ012413
ENSP00000285928	SINLEJ013670
ENSP00000285930	SINLEJ001289
ENSP00000285947	SINLEJ003144
ENSP00000285968	SINLEJ007527
ENSP00000285968	SINLEJ007526
ENSP00000285979	SINLEJ011051
ENSP00000285979	SINLEJ015607
ENSP00000286031	SINLEJ005701
ENSP00000286031	SINLEJ005702
ENSP00000286063	SINLEJ600484
ENSP00000286063	SINLEJ600483
ENSP00000286070	SINLEJ600286
ENSP00000286091	SINLEJ001383
ENSP00000286175	SINLEJ016452
ENSP00000286186	SINLEJ001220
ENSP00000286201	SINLEJ600285
ENSP00000286201	SINLEJ003336
ENSP00000286234	SINLEJ003115
ENSP00000286298	SINLEJ004482
ENSP00000286298	SINLEJ004481
ENSP00000286301	SINLEJ014163
ENSP00000286307	SINLEJ004472
ENSP00000286317	SINLEJ006392
ENSP00000286353	SINLEJ007813
ENSP00000286355	SINLEJ008291
ENSP00000286355	SINLEJ008294
ENSP00000286398	SINLEJ018131
ENSP00000286398	SINLEJ018087
ENSP00000286428	SINLEJ016000
ENSP00000286523	SINLEJ017304
ENSP00000286544	SINLEJ014457
ENSP00000286548	SINLEJ000594
ENSP00000286548	SINLEJ010721
ENSP00000286574	SINLEJ009538
ENSP00000286614	SINLEJ011191
ENSP00000286614	SINLEJ008805
ENSP00000286621	SINLEJ010231
ENSP00000286639	SINLEJ005063
ENSP00000286648	SINLEJ010622
ENSP00000286657	SINLEJ010586
ENSP00000286657	SINLEJ006421
ENSP00000286688	SINLEJ011128
ENSP00000286692	SINLEJ018441
ENSP00000286713	SINLEJ005800
ENSP00000286713	SINLEJ018889
ENSP00000286744	SINLEJ000418
ENSP00000286788	SINLEJ018627
ENSP00000286827	SINLEJ013574
ENSP00000286827	SINLEJ013576
ENSP00000286918	SINLEJ002956
ENSP00000287008	SINLEJ002830
ENSP00000287020	SINLEJ008601
ENSP00000287020	SINLEJ008323
ENSP00000287025	SINLEJ005502
ENSP00000287042	SINLEJ008367
ENSP00000287097	SINLEJ013655
ENSP00000287097	SINLEJ013284
ENSP00000287139	SINLEJ006420
ENSP00000287152	SINLEJ001930
ENSP00000287202	SINLEJ014226
ENSP00000287218	SINLEJ001998
ENSP00000287275	SINLEJ010558
ENSP00000287295	SINLEJ006348
ENSP00000287295	SINLEJ006349
ENSP00000287380	SINLEJ013107
ENSP00000287380	SINLEJ013108
ENSP00000287394	SINLEJ008598
ENSP00000287474	SINLEJ018708
ENSP00000287482	SINLEJ000033
ENSP00000287590	SINLEJ019087
ENSP00000287590	SINLEJ016912
ENSP00000287598	SINLEJ001913
ENSP00000287647	SINLEJ012277
ENSP00000287667	SINLEJ015854
ENSP00000287713	SINLEJ005650
ENSP00000287713	SINLEJ016446
ENSP00000287727	SINLEJ012431
ENSP00000287727	SINLEJ012432
ENSP00000287766	SINLEJ010216
ENSP00000287814	SINLEJ007284
ENSP00000287814	SINLEJ012314
ENSP00000287820	SINLEJ007281
ENSP00000287878	SINLEJ600379
ENSP00000287878	SINLEJ010357
ENSP00000287907	SINLEJ600394
ENSP00000287907	SINLEJ004721
ENSP00000287908	SINLEJ001675
ENSP00000287934	SINLEJ013903
ENSP00000287934	SINLEJ013904
ENSP00000287936	SINLEJ015868
ENSP00000287936	SINLEJ010759
ENSP00000287957	SINLEJ003169
ENSP00000287996	SINLEJ019093
ENSP00000288025	SINLEJ003173
ENSP00000288050	SINLEJ011174
ENSP00000288050	SINLEJ017118
ENSP00000288111	SINLEJ008920
ENSP00000288111	SINLEJ016303
ENSP00000288135	SINLEJ003011
ENSP00000288139	SINLEJ010199
ENSP00000288139	SINLEJ015674
ENSP00000288207	SINLEJ000310
ENSP00000288221	SINLEJ010212
ENSP00000288221	SINLEJ009580
ENSP00000288235	SINLEJ000312
ENSP00000288235	SINLEJ000311
ENSP00000288266	SINLEJ010259
ENSP00000288266	SINLEJ010258
ENSP00000288368	SINLEJ008533
ENSP00000288368	SINLEJ008532
ENSP00000288490	SINLEJ013140
ENSP00000288490	SINLEJ007511
ENSP00000288502	SINLEJ005657
ENSP00000288532	SINLEJ003709
ENSP00000288532	SINLEJ015380
ENSP00000288602	SINLEJ012334
ENSP00000288602	SINLEJ011487
ENSP00000288670	SINLEJ010436
ENSP00000288670	SINLEJ003473
ENSP00000288680	SINLEJ011522
ENSP00000288680	SINLEJ011523
ENSP00000288710	SINLEJ015248
ENSP00000288710	SINLEJ006886
ENSP00000288774	SINLEJ007877
ENSP00000288828	SINLEJ005329
ENSP00000288840	SINLEJ004053
ENSP00000288840	SINLEJ010897
ENSP00000288912	SINLEJ015300
ENSP00000288937	SINLEJ019327
ENSP00000289004	SINLEJ011573
ENSP00000289013	SINLEJ016314
ENSP00000289013	SINLEJ008909
ENSP00000289081	SINLEJ000018
ENSP00000289081	SINLEJ000019
ENSP00000289104	SINLEJ600322
ENSP00000289104	SINLEJ003412
ENSP00000289119	SINLEJ008545
ENSP00000289119	SINLEJ009630
ENSP00000289248	SINLEJ013582
ENSP00000289359	SINLEJ006362
ENSP00000289361	SINLEJ016637
ENSP00000289371	SINLEJ006358
ENSP00000289382	SINLEJ007136
ENSP00000289388	SINLEJ003417
ENSP00000289407	SINLEJ011490
ENSP00000289407	SINLEJ001440
ENSP00000289416	SINLEJ009125
ENSP00000289528	SINLEJ003132
ENSP00000289547	SINLEJ012832
ENSP00000289547	SINLEJ012831
ENSP00000289672	SINLEJ003502
ENSP00000289746	SINLEJ009363
ENSP00000289753	SINLEJ015149
ENSP00000289932	SINLEJ009063
ENSP00000289957	SINLEJ000558
ENSP00000290039	SINLEJ012513
ENSP00000290039	SINLEJ012512
ENSP00000290101	SINLEJ012200
ENSP00000290122	SINLEJ012228
ENSP00000290155	SINLEJ012712
ENSP00000290158	SINLEJ001699
ENSP00000290167	SINLEJ012148
ENSP00000290208	SINLEJ003320
ENSP00000290231	SINLEJ018099
ENSP00000290231	SINLEJ019041
ENSP00000290246	SINLEJ009299
ENSP00000290246	SINLEJ008700
ENSP00000290295	SINLEJ600495
ENSP00000290295	SINLEJ004825
ENSP00000290332	SINLEJ005704
ENSP00000290332	SINLEJ017621
ENSP00000290341	SINLEJ004875
ENSP00000290341	SINLEJ003261
ENSP00000290349	SINLEJ006473
ENSP00000290374	SINLEJ001955
ENSP00000290374	SINLEJ004915
ENSP00000290378	SINLEJ005147
ENSP00000290378	SINLEJ001849
ENSP00000290390	SINLEJ004392
ENSP00000290401	SINLEJ014193
ENSP00000290401	SINLEJ003032
ENSP00000290418	SINLEJ004568
ENSP00000290536	SINLEJ012874
ENSP00000290541	SINLEJ015888
ENSP00000290573	SINLEJ004580
ENSP00000290573	SINLEJ007941
ENSP00000290583	SINLEJ012920
ENSP00000290583	SINLEJ003931
ENSP00000290607	SINLEJ005848
ENSP00000290649	SINLEJ011165
ENSP00000290649	SINLEJ011164
ENSP00000290663	SINLEJ000340
ENSP00000290759	SINLEJ010785
ENSP00000290759	SINLEJ018288
ENSP00000290765	SINLEJ003680
ENSP00000290810	SINLEJ014055
ENSP00000290866	SINLEJ010317
ENSP00000290866	SINLEJ003496
ENSP00000290881	SINLEJ012963
ENSP00000290894	SINLEJ016424
ENSP00000290902	SINLEJ006470
ENSP00000290902	SINLEJ004354
ENSP00000290921	SINLEJ004591
ENSP00000290949	SINLEJ013100
ENSP00000290949	SINLEJ013101
ENSP00000290974	SINLEJ016737
ENSP00000291041	SINLEJ009344
ENSP00000291041	SINLEJ011226
ENSP00000291182	SINLEJ018571
ENSP00000291182	SINLEJ017391
ENSP00000291231	SINLEJ011691
ENSP00000291294	SINLEJ005861
ENSP00000291386	SINLEJ012151
ENSP00000291386	SINLEJ018354
ENSP00000291416	SINLEJ004334
ENSP00000291416	SINLEJ019239
ENSP00000291539	SINLEJ003025
ENSP00000291539	SINLEJ012101
ENSP00000291547	SINLEJ014618
ENSP00000291552	SINLEJ014609
ENSP00000291554	SINLEJ013652
ENSP00000291560	SINLEJ017581
ENSP00000291560	SINLEJ003108
ENSP00000291568	SINLEJ015102
ENSP00000291574	SINLEJ012671
ENSP00000291576	SINLEJ009132
ENSP00000291577	SINLEJ007089
ENSP00000291577	SINLEJ017097
ENSP00000291592	SINLEJ001281
ENSP00000291592	SINLEJ016495
ENSP00000291634	SINLEJ001266
ENSP00000291670	SINLEJ600122
ENSP00000291670	SINLEJ600123
ENSP00000291691	SINLEJ004707
ENSP00000291700	SINLEJ000938
ENSP00000291700	SINLEJ000939
ENSP00000292035	SINLEJ005602
ENSP00000292055	SINLEJ016909
ENSP00000292090	SINLEJ009385
ENSP00000292114	SINLEJ015381
ENSP00000292147	SINLEJ014614
ENSP00000292169	SINLEJ012787
ENSP00000292169	SINLEJ012786
ENSP00000292174	SINLEJ016513
ENSP00000292180	SINLEJ012904
ENSP00000292246	SINLEJ017114
ENSP00000292246	SINLEJ011179
ENSP00000292363	SINLEJ010903
ENSP00000292431	SINLEJ005529
ENSP00000292524	SINLEJ013001
ENSP00000292530	SINLEJ018230
ENSP00000292530	SINLEJ016829
ENSP00000292539	SINLEJ013034
ENSP00000292539	SINLEJ009231
ENSP00000292574	SINLEJ009383
ENSP00000292579	SINLEJ016073
ENSP00000292579	SINLEJ016105
ENSP00000292596	SINLEJ006321
ENSP00000292614	SINLEJ019447
ENSP00000292672	SINLEJ017565
ENSP00000292672	SINLEJ003929
ENSP00000292778	SINLEJ011642
ENSP00000292782	SINLEJ013327
ENSP00000292807	SINLEJ012146
ENSP00000292841	SINLEJ016003
ENSP00000293190	SINLEJ008941
ENSP00000293217	SINLEJ014734
ENSP00000293217	SINLEJ014733
ENSP00000293230	SINLEJ005276
ENSP00000293230	SINLEJ005450
ENSP00000293288	SINLEJ002792
ENSP00000293303	SINLEJ005442
ENSP00000293328	SINLEJ004833
ENSP00000293328	SINLEJ600451
ENSP00000293362	SINLEJ004702
ENSP00000293379	SINLEJ001224
ENSP00000293471	SINLEJ019366
ENSP00000293549	SINLEJ600084
ENSP00000293636	SINLEJ005452
ENSP00000293662	SINLEJ001436
ENSP00000293771	SINLEJ017919
ENSP00000293771	SINLEJ007841
ENSP00000293777	SINLEJ018262
ENSP00000293777	SINLEJ018265
ENSP00000293879	SINLEJ012595
ENSP00000293879	SINLEJ005261
ENSP00000293883	SINLEJ005803
ENSP00000293883	SINLEJ005802
ENSP00000293889	SINLEJ009979
ENSP00000293897	SINLEJ009012
ENSP00000293970	SINLEJ009030
ENSP00000293970	SINLEJ018579
ENSP00000294008	SINLEJ005375
ENSP00000294016	SINLEJ005388
ENSP00000294016	SINLEJ005390
ENSP00000294053	SINLEJ015849
ENSP00000294053	SINLEJ015848
ENSP00000294064	SINLEJ018616
ENSP00000294066	SINLEJ005133
ENSP00000294119	SINLEJ001037
ENSP00000294129	SINLEJ007386
ENSP00000294129	SINLEJ007385
ENSP00000294168	SINLEJ016714
ENSP00000294179	SINLEJ006039
ENSP00000294179	SINLEJ001015
ENSP00000294304	SINLEJ007499
ENSP00000294339	SINLEJ010008
ENSP00000294353	SINLEJ012434
ENSP00000294383	SINLEJ000323
ENSP00000294383	SINLEJ000320
ENSP00000294454	SINLEJ018534
ENSP00000294484	SINLEJ007767
ENSP00000294484	SINLEJ007768
ENSP00000294543	SINLEJ012173
ENSP00000294635	SINLEJ005596
ENSP00000294664	SINLEJ000359
ENSP00000294671	SINLEJ018084
ENSP00000294724	SINLEJ000333
ENSP00000294724	SINLEJ000332
ENSP00000294725	SINLEJ005539
ENSP00000294725	SINLEJ016444
ENSP00000294728	SINLEJ017805
ENSP00000294742	SINLEJ016675
ENSP00000294785	SINLEJ016919
ENSP00000294785	SINLEJ016916
ENSP00000294794	SINLEJ014401
ENSP00000294952	SINLEJ005906
ENSP00000294964	SINLEJ005975
ENSP00000294964	SINLEJ005976
ENSP00000294973	SINLEJ005071
ENSP00000295006	SINLEJ006096
ENSP00000295006	SINLEJ005173
ENSP00000295025	SINLEJ005954
ENSP00000295025	SINLEJ002187
ENSP00000295030	SINLEJ016723
ENSP00000295030	SINLEJ016722
ENSP00000295049	SINLEJ004887
ENSP00000295050	SINLEJ005076
ENSP00000295050	SINLEJ005075
ENSP00000295057	SINLEJ009476
ENSP00000295065	SINLEJ002102
ENSP00000295079	SINLEJ001625
ENSP00000295082	SINLEJ008277
ENSP00000295082	SINLEJ008575
ENSP00000295083	SINLEJ016553
ENSP00000295095	SINLEJ010382
ENSP00000295095	SINLEJ003216
ENSP00000295101	SINLEJ001438
ENSP00000295101	SINLEJ003468
ENSP00000295108	SINLEJ003260
ENSP00000295108	SINLEJ001316
ENSP00000295113	SINLEJ001321
ENSP00000295117	SINLEJ014486
ENSP00000295117	SINLEJ001776
ENSP00000295119	SINLEJ600139
ENSP00000295121	SINLEJ005004
ENSP00000295124	SINLEJ006219
ENSP00000295148	SINLEJ009830
ENSP00000295171	SINLEJ003580
ENSP00000295171	SINLEJ014982
ENSP00000295206	SINLEJ600260
ENSP00000295206	SINLEJ600396
ENSP00000295208	SINLEJ017018
ENSP00000295213	SINLEJ006984
ENSP00000295213	SINLEJ006995
ENSP00000295228	SINLEJ600268
ENSP00000295228	SINLEJ600407
ENSP00000295240	SINLEJ005397
ENSP00000295240	SINLEJ001516
ENSP00000295256	SINLEJ010640
ENSP00000295297	SINLEJ004308
ENSP00000295304	SINLEJ001174
ENSP00000295321	SINLEJ011799
ENSP00000295373	SINLEJ006092
ENSP00000295379	SINLEJ006608
ENSP00000295379	SINLEJ015543
ENSP00000295408	SINLEJ001108
ENSP00000295452	SINLEJ014173
ENSP00000295452	SINLEJ007169
ENSP00000295454	SINLEJ019455
ENSP00000295454	SINLEJ007176
ENSP00000295488	SINLEJ004432
ENSP00000295488	SINLEJ019206
ENSP00000295522	SINLEJ011751
ENSP00000295542	SINLEJ000463
ENSP00000295550	SINLEJ001215
ENSP00000295550	SINLEJ016759
ENSP00000295569	SINLEJ013691
ENSP00000295571	SINLEJ010153
ENSP00000295588	SINLEJ012384
ENSP00000295589	SINLEJ013635
ENSP00000295589	SINLEJ013634
ENSP00000295600	SINLEJ012300
ENSP00000295600	SINLEJ011419
ENSP00000295622	SINLEJ018721
ENSP00000295622	SINLEJ017787
ENSP00000295628	SINLEJ012074
ENSP00000295633	SINLEJ016907
ENSP00000295641	SINLEJ001521
ENSP00000295641	SINLEJ001522
ENSP00000295666	SINLEJ004534
ENSP00000295682	SINLEJ012876
ENSP00000295683	SINLEJ004720
ENSP00000295685	SINLEJ001572
ENSP00000295688	SINLEJ014206
ENSP00000295702	SINLEJ000300
ENSP00000295709	SINLEJ003639
ENSP00000295709	SINLEJ014926
ENSP00000295718	SINLEJ010304
ENSP00000295727	SINLEJ013852
ENSP00000295728	SINLEJ600178
ENSP00000295731	SINLEJ018522
ENSP00000295731	SINLEJ019111
ENSP00000295736	SINLEJ600339
ENSP00000295736	SINLEJ600340
ENSP00000295757	SINLEJ013684
ENSP00000295767	SINLEJ017171
ENSP00000295767	SINLEJ007206
ENSP00000295770	SINLEJ003464
ENSP00000295777	SINLEJ014963
ENSP00000295797	SINLEJ012226
ENSP00000295797	SINLEJ007724
ENSP00000295802	SINLEJ003162
ENSP00000295802	SINLEJ003161
ENSP00000295824	SINLEJ003423
ENSP00000295886	SINLEJ011906
ENSP00000295887	SINLEJ010535
ENSP00000295888	SINLEJ010530
ENSP00000295888	SINLEJ010531
ENSP00000295890	SINLEJ013949
ENSP00000295890	SINLEJ013950
ENSP00000295896	SINLEJ009415
ENSP00000295899	SINLEJ009414
ENSP00000295899	SINLEJ019010
ENSP00000295901	SINLEJ012335
ENSP00000295902	SINLEJ018996
ENSP00000295902	SINLEJ017811
ENSP00000295951	SINLEJ012374
ENSP00000295951	SINLEJ009469
ENSP00000295958	SINLEJ006202
ENSP00000295987	SINLEJ009517
ENSP00000295987	SINLEJ009519
ENSP00000295992	SINLEJ011810
ENSP00000296003	SINLEJ011491
ENSP00000296015	SINLEJ008142
ENSP00000296043	SINLEJ012037
ENSP00000296051	SINLEJ012114
ENSP00000296059	SINLEJ013981
ENSP00000296084	SINLEJ018857
ENSP00000296088	SINLEJ013973
ENSP00000296088	SINLEJ008783
ENSP00000296098	SINLEJ009751
ENSP00000296121	SINLEJ013926
ENSP00000296125	SINLEJ009338
ENSP00000296125	SINLEJ018828
ENSP00000296127	SINLEJ008706
ENSP00000296127	SINLEJ019272
ENSP00000296130	SINLEJ008708
ENSP00000296135	SINLEJ013781
ENSP00000296137	SINLEJ003236
ENSP00000296137	SINLEJ001501
ENSP00000296161	SINLEJ001478
ENSP00000296181	SINLEJ013793
ENSP00000296181	SINLEJ003467
ENSP00000296215	SINLEJ012679
ENSP00000296218	SINLEJ008423
ENSP00000296218	SINLEJ008422
ENSP00000296220	SINLEJ001642
ENSP00000296233	SINLEJ007203
ENSP00000296233	SINLEJ015708
ENSP00000296255	SINLEJ012388
ENSP00000296257	SINLEJ018385
ENSP00000296266	SINLEJ012290
ENSP00000296271	SINLEJ012292
ENSP00000296271	SINLEJ011480
ENSP00000296277	SINLEJ007086
ENSP00000296280	SINLEJ007771
ENSP00000296280	SINLEJ007770
ENSP00000296292	SINLEJ009475
ENSP00000296327	SINLEJ017433
ENSP00000296327	SINLEJ008208
ENSP00000296328	SINLEJ008179
ENSP00000296343	SINLEJ013361
ENSP00000296350	SINLEJ011788
ENSP00000296370	SINLEJ003949
ENSP00000296370	SINLEJ003952
ENSP00000296387	SINLEJ600369
ENSP00000296387	SINLEJ011746
ENSP00000296411	SINLEJ010626
ENSP00000296411	SINLEJ008818
ENSP00000296412	SINLEJ010627
ENSP00000296424	SINLEJ004917
ENSP00000296452	SINLEJ010111
ENSP00000296452	SINLEJ010112
ENSP00000296456	SINLEJ011473
ENSP00000296468	SINLEJ003009
ENSP00000296468	SINLEJ003010
ENSP00000296473	SINLEJ011359
ENSP00000296473	SINLEJ016728
ENSP00000296484	SINLEJ009551
ENSP00000296484	SINLEJ011036
ENSP00000296486	SINLEJ006448
ENSP00000296490	SINLEJ010078
ENSP00000296498	SINLEJ010701
ENSP00000296498	SINLEJ015425
ENSP00000296499	SINLEJ015431
ENSP00000296503	SINLEJ006287
ENSP00000296511	SINLEJ010568
ENSP00000296511	SINLEJ008014
ENSP00000296513	SINLEJ005875
ENSP00000296522	SINLEJ000917
ENSP00000296525	SINLEJ001719
ENSP00000296526	SINLEJ002828
ENSP00000296526	SINLEJ018643
ENSP00000296529	SINLEJ006352
ENSP00000296543	SINLEJ013317
ENSP00000296575	SINLEJ001484
ENSP00000296577	SINLEJ007028
ENSP00000296582	SINLEJ006290
ENSP00000296582	SINLEJ006291
ENSP00000296589	SINLEJ004043
ENSP00000296589	SINLEJ006799
ENSP00000296591	SINLEJ004154
ENSP00000296591	SINLEJ012903
ENSP00000296595	SINLEJ015909
ENSP00000296600	SINLEJ004014
ENSP00000296641	SINLEJ012046
ENSP00000296657	SINLEJ003518
ENSP00000296657	SINLEJ004695
ENSP00000296658	SINLEJ003347
ENSP00000296658	SINLEJ003416
ENSP00000296666	SINLEJ017833
ENSP00000296666	SINLEJ010863
ENSP00000296674	SINLEJ012274
ENSP00000296677	SINLEJ010750
ENSP00000296677	SINLEJ004952
ENSP00000296682	SINLEJ015948
ENSP00000296682	SINLEJ019025
ENSP00000296684	SINLEJ012811
ENSP00000296702	SINLEJ015134
ENSP00000296721	SINLEJ004444
ENSP00000296754	SINLEJ010882
ENSP00000296755	SINLEJ000317
ENSP00000296755	SINLEJ012943
ENSP00000296785	SINLEJ015908
ENSP00000296792	SINLEJ015910
ENSP00000296795	SINLEJ006439
ENSP00000296795	SINLEJ016095
ENSP00000296802	SINLEJ014254
ENSP00000296805	SINLEJ010778
ENSP00000296824	SINLEJ014537
ENSP00000296824	SINLEJ014536
ENSP00000296839	SINLEJ009174
ENSP00000296839	SINLEJ015876
ENSP00000296849	SINLEJ008900
ENSP00000296859	SINLEJ006488
ENSP00000296861	SINLEJ008418
ENSP00000296921	SINLEJ004383
ENSP00000296930	SINLEJ001003
ENSP00000296946	SINLEJ006929
ENSP00000296946	SINLEJ015291
ENSP00000296980	SINLEJ000356
ENSP00000297029	SINLEJ005583
ENSP00000297029	SINLEJ005585
ENSP00000297044	SINLEJ005279
ENSP00000297056	SINLEJ011002
ENSP00000297056	SINLEJ002942
ENSP00000297109	SINLEJ007059
ENSP00000297145	SINLEJ009505
ENSP00000297145	SINLEJ009504
ENSP00000297146	SINLEJ009502
ENSP00000297146	SINLEJ009501
ENSP00000297157	SINLEJ014037
ENSP00000297157	SINLEJ014038
ENSP00000297161	SINLEJ003180
ENSP00000297185	SINLEJ004404
ENSP00000297203	SINLEJ011014
ENSP00000297205	SINLEJ600117
ENSP00000297261	SINLEJ600399
ENSP00000297261	SINLEJ018672
ENSP00000297267	SINLEJ013559
ENSP00000297267	SINLEJ012641
ENSP00000297273	SINLEJ003391
ENSP00000297273	SINLEJ001580
ENSP00000297282	SINLEJ007510
ENSP00000297282	SINLEJ005578
ENSP00000297283	SINLEJ004533
ENSP00000297290	SINLEJ017407
ENSP00000297290	SINLEJ010992
ENSP00000297313	SINLEJ006778
ENSP00000297316	SINLEJ002797
ENSP00000297323	SINLEJ003499
ENSP00000297323	SINLEJ600189
ENSP00000297338	SINLEJ005481
ENSP00000297338	SINLEJ008671
ENSP00000297347	SINLEJ005468
ENSP00000297350	SINLEJ017310
ENSP00000297350	SINLEJ019181
ENSP00000297375	SINLEJ001712
ENSP00000297405	SINLEJ006693
ENSP00000297405	SINLEJ016345
ENSP00000297431	SINLEJ013732
ENSP00000297440	SINLEJ003063
ENSP00000297440	SINLEJ003062
ENSP00000297494	SINLEJ011664
ENSP00000297508	SINLEJ002919
ENSP00000297512	SINLEJ003382
ENSP00000297532	SINLEJ600328
ENSP00000297537	SINLEJ001540
ENSP00000297537	SINLEJ010391
ENSP00000297540	SINLEJ004023
ENSP00000297565	SINLEJ009698
ENSP00000297565	SINLEJ008368
ENSP00000297578	SINLEJ008248
ENSP00000297591	SINLEJ008729
ENSP00000297591	SINLEJ009456
ENSP00000297596	SINLEJ016337
ENSP00000297596	SINLEJ008888
ENSP00000297613	SINLEJ014313
ENSP00000297625	SINLEJ004396
ENSP00000297625	SINLEJ012301
ENSP00000297668	SINLEJ003405
ENSP00000297679	SINLEJ011601
ENSP00000297689	SINLEJ000347
ENSP00000297689	SINLEJ000348
ENSP00000297737	SINLEJ011966
ENSP00000297792	SINLEJ005463
ENSP00000297814	SINLEJ004101
ENSP00000297848	SINLEJ009610
ENSP00000297848	SINLEJ009611
ENSP00000297873	SINLEJ015412
ENSP00000297954	SINLEJ007271
ENSP00000297954	SINLEJ007273
ENSP00000297977	SINLEJ015078
ENSP00000297977	SINLEJ015077
ENSP00000297990	SINLEJ003937
ENSP00000297991	SINLEJ006121
ENSP00000297991	SINLEJ010746
ENSP00000298032	SINLEJ003533
ENSP00000298032	SINLEJ003532
ENSP00000298047	SINLEJ018298
ENSP00000298047	SINLEJ018021
ENSP00000298048	SINLEJ010647
ENSP00000298048	SINLEJ015476
ENSP00000298068	SINLEJ011911
ENSP00000298068	SINLEJ018355
ENSP00000298110	SINLEJ011853
ENSP00000298119	SINLEJ005947
ENSP00000298119	SINLEJ015984
ENSP00000298125	SINLEJ013435
ENSP00000298130	SINLEJ004918
ENSP00000298130	SINLEJ001739
ENSP00000298223	SINLEJ006265
ENSP00000298248	SINLEJ012661
ENSP00000298251	SINLEJ009847
ENSP00000298282	SINLEJ016136
ENSP00000298288	SINLEJ000666
ENSP00000298299	SINLEJ000135
ENSP00000298307	SINLEJ016718
ENSP00000298310	SINLEJ005980
ENSP00000298310	SINLEJ005981
ENSP00000298316	SINLEJ005132
ENSP00000298316	SINLEJ002177
ENSP00000298317	SINLEJ014566
ENSP00000298355	SINLEJ016732
ENSP00000298355	SINLEJ017261
ENSP00000298386	SINLEJ006171
ENSP00000298472	SINLEJ004412
ENSP00000298472	SINLEJ015177
ENSP00000298510	SINLEJ012020
ENSP00000298532	SINLEJ000336
ENSP00000298545	SINLEJ017831
ENSP00000298545	SINLEJ017829
ENSP00000298552	SINLEJ005605
ENSP00000298552	SINLEJ005606
ENSP00000298556	SINLEJ013878
ENSP00000298585	SINLEJ005684
ENSP00000298596	SINLEJ006555
ENSP00000298622	SINLEJ004573
ENSP00000298622	SINLEJ012003
ENSP00000298694	SINLEJ008860
ENSP00000298717	SINLEJ015825
ENSP00000298743	SINLEJ012790
ENSP00000298743	SINLEJ010737
ENSP00000298767	SINLEJ005677
ENSP00000298784	SINLEJ006435
ENSP00000298815	SINLEJ018797
ENSP00000298832	SINLEJ016994
ENSP00000298852	SINLEJ013151
ENSP00000298852	SINLEJ013150
ENSP00000298854	SINLEJ013155
ENSP00000298875	SINLEJ006000
ENSP00000298892	SINLEJ007593
ENSP00000298910	SINLEJ009568
ENSP00000298943	SINLEJ001674
ENSP00000298943	SINLEJ004615
ENSP00000298966	SINLEJ018328
ENSP00000298966	SINLEJ018330
ENSP00000298999	SINLEJ000920
ENSP00000298999	SINLEJ000919
ENSP00000299045	SINLEJ008113
ENSP00000299084	SINLEJ005042
ENSP00000299084	SINLEJ000890
ENSP00000299106	SINLEJ014651
ENSP00000299134	SINLEJ011612
ENSP00000299138	SINLEJ009187
ENSP00000299157	SINLEJ011812
