fgenesh2_pg.scaffold_351000043	ENSP00000261819
estExt_fgenesh2_pg.C_1550034	ENSP00000370377
estExt_fgenesh2_pg.C_1550038	ENSP00000351492
estExt_fgenesh2_pg.C_1550041	ENSP00000298546
estExt_fgenesh2_pg.C_1550053	ENSP00000355133
estExt_fgenesh2_pg.C_1550058	ENSP00000247020
estExt_fgenesh2_pg.C_1550085	ENSP00000266688
estExt_fgenesh2_pg.C_1550086	ENSP00000332013
estExt_fgenesh2_pg.C_1550093	ENSP00000331268
estExt_fgenesh2_pg.C_1550095	ENSP00000340935
estExt_fgenesh2_pg.C_1550099	ENSP00000346414
estExt_fgenesh2_pg.C_1560052	ENSP00000370781
estExt_fgenesh2_pg.C_1560062	ENSP00000322270
estExt_fgenesh2_pg.C_1560063	ENSP00000361540
estExt_fgenesh2_pg.C_1560080	ENSP00000233242
estExt_fgenesh2_pg.C_1560094	ENSP00000470478
estExt_fgenesh2_pg.C_1560098	ENSP00000351497
estExt_fgenesh2_pg.C_1570012	ENSP00000231512
estExt_fgenesh2_pg.C_1570023	ENSP00000443292
estExt_fgenesh2_pg.C_1570024	ENSP00000378650
estExt_fgenesh2_pg.C_1570024	ENSP00000219905
estExt_fgenesh2_pg.C_1570037	ENSP00000371469
estExt_fgenesh2_pg.C_1570042	ENSP00000242592
estExt_fgenesh2_pg.C_1570069	ENSP00000344562
estExt_fgenesh2_pg.C_1570079	ENSP00000400906
estExt_fgenesh2_pg.C_1570079	ENSP00000287156
estExt_fgenesh2_pg.C_1570080	ENSP00000388920
estExt_fgenesh2_pg.C_1580002	ENSP00000358106
estExt_fgenesh2_pg.C_1580035	ENSP00000362268
estExt_fgenesh2_pg.C_1580038	ENSP00000369948
estExt_fgenesh2_pg.C_1580038	ENSP00000258436
estExt_fgenesh2_pg.C_1580063	ENSP00000366746
estExt_fgenesh2_pg.C_1580063	ENSP00000329200
estExt_fgenesh2_pg.C_1580084	ENSP00000471309
estExt_fgenesh2_pg.C_1580085	ENSP00000298852
estExt_fgenesh2_pg.C_1590009	ENSP00000458355
estExt_fgenesh2_pg.C_1590011	ENSP00000383059
estExt_fgenesh2_pg.C_1590012	ENSP00000283290
estExt_fgenesh2_pg.C_1590024	ENSP00000325863
estExt_fgenesh2_pg.C_1590032	ENSP00000322730
estExt_fgenesh2_pg.C_1590054	ENSP00000307801
estExt_fgenesh2_pg.C_1590065	ENSP00000461625
estExt_fgenesh2_pg.C_1590080	ENSP00000327832
estExt_fgenesh2_pg.C_1590082	ENSP00000265594
estExt_fgenesh2_pg.C_1590092	ENSP00000304643
estExt_fgenesh2_pg.C_1590095	ENSP00000216144
estExt_fgenesh2_pg.C_1590104	ENSP00000251566
estExt_fgenesh2_pg.C_1590107	ENSP00000307288
estExt_fgenesh2_pg.C_1600001	ENSP00000314491
estExt_fgenesh2_pg.C_1600006	ENSP00000362092
estExt_fgenesh2_pg.C_1600014	ENSP00000244669
estExt_fgenesh2_pg.C_1600089	ENSP00000384676
estExt_fgenesh2_pg.C_1600111	ENSP00000249079
estExt_fgenesh2_pg.C_1600119	ENSP00000398597
estExt_fgenesh2_pg.C_1610001	ENSP00000360060
estExt_fgenesh2_pg.C_1610009	ENSP00000270570
estExt_fgenesh2_pg.C_1610021	ENSP00000391669
estExt_fgenesh2_pg.C_1610021	ENSP00000368759
estExt_fgenesh2_pg.C_1610021	ENSP00000216733
estExt_fgenesh2_pg.C_1610021	ENSP00000360387
estExt_fgenesh2_pg.C_1610066	ENSP00000296513
estExt_fgenesh2_pg.C_1610071	ENSP00000313324
estExt_fgenesh2_pg.C_1610072	ENSP00000295171
estExt_fgenesh2_pg.C_1610077	ENSP00000289473
estExt_fgenesh2_pg.C_1620010	ENSP00000253099
estExt_fgenesh2_pg.C_1620019	ENSP00000427961
estExt_fgenesh2_pg.C_1630005	ENSP00000328938
estExt_fgenesh2_pg.C_1630015	ENSP00000402962
estExt_fgenesh2_pg.C_1630018	ENSP00000361658
estExt_fgenesh2_pg.C_1630018	ENSP00000417556
estExt_fgenesh2_pg.C_1630050	ENSP00000307900
estExt_fgenesh2_pg.C_1640017	ENSP00000379839
estExt_fgenesh2_pg.C_1640020	ENSP00000360250
estExt_fgenesh2_pg.C_1640022	ENSP00000229214
estExt_fgenesh2_pg.C_1640031	ENSP00000285949
estExt_fgenesh2_pg.C_1640037	ENSP00000357079
estExt_fgenesh2_pg.C_1640040	ENSP00000326563
estExt_fgenesh2_pg.C_1640040	ENSP00000370826
estExt_fgenesh2_pg.C_1640041	ENSP00000240423
estExt_fgenesh2_pg.C_1640043	ENSP00000371661
estExt_fgenesh2_pg.C_1640044	ENSP00000307636
estExt_fgenesh2_pg.C_1640046	ENSP00000298999
estExt_fgenesh2_pg.C_1640049	ENSP00000349365
estExt_fgenesh2_pg.C_1650027	ENSP00000296350
estExt_fgenesh2_pg.C_1650027	ENSP00000385834
estExt_fgenesh2_pg.C_1650035	ENSP00000326759
estExt_fgenesh2_pg.C_1650048	ENSP00000322343
estExt_fgenesh2_pg.C_1650052	ENSP00000406047
estExt_fgenesh2_pg.C_1650057	ENSP00000428579
estExt_fgenesh2_pg.C_1650057	ENSP00000309501
estExt_fgenesh2_pg.C_1650060	ENSP00000390475
estExt_fgenesh2_pg.C_1650063	ENSP00000005386
estExt_fgenesh2_pg.C_1650063	ENSP00000373450
estExt_fgenesh2_pg.C_1650063	ENSP00000305958
estExt_fgenesh2_pg.C_1650068	ENSP00000261652
estExt_fgenesh2_pg.C_1650086	ENSP00000469038
estExt_fgenesh2_pg.C_1650087	ENSP00000378248
estExt_fgenesh2_pg.C_1650090	ENSP00000323275
estExt_fgenesh2_pg.C_1650095	ENSP00000414415
estExt_fgenesh2_pg.C_1660015	ENSP00000328773
estExt_fgenesh2_pg.C_1660016	ENSP00000295770
estExt_fgenesh2_pg.C_1660051	ENSP00000309031
estExt_fgenesh2_pg.C_1660053	ENSP00000464162
estExt_fgenesh2_pg.C_1660061	ENSP00000313350
estExt_fgenesh2_pg.C_1660061	ENSP00000440272
estExt_fgenesh2_pg.C_1660067	ENSP00000285407
estExt_fgenesh2_pg.C_1660071	ENSP00000357087
estExt_fgenesh2_pg.C_1660078	ENSP00000301921
estExt_fgenesh2_pg.C_1660088	ENSP00000251864
estExt_fgenesh2_pg.C_1660088	ENSP00000346065
estExt_fgenesh2_pg.C_1660089	ENSP00000356563
estExt_fgenesh2_pg.C_1660091	ENSP00000363384
estExt_fgenesh2_pg.C_1660095	ENSP00000468859
estExt_fgenesh2_pg.C_1660101	ENSP00000326253
estExt_fgenesh2_pg.C_1670022	ENSP00000311010
estExt_fgenesh2_pg.C_1670029	ENSP00000261636
estExt_fgenesh2_pg.C_1670052	ENSP00000261405
estExt_fgenesh2_pg.C_1670052	ENSP00000436812
estExt_fgenesh2_pg.C_1670052	ENSP00000400895
estExt_fgenesh2_pg.C_1670053	ENSP00000473233
estExt_fgenesh2_pg.C_1670054	ENSP00000475027
estExt_fgenesh2_pg.C_1670055	ENSP00000380450
estExt_fgenesh2_pg.C_1670062	ENSP00000406046
estExt_fgenesh2_pg.C_1670063	ENSP00000375082
estExt_fgenesh2_pg.C_1670068	ENSP00000465992
estExt_fgenesh2_pg.C_1670070	ENSP00000255631
estExt_fgenesh2_pg.C_1670076	ENSP00000222567
estExt_fgenesh2_pg.C_1670087	ENSP00000376609
estExt_fgenesh2_pg.C_1670087	ENSP00000334876
estExt_fgenesh2_pg.C_1670087	ENSP00000264952
estExt_fgenesh2_pg.C_1670092	ENSP00000265007
estExt_fgenesh2_pg.C_1670096	ENSP00000325618
estExt_fgenesh2_pg.C_1670099	ENSP00000016171
estExt_fgenesh2_pg.C_1670106	ENSP00000254630
estExt_fgenesh2_pg.C_1670109	ENSP00000278060
estExt_fgenesh2_pg.C_1670113	ENSP00000421566
estExt_fgenesh2_pg.C_1680005	ENSP00000262374
estExt_fgenesh2_pg.C_1680020	ENSP00000414022
estExt_fgenesh2_pg.C_1680024	ENSP00000344220
estExt_fgenesh2_pg.C_1680030	ENSP00000216044
estExt_fgenesh2_pg.C_1680058	ENSP00000389455
estExt_fgenesh2_pg.C_1690006	ENSP00000377059
estExt_fgenesh2_pg.C_1690011	ENSP00000420311
estExt_fgenesh2_pg.C_1690012	ENSP00000380505
estExt_fgenesh2_pg.C_1690012	ENSP00000353078
estExt_fgenesh2_pg.C_1690055	ENSP00000252971
estExt_fgenesh2_pg.C_1690059	ENSP00000262189
estExt_fgenesh2_pg.C_1690067	ENSP00000264649
estExt_fgenesh2_pg.C_1690067	ENSP00000308122
estExt_fgenesh2_pg.C_1690067	ENSP00000332247
estExt_fgenesh2_pg.C_1690067	ENSP00000265686
estExt_fgenesh2_pg.C_1700008	ENSP00000358283
estExt_fgenesh2_pg.C_1700010	ENSP00000351475
estExt_fgenesh2_pg.C_1700018	ENSP00000297405
estExt_fgenesh2_pg.C_1700020	ENSP00000233813
estExt_fgenesh2_pg.C_1700020	ENSP00000233809
estExt_fgenesh2_pg.C_1700020	ENSP00000301464
estExt_fgenesh2_pg.C_1700020	ENSP00000275525
estExt_fgenesh2_pg.C_1700022	ENSP00000253048
estExt_fgenesh2_pg.C_1700036	ENSP00000455698
estExt_fgenesh2_pg.C_1700051	ENSP00000276704
estExt_fgenesh2_pg.C_1700052	ENSP00000260643
estExt_fgenesh2_pg.C_1700055	ENSP00000459533
estExt_fgenesh2_pg.C_1710018	ENSP00000390722
estExt_fgenesh2_pg.C_1710021	ENSP00000342336
estExt_fgenesh2_pg.C_1710023	ENSP00000400011
estExt_fgenesh2_pg.C_1710043	ENSP00000377080
estExt_fgenesh2_pg.C_1720042	ENSP00000332973
estExt_fgenesh2_pg.C_1730029	ENSP00000374069
estExt_fgenesh2_pg.C_1730035	ENSP00000377783
estExt_fgenesh2_pg.C_1730040	ENSP00000289388
estExt_fgenesh2_pg.C_1730041	ENSP00000364683
estExt_fgenesh2_pg.C_1730057	ENSP00000379709
estExt_fgenesh2_pg.C_1730059	ENSP00000365159
estExt_fgenesh2_pg.C_1740002	ENSP00000438455
estExt_fgenesh2_pg.C_1740084	ENSP00000324549
estExt_fgenesh2_pg.C_1750045	ENSP00000307604
estExt_fgenesh2_pg.C_1750051	ENSP00000332875
estExt_fgenesh2_pg.C_1750052	ENSP00000333873
estExt_fgenesh2_pg.C_1750052	ENSP00000288861
estExt_fgenesh2_pg.C_1750053	ENSP00000366565
estExt_fgenesh2_pg.C_1750060	ENSP00000402033
estExt_fgenesh2_pg.C_1750060	ENSP00000302935
estExt_fgenesh2_pg.C_1750061	ENSP00000351644
estExt_fgenesh2_pg.C_1750064	ENSP00000389445
estExt_fgenesh2_pg.C_1760008	ENSP00000316465
estExt_fgenesh2_pg.C_1760021	ENSP00000312027
estExt_fgenesh2_pg.C_1760026	ENSP00000356426
estExt_fgenesh2_pg.C_1760033	ENSP00000409016
estExt_fgenesh2_pg.C_1760034	ENSP00000362481
estExt_fgenesh2_pg.C_1760035	ENSP00000440866
estExt_fgenesh2_pg.C_1760051	ENSP00000306099
estExt_fgenesh2_pg.C_1760062	ENSP00000318298
estExt_fgenesh2_pg.C_1760080	ENSP00000337915
estExt_fgenesh2_pg.C_1760085	ENSP00000364840
estExt_fgenesh2_pg.C_1770001	ENSP00000351767
estExt_fgenesh2_pg.C_1770015	ENSP00000290231
estExt_fgenesh2_pg.C_1770023	ENSP00000217407
estExt_fgenesh2_pg.C_1770023	ENSP00000380594
estExt_fgenesh2_pg.C_1770023	ENSP00000417138
estExt_fgenesh2_pg.C_1770023	ENSP00000170150
estExt_fgenesh2_pg.C_1770061	ENSP00000339030
estExt_fgenesh2_pg.C_1770062	ENSP00000365105
estExt_fgenesh2_pg.C_1770067	ENSP00000338235
estExt_fgenesh2_pg.C_1770075	ENSP00000380037
estExt_fgenesh2_pg.C_1770089	ENSP00000360183
estExt_fgenesh2_pg.C_1780012	ENSP00000230122
estExt_fgenesh2_pg.C_1780012	ENSP00000421246
estExt_fgenesh2_pg.C_1780015	ENSP00000250416
estExt_fgenesh2_pg.C_1780018	ENSP00000299367
estExt_fgenesh2_pg.C_1780019	ENSP00000347933
estExt_fgenesh2_pg.C_1780020	ENSP00000364403
estExt_fgenesh2_pg.C_1780021	ENSP00000382157
estExt_fgenesh2_pg.C_1780026	ENSP00000356903
estExt_fgenesh2_pg.C_1780026	ENSP00000386935
estExt_fgenesh2_pg.C_1780033	ENSP00000360811
estExt_fgenesh2_pg.C_1780033	ENSP00000340226
estExt_fgenesh2_pg.C_1780044	ENSP00000359575
estExt_fgenesh2_pg.C_1790029	ENSP00000300303
estExt_fgenesh2_pg.C_1790031	ENSP00000409423
estExt_fgenesh2_pg.C_1790036	ENSP00000251496
estExt_fgenesh2_pg.C_1790055	ENSP00000346725
estExt_fgenesh2_pg.C_1790073	ENSP00000361278
estExt_fgenesh2_pg.C_1790075	ENSP00000312981
estExt_fgenesh2_pg.C_1800050	ENSP00000240851
estExt_fgenesh2_pg.C_1800052	ENSP00000415528
estExt_fgenesh2_pg.C_1800064	ENSP00000339090
estExt_fgenesh2_pg.C_1810008	ENSP00000339795
estExt_fgenesh2_pg.C_1810008	ENSP00000418221
estExt_fgenesh2_pg.C_1810009	ENSP00000359305
estExt_fgenesh2_pg.C_1810012	ENSP00000361995
estExt_fgenesh2_pg.C_1810015	ENSP00000249373
estExt_fgenesh2_pg.C_1810018	ENSP00000246041
estExt_fgenesh2_pg.C_1810021	ENSP00000428756
estExt_fgenesh2_pg.C_1810021	ENSP00000360922
estExt_fgenesh2_pg.C_1810027	ENSP00000337675
estExt_fgenesh2_pg.C_1810035	ENSP00000316674
estExt_fgenesh2_pg.C_1810041	ENSP00000359866
estExt_fgenesh2_pg.C_1810048	ENSP00000469790
estExt_fgenesh2_pg.C_1820034	ENSP00000264065
estExt_fgenesh2_pg.C_1820062	ENSP00000280700
estExt_fgenesh2_pg.C_1820063	ENSP00000222584
estExt_fgenesh2_pg.C_1820063	ENSP00000361373
estExt_fgenesh2_pg.C_1820064	ENSP00000359116
estExt_fgenesh2_pg.C_1830015	ENSP00000352925
estExt_fgenesh2_pg.C_1830033	ENSP00000310572
estExt_fgenesh2_pg.C_1830035	ENSP00000427401
estExt_fgenesh2_pg.C_1830037	ENSP00000426296
estExt_fgenesh2_pg.C_1830037	ENSP00000329403
estExt_fgenesh2_pg.C_1840002	ENSP00000253003
estExt_fgenesh2_pg.C_1840009	ENSP00000351346
estExt_fgenesh2_pg.C_1840012	ENSP00000361664
estExt_fgenesh2_pg.C_1840012	ENSP00000360069
estExt_fgenesh2_pg.C_1840033	ENSP00000419718
estExt_fgenesh2_pg.C_1840038	ENSP00000225430
estExt_fgenesh2_pg.C_1840039	ENSP00000265909
estExt_fgenesh2_pg.C_1840042	ENSP00000260128
estExt_fgenesh2_pg.C_1840043	ENSP00000330442
estExt_fgenesh2_pg.C_1840045	ENSP00000359942
estExt_fgenesh2_pg.C_1840047	ENSP00000266079
estExt_fgenesh2_pg.C_1850009	ENSP00000260731
estExt_fgenesh2_pg.C_1850015	ENSP00000393860
estExt_fgenesh2_pg.C_1850019	ENSP00000352358
estExt_fgenesh2_pg.C_1850020	ENSP00000329318
estExt_fgenesh2_pg.C_1850029	ENSP00000357858
estExt_fgenesh2_pg.C_1850031	ENSP00000362981
estExt_fgenesh2_pg.C_1850031	ENSP00000318502
estExt_fgenesh2_pg.C_1850039	ENSP00000265981
estExt_fgenesh2_pg.C_1850052	ENSP00000260723
estExt_fgenesh2_pg.C_1850065	ENSP00000298746
estExt_fgenesh2_pg.C_1850066	ENSP00000377801
estExt_fgenesh2_pg.C_1850067	ENSP00000357879
estExt_fgenesh2_pg.C_1850076	ENSP00000380794
estExt_fgenesh2_pg.C_1850078	ENSP00000290974
estExt_fgenesh2_pg.C_1850087	ENSP00000370625
estExt_fgenesh2_pg.C_1850093	ENSP00000401338
estExt_fgenesh2_pg.C_1850093	ENSP00000419712
estExt_fgenesh2_pg.C_1850097	ENSP00000280333
estExt_fgenesh2_pg.C_1850102	ENSP00000264094
estExt_fgenesh2_pg.C_1860019	ENSP00000351593
estExt_fgenesh2_pg.C_1860019	ENSP00000406485
estExt_fgenesh2_pg.C_1860024	ENSP00000378405
estExt_fgenesh2_pg.C_1860025	ENSP00000299162
estExt_fgenesh2_pg.C_1860035	ENSP00000228495
estExt_fgenesh2_pg.C_1860038	ENSP00000226230
estExt_fgenesh2_pg.C_1860042	ENSP00000233331
estExt_fgenesh2_pg.C_1860053	ENSP00000316114
estExt_fgenesh2_pg.C_1860057	ENSP00000346130
estExt_fgenesh2_pg.C_1860058	ENSP00000300591
estExt_fgenesh2_pg.C_1870006	ENSP00000300589
estExt_fgenesh2_pg.C_1870020	ENSP00000276569
estExt_fgenesh2_pg.C_1870029	ENSP00000460348
estExt_fgenesh2_pg.C_1870056	ENSP00000308597
estExt_fgenesh2_pg.C_1870057	ENSP00000267197
estExt_fgenesh2_pg.C_1870103	ENSP00000345752
estExt_fgenesh2_pg.C_1880023	ENSP00000239891
estExt_fgenesh2_pg.C_1880054	ENSP00000381045
estExt_fgenesh2_pg.C_1880057	ENSP00000281031
estExt_fgenesh2_pg.C_1880062	ENSP00000360883
estExt_fgenesh2_pg.C_1880063	ENSP00000370010
estExt_fgenesh2_pg.C_1880078	ENSP00000264499
estExt_fgenesh2_pg.C_1880086	ENSP00000396225
estExt_fgenesh2_pg.C_1880088	ENSP00000335247
estExt_fgenesh2_pg.C_1880090	ENSP00000349658
estExt_fgenesh2_pg.C_1880091	ENSP00000307297
estExt_fgenesh2_pg.C_1880091	ENSP00000284224
estExt_fgenesh2_pg.C_1880092	ENSP00000216218
estExt_fgenesh2_pg.C_1880092	ENSP00000341765
estExt_fgenesh2_pg.C_1880093	ENSP00000357624
estExt_fgenesh2_pg.C_1880098	ENSP00000346027
estExt_fgenesh2_pg.C_1880105	ENSP00000351113
estExt_fgenesh2_pg.C_1890007	ENSP00000387699
estExt_fgenesh2_pg.C_1890018	ENSP00000335651
estExt_fgenesh2_pg.C_1890020	ENSP00000376056
estExt_fgenesh2_pg.C_1890023	ENSP00000312286
estExt_fgenesh2_pg.C_1890023	ENSP00000393847
estExt_fgenesh2_pg.C_1890047	ENSP00000261024
estExt_fgenesh2_pg.C_1890048	ENSP00000222547
estExt_fgenesh2_pg.C_1890048	ENSP00000372210
estExt_fgenesh2_pg.C_1900019	ENSP00000362399
estExt_fgenesh2_pg.C_1900079	ENSP00000361668
estExt_fgenesh2_pg.C_1900092	ENSP00000355444
estExt_fgenesh2_pg.C_1910003	ENSP00000376436
estExt_fgenesh2_pg.C_1910003	ENSP00000384524
estExt_fgenesh2_pg.C_1910028	ENSP00000318085
estExt_fgenesh2_pg.C_1910035	ENSP00000436926
estExt_fgenesh2_pg.C_1910048	ENSP00000295373
estExt_fgenesh2_pg.C_1910051	ENSP00000306220
estExt_fgenesh2_pg.C_1910052	ENSP00000417464
estExt_fgenesh2_pg.C_1910053	ENSP00000356989
estExt_fgenesh2_pg.C_1910055	ENSP00000389934
estExt_fgenesh2_pg.C_1910059	ENSP00000281701
estExt_fgenesh2_pg.C_1910064	ENSP00000307853
estExt_fgenesh2_pg.C_1910072	ENSP00000384144
estExt_fgenesh2_pg.C_1910073	ENSP00000431759
estExt_fgenesh2_pg.C_1910078	ENSP00000355759
estExt_fgenesh2_pg.C_1910082	ENSP00000215739
estExt_fgenesh2_pg.C_1910082	ENSP00000308620
estExt_fgenesh2_pg.C_1910083	ENSP00000363746
estExt_fgenesh2_pg.C_1910085	ENSP00000338703
estExt_fgenesh2_pg.C_1910088	ENSP00000347169
estExt_fgenesh2_pg.C_1910094	ENSP00000351686
estExt_fgenesh2_pg.C_1910098	ENSP00000435289
estExt_fgenesh2_pg.C_1910105	ENSP00000368666
estExt_fgenesh2_pg.C_1920005	ENSP00000379616
estExt_fgenesh2_pg.C_1920055	ENSP00000357494
estExt_fgenesh2_pg.C_1930002	ENSP00000472281
estExt_fgenesh2_pg.C_1930005	ENSP00000448336
estExt_fgenesh2_pg.C_1930017	ENSP00000313811
estExt_fgenesh2_pg.C_1930025	ENSP00000363313
estExt_fgenesh2_pg.C_1930026	ENSP00000363322
estExt_fgenesh2_pg.C_1930045	ENSP00000427891
estExt_fgenesh2_pg.C_1930051	ENSP00000331849
estExt_fgenesh2_pg.C_1930052	ENSP00000299213
estExt_fgenesh2_pg.C_1930064	ENSP00000422392
estExt_fgenesh2_pg.C_1930067	ENSP00000420914
estExt_fgenesh2_pg.C_1930067	ENSP00000366645
estExt_fgenesh2_pg.C_1940012	ENSP00000357801
estExt_fgenesh2_pg.C_1940028	ENSP00000354923
estExt_fgenesh2_pg.C_1940028	ENSP00000378635
estExt_fgenesh2_pg.C_1940047	ENSP00000463100
estExt_fgenesh2_pg.C_1950019	ENSP00000471178
estExt_fgenesh2_pg.C_1950039	ENSP00000364246
estExt_fgenesh2_pg.C_1950045	ENSP00000464050
estExt_fgenesh2_pg.C_1950054	ENSP00000381630
estExt_fgenesh2_pg.C_1950093	ENSP00000291670
estExt_fgenesh2_pg.C_1950095	ENSP00000447537
estExt_fgenesh2_pg.C_1950104	ENSP00000262030
estExt_fgenesh2_pg.C_1960013	ENSP00000340330
estExt_fgenesh2_pg.C_1960021	ENSP00000332389
estExt_fgenesh2_pg.C_1960032	ENSP00000302530
estExt_fgenesh2_pg.C_1960035	ENSP00000216420
estExt_fgenesh2_pg.C_1960037	ENSP00000261973
estExt_fgenesh2_pg.C_1960046	ENSP00000393316
estExt_fgenesh2_pg.C_1960046	ENSP00000246024
estExt_fgenesh2_pg.C_1960064	ENSP00000394033
estExt_fgenesh2_pg.C_1960064	ENSP00000352527
estExt_fgenesh2_pg.C_1960069	ENSP00000355251
estExt_fgenesh2_pg.C_1960075	ENSP00000324729
estExt_fgenesh2_pg.C_1970013	ENSP00000271640
estExt_fgenesh2_pg.C_1970013	ENSP00000326477
estExt_fgenesh2_pg.C_1970016	ENSP00000227266
estExt_fgenesh2_pg.C_1970039	ENSP00000341178
estExt_fgenesh2_pg.C_1970053	ENSP00000279178
estExt_fgenesh2_pg.C_1970065	ENSP00000286692
estExt_fgenesh2_pg.C_1970065	ENSP00000320757
estExt_fgenesh2_pg.C_1970068	ENSP00000380437
estExt_fgenesh2_pg.C_1970077	ENSP00000369042
estExt_fgenesh2_pg.C_1970081	ENSP00000363064
estExt_fgenesh2_pg.C_1970091	ENSP00000377118
estExt_fgenesh2_pg.C_1970092	ENSP00000325548
estExt_fgenesh2_pg.C_1970092	ENSP00000351682
estExt_fgenesh2_pg.C_1970094	ENSP00000289228
estExt_fgenesh2_pg.C_1980004	ENSP00000358335
estExt_fgenesh2_pg.C_1980004	ENSP00000382828
estExt_fgenesh2_pg.C_1980018	ENSP00000414712
estExt_fgenesh2_pg.C_1980021	ENSP00000217372
estExt_fgenesh2_pg.C_1980024	ENSP00000368964
estExt_fgenesh2_pg.C_1980031	ENSP00000356389
estExt_fgenesh2_pg.C_1980045	ENSP00000319255
estExt_fgenesh2_pg.C_1980046	ENSP00000344071
estExt_fgenesh2_pg.C_1980050	ENSP00000376368
estExt_fgenesh2_pg.C_1980054	ENSP00000357484
estExt_fgenesh2_pg.C_1980057	ENSP00000260283
estExt_fgenesh2_pg.C_1980057	ENSP00000356033
estExt_fgenesh2_pg.C_1980064	ENSP00000469270
estExt_fgenesh2_pg.C_1980067	ENSP00000358430
estExt_fgenesh2_pg.C_1980068	ENSP00000460971
estExt_fgenesh2_pg.C_1980072	ENSP00000310465
estExt_fgenesh2_pg.C_1980078	ENSP00000253039
estExt_fgenesh2_pg.C_1980081	ENSP00000302586
estExt_fgenesh2_pg.C_1980087	ENSP00000333900
estExt_fgenesh2_pg.C_1990008	ENSP00000357150
estExt_fgenesh2_pg.C_1990018	ENSP00000362239
estExt_fgenesh2_pg.C_1990037	ENSP00000287275
estExt_fgenesh2_pg.C_2000006	ENSP00000275461
estExt_fgenesh2_pg.C_2000016	ENSP00000303434
estExt_fgenesh2_pg.C_2000016	ENSP00000431876
estExt_fgenesh2_pg.C_2000025	ENSP00000368020
estExt_fgenesh2_pg.C_2000025	ENSP00000393379
estExt_fgenesh2_pg.C_2000042	ENSP00000307831
estExt_fgenesh2_pg.C_2000044	ENSP00000369849
estExt_fgenesh2_pg.C_2000057	ENSP00000261434
estExt_fgenesh2_pg.C_2010016	ENSP00000355204
estExt_fgenesh2_pg.C_2010020	ENSP00000286234
estExt_fgenesh2_pg.C_2010030	ENSP00000337332
estExt_fgenesh2_pg.C_2010034	ENSP00000348211
estExt_fgenesh2_pg.C_2010036	ENSP00000303058
estExt_fgenesh2_pg.C_2010038	ENSP00000378807
estExt_fgenesh2_pg.C_2010038	ENSP00000475686
estExt_fgenesh2_pg.C_2010040	ENSP00000261884
estExt_fgenesh2_pg.C_2010046	ENSP00000355241
estExt_fgenesh2_pg.C_2010047	ENSP00000263897
estExt_fgenesh2_pg.C_2010053	ENSP00000397394
estExt_fgenesh2_pg.C_2010062	ENSP00000364721
estExt_fgenesh2_pg.C_2010063	ENSP00000408429
estExt_fgenesh2_pg.C_2010075	ENSP00000261600
estExt_fgenesh2_pg.C_2010076	ENSP00000456615
estExt_fgenesh2_pg.C_2010077	ENSP00000377043
estExt_fgenesh2_pg.C_2010077	ENSP00000345294
estExt_fgenesh2_pg.C_2010081	ENSP00000233121
estExt_fgenesh2_pg.C_2010086	ENSP00000299886
estExt_fgenesh2_pg.C_2010087	ENSP00000385610
estExt_fgenesh2_pg.C_2010087	ENSP00000384398
estExt_fgenesh2_pg.C_2010087	ENSP00000432845
estExt_fgenesh2_pg.C_2010088	ENSP00000256429
estExt_fgenesh2_pg.C_2010088	ENSP00000471575
estExt_fgenesh2_pg.C_2010088	ENSP00000331435
estExt_fgenesh2_pg.C_2010090	ENSP00000457703
estExt_fgenesh2_pg.C_2010091	ENSP00000357596
estExt_fgenesh2_pg.C_2010091	ENSP00000342136
estExt_fgenesh2_pg.C_2020003	ENSP00000312399
estExt_fgenesh2_pg.C_2020040	ENSP00000248935
estExt_fgenesh2_pg.C_2020041	ENSP00000409936
estExt_fgenesh2_pg.C_2020042	ENSP00000365944
estExt_fgenesh2_pg.C_2020042	ENSP00000292852
estExt_fgenesh2_pg.C_2020062	ENSP00000390260
estExt_fgenesh2_pg.C_2020069	ENSP00000380544
estExt_fgenesh2_pg.C_2030014	ENSP00000268668
estExt_fgenesh2_pg.C_2030022	ENSP00000461388
estExt_fgenesh2_pg.C_2030031	ENSP00000300714
estExt_fgenesh2_pg.C_2030042	ENSP00000307208
estExt_fgenesh2_pg.C_2030050	ENSP00000263026
estExt_fgenesh2_pg.C_2030070	ENSP00000261588
estExt_fgenesh2_pg.C_2040005	ENSP00000398971
estExt_fgenesh2_pg.C_2040012	ENSP00000399797
estExt_fgenesh2_pg.C_2040015	ENSP00000323099
estExt_fgenesh2_pg.C_2040021	ENSP00000364883
estExt_fgenesh2_pg.C_2040021	ENSP00000360577
estExt_fgenesh2_pg.C_2040031	ENSP00000315931
estExt_fgenesh2_pg.C_2040036	ENSP00000371554
estExt_fgenesh2_pg.C_2040037	ENSP00000424951
estExt_fgenesh2_pg.C_2040051	ENSP00000442600
estExt_fgenesh2_pg.C_2040058	ENSP00000242729
estExt_fgenesh2_pg.C_2040065	ENSP00000417841
estExt_fgenesh2_pg.C_2040079	ENSP00000319781
estExt_fgenesh2_pg.C_2050021	ENSP00000234396
estExt_fgenesh2_pg.C_2050033	ENSP00000295491
estExt_fgenesh2_pg.C_2050036	ENSP00000393854
estExt_fgenesh2_pg.C_2050048	ENSP00000354689
estExt_fgenesh2_pg.C_2050051	ENSP00000364938
estExt_fgenesh2_pg.C_2050053	ENSP00000298492
