ENSTGUP00000000001	SINCAM013965
ENSTGUP00000003443	SINCAM010559
ENSTGUP00000003444	SINCAM017948
ENSTGUP00000003445	SINCAM013378
ENSTGUP00000003446	SINCAM012523
ENSTGUP00000003448	SINCAM012522
ENSTGUP00000003449	SINCAM012034
ENSTGUP00000003451	SINCAM009988
ENSTGUP00000003452	SINCAM008853
ENSTGUP00000003454	SINCAM003854
ENSTGUP00000003455	SINCAM008850
ENSTGUP00000003456	SINCAM005130
ENSTGUP00000003457	SINCAM010918
ENSTGUP00000003458	SINCAM016948
ENSTGUP00000003460	SINCAM012519
ENSTGUP00000003461	SINCAM003851
ENSTGUP00000003463	SINCAM014407
ENSTGUP00000003464	SINCAM007770
ENSTGUP00000003468	SINCAM001049
ENSTGUP00000003470	SINCAM012518
ENSTGUP00000003473	SINCAM003849
ENSTGUP00000003476	SINCAM900288
ENSTGUP00000003477	SINCAM013330
ENSTGUP00000003479	SINCAM014396
ENSTGUP00000003480	SINCAM006545
ENSTGUP00000003481	SINCAM012517
ENSTGUP00000003482	SINCAM003848
ENSTGUP00000003486	SINCAM014394
ENSTGUP00000003488	SINCAM007941
ENSTGUP00000003490	SINCAM012035
ENSTGUP00000003491	SINCAM009144
ENSTGUP00000003492	SINCAM007740
ENSTGUP00000003495	SINCAM012037
ENSTGUP00000003496	SINCAM000353
ENSTGUP00000003497	SINCAM005178
ENSTGUP00000003499	SINCAM001050
ENSTGUP00000003500	SINCAM011258
ENSTGUP00000003501	SINCAM014155
ENSTGUP00000003502	SINCAM011310
ENSTGUP00000003503	SINCAM000352
ENSTGUP00000003504	SINCAM011399
ENSTGUP00000003505	SINCAM922186
ENSTGUP00000003506	SINCAM922180
ENSTGUP00000003507	SINCAM010919
ENSTGUP00000003508	SINCAM001051
ENSTGUP00000003509	SINCAM014151
ENSTGUP00000003512	SINCAM006060
ENSTGUP00000003514	SINCAM011400
ENSTGUP00000003517	SINCAM922695
ENSTGUP00000003518	SINCAM001694
ENSTGUP00000003520	SINCAM013329
ENSTGUP00000003521	SINCAM008846
ENSTGUP00000003522	SINCAM013284
ENSTGUP00000003524	SINCAM011859
ENSTGUP00000003525	SINCAM008551
ENSTGUP00000003526	SINCAM006061
ENSTGUP00000003528	SINCAM003847
ENSTGUP00000003530	SINCAM001052
ENSTGUP00000003531	SINCAM922025
ENSTGUP00000003532	SINCAM013314
ENSTGUP00000003535	SINCAM922026
ENSTGUP00000003536	SINCAM003846
ENSTGUP00000003539	SINCAM014383
ENSTGUP00000003540	SINCAM922023
ENSTGUP00000003541	SINCAM003845
ENSTGUP00000003542	SINCAM922179
ENSTGUP00000003543	SINCAM011857
ENSTGUP00000003544	SINCAM010922
ENSTGUP00000003545	SINCAM013317
ENSTGUP00000003547	SINCAM013280
ENSTGUP00000003548	SINCAM012491
ENSTGUP00000003549	SINCAM007107
ENSTGUP00000003550	SINCAM921554
ENSTGUP00000003551	SINCAM008548
ENSTGUP00000003553	SINCAM006064
ENSTGUP00000003555	SINCAM921862
ENSTGUP00000003556	SINCAM010926
ENSTGUP00000003561	SINCAM014357
ENSTGUP00000003562	SINCAM011373
ENSTGUP00000003563	SINCAM005199
ENSTGUP00000003564	SINCAM000351
ENSTGUP00000003566	SINCAM013255
ENSTGUP00000003569	SINCAM012490
ENSTGUP00000003570	SINCAM011855
ENSTGUP00000003571	SINCAM008547
ENSTGUP00000003572	SINCAM002464
ENSTGUP00000003573	SINCAM013409
ENSTGUP00000003574	SINCAM006065
ENSTGUP00000003579	SINCAM000843
ENSTGUP00000003580	SINCAM010927
ENSTGUP00000003581	SINCAM001054
ENSTGUP00000003582	SINCAM013153
ENSTGUP00000003583	SINCAM000357
ENSTGUP00000003584	SINCAM005198
ENSTGUP00000003586	SINCAM007105
ENSTGUP00000003587	SINCAM014390
ENSTGUP00000003588	SINCAM005197
ENSTGUP00000003589	SINCAM008546
ENSTGUP00000003590	SINCAM001055
ENSTGUP00000003592	SINCAM006454
ENSTGUP00000003593	SINCAM003844
ENSTGUP00000003594	SINCAM007813
ENSTGUP00000003595	SINCAM921558
ENSTGUP00000003596	SINCAM012486
ENSTGUP00000003599	SINCAM000844
ENSTGUP00000003600	SINCAM001057
ENSTGUP00000003601	SINCAM007814
ENSTGUP00000003602	SINCAM920579
ENSTGUP00000003603	SINCAM011854
ENSTGUP00000003604	SINCAM011097
ENSTGUP00000003605	SINCAM922937
ENSTGUP00000003607	SINCAM014153
ENSTGUP00000003608	SINCAM008545
ENSTGUP00000003609	SINCAM001058
ENSTGUP00000003610	SINCAM012485
ENSTGUP00000003612	SINCAM005196
ENSTGUP00000003613	SINCAM922203
ENSTGUP00000003615	SINCAM003842
ENSTGUP00000003616	SINCAM920718
ENSTGUP00000003617	SINCAM921249
ENSTGUP00000003618	SINCAM006509
ENSTGUP00000003621	SINCAM007815
ENSTGUP00000003623	SINCAM012484
ENSTGUP00000003624	SINCAM008852
ENSTGUP00000003626	SINCAM922756
ENSTGUP00000003627	SINCAM921946
ENSTGUP00000003628	SINCAM900177
ENSTGUP00000003630	SINCAM012559
ENSTGUP00000003634	SINCAM016022
ENSTGUP00000003635	SINCAM011099
ENSTGUP00000003636	SINCAM920719
ENSTGUP00000003639	SINCAM001950
ENSTGUP00000003640	SINCAM920720
ENSTGUP00000003641	SINCAM014091
ENSTGUP00000003643	SINCAM010686
ENSTGUP00000003644	SINCAM900178
ENSTGUP00000003645	SINCAM007816
ENSTGUP00000003646	SINCAM011528
ENSTGUP00000003650	SINCAM003576
ENSTGUP00000003653	SINCAM007103
ENSTGUP00000003655	SINCAM001952
ENSTGUP00000003656	SINCAM011100
ENSTGUP00000003658	SINCAM004524
ENSTGUP00000003659	SINCAM012549
ENSTGUP00000003660	SINCAM001251
ENSTGUP00000003661	SINCAM922831
ENSTGUP00000003662	SINCAM011816
ENSTGUP00000003663	SINCAM012548
ENSTGUP00000003664	SINCAM900179
ENSTGUP00000003665	SINCAM007935
ENSTGUP00000003666	SINCAM011110
ENSTGUP00000003667	SINCAM001953
ENSTGUP00000003669	SINCAM011078
ENSTGUP00000003670	SINCAM009633
ENSTGUP00000003671	SINCAM010370
ENSTGUP00000003675	SINCAM016430
ENSTGUP00000003677	SINCAM000791
ENSTGUP00000003678	SINCAM011077
ENSTGUP00000003680	SINCAM007102
ENSTGUP00000003681	SINCAM000792
ENSTGUP00000003682	SINCAM921861
ENSTGUP00000003683	SINCAM012501
ENSTGUP00000003684	SINCAM013844
ENSTGUP00000003685	SINCAM012500
ENSTGUP00000003686	SINCAM001955
ENSTGUP00000003687	SINCAM014061
ENSTGUP00000003688	SINCAM922751
ENSTGUP00000003689	SINCAM001761
ENSTGUP00000003690	SINCAM922568
ENSTGUP00000003692	SINCAM922826
ENSTGUP00000003694	SINCAM921791
ENSTGUP00000003695	SINCAM007926
ENSTGUP00000003696	SINCAM922016
ENSTGUP00000003697	SINCAM009479
ENSTGUP00000003698	SINCAM007927
ENSTGUP00000003699	SINCAM011793
ENSTGUP00000003702	SINCAM011075
ENSTGUP00000003703	SINCAM014175
ENSTGUP00000003704	SINCAM013838
ENSTGUP00000003705	SINCAM005216
ENSTGUP00000003707	SINCAM921834
ENSTGUP00000003708	SINCAM013839
ENSTGUP00000003709	SINCAM001250
ENSTGUP00000003710	SINCAM011107
ENSTGUP00000003712	SINCAM003840
ENSTGUP00000003713	SINCAM008829
ENSTGUP00000003714	SINCAM012498
ENSTGUP00000003715	SINCAM009632
ENSTGUP00000003717	SINCAM005217
ENSTGUP00000003721	SINCAM006481
ENSTGUP00000003722	SINCAM922386
ENSTGUP00000003723	SINCAM009631
ENSTGUP00000003724	SINCAM006480
ENSTGUP00000003725	SINCAM922385
ENSTGUP00000003726	SINCAM013577
ENSTGUP00000003727	SINCAM000795
ENSTGUP00000003729	SINCAM011104
ENSTGUP00000003730	SINCAM001760
ENSTGUP00000003731	SINCAM007928
ENSTGUP00000003732	SINCAM001249
ENSTGUP00000003733	SINCAM009630
ENSTGUP00000003734	SINCAM012268
ENSTGUP00000003735	SINCAM002774
ENSTGUP00000003736	SINCAM015315
ENSTGUP00000003737	SINCAM013145
ENSTGUP00000003738	SINCAM922191
ENSTGUP00000003739	SINCAM011108
ENSTGUP00000003741	SINCAM015774
ENSTGUP00000003742	SINCAM921705
ENSTGUP00000003743	SINCAM006477
ENSTGUP00000003744	SINCAM011776
ENSTGUP00000003745	SINCAM921566
ENSTGUP00000003746	SINCAM006066
ENSTGUP00000003747	SINCAM007983
ENSTGUP00000003748	SINCAM922644
ENSTGUP00000003750	SINCAM013840
ENSTGUP00000003751	SINCAM006067
ENSTGUP00000003752	SINCAM016190
ENSTGUP00000003753	SINCAM012593
ENSTGUP00000003755	SINCAM921028
ENSTGUP00000003756	SINCAM014373
ENSTGUP00000003757	SINCAM007787
ENSTGUP00000003758	SINCAM013147
ENSTGUP00000003760	SINCAM012203
ENSTGUP00000003761	SINCAM921213
ENSTGUP00000003762	SINCAM921029
ENSTGUP00000003765	SINCAM012594
ENSTGUP00000003766	SINCAM013148
ENSTGUP00000003767	SINCAM011777
ENSTGUP00000003768	SINCAM921565
ENSTGUP00000003770	SINCAM014311
ENSTGUP00000003772	SINCAM001248
ENSTGUP00000003773	SINCAM009629
ENSTGUP00000003775	SINCAM001758
ENSTGUP00000003777	SINCAM003958
ENSTGUP00000003778	SINCAM012595
ENSTGUP00000003779	SINCAM006069
ENSTGUP00000003780	SINCAM014173
ENSTGUP00000003782	SINCAM011118
ENSTGUP00000003784	SINCAM011783
ENSTGUP00000003785	SINCAM002205
ENSTGUP00000003786	SINCAM013149
ENSTGUP00000003787	SINCAM002204
ENSTGUP00000003788	SINCAM000796
ENSTGUP00000003789	SINCAM013151
ENSTGUP00000003792	SINCAM005219
ENSTGUP00000003795	SINCAM002203
ENSTGUP00000003796	SINCAM014171
ENSTGUP00000003797	SINCAM007788
ENSTGUP00000003798	SINCAM011117
ENSTGUP00000003802	SINCAM011071
ENSTGUP00000003803	SINCAM012596
ENSTGUP00000003805	SINCAM921813
ENSTGUP00000003806	SINCAM013150
ENSTGUP00000003807	SINCAM007835
ENSTGUP00000003808	SINCAM011073
ENSTGUP00000003809	SINCAM013189
ENSTGUP00000003810	SINCAM000797
ENSTGUP00000003812	SINCAM009628
ENSTGUP00000003813	SINCAM001247
ENSTGUP00000003814	SINCAM000798
ENSTGUP00000003815	SINCAM013837
ENSTGUP00000003816	SINCAM010949
ENSTGUP00000003817	SINCAM921727
ENSTGUP00000003818	SINCAM011784
ENSTGUP00000003819	SINCAM003959
ENSTGUP00000003820	SINCAM007836
ENSTGUP00000003821	SINCAM005221
ENSTGUP00000003822	SINCAM922192
ENSTGUP00000003823	SINCAM013194
ENSTGUP00000003825	SINCAM012449
ENSTGUP00000003826	SINCAM001246
ENSTGUP00000003827	SINCAM013193
ENSTGUP00000003828	SINCAM006070
ENSTGUP00000003829	SINCAM013835
ENSTGUP00000003830	SINCAM011785
ENSTGUP00000003831	SINCAM015228
ENSTGUP00000003833	SINCAM000799
ENSTGUP00000003834	SINCAM921833
ENSTGUP00000003837	SINCAM014252
ENSTGUP00000003838	SINCAM000800
ENSTGUP00000003839	SINCAM005222
ENSTGUP00000003840	SINCAM013274
ENSTGUP00000003843	SINCAM001245
ENSTGUP00000003844	SINCAM009626
ENSTGUP00000003846	SINCAM013784
ENSTGUP00000003848	SINCAM016886
ENSTGUP00000003849	SINCAM013783
ENSTGUP00000003852	SINCAM002201
ENSTGUP00000003853	SINCAM013782
ENSTGUP00000003854	SINCAM010707
ENSTGUP00000003855	SINCAM008832
ENSTGUP00000003856	SINCAM006997
ENSTGUP00000003857	SINCAM009625
ENSTGUP00000003859	SINCAM006482
ENSTGUP00000003861	SINCAM009624
ENSTGUP00000003862	SINCAM003960
ENSTGUP00000003863	SINCAM922758
ENSTGUP00000003864	SINCAM013273
ENSTGUP00000003866	SINCAM014196
ENSTGUP00000003867	SINCAM005224
ENSTGUP00000003869	SINCAM006475
ENSTGUP00000003870	SINCAM011789
ENSTGUP00000003871	SINCAM007789
ENSTGUP00000003873	SINCAM000106
ENSTGUP00000003875	SINCAM011308
ENSTGUP00000003876	SINCAM006072
ENSTGUP00000003878	SINCAM005225
ENSTGUP00000003880	SINCAM013781
ENSTGUP00000003881	SINCAM013272
ENSTGUP00000003882	SINCAM014315
ENSTGUP00000003884	SINCAM001102
ENSTGUP00000003885	SINCAM011307
ENSTGUP00000003886	SINCAM920543
ENSTGUP00000003887	SINCAM920755
ENSTGUP00000003888	SINCAM012884
ENSTGUP00000003889	SINCAM921564
ENSTGUP00000003891	SINCAM010662
ENSTGUP00000003892	SINCAM011301
ENSTGUP00000003893	SINCAM006073
ENSTGUP00000003894	SINCAM010947
ENSTGUP00000003895	SINCAM011302
ENSTGUP00000003896	SINCAM003962
ENSTGUP00000003897	SINCAM000832
ENSTGUP00000003898	SINCAM011291
ENSTGUP00000003901	SINCAM005226
ENSTGUP00000003903	SINCAM921403
ENSTGUP00000003905	SINCAM001242
ENSTGUP00000003906	SINCAM009623
ENSTGUP00000003907	SINCAM014227
ENSTGUP00000003908	SINCAM002372
ENSTGUP00000003909	SINCAM006908
ENSTGUP00000003910	SINCAM003963
ENSTGUP00000003911	SINCAM008560
ENSTGUP00000003912	SINCAM002231
ENSTGUP00000003913	SINCAM010306
ENSTGUP00000003915	SINCAM000831
ENSTGUP00000003917	SINCAM011764
ENSTGUP00000003918	SINCAM002230
ENSTGUP00000003919	SINCAM005227
ENSTGUP00000003920	SINCAM011292
ENSTGUP00000003921	SINCAM000847
ENSTGUP00000003923	SINCAM920610
ENSTGUP00000003924	SINCAM011826
ENSTGUP00000003925	SINCAM920858
ENSTGUP00000003926	SINCAM006074
ENSTGUP00000003927	SINCAM009622
ENSTGUP00000003928	SINCAM921722
ENSTGUP00000003929	SINCAM005228
ENSTGUP00000003931	SINCAM921479
ENSTGUP00000003932	SINCAM922513
ENSTGUP00000003934	SINCAM016530
ENSTGUP00000003935	SINCAM002229
ENSTGUP00000003936	SINCAM921232
ENSTGUP00000003937	SINCAM013271
ENSTGUP00000003939	SINCAM015084
ENSTGUP00000003941	SINCAM006527
ENSTGUP00000003944	SINCAM013250
ENSTGUP00000003946	SINCAM015083
ENSTGUP00000003947	SINCAM003965
ENSTGUP00000003948	SINCAM920609
ENSTGUP00000003949	SINCAM005229
ENSTGUP00000003950	SINCAM001240
ENSTGUP00000003951	SINCAM013780
ENSTGUP00000003952	SINCAM002228
ENSTGUP00000003953	SINCAM007829
ENSTGUP00000003954	SINCAM013249
ENSTGUP00000003955	SINCAM921486
ENSTGUP00000003957	SINCAM002227
ENSTGUP00000003959	SINCAM006077
ENSTGUP00000003960	SINCAM006456
ENSTGUP00000003961	SINCAM014344
ENSTGUP00000003962	SINCAM002226
ENSTGUP00000003965	SINCAM921487
ENSTGUP00000003966	SINCAM003967
ENSTGUP00000003967	SINCAM014864
ENSTGUP00000003968	SINCAM921811
ENSTGUP00000003969	SINCAM014124
ENSTGUP00000003970	SINCAM921233
ENSTGUP00000003972	SINCAM013243
ENSTGUP00000003973	SINCAM011309
ENSTGUP00000003974	SINCAM920752
ENSTGUP00000003976	SINCAM921717
ENSTGUP00000003977	SINCAM921728
ENSTGUP00000003978	SINCAM921030
ENSTGUP00000003980	SINCAM003968
ENSTGUP00000003981	SINCAM922642
ENSTGUP00000003982	SINCAM015081
ENSTGUP00000003983	SINCAM013779
ENSTGUP00000003984	SINCAM011780
ENSTGUP00000003986	SINCAM001321
ENSTGUP00000003987	SINCAM921812
ENSTGUP00000003989	SINCAM006463
ENSTGUP00000003990	SINCAM005231
ENSTGUP00000003991	SINCAM922193
ENSTGUP00000003992	SINCAM011303
ENSTGUP00000003993	SINCAM012599
ENSTGUP00000003995	SINCAM008015
ENSTGUP00000003996	SINCAM006943
ENSTGUP00000003997	SINCAM001239
ENSTGUP00000003998	SINCAM005201
ENSTGUP00000003999	SINCAM006078
ENSTGUP00000004000	SINCAM013242
ENSTGUP00000004001	SINCAM010944
ENSTGUP00000004002	SINCAM008586
ENSTGUP00000004004	SINCAM001700
ENSTGUP00000004005	SINCAM012601
ENSTGUP00000004006	SINCAM013228
ENSTGUP00000004007	SINCAM003969
ENSTGUP00000004008	SINCAM006913
ENSTGUP00000004010	SINCAM921234
ENSTGUP00000004011	SINCAM009619
ENSTGUP00000004013	SINCAM921488
ENSTGUP00000004014	SINCAM013229
ENSTGUP00000004016	SINCAM006079
ENSTGUP00000004017	SINCAM015080
ENSTGUP00000004018	SINCAM017511
ENSTGUP00000004020	SINCAM001699
ENSTGUP00000004021	SINCAM006080
ENSTGUP00000004023	SINCAM011295
ENSTGUP00000004025	SINCAM013778
ENSTGUP00000004026	SINCAM008584
ENSTGUP00000004028	SINCAM001756
ENSTGUP00000004029	SINCAM922700
ENSTGUP00000004030	SINCAM005202
ENSTGUP00000004031	SINCAM014347
ENSTGUP00000004033	SINCAM006444
ENSTGUP00000004034	SINCAM015079
ENSTGUP00000004035	SINCAM006915
ENSTGUP00000004036	SINCAM015963
ENSTGUP00000004037	SINCAM015078
ENSTGUP00000004039	SINCAM008583
ENSTGUP00000004040	SINCAM921489
ENSTGUP00000004042	SINCAM012602
ENSTGUP00000004043	SINCAM001782
ENSTGUP00000004044	SINCAM920479
ENSTGUP00000004048	SINCAM001781
ENSTGUP00000004050	SINCAM006081
ENSTGUP00000004052	SINCAM006446
ENSTGUP00000004054	SINCAM900283
ENSTGUP00000004055	SINCAM010940
ENSTGUP00000004056	SINCAM011278
ENSTGUP00000004058	SINCAM921704
ENSTGUP00000004059	SINCAM006328
ENSTGUP00000004060	SINCAM005203
ENSTGUP00000004061	SINCAM011276
ENSTGUP00000004062	SINCAM006083
ENSTGUP00000004064	SINCAM013773
ENSTGUP00000004065	SINCAM006447
ENSTGUP00000004066	SINCAM010939
ENSTGUP00000004067	SINCAM922701
ENSTGUP00000004068	SINCAM006085
ENSTGUP00000004070	SINCAM001779
ENSTGUP00000004071	SINCAM009618
ENSTGUP00000004072	SINCAM011275
ENSTGUP00000004073	SINCAM922623
ENSTGUP00000004074	SINCAM000332
ENSTGUP00000004075	SINCAM011273
ENSTGUP00000004076	SINCAM012570
ENSTGUP00000004078	SINCAM009616
ENSTGUP00000004079	SINCAM001237
ENSTGUP00000004080	SINCAM922702
ENSTGUP00000004082	SINCAM921703
ENSTGUP00000004084	SINCAM006087
ENSTGUP00000004085	SINCAM013218
ENSTGUP00000004086	SINCAM003970
ENSTGUP00000004088	SINCAM009615
ENSTGUP00000004089	SINCAM005204
ENSTGUP00000004090	SINCAM000331
ENSTGUP00000004093	SINCAM008581
ENSTGUP00000004095	SINCAM006448
ENSTGUP00000004096	SINCAM006089
ENSTGUP00000004097	SINCAM001778
ENSTGUP00000004098	SINCAM003972
ENSTGUP00000004099	SINCAM000379
ENSTGUP00000004100	SINCAM012569
ENSTGUP00000004101	SINCAM013772
ENSTGUP00000004104	SINCAM001235
ENSTGUP00000004106	SINCAM922123
ENSTGUP00000004107	SINCAM003973
ENSTGUP00000004108	SINCAM014349
ENSTGUP00000004109	SINCAM006449
ENSTGUP00000004111	SINCAM001777
ENSTGUP00000004112	SINCAM006091
ENSTGUP00000004113	SINCAM009992
ENSTGUP00000004114	SINCAM006916
ENSTGUP00000004115	SINCAM922121
ENSTGUP00000004116	SINCAM001067
ENSTGUP00000004118	SINCAM013767
ENSTGUP00000004119	SINCAM006450
ENSTGUP00000004120	SINCAM011020
ENSTGUP00000004121	SINCAM000077
ENSTGUP00000004122	SINCAM013222
ENSTGUP00000004123	SINCAM009613
ENSTGUP00000004124	SINCAM008580
ENSTGUP00000004125	SINCAM003945
ENSTGUP00000004126	SINCAM922581
ENSTGUP00000004129	SINCAM005206
ENSTGUP00000004130	SINCAM922580
ENSTGUP00000004131	SINCAM001234
ENSTGUP00000004132	SINCAM014122
ENSTGUP00000004133	SINCAM008578
ENSTGUP00000004134	SINCAM006779
ENSTGUP00000004135	SINCAM003731
ENSTGUP00000004136	SINCAM921814
ENSTGUP00000004138	SINCAM013227
ENSTGUP00000004139	SINCAM011019
ENSTGUP00000004140	SINCAM011433
ENSTGUP00000004141	SINCAM921849
ENSTGUP00000004142	SINCAM014121
ENSTGUP00000004143	SINCAM003732
ENSTGUP00000004144	SINCAM011018
ENSTGUP00000004146	SINCAM011272
ENSTGUP00000004149	SINCAM006780
ENSTGUP00000004150	SINCAM921490
ENSTGUP00000004151	SINCAM008577
ENSTGUP00000004152	SINCAM006092
ENSTGUP00000004154	SINCAM009612
ENSTGUP00000004156	SINCAM013152
ENSTGUP00000004157	SINCAM006093
ENSTGUP00000004158	SINCAM005211
ENSTGUP00000004160	SINCAM922571
ENSTGUP00000004161	SINCAM922573
ENSTGUP00000004162	SINCAM900172
ENSTGUP00000004163	SINCAM900173
ENSTGUP00000004164	SINCAM003733
ENSTGUP00000004165	SINCAM900043
ENSTGUP00000004166	SINCAM001232
ENSTGUP00000004167	SINCAM922574
ENSTGUP00000004168	SINCAM003738
ENSTGUP00000004169	SINCAM000076
ENSTGUP00000004172	SINCAM013469
ENSTGUP00000004174	SINCAM007833
ENSTGUP00000004176	SINCAM000075
ENSTGUP00000004177	SINCAM011017
ENSTGUP00000004178	SINCAM000427
ENSTGUP00000004180	SINCAM009610
ENSTGUP00000004181	SINCAM003739
ENSTGUP00000004183	SINCAM005215
ENSTGUP00000004184	SINCAM922575
ENSTGUP00000004185	SINCAM013883
ENSTGUP00000004186	SINCAM013755
ENSTGUP00000004187	SINCAM001231
ENSTGUP00000004188	SINCAM014527
ENSTGUP00000004189	SINCAM006095
ENSTGUP00000004190	SINCAM002387
ENSTGUP00000004191	SINCAM007834
ENSTGUP00000004192	SINCAM001772
ENSTGUP00000004193	SINCAM014321
ENSTGUP00000004194	SINCAM003740
ENSTGUP00000004195	SINCAM001230
ENSTGUP00000004196	SINCAM001227
ENSTGUP00000004197	SINCAM013754
ENSTGUP00000004198	SINCAM011465
ENSTGUP00000004200	SINCAM000428
ENSTGUP00000004201	SINCAM920849
ENSTGUP00000004202	SINCAM922577
ENSTGUP00000004204	SINCAM009609
ENSTGUP00000004205	SINCAM000429
ENSTGUP00000004206	SINCAM002736
ENSTGUP00000004208	SINCAM921194
ENSTGUP00000004209	SINCAM011271
ENSTGUP00000004210	SINCAM007062
ENSTGUP00000004211	SINCAM011001
ENSTGUP00000004212	SINCAM013238
ENSTGUP00000004213	SINCAM011282
ENSTGUP00000004215	SINCAM013235
ENSTGUP00000004216	SINCAM000883
ENSTGUP00000004218	SINCAM015435
ENSTGUP00000004219	SINCAM920850
ENSTGUP00000004220	SINCAM010379
ENSTGUP00000004221	SINCAM012566
ENSTGUP00000004222	SINCAM009608
ENSTGUP00000004223	SINCAM001226
ENSTGUP00000004224	SINCAM011296
ENSTGUP00000004227	SINCAM007063
ENSTGUP00000004228	SINCAM012531
ENSTGUP00000004229	SINCAM921837
ENSTGUP00000004231	SINCAM011392
ENSTGUP00000004233	SINCAM007336
ENSTGUP00000004234	SINCAM921193
ENSTGUP00000004235	SINCAM010380
ENSTGUP00000004237	SINCAM005268
ENSTGUP00000004238	SINCAM011390
ENSTGUP00000004239	SINCAM010381
ENSTGUP00000004240	SINCAM012554
ENSTGUP00000004241	SINCAM922841
ENSTGUP00000004244	SINCAM013016
ENSTGUP00000004245	SINCAM003735
ENSTGUP00000004246	SINCAM000260
ENSTGUP00000004247	SINCAM007032
ENSTGUP00000004248	SINCAM009607
ENSTGUP00000004251	SINCAM922842
ENSTGUP00000004252	SINCAM006754
ENSTGUP00000004253	SINCAM006964
ENSTGUP00000004257	SINCAM004426
ENSTGUP00000004258	SINCAM014119
ENSTGUP00000004260	SINCAM009606
ENSTGUP00000004261	SINCAM012556
ENSTGUP00000004262	SINCAM000257
ENSTGUP00000004263	SINCAM003263
ENSTGUP00000004264	SINCAM010382
ENSTGUP00000004266	SINCAM005270
ENSTGUP00000004267	SINCAM921525
ENSTGUP00000004268	SINCAM010383
ENSTGUP00000004269	SINCAM003734
ENSTGUP00000004270	SINCAM011389
ENSTGUP00000004273	SINCAM005272
ENSTGUP00000004274	SINCAM014326
ENSTGUP00000004275	SINCAM016682
ENSTGUP00000004276	SINCAM014118
ENSTGUP00000004278	SINCAM000256
ENSTGUP00000004280	SINCAM010384
ENSTGUP00000004281	SINCAM010385
ENSTGUP00000004282	SINCAM014325
ENSTGUP00000004283	SINCAM010386
ENSTGUP00000004285	SINCAM922277
ENSTGUP00000004287	SINCAM001224
ENSTGUP00000004289	SINCAM010387
ENSTGUP00000004290	SINCAM921526
ENSTGUP00000004293	SINCAM013196
ENSTGUP00000004294	SINCAM009605
ENSTGUP00000004295	SINCAM921821
ENSTGUP00000004297	SINCAM005273
ENSTGUP00000004299	SINCAM920465
ENSTGUP00000004300	SINCAM005274
ENSTGUP00000004301	SINCAM001922
ENSTGUP00000004303	SINCAM001921
ENSTGUP00000004304	SINCAM006136
ENSTGUP00000004306	SINCAM010388
ENSTGUP00000004307	SINCAM013197
ENSTGUP00000004309	SINCAM003652
ENSTGUP00000004310	SINCAM007958
ENSTGUP00000004311	SINCAM005952
ENSTGUP00000004312	SINCAM000372
ENSTGUP00000004313	SINCAM000969
ENSTGUP00000004314	SINCAM007959
ENSTGUP00000004316	SINCAM003696
ENSTGUP00000004317	SINCAM001917
ENSTGUP00000004319	SINCAM000371
ENSTGUP00000004320	SINCAM011363
ENSTGUP00000004321	SINCAM000968
ENSTGUP00000004322	SINCAM922614
ENSTGUP00000004323	SINCAM003695
ENSTGUP00000004324	SINCAM011364
ENSTGUP00000004325	SINCAM007960
ENSTGUP00000004330	SINCAM012457
ENSTGUP00000004331	SINCAM010389
ENSTGUP00000004332	SINCAM921009
ENSTGUP00000004333	SINCAM001916
ENSTGUP00000004335	SINCAM008574
ENSTGUP00000004336	SINCAM008562
ENSTGUP00000004337	SINCAM007199
ENSTGUP00000004338	SINCAM005276
ENSTGUP00000004340	SINCAM008561
ENSTGUP00000004342	SINCAM922613
ENSTGUP00000004343	SINCAM003694
ENSTGUP00000004345	SINCAM012458
ENSTGUP00000004347	SINCAM007961
ENSTGUP00000004348	SINCAM014055
ENSTGUP00000004349	SINCAM014323
ENSTGUP00000004350	SINCAM007962
ENSTGUP00000004351	SINCAM006756
ENSTGUP00000004353	SINCAM000369
ENSTGUP00000004354	SINCAM005277
ENSTGUP00000004355	SINCAM014167
ENSTGUP00000004357	SINCAM007072
ENSTGUP00000004358	SINCAM008573
ENSTGUP00000004359	SINCAM000368
ENSTGUP00000004360	SINCAM000967
ENSTGUP00000004361	SINCAM007071
ENSTGUP00000004363	SINCAM011361
ENSTGUP00000004364	SINCAM016738
ENSTGUP00000004366	SINCAM922049
ENSTGUP00000004367	SINCAM921010
ENSTGUP00000004368	SINCAM011362
ENSTGUP00000004370	SINCAM005939
ENSTGUP00000004371	SINCAM007965
ENSTGUP00000004372	SINCAM012459
ENSTGUP00000004373	SINCAM921527
ENSTGUP00000004374	SINCAM008572
ENSTGUP00000004375	SINCAM003693
ENSTGUP00000004376	SINCAM922050
ENSTGUP00000004377	SINCAM900183
ENSTGUP00000004378	SINCAM010391
ENSTGUP00000004380	SINCAM007069
ENSTGUP00000004381	SINCAM008571
ENSTGUP00000004382	SINCAM007202
ENSTGUP00000004383	SINCAM004880
ENSTGUP00000004384	SINCAM010392
ENSTGUP00000004385	SINCAM012243
ENSTGUP00000004386	SINCAM011382
ENSTGUP00000004387	SINCAM011815
ENSTGUP00000004388	SINCAM005279
ENSTGUP00000004389	SINCAM012155
ENSTGUP00000004390	SINCAM000367
ENSTGUP00000004392	SINCAM006759
ENSTGUP00000004393	SINCAM001915
ENSTGUP00000004395	SINCAM005941
ENSTGUP00000004396	SINCAM001212
