PMZ_0041611-RA	ENSLOCP00000000001
PMZ_0047754-RA	ENSLOCP00000002923
PMZ_0034610-RA	ENSLOCP00000002923
PMZ_0018243-RA	ENSLOCP00000002924
PMZ_0028696-RA	ENSLOCP00000002925
PMZ_0009881-RA	ENSLOCP00000002928
PMZ_0030761-RA	ENSLOCP00000002928
PMZ_0015161-RA	ENSLOCP00000002929
PMZ_0018430-RA	ENSLOCP00000002932
PMZ_0045637-RA	ENSLOCP00000002933
PMZ_0039145-RA	ENSLOCP00000002937
PMZ_0047326-RA	ENSLOCP00000002940
PMZ_0042737-RA	ENSLOCP00000002943
PMZ_0044082-RA	ENSLOCP00000002944
PMZ_0022854-RA	ENSLOCP00000002944
PMZ_0003604-RA	ENSLOCP00000002945
PMZ_0047170-RA	ENSLOCP00000002945
PMZ_0038430-RA	ENSLOCP00000002946
PMZ_0029039-RA	ENSLOCP00000002946
PMZ_0029903-RA	ENSLOCP00000002949
PMZ_0046058-RA	ENSLOCP00000002949
PMZ_0032529-RA	ENSLOCP00000002952
PMZ_0044362-RA	ENSLOCP00000002952
PMZ_0034778-RA	ENSLOCP00000002954
PMZ_0026955-RA	ENSLOCP00000002955
PMZ_0043501-RA	ENSLOCP00000002955
PMZ_0042747-RA	ENSLOCP00000002958
PMZ_0045852-RA	ENSLOCP00000002960
PMZ_0036171-RA	ENSLOCP00000002960
PMZ_0028697-RA	ENSLOCP00000002962
PMZ_0033707-RA	ENSLOCP00000002962
PMZ_0009743-RA	ENSLOCP00000002963
PMZ_0009968-RA	ENSLOCP00000002966
PMZ_0044316-RA	ENSLOCP00000002972
PMZ_0017691-RA	ENSLOCP00000002975
PMZ_0014977-RA	ENSLOCP00000002975
PMZ_0031372-RA	ENSLOCP00000002978
PMZ_0041358-RA	ENSLOCP00000002978
PMZ_0040703-RA	ENSLOCP00000002981
PMZ_0016022-RA	ENSLOCP00000002981
PMZ_0044754-RA	ENSLOCP00000002983
PMZ_0001415-RA	ENSLOCP00000002984
PMZ_0031336-RA	ENSLOCP00000002985
PMZ_0044042-RA	ENSLOCP00000002987
PMZ_0040201-RA	ENSLOCP00000002992
PMZ_0034122-RA	ENSLOCP00000002992
PMZ_0016737-RA	ENSLOCP00000002993
PMZ_0023457-RA	ENSLOCP00000002996
PMZ_0048696-RA	ENSLOCP00000002996
PMZ_0006894-RA	ENSLOCP00000002998
PMZ_0032016-RA	ENSLOCP00000002998
PMZ_0028681-RA	ENSLOCP00000003000
PMZ_0042574-RA	ENSLOCP00000003000
PMZ_0026302-RA	ENSLOCP00000003005
PMZ_0004655-RA	ENSLOCP00000003005
PMZ_0007965-RA	ENSLOCP00000003012
PMZ_0047665-RA	ENSLOCP00000003012
PMZ_0029469-RA	ENSLOCP00000003015
PMZ_0043648-RA	ENSLOCP00000003015
PMZ_0038439-RA	ENSLOCP00000003017
PMZ_0047845-RA	ENSLOCP00000003017
PMZ_0040797-RA	ENSLOCP00000003022
PMZ_0005747-RA	ENSLOCP00000003022
PMZ_0031874-RA	ENSLOCP00000003025
PMZ_0017489-RA	ENSLOCP00000003026
PMZ_0042672-RA	ENSLOCP00000003026
PMZ_0037760-RA	ENSLOCP00000003028
PMZ_0040007-RA	ENSLOCP00000003029
PMZ_0009376-RA	ENSLOCP00000003035
PMZ_0043897-RA	ENSLOCP00000003036
PMZ_0009669-RA	ENSLOCP00000003038
PMZ_0018899-RA	ENSLOCP00000003047
PMZ_0045382-RA	ENSLOCP00000003048
PMZ_0042416-RA	ENSLOCP00000003049
PMZ_0045175-RA	ENSLOCP00000003053
PMZ_0048965-RA	ENSLOCP00000003053
PMZ_0007964-RA	ENSLOCP00000003054
PMZ_0033563-RA	ENSLOCP00000003056
PMZ_0044525-RA	ENSLOCP00000003057
PMZ_0046639-RA	ENSLOCP00000003057
PMZ_0040202-RA	ENSLOCP00000003058
PMZ_0037051-RA	ENSLOCP00000003058
PMZ_0012880-RA	ENSLOCP00000003059
PMZ_0013869-RA	ENSLOCP00000003059
PMZ_0033412-RA	ENSLOCP00000003061
PMZ_0045441-RA	ENSLOCP00000003061
PMZ_0010846-RA	ENSLOCP00000003062
PMZ_0042765-RA	ENSLOCP00000003062
PMZ_0032444-RA	ENSLOCP00000003065
PMZ_0006233-RA	ENSLOCP00000003074
PMZ_0027868-RA	ENSLOCP00000003074
PMZ_0034593-RA	ENSLOCP00000003075
PMZ_0021490-RA	ENSLOCP00000003076
PMZ_0000492-RA	ENSLOCP00000003077
PMZ_0043149-RA	ENSLOCP00000003077
PMZ_0044340-RA	ENSLOCP00000003078
PMZ_0032249-RA	ENSLOCP00000003081
PMZ_0032478-RA	ENSLOCP00000003083
PMZ_0041157-RA	ENSLOCP00000003085
PMZ_0043085-RA	ENSLOCP00000003086
PMZ_0029184-RA	ENSLOCP00000003091
PMZ_0032000-RA	ENSLOCP00000003094
PMZ_0048222-RA	ENSLOCP00000003094
PMZ_0045506-RA	ENSLOCP00000003096
PMZ_0043895-RA	ENSLOCP00000003099
PMZ_0043887-RA	ENSLOCP00000003099
PMZ_0048923-RA	ENSLOCP00000003100
PMZ_0021665-RA	ENSLOCP00000003101
PMZ_0012881-RA	ENSLOCP00000003101
PMZ_0026305-RA	ENSLOCP00000003102
PMZ_0019623-RA	ENSLOCP00000003102
PMZ_0012747-RA	ENSLOCP00000003104
PMZ_0027232-RA	ENSLOCP00000003106
PMZ_0014256-RA	ENSLOCP00000003106
PMZ_0031235-RA	ENSLOCP00000003108
PMZ_0029164-RA	ENSLOCP00000003109
PMZ_0028924-RA	ENSLOCP00000003109
PMZ_0032887-RA	ENSLOCP00000003110
PMZ_0036452-RA	ENSLOCP00000003111
PMZ_0043886-RA	ENSLOCP00000003114
PMZ_0041190-RA	ENSLOCP00000003114
PMZ_0045831-RA	ENSLOCP00000003116
PMZ_0027433-RA	ENSLOCP00000003120
PMZ_0048845-RA	ENSLOCP00000003122
PMZ_0036288-RA	ENSLOCP00000003123
PMZ_0029797-RA	ENSLOCP00000003123
PMZ_0041451-RA	ENSLOCP00000003124
PMZ_0029774-RA	ENSLOCP00000003125
PMZ_0022819-RA	ENSLOCP00000003129
PMZ_0014496-RA	ENSLOCP00000003129
PMZ_0039156-RA	ENSLOCP00000003131
PMZ_0047671-RA	ENSLOCP00000003131
PMZ_0017771-RA	ENSLOCP00000003132
PMZ_0045306-RA	ENSLOCP00000003133
PMZ_0034970-RA	ENSLOCP00000003133
PMZ_0012538-RA	ENSLOCP00000003135
PMZ_0032821-RA	ENSLOCP00000003135
PMZ_0037029-RA	ENSLOCP00000003138
PMZ_0048437-RA	ENSLOCP00000003138
PMZ_0016217-RA	ENSLOCP00000003140
PMZ_0041245-RA	ENSLOCP00000003144
PMZ_0033976-RA	ENSLOCP00000003144
PMZ_0044583-RA	ENSLOCP00000003146
PMZ_0046979-RA	ENSLOCP00000003146
PMZ_0026555-RA	ENSLOCP00000003148
PMZ_0041806-RA	ENSLOCP00000003148
PMZ_0030063-RA	ENSLOCP00000003149
PMZ_0002725-RA	ENSLOCP00000003151
PMZ_0030754-RA	ENSLOCP00000003152
PMZ_0045704-RA	ENSLOCP00000003154
PMZ_0045632-RA	ENSLOCP00000003155
PMZ_0029189-RA	ENSLOCP00000003156
PMZ_0027690-RA	ENSLOCP00000003156
PMZ_0027879-RA	ENSLOCP00000003157
PMZ_0023311-RA	ENSLOCP00000003157
PMZ_0031351-RA	ENSLOCP00000003163
PMZ_0003977-RA	ENSLOCP00000003164
PMZ_0000185-RA	ENSLOCP00000003166
PMZ_0040346-RA	ENSLOCP00000003166
PMZ_0035664-RA	ENSLOCP00000003168
PMZ_0035392-RA	ENSLOCP00000003168
PMZ_0037681-RA	ENSLOCP00000003172
PMZ_0029854-RA	ENSLOCP00000003174
PMZ_0046198-RA	ENSLOCP00000003174
PMZ_0043068-RA	ENSLOCP00000003176
PMZ_0021019-RA	ENSLOCP00000003176
PMZ_0003584-RA	ENSLOCP00000003183
PMZ_0001861-RA	ENSLOCP00000003183
PMZ_0044700-RA	ENSLOCP00000003184
PMZ_0044701-RA	ENSLOCP00000003184
PMZ_0043881-RA	ENSLOCP00000003185
PMZ_0027662-RA	ENSLOCP00000003187
PMZ_0027472-RA	ENSLOCP00000003187
PMZ_0002234-RA	ENSLOCP00000003189
PMZ_0047541-RA	ENSLOCP00000003189
PMZ_0012749-RA	ENSLOCP00000003190
PMZ_0046805-RA	ENSLOCP00000003190
PMZ_0031827-RA	ENSLOCP00000003192
PMZ_0041595-RA	ENSLOCP00000003195
PMZ_0012946-RA	ENSLOCP00000003196
PMZ_0030924-RA	ENSLOCP00000003196
PMZ_0042216-RA	ENSLOCP00000003197
PMZ_0009950-RA	ENSLOCP00000003199
PMZ_0027511-RA	ENSLOCP00000003200
PMZ_0043833-RA	ENSLOCP00000003200
PMZ_0031409-RA	ENSLOCP00000003202
PMZ_0044588-RA	ENSLOCP00000003202
PMZ_0015026-RA	ENSLOCP00000003204
PMZ_0001855-RA	ENSLOCP00000003204
PMZ_0035056-RA	ENSLOCP00000003205
PMZ_0038263-RA	ENSLOCP00000003214
PMZ_0040686-RA	ENSLOCP00000003216
PMZ_0046865-RA	ENSLOCP00000003216
PMZ_0044355-RA	ENSLOCP00000003217
PMZ_0044354-RA	ENSLOCP00000003217
PMZ_0044616-RA	ENSLOCP00000003218
PMZ_0034565-RA	ENSLOCP00000003218
PMZ_0044320-RA	ENSLOCP00000003220
PMZ_0001450-RA	ENSLOCP00000003224
PMZ_0032823-RA	ENSLOCP00000003229
PMZ_0034446-RA	ENSLOCP00000003229
PMZ_0033547-RA	ENSLOCP00000003232
PMZ_0044944-RA	ENSLOCP00000003232
PMZ_0034735-RA	ENSLOCP00000003233
PMZ_0044226-RA	ENSLOCP00000003234
PMZ_0044731-RA	ENSLOCP00000003234
PMZ_0009583-RA	ENSLOCP00000003242
PMZ_0029504-RA	ENSLOCP00000003242
PMZ_0034959-RA	ENSLOCP00000003244
PMZ_0031484-RA	ENSLOCP00000003245
PMZ_0029183-RA	ENSLOCP00000003245
PMZ_0041973-RA	ENSLOCP00000003247
PMZ_0041972-RA	ENSLOCP00000003247
PMZ_0004784-RA	ENSLOCP00000003248
PMZ_0033832-RA	ENSLOCP00000003249
PMZ_0030289-RA	ENSLOCP00000003250
PMZ_0044609-RA	ENSLOCP00000003251
PMZ_0026265-RA	ENSLOCP00000003251
PMZ_0021455-RA	ENSLOCP00000003252
PMZ_0028705-RA	ENSLOCP00000003253
PMZ_0022807-RA	ENSLOCP00000003253
PMZ_0037245-RA	ENSLOCP00000003255
PMZ_0014926-RA	ENSLOCP00000003256
PMZ_0048568-RA	ENSLOCP00000003257
PMZ_0037714-RA	ENSLOCP00000003259
PMZ_0042237-RA	ENSLOCP00000003260
PMZ_0044086-RA	ENSLOCP00000003260
PMZ_0031086-RA	ENSLOCP00000003261
PMZ_0028942-RA	ENSLOCP00000003263
PMZ_0043540-RA	ENSLOCP00000003264
PMZ_0034349-RA	ENSLOCP00000003264
PMZ_0008240-RA	ENSLOCP00000003265
PMZ_0014816-RA	ENSLOCP00000003266
PMZ_0007521-RA	ENSLOCP00000003268
PMZ_0041517-RA	ENSLOCP00000003268
PMZ_0015176-RA	ENSLOCP00000003270
PMZ_0033028-RA	ENSLOCP00000003273
PMZ_0032049-RA	ENSLOCP00000003274
PMZ_0030921-RA	ENSLOCP00000003274
PMZ_0023466-RA	ENSLOCP00000003276
PMZ_0007438-RA	ENSLOCP00000003279
PMZ_0032728-RA	ENSLOCP00000003280
PMZ_0030294-RA	ENSLOCP00000003282
PMZ_0040951-RA	ENSLOCP00000003282
PMZ_0018414-RA	ENSLOCP00000003283
PMZ_0047189-RA	ENSLOCP00000003284
PMZ_0047984-RA	ENSLOCP00000003284
PMZ_0042319-RA	ENSLOCP00000003285
PMZ_0038461-RA	ENSLOCP00000003287
PMZ_0046158-RA	ENSLOCP00000003290
PMZ_0028198-RA	ENSLOCP00000003291
PMZ_0043257-RA	ENSLOCP00000003291
PMZ_0033029-RA	ENSLOCP00000003292
PMZ_0010592-RA	ENSLOCP00000003296
PMZ_0026434-RA	ENSLOCP00000003297
PMZ_0030162-RA	ENSLOCP00000003297
PMZ_0028960-RA	ENSLOCP00000003300
PMZ_0044608-RA	ENSLOCP00000003300
PMZ_0046619-RA	ENSLOCP00000003302
PMZ_0018997-RA	ENSLOCP00000003302
PMZ_0002443-RA	ENSLOCP00000003303
PMZ_0046054-RA	ENSLOCP00000003305
PMZ_0041813-RA	ENSLOCP00000003309
PMZ_0028000-RA	ENSLOCP00000003311
PMZ_0040948-RA	ENSLOCP00000003313
PMZ_0047568-RA	ENSLOCP00000003313
PMZ_0017916-RA	ENSLOCP00000003314
PMZ_0048005-RA	ENSLOCP00000003314
PMZ_0040818-RA	ENSLOCP00000003317
PMZ_0043838-RA	ENSLOCP00000003320
PMZ_0033276-RA	ENSLOCP00000003320
PMZ_0014233-RA	ENSLOCP00000003323
PMZ_0032256-RA	ENSLOCP00000003325
PMZ_0048468-RA	ENSLOCP00000003325
PMZ_0040950-RA	ENSLOCP00000003328
PMZ_0040949-RA	ENSLOCP00000003328
PMZ_0038685-RA	ENSLOCP00000003329
PMZ_0012231-RA	ENSLOCP00000003330
PMZ_0045759-RA	ENSLOCP00000003331
PMZ_0046056-RA	ENSLOCP00000003331
PMZ_0040838-RA	ENSLOCP00000003333
PMZ_0039144-RA	ENSLOCP00000003335
PMZ_0038718-RA	ENSLOCP00000003335
PMZ_0036210-RA	ENSLOCP00000003336
PMZ_0033275-RA	ENSLOCP00000003337
PMZ_0027373-RA	ENSLOCP00000003338
PMZ_0032567-RA	ENSLOCP00000003340
PMZ_0020796-RA	ENSLOCP00000003341
PMZ_0040936-RA	ENSLOCP00000003343
PMZ_0029042-RA	ENSLOCP00000003345
PMZ_0044783-RA	ENSLOCP00000003345
PMZ_0041636-RA	ENSLOCP00000003346
PMZ_0010972-RA	ENSLOCP00000003346
PMZ_0018154-RA	ENSLOCP00000003347
PMZ_0045705-RA	ENSLOCP00000003347
PMZ_0018059-RA	ENSLOCP00000003354
PMZ_0042302-RA	ENSLOCP00000003355
PMZ_0046636-RA	ENSLOCP00000003355
PMZ_0045517-RA	ENSLOCP00000003356
PMZ_0043750-RA	ENSLOCP00000003359
PMZ_0032095-RA	ENSLOCP00000003359
PMZ_0018370-RA	ENSLOCP00000003361
PMZ_0004533-RA	ENSLOCP00000003362
PMZ_0028183-RA	ENSLOCP00000003366
PMZ_0040396-RA	ENSLOCP00000003366
PMZ_0045383-RA	ENSLOCP00000003369
PMZ_0045384-RA	ENSLOCP00000003369
PMZ_0042419-RA	ENSLOCP00000003370
PMZ_0035380-RA	ENSLOCP00000003370
PMZ_0041258-RA	ENSLOCP00000003371
PMZ_0037173-RA	ENSLOCP00000003372
PMZ_0037565-RA	ENSLOCP00000003372
PMZ_0018998-RA	ENSLOCP00000003373
PMZ_0044066-RA	ENSLOCP00000003376
PMZ_0047594-RA	ENSLOCP00000003376
PMZ_0030875-RA	ENSLOCP00000003377
PMZ_0014196-RA	ENSLOCP00000003378
PMZ_0011413-RA	ENSLOCP00000003379
PMZ_0033220-RA	ENSLOCP00000003379
PMZ_0041635-RA	ENSLOCP00000003381
PMZ_0040611-RA	ENSLOCP00000003385
PMZ_0029075-RA	ENSLOCP00000003385
PMZ_0043342-RA	ENSLOCP00000003386
PMZ_0001660-RA	ENSLOCP00000003388
PMZ_0038723-RA	ENSLOCP00000003391
PMZ_0036150-RA	ENSLOCP00000003395
PMZ_0041016-RA	ENSLOCP00000003404
PMZ_0004413-RA	ENSLOCP00000003405
PMZ_0020926-RA	ENSLOCP00000003405
PMZ_0043467-RA	ENSLOCP00000003407
PMZ_0046337-RA	ENSLOCP00000003408
PMZ_0045579-RA	ENSLOCP00000003409
PMZ_0038235-RA	ENSLOCP00000003410
PMZ_0029850-RA	ENSLOCP00000003413
PMZ_0047391-RA	ENSLOCP00000003415
PMZ_0037831-RA	ENSLOCP00000003419
PMZ_0046191-RA	ENSLOCP00000003421
PMZ_0013357-RA	ENSLOCP00000003422
PMZ_0009246-RA	ENSLOCP00000003423
PMZ_0048956-RA	ENSLOCP00000003424
PMZ_0046256-RA	ENSLOCP00000003425
PMZ_0046255-RA	ENSLOCP00000003425
PMZ_0041655-RA	ENSLOCP00000003428
PMZ_0019752-RA	ENSLOCP00000003428
PMZ_0043843-RA	ENSLOCP00000003430
PMZ_0042229-RA	ENSLOCP00000003436
PMZ_0030056-RA	ENSLOCP00000003441
PMZ_0031398-RA	ENSLOCP00000003441
PMZ_0027901-RA	ENSLOCP00000003443
PMZ_0028907-RA	ENSLOCP00000003444
PMZ_0043800-RA	ENSLOCP00000003444
PMZ_0043091-RA	ENSLOCP00000003445
PMZ_0032562-RA	ENSLOCP00000003445
PMZ_0043934-RA	ENSLOCP00000003446
PMZ_0044889-RA	ENSLOCP00000003448
PMZ_0044567-RA	ENSLOCP00000003450
PMZ_0043465-RA	ENSLOCP00000003458
PMZ_0043466-RA	ENSLOCP00000003458
PMZ_0028838-RA	ENSLOCP00000003460
PMZ_0018253-RA	ENSLOCP00000003460
PMZ_0044900-RA	ENSLOCP00000003468
PMZ_0041894-RA	ENSLOCP00000003469
PMZ_0012126-RA	ENSLOCP00000003469
PMZ_0035689-RA	ENSLOCP00000003472
PMZ_0026981-RA	ENSLOCP00000003473
PMZ_0040814-RA	ENSLOCP00000003475
PMZ_0042841-RA	ENSLOCP00000003477
PMZ_0001836-RA	ENSLOCP00000003479
PMZ_0006842-RA	ENSLOCP00000003479
PMZ_0006020-RA	ENSLOCP00000003480
PMZ_0043377-RA	ENSLOCP00000003480
PMZ_0030287-RA	ENSLOCP00000003481
PMZ_0041626-RA	ENSLOCP00000003481
PMZ_0041034-RA	ENSLOCP00000003482
PMZ_0022093-RA	ENSLOCP00000003484
PMZ_0044334-RA	ENSLOCP00000003484
PMZ_0047963-RA	ENSLOCP00000003486
PMZ_0030707-RA	ENSLOCP00000003488
PMZ_0011247-RA	ENSLOCP00000003489
PMZ_0018600-RA	ENSLOCP00000003491
PMZ_0017716-RA	ENSLOCP00000003491
PMZ_0044714-RA	ENSLOCP00000003492
PMZ_0046655-RA	ENSLOCP00000003493
PMZ_0040182-RA	ENSLOCP00000003494
PMZ_0032436-RA	ENSLOCP00000003494
PMZ_0001743-RA	ENSLOCP00000003495
PMZ_0028216-RA	ENSLOCP00000003495
PMZ_0034689-RA	ENSLOCP00000003496
PMZ_0048361-RA	ENSLOCP00000003496
PMZ_0030804-RA	ENSLOCP00000003497
PMZ_0046223-RA	ENSLOCP00000003498
PMZ_0045104-RA	ENSLOCP00000003502
PMZ_0021710-RA	ENSLOCP00000003502
PMZ_0037286-RA	ENSLOCP00000003503
PMZ_0015678-RA	ENSLOCP00000003503
PMZ_0027347-RA	ENSLOCP00000003504
PMZ_0015973-RA	ENSLOCP00000003504
PMZ_0006843-RA	ENSLOCP00000003505
PMZ_0016175-RA	ENSLOCP00000003505
PMZ_0044611-RA	ENSLOCP00000003509
PMZ_0044335-RA	ENSLOCP00000003510
PMZ_0009517-RA	ENSLOCP00000003511
PMZ_0017033-RA	ENSLOCP00000003512
PMZ_0040912-RA	ENSLOCP00000003514
PMZ_0039049-RA	ENSLOCP00000003514
PMZ_0020414-RA	ENSLOCP00000003517
PMZ_0010907-RA	ENSLOCP00000003518
PMZ_0015515-RA	ENSLOCP00000003518
PMZ_0029676-RA	ENSLOCP00000003521
PMZ_0046669-RA	ENSLOCP00000003524
PMZ_0006018-RA	ENSLOCP00000003526
PMZ_0001128-RA	ENSLOCP00000003526
PMZ_0033065-RA	ENSLOCP00000003536
PMZ_0015271-RA	ENSLOCP00000003536
PMZ_0046217-RA	ENSLOCP00000003537
PMZ_0047453-RA	ENSLOCP00000003540
PMZ_0048053-RA	ENSLOCP00000003540
PMZ_0031882-RA	ENSLOCP00000003544
PMZ_0018334-RA	ENSLOCP00000003546
PMZ_0027531-RA	ENSLOCP00000003548
PMZ_0018727-RA	ENSLOCP00000003549
PMZ_0032093-RA	ENSLOCP00000003549
PMZ_0026601-RA	ENSLOCP00000003556
PMZ_0047269-RA	ENSLOCP00000003556
PMZ_0030826-RA	ENSLOCP00000003558
PMZ_0030708-RA	ENSLOCP00000003559
PMZ_0012293-RA	ENSLOCP00000003562
PMZ_0046027-RA	ENSLOCP00000003565
PMZ_0047700-RA	ENSLOCP00000003565
PMZ_0045189-RA	ENSLOCP00000003566
PMZ_0011007-RA	ENSLOCP00000003566
PMZ_0046137-RA	ENSLOCP00000003567
PMZ_0033041-RA	ENSLOCP00000003568
PMZ_0047842-RA	ENSLOCP00000003568
PMZ_0037757-RA	ENSLOCP00000003574
PMZ_0043497-RA	ENSLOCP00000003574
PMZ_0027157-RA	ENSLOCP00000003576
PMZ_0032105-RA	ENSLOCP00000003576
PMZ_0012767-RA	ENSLOCP00000003577
PMZ_0012764-RA	ENSLOCP00000003577
PMZ_0030610-RA	ENSLOCP00000003578
PMZ_0013966-RA	ENSLOCP00000003578
PMZ_0047386-RA	ENSLOCP00000003580
PMZ_0014144-RA	ENSLOCP00000003582
PMZ_0034030-RA	ENSLOCP00000003582
PMZ_0041674-RA	ENSLOCP00000003593
PMZ_0043233-RA	ENSLOCP00000003595
PMZ_0043234-RA	ENSLOCP00000003595
PMZ_0042274-RA	ENSLOCP00000003596
PMZ_0048241-RA	ENSLOCP00000003598
PMZ_0034977-RA	ENSLOCP00000003599
PMZ_0011568-RA	ENSLOCP00000003600
PMZ_0045276-RA	ENSLOCP00000003604
PMZ_0042335-RA	ENSLOCP00000003605
PMZ_0040056-RA	ENSLOCP00000003605
PMZ_0026264-RA	ENSLOCP00000003606
PMZ_0045934-RA	ENSLOCP00000003606
PMZ_0035244-RA	ENSLOCP00000003607
PMZ_0048133-RA	ENSLOCP00000003608
PMZ_0046629-RA	ENSLOCP00000003608
PMZ_0031488-RA	ENSLOCP00000003612
PMZ_0044490-RA	ENSLOCP00000003615
PMZ_0044489-RA	ENSLOCP00000003615
PMZ_0007890-RA	ENSLOCP00000003617
PMZ_0048601-RA	ENSLOCP00000003621
PMZ_0035615-RA	ENSLOCP00000003622
PMZ_0016312-RA	ENSLOCP00000003623
PMZ_0011019-RA	ENSLOCP00000003623
PMZ_0028428-RA	ENSLOCP00000003624
PMZ_0005873-RA	ENSLOCP00000003624
PMZ_0041515-RA	ENSLOCP00000003631
PMZ_0031684-RA	ENSLOCP00000003631
PMZ_0021351-RA	ENSLOCP00000003632
PMZ_0040060-RA	ENSLOCP00000003635
PMZ_0034247-RA	ENSLOCP00000003638
PMZ_0043496-RA	ENSLOCP00000003639
PMZ_0045508-RA	ENSLOCP00000003640
PMZ_0040502-RA	ENSLOCP00000003640
PMZ_0036654-RA	ENSLOCP00000003641
PMZ_0044336-RA	ENSLOCP00000003642
PMZ_0012561-RA	ENSLOCP00000003644
PMZ_0043822-RA	ENSLOCP00000003647
PMZ_0042057-RA	ENSLOCP00000003647
PMZ_0027137-RA	ENSLOCP00000003651
PMZ_0033474-RA	ENSLOCP00000003651
PMZ_0042679-RA	ENSLOCP00000003652
PMZ_0035568-RA	ENSLOCP00000003652
PMZ_0046049-RA	ENSLOCP00000003656
PMZ_0046050-RA	ENSLOCP00000003656
PMZ_0011125-RA	ENSLOCP00000003657
PMZ_0045602-RA	ENSLOCP00000003657
PMZ_0040903-RA	ENSLOCP00000003658
PMZ_0047202-RA	ENSLOCP00000003659
PMZ_0027536-RA	ENSLOCP00000003661
PMZ_0027444-RA	ENSLOCP00000003661
PMZ_0046265-RA	ENSLOCP00000003668
PMZ_0008443-RA	ENSLOCP00000003669
PMZ_0045549-RA	ENSLOCP00000003673
PMZ_0036374-RA	ENSLOCP00000003674
PMZ_0038340-RA	ENSLOCP00000003674
PMZ_0035695-RA	ENSLOCP00000003675
PMZ_0030836-RA	ENSLOCP00000003675
PMZ_0022075-RA	ENSLOCP00000003676
PMZ_0031251-RA	ENSLOCP00000003676
PMZ_0002516-RA	ENSLOCP00000003678
PMZ_0044563-RA	ENSLOCP00000003681
PMZ_0041370-RA	ENSLOCP00000003684
PMZ_0006324-RA	ENSLOCP00000003686
PMZ_0000237-RA	ENSLOCP00000003686
PMZ_0045507-RA	ENSLOCP00000003688
PMZ_0032212-RA	ENSLOCP00000003695
PMZ_0003263-RA	ENSLOCP00000003696
PMZ_0045849-RA	ENSLOCP00000003699
PMZ_0039326-RA	ENSLOCP00000003699
PMZ_0034923-RA	ENSLOCP00000003704
PMZ_0045491-RA	ENSLOCP00000003706
PMZ_0006166-RA	ENSLOCP00000003709
PMZ_0040271-RA	ENSLOCP00000003709
PMZ_0003546-RA	ENSLOCP00000003711
PMZ_0030700-RA	ENSLOCP00000003711
PMZ_0036420-RA	ENSLOCP00000003712
PMZ_0043930-RA	ENSLOCP00000003715
PMZ_0046698-RA	ENSLOCP00000003715
PMZ_0010003-RA	ENSLOCP00000003717
PMZ_0045716-RA	ENSLOCP00000003718
PMZ_0043894-RA	ENSLOCP00000003719
PMZ_0017179-RA	ENSLOCP00000003723
PMZ_0042463-RA	ENSLOCP00000003724
PMZ_0000231-RA	ENSLOCP00000003727
PMZ_0041071-RA	ENSLOCP00000003727
PMZ_0036005-RA	ENSLOCP00000003728
PMZ_0042748-RA	ENSLOCP00000003728
PMZ_0045912-RA	ENSLOCP00000003732
PMZ_0033214-RA	ENSLOCP00000003733
PMZ_0046996-RA	ENSLOCP00000003733
PMZ_0030952-RA	ENSLOCP00000003736
PMZ_0009509-RA	ENSLOCP00000003736
PMZ_0011244-RA	ENSLOCP00000003737
PMZ_0044938-RA	ENSLOCP00000003739
PMZ_0043893-RA	ENSLOCP00000003741
PMZ_0031380-RA	ENSLOCP00000003744
PMZ_0032090-RA	ENSLOCP00000003749
PMZ_0040568-RA	ENSLOCP00000003751
PMZ_0040569-RA	ENSLOCP00000003751
PMZ_0047227-RA	ENSLOCP00000003754
PMZ_0039341-RA	ENSLOCP00000003755
PMZ_0037021-RA	ENSLOCP00000003758
PMZ_0033405-RA	ENSLOCP00000003759
PMZ_0043349-RA	ENSLOCP00000003759
PMZ_0041255-RA	ENSLOCP00000003760
PMZ_0041040-RA	ENSLOCP00000003760
PMZ_0041555-RA	ENSLOCP00000003761
PMZ_0045914-RA	ENSLOCP00000003762
PMZ_0027374-RA	ENSLOCP00000003763
PMZ_0009548-RA	ENSLOCP00000003765
PMZ_0012777-RA	ENSLOCP00000003768
PMZ_0029884-RA	ENSLOCP00000003768
PMZ_0021584-RA	ENSLOCP00000003769
PMZ_0040572-RA	ENSLOCP00000003769
PMZ_0040680-RA	ENSLOCP00000003770
PMZ_0030393-RA	ENSLOCP00000003770
PMZ_0042204-RA	ENSLOCP00000003771
PMZ_0029040-RA	ENSLOCP00000003772
PMZ_0041176-RA	ENSLOCP00000003774
PMZ_0029415-RA	ENSLOCP00000003782
PMZ_0046691-RA	ENSLOCP00000003784
PMZ_0004448-RA	ENSLOCP00000003785
PMZ_0007588-RA	ENSLOCP00000003790
PMZ_0042357-RA	ENSLOCP00000003792
PMZ_0043851-RA	ENSLOCP00000003793
PMZ_0032795-RA	ENSLOCP00000003794
PMZ_0016040-RA	ENSLOCP00000003797
PMZ_0020503-RA	ENSLOCP00000003801
PMZ_0036903-RA	ENSLOCP00000003801
PMZ_0041260-RA	ENSLOCP00000003804
PMZ_0041259-RA	ENSLOCP00000003804
PMZ_0045640-RA	ENSLOCP00000003805
PMZ_0028541-RA	ENSLOCP00000003806
PMZ_0048718-RA	ENSLOCP00000003806
PMZ_0037241-RA	ENSLOCP00000003807
PMZ_0037924-RA	ENSLOCP00000003808
PMZ_0041751-RA	ENSLOCP00000003809
PMZ_0040342-RA	ENSLOCP00000003810
