PMZ_0000016-RA	SINLEJ014510
PMZ_0023470-RA	SINLEJ016532
PMZ_0023479-RA	SINLEJ010487
PMZ_0023490-RA	SINLEJ003938
PMZ_0023494-RA	SINLEJ011536
PMZ_0023526-RA	SINLEJ005419
PMZ_0023528-RA	SINLEJ011190
PMZ_0023536-RA	SINLEJ008769
PMZ_0023547-RA	SINLEJ008144
PMZ_0023557-RA	SINLEJ000918
PMZ_0023561-RA	SINLEJ003705
PMZ_0023629-RA	SINLEJ013041
PMZ_0023695-RA	SINLEJ014097
PMZ_0023761-RA	SINLEJ006292
PMZ_0023796-RA	SINLEJ015866
PMZ_0023813-RA	SINLEJ016135
PMZ_0023818-RA	SINLEJ017390
PMZ_0023824-RA	SINLEJ018843
PMZ_0023890-RA	SINLEJ006254
PMZ_0023928-RA	SINLEJ004500
PMZ_0023944-RA	SINLEJ018363
PMZ_0023961-RA	SINLEJ019247
PMZ_0023989-RA	SINLEJ010976
PMZ_0023993-RA	SINLEJ014094
PMZ_0023999-RA	SINLEJ017758
PMZ_0024025-RA	SINLEJ006145
PMZ_0024107-RA	SINLEJ006804
PMZ_0024111-RA	SINLEJ010802
PMZ_0024112-RA	SINLEJ014288
PMZ_0024120-RA	SINLEJ003647
PMZ_0025005-RA	SINLEJ019144
PMZ_0025008-RA	SINLEJ018786
PMZ_0025009-RA	SINLEJ018196
PMZ_0025021-RA	SINLEJ007064
PMZ_0026008-RA	SINLEJ013313
PMZ_0026016-RA	SINLEJ002683
PMZ_0026017-RA	SINLEJ008373
PMZ_0026019-RA	SINLEJ015785
PMZ_0026020-RA	SINLEJ015792
PMZ_0026021-RA	SINLEJ015798
PMZ_0026023-RA	SINLEJ015809
PMZ_0026024-RA	SINLEJ015812
PMZ_0026031-RA	SINLEJ006065
PMZ_0026032-RA	SINLEJ006211
PMZ_0026033-RA	SINLEJ006213
PMZ_0026034-RA	SINLEJ006054
PMZ_0026040-RA	SINLEJ016248
PMZ_0026041-RA	SINLEJ016245
PMZ_0026043-RA	SINLEJ004411
PMZ_0026050-RA	SINLEJ004403
PMZ_0026058-RA	SINLEJ017835
PMZ_0026060-RA	SINLEJ009149
PMZ_0026061-RA	SINLEJ004983
PMZ_0026062-RA	SINLEJ004853
PMZ_0026063-RA	SINLEJ004858
PMZ_0026066-RA	SINLEJ016431
PMZ_0026067-RA	SINLEJ001801
PMZ_0026068-RA	SINLEJ001803
PMZ_0026069-RA	SINLEJ001811
PMZ_0026070-RA	SINLEJ001817
PMZ_0026072-RA	SINLEJ003401
PMZ_0026076-RA	SINLEJ003394
PMZ_0026078-RA	SINLEJ003391
PMZ_0026079-RA	SINLEJ005739
PMZ_0026084-RA	SINLEJ008099
PMZ_0026085-RA	SINLEJ006769
PMZ_0026086-RA	SINLEJ006766
PMZ_0026088-RA	SINLEJ006754
PMZ_0026089-RA	SINLEJ006752
PMZ_0026090-RA	SINLEJ006744
PMZ_0026093-RA	SINLEJ012114
PMZ_0026094-RA	SINLEJ005677
PMZ_0026095-RA	SINLEJ005674
PMZ_0026096-RA	SINLEJ005671
PMZ_0026097-RA	SINLEJ005667
PMZ_0026098-RA	SINLEJ005664
PMZ_0026101-RA	SINLEJ005990
PMZ_0026102-RA	SINLEJ005997
PMZ_0026103-RA	SINLEJ008880
PMZ_0026110-RA	SINLEJ005125
PMZ_0026111-RA	SINLEJ007697
PMZ_0026113-RA	SINLEJ012587
PMZ_0026115-RA	SINLEJ001402
PMZ_0026116-RA	SINLEJ001416
PMZ_0026117-RA	SINLEJ004316
PMZ_0026127-RA	SINLEJ007665
PMZ_0026131-RA	SINLEJ016200
PMZ_0026133-RA	SINLEJ000404
PMZ_0026134-RA	SINLEJ000402
PMZ_0026135-RA	SINLEJ000400
PMZ_0026137-RA	SINLEJ000396
PMZ_0026138-RA	SINLEJ010239
PMZ_0026142-RA	SINLEJ012659
PMZ_0026146-RA	SINLEJ004686
PMZ_0026150-RA	SINLEJ003362
PMZ_0026155-RA	SINLEJ001570
PMZ_0026156-RA	SINLEJ001571
PMZ_0026157-RA	SINLEJ001575
PMZ_0026158-RA	SINLEJ007002
PMZ_0026160-RA	SINLEJ600160
PMZ_0026162-RA	SINLEJ013002
PMZ_0026163-RA	SINLEJ007261
PMZ_0026164-RA	SINLEJ009043
PMZ_0026165-RA	SINLEJ012999
PMZ_0026166-RA	SINLEJ008823
PMZ_0026168-RA	SINLEJ008804
PMZ_0026169-RA	SINLEJ017082
PMZ_0026170-RA	SINLEJ009940
PMZ_0026173-RA	SINLEJ005261
PMZ_0026174-RA	SINLEJ001201
PMZ_0026182-RA	SINLEJ004758
PMZ_0026188-RA	SINLEJ006582
PMZ_0026192-RA	SINLEJ001761
PMZ_0026193-RA	SINLEJ001769
PMZ_0026195-RA	SINLEJ009925
PMZ_0026196-RA	SINLEJ009927
PMZ_0026198-RA	SINLEJ009934
PMZ_0026201-RA	SINLEJ600303
PMZ_0026203-RA	SINLEJ600308
PMZ_0026206-RA	SINLEJ015206
PMZ_0026208-RA	SINLEJ011962
PMZ_0026210-RA	SINLEJ011974
PMZ_0026213-RA	SINLEJ015458
PMZ_0026215-RA	SINLEJ000422
PMZ_0026216-RA	SINLEJ000427
PMZ_0026218-RA	SINLEJ000431
PMZ_0026219-RA	SINLEJ000432
PMZ_0026220-RA	SINLEJ001523
PMZ_0026222-RA	SINLEJ001528
PMZ_0026223-RA	SINLEJ001533
PMZ_0026224-RA	SINLEJ001537
PMZ_0026226-RA	SINLEJ015155
PMZ_0026227-RA	SINLEJ600042
PMZ_0026233-RA	SINLEJ013570
PMZ_0026238-RA	SINLEJ017544
PMZ_0026244-RA	SINLEJ000391
PMZ_0026246-RA	SINLEJ000382
PMZ_0026250-RA	SINLEJ002005
PMZ_0026251-RA	SINLEJ017298
PMZ_0026254-RA	SINLEJ017303
PMZ_0026258-RA	SINLEJ003233
PMZ_0026259-RA	SINLEJ007655
PMZ_0026262-RA	SINLEJ014597
PMZ_0026264-RA	SINLEJ014599
PMZ_0026265-RA	SINLEJ014600
PMZ_0026267-RA	SINLEJ006834
PMZ_0026268-RA	SINLEJ006830
PMZ_0026269-RA	SINLEJ006828
PMZ_0026274-RA	SINLEJ004692
PMZ_0026276-RA	SINLEJ004700
PMZ_0026277-RA	SINLEJ004666
PMZ_0026278-RA	SINLEJ004673
PMZ_0026279-RA	SINLEJ005814
PMZ_0026281-RA	SINLEJ003369
PMZ_0026283-RA	SINLEJ010501
PMZ_0026284-RA	SINLEJ010502
PMZ_0026286-RA	SINLEJ016366
PMZ_0026292-RA	SINLEJ006023
PMZ_0026297-RA	SINLEJ004116
PMZ_0026299-RA	SINLEJ002072
PMZ_0026301-RA	SINLEJ002079
PMZ_0026302-RA	SINLEJ013249
PMZ_0026305-RA	SINLEJ013245
PMZ_0026306-RA	SINLEJ013243
PMZ_0026307-RA	SINLEJ001170
PMZ_0026308-RA	SINLEJ001169
PMZ_0026309-RA	SINLEJ001160
PMZ_0026313-RA	SINLEJ005917
PMZ_0026319-RA	SINLEJ008432
PMZ_0026321-RA	SINLEJ004429
PMZ_0026323-RA	SINLEJ600281
PMZ_0026326-RA	SINLEJ009906
PMZ_0026327-RA	SINLEJ009009
PMZ_0026328-RA	SINLEJ011619
PMZ_0026332-RA	SINLEJ003504
PMZ_0026334-RA	SINLEJ000268
PMZ_0026335-RA	SINLEJ002973
PMZ_0026336-RA	SINLEJ002963
PMZ_0026338-RA	SINLEJ012751
PMZ_0026339-RA	SINLEJ009405
PMZ_0026340-RA	SINLEJ005651
PMZ_0026341-RA	SINLEJ005650
PMZ_0026346-RA	SINLEJ001438
PMZ_0026350-RA	SINLEJ002809
PMZ_0026355-RA	SINLEJ600397
PMZ_0026356-RA	SINLEJ600401
PMZ_0026358-RA	SINLEJ600391
PMZ_0026360-RA	SINLEJ600141
PMZ_0026369-RA	SINLEJ009187
PMZ_0026370-RA	SINLEJ009186
PMZ_0026371-RA	SINLEJ009185
PMZ_0026386-RA	SINLEJ003904
PMZ_0026387-RA	SINLEJ012571
PMZ_0026392-RA	SINLEJ018438
PMZ_0026397-RA	SINLEJ008997
PMZ_0026399-RA	SINLEJ008998
PMZ_0026400-RA	SINLEJ009003
PMZ_0026401-RA	SINLEJ014923
PMZ_0026402-RA	SINLEJ003639
PMZ_0026404-RA	SINLEJ008201
PMZ_0026405-RA	SINLEJ016350
PMZ_0026408-RA	SINLEJ004741
PMZ_0026409-RA	SINLEJ004744
PMZ_0026416-RC	SINLEJ007962
PMZ_0026424-RA	SINLEJ009421
PMZ_0026425-RA	SINLEJ006109
PMZ_0026426-RA	SINLEJ004083
PMZ_0026429-RA	SINLEJ007528
PMZ_0026430-RA	SINLEJ000224
PMZ_0026431-RA	SINLEJ000225
PMZ_0026432-RA	SINLEJ008644
PMZ_0026433-RA	SINLEJ008647
PMZ_0026434-RA	SINLEJ008649
PMZ_0026435-RA	SINLEJ008651
PMZ_0026443-RA	SINLEJ007960
PMZ_0026451-RA	SINLEJ004477
PMZ_0026453-RA	SINLEJ004471
PMZ_0026455-RA	SINLEJ004094
PMZ_0026458-RA	SINLEJ004097
PMZ_0026464-RA	SINLEJ001880
PMZ_0026465-RA	SINLEJ001873
PMZ_0026466-RA	SINLEJ001995
PMZ_0026467-RA	SINLEJ002979
PMZ_0026468-RA	SINLEJ002978
PMZ_0026470-RA	SINLEJ007574
PMZ_0026479-RA	SINLEJ001934
PMZ_0026481-RA	SINLEJ001930
PMZ_0026482-RA	SINLEJ001929
PMZ_0026484-RA	SINLEJ011053
PMZ_0026501-RA	SINLEJ006201
PMZ_0026502-RA	SINLEJ006537
PMZ_0026509-RA	SINLEJ007865
PMZ_0026510-RA	SINLEJ005196
PMZ_0026512-RA	SINLEJ005894
PMZ_0026513-RA	SINLEJ000792
PMZ_0026515-RA	SINLEJ000863
PMZ_0026518-RA	SINLEJ000935
PMZ_0026520-RA	SINLEJ001641
PMZ_0026526-RA	SINLEJ018651
PMZ_0026538-RA	SINLEJ018445
PMZ_0026543-RA	SINLEJ009089
PMZ_0026544-RA	SINLEJ009080
PMZ_0026545-RA	SINLEJ009079
PMZ_0026546-RA	SINLEJ003542
PMZ_0026551-RA	SINLEJ000568
PMZ_0026553-RA	SINLEJ600427
PMZ_0026554-RA	SINLEJ600426
PMZ_0026555-RA	SINLEJ600421
PMZ_0026556-RA	SINLEJ013707
PMZ_0026571-RA	SINLEJ007487
PMZ_0026573-RA	SINLEJ014783
PMZ_0026575-RA	SINLEJ000721
PMZ_0026576-RA	SINLEJ007567
PMZ_0026581-RA	SINLEJ000315
PMZ_0026585-RA	SINLEJ013228
PMZ_0026586-RA	SINLEJ013230
PMZ_0026587-RA	SINLEJ013232
PMZ_0026588-RA	SINLEJ006782
PMZ_0026589-RA	SINLEJ009232
PMZ_0026592-RA	SINLEJ012948
PMZ_0026593-RA	SINLEJ003429
PMZ_0026594-RA	SINLEJ600354
PMZ_0026596-RA	SINLEJ006988
PMZ_0026599-RA	SINLEJ001369
PMZ_0026600-RA	SINLEJ011041
PMZ_0026601-RA	SINLEJ008345
PMZ_0026602-RA	SINLEJ009850
PMZ_0026603-RA	SINLEJ009845
PMZ_0026606-RA	SINLEJ007376
PMZ_0026610-RA	SINLEJ000658
PMZ_0026611-RA	SINLEJ000666
PMZ_0026613-RA	SINLEJ008325
PMZ_0026615-RA	SINLEJ010164
PMZ_0026624-RA	SINLEJ008378
PMZ_0026626-RA	SINLEJ008380
PMZ_0026630-RA	SINLEJ003283
PMZ_0026631-RA	SINLEJ003284
PMZ_0026632-RA	SINLEJ003286
PMZ_0026633-RA	SINLEJ003289
PMZ_0026634-RA	SINLEJ003794
PMZ_0026635-RA	SINLEJ015323
PMZ_0026636-RA	SINLEJ015324
PMZ_0026637-RA	SINLEJ001441
PMZ_0026640-RA	SINLEJ001556
PMZ_0026642-RA	SINLEJ004756
PMZ_0026643-RA	SINLEJ004754
PMZ_0026644-RA	SINLEJ003417
PMZ_0026646-RA	SINLEJ014021
PMZ_0026647-RA	SINLEJ008690
PMZ_0026651-RA	SINLEJ007702
PMZ_0026654-RA	SINLEJ004226
PMZ_0026655-RA	SINLEJ004219
PMZ_0026657-RA	SINLEJ004961
PMZ_0026660-RA	SINLEJ005450
PMZ_0026662-RA	SINLEJ016132
PMZ_0026663-RA	SINLEJ012632
PMZ_0026666-RA	SINLEJ007398
PMZ_0026667-RA	SINLEJ007386
PMZ_0026669-RA	SINLEJ007642
PMZ_0026670-RA	SINLEJ004388
PMZ_0026673-RA	SINLEJ005001
PMZ_0026674-RA	SINLEJ001901
PMZ_0026676-RA	SINLEJ001902
PMZ_0026677-RA	SINLEJ008632
PMZ_0026678-RA	SINLEJ008634
PMZ_0026679-RA	SINLEJ002753
PMZ_0026680-RA	SINLEJ010498
PMZ_0026681-RA	SINLEJ009563
PMZ_0026682-RA	SINLEJ003203
PMZ_0026685-RA	SINLEJ009714
PMZ_0026687-RA	SINLEJ010348
PMZ_0026691-RA	SINLEJ001985
PMZ_0026695-RA	SINLEJ016714
PMZ_0026696-RA	SINLEJ016717
PMZ_0026697-RA	SINLEJ016730
PMZ_0026701-RA	SINLEJ011624
PMZ_0026708-RA	SINLEJ009170
PMZ_0026709-RA	SINLEJ005702
PMZ_0026713-RA	SINLEJ015834
PMZ_0026717-RA	SINLEJ010460
PMZ_0026720-RA	SINLEJ010467
PMZ_0026724-RA	SINLEJ006089
PMZ_0026725-RA	SINLEJ006073
PMZ_0026726-RA	SINLEJ006074
PMZ_0026727-RA	SINLEJ006269
PMZ_0026729-RA	SINLEJ016354
PMZ_0026731-RA	SINLEJ004904
PMZ_0026732-RA	SINLEJ600374
PMZ_0026733-RA	SINLEJ001833
PMZ_0026736-RA	SINLEJ600300
PMZ_0026737-RA	SINLEJ010536
PMZ_0026738-RA	SINLEJ011953
PMZ_0026739-RA	SINLEJ011956
PMZ_0026741-RA	SINLEJ010383
PMZ_0026742-RA	SINLEJ010385
PMZ_0026746-RA	SINLEJ003295
PMZ_0026747-RA	SINLEJ003294
PMZ_0026748-RA	SINLEJ006193
PMZ_0026749-RA	SINLEJ005348
PMZ_0026751-RA	SINLEJ002989
PMZ_0026752-RA	SINLEJ002991
PMZ_0026754-RA	SINLEJ002146
PMZ_0026755-RA	SINLEJ007029
PMZ_0026757-RA	SINLEJ008855
PMZ_0026761-RA	SINLEJ016763
PMZ_0026763-RA	SINLEJ017459
PMZ_0026764-RA	SINLEJ600318
PMZ_0026765-RA	SINLEJ004327
PMZ_0026766-RA	SINLEJ004328
PMZ_0026767-RA	SINLEJ015176
PMZ_0026768-RA	SINLEJ004020
PMZ_0026771-RA	SINLEJ011982
PMZ_0026774-RA	SINLEJ011434
PMZ_0026777-RA	SINLEJ008116
PMZ_0026778-RA	SINLEJ016189
PMZ_0026780-RA	SINLEJ003967
PMZ_0026781-RA	SINLEJ003970
PMZ_0026782-RA	SINLEJ000737
PMZ_0026784-RA	SINLEJ017245
PMZ_0026789-RA	SINLEJ008798
PMZ_0026792-RA	SINLEJ006611
PMZ_0026801-RA	SINLEJ013387
PMZ_0026803-RA	SINLEJ007768
PMZ_0026804-RA	SINLEJ017469
PMZ_0026807-RA	SINLEJ006948
PMZ_0026810-RA	SINLEJ004060
PMZ_0026812-RA	SINLEJ010655
PMZ_0026818-RA	SINLEJ013281
PMZ_0026821-RA	SINLEJ000489
PMZ_0026822-RA	SINLEJ000490
PMZ_0026823-RA	SINLEJ000491
PMZ_0026824-RA	SINLEJ016182
PMZ_0026825-RA	SINLEJ016183
PMZ_0026826-RA	SINLEJ002744
PMZ_0026828-RA	SINLEJ002749
PMZ_0026832-RA	SINLEJ008393
PMZ_0026834-RA	SINLEJ008399
PMZ_0026835-RA	SINLEJ008397
PMZ_0026840-RA	SINLEJ015302
PMZ_0026842-RA	SINLEJ006338
PMZ_0026844-RA	SINLEJ000888
PMZ_0026845-RA	SINLEJ019232
PMZ_0026854-RA	SINLEJ013464
PMZ_0026855-RA	SINLEJ014961
PMZ_0026857-RA	SINLEJ009442
PMZ_0026860-RA	SINLEJ010083
PMZ_0026862-RA	SINLEJ001658
PMZ_0026864-RA	SINLEJ004372
PMZ_0026865-RA	SINLEJ003544
PMZ_0026869-RA	SINLEJ012323
PMZ_0026873-RA	SINLEJ008988
PMZ_0026875-RA	SINLEJ006547
PMZ_0026876-RA	SINLEJ006546
PMZ_0026877-RA	SINLEJ006957
PMZ_0026879-RA	SINLEJ003159
PMZ_0026883-RA	SINLEJ016579
PMZ_0026886-RA	SINLEJ013553
PMZ_0026887-RA	SINLEJ004007
PMZ_0026888-RA	SINLEJ004005
PMZ_0026889-RA	SINLEJ007833
PMZ_0026890-RA	SINLEJ007836
PMZ_0026896-RA	SINLEJ001630
PMZ_0026899-RA	SINLEJ001431
PMZ_0026901-RA	SINLEJ013187
PMZ_0026904-RA	SINLEJ001122
PMZ_0026905-RA	SINLEJ600275
PMZ_0026906-RA	SINLEJ009032
PMZ_0026907-RA	SINLEJ013588
PMZ_0026910-RA	SINLEJ008253
PMZ_0026911-RA	SINLEJ001105
PMZ_0026912-RA	SINLEJ011747
PMZ_0026913-RA	SINLEJ010111
PMZ_0026915-RA	SINLEJ010971
PMZ_0026916-RA	SINLEJ002188
PMZ_0026921-RA	SINLEJ012495
PMZ_0026924-RA	SINLEJ012405
PMZ_0026925-RB	SINLEJ012404
PMZ_0026926-RA	SINLEJ012403
PMZ_0026927-RA	SINLEJ003243
PMZ_0026931-RA	SINLEJ007602
PMZ_0026934-RA	SINLEJ003413
PMZ_0026935-RA	SINLEJ011952
PMZ_0026936-RA	SINLEJ001759
PMZ_0026939-RA	SINLEJ010899
PMZ_0026940-RA	SINLEJ006080
PMZ_0026941-RA	SINLEJ016122
PMZ_0026942-RA	SINLEJ016120
PMZ_0026943-RA	SINLEJ011411
PMZ_0026945-RA	SINLEJ014596
PMZ_0026947-RA	SINLEJ003012
PMZ_0026948-RA	SINLEJ012453
PMZ_0026951-RA	SINLEJ016323
PMZ_0026954-RA	SINLEJ010370
PMZ_0026955-RA	SINLEJ010365
PMZ_0026956-RA	SINLEJ006083
PMZ_0026957-RA	SINLEJ001497
PMZ_0026960-RA	SINLEJ005240
PMZ_0026961-RA	SINLEJ005244
PMZ_0026962-RA	SINLEJ003297
PMZ_0026965-RA	SINLEJ009727
PMZ_0026967-RA	SINLEJ006241
PMZ_0026969-RA	SINLEJ013282
PMZ_0026970-RA	SINLEJ007105
PMZ_0026971-RA	SINLEJ009891
PMZ_0026972-RA	SINLEJ004037
PMZ_0026974-RA	SINLEJ005460
PMZ_0026977-RA	SINLEJ015280
PMZ_0026981-RA	SINLEJ014086
PMZ_0026982-RA	SINLEJ014085
PMZ_0026983-RA	SINLEJ003771
PMZ_0026987-RA	SINLEJ008730
PMZ_0026988-RA	SINLEJ015895
PMZ_0026989-RA	SINLEJ016041
PMZ_0026990-RA	SINLEJ004730
PMZ_0027002-RA	SINLEJ010130
PMZ_0027003-RA	SINLEJ009099
PMZ_0027005-RA	SINLEJ011246
PMZ_0027006-RA	SINLEJ011428
PMZ_0027009-RA	SINLEJ003186
PMZ_0027011-RA	SINLEJ003128
PMZ_0027015-RA	SINLEJ010174
PMZ_0027018-RA	SINLEJ007292
PMZ_0027020-RA	SINLEJ003537
PMZ_0027022-RA	SINLEJ002671
PMZ_0027023-RA	SINLEJ012865
PMZ_0027024-RA	SINLEJ015879
PMZ_0027030-RA	SINLEJ007639
PMZ_0027031-RA	SINLEJ600348
PMZ_0027032-RA	SINLEJ015745
PMZ_0027033-RA	SINLEJ600198
PMZ_0027034-RA	SINLEJ003003
PMZ_0027038-RA	SINLEJ000826
PMZ_0027041-RA	SINLEJ005859
PMZ_0027043-RA	SINLEJ004706
PMZ_0027045-RA	SINLEJ005447
PMZ_0027048-RA	SINLEJ006454
PMZ_0027049-RA	SINLEJ006459
PMZ_0027050-RA	SINLEJ009685
PMZ_0027052-RA	SINLEJ600472
PMZ_0027053-RA	SINLEJ006934
PMZ_0027054-RA	SINLEJ005807
PMZ_0027058-RA	SINLEJ013214
PMZ_0027059-RA	SINLEJ010495
PMZ_0027060-RA	SINLEJ005758
PMZ_0027063-RA	SINLEJ009058
PMZ_0027064-RA	SINLEJ009059
PMZ_0027067-RA	SINLEJ003194
PMZ_0027068-RA	SINLEJ003152
PMZ_0027069-RA	SINLEJ003150
PMZ_0027072-RA	SINLEJ600299
PMZ_0027077-RA	SINLEJ009965
PMZ_0027078-RA	SINLEJ013335
PMZ_0027079-RA	SINLEJ015109
PMZ_0027082-RA	SINLEJ000546
PMZ_0027083-RA	SINLEJ003670
PMZ_0027084-RA	SINLEJ003672
PMZ_0027087-RA	SINLEJ006346
PMZ_0027088-RA	SINLEJ006345
PMZ_0027089-RA	SINLEJ009140
PMZ_0027091-RA	SINLEJ007471
PMZ_0027102-RA	SINLEJ006423
PMZ_0027107-RA	SINLEJ005098
PMZ_0027108-RA	SINLEJ015121
PMZ_0027109-RA	SINLEJ003594
PMZ_0027111-RA	SINLEJ600221
PMZ_0027112-RA	SINLEJ600189
PMZ_0027116-RA	SINLEJ000236
PMZ_0027117-RA	SINLEJ000232
PMZ_0027118-RA	SINLEJ017147
PMZ_0027121-RA	SINLEJ011558
PMZ_0027123-RA	SINLEJ010259
PMZ_0027125-RA	SINLEJ012413
PMZ_0027126-RA	SINLEJ015693
PMZ_0027127-RA	SINLEJ001319
PMZ_0027130-RA	SINLEJ006047
PMZ_0027134-RA	SINLEJ008236
PMZ_0027135-RA	SINLEJ000248
PMZ_0027136-RA	SINLEJ000247
PMZ_0027137-RA	SINLEJ007887
PMZ_0027139-RA	SINLEJ010396
PMZ_0027142-RA	SINLEJ008193
PMZ_0027144-RA	SINLEJ011526
PMZ_0027149-RA	SINLEJ008955
PMZ_0027152-RA	SINLEJ006418
PMZ_0027153-RA	SINLEJ000237
PMZ_0027154-RA	SINLEJ004544
PMZ_0027155-RA	SINLEJ006099
PMZ_0027157-RA	SINLEJ010793
PMZ_0027159-RA	SINLEJ002172
PMZ_0027160-RA	SINLEJ003579
PMZ_0027162-RA	SINLEJ012317
PMZ_0027168-RA	SINLEJ007622
PMZ_0027169-RA	SINLEJ007627
PMZ_0027172-RA	SINLEJ008800
PMZ_0027174-RA	SINLEJ001428
PMZ_0027176-RA	SINLEJ003699
PMZ_0027178-RA	SINLEJ600283
PMZ_0027190-RA	SINLEJ011798
PMZ_0027193-RA	SINLEJ001627
PMZ_0027194-RA	SINLEJ009917
PMZ_0027196-RA	SINLEJ011597
PMZ_0027197-RA	SINLEJ016475
PMZ_0027199-RA	SINLEJ600291
PMZ_0027200-RA	SINLEJ002116
PMZ_0027203-RA	SINLEJ001273
PMZ_0027204-RA	SINLEJ005685
PMZ_0027205-RA	SINLEJ005687
PMZ_0027206-RA	SINLEJ009410
PMZ_0027207-RA	SINLEJ008309
PMZ_0027208-RA	SINLEJ011805
PMZ_0027214-RA	SINLEJ006487
PMZ_0027215-RA	SINLEJ002878
PMZ_0027221-RA	SINLEJ010123
PMZ_0027229-RA	SINLEJ012546
PMZ_0027230-RA	SINLEJ007893
PMZ_0027231-RA	SINLEJ005258
PMZ_0027232-RA	SINLEJ011260
PMZ_0027233-RA	SINLEJ013278
PMZ_0027239-RA	SINLEJ008995
PMZ_0027243-RA	SINLEJ001376
PMZ_0027246-RA	SINLEJ006913
PMZ_0027249-RA	SINLEJ013127
PMZ_0027253-RA	SINLEJ007280
PMZ_0027261-RA	SINLEJ011933
PMZ_0027265-RA	SINLEJ600403
PMZ_0027266-RA	SINLEJ003227
PMZ_0027267-RA	SINLEJ004819
PMZ_0027270-RA	SINLEJ003496
PMZ_0027271-RA	SINLEJ003790
PMZ_0027277-RA	SINLEJ017280
PMZ_0027278-RA	SINLEJ005848
PMZ_0027281-RA	SINLEJ006003
PMZ_0027285-RA	SINLEJ010940
PMZ_0027286-RA	SINLEJ011991
PMZ_0027290-RA	SINLEJ002139
PMZ_0027291-RA	SINLEJ001843
PMZ_0027292-RA	SINLEJ009655
PMZ_0027294-RA	SINLEJ001433
PMZ_0027295-RA	SINLEJ007856
PMZ_0027296-RA	SINLEJ012056
PMZ_0027313-RA	SINLEJ002846
PMZ_0027315-RA	SINLEJ002960
PMZ_0027316-RA	SINLEJ002044
PMZ_0027317-RA	SINLEJ007158
PMZ_0027319-RA	SINLEJ003977
PMZ_0027322-RA	SINLEJ012535
PMZ_0027324-RA	SINLEJ003889
PMZ_0027325-RA	SINLEJ003045
PMZ_0027327-RA	SINLEJ008968
PMZ_0027330-RA	SINLEJ006612
PMZ_0027332-RA	SINLEJ004395
PMZ_0027336-RA	SINLEJ009682
PMZ_0027337-RA	SINLEJ001639
PMZ_0027341-RA	SINLEJ008584
PMZ_0027342-RA	SINLEJ008169
PMZ_0027343-RA	SINLEJ007539
PMZ_0027347-RA	SINLEJ014830
PMZ_0027350-RA	SINLEJ008597
PMZ_0027352-RA	SINLEJ000254
PMZ_0027354-RA	SINLEJ007548
PMZ_0027356-RA	SINLEJ007418
PMZ_0027357-RA	SINLEJ006500
PMZ_0027358-RA	SINLEJ010160
PMZ_0027361-RA	SINLEJ009517
PMZ_0027366-RA	SINLEJ600441
PMZ_0027367-RA	SINLEJ001388
PMZ_0027368-RA	SINLEJ001717
PMZ_0027371-RA	SINLEJ001385
PMZ_0027373-RA	SINLEJ003791
PMZ_0027374-RA	SINLEJ012134
PMZ_0027376-RA	SINLEJ000586
PMZ_0027378-RA	SINLEJ001648
PMZ_0027379-RA	SINLEJ003797
PMZ_0027380-RA	SINLEJ015286
PMZ_0027401-RA	SINLEJ004710
PMZ_0027402-RA	SINLEJ008420
PMZ_0027406-RA	SINLEJ012529
PMZ_0027411-RA	SINLEJ013671
PMZ_0027414-RA	SINLEJ014846
PMZ_0027417-RA	SINLEJ005182
PMZ_0027419-RA	SINLEJ009330
PMZ_0027421-RA	SINLEJ016167
PMZ_0027426-RA	SINLEJ010034
PMZ_0027428-RA	SINLEJ015294
PMZ_0027433-RA	SINLEJ011634
PMZ_0027434-RA	SINLEJ010616
PMZ_0027435-RA	SINLEJ004211
PMZ_0027436-RA	SINLEJ011706
PMZ_0027437-RA	SINLEJ012065
PMZ_0027440-RA	SINLEJ011404
PMZ_0027442-RA	SINLEJ015860
PMZ_0027443-RA	SINLEJ015861
PMZ_0027444-RA	SINLEJ011938
PMZ_0027462-RA	SINLEJ010202
PMZ_0027464-RA	SINLEJ006412
PMZ_0027468-RA	SINLEJ008862
PMZ_0027470-RA	SINLEJ015549
PMZ_0027471-RA	SINLEJ007053
PMZ_0027472-RA	SINLEJ006297
PMZ_0027479-RA	SINLEJ004180
PMZ_0027480-RA	SINLEJ010908
PMZ_0027483-RA	SINLEJ006590
PMZ_0027484-RA	SINLEJ010581
PMZ_0027485-RA	SINLEJ016117
PMZ_0027486-RA	SINLEJ005191
PMZ_0027487-RA	SINLEJ006277
PMZ_0027503-RA	SINLEJ008532
PMZ_0027508-RA	SINLEJ006700
PMZ_0027511-RA	SINLEJ009298
PMZ_0027512-RA	SINLEJ006622
PMZ_0027514-RA	SINLEJ001152
PMZ_0027515-RA	SINLEJ004445
PMZ_0027519-RA	SINLEJ009604
PMZ_0027522-RA	SINLEJ003994
PMZ_0027524-RA	SINLEJ006980
PMZ_0027525-RA	SINLEJ006981
PMZ_0027529-RA	SINLEJ009389
PMZ_0027530-RA	SINLEJ006032
PMZ_0027532-RA	SINLEJ016364
PMZ_0027533-RA	SINLEJ007839
PMZ_0027535-RA	SINLEJ013013
PMZ_0027536-RA	SINLEJ004314
PMZ_0027544-RA	SINLEJ008878
PMZ_0027545-RA	SINLEJ000089
PMZ_0027546-RA	SINLEJ002020
PMZ_0027548-RA	SINLEJ004542
