ENSP00000000412	PMZ_0044679-RA
ENSP00000260643	PMZ_0036138-RA
ENSP00000260649	PMZ_0015278-RA
ENSP00000260649	PMZ_0047885-RA
ENSP00000260653	PMZ_0035363-RA
ENSP00000260653	PMZ_0029431-RA
ENSP00000260665	PMZ_0005788-RA
ENSP00000260702	PMZ_0047065-RA
ENSP00000260731	PMZ_0027296-RA
ENSP00000260743	PMZ_0006777-RA
ENSP00000260743	PMZ_0043216-RA
ENSP00000260746	PMZ_0003783-RA
ENSP00000260753	PMZ_0042447-RA
ENSP00000260762	PMZ_0042508-RA
ENSP00000260762	PMZ_0042507-RA
ENSP00000260803	PMZ_0032423-RA
ENSP00000260803	PMZ_0040586-RA
ENSP00000260810	PMZ_0003367-RA
ENSP00000260810	PMZ_0040321-RA
ENSP00000260818	PMZ_0026258-RA
ENSP00000260867	PMZ_0043402-RA
ENSP00000260947	PMZ_0023479-RA
ENSP00000260952	PMZ_0031453-RA
ENSP00000260953	PMZ_0018442-RA
ENSP00000260970	PMZ_0040305-RA
ENSP00000260970	PMZ_0044988-RA
ENSP00000260983	PMZ_0018057-RA
ENSP00000260983	PMZ_0040226-RA
ENSP00000261007	PMZ_0040326-RA
ENSP00000261015	PMZ_0002100-RA
ENSP00000261023	PMZ_0027640-RA
ENSP00000261024	PMZ_0010379-RA
ENSP00000261024	PMZ_0047694-RA
ENSP00000261038	PMZ_0019557-RA
ENSP00000261038	PMZ_0040593-RA
ENSP00000261070	PMZ_0044943-RA
ENSP00000261167	PMZ_0006212-RA
ENSP00000261168	PMZ_0008543-RA
ENSP00000261168	PMZ_0041333-RA
ENSP00000261170	PMZ_0031790-RA
ENSP00000261170	PMZ_0031243-RA
ENSP00000261172	PMZ_0044414-RA
ENSP00000261172	PMZ_0035752-RA
ENSP00000261177	PMZ_0041918-RA
ENSP00000261180	PMZ_0011747-RA
ENSP00000261180	PMZ_0032389-RA
ENSP00000261182	PMZ_0030427-RA
ENSP00000261182	PMZ_0045298-RA
ENSP00000261183	PMZ_0041907-RA
ENSP00000261183	PMZ_0047309-RA
ENSP00000261187	PMZ_0007146-RA
ENSP00000261187	PMZ_0045198-RA
ENSP00000261191	PMZ_0017506-RA
ENSP00000261195	PMZ_0047593-RA
ENSP00000261200	PMZ_0026040-RA
ENSP00000261200	PMZ_0040984-RA
ENSP00000261205	PMZ_0032720-RA
ENSP00000261205	PMZ_0017844-RA
ENSP00000261208	PMZ_0028964-RA
ENSP00000261211	PMZ_0031854-RA
ENSP00000261211	PMZ_0042171-RA
ENSP00000261233	PMZ_0030780-RA
ENSP00000261233	PMZ_0045726-RA
ENSP00000261234	PMZ_0043594-RA
ENSP00000261234	PMZ_0003237-RA
ENSP00000261245	PMZ_0043028-RA
ENSP00000261247	PMZ_0011477-RA
ENSP00000261249	PMZ_0046213-RA
ENSP00000261250	PMZ_0045675-RA
ENSP00000261250	PMZ_0046576-RA
ENSP00000261254	PMZ_0040952-RA
ENSP00000261254	PMZ_0028888-RA
ENSP00000261263	PMZ_0026824-RA
ENSP00000261275	PMZ_0019684-RA
ENSP00000261275	PMZ_0030046-RA
ENSP00000261292	PMZ_0008724-RA
ENSP00000261303	PMZ_0035872-RA
ENSP00000261304	PMZ_0003521-RA
ENSP00000261308	PMZ_0008473-RA
ENSP00000261318	PMZ_0041698-RA
ENSP00000261326	PMZ_0002092-RA
ENSP00000261336	PMZ_0046627-RA
ENSP00000261349	PMZ_0041955-RA
ENSP00000261349	PMZ_0045441-RA
ENSP00000261366	PMZ_0045508-RA
ENSP00000261366	PMZ_0011026-RA
ENSP00000261368	PMZ_0007866-RA
ENSP00000261368	PMZ_0047323-RA
ENSP00000261369	PMZ_0031473-RA
ENSP00000261374	PMZ_0007096-RA
ENSP00000261381	PMZ_0045078-RA
ENSP00000261381	PMZ_0043132-RA
ENSP00000261383	PMZ_0014951-RA
ENSP00000261383	PMZ_0008565-RA
ENSP00000261386	PMZ_0018414-RA
ENSP00000261396	PMZ_0017057-RA
ENSP00000261401	PMZ_0012827-RA
ENSP00000261402	PMZ_0045803-RA
ENSP00000261402	PMZ_0030676-RA
ENSP00000261405	PMZ_0036238-RA
ENSP00000261405	PMZ_0046745-RA
ENSP00000261413	PMZ_0002699-RA
ENSP00000261427	PMZ_0029996-RA
ENSP00000261434	PMZ_0022862-RA
ENSP00000261435	PMZ_0006397-RA
ENSP00000261438	PMZ_0034056-RA
ENSP00000261439	PMZ_0031104-RA
ENSP00000261439	PMZ_0034058-RA
ENSP00000261441	PMZ_0042147-RA
ENSP00000261441	PMZ_0047118-RA
ENSP00000261461	PMZ_0029074-RA
ENSP00000261461	PMZ_0037734-RA
ENSP00000261475	PMZ_0042653-RA
ENSP00000261475	PMZ_0036503-RA
ENSP00000261479	PMZ_0001168-RA
ENSP00000261486	PMZ_0045514-RA
ENSP00000261497	PMZ_0013815-RA
ENSP00000261497	PMZ_0030586-RA
ENSP00000261499	PMZ_0042695-RA
ENSP00000261507	PMZ_0044290-RA
ENSP00000261514	PMZ_0010651-RA
ENSP00000261514	PMZ_0035280-RA
ENSP00000261517	PMZ_0043226-RA
ENSP00000261517	PMZ_0047234-RA
ENSP00000261520	PMZ_0007836-RA
ENSP00000261531	PMZ_0044207-RA
ENSP00000261534	PMZ_0010991-RA
ENSP00000261537	PMZ_0007585-RA
ENSP00000261537	PMZ_0020259-RA
ENSP00000261556	PMZ_0036127-RA
ENSP00000261556	PMZ_0047457-RA
ENSP00000261558	PMZ_0036499-RA
ENSP00000261558	PMZ_0012021-RA
ENSP00000261574	PMZ_0006809-RA
ENSP00000261574	PMZ_0048134-RA
ENSP00000261588	PMZ_0003870-RA
ENSP00000261588	PMZ_0014062-RA
ENSP00000261592	PMZ_0038742-RA
ENSP00000261596	PMZ_0040820-RA
ENSP00000261596	PMZ_0043697-RA
ENSP00000261597	PMZ_0045835-RA
ENSP00000261597	PMZ_0040700-RA
ENSP00000261600	PMZ_0041243-RA
ENSP00000261600	PMZ_0041244-RA
ENSP00000261601	PMZ_0043659-RA
ENSP00000261609	PMZ_0013066-RA
ENSP00000261609	PMZ_0039149-RA
ENSP00000261622	PMZ_0042239-RA
ENSP00000261622	PMZ_0042240-RA
ENSP00000261623	PMZ_0033140-RA
ENSP00000261623	PMZ_0046736-RA
ENSP00000261636	PMZ_0027343-RA
ENSP00000261637	PMZ_0009783-RA
ENSP00000261637	PMZ_0019757-RA
ENSP00000261643	PMZ_0035924-RA
ENSP00000261654	PMZ_0029112-RA
ENSP00000261654	PMZ_0038441-RA
ENSP00000261655	PMZ_0030287-RA
ENSP00000261655	PMZ_0031455-RA
ENSP00000261658	PMZ_0017039-RA
ENSP00000261681	PMZ_0044220-RA
ENSP00000261681	PMZ_0044219-RA
ENSP00000261692	PMZ_0018991-RA
ENSP00000261700	PMZ_0042987-RA
ENSP00000261708	PMZ_0002907-RA
ENSP00000261712	PMZ_0007294-RA
ENSP00000261714	PMZ_0047623-RA
ENSP00000261714	PMZ_0047637-RA
ENSP00000261716	PMZ_0010009-RA
ENSP00000261716	PMZ_0038219-RA
ENSP00000261722	PMZ_0026592-RA
ENSP00000261731	PMZ_0038352-RA
ENSP00000261749	PMZ_0045765-RA
ENSP00000261749	PMZ_0046131-RA
ENSP00000261751	PMZ_0028478-RA
ENSP00000261758	PMZ_0009996-RA
ENSP00000261758	PMZ_0046557-RA
ENSP00000261772	PMZ_0026647-RA
ENSP00000261776	PMZ_0021297-RA
ENSP00000261776	PMZ_0019470-RA
ENSP00000261778	PMZ_0034516-RA
ENSP00000261778	PMZ_0034517-RA
ENSP00000261783	PMZ_0007010-RA
ENSP00000261783	PMZ_0033825-RA
ENSP00000261796	PMZ_0044115-RA
ENSP00000261796	PMZ_0034243-RA
ENSP00000261797	PMZ_0044256-RA
ENSP00000261800	PMZ_0036260-RA
ENSP00000261800	PMZ_0035332-RA
ENSP00000261819	PMZ_0012631-RA
ENSP00000261837	PMZ_0033310-RA
ENSP00000261839	PMZ_0047377-RA
ENSP00000261839	PMZ_0047376-RA
ENSP00000261844	PMZ_0029997-RA
ENSP00000261844	PMZ_0034183-RA
ENSP00000261845	PMZ_0002865-RA
ENSP00000261854	PMZ_0001576-RA
ENSP00000261858	PMZ_0011537-RA
ENSP00000261858	PMZ_0041767-RA
ENSP00000261866	PMZ_0008791-RA
ENSP00000261866	PMZ_0048844-RA
ENSP00000261868	PMZ_0008790-RA
ENSP00000261875	PMZ_0026216-RA
ENSP00000261875	PMZ_0045899-RA
ENSP00000261880	PMZ_0021132-RA
ENSP00000261881	PMZ_0040503-RA
ENSP00000261883	PMZ_0026218-RA
ENSP00000261883	PMZ_0007256-RA
ENSP00000261888	PMZ_0007515-RA
ENSP00000261889	PMZ_0041719-RA
ENSP00000261892	PMZ_0031331-RA
ENSP00000261893	PMZ_0018366-RA
ENSP00000261893	PMZ_0047819-RA
ENSP00000261917	PMZ_0017253-RA
ENSP00000261917	PMZ_0034946-RA
ENSP00000261921	PMZ_0045505-RA
ENSP00000261921	PMZ_0039048-RA
ENSP00000261965	PMZ_0047681-RA
ENSP00000261965	PMZ_0046717-RA
ENSP00000261973	PMZ_0011173-RA
ENSP00000261973	PMZ_0045063-RA
ENSP00000261980	PMZ_0032327-RA
ENSP00000261980	PMZ_0046022-RA
ENSP00000261991	PMZ_0031934-RA
ENSP00000261991	PMZ_0042551-RA
ENSP00000262013	PMZ_0041304-RA
ENSP00000262013	PMZ_0046534-RA
ENSP00000262027	PMZ_0034054-RA
ENSP00000262030	PMZ_0044976-RA
ENSP00000262032	PMZ_0040320-RA
ENSP00000262033	PMZ_0040296-RA
ENSP00000262033	PMZ_0001582-RA
ENSP00000262039	PMZ_0013656-RA
ENSP00000262041	PMZ_0029561-RA
ENSP00000262041	PMZ_0029598-RA
ENSP00000262043	PMZ_0045068-RA
ENSP00000262043	PMZ_0043721-RA
ENSP00000262053	PMZ_0011752-RA
ENSP00000262056	PMZ_0006729-RA
ENSP00000262056	PMZ_0046081-RA
ENSP00000262061	PMZ_0046263-RA
ENSP00000262061	PMZ_0040534-RA
ENSP00000262065	PMZ_0042698-RA
ENSP00000262077	PMZ_0027360-RA
ENSP00000262085	PMZ_0048269-RA
ENSP00000262094	PMZ_0037302-RA
ENSP00000262094	PMZ_0045773-RA
ENSP00000262101	PMZ_0043684-RA
ENSP00000262101	PMZ_0029830-RA
ENSP00000262103	PMZ_0045863-RA
ENSP00000262105	PMZ_0033305-RA
ENSP00000262113	PMZ_0001295-RA
ENSP00000262113	PMZ_0030945-RA
ENSP00000262120	PMZ_0001415-RA
ENSP00000262126	PMZ_0004675-RA
ENSP00000262126	PMZ_0037760-RA
ENSP00000262127	PMZ_0044523-RA
ENSP00000262127	PMZ_0044524-RA
ENSP00000262133	PMZ_0047619-RA
ENSP00000262133	PMZ_0047601-RA
ENSP00000262134	PMZ_0036897-RA
ENSP00000262144	PMZ_0042259-RA
ENSP00000262144	PMZ_0042257-RA
ENSP00000262186	PMZ_0002097-RA
ENSP00000262187	PMZ_0014123-RA
ENSP00000262187	PMZ_0029516-RA
ENSP00000262189	PMZ_0040573-RA
ENSP00000262189	PMZ_0035743-RA
ENSP00000262207	PMZ_0043779-RA
ENSP00000262207	PMZ_0032434-RA
ENSP00000262209	PMZ_0034042-RA
ENSP00000262209	PMZ_0027974-RA
ENSP00000262210	PMZ_0027965-RA
ENSP00000262210	PMZ_0033595-RA
ENSP00000262213	PMZ_0035473-RA
ENSP00000262215	PMZ_0043691-RA
ENSP00000262215	PMZ_0035712-RA
ENSP00000262219	PMZ_0040836-RA
ENSP00000262219	PMZ_0041879-RA
ENSP00000262225	PMZ_0041707-RA
ENSP00000262238	PMZ_0004016-RA
ENSP00000262238	PMZ_0030874-RA
ENSP00000262244	PMZ_0020415-RA
ENSP00000262244	PMZ_0037924-RA
ENSP00000262265	PMZ_0001192-RA
ENSP00000262265	PMZ_0033385-RA
ENSP00000262288	PMZ_0043330-RA
ENSP00000262291	PMZ_0007213-RA
ENSP00000262293	PMZ_0042848-RA
ENSP00000262294	PMZ_0042836-RA
ENSP00000262300	PMZ_0003268-RA
ENSP00000262301	PMZ_0012022-RA
ENSP00000262301	PMZ_0048268-RA
ENSP00000262302	PMZ_0038192-RA
ENSP00000262302	PMZ_0032949-RA
ENSP00000262304	PMZ_0032034-RA
ENSP00000262304	PMZ_0046419-RA
ENSP00000262315	PMZ_0026749-RA
ENSP00000262316	PMZ_0026828-RA
ENSP00000262316	PMZ_0033972-RA
ENSP00000262319	PMZ_0028912-RA
ENSP00000262320	PMZ_0043301-RA
ENSP00000262320	PMZ_0014770-RA
ENSP00000262340	PMZ_0033875-RA
ENSP00000262345	PMZ_0043896-RA
ENSP00000262352	PMZ_0043911-RA
ENSP00000262352	PMZ_0047481-RA
ENSP00000262365	PMZ_0034790-RA
ENSP00000262366	PMZ_0013642-RA
ENSP00000262367	PMZ_0012749-RA
ENSP00000262367	PMZ_0046805-RA
ENSP00000262374	PMZ_0030627-RA
ENSP00000262375	PMZ_0043299-RA
ENSP00000262384	PMZ_0032086-RA
ENSP00000262384	PMZ_0047120-RA
ENSP00000262394	PMZ_0006820-RA
ENSP00000262394	PMZ_0044002-RA
ENSP00000262395	PMZ_0047988-RA
ENSP00000262406	PMZ_0032702-RA
ENSP00000262406	PMZ_0007569-RA
ENSP00000262415	PMZ_0018710-RA
ENSP00000262415	PMZ_0036037-RA
ENSP00000262418	PMZ_0036449-RA
ENSP00000262419	PMZ_0008394-RA
ENSP00000262419	PMZ_0006662-RA
ENSP00000262424	PMZ_0049006-RA
ENSP00000262426	PMZ_0044538-RA
ENSP00000262426	PMZ_0039016-RA
ENSP00000262432	PMZ_0001843-RA
ENSP00000262435	PMZ_0011296-RA
ENSP00000262435	PMZ_0031277-RA
ENSP00000262442	PMZ_0018038-RA
ENSP00000262442	PMZ_0022342-RA
ENSP00000262445	PMZ_0015821-RA
ENSP00000262445	PMZ_0047914-RA
ENSP00000262450	PMZ_0020863-RA
ENSP00000262450	PMZ_0047899-RA
ENSP00000262455	PMZ_0038115-RA
ENSP00000262457	PMZ_0027294-RA
ENSP00000262460	PMZ_0009964-RA
ENSP00000262461	PMZ_0030538-RA
ENSP00000262461	PMZ_0027858-RA
ENSP00000262462	PMZ_0032899-RA
ENSP00000262477	PMZ_0015139-RA
ENSP00000262482	PMZ_0045600-RA
ENSP00000262487	PMZ_0013266-RA
ENSP00000262487	PMZ_0038841-RA
ENSP00000262494	PMZ_0042253-RA
ENSP00000262494	PMZ_0042254-RA
ENSP00000262498	PMZ_0026713-RA
ENSP00000262498	PMZ_0031383-RA
ENSP00000262507	PMZ_0042204-RA
ENSP00000262510	PMZ_0047706-RA
ENSP00000262518	PMZ_0008200-RA
ENSP00000262519	PMZ_0013991-RA
ENSP00000262525	PMZ_0028591-RA
ENSP00000262545	PMZ_0028847-RA
ENSP00000262547	PMZ_0029586-RA
ENSP00000262554	PMZ_0010207-RA
ENSP00000262577	PMZ_0032227-RA
ENSP00000262584	PMZ_0020286-RA
ENSP00000262585	PMZ_0031292-RA
ENSP00000262585	PMZ_0031368-RA
ENSP00000262608	PMZ_0041980-RA
ENSP00000262622	PMZ_0031445-RA
ENSP00000262622	PMZ_0003069-RA
ENSP00000262633	PMZ_0044564-RA
ENSP00000262640	PMZ_0018144-RA
ENSP00000262646	PMZ_0002252-RA
ENSP00000262646	PMZ_0044513-RA
ENSP00000262648	PMZ_0003434-RA
ENSP00000262650	PMZ_0037318-RA
ENSP00000262653	PMZ_0033485-RA
ENSP00000262653	PMZ_0037387-RA
ENSP00000262662	PMZ_0045488-RA
ENSP00000262715	PMZ_0027705-RA
ENSP00000262715	PMZ_0030421-RA
ENSP00000262719	PMZ_0048955-RA
ENSP00000262726	PMZ_0026429-RA
ENSP00000262731	PMZ_0041941-RA
ENSP00000262731	PMZ_0045258-RA
ENSP00000262738	PMZ_0043975-RA
ENSP00000262738	PMZ_0043974-RA
ENSP00000262741	PMZ_0014050-RA
ENSP00000262765	PMZ_0048226-RA
ENSP00000262765	PMZ_0041197-RA
ENSP00000262803	PMZ_0010731-RA
ENSP00000262809	PMZ_0033601-RA
ENSP00000262812	PMZ_0043207-RA
ENSP00000262839	PMZ_0019460-RA
ENSP00000262839	PMZ_0031321-RA
ENSP00000262844	PMZ_0034725-RA
ENSP00000262844	PMZ_0038291-RA
ENSP00000262848	PMZ_0033864-RA
ENSP00000262848	PMZ_0045588-RA
ENSP00000262865	PMZ_0045879-RA
ENSP00000262865	PMZ_0045880-RA
ENSP00000262866	PMZ_0001289-RA
ENSP00000262866	PMZ_0041084-RA
ENSP00000262873	PMZ_0031607-RA
ENSP00000262873	PMZ_0036036-RA
ENSP00000262878	PMZ_0027845-RA
ENSP00000262878	PMZ_0027051-RB
ENSP00000262879	PMZ_0014079-RA
ENSP00000262879	PMZ_0044514-RA
ENSP00000262887	PMZ_0003253-RA
ENSP00000262887	PMZ_0033814-RA
ENSP00000262891	PMZ_0019245-RA
ENSP00000262895	PMZ_0030075-RA
ENSP00000262895	PMZ_0045886-RA
ENSP00000262903	PMZ_0045548-RA
ENSP00000262903	PMZ_0035955-RA
ENSP00000262904	PMZ_0017731-RA
ENSP00000262915	PMZ_0021147-RA
ENSP00000262915	PMZ_0030216-RA
ENSP00000262916	PMZ_0037168-RA
ENSP00000262916	PMZ_0040435-RA
ENSP00000262919	PMZ_0041549-RA
ENSP00000262919	PMZ_0033838-RA
ENSP00000262942	PMZ_0040098-RA
ENSP00000262942	PMZ_0035522-RA
ENSP00000262947	PMZ_0045747-RA
ENSP00000262953	PMZ_0043192-RA
ENSP00000262960	PMZ_0006233-RA
ENSP00000262960	PMZ_0027868-RA
ENSP00000262962	PMZ_0041974-RA
ENSP00000262965	PMZ_0004843-RA
ENSP00000262982	PMZ_0011125-RA
ENSP00000262990	PMZ_0046329-RA
ENSP00000262995	PMZ_0022911-RA
ENSP00000262995	PMZ_0005444-RA
ENSP00000263026	PMZ_0029592-RA
ENSP00000263035	PMZ_0042117-RA
ENSP00000263038	PMZ_0032794-RA
ENSP00000263038	PMZ_0026360-RA
ENSP00000263056	PMZ_0001869-RA
ENSP00000263062	PMZ_0040359-RA
ENSP00000263062	PMZ_0044948-RA
ENSP00000263071	PMZ_0048002-RA
ENSP00000263073	PMZ_0042807-RA
ENSP00000263073	PMZ_0042811-RA
ENSP00000263080	PMZ_0013764-RA
ENSP00000263083	PMZ_0042780-RA
ENSP00000263083	PMZ_0042781-RA
ENSP00000263092	PMZ_0042825-RA
ENSP00000263092	PMZ_0045268-RA
ENSP00000263093	PMZ_0013074-RA
ENSP00000263097	PMZ_0044316-RA
ENSP00000263102	PMZ_0018166-RA
ENSP00000263116	PMZ_0041638-RA
ENSP00000263121	PMZ_0017788-RA
ENSP00000263125	PMZ_0045995-RA
ENSP00000263125	PMZ_0030594-RA
ENSP00000263160	PMZ_0006649-RA
ENSP00000263168	PMZ_0026924-RA
ENSP00000263177	PMZ_0029018-RA
ENSP00000263181	PMZ_0045683-RA
ENSP00000263181	PMZ_0037582-RA
ENSP00000263187	PMZ_0035465-RA
ENSP00000263196	PMZ_0011575-RA
ENSP00000263205	PMZ_0027160-RA
ENSP00000263233	PMZ_0045224-RA
ENSP00000263238	PMZ_0006843-RA
ENSP00000263238	PMZ_0016175-RA
ENSP00000263239	PMZ_0046265-RA
ENSP00000263253	PMZ_0035985-RA
ENSP00000263253	PMZ_0018775-RA
ENSP00000263256	PMZ_0042707-RA
ENSP00000263268	PMZ_0001847-RA
ENSP00000263269	PMZ_0043370-RA
ENSP00000263270	PMZ_0044143-RA
ENSP00000263270	PMZ_0046879-RA
ENSP00000263274	PMZ_0010624-RA
ENSP00000263274	PMZ_0047520-RA
ENSP00000263278	PMZ_0045494-RA
ENSP00000263278	PMZ_0012038-RA
ENSP00000263314	PMZ_0041688-RA
ENSP00000263317	PMZ_0036106-RA
ENSP00000263317	PMZ_0031542-RA
ENSP00000263321	PMZ_0035429-RA
ENSP00000263331	PMZ_0040752-RA
ENSP00000263341	PMZ_0045174-RA
ENSP00000263346	PMZ_0046630-RA
ENSP00000263360	PMZ_0044884-RA
ENSP00000263368	PMZ_0045062-RA
ENSP00000263368	PMZ_0042862-RA
ENSP00000263370	PMZ_0002240-RA
ENSP00000263370	PMZ_0042004-RA
ENSP00000263377	PMZ_0036696-RA
ENSP00000263377	PMZ_0031135-RA
ENSP00000263383	PMZ_0013357-RA
ENSP00000263384	PMZ_0001524-RA
ENSP00000263388	PMZ_0046958-RA
ENSP00000263390	PMZ_0037095-RA
ENSP00000263401	PMZ_0040231-RA
ENSP00000263409	PMZ_0010961-RA
ENSP00000263409	PMZ_0009548-RA
ENSP00000263413	PMZ_0045007-RA
ENSP00000263431	PMZ_0040048-RA
ENSP00000263461	PMZ_0033638-RA
ENSP00000263461	PMZ_0042539-RA
ENSP00000263512	PMZ_0031885-RA
ENSP00000263519	PMZ_0000650-RA
ENSP00000263519	PMZ_0033448-RA
ENSP00000263549	PMZ_0048040-RA
ENSP00000263549	PMZ_0031997-RA
ENSP00000263563	PMZ_0027102-RA
ENSP00000263574	PMZ_0038588-RA
ENSP00000263578	PMZ_0041595-RA
ENSP00000263579	PMZ_0046863-RA
ENSP00000263593	PMZ_0048133-RA
ENSP00000263593	PMZ_0046629-RA
ENSP00000263620	PMZ_0030361-RA
ENSP00000263635	PMZ_0030295-RA
ENSP00000263640	PMZ_0001720-RA
ENSP00000263640	PMZ_0010111-RA
ENSP00000263642	PMZ_0041385-RA
ENSP00000263642	PMZ_0037307-RA
ENSP00000263645	PMZ_0006648-RA
ENSP00000263645	PMZ_0047721-RA
ENSP00000263650	PMZ_0027058-RA
ENSP00000263655	PMZ_0042053-RA
ENSP00000263657	PMZ_0019571-RA
ENSP00000263663	PMZ_0041023-RA
ENSP00000263665	PMZ_0014019-RA
ENSP00000263665	PMZ_0030583-RA
ENSP00000263666	PMZ_0021730-RA
ENSP00000263666	PMZ_0011353-RA
ENSP00000263671	PMZ_0029814-RA
ENSP00000263672	PMZ_0029619-RA
ENSP00000263674	PMZ_0027471-RA
ENSP00000263674	PMZ_0031554-RA
ENSP00000263681	PMZ_0014534-RA
ENSP00000263688	PMZ_0031523-RA
ENSP00000263688	PMZ_0044718-RA
ENSP00000263694	PMZ_0047176-RA
ENSP00000263702	PMZ_0041589-RA
ENSP00000263702	PMZ_0030698-RA
ENSP00000263707	PMZ_0001855-RA
ENSP00000263708	PMZ_0026934-RA
ENSP00000263708	PMZ_0031214-RA
ENSP00000263710	PMZ_0040597-RA
ENSP00000263710	PMZ_0032049-RA
ENSP00000263713	PMZ_0028899-RA
ENSP00000263713	PMZ_0011517-RA
ENSP00000263726	PMZ_0036535-RA
ENSP00000263726	PMZ_0037361-RA
ENSP00000263733	PMZ_0046260-RA
ENSP00000263734	PMZ_0042568-RA
ENSP00000263736	PMZ_0047388-RA
ENSP00000263736	PMZ_0023793-RA
ENSP00000263753	PMZ_0046467-RA
ENSP00000263754	PMZ_0001568-RA
ENSP00000263773	PMZ_0033671-RA
ENSP00000263776	PMZ_0027169-RA
ENSP00000263776	PMZ_0047327-RA
ENSP00000263791	PMZ_0026425-RA
ENSP00000263791	PMZ_0034720-RA
ENSP00000263795	PMZ_0033013-RA
ENSP00000263798	PMZ_0044156-RA
ENSP00000263800	PMZ_0011894-RA
ENSP00000263800	PMZ_0048757-RA
ENSP00000263805	PMZ_0013308-RA
ENSP00000263816	PMZ_0026637-RA
ENSP00000263816	PMZ_0029232-RA
ENSP00000263817	PMZ_0026742-RA
ENSP00000263817	PMZ_0043508-RA
ENSP00000263847	PMZ_0027893-RA
ENSP00000263847	PMZ_0041659-RA
ENSP00000263849	PMZ_0046173-RA
ENSP00000263857	PMZ_0047286-RA
ENSP00000263857	PMZ_0048945-RA
ENSP00000263881	PMZ_0029508-RA
ENSP00000263881	PMZ_0026724-RA
ENSP00000263897	PMZ_0046062-RA
ENSP00000263915	PMZ_0043546-RA
ENSP00000263915	PMZ_0048049-RA
ENSP00000263923	PMZ_0026947-RA
ENSP00000263923	PMZ_0021133-RA
ENSP00000263925	PMZ_0043104-RA
ENSP00000263934	PMZ_0030201-RA
ENSP00000263934	PMZ_0044765-RA
ENSP00000263955	PMZ_0046468-RA
ENSP00000263956	PMZ_0015843-RA
ENSP00000263956	PMZ_0046532-RA
ENSP00000263960	PMZ_0040246-RA
ENSP00000263960	PMZ_0003107-RA
ENSP00000263966	PMZ_0044802-RA
ENSP00000263967	PMZ_0047938-RA
ENSP00000263974	PMZ_0035035-RA
ENSP00000263985	PMZ_0016407-RA
ENSP00000263991	PMZ_0028775-RA
ENSP00000263991	PMZ_0040786-RA
ENSP00000264010	PMZ_0020170-RA
ENSP00000264012	PMZ_0048206-RA
ENSP00000264018	PMZ_0016183-RA
ENSP00000264020	PMZ_0031966-RA
ENSP00000264025	PMZ_0044562-RA
ENSP00000264025	PMZ_0045945-RA
ENSP00000264027	PMZ_0011106-RA
ENSP00000264028	PMZ_0037468-RA
ENSP00000264028	PMZ_0037523-RA
ENSP00000264031	PMZ_0037021-RA
ENSP00000264031	PMZ_0046552-RA
ENSP00000264033	PMZ_0039364-RA
ENSP00000264036	PMZ_0014769-RA
ENSP00000264036	PMZ_0045949-RA
ENSP00000264042	PMZ_0029576-RA
ENSP00000264047	PMZ_0041156-RA
ENSP00000264047	PMZ_0033179-RA
ENSP00000264051	PMZ_0044830-RA
ENSP00000264051	PMZ_0029762-RA
ENSP00000264057	PMZ_0033632-RA
ENSP00000264057	PMZ_0029898-RA
ENSP00000264065	PMZ_0006147-RA
ENSP00000264071	PMZ_0035066-RA
ENSP00000264080	PMZ_0046159-RA
ENSP00000264094	PMZ_0041538-RA
ENSP00000264094	PMZ_0033937-RA
ENSP00000264108	PMZ_0015862-RA
ENSP00000264110	PMZ_0041856-RA
ENSP00000264110	PMZ_0045323-RA
ENSP00000264122	PMZ_0044624-RA
ENSP00000264122	PMZ_0031528-RA
ENSP00000264151	PMZ_0010380-RA
ENSP00000264156	PMZ_0044980-RA
ENSP00000264157	PMZ_0002798-RA
ENSP00000264159	PMZ_0006451-RA
ENSP00000264160	PMZ_0026201-RA
ENSP00000264160	PMZ_0033066-RA
ENSP00000264161	PMZ_0009265-RA
ENSP00000264162	PMZ_0003389-RA
ENSP00000264162	PMZ_0005143-RA
ENSP00000264167	PMZ_0041860-RA
ENSP00000264167	PMZ_0047267-RA
ENSP00000264170	PMZ_0001583-RA
ENSP00000264183	PMZ_0003003-RA
ENSP00000264183	PMZ_0003792-RA
ENSP00000264187	PMZ_0044159-RA
ENSP00000264187	PMZ_0042637-RA
ENSP00000264198	PMZ_0040142-RA
ENSP00000264198	PMZ_0034733-RA
ENSP00000264220	PMZ_0042944-RA
ENSP00000264228	PMZ_0046086-RA
ENSP00000264230	PMZ_0041473-RA
ENSP00000264231	PMZ_0045582-RA
ENSP00000264234	PMZ_0003256-RA
ENSP00000264234	PMZ_0044575-RA
ENSP00000264246	PMZ_0011496-RA
ENSP00000264249	PMZ_0037782-RA
ENSP00000264249	PMZ_0043167-RA
ENSP00000264254	PMZ_0009101-RA
ENSP00000264276	PMZ_0019519-RA
ENSP00000264276	PMZ_0026281-RA
ENSP00000264279	PMZ_0010047-RA
ENSP00000264313	PMZ_0010254-RA
ENSP00000264313	PMZ_0047590-RA
ENSP00000264316	PMZ_0048552-RA
ENSP00000264316	PMZ_0008524-RA
ENSP00000264318	PMZ_0033711-RA
ENSP00000264318	PMZ_0039225-RA
ENSP00000264335	PMZ_0041664-RA
ENSP00000264335	PMZ_0042799-RA
ENSP00000264344	PMZ_0033235-RA
ENSP00000264344	PMZ_0011708-RA
ENSP00000264357	PMZ_0040084-RA
