ENSPMAP00000002486	TriadP1002
ENSPMAP00000006238	TriadP28417
ENSPMAP00000007799	TriadP28417
ENSPMAP00000000068	TriadP28418
ENSPMAP00000005160	TriadP28425
ENSPMAP00000007076	TriadP28425
ENSPMAP00000007201	TriadP28438
ENSPMAP00000003736	TriadP28438
ENSPMAP00000001761	TriadP28445
ENSPMAP00000002254	TriadP28445
ENSPMAP00000010373	TriadP28445
ENSPMAP00000000840	TriadP28445
ENSPMAP00000001502	TriadP28470
ENSPMAP00000002485	TriadP28523
ENSPMAP00000003562	TriadP28523
ENSPMAP00000008515	TriadP28544
ENSPMAP00000007532	TriadP28544
ENSPMAP00000002424	TriadP28550
ENSPMAP00000000047	TriadP28558
ENSPMAP00000005178	TriadP28558
ENSPMAP00000000337	TriadP28558
ENSPMAP00000007784	TriadP28558
ENSPMAP00000004822	TriadP28568
ENSPMAP00000004202	TriadP28574
ENSPMAP00000010229	TriadP28582
ENSPMAP00000009046	TriadP28584
ENSPMAP00000003094	TriadP28584
ENSPMAP00000000561	TriadP28584
ENSPMAP00000003216	TriadP28587
ENSPMAP00000002901	TriadP28587
ENSPMAP00000008713	TriadP28587
ENSPMAP00000003422	TriadP28587
ENSPMAP00000006478	TriadP28601
ENSPMAP00000008375	TriadP28601
ENSPMAP00000010123	TriadP28601
ENSPMAP00000000926	TriadP28601
ENSPMAP00000008166	TriadP28605
ENSPMAP00000001333	TriadP28605
ENSPMAP00000004581	TriadP28606
ENSPMAP00000010490	TriadP28606
ENSPMAP00000001643	TriadP28618
ENSPMAP00000010691	TriadP28618
ENSPMAP00000000570	TriadP28629
ENSPMAP00000008134	TriadP28630
ENSPMAP00000010393	TriadP28636
ENSPMAP00000000622	TriadP28648
ENSPMAP00000007388	TriadP28654
ENSPMAP00000001678	TriadP28654
ENSPMAP00000004426	TriadP28658
ENSPMAP00000008132	TriadP28658
ENSPMAP00000005403	TriadP28658
ENSPMAP00000007351	TriadP28661
ENSPMAP00000006938	TriadP28661
ENSPMAP00000005583	TriadP28661
ENSPMAP00000010307	TriadP28663
ENSPMAP00000002700	TriadP28663
ENSPMAP00000006778	TriadP28663
ENSPMAP00000002053	TriadP28663
ENSPMAP00000010757	TriadP28664
ENSPMAP00000003426	TriadP28666
ENSPMAP00000009665	TriadP28666
ENSPMAP00000010599	TriadP28673
ENSPMAP00000006767	TriadP28679
ENSPMAP00000011253	TriadP28704
ENSPMAP00000006509	TriadP28704
ENSPMAP00000001917	TriadP28705
ENSPMAP00000008580	TriadP28707
ENSPMAP00000006373	TriadP28738
ENSPMAP00000008568	TriadP28748
ENSPMAP00000007990	TriadP28751
ENSPMAP00000004516	TriadP28751
ENSPMAP00000005329	TriadP28764
ENSPMAP00000003405	TriadP28772
ENSPMAP00000000973	TriadP28773
ENSPMAP00000010655	TriadP28773
ENSPMAP00000002020	TriadP28773
ENSPMAP00000001741	TriadP28793
ENSPMAP00000004090	TriadP28793
ENSPMAP00000002321	TriadP28793
ENSPMAP00000002322	TriadP28793
ENSPMAP00000006679	TriadP28797
ENSPMAP00000007798	TriadP28798
ENSPMAP00000009861	TriadP28801
ENSPMAP00000004779	TriadP28801
ENSPMAP00000007419	TriadP28803
ENSPMAP00000005884	TriadP28803
ENSPMAP00000008935	TriadP28803
ENSPMAP00000007330	TriadP28803
ENSPMAP00000005602	TriadP28806
ENSPMAP00000010337	TriadP28821
ENSPMAP00000001582	TriadP28822
ENSPMAP00000009683	TriadP28822
ENSPMAP00000009572	TriadP28844
ENSPMAP00000008617	TriadP28844
ENSPMAP00000005285	TriadP28844
ENSPMAP00000011274	TriadP28844
ENSPMAP00000002232	TriadP28863
ENSPMAP00000001169	TriadP28863
ENSPMAP00000007769	TriadP28870
ENSPMAP00000001773	TriadP28889
ENSPMAP00000001750	TriadP28894
ENSPMAP00000005824	TriadP28894
ENSPMAP00000010105	TriadP28894
ENSPMAP00000006911	TriadP28894
ENSPMAP00000001363	TriadP28921
ENSPMAP00000007523	TriadP28922
ENSPMAP00000000565	TriadP28926
ENSPMAP00000010520	TriadP28926
ENSPMAP00000008986	TriadP28926
ENSPMAP00000007828	TriadP28936
ENSPMAP00000005049	TriadP28955
ENSPMAP00000002285	TriadP28957
ENSPMAP00000010327	TriadP28963
ENSPMAP00000005188	TriadP28964
ENSPMAP00000007445	TriadP28964
ENSPMAP00000007053	TriadP28988
ENSPMAP00000001872	TriadP28988
ENSPMAP00000002815	TriadP28988
ENSPMAP00000002633	TriadP28988
ENSPMAP00000009979	TriadP28993
ENSPMAP00000004115	TriadP29035
ENSPMAP00000006676	TriadP29035
ENSPMAP00000008417	TriadP29035
ENSPMAP00000003710	TriadP29056
ENSPMAP00000002386	TriadP29062
ENSPMAP00000002251	TriadP29087
ENSPMAP00000010139	TriadP29105
ENSPMAP00000009686	TriadP29120
ENSPMAP00000001328	TriadP29129
ENSPMAP00000011295	TriadP29129
ENSPMAP00000000855	TriadP29141
ENSPMAP00000000571	TriadP29150
ENSPMAP00000003749	TriadP29150
ENSPMAP00000007992	TriadP29150
ENSPMAP00000010886	TriadP29150
ENSPMAP00000006193	TriadP29152
ENSPMAP00000009644	TriadP29154
ENSPMAP00000006930	TriadP29160
ENSPMAP00000004209	TriadP29177
ENSPMAP00000008234	TriadP29179
ENSPMAP00000009312	TriadP29181
ENSPMAP00000004531	TriadP29181
ENSPMAP00000007451	TriadP29198
ENSPMAP00000008352	TriadP29202
ENSPMAP00000009879	TriadP29202
ENSPMAP00000011311	TriadP29202
ENSPMAP00000010086	TriadP29227
ENSPMAP00000006058	TriadP29227
ENSPMAP00000007703	TriadP29232
ENSPMAP00000001256	TriadP29233
ENSPMAP00000009015	TriadP29258
ENSPMAP00000004222	TriadP29260
ENSPMAP00000008703	TriadP29260
ENSPMAP00000008023	TriadP29260
ENSPMAP00000010268	TriadP29260
ENSPMAP00000006050	TriadP29275
ENSPMAP00000005193	TriadP29280
ENSPMAP00000004674	TriadP29280
ENSPMAP00000009013	TriadP29280
ENSPMAP00000004784	TriadP29280
ENSPMAP00000009247	TriadP29304
ENSPMAP00000004002	TriadP29316
ENSPMAP00000001245	TriadP29316
ENSPMAP00000008293	TriadP29327
ENSPMAP00000005502	TriadP29352
ENSPMAP00000007484	TriadP29364
ENSPMAP00000000105	TriadP29402
ENSPMAP00000008114	TriadP29402
ENSPMAP00000003885	TriadP29408
ENSPMAP00000011395	TriadP29410
ENSPMAP00000011289	TriadP29410
ENSPMAP00000006754	TriadP29421
ENSPMAP00000005148	TriadP29421
ENSPMAP00000000294	TriadP29444
ENSPMAP00000002743	TriadP29444
ENSPMAP00000002751	TriadP29444
ENSPMAP00000004993	TriadP29474
ENSPMAP00000010340	TriadP29474
ENSPMAP00000010531	TriadP29505
ENSPMAP00000004997	TriadP29518
ENSPMAP00000000979	TriadP29583
ENSPMAP00000005970	TriadP29585
ENSPMAP00000010025	TriadP29585
ENSPMAP00000006173	TriadP29608
ENSPMAP00000002117	TriadP29667
ENSPMAP00000010425	TriadP29686
ENSPMAP00000011294	TriadP29696
ENSPMAP00000011152	TriadP29696
ENSPMAP00000010945	TriadP29696
ENSPMAP00000011402	TriadP29696
ENSPMAP00000003787	TriadP29700
ENSPMAP00000010287	TriadP29716
ENSPMAP00000003176	TriadP29738
ENSPMAP00000004395	TriadP29770
ENSPMAP00000010721	TriadP29799
ENSPMAP00000005150	TriadP29799
ENSPMAP00000009824	TriadP29799
ENSPMAP00000010849	TriadP29799
ENSPMAP00000006648	TriadP29808
ENSPMAP00000007230	TriadP29833
ENSPMAP00000003179	TriadP29852
ENSPMAP00000000957	TriadP29876
ENSPMAP00000002273	TriadP29914
ENSPMAP00000009627	TriadP29944
ENSPMAP00000000654	TriadP29944
ENSPMAP00000000115	TriadP29956
ENSPMAP00000009668	TriadP29956
ENSPMAP00000010537	TriadP29956
ENSPMAP00000000434	TriadP29967
ENSPMAP00000010445	TriadP29988
ENSPMAP00000007742	TriadP29988
ENSPMAP00000007747	TriadP29988
ENSPMAP00000005883	TriadP29988
ENSPMAP00000003121	TriadP29995
ENSPMAP00000003803	TriadP29995
ENSPMAP00000006036	TriadP30004
ENSPMAP00000009337	TriadP30004
ENSPMAP00000006902	TriadP30006
ENSPMAP00000006368	TriadP30016
ENSPMAP00000006310	TriadP30016
ENSPMAP00000006317	TriadP30016
ENSPMAP00000009806	TriadP30033
ENSPMAP00000011226	TriadP30033
ENSPMAP00000000210	TriadP30039
ENSPMAP00000002712	TriadP30039
ENSPMAP00000006290	TriadP30062
ENSPMAP00000010894	TriadP30062
ENSPMAP00000011032	TriadP30062
ENSPMAP00000010955	TriadP30062
ENSPMAP00000005312	TriadP30066
ENSPMAP00000000364	TriadP30066
ENSPMAP00000004276	TriadP30067
ENSPMAP00000003698	TriadP30067
ENSPMAP00000002446	TriadP30067
ENSPMAP00000000354	TriadP30067
ENSPMAP00000002956	TriadP30078
ENSPMAP00000002388	TriadP30078
ENSPMAP00000006828	TriadP30079
ENSPMAP00000003604	TriadP30079
ENSPMAP00000009659	TriadP30079
ENSPMAP00000006543	TriadP30079
ENSPMAP00000003608	TriadP30088
ENSPMAP00000001222	TriadP30088
ENSPMAP00000000314	TriadP30088
ENSPMAP00000002008	TriadP30088
ENSPMAP00000009921	TriadP30089
ENSPMAP00000001950	TriadP30089
ENSPMAP00000004617	TriadP30089
ENSPMAP00000008693	TriadP30089
ENSPMAP00000006662	TriadP30090
ENSPMAP00000007837	TriadP30090
ENSPMAP00000003013	TriadP30090
ENSPMAP00000002945	TriadP30095
ENSPMAP00000001193	TriadP30101
ENSPMAP00000005070	TriadP30101
ENSPMAP00000001816	TriadP30101
ENSPMAP00000000954	TriadP30101
ENSPMAP00000000438	TriadP30108
ENSPMAP00000001794	TriadP30117
ENSPMAP00000007366	TriadP30117
ENSPMAP00000010269	TriadP30118
ENSPMAP00000008823	TriadP30121
ENSPMAP00000003993	TriadP30121
ENSPMAP00000006037	TriadP30133
ENSPMAP00000008860	TriadP30133
ENSPMAP00000004148	TriadP30133
ENSPMAP00000000743	TriadP30137
ENSPMAP00000000728	TriadP30150
ENSPMAP00000004116	TriadP30150
ENSPMAP00000006313	TriadP30155
ENSPMAP00000002189	TriadP30166
ENSPMAP00000001805	TriadP30166
ENSPMAP00000005532	TriadP30170
ENSPMAP00000010042	TriadP30170
ENSPMAP00000008418	TriadP30170
ENSPMAP00000005066	TriadP30170
ENSPMAP00000005342	TriadP30173
ENSPMAP00000007129	TriadP30173
ENSPMAP00000003267	TriadP30173
ENSPMAP00000009978	TriadP30178
ENSPMAP00000006779	TriadP30182
ENSPMAP00000000365	TriadP30184
ENSPMAP00000005387	TriadP30191
ENSPMAP00000008731	TriadP30191
ENSPMAP00000003217	TriadP30191
ENSPMAP00000003568	TriadP30197
ENSPMAP00000009890	TriadP30197
ENSPMAP00000009443	TriadP30197
ENSPMAP00000005847	TriadP30199
ENSPMAP00000004520	TriadP30200
ENSPMAP00000000790	TriadP30208
ENSPMAP00000001873	TriadP30217
ENSPMAP00000008257	TriadP30218
ENSPMAP00000004070	TriadP30221
ENSPMAP00000004352	TriadP30221
ENSPMAP00000004381	TriadP30221
ENSPMAP00000002416	TriadP30221
ENSPMAP00000010517	TriadP30228
ENSPMAP00000004470	TriadP30228
ENSPMAP00000009120	TriadP30228
ENSPMAP00000001305	TriadP30232
ENSPMAP00000006386	TriadP30248
ENSPMAP00000004631	TriadP30263
ENSPMAP00000002811	TriadP30306
ENSPMAP00000010703	TriadP30306
ENSPMAP00000001593	TriadP30320
ENSPMAP00000006524	TriadP30320
ENSPMAP00000002098	TriadP30328
ENSPMAP00000008648	TriadP30335
ENSPMAP00000002788	TriadP30356
ENSPMAP00000004859	TriadP30356
ENSPMAP00000008470	TriadP30356
ENSPMAP00000002781	TriadP30356
ENSPMAP00000001886	TriadP30367
ENSPMAP00000007793	TriadP30370
ENSPMAP00000010868	TriadP30370
ENSPMAP00000001912	TriadP30370
ENSPMAP00000000451	TriadP30370
ENSPMAP00000009732	TriadP30386
ENSPMAP00000004795	TriadP30390
ENSPMAP00000004804	TriadP30390
ENSPMAP00000002072	TriadP30390
ENSPMAP00000003869	TriadP30390
ENSPMAP00000001141	TriadP30409
ENSPMAP00000006548	TriadP30409
ENSPMAP00000005161	TriadP30409
ENSPMAP00000010102	TriadP30409
ENSPMAP00000005394	TriadP30435
ENSPMAP00000003595	TriadP30458
ENSPMAP00000008308	TriadP30458
ENSPMAP00000004578	TriadP30458
ENSPMAP00000005924	TriadP30483
ENSPMAP00000004892	TriadP30486
ENSPMAP00000005407	TriadP30486
ENSPMAP00000003070	TriadP30505
ENSPMAP00000005446	TriadP30529
ENSPMAP00000008381	TriadP30529
ENSPMAP00000010879	TriadP30529
ENSPMAP00000010883	TriadP30529
ENSPMAP00000011201	TriadP30534
ENSPMAP00000011204	TriadP30534
ENSPMAP00000002884	TriadP30534
ENSPMAP00000000024	TriadP30536
ENSPMAP00000009770	TriadP30543
ENSPMAP00000008077	TriadP30550
ENSPMAP00000007752	TriadP30551
ENSPMAP00000006151	TriadP30557
ENSPMAP00000009426	TriadP30557
ENSPMAP00000004954	TriadP30575
ENSPMAP00000006739	TriadP30577
ENSPMAP00000008416	TriadP30578
ENSPMAP00000009920	TriadP30586
ENSPMAP00000006618	TriadP30592
ENSPMAP00000009288	TriadP30592
ENSPMAP00000006943	TriadP30594
ENSPMAP00000006481	TriadP30594
ENSPMAP00000008826	TriadP30594
ENSPMAP00000000178	TriadP30598
ENSPMAP00000004896	TriadP30602
ENSPMAP00000007772	TriadP30602
ENSPMAP00000003547	TriadP30605
ENSPMAP00000006732	TriadP30605
ENSPMAP00000008551	TriadP30624
ENSPMAP00000010724	TriadP30624
ENSPMAP00000002865	TriadP30624
ENSPMAP00000005263	TriadP30624
ENSPMAP00000000686	TriadP30625
ENSPMAP00000004861	TriadP30629
ENSPMAP00000006436	TriadP30632
ENSPMAP00000006677	TriadP30634
ENSPMAP00000004293	TriadP30639
ENSPMAP00000009906	TriadP30652
ENSPMAP00000008747	TriadP30653
ENSPMAP00000006184	TriadP30653
ENSPMAP00000006743	TriadP30653
ENSPMAP00000006323	TriadP30655
ENSPMAP00000008903	TriadP30655
ENSPMAP00000008936	TriadP30655
ENSPMAP00000009301	TriadP30655
ENSPMAP00000006856	TriadP30657
ENSPMAP00000004762	TriadP30677
ENSPMAP00000004548	TriadP30677
ENSPMAP00000002658	TriadP30677
ENSPMAP00000008227	TriadP30689
ENSPMAP00000007522	TriadP30689
ENSPMAP00000007870	TriadP30693
ENSPMAP00000001732	TriadP30723
ENSPMAP00000010360	TriadP30731
ENSPMAP00000010468	TriadP30731
ENSPMAP00000009249	TriadP30731
ENSPMAP00000004145	TriadP30731
ENSPMAP00000001832	TriadP30732
ENSPMAP00000009751	TriadP30752
ENSPMAP00000000495	TriadP30770
ENSPMAP00000001525	TriadP30777
ENSPMAP00000008719	TriadP30778
ENSPMAP00000002227	TriadP30782
ENSPMAP00000010164	TriadP30786
ENSPMAP00000006304	TriadP30786
ENSPMAP00000007707	TriadP30786
ENSPMAP00000009092	TriadP30786
ENSPMAP00000005504	TriadP30791
ENSPMAP00000003062	TriadP30804
ENSPMAP00000006126	TriadP30804
ENSPMAP00000010460	TriadP30804
ENSPMAP00000001709	TriadP30805
ENSPMAP00000008883	TriadP30808
ENSPMAP00000004987	TriadP30808
ENSPMAP00000000719	TriadP30823
ENSPMAP00000000230	TriadP30838
ENSPMAP00000005540	TriadP30838
ENSPMAP00000007361	TriadP30838
ENSPMAP00000009489	TriadP30838
ENSPMAP00000001993	TriadP30839
ENSPMAP00000010285	TriadP30870
ENSPMAP00000006334	TriadP30874
ENSPMAP00000002866	TriadP30877
ENSPMAP00000001563	TriadP30907
ENSPMAP00000008203	TriadP30908
ENSPMAP00000002178	TriadP30944
ENSPMAP00000004743	TriadP30944
ENSPMAP00000011185	TriadP30950
ENSPMAP00000002349	TriadP30951
ENSPMAP00000004321	TriadP30951
ENSPMAP00000008243	TriadP30960
ENSPMAP00000003838	TriadP30960
ENSPMAP00000005237	TriadP30968
ENSPMAP00000000892	TriadP30973
ENSPMAP00000004218	TriadP3098
ENSPMAP00000011417	TriadP3098
ENSPMAP00000010758	TriadP3098
ENSPMAP00000006937	TriadP3098
ENSPMAP00000002981	TriadP30981
ENSPMAP00000002689	TriadP30983
ENSPMAP00000000729	TriadP30987
ENSPMAP00000003542	TriadP30995
ENSPMAP00000009134	TriadP30995
ENSPMAP00000010210	TriadP30995
ENSPMAP00000001538	TriadP30995
ENSPMAP00000005743	TriadP31010
ENSPMAP00000002328	TriadP31020
ENSPMAP00000000039	TriadP31028
ENSPMAP00000007711	TriadP31047
ENSPMAP00000005094	TriadP31047
ENSPMAP00000006870	TriadP31047
ENSPMAP00000010366	TriadP31047
ENSPMAP00000000832	TriadP31058
ENSPMAP00000000518	TriadP31061
ENSPMAP00000006142	TriadP31063
ENSPMAP00000007831	TriadP31063
ENSPMAP00000001379	TriadP31063
ENSPMAP00000002885	TriadP31069
ENSPMAP00000010478	TriadP31072
ENSPMAP00000003601	TriadP31077
ENSPMAP00000007515	TriadP31077
ENSPMAP00000004883	TriadP31080
ENSPMAP00000010320	TriadP31080
ENSPMAP00000003110	TriadP31093
ENSPMAP00000003916	TriadP31093
ENSPMAP00000002923	TriadP31103
ENSPMAP00000003776	TriadP31104
ENSPMAP00000002167	TriadP31104
ENSPMAP00000008049	TriadP31104
ENSPMAP00000007433	TriadP31105
ENSPMAP00000000520	TriadP31105
ENSPMAP00000006454	TriadP31113
ENSPMAP00000004630	TriadP31114
ENSPMAP00000004105	TriadP31115
ENSPMAP00000005724	TriadP31115
ENSPMAP00000004823	TriadP31115
ENSPMAP00000009431	TriadP31115
ENSPMAP00000009485	TriadP31116
ENSPMAP00000007710	TriadP31132
ENSPMAP00000005034	TriadP31132
ENSPMAP00000008855	TriadP31139
ENSPMAP00000002062	TriadP31139
ENSPMAP00000002547	TriadP31139
ENSPMAP00000009339	TriadP31139
ENSPMAP00000009433	TriadP31147
ENSPMAP00000003832	TriadP31186
ENSPMAP00000010841	TriadP31193
ENSPMAP00000002584	TriadP31200
ENSPMAP00000007688	TriadP31200
ENSPMAP00000002940	TriadP31200
ENSPMAP00000002309	TriadP31200
ENSPMAP00000005506	TriadP31210
ENSPMAP00000007404	TriadP31210
ENSPMAP00000004318	TriadP31222
ENSPMAP00000011303	TriadP31240
ENSPMAP00000011309	TriadP31240
ENSPMAP00000008735	TriadP31248
ENSPMAP00000000204	TriadP31248
ENSPMAP00000002195	TriadP31248
ENSPMAP00000008689	TriadP31248
ENSPMAP00000001928	TriadP31258
ENSPMAP00000002582	TriadP31284
ENSPMAP00000010321	TriadP31284
ENSPMAP00000005295	TriadP31297
ENSPMAP00000003212	TriadP31298
ENSPMAP00000000031	TriadP31298
ENSPMAP00000000566	TriadP31298
ENSPMAP00000007168	TriadP31308
ENSPMAP00000009646	TriadP31311
ENSPMAP00000010825	TriadP31311
ENSPMAP00000009968	TriadP31319
ENSPMAP00000007904	TriadP31335
ENSPMAP00000002102	TriadP31338
ENSPMAP00000003674	TriadP31338
ENSPMAP00000004259	TriadP31338
ENSPMAP00000000582	TriadP31339
ENSPMAP00000010988	TriadP31346
ENSPMAP00000011132	TriadP31346
ENSPMAP00000000032	TriadP31347
ENSPMAP00000000718	TriadP31406
ENSPMAP00000000441	TriadP3141
ENSPMAP00000003617	TriadP31410
ENSPMAP00000007202	TriadP31445
ENSPMAP00000000744	TriadP31445
ENSPMAP00000009221	TriadP31481
ENSPMAP00000003699	TriadP31500
ENSPMAP00000005153	TriadP31500
ENSPMAP00000005225	TriadP31504
ENSPMAP00000007516	TriadP31504
ENSPMAP00000009196	TriadP31504
ENSPMAP00000007579	TriadP31511
ENSPMAP00000002984	TriadP31530
ENSPMAP00000000282	TriadP31533
ENSPMAP00000007258	TriadP3154
ENSPMAP00000001954	TriadP3154
ENSPMAP00000007698	TriadP3154
ENSPMAP00000010348	TriadP31577
ENSPMAP00000009903	TriadP31591
ENSPMAP00000003434	TriadP31591
ENSPMAP00000010352	TriadP31591
ENSPMAP00000007390	TriadP31599
ENSPMAP00000003496	TriadP31599
ENSPMAP00000001734	TriadP31624
ENSPMAP00000001878	TriadP31624
ENSPMAP00000001149	TriadP31628
ENSPMAP00000004814	TriadP31628
ENSPMAP00000011393	TriadP31628
ENSPMAP00000003609	TriadP31670
ENSPMAP00000006117	TriadP31670
ENSPMAP00000007143	TriadP31676
ENSPMAP00000001825	TriadP31681
ENSPMAP00000006861	TriadP31720
ENSPMAP00000007111	TriadP31721
ENSPMAP00000011137	TriadP31721
ENSPMAP00000003449	TriadP31729
ENSPMAP00000002355	TriadP31731
ENSPMAP00000007731	TriadP31746
ENSPMAP00000007601	TriadP31752
ENSPMAP00000006812	TriadP31791
ENSPMAP00000009513	TriadP31791
ENSPMAP00000007207	TriadP31807
ENSPMAP00000000515	TriadP31814
ENSPMAP00000005879	TriadP31828
ENSPMAP00000008861	TriadP31835
ENSPMAP00000000989	TriadP31835
ENSPMAP00000005956	TriadP31835
ENSPMAP00000010578	TriadP31849
ENSPMAP00000000662	TriadP31851
ENSPMAP00000000536	TriadP31873
ENSPMAP00000000049	TriadP31873
ENSPMAP00000009021	TriadP31888
ENSPMAP00000003506	TriadP31888
ENSPMAP00000001755	TriadP3190
ENSPMAP00000001050	TriadP3190
ENSPMAP00000009701	TriadP3190
ENSPMAP00000007299	TriadP3190
ENSPMAP00000001313	TriadP31903
ENSPMAP00000006076	TriadP31909
ENSPMAP00000009536	TriadP31911
ENSPMAP00000001344	TriadP31923
ENSPMAP00000009690	TriadP31932
ENSPMAP00000004660	TriadP31936
ENSPMAP00000007662	TriadP31943
ENSPMAP00000009055	TriadP31955
ENSPMAP00000002206	TriadP31987
ENSPMAP00000002894	TriadP32021
ENSPMAP00000007308	TriadP32049
ENSPMAP00000006613	TriadP32062
ENSPMAP00000005971	TriadP32073
ENSPMAP00000009936	TriadP32082
ENSPMAP00000006770	TriadP32082
ENSPMAP00000000298	TriadP32107
ENSPMAP00000008039	TriadP32107
ENSPMAP00000007331	TriadP32107
ENSPMAP00000005480	TriadP32107
ENSPMAP00000002722	TriadP32115
ENSPMAP00000004382	TriadP32120
ENSPMAP00000007198	TriadP32129
ENSPMAP00000002425	TriadP32131
ENSPMAP00000002249	TriadP32131
ENSPMAP00000003030	TriadP32175
ENSPMAP00000000777	TriadP3218
ENSPMAP00000000792	TriadP32198
ENSPMAP00000006653	TriadP32198
ENSPMAP00000002080	TriadP32203
ENSPMAP00000000142	TriadP32223
ENSPMAP00000002687	TriadP32223
ENSPMAP00000000384	TriadP32223
ENSPMAP00000000798	TriadP32223
ENSPMAP00000006091	TriadP32238
ENSPMAP00000008351	TriadP32264
ENSPMAP00000001377	TriadP32265
ENSPMAP00000001616	TriadP32265
ENSPMAP00000009682	TriadP32265
ENSPMAP00000006260	TriadP32287
ENSPMAP00000008687	TriadP32291
ENSPMAP00000001387	TriadP32318
ENSPMAP00000002840	TriadP32356
ENSPMAP00000010949	TriadP32356
ENSPMAP00000011111	TriadP32356
ENSPMAP00000011161	TriadP32356
ENSPMAP00000009706	TriadP32357
ENSPMAP00000005092	TriadP32362
ENSPMAP00000002629	TriadP32367
ENSPMAP00000009658	TriadP32367
ENSPMAP00000004506	TriadP32380
ENSPMAP00000007620	TriadP32380
ENSPMAP00000004167	TriadP32380
ENSPMAP00000007978	TriadP32391
ENSPMAP00000009609	TriadP32391
ENSPMAP00000001770	TriadP32391
ENSPMAP00000001148	TriadP32398
ENSPMAP00000008075	TriadP32414
ENSPMAP00000004032	TriadP32414
ENSPMAP00000001824	TriadP32414
ENSPMAP00000002825	TriadP32414
ENSPMAP00000006447	TriadP32445
ENSPMAP00000006280	TriadP32481
ENSPMAP00000001144	TriadP32481
ENSPMAP00000001371	TriadP32492
ENSPMAP00000003685	TriadP32494
ENSPMAP00000002911	TriadP32496
ENSPMAP00000005722	TriadP32497
ENSPMAP00000000968	TriadP32525
ENSPMAP00000002902	TriadP32527
ENSPMAP00000001162	TriadP32543
ENSPMAP00000003764	TriadP32548
ENSPMAP00000005321	TriadP32553
ENSPMAP00000003204	TriadP32564
ENSPMAP00000006916	TriadP32578
ENSPMAP00000005015	TriadP32584
ENSPMAP00000006992	TriadP32600
ENSPMAP00000010459	TriadP32600
ENSPMAP00000003163	TriadP32617
ENSPMAP00000002294	TriadP32638
ENSPMAP00000002983	TriadP32641
ENSPMAP00000004376	TriadP32645
ENSPMAP00000006838	TriadP32651
ENSPMAP00000008115	TriadP32656
ENSPMAP00000010869	TriadP32656
ENSPMAP00000000138	TriadP32656
ENSPMAP00000003008	TriadP32674
ENSPMAP00000003534	TriadP3271
ENSPMAP00000006399	TriadP3271
ENSPMAP00000010739	TriadP32725
ENSPMAP00000005717	TriadP32738
ENSPMAP00000005137	TriadP32769
ENSPMAP00000000671	TriadP32779
ENSPMAP00000008736	TriadP32779
ENSPMAP00000004152	TriadP32796
ENSPMAP00000008768	TriadP32798
ENSPMAP00000003168	TriadP32809
ENSPMAP00000003750	TriadP32809
ENSPMAP00000008403	TriadP32811
ENSPMAP00000003678	TriadP32815
ENSPMAP00000003162	TriadP32818
ENSPMAP00000009681	TriadP32825
ENSPMAP00000002996	TriadP32832
ENSPMAP00000008176	TriadP32834
ENSPMAP00000005979	TriadP32839
ENSPMAP00000006503	TriadP32844
ENSPMAP00000007686	TriadP32870
ENSPMAP00000004019	TriadP32887
ENSPMAP00000009853	TriadP32907
ENSPMAP00000006878	TriadP32942
ENSPMAP00000010213	TriadP32942
ENSPMAP00000000226	TriadP32942
ENSPMAP00000008829	TriadP32942
ENSPMAP00000003057	TriadP32945
ENSPMAP00000009277	TriadP32945
ENSPMAP00000009278	TriadP32954
ENSPMAP00000000675	TriadP32954
ENSPMAP00000001717	TriadP32954
ENSPMAP00000006874	TriadP32954
ENSPMAP00000004834	TriadP32965
ENSPMAP00000008319	TriadP32984
ENSPMAP00000001676	TriadP32990
ENSPMAP00000003665	TriadP33001
ENSPMAP00000010158	TriadP33013
ENSPMAP00000006954	TriadP33020
ENSPMAP00000006853	TriadP33034
ENSPMAP00000007496	TriadP33034
ENSPMAP00000009709	TriadP33038
ENSPMAP00000000251	TriadP33041
ENSPMAP00000000266	TriadP33042
ENSPMAP00000007476	TriadP33057
ENSPMAP00000000974	TriadP33057
ENSPMAP00000006520	TriadP33061
ENSPMAP00000009318	TriadP33067
ENSPMAP00000003761	TriadP33067
ENSPMAP00000010583	TriadP33096
ENSPMAP00000009766	TriadP33100
ENSPMAP00000010566	TriadP33100
ENSPMAP00000009086	TriadP33100
ENSPMAP00000007926	TriadP33115
ENSPMAP00000005701	TriadP33124
ENSPMAP00000000103	TriadP33154
ENSPMAP00000001790	TriadP33154
ENSPMAP00000010750	TriadP33157
ENSPMAP00000006067	TriadP33171
ENSPMAP00000002074	TriadP33180
ENSPMAP00000003546	TriadP33180
ENSPMAP00000004576	TriadP33180
ENSPMAP00000006384	TriadP33180
ENSPMAP00000008714	TriadP33189
ENSPMAP00000002468	TriadP33203
ENSPMAP00000001819	TriadP33212
ENSPMAP00000004582	TriadP33212
ENSPMAP00000007130	TriadP33235
ENSPMAP00000003271	TriadP33274
ENSPMAP00000010511	TriadP33282
ENSPMAP00000006905	TriadP33284
ENSPMAP00000008281	TriadP33286
ENSPMAP00000004082	TriadP33290
ENSPMAP00000001628	TriadP33290
ENSPMAP00000002146	TriadP33302
ENSPMAP00000003455	TriadP33302
ENSPMAP00000008071	TriadP33302
ENSPMAP00000003102	TriadP33326
ENSPMAP00000002590	TriadP33351
ENSPMAP00000002965	TriadP33370
ENSPMAP00000007251	TriadP33370
