SINCAM003135	ENSCAFP00000000001
SINCAM003666	ENSCAFP00000007869
SINCAM003668	ENSCAFP00000007872
SINCAM922186	ENSCAFP00000007873
SINCAM920905	ENSCAFP00000007875
SINCAM004994	ENSCAFP00000007876
SINCAM003669	ENSCAFP00000007884
SINCAM004995	ENSCAFP00000007885
SINCAM001524	ENSCAFP00000007888
SINCAM004507	ENSCAFP00000007899
SINCAM012517	ENSCAFP00000007900
SINCAM003941	ENSCAFP00000007903
SINCAM004999	ENSCAFP00000007907
SINCAM921333	ENSCAFP00000007909
SINCAM012518	ENSCAFP00000007911
SINCAM012519	ENSCAFP00000007912
SINCAM003940	ENSCAFP00000007913
SINCAM012520	ENSCAFP00000007914
SINCAM012523	ENSCAFP00000007917
SINCAM008161	ENSCAFP00000007921
SINCAM922136	ENSCAFP00000007926
SINCAM920902	ENSCAFP00000007927
SINCAM004506	ENSCAFP00000007928
SINCAM000113	ENSCAFP00000007929
SINCAM017263	ENSCAFP00000007935
SINCAM921332	ENSCAFP00000007936
SINCAM012524	ENSCAFP00000007937
SINCAM921331	ENSCAFP00000007942
SINCAM920901	ENSCAFP00000007943
SINCAM921330	ENSCAFP00000007947
SINCAM000116	ENSCAFP00000007949
SINCAM004998	ENSCAFP00000007950
SINCAM009716	ENSCAFP00000007955
SINCAM004502	ENSCAFP00000007957
SINCAM001522	ENSCAFP00000007958
SINCAM005455	ENSCAFP00000007960
SINCAM000398	ENSCAFP00000007964
SINCAM003670	ENSCAFP00000007969
SINCAM000117	ENSCAFP00000007971
SINCAM001520	ENSCAFP00000007974
SINCAM009743	ENSCAFP00000007977
SINCAM922980	ENSCAFP00000007982
SINCAM001636	ENSCAFP00000007987
SINCAM001519	ENSCAFP00000007990
SINCAM001518	ENSCAFP00000007992
SINCAM003672	ENSCAFP00000007995
SINCAM008187	ENSCAFP00000007996
SINCAM001516	ENSCAFP00000008001
SINCAM001515	ENSCAFP00000008003
SINCAM004055	ENSCAFP00000008007
SINCAM015106	ENSCAFP00000008008
SINCAM921242	ENSCAFP00000008009
SINCAM000135	ENSCAFP00000008013
SINCAM003673	ENSCAFP00000008016
SINCAM920752	ENSCAFP00000008019
SINCAM000315	ENSCAFP00000008021
SINCAM000317	ENSCAFP00000008030
SINCAM010988	ENSCAFP00000008031
SINCAM001637	ENSCAFP00000008039
SINCAM002201	ENSCAFP00000008041
SINCAM922329	ENSCAFP00000008044
SINCAM002202	ENSCAFP00000008046
SINCAM002203	ENSCAFP00000008048
SINCAM002204	ENSCAFP00000008049
SINCAM004914	ENSCAFP00000008052
SINCAM002205	ENSCAFP00000008053
SINCAM016909	ENSCAFP00000008055
SINCAM003676	ENSCAFP00000008061
SINCAM009742	ENSCAFP00000008067
SINCAM001758	ENSCAFP00000008070
SINCAM000838	ENSCAFP00000008078
SINCAM920544	ENSCAFP00000008080
SINCAM009353	ENSCAFP00000008081
SINCAM922110	ENSCAFP00000008083
SINCAM003593	ENSCAFP00000008093
SINCAM016190	ENSCAFP00000008096
SINCAM007444	ENSCAFP00000008098
SINCAM006390	ENSCAFP00000008103
SINCAM016348	ENSCAFP00000008108
SINCAM009729	ENSCAFP00000008109
SINCAM000882	ENSCAFP00000008128
SINCAM001761	ENSCAFP00000008129
SINCAM003595	ENSCAFP00000008130
SINCAM004501	ENSCAFP00000008132
SINCAM003598	ENSCAFP00000008136
SINCAM003599	ENSCAFP00000008138
SINCAM920431	ENSCAFP00000008141
SINCAM012525	ENSCAFP00000008144
SINCAM921328	ENSCAFP00000008147
SINCAM000881	ENSCAFP00000008152
SINCAM004008	ENSCAFP00000008154
SINCAM004499	ENSCAFP00000008155
SINCAM009730	ENSCAFP00000008162
SINCAM006389	ENSCAFP00000008166
SINCAM003600	ENSCAFP00000008171
SINCAM006388	ENSCAFP00000008184
SINCAM016214	ENSCAFP00000008190
SINCAM006385	ENSCAFP00000008193
SINCAM004498	ENSCAFP00000008195
SINCAM001954	ENSCAFP00000008197
SINCAM004006	ENSCAFP00000008198
SINCAM000070	ENSCAFP00000008202
SINCAM003766	ENSCAFP00000008203
SINCAM001953	ENSCAFP00000008207
SINCAM009734	ENSCAFP00000008211
SINCAM008543	ENSCAFP00000008215
SINCAM006384	ENSCAFP00000008225
SINCAM014148	ENSCAFP00000008228
SINCAM003767	ENSCAFP00000008234
SINCAM922808	ENSCAFP00000008237
SINCAM004497	ENSCAFP00000008240
SINCAM006382	ENSCAFP00000008245
SINCAM004005	ENSCAFP00000008246
SINCAM921325	ENSCAFP00000008247
SINCAM001568	ENSCAFP00000008248
SINCAM012527	ENSCAFP00000008251
SINCAM001570	ENSCAFP00000008252
SINCAM004593	ENSCAFP00000008257
SINCAM012529	ENSCAFP00000008259
SINCAM006381	ENSCAFP00000008260
SINCAM004929	ENSCAFP00000008269
SINCAM014291	ENSCAFP00000008270
SINCAM000086	ENSCAFP00000008272
SINCAM006380	ENSCAFP00000008273
SINCAM009848	ENSCAFP00000008275
SINCAM001573	ENSCAFP00000008276
SINCAM004928	ENSCAFP00000008278
SINCAM012532	ENSCAFP00000008280
SINCAM922194	ENSCAFP00000008283
SINCAM922195	ENSCAFP00000008284
SINCAM003772	ENSCAFP00000008285
SINCAM009868	ENSCAFP00000008290
SINCAM004927	ENSCAFP00000008295
SINCAM000306	ENSCAFP00000008312
SINCAM009907	ENSCAFP00000008315
SINCAM003774	ENSCAFP00000008321
SINCAM004924	ENSCAFP00000008323
SINCAM006379	ENSCAFP00000008325
SINCAM004591	ENSCAFP00000008328
SINCAM012564	ENSCAFP00000008329
SINCAM012563	ENSCAFP00000008333
SINCAM007021	ENSCAFP00000008335
SINCAM012562	ENSCAFP00000008338
SINCAM921396	ENSCAFP00000008343
SINCAM921395	ENSCAFP00000008347
SINCAM009639	ENSCAFP00000008349
SINCAM921198	ENSCAFP00000008350
SINCAM012561	ENSCAFP00000008357
SINCAM004921	ENSCAFP00000008359
SINCAM004920	ENSCAFP00000008361
SINCAM004589	ENSCAFP00000008365
SINCAM008477	ENSCAFP00000008373
SINCAM004919	ENSCAFP00000008375
SINCAM003777	ENSCAFP00000008376
SINCAM009640	ENSCAFP00000008377
SINCAM012243	ENSCAFP00000008385
SINCAM015147	ENSCAFP00000008389
SINCAM004916	ENSCAFP00000008390
SINCAM006378	ENSCAFP00000008392
SINCAM921394	ENSCAFP00000008396
SINCAM003636	ENSCAFP00000008399
SINCAM015119	ENSCAFP00000008401
SINCAM920722	ENSCAFP00000008402
SINCAM015356	ENSCAFP00000008409
SINCAM006376	ENSCAFP00000008410
SINCAM012560	ENSCAFP00000008411
SINCAM015114	ENSCAFP00000008416
SINCAM003910	ENSCAFP00000008417
SINCAM004912	ENSCAFP00000008420
SINCAM012494	ENSCAFP00000008421
SINCAM009423	ENSCAFP00000008426
SINCAM004588	ENSCAFP00000008429
SINCAM001576	ENSCAFP00000008435
SINCAM003913	ENSCAFP00000008437
SINCAM006372	ENSCAFP00000008441
SINCAM016468	ENSCAFP00000008442
SINCAM006367	ENSCAFP00000008448
SINCAM922181	ENSCAFP00000008453
SINCAM014267	ENSCAFP00000008454
SINCAM016469	ENSCAFP00000008457
SINCAM011032	ENSCAFP00000008458
SINCAM923050	ENSCAFP00000008460
SINCAM920721	ENSCAFP00000008464
SINCAM001181	ENSCAFP00000008465
SINCAM003916	ENSCAFP00000008466
SINCAM920720	ENSCAFP00000008470
SINCAM920968	ENSCAFP00000008475
SINCAM006366	ENSCAFP00000008476
SINCAM001950	ENSCAFP00000008477
SINCAM001577	ENSCAFP00000008483
SINCAM012512	ENSCAFP00000008493
SINCAM011033	ENSCAFP00000008494
SINCAM920719	ENSCAFP00000008496
SINCAM012511	ENSCAFP00000008499
SINCAM003918	ENSCAFP00000008503
SINCAM920966	ENSCAFP00000008504
SINCAM012510	ENSCAFP00000008507
SINCAM922347	ENSCAFP00000008511
SINCAM003919	ENSCAFP00000008513
SINCAM922729	ENSCAFP00000008517
SINCAM012509	ENSCAFP00000008518
SINCAM006375	ENSCAFP00000008519
SINCAM012507	ENSCAFP00000008522
SINCAM010040	ENSCAFP00000008523
SINCAM920965	ENSCAFP00000008526
SINCAM012506	ENSCAFP00000008527
SINCAM002640	ENSCAFP00000008529
SINCAM012505	ENSCAFP00000008530
SINCAM003577	ENSCAFP00000008531
SINCAM010042	ENSCAFP00000008533
SINCAM922183	ENSCAFP00000008546
SINCAM005675	ENSCAFP00000008548
SINCAM010047	ENSCAFP00000008549
SINCAM005674	ENSCAFP00000008550
SINCAM012582	ENSCAFP00000008551
SINCAM920718	ENSCAFP00000008556
SINCAM003514	ENSCAFP00000008562
SINCAM000322	ENSCAFP00000008563
SINCAM012583	ENSCAFP00000008564
SINCAM000114	ENSCAFP00000008566
SINCAM922821	ENSCAFP00000008567
SINCAM001947	ENSCAFP00000008570
SINCAM012585	ENSCAFP00000008571
SINCAM010050	ENSCAFP00000008572
SINCAM010051	ENSCAFP00000008573
SINCAM014272	ENSCAFP00000008577
SINCAM010053	ENSCAFP00000008579
SINCAM006836	ENSCAFP00000008580
SINCAM014275	ENSCAFP00000008581
SINCAM006364	ENSCAFP00000008582
SINCAM922806	ENSCAFP00000008583
SINCAM010054	ENSCAFP00000008586
SINCAM012587	ENSCAFP00000008588
SINCAM003500	ENSCAFP00000008605
SINCAM012588	ENSCAFP00000008608
SINCAM003493	ENSCAFP00000008609
SINCAM922321	ENSCAFP00000008611
SINCAM005672	ENSCAFP00000008612
SINCAM013378	ENSCAFP00000008613
SINCAM922322	ENSCAFP00000008615
SINCAM012590	ENSCAFP00000008625
SINCAM922190	ENSCAFP00000008627
SINCAM012551	ENSCAFP00000008629
SINCAM001945	ENSCAFP00000008630
SINCAM006363	ENSCAFP00000008631
SINCAM005671	ENSCAFP00000008632
SINCAM005670	ENSCAFP00000008633
SINCAM004586	ENSCAFP00000008642
SINCAM004013	ENSCAFP00000008644
SINCAM006362	ENSCAFP00000008647
SINCAM005668	ENSCAFP00000008657
SINCAM004012	ENSCAFP00000008658
SINCAM921546	ENSCAFP00000008664
SINCAM004583	ENSCAFP00000008667
SINCAM001944	ENSCAFP00000008672
SINCAM004584	ENSCAFP00000008673
SINCAM005772	ENSCAFP00000008674
SINCAM920986	ENSCAFP00000008676
SINCAM922179	ENSCAFP00000008677
SINCAM003492	ENSCAFP00000008679
SINCAM002192	ENSCAFP00000008681
SINCAM010060	ENSCAFP00000008682
SINCAM002191	ENSCAFP00000008685
SINCAM002189	ENSCAFP00000008687
SINCAM002188	ENSCAFP00000008690
SINCAM012490	ENSCAFP00000008691
SINCAM920985	ENSCAFP00000008695
SINCAM003920	ENSCAFP00000008698
SINCAM004582	ENSCAFP00000008702
SINCAM006761	ENSCAFP00000008703
SINCAM005767	ENSCAFP00000008704
SINCAM002187	ENSCAFP00000008705
SINCAM004011	ENSCAFP00000008716
SINCAM003491	ENSCAFP00000008717
SINCAM002186	ENSCAFP00000008722
SINCAM006760	ENSCAFP00000008737
SINCAM006762	ENSCAFP00000008738
SINCAM012498	ENSCAFP00000008742
SINCAM002185	ENSCAFP00000008750
SINCAM004577	ENSCAFP00000008753
SINCAM012489	ENSCAFP00000008754
SINCAM012488	ENSCAFP00000008755
SINCAM012487	ENSCAFP00000008757
SINCAM004575	ENSCAFP00000008759
SINCAM922371	ENSCAFP00000008760
SINCAM002184	ENSCAFP00000008761
SINCAM922370	ENSCAFP00000008767
SINCAM003490	ENSCAFP00000008768
SINCAM016703	ENSCAFP00000008769
SINCAM002183	ENSCAFP00000008773
SINCAM012486	ENSCAFP00000008777
SINCAM015124	ENSCAFP00000008778
SINCAM002182	ENSCAFP00000008780
SINCAM003489	ENSCAFP00000008782
SINCAM004574	ENSCAFP00000008783
SINCAM012485	ENSCAFP00000008784
SINCAM012484	ENSCAFP00000008786
SINCAM002181	ENSCAFP00000008787
SINCAM003488	ENSCAFP00000008790
SINCAM012559	ENSCAFP00000008791
SINCAM003890	ENSCAFP00000008792
SINCAM002180	ENSCAFP00000008793
SINCAM004745	ENSCAFP00000008795
SINCAM004061	ENSCAFP00000008797
SINCAM014281	ENSCAFP00000008798
SINCAM921205	ENSCAFP00000008804
SINCAM004060	ENSCAFP00000008812
SINCAM012497	ENSCAFP00000008814
SINCAM922366	ENSCAFP00000008815
SINCAM004062	ENSCAFP00000008817
SINCAM002179	ENSCAFP00000008818
SINCAM003485	ENSCAFP00000008820
SINCAM012549	ENSCAFP00000008821
SINCAM012548	ENSCAFP00000008824
SINCAM003907	ENSCAFP00000008826
SINCAM016725	ENSCAFP00000008827
SINCAM015350	ENSCAFP00000008828
SINCAM921391	ENSCAFP00000008831
SINCAM922367	ENSCAFP00000008834
SINCAM005766	ENSCAFP00000008839
SINCAM003483	ENSCAFP00000008843
SINCAM922365	ENSCAFP00000008845
SINCAM012501	ENSCAFP00000008848
SINCAM004573	ENSCAFP00000008853
SINCAM005763	ENSCAFP00000008858
SINCAM012500	ENSCAFP00000008859
SINCAM922016	ENSCAFP00000008861
SINCAM005762	ENSCAFP00000008864
SINCAM922191	ENSCAFP00000008866
SINCAM014734	ENSCAFP00000008868
SINCAM009643	ENSCAFP00000008870
SINCAM002178	ENSCAFP00000008873
SINCAM016152	ENSCAFP00000008876
SINCAM002177	ENSCAFP00000008880
SINCAM004570	ENSCAFP00000008881
SINCAM003512	ENSCAFP00000008888
SINCAM012594	ENSCAFP00000008891
SINCAM012595	ENSCAFP00000008897
SINCAM003698	ENSCAFP00000008898
SINCAM015353	ENSCAFP00000008899
SINCAM921185	ENSCAFP00000008901
SINCAM004903	ENSCAFP00000008903
SINCAM003511	ENSCAFP00000008904
SINCAM015120	ENSCAFP00000008907
SINCAM012596	ENSCAFP00000008908
SINCAM004902	ENSCAFP00000008910
SINCAM004900	ENSCAFP00000008915
SINCAM009646	ENSCAFP00000008923
SINCAM009647	ENSCAFP00000008925
SINCAM004899	ENSCAFP00000008926
SINCAM003700	ENSCAFP00000008927
SINCAM005761	ENSCAFP00000008928
SINCAM922192	ENSCAFP00000008929
SINCAM009648	ENSCAFP00000008934
SINCAM010878	ENSCAFP00000008938
SINCAM004898	ENSCAFP00000008939
SINCAM004897	ENSCAFP00000008944
SINCAM015110	ENSCAFP00000008945
SINCAM921296	ENSCAFP00000008947
SINCAM005757	ENSCAFP00000008953
SINCAM003701	ENSCAFP00000008954
SINCAM015109	ENSCAFP00000008961
SINCAM016674	ENSCAFP00000008963
SINCAM005756	ENSCAFP00000008964
SINCAM015108	ENSCAFP00000008965
SINCAM009652	ENSCAFP00000008971
SINCAM004896	ENSCAFP00000008980
SINCAM921390	ENSCAFP00000008984
SINCAM920970	ENSCAFP00000008985
SINCAM004895	ENSCAFP00000008986
SINCAM004308	ENSCAFP00000008988
SINCAM003702	ENSCAFP00000008989
SINCAM004894	ENSCAFP00000008994
SINCAM004310	ENSCAFP00000008996
SINCAM920626	ENSCAFP00000009003
SINCAM001780	ENSCAFP00000009006
SINCAM003510	ENSCAFP00000009007
SINCAM001779	ENSCAFP00000009010
SINCAM014282	ENSCAFP00000009012
SINCAM000205	ENSCAFP00000009013
SINCAM004461	ENSCAFP00000009014
SINCAM001778	ENSCAFP00000009017
SINCAM007830	ENSCAFP00000009018
SINCAM000387	ENSCAFP00000009022
SINCAM004459	ENSCAFP00000009027
SINCAM009654	ENSCAFP00000009030
SINCAM001777	ENSCAFP00000009031
SINCAM005684	ENSCAFP00000009033
SINCAM013385	ENSCAFP00000009038
SINCAM922193	ENSCAFP00000009039
SINCAM001775	ENSCAFP00000009041
SINCAM014321	ENSCAFP00000009050
SINCAM007255	ENSCAFP00000009051
SINCAM003509	ENSCAFP00000009052
SINCAM014352	ENSCAFP00000009069
SINCAM012600	ENSCAFP00000009078
SINCAM001772	ENSCAFP00000009079
SINCAM012601	ENSCAFP00000009084
SINCAM004458	ENSCAFP00000009088
SINCAM003508	ENSCAFP00000009092
SINCAM921837	ENSCAFP00000009096
SINCAM004457	ENSCAFP00000009098
SINCAM010252	ENSCAFP00000009100
SINCAM004427	ENSCAFP00000009106
SINCAM004425	ENSCAFP00000009116
SINCAM014971	ENSCAFP00000009118
SINCAM014353	ENSCAFP00000009124
SINCAM007724	ENSCAFP00000009126
SINCAM005686	ENSCAFP00000009132
SINCAM004423	ENSCAFP00000009134
SINCAM004422	ENSCAFP00000009138
SINCAM004888	ENSCAFP00000009139
SINCAM007722	ENSCAFP00000009144
SINCAM003501	ENSCAFP00000009146
SINCAM005687	ENSCAFP00000009149
SINCAM001921	ENSCAFP00000009160
SINCAM004417	ENSCAFP00000009161
SINCAM003502	ENSCAFP00000009165
SINCAM014946	ENSCAFP00000009167
SINCAM005688	ENSCAFP00000009168
SINCAM004887	ENSCAFP00000009179
SINCAM001917	ENSCAFP00000009185
SINCAM004886	ENSCAFP00000009188
SINCAM016682	ENSCAFP00000009189
SINCAM921885	ENSCAFP00000009190
SINCAM007721	ENSCAFP00000009191
SINCAM921463	ENSCAFP00000009198
SINCAM007636	ENSCAFP00000009201
SINCAM001916	ENSCAFP00000009204
SINCAM003503	ENSCAFP00000009205
SINCAM013752	ENSCAFP00000009209
SINCAM005691	ENSCAFP00000009210
SINCAM004885	ENSCAFP00000009212
SINCAM921827	ENSCAFP00000009217
SINCAM005692	ENSCAFP00000009219
SINCAM000722	ENSCAFP00000009222
SINCAM006213	ENSCAFP00000009227
SINCAM005693	ENSCAFP00000009230
SINCAM003505	ENSCAFP00000009234
SINCAM014296	ENSCAFP00000009235
SINCAM004415	ENSCAFP00000009237
SINCAM000721	ENSCAFP00000009238
SINCAM000720	ENSCAFP00000009240
SINCAM010228	ENSCAFP00000009242
SINCAM000737	ENSCAFP00000009243
SINCAM014298	ENSCAFP00000009244
SINCAM003405	ENSCAFP00000009247
SINCAM005543	ENSCAFP00000009251
SINCAM011384	ENSCAFP00000009258
SINCAM921389	ENSCAFP00000009265
SINCAM014247	ENSCAFP00000009269
SINCAM920946	ENSCAFP00000009272
SINCAM922520	ENSCAFP00000009276
SINCAM017408	ENSCAFP00000009282
SINCAM004882	ENSCAFP00000009283
SINCAM920528	ENSCAFP00000009287
SINCAM004883	ENSCAFP00000009291
SINCAM004880	ENSCAFP00000009301
SINCAM922306	ENSCAFP00000009306
SINCAM000782	ENSCAFP00000009308
SINCAM014030	ENSCAFP00000009309
SINCAM017386	ENSCAFP00000009316
SINCAM010224	ENSCAFP00000009326
SINCAM005539	ENSCAFP00000009329
SINCAM009774	ENSCAFP00000009332
SINCAM005538	ENSCAFP00000009333
SINCAM005537	ENSCAFP00000009334
SINCAM010226	ENSCAFP00000009335
SINCAM001915	ENSCAFP00000009337
SINCAM010279	ENSCAFP00000009343
SINCAM010280	ENSCAFP00000009344
SINCAM004878	ENSCAFP00000009346
SINCAM922305	ENSCAFP00000009352
SINCAM003627	ENSCAFP00000009357
SINCAM007637	ENSCAFP00000009363
SINCAM010213	ENSCAFP00000009369
SINCAM922363	ENSCAFP00000009370
SINCAM014699	ENSCAFP00000009380
SINCAM921340	ENSCAFP00000009381
SINCAM004521	ENSCAFP00000009382
SINCAM004874	ENSCAFP00000009388
SINCAM004875	ENSCAFP00000009391
SINCAM003623	ENSCAFP00000009394
SINCAM009653	ENSCAFP00000009401
SINCAM004523	ENSCAFP00000009415
SINCAM007638	ENSCAFP00000009417
SINCAM014342	ENSCAFP00000009421
SINCAM004870	ENSCAFP00000009422
SINCAM006215	ENSCAFP00000009423
SINCAM009965	ENSCAFP00000009426
SINCAM920759	ENSCAFP00000009440
SINCAM016134	ENSCAFP00000009445
SINCAM007726	ENSCAFP00000009449
SINCAM016135	ENSCAFP00000009452
SINCAM922836	ENSCAFP00000009453
SINCAM921172	ENSCAFP00000009463
SINCAM009966	ENSCAFP00000009468
SINCAM922834	ENSCAFP00000009475
SINCAM920942	ENSCAFP00000009476
SINCAM007610	ENSCAFP00000009478
SINCAM004869	ENSCAFP00000009481
SINCAM007332	ENSCAFP00000009483
SINCAM920499	ENSCAFP00000009484
SINCAM009968	ENSCAFP00000009491
SINCAM004525	ENSCAFP00000009494
SINCAM005534	ENSCAFP00000009500
SINCAM004526	ENSCAFP00000009502
SINCAM000112	ENSCAFP00000009503
SINCAM014196	ENSCAFP00000009509
SINCAM922765	ENSCAFP00000009511
SINCAM003620	ENSCAFP00000009512
SINCAM000739	ENSCAFP00000009513
SINCAM006098	ENSCAFP00000009528
SINCAM005530	ENSCAFP00000009533
SINCAM006099	ENSCAFP00000009539
SINCAM004867	ENSCAFP00000009540
SINCAM001894	ENSCAFP00000009541
SINCAM000111	ENSCAFP00000009544
SINCAM004333	ENSCAFP00000009546
SINCAM005529	ENSCAFP00000009548
SINCAM004866	ENSCAFP00000009549
SINCAM004865	ENSCAFP00000009553
SINCAM004864	ENSCAFP00000009557
SINCAM000740	ENSCAFP00000009559
SINCAM010928	ENSCAFP00000009562
SINCAM006100	ENSCAFP00000009565
SINCAM001891	ENSCAFP00000009566
SINCAM015469	ENSCAFP00000009571
SINCAM000741	ENSCAFP00000009572
SINCAM920704	ENSCAFP00000009573
SINCAM009820	ENSCAFP00000009576
SINCAM004334	ENSCAFP00000009579
SINCAM920941	ENSCAFP00000009589
SINCAM000715	ENSCAFP00000009593
SINCAM001892	ENSCAFP00000009594
SINCAM006102	ENSCAFP00000009599
SINCAM000716	ENSCAFP00000009607
SINCAM002242	ENSCAFP00000009608
SINCAM007609	ENSCAFP00000009610
SINCAM922124	ENSCAFP00000009612
SINCAM922125	ENSCAFP00000009613
SINCAM000717	ENSCAFP00000009616
SINCAM006236	ENSCAFP00000009618
SINCAM920524	ENSCAFP00000009620
SINCAM921445	ENSCAFP00000009621
SINCAM002241	ENSCAFP00000009622
SINCAM011513	ENSCAFP00000009625
SINCAM002240	ENSCAFP00000009626
SINCAM005525	ENSCAFP00000009628
SINCAM920531	ENSCAFP00000009629
SINCAM004428	ENSCAFP00000009630
SINCAM009659	ENSCAFP00000009633
SINCAM000109	ENSCAFP00000009638
SINCAM009660	ENSCAFP00000009640
SINCAM017246	ENSCAFP00000009642
SINCAM009663	ENSCAFP00000009645
SINCAM000118	ENSCAFP00000009647
SINCAM005629	ENSCAFP00000009649
SINCAM010200	ENSCAFP00000009651
SINCAM015342	ENSCAFP00000009652
SINCAM000243	ENSCAFP00000009658
SINCAM015343	ENSCAFP00000009659
SINCAM920760	ENSCAFP00000009662
SINCAM003617	ENSCAFP00000009664
SINCAM922341	ENSCAFP00000009667
SINCAM014229	ENSCAFP00000009678
SINCAM921444	ENSCAFP00000009679
SINCAM003616	ENSCAFP00000009681
SINCAM015592	ENSCAFP00000009685
SINCAM000884	ENSCAFP00000009689
SINCAM921136	ENSCAFP00000009692
SINCAM010215	ENSCAFP00000009693
SINCAM004430	ENSCAFP00000009695
SINCAM011558	ENSCAFP00000009697
SINCAM003848	ENSCAFP00000009699
SINCAM920542	ENSCAFP00000009702
SINCAM011508	ENSCAFP00000009709
SINCAM011510	ENSCAFP00000009710
SINCAM009664	ENSCAFP00000009713
SINCAM000719	ENSCAFP00000009714
SINCAM005524	ENSCAFP00000009717
SINCAM000814	ENSCAFP00000009719
SINCAM011488	ENSCAFP00000009721
SINCAM004434	ENSCAFP00000009724
SINCAM015346	ENSCAFP00000009726
SINCAM013687	ENSCAFP00000009728
SINCAM011489	ENSCAFP00000009729
SINCAM008121	ENSCAFP00000009732
SINCAM004860	ENSCAFP00000009735
SINCAM004765	ENSCAFP00000009736
SINCAM014230	ENSCAFP00000009742
SINCAM922355	ENSCAFP00000009746
SINCAM011536	ENSCAFP00000009748
SINCAM014068	ENSCAFP00000009750
SINCAM011495	ENSCAFP00000009751
SINCAM003847	ENSCAFP00000009752
SINCAM920940	ENSCAFP00000009753
SINCAM014743	ENSCAFP00000009756
SINCAM000813	ENSCAFP00000009758
SINCAM003845	ENSCAFP00000009759
SINCAM004858	ENSCAFP00000009760
SINCAM011521	ENSCAFP00000009761
SINCAM009668	ENSCAFP00000009762
SINCAM000816	ENSCAFP00000009772
SINCAM009669	ENSCAFP00000009775
SINCAM920938	ENSCAFP00000009776
SINCAM009670	ENSCAFP00000009784
SINCAM922215	ENSCAFP00000009790
SINCAM009671	ENSCAFP00000009792
SINCAM920937	ENSCAFP00000009794
SINCAM006035	ENSCAFP00000009798
SINCAM009672	ENSCAFP00000009803
SINCAM921026	ENSCAFP00000009806
SINCAM004857	ENSCAFP00000009813
SINCAM006934	ENSCAFP00000009816
SINCAM004057	ENSCAFP00000009817
SINCAM009673	ENSCAFP00000009819
SINCAM010142	ENSCAFP00000009823
SINCAM921584	ENSCAFP00000009824
SINCAM014379	ENSCAFP00000009828
SINCAM921383	ENSCAFP00000009829
SINCAM009674	ENSCAFP00000009830
SINCAM011514	ENSCAFP00000009831
SINCAM921382	ENSCAFP00000009838
SINCAM002429	ENSCAFP00000009842
SINCAM921381	ENSCAFP00000009849
SINCAM009953	ENSCAFP00000009850
SINCAM006929	ENSCAFP00000009853
SINCAM004855	ENSCAFP00000009855
SINCAM921443	ENSCAFP00000009861
SINCAM004854	ENSCAFP00000009862
SINCAM014076	ENSCAFP00000009868
SINCAM014080	ENSCAFP00000009882
SINCAM009366	ENSCAFP00000009883
SINCAM002428	ENSCAFP00000009885
SINCAM006926	ENSCAFP00000009888
SINCAM014082	ENSCAFP00000009890
SINCAM011580	ENSCAFP00000009894
SINCAM006925	ENSCAFP00000009895
SINCAM000175	ENSCAFP00000009896
SINCAM004853	ENSCAFP00000009897
SINCAM007037	ENSCAFP00000009900
SINCAM002023	ENSCAFP00000009907
SINCAM004850	ENSCAFP00000009911
SINCAM007606	ENSCAFP00000009913
SINCAM014084	ENSCAFP00000009915
SINCAM009675	ENSCAFP00000009920
SINCAM922408	ENSCAFP00000009921
SINCAM014085	ENSCAFP00000009922
SINCAM010139	ENSCAFP00000009924
SINCAM015930	ENSCAFP00000009932
SINCAM006711	ENSCAFP00000009935
SINCAM006039	ENSCAFP00000009942
SINCAM011661	ENSCAFP00000009944
SINCAM007605	ENSCAFP00000009954
SINCAM004849	ENSCAFP00000009958
SINCAM009676	ENSCAFP00000009959
SINCAM000828	ENSCAFP00000009960
SINCAM007604	ENSCAFP00000009963
SINCAM920436	ENSCAFP00000009964
SINCAM920435	ENSCAFP00000009967
SINCAM009677	ENSCAFP00000009972
SINCAM007038	ENSCAFP00000009973
SINCAM000071	ENSCAFP00000009975
SINCAM004848	ENSCAFP00000009979
SINCAM009678	ENSCAFP00000009981
SINCAM004847	ENSCAFP00000009982
SINCAM009388	ENSCAFP00000009991
SINCAM014088	ENSCAFP00000009995
SINCAM013972	ENSCAFP00000009996
SINCAM006038	ENSCAFP00000009998
SINCAM017645	ENSCAFP00000010001
SINCAM011660	ENSCAFP00000010002
SINCAM009389	ENSCAFP00000010007
SINCAM015504	ENSCAFP00000010008
SINCAM002521	ENSCAFP00000010009
SINCAM004845	ENSCAFP00000010012
SINCAM004841	ENSCAFP00000010018
SINCAM007603	ENSCAFP00000010020
SINCAM006042	ENSCAFP00000010022
SINCAM014090	ENSCAFP00000010024
SINCAM002522	ENSCAFP00000010033
SINCAM015155	ENSCAFP00000010035
SINCAM004844	ENSCAFP00000010037
SINCAM011659	ENSCAFP00000010038
SINCAM009680	ENSCAFP00000010056
SINCAM014407	ENSCAFP00000010060
SINCAM010277	ENSCAFP00000010063
SINCAM002523	ENSCAFP00000010064
SINCAM922412	ENSCAFP00000010065
SINCAM921380	ENSCAFP00000010069
SINCAM011985	ENSCAFP00000010070
SINCAM921379	ENSCAFP00000010073
SINCAM001300	ENSCAFP00000010076
SINCAM010764	ENSCAFP00000010078
SINCAM920963	ENSCAFP00000010084
SINCAM009391	ENSCAFP00000010085
SINCAM015157	ENSCAFP00000010087
SINCAM000566	ENSCAFP00000010088
SINCAM010609	ENSCAFP00000010091
