ENSMGAP00000000006	SINCAM000417
ENSMGAP00000004798	SINCAM920714
ENSMGAP00000004799	SINCAM013207
ENSMGAP00000004802	SINCAM008942
ENSMGAP00000004803	SINCAM007918
ENSMGAP00000004806	SINCAM013741
ENSMGAP00000004807	SINCAM008396
ENSMGAP00000004808	SINCAM010521
ENSMGAP00000004809	SINCAM012980
ENSMGAP00000004812	SINCAM008943
ENSMGAP00000004813	SINCAM012639
ENSMGAP00000004814	SINCAM010147
ENSMGAP00000004815	SINCAM003800
ENSMGAP00000004818	SINCAM009608
ENSMGAP00000004821	SINCAM920606
ENSMGAP00000004822	SINCAM012994
ENSMGAP00000004825	SINCAM010148
ENSMGAP00000004828	SINCAM006907
ENSMGAP00000004831	SINCAM013000
ENSMGAP00000004832	SINCAM007561
ENSMGAP00000004838	SINCAM014093
ENSMGAP00000004840	SINCAM001535
ENSMGAP00000004841	SINCAM008861
ENSMGAP00000004842	SINCAM012638
ENSMGAP00000004843	SINCAM920605
ENSMGAP00000004844	SINCAM922470
ENSMGAP00000004845	SINCAM010149
ENSMGAP00000004849	SINCAM011531
ENSMGAP00000004850	SINCAM007533
ENSMGAP00000004851	SINCAM008880
ENSMGAP00000004852	SINCAM001941
ENSMGAP00000004853	SINCAM010150
ENSMGAP00000004855	SINCAM007072
ENSMGAP00000004856	SINCAM922748
ENSMGAP00000004862	SINCAM007915
ENSMGAP00000004864	SINCAM010717
ENSMGAP00000004866	SINCAM013733
ENSMGAP00000004870	SINCAM922486
ENSMGAP00000004874	SINCAM008384
ENSMGAP00000004876	SINCAM010519
ENSMGAP00000004877	SINCAM009609
ENSMGAP00000004880	SINCAM007532
ENSMGAP00000004881	SINCAM007913
ENSMGAP00000004882	SINCAM007071
ENSMGAP00000004885	SINCAM006202
ENSMGAP00000004886	SINCAM921674
ENSMGAP00000004891	SINCAM008888
ENSMGAP00000004892	SINCAM007531
ENSMGAP00000004893	SINCAM007069
ENSMGAP00000004894	SINCAM001199
ENSMGAP00000004895	SINCAM001198
ENSMGAP00000004897	SINCAM011058
ENSMGAP00000004899	SINCAM005260
ENSMGAP00000004905	SINCAM920625
ENSMGAP00000004906	SINCAM008800
ENSMGAP00000004907	SINCAM006201
ENSMGAP00000004909	SINCAM001536
ENSMGAP00000004911	SINCAM010518
ENSMGAP00000004912	SINCAM013208
ENSMGAP00000004913	SINCAM000109
ENSMGAP00000004914	SINCAM006203
ENSMGAP00000004915	SINCAM009504
ENSMGAP00000004916	SINCAM009610
ENSMGAP00000004917	SINCAM001940
ENSMGAP00000004918	SINCAM010517
ENSMGAP00000004919	SINCAM003949
ENSMGAP00000004920	SINCAM007530
ENSMGAP00000004922	SINCAM003804
ENSMGAP00000004924	SINCAM921733
ENSMGAP00000004925	SINCAM010515
ENSMGAP00000004927	SINCAM001537
ENSMGAP00000004929	SINCAM921481
ENSMGAP00000004930	SINCAM013552
ENSMGAP00000004931	SINCAM001538
ENSMGAP00000004932	SINCAM005261
ENSMGAP00000004935	SINCAM900043
ENSMGAP00000004938	SINCAM011548
ENSMGAP00000004939	SINCAM004152
ENSMGAP00000004941	SINCAM007529
ENSMGAP00000004942	SINCAM003950
ENSMGAP00000004943	SINCAM008786
ENSMGAP00000004944	SINCAM009612
ENSMGAP00000004945	SINCAM000814
ENSMGAP00000004946	SINCAM013209
ENSMGAP00000004947	SINCAM016042
ENSMGAP00000004949	SINCAM001938
ENSMGAP00000004951	SINCAM010512
ENSMGAP00000004953	SINCAM014196
ENSMGAP00000004954	SINCAM004276
ENSMGAP00000004955	SINCAM920918
ENSMGAP00000004957	SINCAM000976
ENSMGAP00000004958	SINCAM005257
ENSMGAP00000004960	SINCAM008904
ENSMGAP00000004962	SINCAM007528
ENSMGAP00000004964	SINCAM010510
ENSMGAP00000004965	SINCAM001389
ENSMGAP00000004966	SINCAM007811
ENSMGAP00000004967	SINCAM010152
ENSMGAP00000004972	SINCAM921227
ENSMGAP00000004973	SINCAM010293
ENSMGAP00000004974	SINCAM013210
ENSMGAP00000004976	SINCAM011953
ENSMGAP00000004977	SINCAM012979
ENSMGAP00000004978	SINCAM007527
ENSMGAP00000004979	SINCAM008785
ENSMGAP00000004981	SINCAM001540
ENSMGAP00000004982	SINCAM922073
ENSMGAP00000004984	SINCAM013211
ENSMGAP00000004987	SINCAM013346
ENSMGAP00000004988	SINCAM000813
ENSMGAP00000004990	SINCAM922570
ENSMGAP00000004991	SINCAM921049
ENSMGAP00000004993	SINCAM007068
ENSMGAP00000004995	SINCAM007812
ENSMGAP00000004996	SINCAM009613
ENSMGAP00000004999	SINCAM005256
ENSMGAP00000005001	SINCAM921228
ENSMGAP00000005004	SINCAM011059
ENSMGAP00000005006	SINCAM013734
ENSMGAP00000005008	SINCAM922123
ENSMGAP00000005009	SINCAM012951
ENSMGAP00000005010	SINCAM014124
ENSMGAP00000005011	SINCAM922193
ENSMGAP00000005012	SINCAM000374
ENSMGAP00000005013	SINCAM012077
ENSMGAP00000005014	SINCAM011060
ENSMGAP00000005015	SINCAM001541
ENSMGAP00000005017	SINCAM012074
ENSMGAP00000005019	SINCAM921048
ENSMGAP00000005020	SINCAM012257
ENSMGAP00000005022	SINCAM007810
ENSMGAP00000005024	SINCAM008782
ENSMGAP00000005025	SINCAM001542
ENSMGAP00000005026	SINCAM000972
ENSMGAP00000005028	SINCAM004916
ENSMGAP00000005029	SINCAM922626
ENSMGAP00000005031	SINCAM012917
ENSMGAP00000005032	SINCAM005255
ENSMGAP00000005033	SINCAM011879
ENSMGAP00000005034	SINCAM922192
ENSMGAP00000005035	SINCAM008716
ENSMGAP00000005037	SINCAM007067
ENSMGAP00000005038	SINCAM000373
ENSMGAP00000005042	SINCAM010701
ENSMGAP00000005046	SINCAM922627
ENSMGAP00000005048	SINCAM922688
ENSMGAP00000005050	SINCAM010508
ENSMGAP00000005051	SINCAM006209
ENSMGAP00000005052	SINCAM013740
ENSMGAP00000005053	SINCAM922121
ENSMGAP00000005055	SINCAM007566
ENSMGAP00000005056	SINCAM005153
ENSMGAP00000005057	SINCAM009507
ENSMGAP00000005058	SINCAM006208
ENSMGAP00000005061	SINCAM006207
ENSMGAP00000005062	SINCAM001149
ENSMGAP00000005065	SINCAM003952
ENSMGAP00000005067	SINCAM922072
ENSMGAP00000005068	SINCAM013348
ENSMGAP00000005069	SINCAM011884
ENSMGAP00000005070	SINCAM009287
ENSMGAP00000005071	SINCAM001881
ENSMGAP00000005072	SINCAM013739
ENSMGAP00000005073	SINCAM920878
ENSMGAP00000005074	SINCAM007066
ENSMGAP00000005075	SINCAM922122
ENSMGAP00000005076	SINCAM012596
ENSMGAP00000005078	SINCAM011063
ENSMGAP00000005079	SINCAM001543
ENSMGAP00000005080	SINCAM006211
ENSMGAP00000005081	SINCAM008784
ENSMGAP00000005082	SINCAM009616
ENSMGAP00000005084	SINCAM010506
ENSMGAP00000005086	SINCAM012356
ENSMGAP00000005087	SINCAM009617
ENSMGAP00000005088	SINCAM007063
ENSMGAP00000005089	SINCAM010292
ENSMGAP00000005090	SINCAM013349
ENSMGAP00000005091	SINCAM000439
ENSMGAP00000005093	SINCAM007526
ENSMGAP00000005097	SINCAM003953
ENSMGAP00000005098	SINCAM015155
ENSMGAP00000005099	SINCAM006656
ENSMGAP00000005101	SINCAM005151
ENSMGAP00000005104	SINCAM011686
ENSMGAP00000005105	SINCAM012304
ENSMGAP00000005106	SINCAM921080
ENSMGAP00000005107	SINCAM012595
ENSMGAP00000005109	SINCAM012350
ENSMGAP00000005111	SINCAM015140
ENSMGAP00000005113	SINCAM014845
ENSMGAP00000005114	SINCAM922278
ENSMGAP00000005115	SINCAM920559
ENSMGAP00000005117	SINCAM003931
ENSMGAP00000005118	SINCAM921781
ENSMGAP00000005119	SINCAM010725
ENSMGAP00000005120	SINCAM003932
ENSMGAP00000005121	SINCAM010505
ENSMGAP00000005122	SINCAM000981
ENSMGAP00000005123	SINCAM008802
ENSMGAP00000005128	SINCAM012594
ENSMGAP00000005129	SINCAM012355
ENSMGAP00000005130	SINCAM013350
ENSMGAP00000005131	SINCAM011394
ENSMGAP00000005132	SINCAM010504
ENSMGAP00000005134	SINCAM900057
ENSMGAP00000005135	SINCAM006210
ENSMGAP00000005136	SINCAM921726
ENSMGAP00000005137	SINCAM010757
ENSMGAP00000005139	SINCAM010503
ENSMGAP00000005140	SINCAM010291
ENSMGAP00000005143	SINCAM011983
ENSMGAP00000005144	SINCAM920866
ENSMGAP00000005146	SINCAM005659
ENSMGAP00000005147	SINCAM014734
ENSMGAP00000005148	SINCAM007525
ENSMGAP00000005149	SINCAM013287
ENSMGAP00000005151	SINCAM015157
ENSMGAP00000005152	SINCAM012346
ENSMGAP00000005156	SINCAM010502
ENSMGAP00000005158	SINCAM003933
ENSMGAP00000005159	SINCAM012916
ENSMGAP00000005160	SINCAM016144
ENSMGAP00000005161	SINCAM006947
ENSMGAP00000005162	SINCAM000982
ENSMGAP00000005164	SINCAM007522
ENSMGAP00000005166	SINCAM922921
ENSMGAP00000005167	SINCAM922191
ENSMGAP00000005168	SINCAM009618
ENSMGAP00000005169	SINCAM003934
ENSMGAP00000005170	SINCAM012915
ENSMGAP00000005171	SINCAM005258
ENSMGAP00000005172	SINCAM013370
ENSMGAP00000005173	SINCAM010501
ENSMGAP00000005174	SINCAM003935
ENSMGAP00000005175	SINCAM921725
ENSMGAP00000005176	SINCAM012059
ENSMGAP00000005178	SINCAM007932
ENSMGAP00000005179	SINCAM015161
ENSMGAP00000005180	SINCAM000024
ENSMGAP00000005183	SINCAM000878
ENSMGAP00000005184	SINCAM014068
ENSMGAP00000005185	SINCAM006948
ENSMGAP00000005186	SINCAM012498
ENSMGAP00000005187	SINCAM013644
ENSMGAP00000005188	SINCAM001578
ENSMGAP00000005189	SINCAM900059
ENSMGAP00000005190	SINCAM008812
ENSMGAP00000005191	SINCAM006995
ENSMGAP00000005192	SINCAM013025
ENSMGAP00000005193	SINCAM000141
ENSMGAP00000005197	SINCAM001936
ENSMGAP00000005199	SINCAM004515
ENSMGAP00000005200	SINCAM922016
ENSMGAP00000005201	SINCAM007520
ENSMGAP00000005202	SINCAM009619
ENSMGAP00000005204	SINCAM010764
ENSMGAP00000005207	SINCAM012501
ENSMGAP00000005209	SINCAM011064
ENSMGAP00000005210	SINCAM000142
ENSMGAP00000005211	SINCAM012548
ENSMGAP00000005214	SINCAM003941
ENSMGAP00000005215	SINCAM010500
ENSMGAP00000005216	SINCAM011048
ENSMGAP00000005217	SINCAM920857
ENSMGAP00000005218	SINCAM003942
ENSMGAP00000005221	SINCAM922194
ENSMGAP00000005223	SINCAM007519
ENSMGAP00000005225	SINCAM900060
ENSMGAP00000005226	SINCAM001893
ENSMGAP00000005227	SINCAM013369
ENSMGAP00000005228	SINCAM000914
ENSMGAP00000005229	SINCAM006213
ENSMGAP00000005231	SINCAM015165
ENSMGAP00000005234	SINCAM012244
ENSMGAP00000005235	SINCAM011135
ENSMGAP00000005237	SINCAM000025
ENSMGAP00000005238	SINCAM010765
ENSMGAP00000005239	SINCAM005265
ENSMGAP00000005240	SINCAM002690
ENSMGAP00000005243	SINCAM000909
ENSMGAP00000005245	SINCAM013645
ENSMGAP00000005246	SINCAM005266
ENSMGAP00000005248	SINCAM011137
ENSMGAP00000005250	SINCAM922070
ENSMGAP00000005251	SINCAM012981
ENSMGAP00000005252	SINCAM900061
ENSMGAP00000005253	SINCAM000910
ENSMGAP00000005254	SINCAM009622
ENSMGAP00000005255	SINCAM014442
ENSMGAP00000005256	SINCAM001577
ENSMGAP00000005257	SINCAM012296
ENSMGAP00000005258	SINCAM013433
ENSMGAP00000005260	SINCAM003939
ENSMGAP00000005262	SINCAM003685
ENSMGAP00000005263	SINCAM001344
ENSMGAP00000005267	SINCAM012903
ENSMGAP00000005268	SINCAM922068
ENSMGAP00000005269	SINCAM008939
ENSMGAP00000005270	SINCAM922644
ENSMGAP00000005271	SINCAM000831
ENSMGAP00000005272	SINCAM012497
ENSMGAP00000005276	SINCAM015467
ENSMGAP00000005277	SINCAM922539
ENSMGAP00000005278	SINCAM008161
ENSMGAP00000005280	SINCAM010494
ENSMGAP00000005281	SINCAM008609
ENSMGAP00000005283	SINCAM921455
ENSMGAP00000005285	SINCAM920867
ENSMGAP00000005287	SINCAM007505
ENSMGAP00000005290	SINCAM015466
ENSMGAP00000005291	SINCAM011422
ENSMGAP00000005292	SINCAM011877
ENSMGAP00000005293	SINCAM003686
ENSMGAP00000005296	SINCAM010766
ENSMGAP00000005297	SINCAM012485
ENSMGAP00000005300	SINCAM922033
ENSMGAP00000005301	SINCAM007933
ENSMGAP00000005303	SINCAM922516
ENSMGAP00000005304	SINCAM015147
ENSMGAP00000005306	SINCAM009623
ENSMGAP00000005307	SINCAM922517
ENSMGAP00000005308	SINCAM012062
ENSMGAP00000005309	SINCAM013719
ENSMGAP00000005310	SINCAM010493
ENSMGAP00000005315	SINCAM921855
ENSMGAP00000005317	SINCAM005268
ENSMGAP00000005318	SINCAM014110
ENSMGAP00000005319	SINCAM000911
ENSMGAP00000005320	SINCAM010768
ENSMGAP00000005322	SINCAM012486
ENSMGAP00000005323	SINCAM007078
ENSMGAP00000005324	SINCAM008805
ENSMGAP00000005325	SINCAM010492
ENSMGAP00000005328	SINCAM921454
ENSMGAP00000005330	SINCAM012063
ENSMGAP00000005332	SINCAM008705
ENSMGAP00000005336	SINCAM900062
ENSMGAP00000005337	SINCAM009624
ENSMGAP00000005338	SINCAM010491
ENSMGAP00000005339	SINCAM921931
ENSMGAP00000005340	SINCAM011420
ENSMGAP00000005341	SINCAM005270
ENSMGAP00000005344	SINCAM009625
ENSMGAP00000005345	SINCAM010769
ENSMGAP00000005346	SINCAM920587
ENSMGAP00000005348	SINCAM921186
ENSMGAP00000005350	SINCAM000916
ENSMGAP00000005354	SINCAM007942
ENSMGAP00000005358	SINCAM001216
ENSMGAP00000005359	SINCAM009373
ENSMGAP00000005362	SINCAM001935
ENSMGAP00000005363	SINCAM005273
ENSMGAP00000005364	SINCAM012982
ENSMGAP00000005365	SINCAM013640
ENSMGAP00000005367	SINCAM921187
ENSMGAP00000005368	SINCAM001576
ENSMGAP00000005374	SINCAM006903
ENSMGAP00000005376	SINCAM921453
ENSMGAP00000005377	SINCAM010785
ENSMGAP00000005378	SINCAM922067
ENSMGAP00000005379	SINCAM013570
ENSMGAP00000005380	SINCAM001144
ENSMGAP00000005381	SINCAM011419
ENSMGAP00000005383	SINCAM009056
ENSMGAP00000005384	SINCAM012585
ENSMGAP00000005385	SINCAM007079
ENSMGAP00000005386	SINCAM007828
ENSMGAP00000005387	SINCAM010786
ENSMGAP00000005389	SINCAM922674
ENSMGAP00000005390	SINCAM921945
ENSMGAP00000005391	SINCAM015166
ENSMGAP00000005392	SINCAM010783
ENSMGAP00000005393	SINCAM006215
ENSMGAP00000005394	SINCAM922545
ENSMGAP00000005396	SINCAM922579
ENSMGAP00000005398	SINCAM010782
ENSMGAP00000005399	SINCAM920482
ENSMGAP00000005400	SINCAM003028
ENSMGAP00000005402	SINCAM010784
ENSMGAP00000005404	SINCAM900284
ENSMGAP00000005405	SINCAM010032
ENSMGAP00000005406	SINCAM012065
ENSMGAP00000005407	SINCAM012489
ENSMGAP00000005409	SINCAM001574
ENSMGAP00000005410	SINCAM007506
ENSMGAP00000005413	SINCAM000029
ENSMGAP00000005414	SINCAM012066
ENSMGAP00000005417	SINCAM013720
ENSMGAP00000005418	SINCAM013272
ENSMGAP00000005421	SINCAM922675
ENSMGAP00000005424	SINCAM000030
ENSMGAP00000005425	SINCAM009627
ENSMGAP00000005427	SINCAM015443
ENSMGAP00000005429	SINCAM922065
ENSMGAP00000005432	SINCAM007080
ENSMGAP00000005433	SINCAM012303
ENSMGAP00000005435	SINCAM013721
ENSMGAP00000005438	SINCAM900285
ENSMGAP00000005440	SINCAM001572
ENSMGAP00000005441	SINCAM005276
ENSMGAP00000005442	SINCAM007081
ENSMGAP00000005443	SINCAM007645
ENSMGAP00000005445	SINCAM007826
ENSMGAP00000005446	SINCAM000033
ENSMGAP00000005447	SINCAM922578
ENSMGAP00000005448	SINCAM922063
ENSMGAP00000005450	SINCAM900286
ENSMGAP00000005451	SINCAM009628
ENSMGAP00000005453	SINCAM012823
ENSMGAP00000005454	SINCAM007082
ENSMGAP00000005458	SINCAM002331
ENSMGAP00000005459	SINCAM012301
ENSMGAP00000005461	SINCAM012822
ENSMGAP00000005462	SINCAM921856
ENSMGAP00000005465	SINCAM011418
ENSMGAP00000005467	SINCAM000918
ENSMGAP00000005468	SINCAM012602
ENSMGAP00000005471	SINCAM013307
ENSMGAP00000005473	SINCAM922564
ENSMGAP00000005475	SINCAM012341
ENSMGAP00000005477	SINCAM009968
ENSMGAP00000005479	SINCAM012821
ENSMGAP00000005483	SINCAM008930
ENSMGAP00000005486	SINCAM010778
ENSMGAP00000005487	SINCAM006988
ENSMGAP00000005488	SINCAM007096
ENSMGAP00000005489	SINCAM001933
ENSMGAP00000005490	SINCAM007644
ENSMGAP00000005491	SINCAM008804
ENSMGAP00000005492	SINCAM012601
ENSMGAP00000005494	SINCAM001569
ENSMGAP00000005496	SINCAM002931
ENSMGAP00000005501	SINCAM007825
ENSMGAP00000005506	SINCAM015003
ENSMGAP00000005507	SINCAM001369
ENSMGAP00000005508	SINCAM007643
ENSMGAP00000005509	SINCAM006098
ENSMGAP00000005511	SINCAM000865
ENSMGAP00000005512	SINCAM012605
ENSMGAP00000005513	SINCAM006969
ENSMGAP00000005517	SINCAM007467
ENSMGAP00000005519	SINCAM007824
ENSMGAP00000005520	SINCAM922380
ENSMGAP00000005521	SINCAM009629
ENSMGAP00000005522	SINCAM010485
ENSMGAP00000005524	SINCAM000040
ENSMGAP00000005525	SINCAM921857
ENSMGAP00000005527	SINCAM922565
ENSMGAP00000005528	SINCAM003885
ENSMGAP00000005530	SINCAM010758
ENSMGAP00000005532	SINCAM008808
ENSMGAP00000005533	SINCAM010266
ENSMGAP00000005534	SINCAM005277
ENSMGAP00000005535	SINCAM010933
ENSMGAP00000005536	SINCAM922402
ENSMGAP00000005540	SINCAM922450
ENSMGAP00000005541	SINCAM009557
ENSMGAP00000005542	SINCAM012073
ENSMGAP00000005544	SINCAM921747
ENSMGAP00000005546	SINCAM012818
ENSMGAP00000005551	SINCAM011416
ENSMGAP00000005552	SINCAM900189
ENSMGAP00000005553	SINCAM009630
ENSMGAP00000005554	SINCAM011742
ENSMGAP00000005556	SINCAM008811
ENSMGAP00000005558	SINCAM007084
ENSMGAP00000005559	SINCAM013577
ENSMGAP00000005560	SINCAM007046
ENSMGAP00000005562	SINCAM922677
ENSMGAP00000005564	SINCAM000039
ENSMGAP00000005566	SINCAM009631
ENSMGAP00000005571	SINCAM014113
ENSMGAP00000005572	SINCAM010484
ENSMGAP00000005573	SINCAM000871
ENSMGAP00000005575	SINCAM012292
ENSMGAP00000005577	SINCAM007045
ENSMGAP00000005578	SINCAM012817
ENSMGAP00000005579	SINCAM900065
ENSMGAP00000005580	SINCAM003948
ENSMGAP00000005581	SINCAM009360
ENSMGAP00000005584	SINCAM008776
ENSMGAP00000005585	SINCAM009632
ENSMGAP00000005586	SINCAM900190
ENSMGAP00000005588	SINCAM922676
ENSMGAP00000005589	SINCAM005142
ENSMGAP00000005592	SINCAM000038
ENSMGAP00000005594	SINCAM012291
ENSMGAP00000005595	SINCAM922318
ENSMGAP00000005596	SINCAM007823
ENSMGAP00000005598	SINCAM920652
ENSMGAP00000005599	SINCAM008934
ENSMGAP00000005600	SINCAM008777
ENSMGAP00000005601	SINCAM010265
ENSMGAP00000005602	SINCAM007822
ENSMGAP00000005604	SINCAM003057
ENSMGAP00000005605	SINCAM009633
ENSMGAP00000005606	SINCAM921748
ENSMGAP00000005608	SINCAM007821
ENSMGAP00000005609	SINCAM922263
ENSMGAP00000005610	SINCAM008778
ENSMGAP00000005611	SINCAM010482
ENSMGAP00000005613	SINCAM922678
ENSMGAP00000005615	SINCAM002675
ENSMGAP00000005616	SINCAM011415
ENSMGAP00000005618	SINCAM007044
ENSMGAP00000005619	SINCAM010298
ENSMGAP00000005623	SINCAM005279
ENSMGAP00000005625	SINCAM010938
ENSMGAP00000005626	SINCAM001932
ENSMGAP00000005627	SINCAM007656
ENSMGAP00000005634	SINCAM003947
ENSMGAP00000005635	SINCAM007043
ENSMGAP00000005636	SINCAM012815
ENSMGAP00000005637	SINCAM922179
ENSMGAP00000005638	SINCAM005280
ENSMGAP00000005640	SINCAM012813
ENSMGAP00000005641	SINCAM001931
ENSMGAP00000005642	SINCAM000429
ENSMGAP00000005644	SINCAM007652
ENSMGAP00000005645	SINCAM922180
ENSMGAP00000005647	SINCAM010481
ENSMGAP00000005649	SINCAM014745
ENSMGAP00000005651	SINCAM011872
ENSMGAP00000005654	SINCAM010319
ENSMGAP00000005655	SINCAM900184
ENSMGAP00000005656	SINCAM009634
ENSMGAP00000005660	SINCAM012040
ENSMGAP00000005662	SINCAM012322
ENSMGAP00000005664	SINCAM005408
ENSMGAP00000005665	SINCAM000133
ENSMGAP00000005667	SINCAM000945
ENSMGAP00000005668	SINCAM011871
ENSMGAP00000005669	SINCAM007820
ENSMGAP00000005672	SINCAM900069
ENSMGAP00000005673	SINCAM007737
ENSMGAP00000005675	SINCAM000969
ENSMGAP00000005677	SINCAM001930
ENSMGAP00000005679	SINCAM000428
ENSMGAP00000005680	SINCAM900072
ENSMGAP00000005681	SINCAM008799
ENSMGAP00000005682	SINCAM000962
ENSMGAP00000005683	SINCAM007049
ENSMGAP00000005685	SINCAM920711
ENSMGAP00000005686	SINCAM013788
ENSMGAP00000005687	SINCAM012841
ENSMGAP00000005689	SINCAM006100
ENSMGAP00000005691	SINCAM009635
ENSMGAP00000005694	SINCAM001927
ENSMGAP00000005695	SINCAM900070
ENSMGAP00000005697	SINCAM012744
ENSMGAP00000005698	SINCAM922186
ENSMGAP00000005699	SINCAM921753
ENSMGAP00000005701	SINCAM921724
ENSMGAP00000005702	SINCAM003976
ENSMGAP00000005704	SINCAM011870
ENSMGAP00000005705	SINCAM010320
ENSMGAP00000005706	SINCAM000963
ENSMGAP00000005707	SINCAM012289
ENSMGAP00000005708	SINCAM012518
ENSMGAP00000005709	SINCAM900071
ENSMGAP00000005710	SINCAM007736
ENSMGAP00000005716	SINCAM007658
ENSMGAP00000005717	SINCAM007030
ENSMGAP00000005718	SINCAM011413
ENSMGAP00000005719	SINCAM010951
ENSMGAP00000005722	SINCAM008946
ENSMGAP00000005723	SINCAM001466
ENSMGAP00000005724	SINCAM013581
ENSMGAP00000005725	SINCAM001637
ENSMGAP00000005726	SINCAM009963
ENSMGAP00000005727	SINCAM007271
ENSMGAP00000005728	SINCAM011746
ENSMGAP00000005729	SINCAM000943
ENSMGAP00000005730	SINCAM000958
ENSMGAP00000005734	SINCAM011412
ENSMGAP00000005735	SINCAM005282
ENSMGAP00000005736	SINCAM001636
ENSMGAP00000005737	SINCAM921723
ENSMGAP00000005743	SINCAM012519
ENSMGAP00000005744	SINCAM000957
ENSMGAP00000005747	SINCAM005284
ENSMGAP00000005748	SINCAM000960
ENSMGAP00000005750	SINCAM001292
ENSMGAP00000005751	SINCAM012522
ENSMGAP00000005754	SINCAM001634
ENSMGAP00000005755	SINCAM010910
ENSMGAP00000005758	SINCAM000077
ENSMGAP00000005759	SINCAM012764
ENSMGAP00000005761	SINCAM013786
ENSMGAP00000005764	SINCAM013582
ENSMGAP00000005768	SINCAM011411
ENSMGAP00000005769	SINCAM922264
ENSMGAP00000005770	SINCAM006102
ENSMGAP00000005772	SINCAM001926
ENSMGAP00000005773	SINCAM009961
ENSMGAP00000005775	SINCAM010322
ENSMGAP00000005776	SINCAM013785
ENSMGAP00000005777	SINCAM008773
ENSMGAP00000005778	SINCAM012336
ENSMGAP00000005779	SINCAM921485
ENSMGAP00000005780	SINCAM001925
ENSMGAP00000005782	SINCAM005285
ENSMGAP00000005783	SINCAM011868
ENSMGAP00000005785	SINCAM011051
ENSMGAP00000005787	SINCAM012524
ENSMGAP00000005790	SINCAM005286
ENSMGAP00000005791	SINCAM012829
ENSMGAP00000005793	SINCAM010324
ENSMGAP00000005794	SINCAM001633
ENSMGAP00000005795	SINCAM921930
ENSMGAP00000005796	SINCAM013583
ENSMGAP00000005797	SINCAM000953
ENSMGAP00000005798	SINCAM920710
ENSMGAP00000005799	SINCAM923021
ENSMGAP00000005800	SINCAM012564
ENSMGAP00000005802	SINCAM007660
ENSMGAP00000005803	SINCAM009992
ENSMGAP00000005804	SINCAM010325
ENSMGAP00000005805	SINCAM011052
ENSMGAP00000005806	SINCAM920959
ENSMGAP00000005807	SINCAM921929
ENSMGAP00000005808	SINCAM923114
ENSMGAP00000005809	SINCAM001923
ENSMGAP00000005811	SINCAM001632
ENSMGAP00000005817	SINCAM008947
ENSMGAP00000005819	SINCAM008701
ENSMGAP00000005820	SINCAM010558
ENSMGAP00000005821	SINCAM003975
ENSMGAP00000005822	SINCAM000331
ENSMGAP00000005826	SINCAM006104
ENSMGAP00000005832	SINCAM001070
ENSMGAP00000005833	SINCAM010953
ENSMGAP00000005834	SINCAM016147
ENSMGAP00000005836	SINCAM012294
ENSMGAP00000005837	SINCAM007661
ENSMGAP00000005838	SINCAM013585
ENSMGAP00000005840	SINCAM005287
ENSMGAP00000005842	SINCAM012136
ENSMGAP00000005844	SINCAM008949
ENSMGAP00000005846	SINCAM922265
ENSMGAP00000005847	SINCAM922679
ENSMGAP00000005849	SINCAM007967
ENSMGAP00000005852	SINCAM920634
ENSMGAP00000005853	SINCAM004075
ENSMGAP00000005854	SINCAM921928
ENSMGAP00000005855	SINCAM000332
ENSMGAP00000005858	SINCAM007970
ENSMGAP00000005859	SINCAM920479
ENSMGAP00000005860	SINCAM001631
ENSMGAP00000005861	SINCAM013587
ENSMGAP00000005862	SINCAM002928
ENSMGAP00000005863	SINCAM015078
ENSMGAP00000005864	SINCAM921927
ENSMGAP00000005866	SINCAM001353
ENSMGAP00000005867	SINCAM007663
ENSMGAP00000005868	SINCAM008706
ENSMGAP00000005871	SINCAM922734
ENSMGAP00000005872	SINCAM009448
ENSMGAP00000005874	SINCAM005289
ENSMGAP00000005877	SINCAM004833
ENSMGAP00000005879	SINCAM015079
ENSMGAP00000005880	SINCAM008918
ENSMGAP00000005881	SINCAM007971
ENSMGAP00000005883	SINCAM008670
ENSMGAP00000005885	SINCAM001352
ENSMGAP00000005888	SINCAM011526
ENSMGAP00000005889	SINCAM013588
ENSMGAP00000005890	SINCAM010956
ENSMGAP00000005891	SINCAM900075
ENSMGAP00000005893	SINCAM922535
ENSMGAP00000005895	SINCAM010326
ENSMGAP00000005898	SINCAM003888
ENSMGAP00000005900	SINCAM011053
ENSMGAP00000005901	SINCAM009310
ENSMGAP00000005903	SINCAM005291
ENSMGAP00000005906	SINCAM009068
ENSMGAP00000005907	SINCAM007664
ENSMGAP00000005911	SINCAM006107
ENSMGAP00000005912	SINCAM008913
ENSMGAP00000005913	SINCAM008671
ENSMGAP00000005914	SINCAM900076
ENSMGAP00000005915	SINCAM011525
ENSMGAP00000005916	SINCAM010203
ENSMGAP00000005921	SINCAM009272
ENSMGAP00000005922	SINCAM010959
ENSMGAP00000005926	SINCAM010330
ENSMGAP00000005927	SINCAM010557
ENSMGAP00000005928	SINCAM012525
ENSMGAP00000005932	SINCAM014911
ENSMGAP00000005936	SINCAM007973
ENSMGAP00000005937	SINCAM010331
ENSMGAP00000005938	SINCAM010960
ENSMGAP00000005940	SINCAM003516
ENSMGAP00000005942	SINCAM015080
ENSMGAP00000005943	SINCAM007682
ENSMGAP00000005944	SINCAM010961
ENSMGAP00000005948	SINCAM011523
ENSMGAP00000005949	SINCAM900077
ENSMGAP00000005950	SINCAM921528
