fgenesh2_pg.scaffold_351000043	ENSLOCP00000006075
estExt_fgenesh2_pg.C_1400090	ENSLOCP00000017175
estExt_fgenesh2_pg.C_1400090	ENSLOCP00000002443
estExt_fgenesh2_pg.C_1400090	ENSLOCP00000010114
estExt_fgenesh2_pg.C_1400098	ENSLOCP00000016896
estExt_fgenesh2_pg.C_1410004	ENSLOCP00000012832
estExt_fgenesh2_pg.C_1410004	ENSLOCP00000018835
estExt_fgenesh2_pg.C_1410005	ENSLOCP00000008193
estExt_fgenesh2_pg.C_1410007	ENSLOCP00000003833
estExt_fgenesh2_pg.C_1410011	ENSLOCP00000012559
estExt_fgenesh2_pg.C_1410016	ENSLOCP00000019905
estExt_fgenesh2_pg.C_1410018	ENSLOCP00000003654
estExt_fgenesh2_pg.C_1410026	ENSLOCP00000006951
estExt_fgenesh2_pg.C_1410061	ENSLOCP00000020831
estExt_fgenesh2_pg.C_1410070	ENSLOCP00000013502
estExt_fgenesh2_pg.C_1410099	ENSLOCP00000021544
estExt_fgenesh2_pg.C_1410099	ENSLOCP00000011113
estExt_fgenesh2_pg.C_1410100	ENSLOCP00000004487
estExt_fgenesh2_pg.C_1420032	ENSLOCP00000001245
estExt_fgenesh2_pg.C_1420053	ENSLOCP00000008832
estExt_fgenesh2_pg.C_1420060	ENSLOCP00000009867
estExt_fgenesh2_pg.C_1420073	ENSLOCP00000009011
estExt_fgenesh2_pg.C_1420073	ENSLOCP00000011538
estExt_fgenesh2_pg.C_1420083	ENSLOCP00000012289
estExt_fgenesh2_pg.C_1420084	ENSLOCP00000014742
estExt_fgenesh2_pg.C_1430013	ENSLOCP00000012087
estExt_fgenesh2_pg.C_1430013	ENSLOCP00000018485
estExt_fgenesh2_pg.C_1430014	ENSLOCP00000018486
estExt_fgenesh2_pg.C_1430017	ENSLOCP00000017412
estExt_fgenesh2_pg.C_1430017	ENSLOCP00000015025
estExt_fgenesh2_pg.C_1430023	ENSLOCP00000018857
estExt_fgenesh2_pg.C_1430027	ENSLOCP00000001587
estExt_fgenesh2_pg.C_1430030	ENSLOCP00000014955
estExt_fgenesh2_pg.C_1430032	ENSLOCP00000006948
estExt_fgenesh2_pg.C_1430033	ENSLOCP00000001341
estExt_fgenesh2_pg.C_1430046	ENSLOCP00000015206
estExt_fgenesh2_pg.C_1430048	ENSLOCP00000010994
estExt_fgenesh2_pg.C_1430055	ENSLOCP00000019003
estExt_fgenesh2_pg.C_1430058	ENSLOCP00000012464
estExt_fgenesh2_pg.C_1430058	ENSLOCP00000011471
estExt_fgenesh2_pg.C_1440036	ENSLOCP00000012183
estExt_fgenesh2_pg.C_1440038	ENSLOCP00000012172
estExt_fgenesh2_pg.C_1440038	ENSLOCP00000012450
estExt_fgenesh2_pg.C_1440048	ENSLOCP00000001571
estExt_fgenesh2_pg.C_1440053	ENSLOCP00000005012
estExt_fgenesh2_pg.C_1440059	ENSLOCP00000005622
estExt_fgenesh2_pg.C_1440059	ENSLOCP00000005302
estExt_fgenesh2_pg.C_1450008	ENSLOCP00000021029
estExt_fgenesh2_pg.C_1450012	ENSLOCP00000005511
estExt_fgenesh2_pg.C_1450016	ENSLOCP00000005501
estExt_fgenesh2_pg.C_1450019	ENSLOCP00000005466
estExt_fgenesh2_pg.C_1450021	ENSLOCP00000005415
estExt_fgenesh2_pg.C_1450034	ENSLOCP00000011507
estExt_fgenesh2_pg.C_1450035	ENSLOCP00000011992
estExt_fgenesh2_pg.C_1450035	ENSLOCP00000018567
estExt_fgenesh2_pg.C_1450038	ENSLOCP00000017383
estExt_fgenesh2_pg.C_1450039	ENSLOCP00000006505
estExt_fgenesh2_pg.C_1450039	ENSLOCP00000017795
estExt_fgenesh2_pg.C_1450040	ENSLOCP00000002369
estExt_fgenesh2_pg.C_1450040	ENSLOCP00000017764
estExt_fgenesh2_pg.C_1450042	ENSLOCP00000016301
estExt_fgenesh2_pg.C_1450051	ENSLOCP00000017096
estExt_fgenesh2_pg.C_1450052	ENSLOCP00000014942
estExt_fgenesh2_pg.C_1450053	ENSLOCP00000010065
estExt_fgenesh2_pg.C_1450053	ENSLOCP00000002283
estExt_fgenesh2_pg.C_1450059	ENSLOCP00000014189
estExt_fgenesh2_pg.C_1450063	ENSLOCP00000017684
estExt_fgenesh2_pg.C_1450082	ENSLOCP00000012955
estExt_fgenesh2_pg.C_1450082	ENSLOCP00000009920
estExt_fgenesh2_pg.C_1450082	ENSLOCP00000017759
estExt_fgenesh2_pg.C_1450097	ENSLOCP00000007676
estExt_fgenesh2_pg.C_1450100	ENSLOCP00000002538
estExt_fgenesh2_pg.C_1450101	ENSLOCP00000017922
estExt_fgenesh2_pg.C_1460006	ENSLOCP00000021767
estExt_fgenesh2_pg.C_1460007	ENSLOCP00000006594
estExt_fgenesh2_pg.C_1460010	ENSLOCP00000020580
estExt_fgenesh2_pg.C_1460016	ENSLOCP00000018117
estExt_fgenesh2_pg.C_1460020	ENSLOCP00000015788
estExt_fgenesh2_pg.C_1460027	ENSLOCP00000005846
estExt_fgenesh2_pg.C_1460030	ENSLOCP00000014169
estExt_fgenesh2_pg.C_1460030	ENSLOCP00000006807
estExt_fgenesh2_pg.C_1460030	ENSLOCP00000009059
estExt_fgenesh2_pg.C_1460045	ENSLOCP00000009545
estExt_fgenesh2_pg.C_1460050	ENSLOCP00000010929
estExt_fgenesh2_pg.C_1460054	ENSLOCP00000018600
estExt_fgenesh2_pg.C_1460060	ENSLOCP00000007653
estExt_fgenesh2_pg.C_1460068	ENSLOCP00000015736
estExt_fgenesh2_pg.C_1460068	ENSLOCP00000007955
estExt_fgenesh2_pg.C_1460071	ENSLOCP00000001479
estExt_fgenesh2_pg.C_1460075	ENSLOCP00000020006
estExt_fgenesh2_pg.C_1460086	ENSLOCP00000001567
estExt_fgenesh2_pg.C_1460087	ENSLOCP00000005487
estExt_fgenesh2_pg.C_1460089	ENSLOCP00000015707
estExt_fgenesh2_pg.C_1460090	ENSLOCP00000006306
estExt_fgenesh2_pg.C_1460105	ENSLOCP00000007746
estExt_fgenesh2_pg.C_1460106	ENSLOCP00000005309
estExt_fgenesh2_pg.C_1470011	ENSLOCP00000020943
estExt_fgenesh2_pg.C_1470017	ENSLOCP00000009922
estExt_fgenesh2_pg.C_1470037	ENSLOCP00000004136
estExt_fgenesh2_pg.C_1470038	ENSLOCP00000021542
estExt_fgenesh2_pg.C_1470054	ENSLOCP00000002975
estExt_fgenesh2_pg.C_1470054	ENSLOCP00000003018
estExt_fgenesh2_pg.C_1470055	ENSLOCP00000003276
estExt_fgenesh2_pg.C_1470070	ENSLOCP00000019061
estExt_fgenesh2_pg.C_1470074	ENSLOCP00000002563
estExt_fgenesh2_pg.C_1470089	ENSLOCP00000002825
estExt_fgenesh2_pg.C_1470094	ENSLOCP00000020565
estExt_fgenesh2_pg.C_1470094	ENSLOCP00000020636
estExt_fgenesh2_pg.C_1480029	ENSLOCP00000009315
estExt_fgenesh2_pg.C_1480041	ENSLOCP00000000497
estExt_fgenesh2_pg.C_1480041	ENSLOCP00000005315
estExt_fgenesh2_pg.C_1480044	ENSLOCP00000002194
estExt_fgenesh2_pg.C_1480047	ENSLOCP00000004486
estExt_fgenesh2_pg.C_1480049	ENSLOCP00000018102
estExt_fgenesh2_pg.C_1480052	ENSLOCP00000006089
estExt_fgenesh2_pg.C_1480059	ENSLOCP00000007361
estExt_fgenesh2_pg.C_1480059	ENSLOCP00000013226
estExt_fgenesh2_pg.C_1480059	ENSLOCP00000018127
estExt_fgenesh2_pg.C_1480059	ENSLOCP00000002711
estExt_fgenesh2_pg.C_1480070	ENSLOCP00000006849
estExt_fgenesh2_pg.C_1490006	ENSLOCP00000001593
estExt_fgenesh2_pg.C_1490022	ENSLOCP00000020310
estExt_fgenesh2_pg.C_1490024	ENSLOCP00000014899
estExt_fgenesh2_pg.C_1490034	ENSLOCP00000010959
estExt_fgenesh2_pg.C_1490042	ENSLOCP00000006166
estExt_fgenesh2_pg.C_1490044	ENSLOCP00000010769
estExt_fgenesh2_pg.C_1490046	ENSLOCP00000011732
estExt_fgenesh2_pg.C_1490081	ENSLOCP00000003413
estExt_fgenesh2_pg.C_1490081	ENSLOCP00000017728
estExt_fgenesh2_pg.C_1490081	ENSLOCP00000010194
estExt_fgenesh2_pg.C_1490082	ENSLOCP00000017513
estExt_fgenesh2_pg.C_1490084	ENSLOCP00000007461
estExt_fgenesh2_pg.C_1490090	ENSLOCP00000014421
estExt_fgenesh2_pg.C_1490092	ENSLOCP00000001659
estExt_fgenesh2_pg.C_1490096	ENSLOCP00000000585
estExt_fgenesh2_pg.C_1490102	ENSLOCP00000022090
estExt_fgenesh2_pg.C_1500021	ENSLOCP00000008412
estExt_fgenesh2_pg.C_1500023	ENSLOCP00000017449
estExt_fgenesh2_pg.C_1500028	ENSLOCP00000007806
estExt_fgenesh2_pg.C_1500028	ENSLOCP00000015110
estExt_fgenesh2_pg.C_1500058	ENSLOCP00000007829
estExt_fgenesh2_pg.C_1500059	ENSLOCP00000007636
estExt_fgenesh2_pg.C_1500089	ENSLOCP00000003345
estExt_fgenesh2_pg.C_1500089	ENSLOCP00000008298
estExt_fgenesh2_pg.C_1500110	ENSLOCP00000016133
estExt_fgenesh2_pg.C_1510013	ENSLOCP00000019501
estExt_fgenesh2_pg.C_1510048	ENSLOCP00000019268
estExt_fgenesh2_pg.C_1510049	ENSLOCP00000017015
estExt_fgenesh2_pg.C_1510056	ENSLOCP00000012488
estExt_fgenesh2_pg.C_1510067	ENSLOCP00000012539
estExt_fgenesh2_pg.C_1510097	ENSLOCP00000018834
estExt_fgenesh2_pg.C_1520013	ENSLOCP00000004158
estExt_fgenesh2_pg.C_1520024	ENSLOCP00000005019
estExt_fgenesh2_pg.C_1520026	ENSLOCP00000009622
estExt_fgenesh2_pg.C_1520078	ENSLOCP00000004226
estExt_fgenesh2_pg.C_1520078	ENSLOCP00000005055
estExt_fgenesh2_pg.C_1520082	ENSLOCP00000020334
estExt_fgenesh2_pg.C_1520084	ENSLOCP00000002529
estExt_fgenesh2_pg.C_1520084	ENSLOCP00000002501
estExt_fgenesh2_pg.C_1520092	ENSLOCP00000002721
estExt_fgenesh2_pg.C_1520096	ENSLOCP00000008194
estExt_fgenesh2_pg.C_1520101	ENSLOCP00000018089
estExt_fgenesh2_pg.C_1520103	ENSLOCP00000011721
estExt_fgenesh2_pg.C_1530027	ENSLOCP00000001730
estExt_fgenesh2_pg.C_1530049	ENSLOCP00000002320
estExt_fgenesh2_pg.C_1530064	ENSLOCP00000016698
estExt_fgenesh2_pg.C_1530064	ENSLOCP00000006995
estExt_fgenesh2_pg.C_1530075	ENSLOCP00000018708
estExt_fgenesh2_pg.C_1530076	ENSLOCP00000018711
estExt_fgenesh2_pg.C_1530079	ENSLOCP00000015637
estExt_fgenesh2_pg.C_1530079	ENSLOCP00000001739
estExt_fgenesh2_pg.C_1530081	ENSLOCP00000011040
estExt_fgenesh2_pg.C_1530081	ENSLOCP00000018416
estExt_fgenesh2_pg.C_1530082	ENSLOCP00000013250
estExt_fgenesh2_pg.C_1530089	ENSLOCP00000012604
estExt_fgenesh2_pg.C_1540002	ENSLOCP00000004077
estExt_fgenesh2_pg.C_1540010	ENSLOCP00000001573
estExt_fgenesh2_pg.C_1540010	ENSLOCP00000016854
estExt_fgenesh2_pg.C_1540054	ENSLOCP00000000454
estExt_fgenesh2_pg.C_1540055	ENSLOCP00000007094
estExt_fgenesh2_pg.C_1540056	ENSLOCP00000005285
estExt_fgenesh2_pg.C_1540056	ENSLOCP00000014643
estExt_fgenesh2_pg.C_1540058	ENSLOCP00000014336
estExt_fgenesh2_pg.C_1540061	ENSLOCP00000005323
estExt_fgenesh2_pg.C_1540062	ENSLOCP00000014205
estExt_fgenesh2_pg.C_1540070	ENSLOCP00000004513
estExt_fgenesh2_pg.C_1550017	ENSLOCP00000011025
estExt_fgenesh2_pg.C_1550021	ENSLOCP00000015675
estExt_fgenesh2_pg.C_1550034	ENSLOCP00000013223
estExt_fgenesh2_pg.C_1550053	ENSLOCP00000008704
estExt_fgenesh2_pg.C_1550058	ENSLOCP00000002428
estExt_fgenesh2_pg.C_1550070	ENSLOCP00000009077
estExt_fgenesh2_pg.C_1550085	ENSLOCP00000020116
estExt_fgenesh2_pg.C_1550085	ENSLOCP00000009528
estExt_fgenesh2_pg.C_1550086	ENSLOCP00000001916
estExt_fgenesh2_pg.C_1550089	ENSLOCP00000005180
estExt_fgenesh2_pg.C_1560001	ENSLOCP00000000574
estExt_fgenesh2_pg.C_1560048	ENSLOCP00000012948
estExt_fgenesh2_pg.C_1560052	ENSLOCP00000002982
estExt_fgenesh2_pg.C_1560062	ENSLOCP00000016312
estExt_fgenesh2_pg.C_1560062	ENSLOCP00000012249
estExt_fgenesh2_pg.C_1560063	ENSLOCP00000004686
estExt_fgenesh2_pg.C_1560069	ENSLOCP00000017772
estExt_fgenesh2_pg.C_1560080	ENSLOCP00000021270
estExt_fgenesh2_pg.C_1570023	ENSLOCP00000005125
estExt_fgenesh2_pg.C_1570024	ENSLOCP00000007916
estExt_fgenesh2_pg.C_1570024	ENSLOCP00000003883
estExt_fgenesh2_pg.C_1570035	ENSLOCP00000014368
estExt_fgenesh2_pg.C_1570037	ENSLOCP00000014474
estExt_fgenesh2_pg.C_1570069	ENSLOCP00000007954
estExt_fgenesh2_pg.C_1570069	ENSLOCP00000008569
estExt_fgenesh2_pg.C_1570074	ENSLOCP00000003997
estExt_fgenesh2_pg.C_1570079	ENSLOCP00000002461
estExt_fgenesh2_pg.C_1570080	ENSLOCP00000016893
estExt_fgenesh2_pg.C_1580002	ENSLOCP00000020418
estExt_fgenesh2_pg.C_1580002	ENSLOCP00000005958
estExt_fgenesh2_pg.C_1580035	ENSLOCP00000018341
estExt_fgenesh2_pg.C_1580038	ENSLOCP00000001919
estExt_fgenesh2_pg.C_1580038	ENSLOCP00000010550
estExt_fgenesh2_pg.C_1580055	ENSLOCP00000005506
estExt_fgenesh2_pg.C_1580063	ENSLOCP00000013425
estExt_fgenesh2_pg.C_1580063	ENSLOCP00000015735
estExt_fgenesh2_pg.C_1580063	ENSLOCP00000007251
estExt_fgenesh2_pg.C_1580085	ENSLOCP00000007487
estExt_fgenesh2_pg.C_1590009	ENSLOCP00000016538
estExt_fgenesh2_pg.C_1590011	ENSLOCP00000013622
estExt_fgenesh2_pg.C_1590012	ENSLOCP00000001987
estExt_fgenesh2_pg.C_1590024	ENSLOCP00000009125
estExt_fgenesh2_pg.C_1590032	ENSLOCP00000012752
estExt_fgenesh2_pg.C_1590053	ENSLOCP00000005041
estExt_fgenesh2_pg.C_1590054	ENSLOCP00000006330
estExt_fgenesh2_pg.C_1590064	ENSLOCP00000021441
estExt_fgenesh2_pg.C_1590065	ENSLOCP00000017366
estExt_fgenesh2_pg.C_1590085	ENSLOCP00000002569
estExt_fgenesh2_pg.C_1590092	ENSLOCP00000007406
estExt_fgenesh2_pg.C_1590092	ENSLOCP00000004799
estExt_fgenesh2_pg.C_1590095	ENSLOCP00000007453
estExt_fgenesh2_pg.C_1590104	ENSLOCP00000022065
estExt_fgenesh2_pg.C_1590107	ENSLOCP00000016112
estExt_fgenesh2_pg.C_1600001	ENSLOCP00000016839
estExt_fgenesh2_pg.C_1600006	ENSLOCP00000006979
estExt_fgenesh2_pg.C_1600014	ENSLOCP00000021902
estExt_fgenesh2_pg.C_1600111	ENSLOCP00000014526
estExt_fgenesh2_pg.C_1600119	ENSLOCP00000021702
estExt_fgenesh2_pg.C_1610001	ENSLOCP00000022431
estExt_fgenesh2_pg.C_1610009	ENSLOCP00000007456
estExt_fgenesh2_pg.C_1610021	ENSLOCP00000009740
estExt_fgenesh2_pg.C_1610066	ENSLOCP00000003380
estExt_fgenesh2_pg.C_1610077	ENSLOCP00000002206
estExt_fgenesh2_pg.C_1630005	ENSLOCP00000015613
estExt_fgenesh2_pg.C_1630018	ENSLOCP00000005219
estExt_fgenesh2_pg.C_1630050	ENSLOCP00000005347
estExt_fgenesh2_pg.C_1640017	ENSLOCP00000013697
estExt_fgenesh2_pg.C_1640020	ENSLOCP00000001003
estExt_fgenesh2_pg.C_1640022	ENSLOCP00000020058
estExt_fgenesh2_pg.C_1640031	ENSLOCP00000001418
estExt_fgenesh2_pg.C_1640031	ENSLOCP00000008430
estExt_fgenesh2_pg.C_1640037	ENSLOCP00000003734
estExt_fgenesh2_pg.C_1640040	ENSLOCP00000008323
estExt_fgenesh2_pg.C_1640041	ENSLOCP00000018909
estExt_fgenesh2_pg.C_1640043	ENSLOCP00000015778
estExt_fgenesh2_pg.C_1640044	ENSLOCP00000015786
estExt_fgenesh2_pg.C_1640046	ENSLOCP00000010893
estExt_fgenesh2_pg.C_1640046	ENSLOCP00000019007
estExt_fgenesh2_pg.C_1650005	ENSLOCP00000017811
estExt_fgenesh2_pg.C_1650019	ENSLOCP00000009652
estExt_fgenesh2_pg.C_1650027	ENSLOCP00000001716
estExt_fgenesh2_pg.C_1650027	ENSLOCP00000011931
estExt_fgenesh2_pg.C_1650027	ENSLOCP00000008137
estExt_fgenesh2_pg.C_1650027	ENSLOCP00000001677
estExt_fgenesh2_pg.C_1650035	ENSLOCP00000020432
estExt_fgenesh2_pg.C_1650048	ENSLOCP00000018168
estExt_fgenesh2_pg.C_1650053	ENSLOCP00000014411
estExt_fgenesh2_pg.C_1650057	ENSLOCP00000011796
estExt_fgenesh2_pg.C_1650060	ENSLOCP00000018078
estExt_fgenesh2_pg.C_1650063	ENSLOCP00000020428
estExt_fgenesh2_pg.C_1650063	ENSLOCP00000011869
estExt_fgenesh2_pg.C_1650063	ENSLOCP00000005193
estExt_fgenesh2_pg.C_1650063	ENSLOCP00000009448
estExt_fgenesh2_pg.C_1650065	ENSLOCP00000000571
estExt_fgenesh2_pg.C_1650065	ENSLOCP00000007697
estExt_fgenesh2_pg.C_1650069	ENSLOCP00000008674
estExt_fgenesh2_pg.C_1650086	ENSLOCP00000020966
estExt_fgenesh2_pg.C_1650087	ENSLOCP00000015520
estExt_fgenesh2_pg.C_1650090	ENSLOCP00000018256
estExt_fgenesh2_pg.C_1650090	ENSLOCP00000016612
estExt_fgenesh2_pg.C_1660015	ENSLOCP00000021616
estExt_fgenesh2_pg.C_1660016	ENSLOCP00000002634
estExt_fgenesh2_pg.C_1660051	ENSLOCP00000005628
estExt_fgenesh2_pg.C_1660053	ENSLOCP00000020595
estExt_fgenesh2_pg.C_1660061	ENSLOCP00000021280
estExt_fgenesh2_pg.C_1660078	ENSLOCP00000020715
estExt_fgenesh2_pg.C_1660088	ENSLOCP00000021272
estExt_fgenesh2_pg.C_1660088	ENSLOCP00000014798
estExt_fgenesh2_pg.C_1660089	ENSLOCP00000000817
estExt_fgenesh2_pg.C_1660091	ENSLOCP00000005178
estExt_fgenesh2_pg.C_1670029	ENSLOCP00000018699
estExt_fgenesh2_pg.C_1670052	ENSLOCP00000021071
estExt_fgenesh2_pg.C_1670052	ENSLOCP00000008287
estExt_fgenesh2_pg.C_1670052	ENSLOCP00000002477
estExt_fgenesh2_pg.C_1670052	ENSLOCP00000008354
estExt_fgenesh2_pg.C_1670052	ENSLOCP00000000116
estExt_fgenesh2_pg.C_1670053	ENSLOCP00000000850
estExt_fgenesh2_pg.C_1670054	ENSLOCP00000012179
estExt_fgenesh2_pg.C_1670055	ENSLOCP00000010760
estExt_fgenesh2_pg.C_1670063	ENSLOCP00000013897
estExt_fgenesh2_pg.C_1670076	ENSLOCP00000014014
estExt_fgenesh2_pg.C_1670087	ENSLOCP00000012824
estExt_fgenesh2_pg.C_1670087	ENSLOCP00000009762
estExt_fgenesh2_pg.C_1670087	ENSLOCP00000012137
estExt_fgenesh2_pg.C_1670090	ENSLOCP00000011661
estExt_fgenesh2_pg.C_1670096	ENSLOCP00000010351
estExt_fgenesh2_pg.C_1670099	ENSLOCP00000015706
estExt_fgenesh2_pg.C_1670106	ENSLOCP00000013328
estExt_fgenesh2_pg.C_1670109	ENSLOCP00000002898
estExt_fgenesh2_pg.C_1670113	ENSLOCP00000014777
estExt_fgenesh2_pg.C_1680005	ENSLOCP00000008271
estExt_fgenesh2_pg.C_1680013	ENSLOCP00000008564
estExt_fgenesh2_pg.C_1680020	ENSLOCP00000008640
estExt_fgenesh2_pg.C_1680024	ENSLOCP00000004531
estExt_fgenesh2_pg.C_1680030	ENSLOCP00000013876
estExt_fgenesh2_pg.C_1680042	ENSLOCP00000008645
estExt_fgenesh2_pg.C_1690011	ENSLOCP00000016907
estExt_fgenesh2_pg.C_1690012	ENSLOCP00000014429
estExt_fgenesh2_pg.C_1690012	ENSLOCP00000015793
estExt_fgenesh2_pg.C_1690055	ENSLOCP00000013421
estExt_fgenesh2_pg.C_1690059	ENSLOCP00000015481
estExt_fgenesh2_pg.C_1690067	ENSLOCP00000015386
estExt_fgenesh2_pg.C_1690067	ENSLOCP00000015714
estExt_fgenesh2_pg.C_1690067	ENSLOCP00000020928
estExt_fgenesh2_pg.C_1690067	ENSLOCP00000007183
estExt_fgenesh2_pg.C_1690067	ENSLOCP00000007802
estExt_fgenesh2_pg.C_1690070	ENSLOCP00000016211
estExt_fgenesh2_pg.C_1700008	ENSLOCP00000020967
estExt_fgenesh2_pg.C_1700010	ENSLOCP00000007259
estExt_fgenesh2_pg.C_1700013	ENSLOCP00000000638
estExt_fgenesh2_pg.C_1700018	ENSLOCP00000003962
estExt_fgenesh2_pg.C_1700020	ENSLOCP00000011251
estExt_fgenesh2_pg.C_1700020	ENSLOCP00000011258
estExt_fgenesh2_pg.C_1700020	ENSLOCP00000004793
estExt_fgenesh2_pg.C_1700022	ENSLOCP00000020440
estExt_fgenesh2_pg.C_1700051	ENSLOCP00000011302
estExt_fgenesh2_pg.C_1700052	ENSLOCP00000019608
estExt_fgenesh2_pg.C_1700053	ENSLOCP00000002427
estExt_fgenesh2_pg.C_1700055	ENSLOCP00000003494
estExt_fgenesh2_pg.C_1710018	ENSLOCP00000009840
estExt_fgenesh2_pg.C_1710021	ENSLOCP00000020962
estExt_fgenesh2_pg.C_1710023	ENSLOCP00000013984
estExt_fgenesh2_pg.C_1710033	ENSLOCP00000021983
estExt_fgenesh2_pg.C_1720042	ENSLOCP00000017141
estExt_fgenesh2_pg.C_1720057	ENSLOCP00000016423
estExt_fgenesh2_pg.C_1730005	ENSLOCP00000006079
estExt_fgenesh2_pg.C_1730029	ENSLOCP00000015293
estExt_fgenesh2_pg.C_1730035	ENSLOCP00000012208
estExt_fgenesh2_pg.C_1730040	ENSLOCP00000000875
estExt_fgenesh2_pg.C_1730041	ENSLOCP00000008941
estExt_fgenesh2_pg.C_1730057	ENSLOCP00000015829
estExt_fgenesh2_pg.C_1730059	ENSLOCP00000002885
estExt_fgenesh2_pg.C_1740002	ENSLOCP00000007289
estExt_fgenesh2_pg.C_1740003	ENSLOCP00000005086
estExt_fgenesh2_pg.C_1740044	ENSLOCP00000000488
estExt_fgenesh2_pg.C_1740084	ENSLOCP00000012050
estExt_fgenesh2_pg.C_1750036	ENSLOCP00000014185
estExt_fgenesh2_pg.C_1750045	ENSLOCP00000015823
estExt_fgenesh2_pg.C_1750052	ENSLOCP00000018597
estExt_fgenesh2_pg.C_1750053	ENSLOCP00000010472
estExt_fgenesh2_pg.C_1750060	ENSLOCP00000008183
estExt_fgenesh2_pg.C_1750060	ENSLOCP00000015799
estExt_fgenesh2_pg.C_1750061	ENSLOCP00000003595
estExt_fgenesh2_pg.C_1750064	ENSLOCP00000005895
estExt_fgenesh2_pg.C_1760021	ENSLOCP00000013261
estExt_fgenesh2_pg.C_1760034	ENSLOCP00000016836
estExt_fgenesh2_pg.C_1760051	ENSLOCP00000013916
estExt_fgenesh2_pg.C_1760062	ENSLOCP00000021910
estExt_fgenesh2_pg.C_1760085	ENSLOCP00000018082
estExt_fgenesh2_pg.C_1760085	ENSLOCP00000000358
estExt_fgenesh2_pg.C_1760095	ENSLOCP00000014571
estExt_fgenesh2_pg.C_1770001	ENSLOCP00000014787
estExt_fgenesh2_pg.C_1770001	ENSLOCP00000020888
estExt_fgenesh2_pg.C_1770001	ENSLOCP00000001997
estExt_fgenesh2_pg.C_1770015	ENSLOCP00000008238
estExt_fgenesh2_pg.C_1770015	ENSLOCP00000009046
estExt_fgenesh2_pg.C_1770023	ENSLOCP00000001761
estExt_fgenesh2_pg.C_1770023	ENSLOCP00000007673
estExt_fgenesh2_pg.C_1770060	ENSLOCP00000008512
estExt_fgenesh2_pg.C_1770062	ENSLOCP00000003965
estExt_fgenesh2_pg.C_1770067	ENSLOCP00000020574
estExt_fgenesh2_pg.C_1770075	ENSLOCP00000002310
estExt_fgenesh2_pg.C_1770089	ENSLOCP00000007497
estExt_fgenesh2_pg.C_1780012	ENSLOCP00000016715
estExt_fgenesh2_pg.C_1780015	ENSLOCP00000000301
estExt_fgenesh2_pg.C_1780018	ENSLOCP00000002389
estExt_fgenesh2_pg.C_1780019	ENSLOCP00000008880
estExt_fgenesh2_pg.C_1780020	ENSLOCP00000005527
estExt_fgenesh2_pg.C_1780026	ENSLOCP00000008676
estExt_fgenesh2_pg.C_1780026	ENSLOCP00000007353
estExt_fgenesh2_pg.C_1780027	ENSLOCP00000009692
estExt_fgenesh2_pg.C_1780033	ENSLOCP00000004624
estExt_fgenesh2_pg.C_1780033	ENSLOCP00000001420
estExt_fgenesh2_pg.C_1780033	ENSLOCP00000001553
estExt_fgenesh2_pg.C_1780033	ENSLOCP00000000441
estExt_fgenesh2_pg.C_1780033	ENSLOCP00000000492
estExt_fgenesh2_pg.C_1780044	ENSLOCP00000006145
estExt_fgenesh2_pg.C_1790027	ENSLOCP00000009759
estExt_fgenesh2_pg.C_1790029	ENSLOCP00000017327
estExt_fgenesh2_pg.C_1790036	ENSLOCP00000003893
estExt_fgenesh2_pg.C_1790055	ENSLOCP00000004713
estExt_fgenesh2_pg.C_1790061	ENSLOCP00000015966
estExt_fgenesh2_pg.C_1790075	ENSLOCP00000018724
estExt_fgenesh2_pg.C_1800050	ENSLOCP00000011566
estExt_fgenesh2_pg.C_1800052	ENSLOCP00000011737
estExt_fgenesh2_pg.C_1800056	ENSLOCP00000017302
estExt_fgenesh2_pg.C_1800064	ENSLOCP00000018397
estExt_fgenesh2_pg.C_1800074	ENSLOCP00000021174
estExt_fgenesh2_pg.C_1810008	ENSLOCP00000004474
estExt_fgenesh2_pg.C_1810008	ENSLOCP00000019571
estExt_fgenesh2_pg.C_1810009	ENSLOCP00000012831
estExt_fgenesh2_pg.C_1810012	ENSLOCP00000002245
estExt_fgenesh2_pg.C_1810015	ENSLOCP00000019665
estExt_fgenesh2_pg.C_1810017	ENSLOCP00000019746
estExt_fgenesh2_pg.C_1810018	ENSLOCP00000001172
estExt_fgenesh2_pg.C_1810021	ENSLOCP00000003701
estExt_fgenesh2_pg.C_1810021	ENSLOCP00000004427
estExt_fgenesh2_pg.C_1810027	ENSLOCP00000003482
estExt_fgenesh2_pg.C_1810037	ENSLOCP00000011636
estExt_fgenesh2_pg.C_1810041	ENSLOCP00000020913
estExt_fgenesh2_pg.C_1820034	ENSLOCP00000008090
estExt_fgenesh2_pg.C_1820062	ENSLOCP00000008398
estExt_fgenesh2_pg.C_1820063	ENSLOCP00000014126
estExt_fgenesh2_pg.C_1820064	ENSLOCP00000012007
estExt_fgenesh2_pg.C_1820065	ENSLOCP00000014973
estExt_fgenesh2_pg.C_1830015	ENSLOCP00000010603
estExt_fgenesh2_pg.C_1830033	ENSLOCP00000014755
estExt_fgenesh2_pg.C_1830035	ENSLOCP00000013038
estExt_fgenesh2_pg.C_1830037	ENSLOCP00000003177
estExt_fgenesh2_pg.C_1840002	ENSLOCP00000006676
estExt_fgenesh2_pg.C_1840009	ENSLOCP00000011957
