SINCAM000003	ENSGACP00000025229
SINCAM002985	ENSGACP00000011810
SINCAM002986	ENSGACP00000001892
SINCAM002986	ENSGACP00000011800
SINCAM002987	ENSGACP00000011782
SINCAM002988	ENSGACP00000011773
SINCAM002988	ENSGACP00000001902
SINCAM002989	ENSGACP00000011764
SINCAM002990	ENSGACP00000001912
SINCAM002991	ENSGACP00000011669
SINCAM002995	ENSGACP00000012704
SINCAM002997	ENSGACP00000006091
SINCAM002997	ENSGACP00000006845
SINCAM003000	ENSGACP00000016937
SINCAM003000	ENSGACP00000026969
SINCAM003003	ENSGACP00000017769
SINCAM003003	ENSGACP00000021495
SINCAM003004	ENSGACP00000016406
SINCAM003004	ENSGACP00000006748
SINCAM003005	ENSGACP00000014751
SINCAM003006	ENSGACP00000014871
SINCAM003007	ENSGACP00000011222
SINCAM003007	ENSGACP00000006296
SINCAM003011	ENSGACP00000015437
SINCAM003011	ENSGACP00000015160
SINCAM003012	ENSGACP00000011702
SINCAM003014	ENSGACP00000005650
SINCAM003014	ENSGACP00000005622
SINCAM003016	ENSGACP00000006453
SINCAM003018	ENSGACP00000024208
SINCAM003020	ENSGACP00000006360
SINCAM003021	ENSGACP00000016352
SINCAM003021	ENSGACP00000005745
SINCAM003022	ENSGACP00000016357
SINCAM003026	ENSGACP00000016384
SINCAM003027	ENSGACP00000016393
SINCAM003028	ENSGACP00000015548
SINCAM003029	ENSGACP00000012719
SINCAM003029	ENSGACP00000012743
SINCAM003030	ENSGACP00000012746
SINCAM003031	ENSGACP00000017673
SINCAM003032	ENSGACP00000021554
SINCAM003035	ENSGACP00000018857
SINCAM003038	ENSGACP00000012807
SINCAM003040	ENSGACP00000012895
SINCAM003040	ENSGACP00000012851
SINCAM003041	ENSGACP00000012925
SINCAM003043	ENSGACP00000011048
SINCAM003043	ENSGACP00000004186
SINCAM003046	ENSGACP00000011088
SINCAM003047	ENSGACP00000026616
SINCAM003047	ENSGACP00000004612
SINCAM003052	ENSGACP00000011849
SINCAM003052	ENSGACP00000015166
SINCAM003054	ENSGACP00000009726
SINCAM003055	ENSGACP00000007392
SINCAM003057	ENSGACP00000015152
SINCAM003057	ENSGACP00000009294
SINCAM003059	ENSGACP00000015064
SINCAM003059	ENSGACP00000009407
SINCAM003061	ENSGACP00000015053
SINCAM003061	ENSGACP00000009454
SINCAM003062	ENSGACP00000015043
SINCAM003064	ENSGACP00000009509
SINCAM003066	ENSGACP00000009892
SINCAM003067	ENSGACP00000015011
SINCAM003067	ENSGACP00000008013
SINCAM003068	ENSGACP00000009877
SINCAM003075	ENSGACP00000001771
SINCAM003076	ENSGACP00000016069
SINCAM003077	ENSGACP00000016079
SINCAM003077	ENSGACP00000003931
SINCAM003079	ENSGACP00000008121
SINCAM003079	ENSGACP00000008094
SINCAM003081	ENSGACP00000007991
SINCAM003087	ENSGACP00000014301
SINCAM003088	ENSGACP00000014309
SINCAM003090	ENSGACP00000014380
SINCAM003090	ENSGACP00000009606
SINCAM003094	ENSGACP00000014397
SINCAM003094	ENSGACP00000013903
SINCAM003095	ENSGACP00000014403
SINCAM003098	ENSGACP00000019720
SINCAM003099	ENSGACP00000014286
SINCAM003100	ENSGACP00000014277
SINCAM003100	ENSGACP00000009814
SINCAM003102	ENSGACP00000017227
SINCAM003103	ENSGACP00000009791
SINCAM003103	ENSGACP00000011983
SINCAM003104	ENSGACP00000013074
SINCAM003105	ENSGACP00000016339
SINCAM003107	ENSGACP00000015608
SINCAM003108	ENSGACP00000015514
SINCAM003109	ENSGACP00000016296
SINCAM003109	ENSGACP00000009676
SINCAM003110	ENSGACP00000016283
SINCAM003111	ENSGACP00000019716
SINCAM003112	ENSGACP00000016278
SINCAM003113	ENSGACP00000012509
SINCAM003113	ENSGACP00000020130
SINCAM003116	ENSGACP00000015467
SINCAM003119	ENSGACP00000015486
SINCAM003121	ENSGACP00000027247
SINCAM003121	ENSGACP00000021404
SINCAM003122	ENSGACP00000012213
SINCAM003123	ENSGACP00000007361
SINCAM003123	ENSGACP00000007351
SINCAM003128	ENSGACP00000005611
SINCAM003128	ENSGACP00000018164
SINCAM003129	ENSGACP00000005616
SINCAM003132	ENSGACP00000017272
SINCAM003132	ENSGACP00000022442
SINCAM003133	ENSGACP00000013424
SINCAM003138	ENSGACP00000017460
SINCAM003138	ENSGACP00000027668
SINCAM003140	ENSGACP00000017469
SINCAM003143	ENSGACP00000017347
SINCAM003143	ENSGACP00000027308
SINCAM003146	ENSGACP00000017342
SINCAM003146	ENSGACP00000012143
SINCAM003147	ENSGACP00000017316
SINCAM003148	ENSGACP00000010657
SINCAM003148	ENSGACP00000014624
SINCAM003153	ENSGACP00000010710
SINCAM003153	ENSGACP00000000054
SINCAM003154	ENSGACP00000018391
SINCAM003155	ENSGACP00000017240
SINCAM003156	ENSGACP00000008103
SINCAM003156	ENSGACP00000017540
SINCAM003158	ENSGACP00000017536
SINCAM003159	ENSGACP00000008086
SINCAM003160	ENSGACP00000018089
SINCAM003160	ENSGACP00000008044
SINCAM003161	ENSGACP00000016672
SINCAM003161	ENSGACP00000018123
SINCAM003163	ENSGACP00000008039
SINCAM003164	ENSGACP00000013580
SINCAM003164	ENSGACP00000008010
SINCAM003165	ENSGACP00000017956
SINCAM003166	ENSGACP00000017527
SINCAM003168	ENSGACP00000017513
SINCAM003170	ENSGACP00000017504
SINCAM003173	ENSGACP00000016040
SINCAM003174	ENSGACP00000016016
SINCAM003174	ENSGACP00000027235
SINCAM003175	ENSGACP00000013437
SINCAM003175	ENSGACP00000007410
SINCAM003177	ENSGACP00000005354
SINCAM003179	ENSGACP00000005367
SINCAM003180	ENSGACP00000009049
SINCAM003180	ENSGACP00000009042
SINCAM003181	ENSGACP00000009038
SINCAM003182	ENSGACP00000009011
SINCAM003185	ENSGACP00000017993
SINCAM003186	ENSGACP00000008947
SINCAM003186	ENSGACP00000019036
SINCAM003188	ENSGACP00000005275
SINCAM003188	ENSGACP00000027483
SINCAM003189	ENSGACP00000005263
SINCAM003191	ENSGACP00000007682
SINCAM003192	ENSGACP00000009813
SINCAM003194	ENSGACP00000007733
SINCAM003194	ENSGACP00000008843
SINCAM003195	ENSGACP00000007726
SINCAM003196	ENSGACP00000008462
SINCAM003198	ENSGACP00000008432
SINCAM003198	ENSGACP00000013780
SINCAM003199	ENSGACP00000008373
SINCAM003199	ENSGACP00000013506
SINCAM003200	ENSGACP00000009568
SINCAM003200	ENSGACP00000012045
SINCAM003201	ENSGACP00000008371
SINCAM003204	ENSGACP00000008151
SINCAM003208	ENSGACP00000013516
SINCAM003208	ENSGACP00000008157
SINCAM003211	ENSGACP00000008162
SINCAM003212	ENSGACP00000005832
SINCAM003212	ENSGACP00000005837
SINCAM003214	ENSGACP00000005882
SINCAM003215	ENSGACP00000013769
SINCAM003215	ENSGACP00000019198
SINCAM003220	ENSGACP00000005892
SINCAM003221	ENSGACP00000010422
SINCAM003223	ENSGACP00000004296
SINCAM003225	ENSGACP00000015416
SINCAM003226	ENSGACP00000016888
SINCAM003226	ENSGACP00000012591
SINCAM003231	ENSGACP00000015202
SINCAM003231	ENSGACP00000022596
SINCAM003232	ENSGACP00000002256
SINCAM003235	ENSGACP00000012412
SINCAM003235	ENSGACP00000003541
SINCAM003236	ENSGACP00000018515
SINCAM003239	ENSGACP00000018652
SINCAM003240	ENSGACP00000018664
SINCAM003240	ENSGACP00000012495
SINCAM003241	ENSGACP00000018674
SINCAM003242	ENSGACP00000012519
SINCAM003242	ENSGACP00000018687
SINCAM003243	ENSGACP00000018711
SINCAM003244	ENSGACP00000012524
SINCAM003245	ENSGACP00000018777
SINCAM003248	ENSGACP00000007402
SINCAM003254	ENSGACP00000014423
SINCAM003256	ENSGACP00000008123
SINCAM003256	ENSGACP00000017573
SINCAM003257	ENSGACP00000006933
SINCAM003258	ENSGACP00000003690
SINCAM003258	ENSGACP00000009525
SINCAM003259	ENSGACP00000006900
SINCAM003260	ENSGACP00000006844
SINCAM003261	ENSGACP00000006828
SINCAM003263	ENSGACP00000006416
SINCAM003265	ENSGACP00000016146
SINCAM003266	ENSGACP00000010872
SINCAM003266	ENSGACP00000000363
SINCAM003267	ENSGACP00000010890
SINCAM003269	ENSGACP00000010930
SINCAM003269	ENSGACP00000012124
SINCAM003272	ENSGACP00000011018
SINCAM003272	ENSGACP00000011036
SINCAM003273	ENSGACP00000015958
SINCAM003277	ENSGACP00000016113
SINCAM003278	ENSGACP00000008240
SINCAM003278	ENSGACP00000017789
SINCAM003279	ENSGACP00000008250
SINCAM003282	ENSGACP00000014491
SINCAM003283	ENSGACP00000014505
SINCAM003284	ENSGACP00000014513
SINCAM003285	ENSGACP00000014557
SINCAM003289	ENSGACP00000014608
SINCAM003291	ENSGACP00000014622
SINCAM003291	ENSGACP00000008012
SINCAM003292	ENSGACP00000015190
SINCAM003293	ENSGACP00000014641
SINCAM003296	ENSGACP00000015178
SINCAM003296	ENSGACP00000018151
SINCAM003297	ENSGACP00000009628
SINCAM003297	ENSGACP00000007190
SINCAM003298	ENSGACP00000017938
SINCAM003298	ENSGACP00000006946
SINCAM003299	ENSGACP00000017932
SINCAM003300	ENSGACP00000017432
SINCAM003300	ENSGACP00000017998
SINCAM003304	ENSGACP00000013966
SINCAM003305	ENSGACP00000014260
SINCAM003307	ENSGACP00000020487
SINCAM003307	ENSGACP00000014254
SINCAM003308	ENSGACP00000014251
SINCAM003309	ENSGACP00000014244
SINCAM003309	ENSGACP00000007162
SINCAM003310	ENSGACP00000014145
SINCAM003311	ENSGACP00000014172
SINCAM003312	ENSGACP00000009689
SINCAM003312	ENSGACP00000007881
SINCAM003313	ENSGACP00000009707
SINCAM003313	ENSGACP00000004280
SINCAM003315	ENSGACP00000006756
SINCAM003315	ENSGACP00000004225
SINCAM003320	ENSGACP00000006645
SINCAM003321	ENSGACP00000006637
SINCAM003322	ENSGACP00000017627
SINCAM003325	ENSGACP00000006574
SINCAM003327	ENSGACP00000006555
SINCAM003328	ENSGACP00000006541
SINCAM003329	ENSGACP00000008171
SINCAM003330	ENSGACP00000003955
SINCAM003330	ENSGACP00000013542
SINCAM003331	ENSGACP00000008345
SINCAM003333	ENSGACP00000013549
SINCAM003333	ENSGACP00000026204
SINCAM003334	ENSGACP00000013561
SINCAM003336	ENSGACP00000008264
SINCAM003336	ENSGACP00000002608
SINCAM003337	ENSGACP00000008256
SINCAM003337	ENSGACP00000002617
SINCAM003338	ENSGACP00000002893
SINCAM003338	ENSGACP00000008251
SINCAM003339	ENSGACP00000013275
SINCAM003340	ENSGACP00000010119
SINCAM003341	ENSGACP00000010129
SINCAM003341	ENSGACP00000023458
SINCAM003342	ENSGACP00000014484
SINCAM003343	ENSGACP00000009261
SINCAM003344	ENSGACP00000009213
SINCAM003345	ENSGACP00000009192
SINCAM003346	ENSGACP00000009182
SINCAM003346	ENSGACP00000001962
SINCAM003348	ENSGACP00000014702
SINCAM003349	ENSGACP00000011819
SINCAM003350	ENSGACP00000011813
SINCAM003350	ENSGACP00000027036
SINCAM003351	ENSGACP00000011786
SINCAM003352	ENSGACP00000015409
SINCAM003352	ENSGACP00000011772
SINCAM003353	ENSGACP00000011766
SINCAM003353	ENSGACP00000015397
SINCAM003354	ENSGACP00000011759
SINCAM003355	ENSGACP00000011747
SINCAM003355	ENSGACP00000007604
SINCAM003359	ENSGACP00000011720
SINCAM003361	ENSGACP00000015182
SINCAM003361	ENSGACP00000015393
SINCAM003363	ENSGACP00000006656
SINCAM003363	ENSGACP00000000238
SINCAM003364	ENSGACP00000015222
SINCAM003364	ENSGACP00000001021
SINCAM003367	ENSGACP00000015250
SINCAM003367	ENSGACP00000007637
SINCAM003368	ENSGACP00000015300
SINCAM003369	ENSGACP00000015313
SINCAM003369	ENSGACP00000007622
SINCAM003370	ENSGACP00000015386
SINCAM003370	ENSGACP00000011722
SINCAM003371	ENSGACP00000012858
SINCAM003372	ENSGACP00000015320
SINCAM003375	ENSGACP00000008729
SINCAM003376	ENSGACP00000008683
SINCAM003377	ENSGACP00000008597
SINCAM003377	ENSGACP00000023345
SINCAM003379	ENSGACP00000008587
SINCAM003380	ENSGACP00000008573
SINCAM003381	ENSGACP00000008555
SINCAM003382	ENSGACP00000013499
SINCAM003382	ENSGACP00000008549
SINCAM003384	ENSGACP00000000280
SINCAM003384	ENSGACP00000000871
SINCAM003386	ENSGACP00000025864
SINCAM003386	ENSGACP00000025862
SINCAM003387	ENSGACP00000017945
SINCAM003387	ENSGACP00000017942
SINCAM003393	ENSGACP00000001682
SINCAM003394	ENSGACP00000017991
SINCAM003395	ENSGACP00000007042
SINCAM003395	ENSGACP00000006992
SINCAM003397	ENSGACP00000007054
SINCAM003397	ENSGACP00000021028
SINCAM003398	ENSGACP00000007066
SINCAM003398	ENSGACP00000004671
SINCAM003401	ENSGACP00000003967
SINCAM003402	ENSGACP00000003952
SINCAM003403	ENSGACP00000003942
SINCAM003404	ENSGACP00000003935
SINCAM003404	ENSGACP00000008166
SINCAM003405	ENSGACP00000003926
SINCAM003405	ENSGACP00000016189
SINCAM003408	ENSGACP00000003906
SINCAM003409	ENSGACP00000003896
SINCAM003411	ENSGACP00000015071
SINCAM003411	ENSGACP00000010925
SINCAM003412	ENSGACP00000013337
SINCAM003412	ENSGACP00000007889
SINCAM003413	ENSGACP00000013345
SINCAM003414	ENSGACP00000013365
SINCAM003414	ENSGACP00000013361
SINCAM003415	ENSGACP00000027327
SINCAM003416	ENSGACP00000013500
SINCAM003416	ENSGACP00000004057
SINCAM003417	ENSGACP00000008897
SINCAM003417	ENSGACP00000001955
SINCAM003421	ENSGACP00000011932
SINCAM003423	ENSGACP00000013206
SINCAM003424	ENSGACP00000013213
SINCAM003426	ENSGACP00000013235
SINCAM003428	ENSGACP00000011668
SINCAM003429	ENSGACP00000011680
SINCAM003429	ENSGACP00000015215
SINCAM003430	ENSGACP00000011637
SINCAM003431	ENSGACP00000017601
SINCAM003432	ENSGACP00000006820
SINCAM003433	ENSGACP00000016233
SINCAM003433	ENSGACP00000012111
SINCAM003435	ENSGACP00000012032
SINCAM003435	ENSGACP00000015481
SINCAM003436	ENSGACP00000005482
SINCAM003437	ENSGACP00000005505
SINCAM003437	ENSGACP00000012500
SINCAM003439	ENSGACP00000001363
SINCAM003439	ENSGACP00000026060
SINCAM003440	ENSGACP00000026056
SINCAM003440	ENSGACP00000005548
SINCAM003442	ENSGACP00000005588
SINCAM003443	ENSGACP00000005639
SINCAM003444	ENSGACP00000001353
SINCAM003444	ENSGACP00000026053
SINCAM003445	ENSGACP00000005657
SINCAM003446	ENSGACP00000005684
SINCAM003447	ENSGACP00000001346
SINCAM003448	ENSGACP00000005718
SINCAM003448	ENSGACP00000016682
SINCAM003449	ENSGACP00000007722
SINCAM003449	ENSGACP00000003512
SINCAM003450	ENSGACP00000007734
SINCAM003451	ENSGACP00000025385
SINCAM003451	ENSGACP00000011346
SINCAM003452	ENSGACP00000007742
SINCAM003453	ENSGACP00000007768
SINCAM003455	ENSGACP00000009056
SINCAM003456	ENSGACP00000009083
SINCAM003457	ENSGACP00000009093
SINCAM003458	ENSGACP00000001697
SINCAM003458	ENSGACP00000015562
SINCAM003460	ENSGACP00000015167
SINCAM003461	ENSGACP00000006180
SINCAM003461	ENSGACP00000017156
SINCAM003462	ENSGACP00000019135
SINCAM003464	ENSGACP00000021425
SINCAM003464	ENSGACP00000018228
SINCAM003465	ENSGACP00000021420
SINCAM003466	ENSGACP00000006152
SINCAM003467	ENSGACP00000006138
SINCAM003467	ENSGACP00000021421
SINCAM003469	ENSGACP00000021418
SINCAM003472	ENSGACP00000026295
SINCAM003472	ENSGACP00000011845
SINCAM003473	ENSGACP00000013887
SINCAM003473	ENSGACP00000026809
SINCAM003477	ENSGACP00000013956
SINCAM003478	ENSGACP00000014052
SINCAM003478	ENSGACP00000025413
SINCAM003479	ENSGACP00000025414
SINCAM003479	ENSGACP00000014306
SINCAM003483	ENSGACP00000017738
SINCAM003483	ENSGACP00000009460
SINCAM003486	ENSGACP00000008340
SINCAM003488	ENSGACP00000003018
SINCAM003490	ENSGACP00000002952
SINCAM003490	ENSGACP00000007687
SINCAM003491	ENSGACP00000002939
SINCAM003492	ENSGACP00000002898
SINCAM003493	ENSGACP00000002857
SINCAM003494	ENSGACP00000002840
SINCAM003497	ENSGACP00000002825
SINCAM003500	ENSGACP00000014804
SINCAM003501	ENSGACP00000015685
SINCAM003502	ENSGACP00000015735
SINCAM003503	ENSGACP00000009247
SINCAM003503	ENSGACP00000015740
SINCAM003504	ENSGACP00000009233
SINCAM003505	ENSGACP00000009221
SINCAM003507	ENSGACP00000004715
SINCAM003508	ENSGACP00000005734
SINCAM003508	ENSGACP00000005752
SINCAM003509	ENSGACP00000005756
SINCAM003510	ENSGACP00000005798
SINCAM003511	ENSGACP00000005819
SINCAM003511	ENSGACP00000026045
SINCAM003512	ENSGACP00000005834
SINCAM003513	ENSGACP00000005847
SINCAM003513	ENSGACP00000026420
SINCAM003515	ENSGACP00000026287
SINCAM003517	ENSGACP00000009103
SINCAM003518	ENSGACP00000009116
SINCAM003519	ENSGACP00000009119
SINCAM003520	ENSGACP00000009163
SINCAM003520	ENSGACP00000017785
SINCAM003521	ENSGACP00000009107
SINCAM003522	ENSGACP00000009113
SINCAM003524	ENSGACP00000021315
SINCAM003525	ENSGACP00000021277
SINCAM003526	ENSGACP00000021284
SINCAM003526	ENSGACP00000026647
SINCAM003530	ENSGACP00000007626
SINCAM003531	ENSGACP00000018235
SINCAM003532	ENSGACP00000009111
SINCAM003532	ENSGACP00000015599
SINCAM003535	ENSGACP00000015555
SINCAM003535	ENSGACP00000015563
SINCAM003536	ENSGACP00000011978
SINCAM003536	ENSGACP00000015553
SINCAM003537	ENSGACP00000015515
SINCAM003538	ENSGACP00000011992
SINCAM003538	ENSGACP00000015503
SINCAM003539	ENSGACP00000015494
SINCAM003544	ENSGACP00000006874
SINCAM003546	ENSGACP00000007699
SINCAM003546	ENSGACP00000015600
SINCAM003547	ENSGACP00000007794
SINCAM003547	ENSGACP00000001703
SINCAM003551	ENSGACP00000007895
SINCAM003551	ENSGACP00000013801
SINCAM003553	ENSGACP00000008882
SINCAM003553	ENSGACP00000015545
SINCAM003554	ENSGACP00000008899
SINCAM003555	ENSGACP00000025532
SINCAM003556	ENSGACP00000001746
SINCAM003558	ENSGACP00000025826
SINCAM003559	ENSGACP00000016428
SINCAM003559	ENSGACP00000015627
SINCAM003561	ENSGACP00000001000
SINCAM003561	ENSGACP00000007510
SINCAM003562	ENSGACP00000005778
SINCAM003564	ENSGACP00000015341
SINCAM003564	ENSGACP00000015408
SINCAM003566	ENSGACP00000015380
SINCAM003566	ENSGACP00000015370
SINCAM003567	ENSGACP00000015359
SINCAM003567	ENSGACP00000015360
SINCAM003570	ENSGACP00000009547
SINCAM003570	ENSGACP00000016806
SINCAM003571	ENSGACP00000009527
SINCAM003572	ENSGACP00000008811
SINCAM003573	ENSGACP00000008862
SINCAM003575	ENSGACP00000021170
SINCAM003576	ENSGACP00000013145
SINCAM003577	ENSGACP00000005899
SINCAM003578	ENSGACP00000021350
SINCAM003579	ENSGACP00000026129
SINCAM003579	ENSGACP00000004167
SINCAM003580	ENSGACP00000021346
SINCAM003580	ENSGACP00000023755
SINCAM003581	ENSGACP00000026131
SINCAM003583	ENSGACP00000015304
SINCAM003583	ENSGACP00000011424
SINCAM003587	ENSGACP00000013741
SINCAM003587	ENSGACP00000012905
SINCAM003590	ENSGACP00000005468
SINCAM003590	ENSGACP00000012888
SINCAM003592	ENSGACP00000026306
SINCAM003593	ENSGACP00000026305
SINCAM003595	ENSGACP00000026301
SINCAM003599	ENSGACP00000006157
SINCAM003600	ENSGACP00000006237
SINCAM003601	ENSGACP00000006254
SINCAM003603	ENSGACP00000009603
SINCAM003603	ENSGACP00000011469
SINCAM003604	ENSGACP00000009611
SINCAM003605	ENSGACP00000014692
SINCAM003606	ENSGACP00000014694
SINCAM003607	ENSGACP00000012146
SINCAM003608	ENSGACP00000011452
SINCAM003610	ENSGACP00000011463
SINCAM003610	ENSGACP00000018198
SINCAM003611	ENSGACP00000015294
SINCAM003612	ENSGACP00000011478
SINCAM003614	ENSGACP00000011507
SINCAM003614	ENSGACP00000009971
SINCAM003615	ENSGACP00000015279
SINCAM003615	ENSGACP00000011594
SINCAM003616	ENSGACP00000026435
SINCAM003617	ENSGACP00000015677
SINCAM003617	ENSGACP00000001057
SINCAM003619	ENSGACP00000011224
SINCAM003623	ENSGACP00000003256
SINCAM003625	ENSGACP00000010560
SINCAM003625	ENSGACP00000016856
SINCAM003626	ENSGACP00000006993
SINCAM003627	ENSGACP00000025037
SINCAM003628	ENSGACP00000016007
SINCAM003633	ENSGACP00000026639
SINCAM003634	ENSGACP00000017398
SINCAM003635	ENSGACP00000013789
SINCAM003635	ENSGACP00000025896
SINCAM003638	ENSGACP00000016116
SINCAM003639	ENSGACP00000016092
SINCAM003640	ENSGACP00000015708
SINCAM003640	ENSGACP00000016087
SINCAM003641	ENSGACP00000001085
SINCAM003641	ENSGACP00000015860
SINCAM003642	ENSGACP00000016076
SINCAM003642	ENSGACP00000010307
SINCAM003644	ENSGACP00000013768
SINCAM003644	ENSGACP00000021975
SINCAM003645	ENSGACP00000001773
SINCAM003646	ENSGACP00000017661
SINCAM003647	ENSGACP00000017668
SINCAM003648	ENSGACP00000010404
SINCAM003648	ENSGACP00000017683
SINCAM003649	ENSGACP00000006583
SINCAM003652	ENSGACP00000006628
SINCAM003652	ENSGACP00000026297
SINCAM003653	ENSGACP00000021164
SINCAM003653	ENSGACP00000012601
SINCAM003654	ENSGACP00000006944
SINCAM003654	ENSGACP00000010240
SINCAM003656	ENSGACP00000010151
SINCAM003656	ENSGACP00000006962
SINCAM003659	ENSGACP00000012304
SINCAM003659	ENSGACP00000001779
SINCAM003660	ENSGACP00000009253
SINCAM003660	ENSGACP00000005676
SINCAM003661	ENSGACP00000009263
SINCAM003663	ENSGACP00000015710
SINCAM003665	ENSGACP00000015719
SINCAM003666	ENSGACP00000009285
SINCAM003668	ENSGACP00000009291
SINCAM003668	ENSGACP00000025612
SINCAM003669	ENSGACP00000015725
SINCAM003670	ENSGACP00000015675
SINCAM003670	ENSGACP00000013202
SINCAM003671	ENSGACP00000015667
SINCAM003671	ENSGACP00000011405
SINCAM003672	ENSGACP00000017803
SINCAM003672	ENSGACP00000021471
SINCAM003673	ENSGACP00000021491
SINCAM003673	ENSGACP00000017794
SINCAM003674	ENSGACP00000021493
SINCAM003675	ENSGACP00000021494
SINCAM003678	ENSGACP00000017080
SINCAM003678	ENSGACP00000007775
SINCAM003681	ENSGACP00000024111
SINCAM003682	ENSGACP00000000215
SINCAM003682	ENSGACP00000025163
SINCAM003683	ENSGACP00000025876
SINCAM003685	ENSGACP00000013663
SINCAM003685	ENSGACP00000010842
SINCAM003686	ENSGACP00000013678
SINCAM003687	ENSGACP00000011883
SINCAM003689	ENSGACP00000005403
SINCAM003690	ENSGACP00000005420
SINCAM003691	ENSGACP00000002337
SINCAM003691	ENSGACP00000002341
SINCAM003693	ENSGACP00000014995
SINCAM003694	ENSGACP00000015002
SINCAM003694	ENSGACP00000010272
SINCAM003696	ENSGACP00000006197
SINCAM003697	ENSGACP00000026339
SINCAM003699	ENSGACP00000023342
SINCAM003699	ENSGACP00000027387
SINCAM003700	ENSGACP00000015657
SINCAM003701	ENSGACP00000016486
SINCAM003702	ENSGACP00000016446
SINCAM003706	ENSGACP00000005789
SINCAM003706	ENSGACP00000011419
SINCAM003708	ENSGACP00000005758
SINCAM003709	ENSGACP00000017799
SINCAM003711	ENSGACP00000016277
SINCAM003713	ENSGACP00000019581
SINCAM003713	ENSGACP00000017952
SINCAM003716	ENSGACP00000026437
SINCAM003717	ENSGACP00000005294
SINCAM003717	ENSGACP00000018498
SINCAM003718	ENSGACP00000004953
SINCAM003718	ENSGACP00000026422
SINCAM003719	ENSGACP00000016134
SINCAM003719	ENSGACP00000016141
SINCAM003720	ENSGACP00000006037
SINCAM003722	ENSGACP00000016199
SINCAM003723	ENSGACP00000016212
SINCAM003723	ENSGACP00000026794
SINCAM003724	ENSGACP00000016205
SINCAM003724	ENSGACP00000012393
SINCAM003725	ENSGACP00000026175
SINCAM003725	ENSGACP00000025140
SINCAM003726	ENSGACP00000016163
SINCAM003726	ENSGACP00000023995
SINCAM003730	ENSGACP00000016195
SINCAM003731	ENSGACP00000003196
SINCAM003732	ENSGACP00000003189
SINCAM003732	ENSGACP00000011364
SINCAM003733	ENSGACP00000003181
SINCAM003734	ENSGACP00000005467
SINCAM003734	ENSGACP00000006130
SINCAM003735	ENSGACP00000005401
SINCAM003737	ENSGACP00000026414
SINCAM003738	ENSGACP00000018525
SINCAM003739	ENSGACP00000017723
SINCAM003739	ENSGACP00000018530
SINCAM003740	ENSGACP00000005586
SINCAM003740	ENSGACP00000026800
SINCAM003745	ENSGACP00000017842
SINCAM003746	ENSGACP00000017867
SINCAM003747	ENSGACP00000017879
SINCAM003749	ENSGACP00000013851
SINCAM003749	ENSGACP00000026448
SINCAM003750	ENSGACP00000025913
SINCAM003750	ENSGACP00000022552
SINCAM003754	ENSGACP00000012931
SINCAM003755	ENSGACP00000000216
SINCAM003755	ENSGACP00000013919
SINCAM003760	ENSGACP00000015927
SINCAM003761	ENSGACP00000015942
SINCAM003762	ENSGACP00000025992
SINCAM003763	ENSGACP00000015961
SINCAM003763	ENSGACP00000026000
SINCAM003764	ENSGACP00000026005
SINCAM003765	ENSGACP00000012017
SINCAM003765	ENSGACP00000026009
SINCAM003766	ENSGACP00000012011
SINCAM003772	ENSGACP00000026017
SINCAM003773	ENSGACP00000017307
SINCAM003774	ENSGACP00000026023
SINCAM003778	ENSGACP00000005195
SINCAM003779	ENSGACP00000005066
SINCAM003780	ENSGACP00000001014
SINCAM003780	ENSGACP00000005107
SINCAM003783	ENSGACP00000006578
SINCAM003783	ENSGACP00000025130
SINCAM003786	ENSGACP00000017824
SINCAM003788	ENSGACP00000015062
SINCAM003788	ENSGACP00000020960
SINCAM003790	ENSGACP00000021304
SINCAM003790	ENSGACP00000013352
SINCAM003793	ENSGACP00000000213
SINCAM003794	ENSGACP00000001011
SINCAM003794	ENSGACP00000016852
SINCAM003795	ENSGACP00000025939
SINCAM003797	ENSGACP00000001268
SINCAM003797	ENSGACP00000025915
SINCAM003799	ENSGACP00000026070
SINCAM003800	ENSGACP00000027034
SINCAM003800	ENSGACP00000025849
SINCAM003801	ENSGACP00000001020
SINCAM003801	ENSGACP00000015841
SINCAM003803	ENSGACP00000015837
SINCAM003803	ENSGACP00000024693
SINCAM003805	ENSGACP00000026096
SINCAM003806	ENSGACP00000026074
SINCAM003808	ENSGACP00000003630
SINCAM003808	ENSGACP00000026073
SINCAM003809	ENSGACP00000026072
SINCAM003810	ENSGACP00000003588
SINCAM003812	ENSGACP00000003579
SINCAM003814	ENSGACP00000026100
SINCAM003815	ENSGACP00000026471
SINCAM003815	ENSGACP00000012747
SINCAM003816	ENSGACP00000003569
SINCAM003816	ENSGACP00000008138
SINCAM003817	ENSGACP00000017746
SINCAM003819	ENSGACP00000025405
SINCAM003821	ENSGACP00000014379
SINCAM003822	ENSGACP00000014338
SINCAM003822	ENSGACP00000012187
SINCAM003823	ENSGACP00000014320
SINCAM003824	ENSGACP00000014394
SINCAM003824	ENSGACP00000002481
SINCAM003826	ENSGACP00000014949
SINCAM003826	ENSGACP00000026789
SINCAM003827	ENSGACP00000026326
SINCAM003828	ENSGACP00000015298
SINCAM003830	ENSGACP00000026319
SINCAM003830	ENSGACP00000015343
SINCAM003832	ENSGACP00000014906
SINCAM003832	ENSGACP00000026972
SINCAM003835	ENSGACP00000007589
SINCAM003835	ENSGACP00000003540
