ENSMODP00000000002	SINCAM921321
ENSMODP00000008801	SINCAM012645
ENSMODP00000008809	SINCAM015324
ENSMODP00000008811	SINCAM002461
ENSMODP00000008814	SINCAM008359
ENSMODP00000008820	SINCAM923165
ENSMODP00000008821	SINCAM012646
ENSMODP00000008828	SINCAM007008
ENSMODP00000008830	SINCAM005875
ENSMODP00000008835	SINCAM012647
ENSMODP00000008836	SINCAM005735
ENSMODP00000008837	SINCAM002614
ENSMODP00000008841	SINCAM922178
ENSMODP00000008844	SINCAM004009
ENSMODP00000008846	SINCAM009854
ENSMODP00000008847	SINCAM005876
ENSMODP00000008850	SINCAM002615
ENSMODP00000008852	SINCAM012447
ENSMODP00000008853	SINCAM011607
ENSMODP00000008854	SINCAM005734
ENSMODP00000008855	SINCAM015545
ENSMODP00000008856	SINCAM007611
ENSMODP00000008860	SINCAM002618
ENSMODP00000008862	SINCAM005877
ENSMODP00000008863	SINCAM012448
ENSMODP00000008864	SINCAM011608
ENSMODP00000008866	SINCAM008358
ENSMODP00000008872	SINCAM002459
ENSMODP00000008873	SINCAM000340
ENSMODP00000008876	SINCAM010396
ENSMODP00000008877	SINCAM921668
ENSMODP00000008879	SINCAM012944
ENSMODP00000008886	SINCAM010137
ENSMODP00000008893	SINCAM011550
ENSMODP00000008896	SINCAM008357
ENSMODP00000008898	SINCAM010975
ENSMODP00000008902	SINCAM010065
ENSMODP00000008906	SINCAM005202
ENSMODP00000008908	SINCAM012427
ENSMODP00000008911	SINCAM920939
ENSMODP00000008912	SINCAM012943
ENSMODP00000008916	SINCAM005200
ENSMODP00000008922	SINCAM004007
ENSMODP00000008926	SINCAM012945
ENSMODP00000008928	SINCAM004006
ENSMODP00000008929	SINCAM005142
ENSMODP00000008932	SINCAM010895
ENSMODP00000008935	SINCAM010971
ENSMODP00000008938	SINCAM922318
ENSMODP00000008943	SINCAM002620
ENSMODP00000008947	SINCAM005733
ENSMODP00000008950	SINCAM012429
ENSMODP00000008955	SINCAM011609
ENSMODP00000008959	SINCAM921137
ENSMODP00000008961	SINCAM012948
ENSMODP00000008962	SINCAM005797
ENSMODP00000008968	SINCAM003384
ENSMODP00000008970	SINCAM012368
ENSMODP00000008971	SINCAM003040
ENSMODP00000008983	SINCAM012430
ENSMODP00000008985	SINCAM008352
ENSMODP00000008988	SINCAM011613
ENSMODP00000008992	SINCAM005890
ENSMODP00000008997	SINCAM011287
ENSMODP00000008999	SINCAM922619
ENSMODP00000009000	SINCAM920999
ENSMODP00000009001	SINCAM009270
ENSMODP00000009003	SINCAM001352
ENSMODP00000009005	SINCAM005796
ENSMODP00000009009	SINCAM009824
ENSMODP00000009010	SINCAM010546
ENSMODP00000009015	SINCAM011614
ENSMODP00000009019	SINCAM005231
ENSMODP00000009030	SINCAM920998
ENSMODP00000009032	SINCAM012367
ENSMODP00000009034	SINCAM009823
ENSMODP00000009035	SINCAM002622
ENSMODP00000009036	SINCAM012426
ENSMODP00000009044	SINCAM002624
ENSMODP00000009046	SINCAM015121
ENSMODP00000009055	SINCAM921870
ENSMODP00000009056	SINCAM922233
ENSMODP00000009057	SINCAM012634
ENSMODP00000009062	SINCAM005888
ENSMODP00000009070	SINCAM010894
ENSMODP00000009071	SINCAM008355
ENSMODP00000009072	SINCAM010360
ENSMODP00000009073	SINCAM009822
ENSMODP00000009075	SINCAM012366
ENSMODP00000009077	SINCAM002625
ENSMODP00000009082	SINCAM010193
ENSMODP00000009084	SINCAM012099
ENSMODP00000009089	SINCAM002453
ENSMODP00000009090	SINCAM005887
ENSMODP00000009092	SINCAM012635
ENSMODP00000009095	SINCAM920858
ENSMODP00000009096	SINCAM005886
ENSMODP00000009098	SINCAM922234
ENSMODP00000009100	SINCAM000482
ENSMODP00000009104	SINCAM004005
ENSMODP00000009105	SINCAM012636
ENSMODP00000009115	SINCAM920780
ENSMODP00000009119	SINCAM008117
ENSMODP00000009120	SINCAM921869
ENSMODP00000009125	SINCAM004550
ENSMODP00000009126	SINCAM005227
ENSMODP00000009127	SINCAM003363
ENSMODP00000009129	SINCAM011696
ENSMODP00000009131	SINCAM004573
ENSMODP00000009132	SINCAM921143
ENSMODP00000009134	SINCAM005226
ENSMODP00000009135	SINCAM005881
ENSMODP00000009141	SINCAM011619
ENSMODP00000009143	SINCAM009820
ENSMODP00000009145	SINCAM012667
ENSMODP00000009152	SINCAM002626
ENSMODP00000009154	SINCAM004551
ENSMODP00000009159	SINCAM011620
ENSMODP00000009161	SINCAM920779
ENSMODP00000009162	SINCAM010194
ENSMODP00000009164	SINCAM009194
ENSMODP00000009165	SINCAM012666
ENSMODP00000009176	SINCAM005908
ENSMODP00000009177	SINCAM008115
ENSMODP00000009178	SINCAM002450
ENSMODP00000009180	SINCAM004929
ENSMODP00000009183	SINCAM017063
ENSMODP00000009190	SINCAM007232
ENSMODP00000009191	SINCAM012410
ENSMODP00000009196	SINCAM921029
ENSMODP00000009197	SINCAM012664
ENSMODP00000009199	SINCAM002629
ENSMODP00000009202	SINCAM011621
ENSMODP00000009204	SINCAM009819
ENSMODP00000009206	SINCAM004928
ENSMODP00000009209	SINCAM005225
ENSMODP00000009215	SINCAM004574
ENSMODP00000009219	SINCAM004552
ENSMODP00000009220	SINCAM004575
ENSMODP00000009221	SINCAM002368
ENSMODP00000009222	SINCAM006069
ENSMODP00000009224	SINCAM001358
ENSMODP00000009227	SINCAM920774
ENSMODP00000009228	SINCAM010195
ENSMODP00000009230	SINCAM012408
ENSMODP00000009234	SINCAM011623
ENSMODP00000009236	SINCAM009818
ENSMODP00000009242	SINCAM001627
ENSMODP00000009245	SINCAM004927
ENSMODP00000009248	SINCAM000260
ENSMODP00000009251	SINCAM006070
ENSMODP00000009252	SINCAM005224
ENSMODP00000009254	SINCAM000343
ENSMODP00000009257	SINCAM006475
ENSMODP00000009258	SINCAM010955
ENSMODP00000009260	SINCAM001357
ENSMODP00000009272	SINCAM921565
ENSMODP00000009275	SINCAM012422
ENSMODP00000009278	SINCAM017978
ENSMODP00000009281	SINCAM011624
ENSMODP00000009286	SINCAM002631
ENSMODP00000009295	SINCAM008114
ENSMODP00000009305	SINCAM012662
ENSMODP00000009307	SINCAM004926
ENSMODP00000009309	SINCAM005588
ENSMODP00000009310	SINCAM007233
ENSMODP00000009316	SINCAM002372
ENSMODP00000009317	SINCAM008113
ENSMODP00000009321	SINCAM008112
ENSMODP00000009324	SINCAM011568
ENSMODP00000009326	SINCAM004554
ENSMODP00000009331	SINCAM006477
ENSMODP00000009333	SINCAM003421
ENSMODP00000009339	SINCAM011625
ENSMODP00000009340	SINCAM008345
ENSMODP00000009342	SINCAM006479
ENSMODP00000009344	SINCAM007234
ENSMODP00000009347	SINCAM012639
ENSMODP00000009348	SINCAM008344
ENSMODP00000009349	SINCAM002373
ENSMODP00000009350	SINCAM006480
ENSMODP00000009354	SINCAM004555
ENSMODP00000009357	SINCAM007236
ENSMODP00000009358	SINCAM003422
ENSMODP00000009359	SINCAM922237
ENSMODP00000009360	SINCAM001460
ENSMODP00000009361	SINCAM006792
ENSMODP00000009363	SINCAM007237
ENSMODP00000009368	SINCAM002375
ENSMODP00000009369	SINCAM007238
ENSMODP00000009370	SINCAM004924
ENSMODP00000009374	SINCAM011628
ENSMODP00000009381	SINCAM002376
ENSMODP00000009382	SINCAM012640
ENSMODP00000009387	SINCAM006791
ENSMODP00000009390	SINCAM921396
ENSMODP00000009391	SINCAM005221
ENSMODP00000009392	SINCAM002378
ENSMODP00000009394	SINCAM001327
ENSMODP00000009399	SINCAM011563
ENSMODP00000009401	SINCAM012656
ENSMODP00000009403	SINCAM921395
ENSMODP00000009409	SINCAM011560
ENSMODP00000009423	SINCAM015107
ENSMODP00000009427	SINCAM002632
ENSMODP00000009428	SINCAM922891
ENSMODP00000009434	SINCAM011036
ENSMODP00000009438	SINCAM002379
ENSMODP00000009442	SINCAM001624
ENSMODP00000009445	SINCAM010295
ENSMODP00000009451	SINCAM002890
ENSMODP00000009454	SINCAM003424
ENSMODP00000009461	SINCAM004919
ENSMODP00000009468	SINCAM002380
ENSMODP00000009469	SINCAM014983
ENSMODP00000009471	SINCAM922155
ENSMODP00000009473	SINCAM010294
ENSMODP00000009475	SINCAM012444
ENSMODP00000009476	SINCAM008774
ENSMODP00000009482	SINCAM004577
ENSMODP00000009488	SINCAM003425
ENSMODP00000009490	SINCAM002381
ENSMODP00000009492	SINCAM012286
ENSMODP00000009497	SINCAM922011
ENSMODP00000009501	SINCAM008342
ENSMODP00000009502	SINCAM015106
ENSMODP00000009504	SINCAM011289
ENSMODP00000009505	SINCAM009926
ENSMODP00000009507	SINCAM921763
ENSMODP00000009509	SINCAM004916
ENSMODP00000009510	SINCAM011257
ENSMODP00000009522	SINCAM921394
ENSMODP00000009523	SINCAM012657
ENSMODP00000009524	SINCAM016269
ENSMODP00000009526	SINCAM922154
ENSMODP00000009530	SINCAM014985
ENSMODP00000009533	SINCAM003429
ENSMODP00000009535	SINCAM921144
ENSMODP00000009537	SINCAM015690
ENSMODP00000009538	SINCAM921026
ENSMODP00000009541	SINCAM011256
ENSMODP00000009551	SINCAM002383
ENSMODP00000009556	SINCAM922979
ENSMODP00000009558	SINCAM011254
ENSMODP00000009562	SINCAM006035
ENSMODP00000009566	SINCAM012629
ENSMODP00000009570	SINCAM000398
ENSMODP00000009572	SINCAM922176
ENSMODP00000009573	SINCAM006466
ENSMODP00000009575	SINCAM013355
ENSMODP00000009576	SINCAM008341
ENSMODP00000009579	SINCAM002633
ENSMODP00000009580	SINCAM004912
ENSMODP00000009581	SINCAM923095
ENSMODP00000009583	SINCAM002384
ENSMODP00000009594	SINCAM014913
ENSMODP00000009595	SINCAM009931
ENSMODP00000009598	SINCAM920626
ENSMODP00000009601	SINCAM011253
ENSMODP00000009603	SINCAM008340
ENSMODP00000009605	SINCAM003430
ENSMODP00000009608	SINCAM011629
ENSMODP00000009618	SINCAM006789
ENSMODP00000009619	SINCAM006496
ENSMODP00000009624	SINCAM004581
ENSMODP00000009625	SINCAM920627
ENSMODP00000009626	SINCAM921283
ENSMODP00000009629	SINCAM008339
ENSMODP00000009632	SINCAM011252
ENSMODP00000009634	SINCAM006788
ENSMODP00000009635	SINCAM011032
ENSMODP00000009636	SINCAM008338
ENSMODP00000009639	SINCAM920628
ENSMODP00000009641	SINCAM001623
ENSMODP00000009642	SINCAM011251
ENSMODP00000009647	SINCAM011250
ENSMODP00000009648	SINCAM004258
ENSMODP00000009649	SINCAM007545
ENSMODP00000009651	SINCAM921965
ENSMODP00000009653	SINCAM012003
ENSMODP00000009659	SINCAM009932
ENSMODP00000009661	SINCAM008336
ENSMODP00000009664	SINCAM921181
ENSMODP00000009668	SINCAM004582
ENSMODP00000009674	SINCAM007239
ENSMODP00000009675	SINCAM011249
ENSMODP00000009678	SINCAM011498
ENSMODP00000009679	SINCAM921966
ENSMODP00000009681	SINCAM011630
ENSMODP00000009683	SINCAM920940
ENSMODP00000009686	SINCAM009860
ENSMODP00000009689	SINCAM012658
ENSMODP00000009690	SINCAM007241
ENSMODP00000009691	SINCAM014973
ENSMODP00000009692	SINCAM011631
ENSMODP00000009698	SINCAM921882
ENSMODP00000009699	SINCAM920629
ENSMODP00000009701	SINCAM004256
ENSMODP00000009704	SINCAM012415
ENSMODP00000009705	SINCAM921884
ENSMODP00000009706	SINCAM011248
ENSMODP00000009708	SINCAM004583
ENSMODP00000009711	SINCAM006786
ENSMODP00000009712	SINCAM008333
ENSMODP00000009713	SINCAM012417
ENSMODP00000009715	SINCAM001622
ENSMODP00000009717	SINCAM015346
ENSMODP00000009720	SINCAM002635
ENSMODP00000009725	SINCAM004796
ENSMODP00000009731	SINCAM008569
ENSMODP00000009736	SINCAM014995
ENSMODP00000009737	SINCAM011246
ENSMODP00000009740	SINCAM009797
ENSMODP00000009741	SINCAM921585
ENSMODP00000009743	SINCAM011632
ENSMODP00000009744	SINCAM920819
ENSMODP00000009747	SINCAM008331
ENSMODP00000009748	SINCAM014993
ENSMODP00000009750	SINCAM001465
ENSMODP00000009761	SINCAM920820
ENSMODP00000009767	SINCAM004797
ENSMODP00000009768	SINCAM015260
ENSMODP00000009773	SINCAM921282
ENSMODP00000009774	SINCAM009933
ENSMODP00000009775	SINCAM009798
ENSMODP00000009776	SINCAM009446
ENSMODP00000009783	SINCAM017174
ENSMODP00000009789	SINCAM922590
ENSMODP00000009790	SINCAM004584
ENSMODP00000009791	SINCAM002638
ENSMODP00000009797	SINCAM004585
ENSMODP00000009798	SINCAM011245
ENSMODP00000009804	SINCAM008330
ENSMODP00000009813	SINCAM001382
ENSMODP00000009815	SINCAM001618
ENSMODP00000009819	SINCAM009799
ENSMODP00000009820	SINCAM921611
ENSMODP00000009821	SINCAM004798
ENSMODP00000009822	SINCAM922982
ENSMODP00000009823	SINCAM921281
ENSMODP00000009827	SINCAM921664
ENSMODP00000009833	SINCAM923129
ENSMODP00000009837	SINCAM009801
ENSMODP00000009839	SINCAM920642
ENSMODP00000009840	SINCAM009934
ENSMODP00000009843	SINCAM922238
ENSMODP00000009844	SINCAM016150
ENSMODP00000009847	SINCAM012593
ENSMODP00000009853	SINCAM011243
ENSMODP00000009855	SINCAM002575
ENSMODP00000009858	SINCAM001617
ENSMODP00000009859	SINCAM920641
ENSMODP00000009861	SINCAM002574
ENSMODP00000009864	SINCAM921280
ENSMODP00000009865	SINCAM002765
ENSMODP00000009870	SINCAM010086
ENSMODP00000009872	SINCAM922239
ENSMODP00000009873	SINCAM004519
ENSMODP00000009874	SINCAM009802
ENSMODP00000009882	SINCAM003416
ENSMODP00000009883	SINCAM002385
ENSMODP00000009886	SINCAM015344
ENSMODP00000009893	SINCAM009803
ENSMODP00000009899	SINCAM001378
ENSMODP00000009900	SINCAM001616
ENSMODP00000009901	SINCAM009804
ENSMODP00000009904	SINCAM015343
ENSMODP00000009906	SINCAM920639
ENSMODP00000009907	SINCAM921182
ENSMODP00000009908	SINCAM922566
ENSMODP00000009912	SINCAM002573
ENSMODP00000009917	SINCAM900080
ENSMODP00000009921	SINCAM010075
ENSMODP00000009923	SINCAM003122
ENSMODP00000009928	SINCAM014455
ENSMODP00000009933	SINCAM001381
ENSMODP00000009934	SINCAM010074
ENSMODP00000009936	SINCAM900079
ENSMODP00000009938	SINCAM003893
ENSMODP00000009941	SINCAM009805
ENSMODP00000009943	SINCAM922837
ENSMODP00000009950	SINCAM012653
ENSMODP00000009951	SINCAM011634
ENSMODP00000009955	SINCAM004799
ENSMODP00000009957	SINCAM015342
ENSMODP00000009958	SINCAM005434
ENSMODP00000009959	SINCAM010072
ENSMODP00000009960	SINCAM006784
ENSMODP00000009961	SINCAM004517
ENSMODP00000009964	SINCAM010070
ENSMODP00000009965	SINCAM922322
ENSMODP00000009967	SINCAM920806
ENSMODP00000009969	SINCAM922838
ENSMODP00000009976	SINCAM010069
ENSMODP00000009977	SINCAM003438
ENSMODP00000009979	SINCAM004013
ENSMODP00000009982	SINCAM012652
ENSMODP00000009983	SINCAM009806
ENSMODP00000009984	SINCAM001615
ENSMODP00000009985	SINCAM900077
ENSMODP00000009986	SINCAM006739
ENSMODP00000009988	SINCAM010068
ENSMODP00000009992	SINCAM014371
ENSMODP00000009993	SINCAM001376
ENSMODP00000009994	SINCAM004800
ENSMODP00000009995	SINCAM005525
ENSMODP00000009998	SINCAM009807
ENSMODP00000010000	SINCAM006523
ENSMODP00000010002	SINCAM012660
ENSMODP00000010004	SINCAM010155
ENSMODP00000010005	SINCAM011494
ENSMODP00000010010	SINCAM001375
ENSMODP00000010012	SINCAM011242
ENSMODP00000010013	SINCAM920891
ENSMODP00000010015	SINCAM009809
ENSMODP00000010016	SINCAM920941
ENSMODP00000010018	SINCAM002569
ENSMODP00000010022	SINCAM011241
ENSMODP00000010024	SINCAM015759
ENSMODP00000010027	SINCAM008649
ENSMODP00000010029	SINCAM003439
ENSMODP00000010033	SINCAM010153
ENSMODP00000010034	SINCAM012377
ENSMODP00000010038	SINCAM002389
ENSMODP00000010040	SINCAM006463
ENSMODP00000010041	SINCAM010361
ENSMODP00000010042	SINCAM003895
ENSMODP00000010044	SINCAM001365
ENSMODP00000010047	SINCAM006741
ENSMODP00000010049	SINCAM005527
ENSMODP00000010050	SINCAM900075
ENSMODP00000010052	SINCAM009811
ENSMODP00000010054	SINCAM004012
ENSMODP00000010056	SINCAM922043
ENSMODP00000010057	SINCAM011635
ENSMODP00000010058	SINCAM004380
ENSMODP00000010060	SINCAM014372
ENSMODP00000010064	SINCAM004801
ENSMODP00000010067	SINCAM922153
ENSMODP00000010068	SINCAM008328
ENSMODP00000010069	SINCAM011636
ENSMODP00000010072	SINCAM011238
ENSMODP00000010073	SINCAM002297
ENSMODP00000010074	SINCAM010364
ENSMODP00000010075	SINCAM004802
ENSMODP00000010077	SINCAM011239
ENSMODP00000010078	SINCAM014369
ENSMODP00000010079	SINCAM005528
ENSMODP00000010081	SINCAM010365
ENSMODP00000010082	SINCAM001266
ENSMODP00000010083	SINCAM001367
ENSMODP00000010084	SINCAM006742
ENSMODP00000010089	SINCAM013818
ENSMODP00000010091	SINCAM003440
ENSMODP00000010095	SINCAM017531
ENSMODP00000010101	SINCAM005529
ENSMODP00000010102	SINCAM002568
ENSMODP00000010105	SINCAM011237
ENSMODP00000010111	SINCAM004011
ENSMODP00000010114	SINCAM010368
ENSMODP00000010115	SINCAM900072
ENSMODP00000010119	SINCAM004804
ENSMODP00000010121	SINCAM920572
ENSMODP00000010122	SINCAM900071
ENSMODP00000010123	SINCAM000246
ENSMODP00000010124	SINCAM003898
ENSMODP00000010125	SINCAM008327
ENSMODP00000010126	SINCAM006743
ENSMODP00000010129	SINCAM002567
ENSMODP00000010131	SINCAM016870
ENSMODP00000010132	SINCAM012142
ENSMODP00000010133	SINCAM005356
ENSMODP00000010134	SINCAM921231
ENSMODP00000010135	SINCAM001614
ENSMODP00000010141	SINCAM005357
ENSMODP00000010144	SINCAM900070
ENSMODP00000010147	SINCAM002566
ENSMODP00000010148	SINCAM003899
ENSMODP00000010152	SINCAM920835
ENSMODP00000010154	SINCAM005530
ENSMODP00000010159	SINCAM922217
ENSMODP00000010163	SINCAM011236
ENSMODP00000010166	SINCAM001035
ENSMODP00000010167	SINCAM009791
ENSMODP00000010173	SINCAM922201
ENSMODP00000010174	SINCAM006745
ENSMODP00000010181	SINCAM011523
ENSMODP00000010183	SINCAM006454
ENSMODP00000010188	SINCAM001612
ENSMODP00000010190	SINCAM004805
ENSMODP00000010191	SINCAM011235
ENSMODP00000010192	SINCAM013822
ENSMODP00000010194	SINCAM010146
ENSMODP00000010195	SINCAM922044
ENSMODP00000010196	SINCAM001036
ENSMODP00000010197	SINCAM007484
ENSMODP00000010198	SINCAM012421
ENSMODP00000010199	SINCAM920753
ENSMODP00000010202	SINCAM011524
ENSMODP00000010206	SINCAM013672
ENSMODP00000010208	SINCAM012650
ENSMODP00000010210	SINCAM014685
ENSMODP00000010211	SINCAM004806
ENSMODP00000010212	SINCAM002565
ENSMODP00000010214	SINCAM007379
ENSMODP00000010218	SINCAM011234
ENSMODP00000010221	SINCAM008325
ENSMODP00000010225	SINCAM006746
ENSMODP00000010230	SINCAM001610
ENSMODP00000010233	SINCAM007243
ENSMODP00000010234	SINCAM006747
ENSMODP00000010235	SINCAM003501
ENSMODP00000010236	SINCAM000161
ENSMODP00000010237	SINCAM014770
ENSMODP00000010242	SINCAM001609
ENSMODP00000010247	SINCAM011525
ENSMODP00000010248	SINCAM011233
ENSMODP00000010251	SINCAM003502
ENSMODP00000010252	SINCAM001608
ENSMODP00000010253	SINCAM003442
ENSMODP00000010254	SINCAM002564
ENSMODP00000010261	SINCAM001602
ENSMODP00000010266	SINCAM004807
ENSMODP00000010271	SINCAM921601
ENSMODP00000010272	SINCAM012379
ENSMODP00000010273	SINCAM007245
ENSMODP00000010276	SINCAM002563
ENSMODP00000010277	SINCAM920943
ENSMODP00000010278	SINCAM008323
ENSMODP00000010279	SINCAM009828
ENSMODP00000010281	SINCAM004586
ENSMODP00000010284	SINCAM011232
ENSMODP00000010285	SINCAM005537
ENSMODP00000010286	SINCAM004808
ENSMODP00000010294	SINCAM014410
ENSMODP00000010295	SINCAM007246
ENSMODP00000010296	SINCAM003443
ENSMODP00000010299	SINCAM004809
ENSMODP00000010301	SINCAM002562
ENSMODP00000010302	SINCAM005538
ENSMODP00000010304	SINCAM920690
ENSMODP00000010305	SINCAM004061
ENSMODP00000010308	SINCAM012679
ENSMODP00000010318	SINCAM007613
ENSMODP00000010320	SINCAM013800
ENSMODP00000010321	SINCAM011388
ENSMODP00000010322	SINCAM001826
ENSMODP00000010325	SINCAM013801
ENSMODP00000010326	SINCAM922678
ENSMODP00000010327	SINCAM003444
ENSMODP00000010328	SINCAM014408
ENSMODP00000010329	SINCAM010148
ENSMODP00000010331	SINCAM001825
ENSMODP00000010332	SINCAM014998
ENSMODP00000010334	SINCAM004813
ENSMODP00000010341	SINCAM003503
ENSMODP00000010342	SINCAM003445
ENSMODP00000010345	SINCAM014380
ENSMODP00000010346	SINCAM004060
ENSMODP00000010351	SINCAM007248
ENSMODP00000010352	SINCAM010149
ENSMODP00000010354	SINCAM009789
ENSMODP00000010357	SINCAM014381
ENSMODP00000010361	SINCAM001038
ENSMODP00000010363	SINCAM003505
ENSMODP00000010366	SINCAM012703
ENSMODP00000010367	SINCAM011230
ENSMODP00000010371	SINCAM010150
ENSMODP00000010373	SINCAM003903
ENSMODP00000010376	SINCAM921139
ENSMODP00000010377	SINCAM016725
ENSMODP00000010378	SINCAM922197
ENSMODP00000010382	SINCAM002558
ENSMODP00000010383	SINCAM011390
ENSMODP00000010392	SINCAM012648
ENSMODP00000010394	SINCAM013766
ENSMODP00000010396	SINCAM922265
ENSMODP00000010397	SINCAM922677
ENSMODP00000010400	SINCAM001824
ENSMODP00000010403	SINCAM004815
ENSMODP00000010406	SINCAM002557
ENSMODP00000010412	SINCAM004588
ENSMODP00000010416	SINCAM002881
ENSMODP00000010417	SINCAM001823
ENSMODP00000010421	SINCAM007696
ENSMODP00000010422	SINCAM010152
ENSMODP00000010424	SINCAM922122
ENSMODP00000010425	SINCAM010381
ENSMODP00000010430	SINCAM011226
ENSMODP00000010431	SINCAM001597
ENSMODP00000010433	SINCAM921557
ENSMODP00000010435	SINCAM001920
ENSMODP00000010436	SINCAM016470
ENSMODP00000010437	SINCAM008367
ENSMODP00000010442	SINCAM010293
ENSMODP00000010443	SINCAM921602
ENSMODP00000010452	SINCAM920573
ENSMODP00000010453	SINCAM007425
ENSMODP00000010455	SINCAM007251
ENSMODP00000010458	SINCAM009615
ENSMODP00000010461	SINCAM004816
ENSMODP00000010463	SINCAM009616
ENSMODP00000010471	SINCAM003446
ENSMODP00000010473	SINCAM001596
ENSMODP00000010480	SINCAM004818
ENSMODP00000010482	SINCAM009617
ENSMODP00000010485	SINCAM922378
ENSMODP00000010488	SINCAM007252
ENSMODP00000010490	SINCAM003447
ENSMODP00000010492	SINCAM922676
ENSMODP00000010498	SINCAM012193
ENSMODP00000010500	SINCAM008104
ENSMODP00000010502	SINCAM013014
ENSMODP00000010503	SINCAM921603
ENSMODP00000010509	SINCAM011222
ENSMODP00000010517	SINCAM921558
ENSMODP00000010519	SINCAM921958
ENSMODP00000010520	SINCAM900065
ENSMODP00000010522	SINCAM002878
ENSMODP00000010524	SINCAM009618
ENSMODP00000010529	SINCAM012611
ENSMODP00000010533	SINCAM001594
ENSMODP00000010535	SINCAM004589
ENSMODP00000010539	SINCAM003448
ENSMODP00000010540	SINCAM014382
ENSMODP00000010543	SINCAM012612
ENSMODP00000010545	SINCAM921663
ENSMODP00000010547	SINCAM004819
ENSMODP00000010550	SINCAM003404
ENSMODP00000010551	SINCAM923028
ENSMODP00000010552	SINCAM002877
ENSMODP00000010556	SINCAM002555
ENSMODP00000010557	SINCAM016052
ENSMODP00000010559	SINCAM920689
ENSMODP00000010561	SINCAM011746
ENSMODP00000010565	SINCAM014891
ENSMODP00000010566	SINCAM010291
ENSMODP00000010567	SINCAM001593
ENSMODP00000010568	SINCAM920576
ENSMODP00000010569	SINCAM002876
ENSMODP00000010571	SINCAM921555
ENSMODP00000010572	SINCAM009116
ENSMODP00000010573	SINCAM003453
ENSMODP00000010574	SINCAM001822
ENSMODP00000010577	SINCAM014379
ENSMODP00000010582	SINCAM003451
ENSMODP00000010583	SINCAM002875
ENSMODP00000010586	SINCAM014745
ENSMODP00000010587	SINCAM009619
ENSMODP00000010590	SINCAM002874
ENSMODP00000010591	SINCAM922001
ENSMODP00000010597	SINCAM004591
ENSMODP00000010599	SINCAM003450
ENSMODP00000010602	SINCAM007255
ENSMODP00000010606	SINCAM006749
ENSMODP00000010607	SINCAM922198
ENSMODP00000010609	SINCAM001592
ENSMODP00000010610	SINCAM009111
ENSMODP00000010617	SINCAM004378
ENSMODP00000010621	SINCAM003449
ENSMODP00000010622	SINCAM921937
ENSMODP00000010623	SINCAM015122
ENSMODP00000010624	SINCAM004592
ENSMODP00000010627	SINCAM010191
ENSMODP00000010629	SINCAM009248
ENSMODP00000010630	SINCAM921375
ENSMODP00000010636	SINCAM003587
ENSMODP00000010639	SINCAM002554
ENSMODP00000010642	SINCAM001043
ENSMODP00000010644	SINCAM922263
ENSMODP00000010646	SINCAM010266
ENSMODP00000010650	SINCAM008103
ENSMODP00000010652	SINCAM004593
ENSMODP00000010654	SINCAM004823
ENSMODP00000010655	SINCAM001044
ENSMODP00000010658	SINCAM002553
ENSMODP00000010661	SINCAM011219
ENSMODP00000010666	SINCAM921325
ENSMODP00000010668	SINCAM008102
ENSMODP00000010671	SINCAM005021
ENSMODP00000010672	SINCAM007456
ENSMODP00000010675	SINCAM007457
ENSMODP00000010677	SINCAM001588
ENSMODP00000010678	SINCAM011742
ENSMODP00000010680	SINCAM012900
ENSMODP00000010683	SINCAM003635
ENSMODP00000010685	SINCAM015023
ENSMODP00000010689	SINCAM920431
ENSMODP00000010691	SINCAM006607
ENSMODP00000010693	SINCAM010265
ENSMODP00000010695	SINCAM011218
ENSMODP00000010696	SINCAM015022
ENSMODP00000010701	SINCAM009416
ENSMODP00000010705	SINCAM014627
ENSMODP00000010708	SINCAM009620
ENSMODP00000010712	SINCAM004824
ENSMODP00000010716	SINCAM921955
ENSMODP00000010717	SINCAM003633
ENSMODP00000010718	SINCAM008101
ENSMODP00000010721	SINCAM007500
ENSMODP00000010724	SINCAM010298
ENSMODP00000010727	SINCAM004825
ENSMODP00000010728	SINCAM009622
ENSMODP00000010729	SINCAM001045
ENSMODP00000010730	SINCAM922261
ENSMODP00000010735	SINCAM007256
ENSMODP00000010740	SINCAM008099
ENSMODP00000010742	SINCAM017211
ENSMODP00000010743	SINCAM003623
ENSMODP00000010746	SINCAM015807
ENSMODP00000010747	SINCAM921954
ENSMODP00000010748	SINCAM002837
ENSMODP00000010750	SINCAM015123
ENSMODP00000010751	SINCAM001068
ENSMODP00000010752	SINCAM011216
ENSMODP00000010753	SINCAM007257
ENSMODP00000010755	SINCAM008097
ENSMODP00000010760	SINCAM009427
ENSMODP00000010761	SINCAM009623
ENSMODP00000010766	SINCAM921605
ENSMODP00000010769	SINCAM008096
ENSMODP00000010772	SINCAM009426
ENSMODP00000010778	SINCAM008095
ENSMODP00000010779	SINCAM010299
ENSMODP00000010781	SINCAM009501
ENSMODP00000010783	SINCAM014802
ENSMODP00000010785	SINCAM003624
ENSMODP00000010790	SINCAM000281
ENSMODP00000010794	SINCAM002831
ENSMODP00000010796	SINCAM010300
ENSMODP00000010797	SINCAM004826
ENSMODP00000010813	SINCAM007258
ENSMODP00000010816	SINCAM922674
ENSMODP00000010817	SINCAM003626
ENSMODP00000010820	SINCAM002838
ENSMODP00000010824	SINCAM004828
