SINLEJ016576	ENSLOCP00000000004
SINLEJ009642	ENSLOCP00000007026
SINLEJ009637	ENSLOCP00000007026
SINLEJ014286	ENSLOCP00000007029
SINLEJ014285	ENSLOCP00000007029
SINLEJ010038	ENSLOCP00000007031
SINLEJ014429	ENSLOCP00000007032
SINLEJ008977	ENSLOCP00000007033
SINLEJ017234	ENSLOCP00000007038
SINLEJ011626	ENSLOCP00000007039
SINLEJ001505	ENSLOCP00000007043
SINLEJ009385	ENSLOCP00000007044
SINLEJ000168	ENSLOCP00000007045
SINLEJ006771	ENSLOCP00000007048
SINLEJ013010	ENSLOCP00000007050
SINLEJ012180	ENSLOCP00000007051
SINLEJ011846	ENSLOCP00000007052
SINLEJ010545	ENSLOCP00000007053
SINLEJ005879	ENSLOCP00000007054
SINLEJ000334	ENSLOCP00000007056
SINLEJ008627	ENSLOCP00000007059
SINLEJ016881	ENSLOCP00000007064
SINLEJ016880	ENSLOCP00000007064
SINLEJ015206	ENSLOCP00000007066
SINLEJ011501	ENSLOCP00000007067
SINLEJ018350	ENSLOCP00000007068
SINLEJ017903	ENSLOCP00000007069
SINLEJ600371	ENSLOCP00000007072
SINLEJ004201	ENSLOCP00000007073
SINLEJ002982	ENSLOCP00000007075
SINLEJ001425	ENSLOCP00000007079
SINLEJ015345	ENSLOCP00000007079
SINLEJ008148	ENSLOCP00000007080
SINLEJ003176	ENSLOCP00000007081
SINLEJ005649	ENSLOCP00000007081
SINLEJ004272	ENSLOCP00000007086
SINLEJ012679	ENSLOCP00000007087
SINLEJ012450	ENSLOCP00000007092
SINLEJ006746	ENSLOCP00000007096
SINLEJ002979	ENSLOCP00000007096
SINLEJ006979	ENSLOCP00000007099
SINLEJ015208	ENSLOCP00000007102
SINLEJ015209	ENSLOCP00000007102
SINLEJ004200	ENSLOCP00000007103
SINLEJ018237	ENSLOCP00000007105
SINLEJ017889	ENSLOCP00000007105
SINLEJ007061	ENSLOCP00000007108
SINLEJ007675	ENSLOCP00000007109
SINLEJ010502	ENSLOCP00000007111
SINLEJ013212	ENSLOCP00000007115
SINLEJ011047	ENSLOCP00000007116
SINLEJ011012	ENSLOCP00000007117
SINLEJ017895	ENSLOCP00000007122
SINLEJ006981	ENSLOCP00000007125
SINLEJ006980	ENSLOCP00000007125
SINLEJ005463	ENSLOCP00000007127
SINLEJ000605	ENSLOCP00000007128
SINLEJ000604	ENSLOCP00000007128
SINLEJ008423	ENSLOCP00000007132
SINLEJ008422	ENSLOCP00000007132
SINLEJ013177	ENSLOCP00000007133
SINLEJ013173	ENSLOCP00000007133
SINLEJ015325	ENSLOCP00000007134
SINLEJ001302	ENSLOCP00000007134
SINLEJ016273	ENSLOCP00000007136
SINLEJ017598	ENSLOCP00000007136
SINLEJ014947	ENSLOCP00000007138
SINLEJ003618	ENSLOCP00000007138
SINLEJ004691	ENSLOCP00000007139
SINLEJ011122	ENSLOCP00000007140
SINLEJ008250	ENSLOCP00000007143
SINLEJ008249	ENSLOCP00000007143
SINLEJ015326	ENSLOCP00000007149
SINLEJ019196	ENSLOCP00000007149
SINLEJ011789	ENSLOCP00000007152
SINLEJ005476	ENSLOCP00000007153
SINLEJ007751	ENSLOCP00000007155
SINLEJ003516	ENSLOCP00000007156
SINLEJ004694	ENSLOCP00000007156
SINLEJ009257	ENSLOCP00000007157
SINLEJ003719	ENSLOCP00000007158
SINLEJ019330	ENSLOCP00000007158
SINLEJ011519	ENSLOCP00000007159
SINLEJ011520	ENSLOCP00000007159
SINLEJ002689	ENSLOCP00000007160
SINLEJ009326	ENSLOCP00000007163
SINLEJ004269	ENSLOCP00000007165
SINLEJ004267	ENSLOCP00000007165
SINLEJ006759	ENSLOCP00000007166
SINLEJ008403	ENSLOCP00000007166
SINLEJ017064	ENSLOCP00000007168
SINLEJ007112	ENSLOCP00000007169
SINLEJ007111	ENSLOCP00000007169
SINLEJ004134	ENSLOCP00000007170
SINLEJ016973	ENSLOCP00000007173
SINLEJ009778	ENSLOCP00000007173
SINLEJ600310	ENSLOCP00000007176
SINLEJ006182	ENSLOCP00000007176
SINLEJ003588	ENSLOCP00000007178
SINLEJ014974	ENSLOCP00000007178
SINLEJ008848	ENSLOCP00000007179
SINLEJ008847	ENSLOCP00000007179
SINLEJ010117	ENSLOCP00000007180
SINLEJ008242	ENSLOCP00000007182
SINLEJ009745	ENSLOCP00000007182
SINLEJ003757	ENSLOCP00000007183
SINLEJ011652	ENSLOCP00000007183
SINLEJ013155	ENSLOCP00000007185
SINLEJ010830	ENSLOCP00000007190
SINLEJ010041	ENSLOCP00000007191
SINLEJ013268	ENSLOCP00000007192
SINLEJ013258	ENSLOCP00000007192
SINLEJ014176	ENSLOCP00000007193
SINLEJ014148	ENSLOCP00000007193
SINLEJ003783	ENSLOCP00000007194
SINLEJ003784	ENSLOCP00000007194
SINLEJ014709	ENSLOCP00000007202
SINLEJ005223	ENSLOCP00000007202
SINLEJ018304	ENSLOCP00000007203
SINLEJ017904	ENSLOCP00000007203
SINLEJ003715	ENSLOCP00000007209
SINLEJ003718	ENSLOCP00000007209
SINLEJ009371	ENSLOCP00000007214
SINLEJ009678	ENSLOCP00000007216
SINLEJ009679	ENSLOCP00000007216
SINLEJ009712	ENSLOCP00000007217
SINLEJ012054	ENSLOCP00000007223
SINLEJ600304	ENSLOCP00000007225
SINLEJ012751	ENSLOCP00000007226
SINLEJ008078	ENSLOCP00000007227
SINLEJ019450	ENSLOCP00000007227
SINLEJ007752	ENSLOCP00000007228
SINLEJ001410	ENSLOCP00000007230
SINLEJ003498	ENSLOCP00000007230
SINLEJ013011	ENSLOCP00000007232
SINLEJ010042	ENSLOCP00000007233
SINLEJ012156	ENSLOCP00000007239
SINLEJ012154	ENSLOCP00000007239
SINLEJ013952	ENSLOCP00000007240
SINLEJ019174	ENSLOCP00000007242
SINLEJ019195	ENSLOCP00000007242
SINLEJ017085	ENSLOCP00000007245
SINLEJ006733	ENSLOCP00000007246
SINLEJ014879	ENSLOCP00000007249
SINLEJ003356	ENSLOCP00000007251
SINLEJ001413	ENSLOCP00000007253
SINLEJ001412	ENSLOCP00000007253
SINLEJ007073	ENSLOCP00000007256
SINLEJ019325	ENSLOCP00000007257
SINLEJ004508	ENSLOCP00000007257
SINLEJ003975	ENSLOCP00000007260
SINLEJ010043	ENSLOCP00000007261
SINLEJ009213	ENSLOCP00000007265
SINLEJ019460	ENSLOCP00000007265
SINLEJ005352	ENSLOCP00000007269
SINLEJ019414	ENSLOCP00000007275
SINLEJ015996	ENSLOCP00000007275
SINLEJ001414	ENSLOCP00000007276
SINLEJ013697	ENSLOCP00000007280
SINLEJ013698	ENSLOCP00000007280
SINLEJ011286	ENSLOCP00000007283
SINLEJ001169	ENSLOCP00000007283
SINLEJ015403	ENSLOCP00000007288
SINLEJ003578	ENSLOCP00000007288
SINLEJ002868	ENSLOCP00000007291
SINLEJ009006	ENSLOCP00000007291
SINLEJ010795	ENSLOCP00000007296
SINLEJ000240	ENSLOCP00000007296
SINLEJ008596	ENSLOCP00000007298
SINLEJ010037	ENSLOCP00000007299
SINLEJ011621	ENSLOCP00000007301
SINLEJ018727	ENSLOCP00000007301
SINLEJ011722	ENSLOCP00000007304
SINLEJ005717	ENSLOCP00000007306
SINLEJ002997	ENSLOCP00000007307
SINLEJ006257	ENSLOCP00000007311
SINLEJ001415	ENSLOCP00000007314
SINLEJ000904	ENSLOCP00000007315
SINLEJ009836	ENSLOCP00000007316
SINLEJ009643	ENSLOCP00000007316
SINLEJ600174	ENSLOCP00000007317
SINLEJ600175	ENSLOCP00000007317
SINLEJ001490	ENSLOCP00000007323
SINLEJ015189	ENSLOCP00000007324
SINLEJ018862	ENSLOCP00000007324
SINLEJ002891	ENSLOCP00000007325
SINLEJ011721	ENSLOCP00000007327
SINLEJ002776	ENSLOCP00000007328
SINLEJ600162	ENSLOCP00000007328
SINLEJ005718	ENSLOCP00000007329
SINLEJ019399	ENSLOCP00000007330
SINLEJ010736	ENSLOCP00000007332
SINLEJ009826	ENSLOCP00000007334
SINLEJ002861	ENSLOCP00000007334
SINLEJ006480	ENSLOCP00000007335
SINLEJ006988	ENSLOCP00000007336
SINLEJ011630	ENSLOCP00000007339
SINLEJ009948	ENSLOCP00000007340
SINLEJ017019	ENSLOCP00000007340
SINLEJ009143	ENSLOCP00000007347
SINLEJ009144	ENSLOCP00000007347
SINLEJ600165	ENSLOCP00000007349
SINLEJ004734	ENSLOCP00000007350
SINLEJ005719	ENSLOCP00000007352
SINLEJ008201	ENSLOCP00000007356
SINLEJ007080	ENSLOCP00000007357
SINLEJ017104	ENSLOCP00000007357
SINLEJ017632	ENSLOCP00000007358
SINLEJ011103	ENSLOCP00000007358
SINLEJ006992	ENSLOCP00000007360
SINLEJ006991	ENSLOCP00000007360
SINLEJ015384	ENSLOCP00000007364
SINLEJ014768	ENSLOCP00000007365
SINLEJ002904	ENSLOCP00000007365
SINLEJ012086	ENSLOCP00000007367
SINLEJ009165	ENSLOCP00000007370
SINLEJ008804	ENSLOCP00000007370
SINLEJ003342	ENSLOCP00000007372
SINLEJ600290	ENSLOCP00000007372
SINLEJ018545	ENSLOCP00000007374
SINLEJ018334	ENSLOCP00000007374
SINLEJ017859	ENSLOCP00000007376
SINLEJ016279	ENSLOCP00000007376
SINLEJ012547	ENSLOCP00000007378
SINLEJ012548	ENSLOCP00000007378
SINLEJ006468	ENSLOCP00000007379
SINLEJ006469	ENSLOCP00000007379
SINLEJ008843	ENSLOCP00000007383
SINLEJ003219	ENSLOCP00000007384
SINLEJ003218	ENSLOCP00000007384
SINLEJ004191	ENSLOCP00000007386
SINLEJ000038	ENSLOCP00000007386
SINLEJ013881	ENSLOCP00000007388
SINLEJ011629	ENSLOCP00000007389
SINLEJ008807	ENSLOCP00000007390
SINLEJ008806	ENSLOCP00000007390
SINLEJ015388	ENSLOCP00000007391
SINLEJ009076	ENSLOCP00000007393
SINLEJ001577	ENSLOCP00000007394
SINLEJ600313	ENSLOCP00000007394
SINLEJ000371	ENSLOCP00000007395
SINLEJ010829	ENSLOCP00000007396
SINLEJ006994	ENSLOCP00000007398
SINLEJ006467	ENSLOCP00000007400
SINLEJ600209	ENSLOCP00000007403
SINLEJ003755	ENSLOCP00000007404
SINLEJ011130	ENSLOCP00000007407
SINLEJ008844	ENSLOCP00000007407
SINLEJ014134	ENSLOCP00000007410
SINLEJ013090	ENSLOCP00000007411
SINLEJ013880	ENSLOCP00000007419
SINLEJ006993	ENSLOCP00000007420
SINLEJ005667	ENSLOCP00000007422
SINLEJ016111	ENSLOCP00000007424
SINLEJ014850	ENSLOCP00000007425
SINLEJ014849	ENSLOCP00000007425
SINLEJ001465	ENSLOCP00000007427
SINLEJ013147	ENSLOCP00000007430
SINLEJ013148	ENSLOCP00000007430
SINLEJ007093	ENSLOCP00000007431
SINLEJ007092	ENSLOCP00000007431
SINLEJ010798	ENSLOCP00000007432
SINLEJ007777	ENSLOCP00000007434
SINLEJ012220	ENSLOCP00000007434
SINLEJ001997	ENSLOCP00000007438
SINLEJ017468	ENSLOCP00000007440
SINLEJ001593	ENSLOCP00000007441
SINLEJ003325	ENSLOCP00000007445
SINLEJ001334	ENSLOCP00000007445
SINLEJ009266	ENSLOCP00000007447
SINLEJ000646	ENSLOCP00000007447
SINLEJ007463	ENSLOCP00000007449
SINLEJ007462	ENSLOCP00000007449
SINLEJ007089	ENSLOCP00000007451
SINLEJ017097	ENSLOCP00000007451
SINLEJ004074	ENSLOCP00000007452
SINLEJ014588	ENSLOCP00000007457
SINLEJ009383	ENSLOCP00000007458
SINLEJ012178	ENSLOCP00000007461
SINLEJ014368	ENSLOCP00000007462
SINLEJ007461	ENSLOCP00000007465
SINLEJ000346	ENSLOCP00000007468
SINLEJ008146	ENSLOCP00000007469
SINLEJ010433	ENSLOCP00000007471
SINLEJ003702	ENSLOCP00000007472
SINLEJ011614	ENSLOCP00000007472
SINLEJ008538	ENSLOCP00000007478
SINLEJ005216	ENSLOCP00000007479
SINLEJ016112	ENSLOCP00000007479
SINLEJ003091	ENSLOCP00000007481
SINLEJ009008	ENSLOCP00000007481
SINLEJ017098	ENSLOCP00000007482
SINLEJ007084	ENSLOCP00000007482
SINLEJ009635	ENSLOCP00000007484
SINLEJ019316	ENSLOCP00000007484
SINLEJ013151	ENSLOCP00000007487
SINLEJ013150	ENSLOCP00000007487
SINLEJ011763	ENSLOCP00000007488
SINLEJ000029	ENSLOCP00000007491
SINLEJ000028	ENSLOCP00000007491
SINLEJ003701	ENSLOCP00000007492
SINLEJ014421	ENSLOCP00000007493
SINLEJ005723	ENSLOCP00000007493
SINLEJ011250	ENSLOCP00000007495
SINLEJ017755	ENSLOCP00000007496
SINLEJ011212	ENSLOCP00000007497
SINLEJ003823	ENSLOCP00000007499
SINLEJ016115	ENSLOCP00000007500
SINLEJ008943	ENSLOCP00000007500
SINLEJ000364	ENSLOCP00000007501
SINLEJ003154	ENSLOCP00000007503
SINLEJ001209	ENSLOCP00000007505
SINLEJ016764	ENSLOCP00000007505
SINLEJ007524	ENSLOCP00000007509
SINLEJ011617	ENSLOCP00000007511
SINLEJ016499	ENSLOCP00000007513
SINLEJ008944	ENSLOCP00000007519
SINLEJ008945	ENSLOCP00000007519
SINLEJ013999	ENSLOCP00000007521
SINLEJ014332	ENSLOCP00000007528
SINLEJ018322	ENSLOCP00000007528
SINLEJ014360	ENSLOCP00000007530
SINLEJ011588	ENSLOCP00000007531
SINLEJ005863	ENSLOCP00000007532
SINLEJ014359	ENSLOCP00000007532
SINLEJ009300	ENSLOCP00000007533
SINLEJ004040	ENSLOCP00000007535
SINLEJ010559	ENSLOCP00000007537
SINLEJ016199	ENSLOCP00000007538
SINLEJ008288	ENSLOCP00000007540
SINLEJ009089	ENSLOCP00000007541
SINLEJ009088	ENSLOCP00000007541
SINLEJ017445	ENSLOCP00000007545
SINLEJ017671	ENSLOCP00000007549
SINLEJ018128	ENSLOCP00000007549
SINLEJ000543	ENSLOCP00000007554
SINLEJ013105	ENSLOCP00000007556
SINLEJ011210	ENSLOCP00000007557
SINLEJ017809	ENSLOCP00000007557
SINLEJ018570	ENSLOCP00000007560
SINLEJ018569	ENSLOCP00000007560
SINLEJ004598	ENSLOCP00000007565
SINLEJ012690	ENSLOCP00000007569
SINLEJ003781	ENSLOCP00000007570
SINLEJ010086	ENSLOCP00000007573
SINLEJ007050	ENSLOCP00000007573
SINLEJ012976	ENSLOCP00000007576
SINLEJ017915	ENSLOCP00000007578
SINLEJ014043	ENSLOCP00000007583
SINLEJ014044	ENSLOCP00000007583
SINLEJ005807	ENSLOCP00000007584
SINLEJ005808	ENSLOCP00000007584
SINLEJ011625	ENSLOCP00000007585
SINLEJ014659	ENSLOCP00000007586
SINLEJ014658	ENSLOCP00000007586
SINLEJ003980	ENSLOCP00000007588
SINLEJ017914	ENSLOCP00000007589
SINLEJ015086	ENSLOCP00000007590
SINLEJ008307	ENSLOCP00000007591
SINLEJ019262	ENSLOCP00000007591
SINLEJ011050	ENSLOCP00000007595
SINLEJ015606	ENSLOCP00000007595
SINLEJ001287	ENSLOCP00000007597
SINLEJ003835	ENSLOCP00000007598
SINLEJ001600	ENSLOCP00000007602
SINLEJ002672	ENSLOCP00000007603
SINLEJ007544	ENSLOCP00000007606
SINLEJ007543	ENSLOCP00000007606
SINLEJ018467	ENSLOCP00000007610
SINLEJ009169	ENSLOCP00000007614
SINLEJ003839	ENSLOCP00000007617
SINLEJ011506	ENSLOCP00000007618
SINLEJ009218	ENSLOCP00000007619
SINLEJ003800	ENSLOCP00000007620
SINLEJ003802	ENSLOCP00000007620
SINLEJ007053	ENSLOCP00000007623
SINLEJ006380	ENSLOCP00000007623
SINLEJ007792	ENSLOCP00000007625
SINLEJ012235	ENSLOCP00000007625
SINLEJ007859	ENSLOCP00000007629
SINLEJ000544	ENSLOCP00000007630
SINLEJ017123	ENSLOCP00000007631
SINLEJ010882	ENSLOCP00000007632
SINLEJ005577	ENSLOCP00000007633
SINLEJ016139	ENSLOCP00000007636
SINLEJ007469	ENSLOCP00000007637
SINLEJ015085	ENSLOCP00000007639
SINLEJ012689	ENSLOCP00000007639
SINLEJ013817	ENSLOCP00000007640
SINLEJ016269	ENSLOCP00000007641
SINLEJ003659	ENSLOCP00000007642
SINLEJ009171	ENSLOCP00000007644
SINLEJ009172	ENSLOCP00000007644
SINLEJ006466	ENSLOCP00000007649
SINLEJ015542	ENSLOCP00000007649
SINLEJ001745	ENSLOCP00000007650
SINLEJ001743	ENSLOCP00000007650
SINLEJ003976	ENSLOCP00000007653
SINLEJ014279	ENSLOCP00000007653
SINLEJ009983	ENSLOCP00000007656
SINLEJ003661	ENSLOCP00000007657
SINLEJ013111	ENSLOCP00000007658
SINLEJ005638	ENSLOCP00000007659
SINLEJ007325	ENSLOCP00000007660
SINLEJ015718	ENSLOCP00000007662
SINLEJ001606	ENSLOCP00000007664
SINLEJ014864	ENSLOCP00000007666
SINLEJ003106	ENSLOCP00000007666
SINLEJ010063	ENSLOCP00000007667
SINLEJ015937	ENSLOCP00000007668
SINLEJ008688	ENSLOCP00000007670
SINLEJ013126	ENSLOCP00000007670
SINLEJ010952	ENSLOCP00000007672
SINLEJ013936	ENSLOCP00000007673
SINLEJ017368	ENSLOCP00000007676
SINLEJ004102	ENSLOCP00000007676
SINLEJ013954	ENSLOCP00000007677
SINLEJ004064	ENSLOCP00000007679
SINLEJ018236	ENSLOCP00000007689
SINLEJ017887	ENSLOCP00000007689
SINLEJ014282	ENSLOCP00000007691
SINLEJ005311	ENSLOCP00000007692
SINLEJ004770	ENSLOCP00000007693
SINLEJ004771	ENSLOCP00000007693
SINLEJ002019	ENSLOCP00000007694
SINLEJ016390	ENSLOCP00000007695
SINLEJ015926	ENSLOCP00000007695
SINLEJ006462	ENSLOCP00000007698
SINLEJ006464	ENSLOCP00000007698
SINLEJ008827	ENSLOCP00000007699
SINLEJ600489	ENSLOCP00000007700
SINLEJ010766	ENSLOCP00000007700
SINLEJ009916	ENSLOCP00000007701
SINLEJ005655	ENSLOCP00000007703
SINLEJ004757	ENSLOCP00000007704
SINLEJ007887	ENSLOCP00000007706
SINLEJ008689	ENSLOCP00000007707
SINLEJ015710	ENSLOCP00000007710
SINLEJ015400	ENSLOCP00000007712
SINLEJ013389	ENSLOCP00000007716
SINLEJ009190	ENSLOCP00000007717
SINLEJ006465	ENSLOCP00000007719
SINLEJ000373	ENSLOCP00000007722
SINLEJ000374	ENSLOCP00000007722
SINLEJ003798	ENSLOCP00000007723
SINLEJ014928	ENSLOCP00000007723
SINLEJ000594	ENSLOCP00000007726
SINLEJ010721	ENSLOCP00000007726
SINLEJ010415	ENSLOCP00000007727
SINLEJ000369	ENSLOCP00000007728
SINLEJ000368	ENSLOCP00000007728
SINLEJ016185	ENSLOCP00000007729
SINLEJ013230	ENSLOCP00000007729
SINLEJ000468	ENSLOCP00000007730
SINLEJ006379	ENSLOCP00000007738
SINLEJ006378	ENSLOCP00000007738
SINLEJ010406	ENSLOCP00000007739
SINLEJ011217	ENSLOCP00000007740
SINLEJ011216	ENSLOCP00000007740
SINLEJ011344	ENSLOCP00000007741
SINLEJ011637	ENSLOCP00000007742
SINLEJ011638	ENSLOCP00000007742
SINLEJ019392	ENSLOCP00000007744
SINLEJ008828	ENSLOCP00000007752
SINLEJ005751	ENSLOCP00000007753
SINLEJ010528	ENSLOCP00000007753
SINLEJ010315	ENSLOCP00000007755
SINLEJ001285	ENSLOCP00000007755
SINLEJ014865	ENSLOCP00000007756
SINLEJ014260	ENSLOCP00000007757
SINLEJ003310	ENSLOCP00000007759
SINLEJ018620	ENSLOCP00000007760
SINLEJ018621	ENSLOCP00000007760
SINLEJ002017	ENSLOCP00000007761
SINLEJ600170	ENSLOCP00000007762
SINLEJ009003	ENSLOCP00000007764
SINLEJ009002	ENSLOCP00000007764
SINLEJ014275	ENSLOCP00000007766
SINLEJ018331	ENSLOCP00000007767
SINLEJ017541	ENSLOCP00000007769
SINLEJ012841	ENSLOCP00000007770
SINLEJ003582	ENSLOCP00000007771
SINLEJ014979	ENSLOCP00000007771
SINLEJ017352	ENSLOCP00000007776
SINLEJ019342	ENSLOCP00000007776
SINLEJ011554	ENSLOCP00000007777
SINLEJ011553	ENSLOCP00000007777
SINLEJ000293	ENSLOCP00000007779
SINLEJ004079	ENSLOCP00000007779
SINLEJ013007	ENSLOCP00000007780
SINLEJ008762	ENSLOCP00000007780
SINLEJ009931	ENSLOCP00000007782
SINLEJ010407	ENSLOCP00000007784
SINLEJ009226	ENSLOCP00000007785
SINLEJ013448	ENSLOCP00000007791
SINLEJ013447	ENSLOCP00000007791
SINLEJ003580	ENSLOCP00000007792
SINLEJ014982	ENSLOCP00000007792
SINLEJ019429	ENSLOCP00000007793
SINLEJ010651	ENSLOCP00000007795
SINLEJ009938	ENSLOCP00000007797
SINLEJ012546	ENSLOCP00000007799
SINLEJ012545	ENSLOCP00000007799
SINLEJ004754	ENSLOCP00000007800
SINLEJ004755	ENSLOCP00000007800
SINLEJ016384	ENSLOCP00000007801
SINLEJ016381	ENSLOCP00000007801
SINLEJ017358	ENSLOCP00000007804
SINLEJ017359	ENSLOCP00000007804
SINLEJ003826	ENSLOCP00000007806
SINLEJ005558	ENSLOCP00000007807
SINLEJ017881	ENSLOCP00000007807
SINLEJ002778	ENSLOCP00000007809
SINLEJ003579	ENSLOCP00000007816
SINLEJ014983	ENSLOCP00000007816
SINLEJ003148	ENSLOCP00000007818
SINLEJ001619	ENSLOCP00000007818
SINLEJ009000	ENSLOCP00000007820
SINLEJ009001	ENSLOCP00000007820
SINLEJ016379	ENSLOCP00000007822
SINLEJ600486	ENSLOCP00000007823
SINLEJ001611	ENSLOCP00000007823
SINLEJ009969	ENSLOCP00000007824
SINLEJ008808	ENSLOCP00000007825
SINLEJ008809	ENSLOCP00000007825
SINLEJ002993	ENSLOCP00000007826
SINLEJ016167	ENSLOCP00000007828
SINLEJ003824	ENSLOCP00000007829
SINLEJ005429	ENSLOCP00000007830
SINLEJ017694	ENSLOCP00000007836
SINLEJ017693	ENSLOCP00000007836
SINLEJ003985	ENSLOCP00000007837
SINLEJ003984	ENSLOCP00000007837
SINLEJ008399	ENSLOCP00000007842
SINLEJ008398	ENSLOCP00000007842
SINLEJ016394	ENSLOCP00000007846
SINLEJ010949	ENSLOCP00000007848
SINLEJ008819	ENSLOCP00000007851
SINLEJ011255	ENSLOCP00000007851
SINLEJ008995	ENSLOCP00000007853
SINLEJ600168	ENSLOCP00000007854
SINLEJ006458	ENSLOCP00000007857
SINLEJ006459	ENSLOCP00000007857
SINLEJ015454	ENSLOCP00000007858
SINLEJ010671	ENSLOCP00000007858
SINLEJ008957	ENSLOCP00000007863
SINLEJ003793	ENSLOCP00000007866
SINLEJ003789	ENSLOCP00000007866
SINLEJ003929	ENSLOCP00000007870
SINLEJ007770	ENSLOCP00000007872
SINLEJ013211	ENSLOCP00000007873
SINLEJ010498	ENSLOCP00000007875
SINLEJ001314	ENSLOCP00000007875
SINLEJ014986	ENSLOCP00000007878
SINLEJ003576	ENSLOCP00000007878
SINLEJ007738	ENSLOCP00000007880
SINLEJ013371	ENSLOCP00000007881
SINLEJ013370	ENSLOCP00000007881
SINLEJ019159	ENSLOCP00000007884
SINLEJ001621	ENSLOCP00000007888
SINLEJ001623	ENSLOCP00000007888
SINLEJ011137	ENSLOCP00000007892
SINLEJ014080	ENSLOCP00000007893
SINLEJ014079	ENSLOCP00000007893
SINLEJ015304	ENSLOCP00000007894
SINLEJ013851	ENSLOCP00000007895
SINLEJ600485	ENSLOCP00000007895
SINLEJ018351	ENSLOCP00000007896
SINLEJ003575	ENSLOCP00000007898
SINLEJ014987	ENSLOCP00000007898
SINLEJ013443	ENSLOCP00000007899
SINLEJ017450	ENSLOCP00000007900
SINLEJ003925	ENSLOCP00000007900
SINLEJ006118	ENSLOCP00000007902
SINLEJ006457	ENSLOCP00000007905
SINLEJ013804	ENSLOCP00000007908
SINLEJ600219	ENSLOCP00000007908
SINLEJ008824	ENSLOCP00000007910
SINLEJ008820	ENSLOCP00000007910
SINLEJ008891	ENSLOCP00000007912
SINLEJ016334	ENSLOCP00000007912
SINLEJ012438	ENSLOCP00000007915
SINLEJ012439	ENSLOCP00000007915
SINLEJ015401	ENSLOCP00000007916
SINLEJ007450	ENSLOCP00000007918
SINLEJ000403	ENSLOCP00000007920
SINLEJ008889	ENSLOCP00000007927
SINLEJ016336	ENSLOCP00000007927
SINLEJ003423	ENSLOCP00000007928
SINLEJ015433	ENSLOCP00000007930
SINLEJ010694	ENSLOCP00000007930
SINLEJ002907	ENSLOCP00000007931
SINLEJ000361	ENSLOCP00000007932
SINLEJ016911	ENSLOCP00000007934
SINLEJ003831	ENSLOCP00000007935
SINLEJ001317	ENSLOCP00000007936
SINLEJ009398	ENSLOCP00000007937
SINLEJ009399	ENSLOCP00000007937
SINLEJ019033	ENSLOCP00000007938
SINLEJ003463	ENSLOCP00000007944
SINLEJ003462	ENSLOCP00000007944
SINLEJ015434	ENSLOCP00000007947
SINLEJ000094	ENSLOCP00000007954
SINLEJ019204	ENSLOCP00000007954
SINLEJ000315	ENSLOCP00000007957
SINLEJ009925	ENSLOCP00000007959
SINLEJ012501	ENSLOCP00000007959
SINLEJ012564	ENSLOCP00000007960
SINLEJ000124	ENSLOCP00000007960
SINLEJ003874	ENSLOCP00000007961
SINLEJ003875	ENSLOCP00000007961
SINLEJ600158	ENSLOCP00000007962
SINLEJ003422	ENSLOCP00000007962
SINLEJ018002	ENSLOCP00000007964
SINLEJ018007	ENSLOCP00000007964
SINLEJ007703	ENSLOCP00000007967
SINLEJ010706	ENSLOCP00000007969
SINLEJ004169	ENSLOCP00000007969
SINLEJ016386	ENSLOCP00000007971
SINLEJ000910	ENSLOCP00000007974
SINLEJ600100	ENSLOCP00000007976
SINLEJ003281	ENSLOCP00000007976
SINLEJ003901	ENSLOCP00000007977
SINLEJ012223	ENSLOCP00000007978
SINLEJ007765	ENSLOCP00000007978
SINLEJ008993	ENSLOCP00000007981
SINLEJ012361	ENSLOCP00000007981
SINLEJ013928	ENSLOCP00000007984
SINLEJ018426	ENSLOCP00000007986
SINLEJ012384	ENSLOCP00000007989
SINLEJ003758	ENSLOCP00000007993
SINLEJ012205	ENSLOCP00000007995
SINLEJ014954	ENSLOCP00000007996
SINLEJ003608	ENSLOCP00000007996
SINLEJ016788	ENSLOCP00000007998
SINLEJ003184	ENSLOCP00000008003
SINLEJ001566	ENSLOCP00000008003
SINLEJ008401	ENSLOCP00000008005
SINLEJ002842	ENSLOCP00000008005
SINLEJ010848	ENSLOCP00000008006
SINLEJ008205	ENSLOCP00000008006
SINLEJ015982	ENSLOCP00000008007
SINLEJ016525	ENSLOCP00000008007
SINLEJ010514	ENSLOCP00000008009
SINLEJ007230	ENSLOCP00000008010
SINLEJ015681	ENSLOCP00000008010
SINLEJ001328	ENSLOCP00000008013
SINLEJ010899	ENSLOCP00000008014
SINLEJ003073	ENSLOCP00000008016
SINLEJ003068	ENSLOCP00000008016
SINLEJ008816	ENSLOCP00000008020
SINLEJ008817	ENSLOCP00000008020
SINLEJ011155	ENSLOCP00000008021
SINLEJ004860	ENSLOCP00000008022
SINLEJ011858	ENSLOCP00000008023
SINLEJ017992	ENSLOCP00000008023
SINLEJ000339	ENSLOCP00000008026
SINLEJ010810	ENSLOCP00000008033
SINLEJ018427	ENSLOCP00000008038
SINLEJ000263	ENSLOCP00000008040
SINLEJ010495	ENSLOCP00000008041
SINLEJ001326	ENSLOCP00000008041
SINLEJ007704	ENSLOCP00000008043
SINLEJ017367	ENSLOCP00000008045
SINLEJ017366	ENSLOCP00000008045
SINLEJ007649	ENSLOCP00000008046
