ENSLOCP00000000004	SINCAM011582
ENSLOCP00000004682	SINCAM008598
ENSLOCP00000004686	SINCAM920905
ENSLOCP00000004688	SINCAM012751
ENSLOCP00000004689	SINCAM010406
ENSLOCP00000004691	SINCAM007991
ENSLOCP00000004692	SINCAM013669
ENSLOCP00000004693	SINCAM002345
ENSLOCP00000004694	SINCAM006936
ENSLOCP00000004697	SINCAM922264
ENSLOCP00000004702	SINCAM014040
ENSLOCP00000004704	SINCAM009505
ENSLOCP00000004706	SINCAM007992
ENSLOCP00000004708	SINCAM006551
ENSLOCP00000004709	SINCAM011747
ENSLOCP00000004712	SINCAM013667
ENSLOCP00000004713	SINCAM007509
ENSLOCP00000004715	SINCAM011184
ENSLOCP00000004717	SINCAM004196
ENSLOCP00000004718	SINCAM005411
ENSLOCP00000004719	SINCAM006552
ENSLOCP00000004720	SINCAM922054
ENSLOCP00000004721	SINCAM012052
ENSLOCP00000004722	SINCAM006935
ENSLOCP00000004724	SINCAM013930
ENSLOCP00000004725	SINCAM000467
ENSLOCP00000004727	SINCAM000403
ENSLOCP00000004729	SINCAM922746
ENSLOCP00000004730	SINCAM009504
ENSLOCP00000004731	SINCAM900139
ENSLOCP00000004732	SINCAM009052
ENSLOCP00000004733	SINCAM013663
ENSLOCP00000004734	SINCAM007638
ENSLOCP00000004736	SINCAM004198
ENSLOCP00000004738	SINCAM004126
ENSLOCP00000004740	SINCAM002625
ENSLOCP00000004741	SINCAM014032
ENSLOCP00000004742	SINCAM010415
ENSLOCP00000004743	SINCAM002342
ENSLOCP00000004744	SINCAM006934
ENSLOCP00000004745	SINCAM002622
ENSLOCP00000004748	SINCAM922446
ENSLOCP00000004749	SINCAM008545
ENSLOCP00000004750	SINCAM009503
ENSLOCP00000004751	SINCAM921279
ENSLOCP00000004752	SINCAM015165
ENSLOCP00000004754	SINCAM007993
ENSLOCP00000004755	SINCAM009019
ENSLOCP00000004757	SINCAM920907
ENSLOCP00000004758	SINCAM011185
ENSLOCP00000004759	SINCAM006932
ENSLOCP00000004760	SINCAM010422
ENSLOCP00000004762	SINCAM006553
ENSLOCP00000004765	SINCAM013660
ENSLOCP00000004769	SINCAM009501
ENSLOCP00000004770	SINCAM007913
ENSLOCP00000004772	SINCAM013954
ENSLOCP00000004773	SINCAM011186
ENSLOCP00000004774	SINCAM000402
ENSLOCP00000004775	SINCAM012050
ENSLOCP00000004776	SINCAM006555
ENSLOCP00000004777	SINCAM920770
ENSLOCP00000004778	SINCAM008546
ENSLOCP00000004780	SINCAM921278
ENSLOCP00000004783	SINCAM012756
ENSLOCP00000004784	SINCAM920908
ENSLOCP00000004785	SINCAM007637
ENSLOCP00000004786	SINCAM009020
ENSLOCP00000004787	SINCAM921481
ENSLOCP00000004788	SINCAM013929
ENSLOCP00000004790	SINCAM015166
ENSLOCP00000004791	SINCAM009500
ENSLOCP00000004792	SINCAM011187
ENSLOCP00000004795	SINCAM010423
ENSLOCP00000004797	SINCAM012758
ENSLOCP00000004799	SINCAM008547
ENSLOCP00000004800	SINCAM013666
ENSLOCP00000004801	SINCAM005429
ENSLOCP00000004803	SINCAM004823
ENSLOCP00000004804	SINCAM006931
ENSLOCP00000004805	SINCAM009021
ENSLOCP00000004806	SINCAM921482
ENSLOCP00000004808	SINCAM922730
ENSLOCP00000004809	SINCAM007636
ENSLOCP00000004811	SINCAM002340
ENSLOCP00000004812	SINCAM002624
ENSLOCP00000004813	SINCAM012001
ENSLOCP00000004814	SINCAM000396
ENSLOCP00000004815	SINCAM009499
ENSLOCP00000004816	SINCAM922053
ENSLOCP00000004817	SINCAM922464
ENSLOCP00000004818	SINCAM011739
ENSLOCP00000004819	SINCAM006557
ENSLOCP00000004821	SINCAM004124
ENSLOCP00000004824	SINCAM004824
ENSLOCP00000004825	SINCAM008993
ENSLOCP00000004827	SINCAM007810
ENSLOCP00000004828	SINCAM008548
ENSLOCP00000004829	SINCAM014224
ENSLOCP00000004830	SINCAM012914
ENSLOCP00000004831	SINCAM002338
ENSLOCP00000004835	SINCAM006929
ENSLOCP00000004841	SINCAM921586
ENSLOCP00000004842	SINCAM921424
ENSLOCP00000004843	SINCAM921991
ENSLOCP00000004845	SINCAM005431
ENSLOCP00000004847	SINCAM011741
ENSLOCP00000004848	SINCAM921508
ENSLOCP00000004851	SINCAM014111
ENSLOCP00000004853	SINCAM010455
ENSLOCP00000004857	SINCAM004825
ENSLOCP00000004858	SINCAM921423
ENSLOCP00000004861	SINCAM017935
ENSLOCP00000004863	SINCAM921990
ENSLOCP00000004864	SINCAM921253
ENSLOCP00000004865	SINCAM008551
ENSLOCP00000004867	SINCAM011742
ENSLOCP00000004869	SINCAM005432
ENSLOCP00000004871	SINCAM009497
ENSLOCP00000004872	SINCAM003049
ENSLOCP00000004873	SINCAM012904
ENSLOCP00000004874	SINCAM922391
ENSLOCP00000004875	SINCAM014206
ENSLOCP00000004879	SINCAM006568
ENSLOCP00000004880	SINCAM921989
ENSLOCP00000004886	SINCAM921699
ENSLOCP00000004893	SINCAM013927
ENSLOCP00000004895	SINCAM006569
ENSLOCP00000004898	SINCAM004447
ENSLOCP00000004899	SINCAM009495
ENSLOCP00000004900	SINCAM011821
ENSLOCP00000004902	SINCAM012952
ENSLOCP00000004904	SINCAM006928
ENSLOCP00000004907	SINCAM007683
ENSLOCP00000004908	SINCAM013664
ENSLOCP00000004909	SINCAM922263
ENSLOCP00000004911	SINCAM004826
ENSLOCP00000004912	SINCAM002626
ENSLOCP00000004914	SINCAM010705
ENSLOCP00000004917	SINCAM004019
ENSLOCP00000004918	SINCAM006570
ENSLOCP00000004919	SINCAM900284
ENSLOCP00000004921	SINCAM005426
ENSLOCP00000004922	SINCAM006927
ENSLOCP00000004923	SINCAM015271
ENSLOCP00000004924	SINCAM008553
ENSLOCP00000004927	SINCAM014745
ENSLOCP00000004929	SINCAM921376
ENSLOCP00000004932	SINCAM012981
ENSLOCP00000004934	SINCAM007961
ENSLOCP00000004935	SINCAM002402
ENSLOCP00000004936	SINCAM008682
ENSLOCP00000004937	SINCAM006566
ENSLOCP00000004938	SINCAM011096
ENSLOCP00000004941	SINCAM921377
ENSLOCP00000004942	SINCAM921700
ENSLOCP00000004943	SINCAM000397
ENSLOCP00000004944	SINCAM010457
ENSLOCP00000004946	SINCAM011746
ENSLOCP00000004947	SINCAM922752
ENSLOCP00000004948	SINCAM006926
ENSLOCP00000004950	SINCAM011823
ENSLOCP00000004952	SINCAM004017
ENSLOCP00000004953	SINCAM002628
ENSLOCP00000004954	SINCAM009493
ENSLOCP00000004959	SINCAM007960
ENSLOCP00000004960	SINCAM000398
ENSLOCP00000004961	SINCAM005425
ENSLOCP00000004962	SINCAM920613
ENSLOCP00000004964	SINCAM007666
ENSLOCP00000004966	SINCAM010421
ENSLOCP00000004967	SINCAM004831
ENSLOCP00000004968	SINCAM008555
ENSLOCP00000004970	SINCAM921541
ENSLOCP00000004971	SINCAM016360
ENSLOCP00000004972	SINCAM009492
ENSLOCP00000004973	SINCAM012915
ENSLOCP00000004974	SINCAM002629
ENSLOCP00000004976	SINCAM004018
ENSLOCP00000004977	SINCAM013912
ENSLOCP00000004978	SINCAM007959
ENSLOCP00000004979	SINCAM011407
ENSLOCP00000004981	SINCAM006565
ENSLOCP00000004983	SINCAM000399
ENSLOCP00000004985	SINCAM004832
ENSLOCP00000004988	SINCAM004833
ENSLOCP00000004989	SINCAM007783
ENSLOCP00000004990	SINCAM006925
ENSLOCP00000004993	SINCAM010414
ENSLOCP00000004994	SINCAM013936
ENSLOCP00000004997	SINCAM011824
ENSLOCP00000004998	SINCAM000400
ENSLOCP00000004999	SINCAM920822
ENSLOCP00000005001	SINCAM006564
ENSLOCP00000005002	SINCAM009490
ENSLOCP00000005003	SINCAM008990
ENSLOCP00000005005	SINCAM004834
ENSLOCP00000005006	SINCAM921836
ENSLOCP00000005007	SINCAM008675
ENSLOCP00000005008	SINCAM002600
ENSLOCP00000005014	SINCAM008557
ENSLOCP00000005015	SINCAM922392
ENSLOCP00000005016	SINCAM005424
ENSLOCP00000005017	SINCAM920486
ENSLOCP00000005019	SINCAM007920
ENSLOCP00000005020	SINCAM008989
ENSLOCP00000005021	SINCAM007001
ENSLOCP00000005022	SINCAM013800
ENSLOCP00000005023	SINCAM002630
ENSLOCP00000005024	SINCAM004835
ENSLOCP00000005026	SINCAM012571
ENSLOCP00000005029	SINCAM004015
ENSLOCP00000005030	SINCAM010412
ENSLOCP00000005033	SINCAM008980
ENSLOCP00000005034	SINCAM009488
ENSLOCP00000005035	SINCAM001186
ENSLOCP00000005036	SINCAM012916
ENSLOCP00000005037	SINCAM006562
ENSLOCP00000005039	SINCAM006307
ENSLOCP00000005040	SINCAM921480
ENSLOCP00000005042	SINCAM005421
ENSLOCP00000005044	SINCAM922030
ENSLOCP00000005045	SINCAM921837
ENSLOCP00000005046	SINCAM004836
ENSLOCP00000005048	SINCAM001042
ENSLOCP00000005049	SINCAM008949
ENSLOCP00000005050	SINCAM013913
ENSLOCP00000005052	SINCAM009487
ENSLOCP00000005053	SINCAM007668
ENSLOCP00000005056	SINCAM008558
ENSLOCP00000005057	SINCAM920906
ENSLOCP00000005059	SINCAM006598
ENSLOCP00000005061	SINCAM922393
ENSLOCP00000005063	SINCAM921582
ENSLOCP00000005064	SINCAM001189
ENSLOCP00000005065	SINCAM015164
ENSLOCP00000005066	SINCAM011410
ENSLOCP00000005068	SINCAM009486
ENSLOCP00000005069	SINCAM921838
ENSLOCP00000005070	SINCAM013801
ENSLOCP00000005075	SINCAM007919
ENSLOCP00000005076	SINCAM007670
ENSLOCP00000005078	SINCAM001188
ENSLOCP00000005080	SINCAM006533
ENSLOCP00000005081	SINCAM002631
ENSLOCP00000005082	SINCAM008559
ENSLOCP00000005083	SINCAM005420
ENSLOCP00000005084	SINCAM922753
ENSLOCP00000005086	SINCAM921839
ENSLOCP00000005087	SINCAM921379
ENSLOCP00000005088	SINCAM015761
ENSLOCP00000005090	SINCAM015455
ENSLOCP00000005091	SINCAM009485
ENSLOCP00000005092	SINCAM015161
ENSLOCP00000005093	SINCAM014592
ENSLOCP00000005095	SINCAM921380
ENSLOCP00000005096	SINCAM017645
ENSLOCP00000005097	SINCAM011826
ENSLOCP00000005098	SINCAM013914
ENSLOCP00000005099	SINCAM001964
ENSLOCP00000005101	SINCAM921840
ENSLOCP00000005102	SINCAM007973
ENSLOCP00000005103	SINCAM006534
ENSLOCP00000005105	SINCAM015159
ENSLOCP00000005106	SINCAM009502
ENSLOCP00000005107	SINCAM007671
ENSLOCP00000005108	SINCAM001190
ENSLOCP00000005110	SINCAM921767
ENSLOCP00000005111	SINCAM014054
ENSLOCP00000005116	SINCAM921841
ENSLOCP00000005117	SINCAM002722
ENSLOCP00000005119	SINCAM012789
ENSLOCP00000005121	SINCAM007971
ENSLOCP00000005124	SINCAM921766
ENSLOCP00000005125	SINCAM921456
ENSLOCP00000005126	SINCAM011125
ENSLOCP00000005127	SINCAM922726
ENSLOCP00000005129	SINCAM004840
ENSLOCP00000005130	SINCAM900287
ENSLOCP00000005132	SINCAM005418
ENSLOCP00000005133	SINCAM011780
ENSLOCP00000005134	SINCAM922049
ENSLOCP00000005135	SINCAM002720
ENSLOCP00000005137	SINCAM015157
ENSLOCP00000005138	SINCAM922439
ENSLOCP00000005140	SINCAM006535
ENSLOCP00000005141	SINCAM921967
ENSLOCP00000005142	SINCAM007970
ENSLOCP00000005144	SINCAM006641
ENSLOCP00000005145	SINCAM013654
ENSLOCP00000005149	SINCAM011124
ENSLOCP00000005150	SINCAM920602
ENSLOCP00000005152	SINCAM004841
ENSLOCP00000005154	SINCAM010480
ENSLOCP00000005157	SINCAM007006
ENSLOCP00000005158	SINCAM006536
ENSLOCP00000005162	SINCAM007673
ENSLOCP00000005165	SINCAM001489
ENSLOCP00000005168	SINCAM015155
ENSLOCP00000005169	SINCAM921765
ENSLOCP00000005170	SINCAM007007
ENSLOCP00000005172	SINCAM002632
ENSLOCP00000005174	SINCAM005416
ENSLOCP00000005176	SINCAM921016
ENSLOCP00000005177	SINCAM007440
ENSLOCP00000005178	SINCAM921764
ENSLOCP00000005179	SINCAM010479
ENSLOCP00000005180	SINCAM007967
ENSLOCP00000005181	SINCAM007674
ENSLOCP00000005185	SINCAM008847
ENSLOCP00000005186	SINCAM014065
ENSLOCP00000005187	SINCAM012711
ENSLOCP00000005188	SINCAM015154
ENSLOCP00000005189	SINCAM004193
ENSLOCP00000005190	SINCAM004844
ENSLOCP00000005191	SINCAM007008
ENSLOCP00000005192	SINCAM920603
ENSLOCP00000005193	SINCAM013949
ENSLOCP00000005195	SINCAM005415
ENSLOCP00000005196	SINCAM011123
ENSLOCP00000005197	SINCAM008975
ENSLOCP00000005204	SINCAM014169
ENSLOCP00000005207	SINCAM010478
ENSLOCP00000005208	SINCAM921842
ENSLOCP00000005209	SINCAM011738
ENSLOCP00000005211	SINCAM007675
ENSLOCP00000005214	SINCAM006456
ENSLOCP00000005215	SINCAM008973
ENSLOCP00000005217	SINCAM011815
ENSLOCP00000005219	SINCAM007966
ENSLOCP00000005220	SINCAM010435
ENSLOCP00000005221	SINCAM014168
ENSLOCP00000005222	SINCAM009480
ENSLOCP00000005226	SINCAM921761
ENSLOCP00000005229	SINCAM005413
ENSLOCP00000005230	SINCAM011122
ENSLOCP00000005231	SINCAM920829
ENSLOCP00000005236	SINCAM007965
ENSLOCP00000005237	SINCAM008846
ENSLOCP00000005238	SINCAM011737
ENSLOCP00000005239	SINCAM004845
ENSLOCP00000005240	SINCAM010434
ENSLOCP00000005242	SINCAM013976
ENSLOCP00000005243	SINCAM008968
ENSLOCP00000005246	SINCAM007684
ENSLOCP00000005247	SINCAM921843
ENSLOCP00000005249	SINCAM006528
ENSLOCP00000005250	SINCAM007962
ENSLOCP00000005251	SINCAM011814
ENSLOCP00000005252	SINCAM014167
ENSLOCP00000005253	SINCAM008845
ENSLOCP00000005255	SINCAM012843
ENSLOCP00000005259	SINCAM010458
ENSLOCP00000005261	SINCAM005412
ENSLOCP00000005262	SINCAM009481
ENSLOCP00000005263	SINCAM007010
ENSLOCP00000005265	SINCAM002780
ENSLOCP00000005266	SINCAM007911
ENSLOCP00000005269	SINCAM008633
ENSLOCP00000005270	SINCAM006509
ENSLOCP00000005271	SINCAM921266
ENSLOCP00000005274	SINCAM920627
ENSLOCP00000005275	SINCAM011120
ENSLOCP00000005276	SINCAM922256
ENSLOCP00000005278	SINCAM005147
ENSLOCP00000005280	SINCAM008969
ENSLOCP00000005283	SINCAM007024
ENSLOCP00000005284	SINCAM921512
ENSLOCP00000005285	SINCAM014205
ENSLOCP00000005286	SINCAM009483
ENSLOCP00000005288	SINCAM012724
ENSLOCP00000005289	SINCAM007679
ENSLOCP00000005290	SINCAM013952
ENSLOCP00000005292	SINCAM921267
ENSLOCP00000005293	SINCAM008634
ENSLOCP00000005295	SINCAM013807
ENSLOCP00000005296	SINCAM008970
ENSLOCP00000005297	SINCAM006632
ENSLOCP00000005298	SINCAM006041
ENSLOCP00000005299	SINCAM920626
ENSLOCP00000005300	SINCAM921984
ENSLOCP00000005302	SINCAM013527
ENSLOCP00000005303	SINCAM921513
ENSLOCP00000005304	SINCAM007023
ENSLOCP00000005308	SINCAM010431
ENSLOCP00000005309	SINCAM922441
ENSLOCP00000005310	SINCAM921268
ENSLOCP00000005311	SINCAM008635
ENSLOCP00000005312	SINCAM922258
ENSLOCP00000005315	SINCAM016022
ENSLOCP00000005318	SINCAM921965
ENSLOCP00000005322	SINCAM015466
ENSLOCP00000005323	SINCAM922754
ENSLOCP00000005326	SINCAM002145
ENSLOCP00000005329	SINCAM004456
ENSLOCP00000005330	SINCAM900017
ENSLOCP00000005332	SINCAM921964
ENSLOCP00000005334	SINCAM010430
ENSLOCP00000005335	SINCAM013950
ENSLOCP00000005337	SINCAM011444
ENSLOCP00000005339	SINCAM008636
ENSLOCP00000005340	SINCAM007678
ENSLOCP00000005342	SINCAM014229
ENSLOCP00000005343	SINCAM007021
ENSLOCP00000005344	SINCAM006612
ENSLOCP00000005345	SINCAM011718
ENSLOCP00000005346	SINCAM922443
ENSLOCP00000005347	SINCAM007752
ENSLOCP00000005349	SINCAM015467
ENSLOCP00000005351	SINCAM007807
ENSLOCP00000005353	SINCAM009477
ENSLOCP00000005355	SINCAM004821
ENSLOCP00000005356	SINCAM007020
ENSLOCP00000005359	SINCAM012003
ENSLOCP00000005360	SINCAM008642
ENSLOCP00000005361	SINCAM006611
ENSLOCP00000005362	SINCAM007681
ENSLOCP00000005363	SINCAM008971
ENSLOCP00000005364	SINCAM011719
ENSLOCP00000005365	SINCAM013953
ENSLOCP00000005367	SINCAM012034
ENSLOCP00000005369	SINCAM001472
ENSLOCP00000005371	SINCAM011443
ENSLOCP00000005372	SINCAM007939
ENSLOCP00000005374	SINCAM001329
ENSLOCP00000005375	SINCAM009476
ENSLOCP00000005376	SINCAM008859
ENSLOCP00000005378	SINCAM007682
ENSLOCP00000005379	SINCAM006609
ENSLOCP00000005383	SINCAM011720
ENSLOCP00000005385	SINCAM004221
ENSLOCP00000005391	SINCAM012035
ENSLOCP00000005393	SINCAM007019
ENSLOCP00000005394	SINCAM921505
ENSLOCP00000005395	SINCAM009475
ENSLOCP00000005396	SINCAM008719
ENSLOCP00000005399	SINCAM013645
ENSLOCP00000005400	SINCAM006131
ENSLOCP00000005402	SINCAM004046
ENSLOCP00000005403	SINCAM921510
ENSLOCP00000005406	SINCAM007018
ENSLOCP00000005407	SINCAM011442
ENSLOCP00000005408	SINCAM012746
ENSLOCP00000005410	SINCAM001377
ENSLOCP00000005411	SINCAM011721
ENSLOCP00000005413	SINCAM010429
ENSLOCP00000005415	SINCAM002635
ENSLOCP00000005416	SINCAM008972
ENSLOCP00000005418	SINCAM001328
ENSLOCP00000005419	SINCAM014003
ENSLOCP00000005421	SINCAM920844
ENSLOCP00000005422	SINCAM008720
ENSLOCP00000005423	SINCAM922037
ENSLOCP00000005426	SINCAM014267
ENSLOCP00000005427	SINCAM011722
ENSLOCP00000005428	SINCAM002576
ENSLOCP00000005429	SINCAM014182
ENSLOCP00000005430	SINCAM007890
ENSLOCP00000005431	SINCAM004510
ENSLOCP00000005432	SINCAM009359
ENSLOCP00000005433	SINCAM004047
ENSLOCP00000005434	SINCAM010454
ENSLOCP00000005437	SINCAM922036
ENSLOCP00000005438	SINCAM015403
ENSLOCP00000005440	SINCAM014036
ENSLOCP00000005443	SINCAM007015
ENSLOCP00000005446	SINCAM012046
ENSLOCP00000005447	SINCAM007664
ENSLOCP00000005448	SINCAM920842
ENSLOCP00000005449	SINCAM008650
ENSLOCP00000005451	SINCAM012744
ENSLOCP00000005452	SINCAM921760
ENSLOCP00000005456	SINCAM001327
ENSLOCP00000005457	SINCAM002577
ENSLOCP00000005462	SINCAM011724
ENSLOCP00000005465	SINCAM005383
ENSLOCP00000005466	SINCAM008649
ENSLOCP00000005467	SINCAM013947
ENSLOCP00000005471	SINCAM001831
ENSLOCP00000005472	SINCAM004079
ENSLOCP00000005474	SINCAM007891
ENSLOCP00000005475	SINCAM010452
ENSLOCP00000005476	SINCAM001360
ENSLOCP00000005482	SINCAM008646
ENSLOCP00000005483	SINCAM011725
ENSLOCP00000005484	SINCAM003370
ENSLOCP00000005486	SINCAM001830
ENSLOCP00000005487	SINCAM920819
ENSLOCP00000005489	SINCAM007893
ENSLOCP00000005490	SINCAM920895
ENSLOCP00000005491	SINCAM013032
ENSLOCP00000005492	SINCAM012045
ENSLOCP00000005495	SINCAM004078
ENSLOCP00000005498	SINCAM007014
ENSLOCP00000005500	SINCAM010451
ENSLOCP00000005501	SINCAM920820
ENSLOCP00000005502	SINCAM008721
ENSLOCP00000005503	SINCAM013946
ENSLOCP00000005504	SINCAM922436
ENSLOCP00000005506	SINCAM920649
ENSLOCP00000005508	SINCAM004513
ENSLOCP00000005510	SINCAM013031
ENSLOCP00000005511	SINCAM001829
ENSLOCP00000005512	SINCAM003544
ENSLOCP00000005513	SINCAM011436
ENSLOCP00000005514	SINCAM012037
ENSLOCP00000005515	SINCAM007013
ENSLOCP00000005518	SINCAM007662
ENSLOCP00000005520	SINCAM004077
ENSLOCP00000005522	SINCAM002637
ENSLOCP00000005524	SINCAM008709
ENSLOCP00000005525	SINCAM007892
ENSLOCP00000005526	SINCAM004514
ENSLOCP00000005527	SINCAM013644
ENSLOCP00000005528	SINCAM014034
ENSLOCP00000005529	SINCAM006606
ENSLOCP00000005530	SINCAM008966
ENSLOCP00000005532	SINCAM013030
ENSLOCP00000005534	SINCAM011726
ENSLOCP00000005535	SINCAM013945
ENSLOCP00000005536	SINCAM004076
ENSLOCP00000005537	SINCAM012043
ENSLOCP00000005540	SINCAM011438
ENSLOCP00000005542	SINCAM007660
ENSLOCP00000005543	SINCAM921322
ENSLOCP00000005544	SINCAM008668
ENSLOCP00000005545	SINCAM920699
ENSLOCP00000005546	SINCAM001465
ENSLOCP00000005548	SINCAM920893
ENSLOCP00000005550	SINCAM011727
ENSLOCP00000005551	SINCAM006550
ENSLOCP00000005553	SINCAM011439
ENSLOCP00000005554	SINCAM921591
ENSLOCP00000005555	SINCAM002638
ENSLOCP00000005556	SINCAM921754
ENSLOCP00000005558	SINCAM013944
ENSLOCP00000005561	SINCAM008667
ENSLOCP00000005562	SINCAM922435
ENSLOCP00000005563	SINCAM007659
ENSLOCP00000005565	SINCAM009153
ENSLOCP00000005566	SINCAM013594
ENSLOCP00000005568	SINCAM001863
ENSLOCP00000005569	SINCAM005381
ENSLOCP00000005570	SINCAM921590
ENSLOCP00000005571	SINCAM922038
ENSLOCP00000005572	SINCAM013029
ENSLOCP00000005574	SINCAM011728
ENSLOCP00000005575	SINCAM004074
ENSLOCP00000005579	SINCAM014033
ENSLOCP00000005580	SINCAM005380
ENSLOCP00000005581	SINCAM013643
ENSLOCP00000005582	SINCAM921709
ENSLOCP00000005587	SINCAM004475
ENSLOCP00000005588	SINCAM920698
ENSLOCP00000005590	SINCAM011729
ENSLOCP00000005591	SINCAM011435
ENSLOCP00000005592	SINCAM008955
ENSLOCP00000005593	SINCAM012049
ENSLOCP00000005596	SINCAM004073
ENSLOCP00000005597	SINCAM014031
ENSLOCP00000005599	SINCAM008618
ENSLOCP00000005601	SINCAM007658
ENSLOCP00000005603	SINCAM005379
ENSLOCP00000005606	SINCAM002575
ENSLOCP00000005608	SINCAM011731
ENSLOCP00000005609	SINCAM921241
ENSLOCP00000005613	SINCAM921506
ENSLOCP00000005614	SINCAM011977
ENSLOCP00000005616	SINCAM015183
ENSLOCP00000005617	SINCAM009331
ENSLOCP00000005619	SINCAM002592
ENSLOCP00000005620	SINCAM921466
ENSLOCP00000005622	SINCAM921589
ENSLOCP00000005624	SINCAM011434
ENSLOCP00000005628	SINCAM002574
ENSLOCP00000005629	SINCAM008956
ENSLOCP00000005633	SINCAM015439
ENSLOCP00000005634	SINCAM013911
ENSLOCP00000005635	SINCAM016179
ENSLOCP00000005637	SINCAM922409
ENSLOCP00000005638	SINCAM008619
ENSLOCP00000005641	SINCAM006602
ENSLOCP00000005642	SINCAM011732
ENSLOCP00000005643	SINCAM013672
ENSLOCP00000005645	SINCAM005377
ENSLOCP00000005646	SINCAM011433
ENSLOCP00000005647	SINCAM012928
ENSLOCP00000005648	SINCAM921242
ENSLOCP00000005649	SINCAM007769
ENSLOCP00000005651	SINCAM007736
ENSLOCP00000005652	SINCAM001376
ENSLOCP00000005654	SINCAM008957
ENSLOCP00000005655	SINCAM007026
ENSLOCP00000005656	SINCAM922410
ENSLOCP00000005657	SINCAM001675
ENSLOCP00000005658	SINCAM014171
ENSLOCP00000005661	SINCAM011432
ENSLOCP00000005662	SINCAM013917
ENSLOCP00000005664	SINCAM009185
ENSLOCP00000005665	SINCAM922039
ENSLOCP00000005666	SINCAM921364
ENSLOCP00000005667	SINCAM007737
ENSLOCP00000005668	SINCAM012929
ENSLOCP00000005669	SINCAM002573
ENSLOCP00000005670	SINCAM004472
ENSLOCP00000005671	SINCAM001375
ENSLOCP00000005672	SINCAM004055
ENSLOCP00000005673	SINCAM007027
ENSLOCP00000005674	SINCAM016180
ENSLOCP00000005679	SINCAM008621
ENSLOCP00000005680	SINCAM007766
ENSLOCP00000005682	SINCAM011979
ENSLOCP00000005685	SINCAM006603
ENSLOCP00000005689	SINCAM012931
ENSLOCP00000005690	SINCAM007940
ENSLOCP00000005693	SINCAM010313
ENSLOCP00000005694	SINCAM005375
ENSLOCP00000005696	SINCAM016483
ENSLOCP00000005697	SINCAM004998
ENSLOCP00000005698	SINCAM001674
ENSLOCP00000005699	SINCAM921786
ENSLOCP00000005700	SINCAM009184
ENSLOCP00000005702	SINCAM014899
ENSLOCP00000005703	SINCAM013938
ENSLOCP00000005706	SINCAM006604
ENSLOCP00000005707	SINCAM007028
ENSLOCP00000005708	SINCAM011431
ENSLOCP00000005709	SINCAM007699
ENSLOCP00000005710	SINCAM008622
ENSLOCP00000005712	SINCAM012932
ENSLOCP00000005714	SINCAM010436
ENSLOCP00000005715	SINCAM920806
ENSLOCP00000005718	SINCAM007739
ENSLOCP00000005720	SINCAM004999
ENSLOCP00000005721	SINCAM011694
ENSLOCP00000005724	SINCAM014190
ENSLOCP00000005725	SINCAM900257
ENSLOCP00000005726	SINCAM007379
ENSLOCP00000005728	SINCAM009183
ENSLOCP00000005731	SINCAM007740
ENSLOCP00000005732	SINCAM012936
ENSLOCP00000005733	SINCAM001673
ENSLOCP00000005734	SINCAM009054
ENSLOCP00000005735	SINCAM011863
ENSLOCP00000005736	SINCAM008623
ENSLOCP00000005737	SINCAM009383
ENSLOCP00000005741	SINCAM010437
ENSLOCP00000005742	SINCAM006481
ENSLOCP00000005744	SINCAM011428
ENSLOCP00000005745	SINCAM014188
ENSLOCP00000005747	SINCAM921468
ENSLOCP00000005749	SINCAM001672
ENSLOCP00000005751	SINCAM007654
ENSLOCP00000005759	SINCAM014800
ENSLOCP00000005760	SINCAM007030
ENSLOCP00000005761	SINCAM006479
ENSLOCP00000005762	SINCAM014187
ENSLOCP00000005763	SINCAM002570
ENSLOCP00000005764	SINCAM013822
ENSLOCP00000005766	SINCAM011693
ENSLOCP00000005767	SINCAM001372
ENSLOCP00000005768	SINCAM004995
ENSLOCP00000005769	SINCAM007953
ENSLOCP00000005770	SINCAM009182
ENSLOCP00000005771	SINCAM001671
ENSLOCP00000005772	SINCAM010439
ENSLOCP00000005773	SINCAM921714
ENSLOCP00000005774	SINCAM007337
ENSLOCP00000005775	SINCAM011857
ENSLOCP00000005779	SINCAM008951
ENSLOCP00000005780	SINCAM006478
ENSLOCP00000005782	SINCAM011426
ENSLOCP00000005783	SINCAM011691
ENSLOCP00000005784	SINCAM009181
ENSLOCP00000005785	SINCAM013866
ENSLOCP00000005786	SINCAM921486
ENSLOCP00000005787	SINCAM001371
ENSLOCP00000005788	SINCAM007353
ENSLOCP00000005790	SINCAM014186
ENSLOCP00000005794	SINCAM007338
ENSLOCP00000005795	SINCAM005373
ENSLOCP00000005796	SINCAM004994
ENSLOCP00000005799	SINCAM002568
ENSLOCP00000005801	SINCAM011690
ENSLOCP00000005803	SINCAM011425
ENSLOCP00000005804	SINCAM920441
ENSLOCP00000005805	SINCAM015464
ENSLOCP00000005807	SINCAM014058
ENSLOCP00000005808	SINCAM012014
ENSLOCP00000005809	SINCAM007829
ENSLOCP00000005812	SINCAM010854
ENSLOCP00000005813	SINCAM010442
ENSLOCP00000005814	SINCAM005372
ENSLOCP00000005817	SINCAM009177
ENSLOCP00000005818	SINCAM007339
ENSLOCP00000005820	SINCAM014998
ENSLOCP00000005823	SINCAM007048
ENSLOCP00000005824	SINCAM006477
ENSLOCP00000005826	SINCAM012939
ENSLOCP00000005827	SINCAM921914
