ENSMGAP00000004051	fgenesh2_pg.scaffold_351000043
ENSMGAP00000002439	estExt_fgenesh2_pg.C_1410026
ENSMGAP00000017006	estExt_fgenesh2_pg.C_1410053
ENSMGAP00000013476	estExt_fgenesh2_pg.C_1410061
ENSMGAP00000015379	estExt_fgenesh2_pg.C_1410070
ENSMGAP00000016884	estExt_fgenesh2_pg.C_1410081
ENSMGAP00000016446	estExt_fgenesh2_pg.C_1410099
ENSMGAP00000000240	estExt_fgenesh2_pg.C_1410099
ENSMGAP00000015529	estExt_fgenesh2_pg.C_1410100
ENSMGAP00000000646	estExt_fgenesh2_pg.C_1420032
ENSMGAP00000009608	estExt_fgenesh2_pg.C_1420053
ENSMGAP00000012228	estExt_fgenesh2_pg.C_1420060
ENSMGAP00000016381	estExt_fgenesh2_pg.C_1420073
ENSMGAP00000015042	estExt_fgenesh2_pg.C_1420077
ENSMGAP00000013428	estExt_fgenesh2_pg.C_1420082
ENSMGAP00000003347	estExt_fgenesh2_pg.C_1430014
ENSMGAP00000000684	estExt_fgenesh2_pg.C_1430014
ENSMGAP00000011169	estExt_fgenesh2_pg.C_1430017
ENSMGAP00000011903	estExt_fgenesh2_pg.C_1430023
ENSMGAP00000015704	estExt_fgenesh2_pg.C_1430029
ENSMGAP00000009228	estExt_fgenesh2_pg.C_1430032
ENSMGAP00000000860	estExt_fgenesh2_pg.C_1430032
ENSMGAP00000008816	estExt_fgenesh2_pg.C_1430046
ENSMGAP00000004569	estExt_fgenesh2_pg.C_1430046
ENSMGAP00000000708	estExt_fgenesh2_pg.C_1430048
ENSMGAP00000010018	estExt_fgenesh2_pg.C_1430055
ENSMGAP00000013521	estExt_fgenesh2_pg.C_1430058
ENSMGAP00000002968	estExt_fgenesh2_pg.C_1430058
ENSMGAP00000004319	estExt_fgenesh2_pg.C_1440036
ENSMGAP00000013346	estExt_fgenesh2_pg.C_1440038
ENSMGAP00000008360	estExt_fgenesh2_pg.C_1440038
ENSMGAP00000013367	estExt_fgenesh2_pg.C_1440048
ENSMGAP00000019700	estExt_fgenesh2_pg.C_1440053
ENSMGAP00000003910	estExt_fgenesh2_pg.C_1440059
ENSMGAP00000001536	estExt_fgenesh2_pg.C_1440059
ENSMGAP00000014681	estExt_fgenesh2_pg.C_1450008
ENSMGAP00000011822	estExt_fgenesh2_pg.C_1450012
ENSMGAP00000011777	estExt_fgenesh2_pg.C_1450016
ENSMGAP00000007114	estExt_fgenesh2_pg.C_1450019
ENSMGAP00000005885	estExt_fgenesh2_pg.C_1450034
ENSMGAP00000009770	estExt_fgenesh2_pg.C_1450035
ENSMGAP00000011040	estExt_fgenesh2_pg.C_1450035
ENSMGAP00000019687	estExt_fgenesh2_pg.C_1450035
ENSMGAP00000009836	estExt_fgenesh2_pg.C_1450038
ENSMGAP00000009433	estExt_fgenesh2_pg.C_1450039
ENSMGAP00000019421	estExt_fgenesh2_pg.C_1450039
ENSMGAP00000009439	estExt_fgenesh2_pg.C_1450040
ENSMGAP00000005009	estExt_fgenesh2_pg.C_1450040
ENSMGAP00000003484	estExt_fgenesh2_pg.C_1450042
ENSMGAP00000002615	estExt_fgenesh2_pg.C_1450051
ENSMGAP00000000771	estExt_fgenesh2_pg.C_1450052
ENSMGAP00000009716	estExt_fgenesh2_pg.C_1450053
ENSMGAP00000006682	estExt_fgenesh2_pg.C_1450053
ENSMGAP00000002177	estExt_fgenesh2_pg.C_1450053
ENSMGAP00000014163	estExt_fgenesh2_pg.C_1450053
ENSMGAP00000003060	estExt_fgenesh2_pg.C_1450057
ENSMGAP00000006861	estExt_fgenesh2_pg.C_1450059
ENSMGAP00000009939	estExt_fgenesh2_pg.C_1450064
ENSMGAP00000000045	estExt_fgenesh2_pg.C_1450082
ENSMGAP00000010232	estExt_fgenesh2_pg.C_1450082
ENSMGAP00000019731	estExt_fgenesh2_pg.C_1450082
ENSMGAP00000001100	estExt_fgenesh2_pg.C_1450097
ENSMGAP00000009187	estExt_fgenesh2_pg.C_1450097
ENSMGAP00000006353	estExt_fgenesh2_pg.C_1450100
ENSMGAP00000008772	estExt_fgenesh2_pg.C_1450101
ENSMGAP00000005631	estExt_fgenesh2_pg.C_1460007
ENSMGAP00000014822	estExt_fgenesh2_pg.C_1460010
ENSMGAP00000003146	estExt_fgenesh2_pg.C_1460016
ENSMGAP00000004286	estExt_fgenesh2_pg.C_1460027
ENSMGAP00000010198	estExt_fgenesh2_pg.C_1460030
ENSMGAP00000006175	estExt_fgenesh2_pg.C_1460045
ENSMGAP00000002131	estExt_fgenesh2_pg.C_1460050
ENSMGAP00000000305	estExt_fgenesh2_pg.C_1460060
ENSMGAP00000008461	estExt_fgenesh2_pg.C_1460068
ENSMGAP00000016707	estExt_fgenesh2_pg.C_1460071
ENSMGAP00000013841	estExt_fgenesh2_pg.C_1460075
ENSMGAP00000002723	estExt_fgenesh2_pg.C_1460086
ENSMGAP00000011794	estExt_fgenesh2_pg.C_1460087
ENSMGAP00000008555	estExt_fgenesh2_pg.C_1460089
ENSMGAP00000017407	estExt_fgenesh2_pg.C_1460090
ENSMGAP00000000071	estExt_fgenesh2_pg.C_1460106
ENSMGAP00000014426	estExt_fgenesh2_pg.C_1470011
ENSMGAP00000003362	estExt_fgenesh2_pg.C_1470017
ENSMGAP00000010091	estExt_fgenesh2_pg.C_1470017
ENSMGAP00000005287	estExt_fgenesh2_pg.C_1470017
ENSMGAP00000002146	estExt_fgenesh2_pg.C_1470021
ENSMGAP00000010174	estExt_fgenesh2_pg.C_1470037
ENSMGAP00000002325	estExt_fgenesh2_pg.C_1470054
ENSMGAP00000000046	estExt_fgenesh2_pg.C_1470061
ENSMGAP00000002017	estExt_fgenesh2_pg.C_1470074
ENSMGAP00000009941	estExt_fgenesh2_pg.C_1470094
ENSMGAP00000013351	estExt_fgenesh2_pg.C_1480022
ENSMGAP00000007211	estExt_fgenesh2_pg.C_1480037
ENSMGAP00000000114	estExt_fgenesh2_pg.C_1480044
ENSMGAP00000009788	estExt_fgenesh2_pg.C_1480047
ENSMGAP00000007943	estExt_fgenesh2_pg.C_1480049
ENSMGAP00000008752	estExt_fgenesh2_pg.C_1480052
ENSMGAP00000004457	estExt_fgenesh2_pg.C_1480059
ENSMGAP00000000679	estExt_fgenesh2_pg.C_1480059
ENSMGAP00000011616	estExt_fgenesh2_pg.C_1480059
ENSMGAP00000014961	estExt_fgenesh2_pg.C_1490006
ENSMGAP00000010474	estExt_fgenesh2_pg.C_1490022
ENSMGAP00000003400	estExt_fgenesh2_pg.C_1490034
ENSMGAP00000006429	estExt_fgenesh2_pg.C_1490042
ENSMGAP00000007303	estExt_fgenesh2_pg.C_1490044
ENSMGAP00000010026	estExt_fgenesh2_pg.C_1490046
ENSMGAP00000014896	estExt_fgenesh2_pg.C_1490052
ENSMGAP00000009202	estExt_fgenesh2_pg.C_1490081
ENSMGAP00000003623	estExt_fgenesh2_pg.C_1490090
ENSMGAP00000017619	estExt_fgenesh2_pg.C_1490092
ENSMGAP00000005796	estExt_fgenesh2_pg.C_1490096
ENSMGAP00000012587	estExt_fgenesh2_pg.C_1490102
ENSMGAP00000006025	estExt_fgenesh2_pg.C_1500023
ENSMGAP00000004572	estExt_fgenesh2_pg.C_1500028
ENSMGAP00000011669	estExt_fgenesh2_pg.C_1500028
ENSMGAP00000004471	estExt_fgenesh2_pg.C_1500058
ENSMGAP00000007720	estExt_fgenesh2_pg.C_1500059
ENSMGAP00000002748	estExt_fgenesh2_pg.C_1500071
ENSMGAP00000000773	estExt_fgenesh2_pg.C_1500089
ENSMGAP00000000216	estExt_fgenesh2_pg.C_1500108
ENSMGAP00000006658	estExt_fgenesh2_pg.C_1500109
ENSMGAP00000003432	estExt_fgenesh2_pg.C_1510033
ENSMGAP00000011921	estExt_fgenesh2_pg.C_1510049
ENSMGAP00000008562	estExt_fgenesh2_pg.C_1510056
ENSMGAP00000008602	estExt_fgenesh2_pg.C_1510067
ENSMGAP00000005733	estExt_fgenesh2_pg.C_1520023
ENSMGAP00000004717	estExt_fgenesh2_pg.C_1520024
ENSMGAP00000001475	estExt_fgenesh2_pg.C_1520031
ENSMGAP00000019051	estExt_fgenesh2_pg.C_1520073
ENSMGAP00000009979	estExt_fgenesh2_pg.C_1520078
ENSMGAP00000009944	estExt_fgenesh2_pg.C_1520078
ENSMGAP00000007798	estExt_fgenesh2_pg.C_1520082
ENSMGAP00000011299	estExt_fgenesh2_pg.C_1520084
ENSMGAP00000000710	estExt_fgenesh2_pg.C_1520084
ENSMGAP00000003722	estExt_fgenesh2_pg.C_1520084
ENSMGAP00000001898	estExt_fgenesh2_pg.C_1520092
ENSMGAP00000002427	estExt_fgenesh2_pg.C_1530027
ENSMGAP00000019787	estExt_fgenesh2_pg.C_1530049
ENSMGAP00000013725	estExt_fgenesh2_pg.C_1530064
ENSMGAP00000001419	estExt_fgenesh2_pg.C_1530075
ENSMGAP00000001439	estExt_fgenesh2_pg.C_1530076
ENSMGAP00000010442	estExt_fgenesh2_pg.C_1530079
ENSMGAP00000010878	estExt_fgenesh2_pg.C_1530079
ENSMGAP00000009850	estExt_fgenesh2_pg.C_1530081
ENSMGAP00000013878	estExt_fgenesh2_pg.C_1530082
ENSMGAP00000013585	estExt_fgenesh2_pg.C_1530089
ENSMGAP00000012272	estExt_fgenesh2_pg.C_1540010
ENSMGAP00000010409	estExt_fgenesh2_pg.C_1540010
ENSMGAP00000005208	estExt_fgenesh2_pg.C_1540012
ENSMGAP00000012573	estExt_fgenesh2_pg.C_1540018
ENSMGAP00000005736	estExt_fgenesh2_pg.C_1540054
ENSMGAP00000008604	estExt_fgenesh2_pg.C_1540054
ENSMGAP00000006420	estExt_fgenesh2_pg.C_1540055
ENSMGAP00000001689	estExt_fgenesh2_pg.C_1540058
ENSMGAP00000000759	estExt_fgenesh2_pg.C_1540058
ENSMGAP00000006515	estExt_fgenesh2_pg.C_1540062
ENSMGAP00000006021	estExt_fgenesh2_pg.C_1540070
ENSMGAP00000019650	estExt_fgenesh2_pg.C_1550013
ENSMGAP00000002332	estExt_fgenesh2_pg.C_1550017
ENSMGAP00000005725	estExt_fgenesh2_pg.C_1550034
ENSMGAP00000006047	estExt_fgenesh2_pg.C_1550041
ENSMGAP00000004899	estExt_fgenesh2_pg.C_1550053
ENSMGAP00000005404	estExt_fgenesh2_pg.C_1550070
ENSMGAP00000001845	estExt_fgenesh2_pg.C_1550085
ENSMGAP00000003137	estExt_fgenesh2_pg.C_1550085
ENSMGAP00000005849	estExt_fgenesh2_pg.C_1550089
ENSMGAP00000004317	estExt_fgenesh2_pg.C_1560048
ENSMGAP00000003605	estExt_fgenesh2_pg.C_1560052
ENSMGAP00000009624	estExt_fgenesh2_pg.C_1560062
ENSMGAP00000003922	estExt_fgenesh2_pg.C_1560062
ENSMGAP00000010106	estExt_fgenesh2_pg.C_1560063
ENSMGAP00000019309	estExt_fgenesh2_pg.C_1560080
ENSMGAP00000006335	estExt_fgenesh2_pg.C_1570023
ENSMGAP00000011798	estExt_fgenesh2_pg.C_1570024
ENSMGAP00000007813	estExt_fgenesh2_pg.C_1570035
ENSMGAP00000002856	estExt_fgenesh2_pg.C_1570037
ENSMGAP00000004757	estExt_fgenesh2_pg.C_1570069
ENSMGAP00000004168	estExt_fgenesh2_pg.C_1570069
ENSMGAP00000000360	estExt_fgenesh2_pg.C_1570079
ENSMGAP00000014299	estExt_fgenesh2_pg.C_1580002
ENSMGAP00000004506	estExt_fgenesh2_pg.C_1580035
ENSMGAP00000007935	estExt_fgenesh2_pg.C_1580038
ENSMGAP00000007819	estExt_fgenesh2_pg.C_1580063
ENSMGAP00000012996	estExt_fgenesh2_pg.C_1580063
ENSMGAP00000011081	estExt_fgenesh2_pg.C_1580085
ENSMGAP00000015764	estExt_fgenesh2_pg.C_1590011
ENSMGAP00000015176	estExt_fgenesh2_pg.C_1590012
ENSMGAP00000019480	estExt_fgenesh2_pg.C_1590024
ENSMGAP00000001331	estExt_fgenesh2_pg.C_1590026
ENSMGAP00000003920	estExt_fgenesh2_pg.C_1590032
ENSMGAP00000003391	estExt_fgenesh2_pg.C_1590052
ENSMGAP00000012098	estExt_fgenesh2_pg.C_1590053
ENSMGAP00000019494	estExt_fgenesh2_pg.C_1590054
ENSMGAP00000009831	estExt_fgenesh2_pg.C_1590082
ENSMGAP00000016236	estExt_fgenesh2_pg.C_1590085
ENSMGAP00000001784	estExt_fgenesh2_pg.C_1590092
ENSMGAP00000010185	estExt_fgenesh2_pg.C_1590095
ENSMGAP00000007282	estExt_fgenesh2_pg.C_1590104
ENSMGAP00000014433	estExt_fgenesh2_pg.C_1600006
ENSMGAP00000015750	estExt_fgenesh2_pg.C_1600014
ENSMGAP00000019024	estExt_fgenesh2_pg.C_1600089
ENSMGAP00000013165	estExt_fgenesh2_pg.C_1600111
ENSMGAP00000010025	estExt_fgenesh2_pg.C_1600113
ENSMGAP00000007025	estExt_fgenesh2_pg.C_1610009
ENSMGAP00000003138	estExt_fgenesh2_pg.C_1610021
ENSMGAP00000009459	estExt_fgenesh2_pg.C_1610021
ENSMGAP00000010996	estExt_fgenesh2_pg.C_1610066
ENSMGAP00000001926	estExt_fgenesh2_pg.C_1610077
ENSMGAP00000005718	estExt_fgenesh2_pg.C_1610077
ENSMGAP00000011727	estExt_fgenesh2_pg.C_1620048
ENSMGAP00000013022	estExt_fgenesh2_pg.C_1620048
ENSMGAP00000005743	estExt_fgenesh2_pg.C_1630005
ENSMGAP00000004639	estExt_fgenesh2_pg.C_1630018
ENSMGAP00000002947	estExt_fgenesh2_pg.C_1630050
ENSMGAP00000014676	estExt_fgenesh2_pg.C_1630063
ENSMGAP00000007179	estExt_fgenesh2_pg.C_1640017
ENSMGAP00000009657	estExt_fgenesh2_pg.C_1640020
ENSMGAP00000001010	estExt_fgenesh2_pg.C_1640020
ENSMGAP00000001802	estExt_fgenesh2_pg.C_1640020
ENSMGAP00000011295	estExt_fgenesh2_pg.C_1640022
ENSMGAP00000009264	estExt_fgenesh2_pg.C_1640031
ENSMGAP00000001865	estExt_fgenesh2_pg.C_1640037
ENSMGAP00000010078	estExt_fgenesh2_pg.C_1640040
ENSMGAP00000007198	estExt_fgenesh2_pg.C_1640040
ENSMGAP00000010791	estExt_fgenesh2_pg.C_1640041
ENSMGAP00000013225	estExt_fgenesh2_pg.C_1640043
ENSMGAP00000010070	estExt_fgenesh2_pg.C_1640044
ENSMGAP00000009976	estExt_fgenesh2_pg.C_1640046
ENSMGAP00000006897	estExt_fgenesh2_pg.C_1650027
ENSMGAP00000002725	estExt_fgenesh2_pg.C_1650027
ENSMGAP00000008477	estExt_fgenesh2_pg.C_1650027
ENSMGAP00000010398	estExt_fgenesh2_pg.C_1650035
ENSMGAP00000006187	estExt_fgenesh2_pg.C_1650053
ENSMGAP00000013043	estExt_fgenesh2_pg.C_1650057
ENSMGAP00000002699	estExt_fgenesh2_pg.C_1650060
ENSMGAP00000010355	estExt_fgenesh2_pg.C_1650063
ENSMGAP00000012859	estExt_fgenesh2_pg.C_1650063
ENSMGAP00000012833	estExt_fgenesh2_pg.C_1650063
ENSMGAP00000005914	estExt_fgenesh2_pg.C_1650063
ENSMGAP00000004090	estExt_fgenesh2_pg.C_1650063
ENSMGAP00000007290	estExt_fgenesh2_pg.C_1650088
ENSMGAP00000009778	estExt_fgenesh2_pg.C_1650095
ENSMGAP00000005167	estExt_fgenesh2_pg.C_1650095
ENSMGAP00000011671	estExt_fgenesh2_pg.C_1660016
ENSMGAP00000011739	estExt_fgenesh2_pg.C_1660051
ENSMGAP00000010274	estExt_fgenesh2_pg.C_1660053
ENSMGAP00000014788	estExt_fgenesh2_pg.C_1660061
ENSMGAP00000005400	estExt_fgenesh2_pg.C_1660071
ENSMGAP00000001453	estExt_fgenesh2_pg.C_1660072
ENSMGAP00000015016	estExt_fgenesh2_pg.C_1660078
ENSMGAP00000017895	estExt_fgenesh2_pg.C_1660088
ENSMGAP00000018791	estExt_fgenesh2_pg.C_1660088
ENSMGAP00000013630	estExt_fgenesh2_pg.C_1660089
ENSMGAP00000019565	estExt_fgenesh2_pg.C_1660091
ENSMGAP00000006881	estExt_fgenesh2_pg.C_1660097
ENSMGAP00000012317	estExt_fgenesh2_pg.C_1670029
ENSMGAP00000008830	estExt_fgenesh2_pg.C_1670052
ENSMGAP00000008878	estExt_fgenesh2_pg.C_1670052
ENSMGAP00000014699	estExt_fgenesh2_pg.C_1670052
ENSMGAP00000018679	estExt_fgenesh2_pg.C_1670052
ENSMGAP00000010811	estExt_fgenesh2_pg.C_1670053
ENSMGAP00000018740	estExt_fgenesh2_pg.C_1670054
ENSMGAP00000015852	estExt_fgenesh2_pg.C_1670055
ENSMGAP00000019441	estExt_fgenesh2_pg.C_1670062
ENSMGAP00000015848	estExt_fgenesh2_pg.C_1670063
ENSMGAP00000019510	estExt_fgenesh2_pg.C_1670068
ENSMGAP00000006275	estExt_fgenesh2_pg.C_1670070
ENSMGAP00000010675	estExt_fgenesh2_pg.C_1670076
ENSMGAP00000007012	estExt_fgenesh2_pg.C_1670085
ENSMGAP00000011865	estExt_fgenesh2_pg.C_1670087
ENSMGAP00000006136	estExt_fgenesh2_pg.C_1670087
ENSMGAP00000004853	estExt_fgenesh2_pg.C_1670092
ENSMGAP00000009804	estExt_fgenesh2_pg.C_1670099
ENSMGAP00000013852	estExt_fgenesh2_pg.C_1670106
ENSMGAP00000013957	estExt_fgenesh2_pg.C_1670109
ENSMGAP00000011191	estExt_fgenesh2_pg.C_1670113
ENSMGAP00000006491	estExt_fgenesh2_pg.C_1680003
ENSMGAP00000010229	estExt_fgenesh2_pg.C_1680005
ENSMGAP00000007097	estExt_fgenesh2_pg.C_1680014
ENSMGAP00000006913	estExt_fgenesh2_pg.C_1680024
ENSMGAP00000013070	estExt_fgenesh2_pg.C_1680030
ENSMGAP00000005068	estExt_fgenesh2_pg.C_1690011
ENSMGAP00000013470	estExt_fgenesh2_pg.C_1690012
ENSMGAP00000005090	estExt_fgenesh2_pg.C_1690012
ENSMGAP00000004931	estExt_fgenesh2_pg.C_1690055
ENSMGAP00000004625	estExt_fgenesh2_pg.C_1690059
ENSMGAP00000003460	estExt_fgenesh2_pg.C_1690067
ENSMGAP00000013868	estExt_fgenesh2_pg.C_1690067
ENSMGAP00000002743	estExt_fgenesh2_pg.C_1690067
ENSMGAP00000004135	estExt_fgenesh2_pg.C_1690067
ENSMGAP00000014379	estExt_fgenesh2_pg.C_1700008
ENSMGAP00000003358	estExt_fgenesh2_pg.C_1700010
ENSMGAP00000013103	estExt_fgenesh2_pg.C_1700018
ENSMGAP00000004118	estExt_fgenesh2_pg.C_1700018
ENSMGAP00000009098	estExt_fgenesh2_pg.C_1700018
ENSMGAP00000012182	estExt_fgenesh2_pg.C_1700020
ENSMGAP00000002728	estExt_fgenesh2_pg.C_1700022
ENSMGAP00000018528	estExt_fgenesh2_pg.C_1710006
ENSMGAP00000001621	estExt_fgenesh2_pg.C_1710010
ENSMGAP00000012959	estExt_fgenesh2_pg.C_1710018
ENSMGAP00000011028	estExt_fgenesh2_pg.C_1710021
ENSMGAP00000014476	estExt_fgenesh2_pg.C_1710023
ENSMGAP00000018445	estExt_fgenesh2_pg.C_1720042
ENSMGAP00000009502	estExt_fgenesh2_pg.C_1720042
ENSMGAP00000006572	estExt_fgenesh2_pg.C_1720057
ENSMGAP00000005025	estExt_fgenesh2_pg.C_1730029
ENSMGAP00000017911	estExt_fgenesh2_pg.C_1730029
ENSMGAP00000004097	estExt_fgenesh2_pg.C_1730030
ENSMGAP00000019563	estExt_fgenesh2_pg.C_1730030
ENSMGAP00000015252	estExt_fgenesh2_pg.C_1730035
ENSMGAP00000012052	estExt_fgenesh2_pg.C_1730040
ENSMGAP00000006582	estExt_fgenesh2_pg.C_1730041
ENSMGAP00000006274	estExt_fgenesh2_pg.C_1730047
ENSMGAP00000007171	estExt_fgenesh2_pg.C_1730057
ENSMGAP00000018952	estExt_fgenesh2_pg.C_1730057
ENSMGAP00000008412	estExt_fgenesh2_pg.C_1730057
ENSMGAP00000006612	estExt_fgenesh2_pg.C_1730059
ENSMGAP00000001339	estExt_fgenesh2_pg.C_1740003
ENSMGAP00000007672	estExt_fgenesh2_pg.C_1740025
ENSMGAP00000005089	estExt_fgenesh2_pg.C_1740084
ENSMGAP00000017061	estExt_fgenesh2_pg.C_1750045
ENSMGAP00000010932	estExt_fgenesh2_pg.C_1750052
ENSMGAP00000008252	estExt_fgenesh2_pg.C_1750060
ENSMGAP00000005507	estExt_fgenesh2_pg.C_1750064
ENSMGAP00000005893	estExt_fgenesh2_pg.C_1760021
ENSMGAP00000005991	estExt_fgenesh2_pg.C_1760034
ENSMGAP00000014533	estExt_fgenesh2_pg.C_1760062
ENSMGAP00000004243	estExt_fgenesh2_pg.C_1760076
ENSMGAP00000001367	estExt_fgenesh2_pg.C_1760095
ENSMGAP00000011904	estExt_fgenesh2_pg.C_1770001
ENSMGAP00000008845	estExt_fgenesh2_pg.C_1770015
ENSMGAP00000007994	estExt_fgenesh2_pg.C_1770023
ENSMGAP00000008584	estExt_fgenesh2_pg.C_1770023
ENSMGAP00000006571	estExt_fgenesh2_pg.C_1770059
ENSMGAP00000010074	estExt_fgenesh2_pg.C_1770060
ENSMGAP00000007410	estExt_fgenesh2_pg.C_1770062
ENSMGAP00000006841	estExt_fgenesh2_pg.C_1770067
ENSMGAP00000009128	estExt_fgenesh2_pg.C_1770089
ENSMGAP00000016768	estExt_fgenesh2_pg.C_1780012
ENSMGAP00000005286	estExt_fgenesh2_pg.C_1780012
ENSMGAP00000014269	estExt_fgenesh2_pg.C_1780012
ENSMGAP00000000764	estExt_fgenesh2_pg.C_1780018
ENSMGAP00000005187	estExt_fgenesh2_pg.C_1780020
ENSMGAP00000004958	estExt_fgenesh2_pg.C_1780026
ENSMGAP00000000420	estExt_fgenesh2_pg.C_1780026
ENSMGAP00000002739	estExt_fgenesh2_pg.C_1780033
ENSMGAP00000003381	estExt_fgenesh2_pg.C_1780033
ENSMGAP00000008853	estExt_fgenesh2_pg.C_1780033
ENSMGAP00000002081	estExt_fgenesh2_pg.C_1780033
ENSMGAP00000008832	estExt_fgenesh2_pg.C_1780044
ENSMGAP00000013240	estExt_fgenesh2_pg.C_1790036
ENSMGAP00000015264	estExt_fgenesh2_pg.C_1790055
ENSMGAP00000015199	estExt_fgenesh2_pg.C_1800050
ENSMGAP00000016172	estExt_fgenesh2_pg.C_1800052
ENSMGAP00000001723	estExt_fgenesh2_pg.C_1800052
ENSMGAP00000010108	estExt_fgenesh2_pg.C_1800052
ENSMGAP00000001296	estExt_fgenesh2_pg.C_1800064
ENSMGAP00000001309	estExt_fgenesh2_pg.C_1800074
ENSMGAP00000017926	estExt_fgenesh2_pg.C_1800076
ENSMGAP00000012043	estExt_fgenesh2_pg.C_1810008
ENSMGAP00000011147	estExt_fgenesh2_pg.C_1810008
ENSMGAP00000008195	estExt_fgenesh2_pg.C_1810009
ENSMGAP00000003710	estExt_fgenesh2_pg.C_1810012
ENSMGAP00000002455	estExt_fgenesh2_pg.C_1810015
ENSMGAP00000012077	estExt_fgenesh2_pg.C_1810021
ENSMGAP00000017452	estExt_fgenesh2_pg.C_1810027
ENSMGAP00000014713	estExt_fgenesh2_pg.C_1810041
ENSMGAP00000005292	estExt_fgenesh2_pg.C_1810041
ENSMGAP00000009289	estExt_fgenesh2_pg.C_1820034
ENSMGAP00000011589	estExt_fgenesh2_pg.C_1820062
ENSMGAP00000010761	estExt_fgenesh2_pg.C_1820063
ENSMGAP00000008219	estExt_fgenesh2_pg.C_1820063
ENSMGAP00000013701	estExt_fgenesh2_pg.C_1820064
ENSMGAP00000007778	estExt_fgenesh2_pg.C_1830015
ENSMGAP00000000393	estExt_fgenesh2_pg.C_1830033
ENSMGAP00000015422	estExt_fgenesh2_pg.C_1830037
ENSMGAP00000005414	estExt_fgenesh2_pg.C_1840002
ENSMGAP00000012825	estExt_fgenesh2_pg.C_1840009
ENSMGAP00000003093	estExt_fgenesh2_pg.C_1840012
ENSMGAP00000016491	estExt_fgenesh2_pg.C_1840012
ENSMGAP00000012221	estExt_fgenesh2_pg.C_1840021
ENSMGAP00000003380	estExt_fgenesh2_pg.C_1840033
ENSMGAP00000005149	estExt_fgenesh2_pg.C_1840038
ENSMGAP00000000797	estExt_fgenesh2_pg.C_1840039
ENSMGAP00000011927	estExt_fgenesh2_pg.C_1840042
ENSMGAP00000010863	estExt_fgenesh2_pg.C_1840043
ENSMGAP00000014725	estExt_fgenesh2_pg.C_1840045
ENSMGAP00000009377	estExt_fgenesh2_pg.C_1850009
ENSMGAP00000012084	estExt_fgenesh2_pg.C_1850015
ENSMGAP00000015021	estExt_fgenesh2_pg.C_1850019
ENSMGAP00000012170	estExt_fgenesh2_pg.C_1850029
ENSMGAP00000009894	estExt_fgenesh2_pg.C_1850031
ENSMGAP00000000299	estExt_fgenesh2_pg.C_1850031
ENSMGAP00000005948	estExt_fgenesh2_pg.C_1850039
ENSMGAP00000009589	estExt_fgenesh2_pg.C_1850050
ENSMGAP00000011626	estExt_fgenesh2_pg.C_1850065
ENSMGAP00000000451	estExt_fgenesh2_pg.C_1850067
ENSMGAP00000013822	estExt_fgenesh2_pg.C_1850069
ENSMGAP00000013177	estExt_fgenesh2_pg.C_1850076
ENSMGAP00000013739	estExt_fgenesh2_pg.C_1850078
ENSMGAP00000003888	estExt_fgenesh2_pg.C_1850078
ENSMGAP00000008741	estExt_fgenesh2_pg.C_1850087
ENSMGAP00000003729	estExt_fgenesh2_pg.C_1850093
ENSMGAP00000006953	estExt_fgenesh2_pg.C_1850093
ENSMGAP00000017961	estExt_fgenesh2_pg.C_1850097
ENSMGAP00000009743	estExt_fgenesh2_pg.C_1850097
ENSMGAP00000000781	estExt_fgenesh2_pg.C_1850102
ENSMGAP00000018677	estExt_fgenesh2_pg.C_1860019
ENSMGAP00000009934	estExt_fgenesh2_pg.C_1860019
ENSMGAP00000000397	estExt_fgenesh2_pg.C_1860023
ENSMGAP00000006109	estExt_fgenesh2_pg.C_1860025
ENSMGAP00000006228	estExt_fgenesh2_pg.C_1860035
ENSMGAP00000008782	estExt_fgenesh2_pg.C_1860035
ENSMGAP00000008764	estExt_fgenesh2_pg.C_1860038
ENSMGAP00000012819	estExt_fgenesh2_pg.C_1860053
ENSMGAP00000019102	estExt_fgenesh2_pg.C_1860058
ENSMGAP00000007597	estExt_fgenesh2_pg.C_1870003
ENSMGAP00000005458	estExt_fgenesh2_pg.C_1870024
ENSMGAP00000004718	estExt_fgenesh2_pg.C_1870029
ENSMGAP00000003184	estExt_fgenesh2_pg.C_1870056
ENSMGAP00000004251	estExt_fgenesh2_pg.C_1870057
ENSMGAP00000019668	estExt_fgenesh2_pg.C_1870103
ENSMGAP00000015965	estExt_fgenesh2_pg.C_1880023
ENSMGAP00000000852	estExt_fgenesh2_pg.C_1880025
ENSMGAP00000015653	estExt_fgenesh2_pg.C_1880054
ENSMGAP00000016182	estExt_fgenesh2_pg.C_1880057
ENSMGAP00000017893	estExt_fgenesh2_pg.C_1880063
ENSMGAP00000011056	estExt_fgenesh2_pg.C_1880078
ENSMGAP00000001454	estExt_fgenesh2_pg.C_1880088
ENSMGAP00000012918	estExt_fgenesh2_pg.C_1880090
ENSMGAP00000012909	estExt_fgenesh2_pg.C_1880092
ENSMGAP00000016018	estExt_fgenesh2_pg.C_1880098
ENSMGAP00000012578	estExt_fgenesh2_pg.C_1880105
ENSMGAP00000015993	estExt_fgenesh2_pg.C_1880105
ENSMGAP00000005811	estExt_fgenesh2_pg.C_1890007
ENSMGAP00000007814	estExt_fgenesh2_pg.C_1890018
ENSMGAP00000004434	estExt_fgenesh2_pg.C_1890018
