SINCAM006004	ENSP00000001008
SINCAM000725	ENSP00000283646
SINCAM004245	ENSP00000283871
SINCAM004247	ENSP00000283875
SINCAM010553	ENSP00000283882
SINCAM000860	ENSP00000283916
SINCAM001972	ENSP00000283921
SINCAM006714	ENSP00000283928
SINCAM009274	ENSP00000283943
SINCAM009275	ENSP00000283946
SINCAM005349	ENSP00000284031
SINCAM001131	ENSP00000284049
SINCAM012697	ENSP00000284061
SINCAM008618	ENSP00000284073
SINCAM012661	ENSP00000284110
SINCAM008600	ENSP00000284116
SINCAM006213	ENSP00000284136
SINCAM005324	ENSP00000284142
SINCAM011062	ENSP00000284154
SINCAM002687	ENSP00000284202
SINCAM002694	ENSP00000284224
SINCAM014005	ENSP00000284240
SINCAM010475	ENSP00000284262
SINCAM001926	ENSP00000284268
SINCAM013934	ENSP00000284273
SINCAM001925	ENSP00000284274
SINCAM922709	ENSP00000284288
SINCAM010834	ENSP00000284311
SINCAM004159	ENSP00000284320
SINCAM004171	ENSP00000284322
SINCAM000480	ENSP00000284437
SINCAM000506	ENSP00000284440
SINCAM003706	ENSP00000284476
SINCAM003095	ENSP00000284486
SINCAM012810	ENSP00000284551
SINCAM005826	ENSP00000284601
SINCAM921168	ENSP00000284617
SINCAM005835	ENSP00000284629
SINCAM000650	ENSP00000284637
SINCAM006740	ENSP00000284669
SINCAM007234	ENSP00000284674
SINCAM007217	ENSP00000284690
SINCAM007215	ENSP00000284694
SINCAM921599	ENSP00000284719
SINCAM014089	ENSP00000284727
SINCAM000592	ENSP00000284770
SINCAM004046	ENSP00000284878
SINCAM004047	ENSP00000284881
SINCAM004049	ENSP00000284885
SINCAM011854	ENSP00000284898
SINCAM008730	ENSP00000284957
SINCAM004128	ENSP00000284981
SINCAM004129	ENSP00000284984
SINCAM004130	ENSP00000284987
SINCAM009610	ENSP00000284995
SINCAM008589	ENSP00000285013
SINCAM009624	ENSP00000285018
SINCAM009823	ENSP00000285021
SINCAM001425	ENSP00000285039
SINCAM009854	ENSP00000285046
SINCAM016782	ENSP00000285071
SINCAM002180	ENSP00000285083
SINCAM001426	ENSP00000285093
SINCAM001423	ENSP00000285116
SINCAM922197	ENSP00000285199
SINCAM009387	ENSP00000285208
SINCAM012690	ENSP00000285238
SINCAM012688	ENSP00000285243
SINCAM002172	ENSP00000285279
SINCAM008553	ENSP00000285298
SINCAM920479	ENSP00000285311
SINCAM006284	ENSP00000285398
SINCAM002446	ENSP00000285407
SINCAM002376	ENSP00000285419
SINCAM002375	ENSP00000285420
SINCAM921070	ENSP00000285518
SINCAM920469	ENSP00000285599
SINCAM004041	ENSP00000285667
SINCAM004042	ENSP00000285670
SINCAM004044	ENSP00000285679
SINCAM010504	ENSP00000285697
SINCAM010510	ENSP00000285737
SINCAM006360	ENSP00000285814
SINCAM006113	ENSP00000285871
SINCAM010265	ENSP00000285873
SINCAM006156	ENSP00000285928
SINCAM006030	ENSP00000285930
SINCAM001287	ENSP00000285947
SINCAM007166	ENSP00000285949
SINCAM005967	ENSP00000285968
SINCAM014685	ENSP00000285979
SINCAM005187	ENSP00000286031
SINCAM006697	ENSP00000286063
SINCAM007289	ENSP00000286067
SINCAM006696	ENSP00000286070
SINCAM002160	ENSP00000286091
SINCAM921524	ENSP00000286175
SINCAM921573	ENSP00000286201
SINCAM012012	ENSP00000286234
SINCAM010011	ENSP00000286298
SINCAM010148	ENSP00000286307
SINCAM922378	ENSP00000286317
SINCAM009484	ENSP00000286349
SINCAM009487	ENSP00000286353
SINCAM002480	ENSP00000286355
SINCAM009278	ENSP00000286364
SINCAM009270	ENSP00000286371
SINCAM000922	ENSP00000286398
SINCAM011019	ENSP00000286428
SINCAM008378	ENSP00000286523
SINCAM008471	ENSP00000286544
SINCAM001052	ENSP00000286548
SINCAM002385	ENSP00000286614
SINCAM007018	ENSP00000286621
SINCAM010057	ENSP00000286648
SINCAM006947	ENSP00000286657
SINCAM002466	ENSP00000286688
SINCAM012353	ENSP00000286692
SINCAM007984	ENSP00000286713
SINCAM004362	ENSP00000286719
SINCAM900111	ENSP00000286732
SINCAM000401	ENSP00000286733
SINCAM900102	ENSP00000286744
SINCAM920481	ENSP00000286758
SINCAM013121	ENSP00000286760
SINCAM004609	ENSP00000286788
SINCAM004531	ENSP00000286827
SINCAM004536	ENSP00000286835
SINCAM003936	ENSP00000286918
SINCAM010226	ENSP00000287008
SINCAM002467	ENSP00000287020
SINCAM002469	ENSP00000287025
SINCAM920824	ENSP00000287042
SINCAM007075	ENSP00000287078
SINCAM006949	ENSP00000287139
SINCAM921221	ENSP00000287152
SINCAM921462	ENSP00000287169
SINCAM007017	ENSP00000287239
SINCAM010800	ENSP00000287295
SINCAM002325	ENSP00000287380
SINCAM002332	ENSP00000287387
SINCAM002330	ENSP00000287394
SINCAM002305	ENSP00000287437
SINCAM005405	ENSP00000287474
SINCAM001016	ENSP00000287482
SINCAM010875	ENSP00000287538
SINCAM922139	ENSP00000287585
SINCAM921914	ENSP00000287590
SINCAM008393	ENSP00000287598
SINCAM009570	ENSP00000287600
SINCAM009116	ENSP00000287641
SINCAM009768	ENSP00000287647
SINCAM011335	ENSP00000287667
SINCAM011326	ENSP00000287706
SINCAM005204	ENSP00000287713
SINCAM005501	ENSP00000287727
SINCAM006032	ENSP00000287766
SINCAM001520	ENSP00000287777
SINCAM923033	ENSP00000287814
SINCAM009609	ENSP00000287820
SINCAM005196	ENSP00000287859
SINCAM921543	ENSP00000287878
SINCAM001530	ENSP00000287907
SINCAM001710	ENSP00000287908
SINCAM920749	ENSP00000287934
SINCAM001219	ENSP00000287936
SINCAM002207	ENSP00000287957
SINCAM009591	ENSP00000287996
SINCAM010304	ENSP00000288022
SINCAM010418	ENSP00000288025
SINCAM008387	ENSP00000288040
SINCAM013587	ENSP00000288048
SINCAM010622	ENSP00000288050
SINCAM008673	ENSP00000288065
SINCAM013788	ENSP00000288071
SINCAM010670	ENSP00000288078
SINCAM922376	ENSP00000288135
SINCAM009636	ENSP00000288139
SINCAM009638	ENSP00000288167
SINCAM016144	ENSP00000288207
SINCAM009914	ENSP00000288221
SINCAM900056	ENSP00000288228
SINCAM900057	ENSP00000288235
SINCAM009920	ENSP00000288266
SINCAM002632	ENSP00000288368
SINCAM007877	ENSP00000288462
SINCAM007940	ENSP00000288466
SINCAM007743	ENSP00000288502
SINCAM007440	ENSP00000288532
SINCAM005972	ENSP00000288602
SINCAM011152	ENSP00000288607
SINCAM006761	ENSP00000288670
SINCAM007449	ENSP00000288680
SINCAM003058	ENSP00000288699
SINCAM003054	ENSP00000288710
SINCAM013819	ENSP00000288774
SINCAM011442	ENSP00000288828
SINCAM013070	ENSP00000288840
SINCAM921437	ENSP00000288912
SINCAM014410	ENSP00000288943
SINCAM008918	ENSP00000288955
SINCAM009625	ENSP00000288976
SINCAM001024	ENSP00000288985
SINCAM008854	ENSP00000289004
SINCAM001580	ENSP00000289013
SINCAM001027	ENSP00000289081
SINCAM006348	ENSP00000289104
SINCAM920789	ENSP00000289119
SINCAM009110	ENSP00000289248
SINCAM010245	ENSP00000289269
SINCAM004709	ENSP00000289359
SINCAM014664	ENSP00000289361
SINCAM004712	ENSP00000289371
SINCAM004722	ENSP00000289382
SINCAM006267	ENSP00000289388
SINCAM921037	ENSP00000289407
SINCAM014389	ENSP00000289547
SINCAM016348	ENSP00000289575
SINCAM002154	ENSP00000289672
SINCAM013640	ENSP00000289749
SINCAM013570	ENSP00000289753
SINCAM010409	ENSP00000289805
SINCAM017407	ENSP00000289921
SINCAM921998	ENSP00000289932
SINCAM000881	ENSP00000289957
SINCAM011206	ENSP00000289968
SINCAM013540	ENSP00000290015
SINCAM005078	ENSP00000290039
SINCAM921496	ENSP00000290079
SINCAM013689	ENSP00000290101
SINCAM013632	ENSP00000290122
SINCAM004133	ENSP00000290130
SINCAM921246	ENSP00000290155
SINCAM013329	ENSP00000290158
SINCAM013600	ENSP00000290167
SINCAM004016	ENSP00000290200
SINCAM013368	ENSP00000290216
SINCAM004018	ENSP00000290219
SINCAM011926	ENSP00000290231
SINCAM011911	ENSP00000290246
SINCAM004029	ENSP00000290299
SINCAM004027	ENSP00000290310
SINCAM013327	ENSP00000290341
SINCAM004034	ENSP00000290349
SINCAM008270	ENSP00000290374
SINCAM921653	ENSP00000290378
SINCAM004101	ENSP00000290399
SINCAM013238	ENSP00000290401
SINCAM000692	ENSP00000290418
SINCAM005933	ENSP00000290429
SINCAM000763	ENSP00000290536
SINCAM018024	ENSP00000290541
SINCAM010538	ENSP00000290552
SINCAM922218	ENSP00000290573
SINCAM013230	ENSP00000290583
SINCAM008372	ENSP00000290607
SINCAM010646	ENSP00000290649
SINCAM008375	ENSP00000290650
SINCAM005412	ENSP00000290663
SINCAM000532	ENSP00000290722
SINCAM900180	ENSP00000290759
SINCAM010654	ENSP00000290765
SINCAM010351	ENSP00000290810
SINCAM006069	ENSP00000290846
SINCAM013564	ENSP00000290866
SINCAM000336	ENSP00000290881
SINCAM012772	ENSP00000290894
SINCAM000698	ENSP00000290902
SINCAM010132	ENSP00000290921
SINCAM010578	ENSP00000290949
SINCAM922088	ENSP00000290953
SINCAM000670	ENSP00000290974
SINCAM002408	ENSP00000291041
SINCAM008209	ENSP00000291294
SINCAM013761	ENSP00000291386
SINCAM013598	ENSP00000291416
SINCAM004241	ENSP00000291458
SINCAM012928	ENSP00000291481
SINCAM008743	ENSP00000291532
SINCAM004124	ENSP00000291536
SINCAM922713	ENSP00000291539
SINCAM004110	ENSP00000291547
SINCAM004108	ENSP00000291552
SINCAM921251	ENSP00000291554
SINCAM004106	ENSP00000291560
SINCAM921252	ENSP00000291565
SINCAM004242	ENSP00000291568
SINCAM004119	ENSP00000291576
SINCAM004116	ENSP00000291577
SINCAM009369	ENSP00000291582
SINCAM921569	ENSP00000291592
SINCAM006511	ENSP00000291634
SINCAM921554	ENSP00000291670
SINCAM921555	ENSP00000291672
SINCAM006455	ENSP00000291691
SINCAM921559	ENSP00000291700
SINCAM922721	ENSP00000291707
SINCAM015690	ENSP00000291823
SINCAM921526	ENSP00000291900
SINCAM014546	ENSP00000291906
SINCAM007970	ENSP00000292035
SINCAM013977	ENSP00000292055
SINCAM008661	ENSP00000292090
SINCAM008809	ENSP00000292114
SINCAM014013	ENSP00000292174
SINCAM002228	ENSP00000292246
SINCAM002235	ENSP00000292301
SINCAM013020	ENSP00000292363
SINCAM010108	ENSP00000292385
SINCAM017973	ENSP00000292431
SINCAM014800	ENSP00000292475
SINCAM011426	ENSP00000292476
SINCAM002750	ENSP00000292524
SINCAM002723	ENSP00000292539
SINCAM008827	ENSP00000292566
SINCAM922960	ENSP00000292574
SINCAM010285	ENSP00000292586
SINCAM010281	ENSP00000292596
SINCAM010282	ENSP00000292599
SINCAM008831	ENSP00000292614
SINCAM008826	ENSP00000292616
SINCAM007702	ENSP00000292778
SINCAM009164	ENSP00000292782
SINCAM009156	ENSP00000292807
SINCAM921910	ENSP00000292823
SINCAM012621	ENSP00000293190
SINCAM012417	ENSP00000293217
SINCAM012705	ENSP00000293230
SINCAM014670	ENSP00000293261
SINCAM013558	ENSP00000293273
SINCAM014750	ENSP00000293288
SINCAM013296	ENSP00000293303
SINCAM013492	ENSP00000293328
SINCAM014857	ENSP00000293350
SINCAM013502	ENSP00000293362
SINCAM014231	ENSP00000293379
SINCAM013456	ENSP00000293404
SINCAM922632	ENSP00000293414
SINCAM014861	ENSP00000293441
SINCAM014133	ENSP00000293549
SINCAM017649	ENSP00000293604
SINCAM920651	ENSP00000293636
SINCAM014209	ENSP00000293662
SINCAM014515	ENSP00000293677
SINCAM011730	ENSP00000293695
SINCAM922518	ENSP00000293760
SINCAM003454	ENSP00000293771
SINCAM007484	ENSP00000293845
SINCAM922024	ENSP00000293860
SINCAM011382	ENSP00000293872
SINCAM011118	ENSP00000293879
SINCAM011104	ENSP00000293883
SINCAM011075	ENSP00000293889
SINCAM900284	ENSP00000293892
SINCAM011135	ENSP00000293894
SINCAM011134	ENSP00000293897
SINCAM011365	ENSP00000293922
SINCAM011269	ENSP00000293970
SINCAM010218	ENSP00000293973
SINCAM011282	ENSP00000294008
SINCAM011273	ENSP00000294016
SINCAM920431	ENSP00000294064
SINCAM017507	ENSP00000294119
SINCAM009853	ENSP00000294129
SINCAM015002	ENSP00000294258
SINCAM011638	ENSP00000294304
SINCAM011698	ENSP00000294309
SINCAM011701	ENSP00000294312
SINCAM005020	ENSP00000294339
SINCAM005449	ENSP00000294353
SINCAM005045	ENSP00000294360
SINCAM005443	ENSP00000294383
SINCAM009033	ENSP00000294409
SINCAM013843	ENSP00000294435
SINCAM922566	ENSP00000294454
SINCAM013609	ENSP00000294484
SINCAM015464	ENSP00000294485
SINCAM013586	ENSP00000294489
SINCAM922545	ENSP00000294543
SINCAM922559	ENSP00000294600
SINCAM007794	ENSP00000294635
SINCAM005319	ENSP00000294638
SINCAM005345	ENSP00000294664
SINCAM920900	ENSP00000294724
SINCAM005276	ENSP00000294725
SINCAM005112	ENSP00000294728
SINCAM013470	ENSP00000294740
SINCAM005200	ENSP00000294742
SINCAM005153	ENSP00000294794
SINCAM012178	ENSP00000294811
SINCAM014176	ENSP00000294904
SINCAM003949	ENSP00000294952
SINCAM003947	ENSP00000294954
SINCAM003848	ENSP00000294964
SINCAM003842	ENSP00000294973
SINCAM003946	ENSP00000295006
SINCAM003815	ENSP00000295025
SINCAM003812	ENSP00000295030
SINCAM006553	ENSP00000295049
SINCAM003521	ENSP00000295050
SINCAM014943	ENSP00000295057
SINCAM003577	ENSP00000295065
SINCAM921581	ENSP00000295079
SINCAM921078	ENSP00000295082
SINCAM003000	ENSP00000295083
SINCAM006363	ENSP00000295087
SINCAM921079	ENSP00000295092
SINCAM006388	ENSP00000295095
SINCAM013471	ENSP00000295101
SINCAM006678	ENSP00000295108
SINCAM006674	ENSP00000295113
SINCAM003823	ENSP00000295117
SINCAM006671	ENSP00000295119
SINCAM003760	ENSP00000295121
SINCAM004759	ENSP00000295124
SINCAM006664	ENSP00000295131
SINCAM003022	ENSP00000295148
SINCAM009276	ENSP00000295190
SINCAM011048	ENSP00000295201
SINCAM006430	ENSP00000295206
SINCAM009574	ENSP00000295208
SINCAM000541	ENSP00000295213
SINCAM922838	ENSP00000295225
SINCAM006354	ENSP00000295228
SINCAM000039	ENSP00000295256
SINCAM000034	ENSP00000295268
SINCAM922925	ENSP00000295269
SINCAM000440	ENSP00000295297
SINCAM003837	ENSP00000295304
SINCAM004723	ENSP00000295317
SINCAM009368	ENSP00000295321
SINCAM921139	ENSP00000295324
SINCAM003627	ENSP00000295373
SINCAM014349	ENSP00000295379
SINCAM922805	ENSP00000295400
SINCAM003394	ENSP00000295408
SINCAM000516	ENSP00000295452
SINCAM009183	ENSP00000295453
SINCAM000520	ENSP00000295454
SINCAM016402	ENSP00000295463
SINCAM000424	ENSP00000295470
SINCAM000319	ENSP00000295488
SINCAM000320	ENSP00000295491
SINCAM013339	ENSP00000295542
SINCAM006475	ENSP00000295550
SINCAM009674	ENSP00000295569
SINCAM009673	ENSP00000295571
SINCAM011758	ENSP00000295588
SINCAM000474	ENSP00000295589
SINCAM009667	ENSP00000295600
SINCAM921342	ENSP00000295622
SINCAM004217	ENSP00000295628
SINCAM004216	ENSP00000295633
SINCAM922515	ENSP00000295640
SINCAM006269	ENSP00000295641
SINCAM920504	ENSP00000295645
SINCAM920545	ENSP00000295666
SINCAM006264	ENSP00000295683
SINCAM006266	ENSP00000295685
SINCAM015981	ENSP00000295713
SINCAM006311	ENSP00000295718
SINCAM006324	ENSP00000295727
SINCAM006325	ENSP00000295728
SINCAM920722	ENSP00000295736
SINCAM001952	ENSP00000295743
SINCAM004196	ENSP00000295746
SINCAM004203	ENSP00000295756
SINCAM009622	ENSP00000295757
SINCAM009821	ENSP00000295767
SINCAM016190	ENSP00000295770
SINCAM009527	ENSP00000295777
SINCAM009344	ENSP00000295797
SINCAM922644	ENSP00000295802
SINCAM002187	ENSP00000295824
SINCAM000734	ENSP00000295834
SINCAM004528	ENSP00000295872
SINCAM004602	ENSP00000295878
SINCAM000323	ENSP00000295886
SINCAM000387	ENSP00000295887
SINCAM000390	ENSP00000295888
SINCAM009378	ENSP00000295890
SINCAM922129	ENSP00000295899
SINCAM009685	ENSP00000295901
SINCAM009684	ENSP00000295902
SINCAM009227	ENSP00000295910
SINCAM009538	ENSP00000295926
SINCAM009535	ENSP00000295927
SINCAM920457	ENSP00000295934
SINCAM009709	ENSP00000295951
SINCAM000495	ENSP00000295958
SINCAM009697	ENSP00000295966
SINCAM922138	ENSP00000295981
SINCAM009608	ENSP00000295987
SINCAM009263	ENSP00000295992
SINCAM009730	ENSP00000296003
SINCAM009158	ENSP00000296015
SINCAM009935	ENSP00000296027
SINCAM000002	ENSP00000296028
SINCAM000409	ENSP00000296043
SINCAM009211	ENSP00000296051
SINCAM009389	ENSP00000296084
SINCAM002227	ENSP00000296088
SINCAM001903	ENSP00000296121
SINCAM001906	ENSP00000296127
SINCAM001909	ENSP00000296129
SINCAM001908	ENSP00000296130
SINCAM002238	ENSP00000296135
SINCAM002236	ENSP00000296137
SINCAM922078	ENSP00000296140
SINCAM921937	ENSP00000296142
SINCAM001018	ENSP00000296145
SINCAM922770	ENSP00000296161
SINCAM009090	ENSP00000296215
SINCAM009091	ENSP00000296218
SINCAM006448	ENSP00000296220
SINCAM009815	ENSP00000296233
SINCAM921938	ENSP00000296238
SINCAM004111	ENSP00000296252
SINCAM009811	ENSP00000296255
SINCAM015379	ENSP00000296257
SINCAM009882	ENSP00000296266
SINCAM922166	ENSP00000296271
SINCAM009111	ENSP00000296280
SINCAM009714	ENSP00000296292
SINCAM009918	ENSP00000296318
SINCAM004553	ENSP00000296327
SINCAM009419	ENSP00000296328
SINCAM009432	ENSP00000296333
SINCAM009324	ENSP00000296343
SINCAM009301	ENSP00000296350
SINCAM920467	ENSP00000296358
SINCAM012993	ENSP00000296370
SINCAM922549	ENSP00000296387
SINCAM000063	ENSP00000296411
SINCAM000353	ENSP00000296412
SINCAM000800	ENSP00000296424
SINCAM009602	ENSP00000296444
SINCAM009861	ENSP00000296452
SINCAM009862	ENSP00000296456
SINCAM000129	ENSP00000296464
SINCAM000131	ENSP00000296468
SINCAM009754	ENSP00000296473
SINCAM009755	ENSP00000296474
SINCAM005689	ENSP00000296484
SINCAM000428	ENSP00000296486
SINCAM009760	ENSP00000296490
SINCAM921845	ENSP00000296498
SINCAM000639	ENSP00000296506
SINCAM000156	ENSP00000296509
SINCAM000007	ENSP00000296511
SINCAM920428	ENSP00000296513
SINCAM920455	ENSP00000296518
SINCAM000634	ENSP00000296522
SINCAM000626	ENSP00000296525
SINCAM000194	ENSP00000296526
SINCAM000395	ENSP00000296529
SINCAM000296	ENSP00000296543
SINCAM002006	ENSP00000296564
SINCAM000207	ENSP00000296575
SINCAM000210	ENSP00000296577
SINCAM000222	ENSP00000296582
SINCAM001318	ENSP00000296585
SINCAM016176	ENSP00000296589
SINCAM001173	ENSP00000296591
SINCAM001170	ENSP00000296595
SINCAM001278	ENSP00000296597
SINCAM900254	ENSP00000296600
SINCAM001109	ENSP00000296632
SINCAM922473	ENSP00000296641
SINCAM920682	ENSP00000296657
SINCAM900217	ENSP00000296666
SINCAM009925	ENSP00000296674
SINCAM001227	ENSP00000296677
SINCAM001235	ENSP00000296679
SINCAM017926	ENSP00000296682
SINCAM001313	ENSP00000296684
SINCAM010143	ENSP00000296702
SINCAM010096	ENSP00000296721
SINCAM000605	ENSP00000296741
SINCAM001196	ENSP00000296755
SINCAM001195	ENSP00000296777
SINCAM001206	ENSP00000296785
SINCAM010153	ENSP00000296786
SINCAM001207	ENSP00000296792
SINCAM000590	ENSP00000296795
SINCAM001216	ENSP00000296802
SINCAM001215	ENSP00000296805
SINCAM001692	ENSP00000296824
SINCAM001825	ENSP00000296839
SINCAM001791	ENSP00000296849
SINCAM009998	ENSP00000296859
SINCAM003129	ENSP00000296861
SINCAM000756	ENSP00000296921
SINCAM010172	ENSP00000296930
SINCAM003656	ENSP00000296946
SINCAM010082	ENSP00000296953
SINCAM003192	ENSP00000296955
SINCAM002147	ENSP00000297001
SINCAM002066	ENSP00000297029
SINCAM011242	ENSP00000297044
SINCAM011245	ENSP00000297056
SINCAM920732	ENSP00000297071
SINCAM009963	ENSP00000297107
SINCAM000640	ENSP00000297109
SINCAM005513	ENSP00000297135
SINCAM920762	ENSP00000297142
SINCAM005824	ENSP00000297145
SINCAM920991	ENSP00000297146
SINCAM010075	ENSP00000297151
SINCAM009982	ENSP00000297156
SINCAM001755	ENSP00000297157
SINCAM002271	ENSP00000297161
SINCAM010138	ENSP00000297185
SINCAM012654	ENSP00000297203
SINCAM001711	ENSP00000297205
SINCAM003426	ENSP00000297239
SINCAM001534	ENSP00000297261
SINCAM003422	ENSP00000297267
SINCAM002099	ENSP00000297268
SINCAM002098	ENSP00000297273
SINCAM005927	ENSP00000297282
SINCAM014409	ENSP00000297283
SINCAM011229	ENSP00000297290
SINCAM011232	ENSP00000297293
SINCAM002529	ENSP00000297313
SINCAM002534	ENSP00000297316
SINCAM002158	ENSP00000297323
SINCAM010933	ENSP00000297324
SINCAM002517	ENSP00000297338
SINCAM920776	ENSP00000297347
SINCAM002309	ENSP00000297350
SINCAM002618	ENSP00000297354
SINCAM920656	ENSP00000297375
SINCAM002511	ENSP00000297405
SINCAM002431	ENSP00000297423
SINCAM006132	ENSP00000297431
SINCAM011218	ENSP00000297440
SINCAM002359	ENSP00000297459
SINCAM015944	ENSP00000297494
SINCAM011145	ENSP00000297508
SINCAM002772	ENSP00000297512
SINCAM002790	ENSP00000297532
SINCAM922787	ENSP00000297534
SINCAM001073	ENSP00000297540
SINCAM921984	ENSP00000297562
SINCAM003047	ENSP00000297565
SINCAM002400	ENSP00000297578
SINCAM002399	ENSP00000297579
SINCAM002457	ENSP00000297591
SINCAM920780	ENSP00000297596
SINCAM920639	ENSP00000297613
SINCAM900257	ENSP00000297625
SINCAM922886	ENSP00000297689
SINCAM006836	ENSP00000297737
SINCAM002633	ENSP00000297770
SINCAM920584	ENSP00000297784
SINCAM001843	ENSP00000297792
SINCAM920575	ENSP00000297814
SINCAM001789	ENSP00000297837
SINCAM002315	ENSP00000297848
SINCAM004538	ENSP00000297866
SINCAM008847	ENSP00000297873
SINCAM921306	ENSP00000297904
SINCAM009629	ENSP00000297954
SINCAM010820	ENSP00000297977
SINCAM001363	ENSP00000297990
SINCAM001370	ENSP00000297991
SINCAM001739	ENSP00000298032
SINCAM004669	ENSP00000298047
SINCAM000051	ENSP00000298048
SINCAM921363	ENSP00000298050
SINCAM007151	ENSP00000298068
SINCAM008312	ENSP00000298097
SINCAM010873	ENSP00000298110
SINCAM008316	ENSP00000298119
SINCAM004271	ENSP00000298125
SINCAM000109	ENSP00000298139
SINCAM004005	ENSP00000298198
SINCAM017917	ENSP00000298229
SINCAM004804	ENSP00000298248
SINCAM013877	ENSP00000298251
SINCAM921368	ENSP00000298281
SINCAM922714	ENSP00000298282
SINCAM008127	ENSP00000298288
SINCAM008129	ENSP00000298292
SINCAM007004	ENSP00000298295
SINCAM008132	ENSP00000298307
SINCAM008133	ENSP00000298310
SINCAM003625	ENSP00000298316
SINCAM923036	ENSP00000298317
SINCAM008203	ENSP00000298355
SINCAM004860	ENSP00000298386
SINCAM921044	ENSP00000298428
SINCAM921325	ENSP00000298440
SINCAM006858	ENSP00000298472
SINCAM007226	ENSP00000298492
SINCAM921886	ENSP00000298510
SINCAM921512	ENSP00000298532
SINCAM010849	ENSP00000298542
SINCAM007979	ENSP00000298545
SINCAM007980	ENSP00000298546
SINCAM007924	ENSP00000298552
SINCAM922301	ENSP00000298556
SINCAM010022	ENSP00000298569
SINCAM007780	ENSP00000298585
SINCAM006910	ENSP00000298596
SINCAM007200	ENSP00000298622
SINCAM007196	ENSP00000298630
SINCAM923095	ENSP00000298642
SINCAM008527	ENSP00000298705
SINCAM004402	ENSP00000298738
SINCAM900226	ENSP00000298743
SINCAM006844	ENSP00000298746
SINCAM007097	ENSP00000298767
SINCAM006981	ENSP00000298784
SINCAM004647	ENSP00000298815
SINCAM008509	ENSP00000298832
SINCAM017974	ENSP00000298854
SINCAM008083	ENSP00000298875
SINCAM005977	ENSP00000298892
SINCAM006060	ENSP00000298910
SINCAM011726	ENSP00000298937
SINCAM001714	ENSP00000298943
SINCAM006833	ENSP00000298999
SINCAM004658	ENSP00000299001
SINCAM013903	ENSP00000299106
SINCAM007664	ENSP00000299134
SINCAM010501	ENSP00000299138
SINCAM921637	ENSP00000299155
SINCAM006035	ENSP00000299157
SINCAM007679	ENSP00000299162
SINCAM006959	ENSP00000299163
SINCAM013914	ENSP00000299164
SINCAM006957	ENSP00000299166
SINCAM005717	ENSP00000299178
SINCAM010518	ENSP00000299192
SINCAM008166	ENSP00000299198
SINCAM013209	ENSP00000299213
SINCAM010612	ENSP00000299237
SINCAM921896	ENSP00000299238
SINCAM922672	ENSP00000299259
SINCAM921825	ENSP00000299290
SINCAM005738	ENSP00000299293
SINCAM004048	ENSP00000299295
SINCAM007067	ENSP00000299299
SINCAM005739	ENSP00000299300
SINCAM005658	ENSP00000299314
SINCAM011291	ENSP00000299320
SINCAM010729	ENSP00000299335
SINCAM922671	ENSP00000299338
SINCAM921328	ENSP00000299339
SINCAM007078	ENSP00000299381
SINCAM011466	ENSP00000299413
SINCAM013687	ENSP00000299424
SINCAM008121	ENSP00000299427
SINCAM011071	ENSP00000299432
SINCAM922244	ENSP00000299440
SINCAM004057	ENSP00000299441
SINCAM015844	ENSP00000299481
SINCAM015157	ENSP00000299492
SINCAM010337	ENSP00000299505
SINCAM900166	ENSP00000299529
SINCAM002351	ENSP00000299543
SINCAM013255	ENSP00000299565
SINCAM010372	ENSP00000299575
SINCAM010373	ENSP00000299578
SINCAM900029	ENSP00000299601
SINCAM900098	ENSP00000299633
SINCAM900065	ENSP00000299638
SINCAM010365	ENSP00000299642
SINCAM014549	ENSP00000299663
SINCAM002338	ENSP00000299687
SINCAM010674	ENSP00000299709
SINCAM012750	ENSP00000299721
SINCAM002347	ENSP00000299727
SINCAM007481	ENSP00000299732
SINCAM008821	ENSP00000299736
SINCAM010348	ENSP00000299759
SINCAM920712	ENSP00000299766
SINCAM005701	ENSP00000299767
SINCAM010586	ENSP00000299798
SINCAM006255	ENSP00000299821
SINCAM000880	ENSP00000299847
SINCAM011252	ENSP00000299853
SINCAM011091	ENSP00000299866
SINCAM013950	ENSP00000299882
SINCAM012534	ENSP00000299886
SINCAM015735	ENSP00000299927
SINCAM922060	ENSP00000299952
SINCAM013097	ENSP00000299957
SINCAM922015	ENSP00000300006
SINCAM013190	ENSP00000300026
SINCAM013092	ENSP00000300030
SINCAM922624	ENSP00000300035
SINCAM010603	ENSP00000300051
SINCAM013061	ENSP00000300057
SINCAM013138	ENSP00000300060
SINCAM921993	ENSP00000300061
SINCAM013252	ENSP00000300069
SINCAM922170	ENSP00000300086
SINCAM011176	ENSP00000300087
SINCAM001415	ENSP00000300091
SINCAM011178	ENSP00000300093
SINCAM015837	ENSP00000300098
SINCAM922747	ENSP00000300101
SINCAM922783	ENSP00000300105
SINCAM900016	ENSP00000300107
SINCAM014167	ENSP00000300128
SINCAM014166	ENSP00000300131
SINCAM005723	ENSP00000300145
SINCAM922538	ENSP00000300151
SINCAM000921	ENSP00000300175
SINCAM921651	ENSP00000300177
SINCAM921680	ENSP00000300209
SINCAM013166	ENSP00000300231
SINCAM002432	ENSP00000300249
SINCAM004069	ENSP00000300255
SINCAM900083	ENSP00000300289
SINCAM922104	ENSP00000300291
SINCAM004024	ENSP00000300305
SINCAM922437	ENSP00000300403
SINCAM013357	ENSP00000300404
SINCAM013409	ENSP00000300408
